song_name,href,lyric,artist
5G,/music/thailyric/13732,"บวชพระต้องเฮ็ดดีให้ได้
จั่งสิบ่อายญาติโยมเขาติ
ให้คนสรรเสริญว่าเป็นพระดี
ให้คนสรรเสริญว่าเป็นพระดี
คือจั่งหลวงพี่ ยุค 5G เด้อโยม

มาบัดนี้พระเฮาต้องสตรอง
เทิ่งเทศเทิ่งสอนธรรมะแนวใหม่
ยูทูปกูเกิ้ลอินสตาแกรมต้องเข้าใจ
เอามาใช้สอนคนให้ฮู้

ขึ้นสเตตัสฟอลโล่กันสะแม้
เทิ่งไลค์เทิ่งแชร์ ธรรมะเดลิเวอรี่
ย่างจงกรมบ่ทันญาติโยมพอดี
ฟาสต์แปดหลวงพี่จั่งสิเร็วทันใจ

ตื่นแต่เช้าบิณฑบาตโปรดโยม
คนรวยคนจนให้ซุมเจ้าเป็นคนดี
บวชเป็นพระปฏิบัติต้องให้ดี
เพิ่นสิติ ว่าพระบ่ฮู้จักความ

บวชพระต้องเฮ็ดดีให้ได้
จั่งสิบ่อายญาติโยมเขาติ
ให้คนสรรเสริญว่าเป็นพระดี
ให้คนสรรเสริญว่าเป็นพระดี
คือจั่งหลวงพี่ ยุค 5G เด้อโยม

ยุคเด็กแว้นสายแดนซ์
สายผับ สายย่อสายยับ
พากันเข้าวัดเฮ็ดบุญ
เทิ่งเฒ่าเทิ่งสาวผู้ฮู้ผู้คุณ
พระยิ้มจู่นพู่น อนุโมทนา

สาธุ สาธุ สาธุ
สาธุ สาธุ สาธุ
ไผเฮ็ดบุญ ขอให้รวย ขอให้รวย

สุดท้ายนี้เทิ่งพระเทิ่งโยม
ฮักแพงมั่นคงคือข้างเหนียวบ้านเฮา
บ่แตกแบ่งแยก สายข้อยสายเขา
ให้พากันเอาสายมัชฌิมา

ตื่นแต่เช้าบิณฑบาตโปรดโยม
คนรวยคนจนให้ซุมเจ้าเป็นคนดี
บวชเป็นพระปฏิบัติต้องให้ดี
เพิ่นสิติ ว่าพระบ่ฮู้จักความ

บวชพระต้องเฮ็ดดีให้ได้
จั่งสิบ่อายญาติโยมเขาติ
ให้คนสรรเสริญว่าเป็นพระดี
ให้คนสรรเสริญว่าเป็นพระดี
คือจั่งหลวงพี่

บวชพระต้องเฮ็ดดีให้ได้
จั่งสิบ่อายญาติโยมเขาติ
ให้คนสรรเสริญว่าเป็นพระดี
ให้คนสรรเสริญว่าเป็นพระดี
คือจั่งหลวงพี่ ยุค 5G เด้อโยม",zak_chumpae
คนมีกรรม,/music/thailyric/17501,"ถอนใจ มองฟ้า เหตุใดชีวิตข้าช่างโหดร้าย
สู้ทนกัดฟัน ผ่านมาเท่าไร มองไปก็ยังมืดมน

น้อยใจจริงๆ โลกนี้ดูเหมือนทุกสิ่งช่างขัดสน
หรือฟ้าสาบไว้ให้ต้องหมองหม่น
โชคชะตาเล่นกล เรื่อยไป

หัวใจ บอบช้ำ เกิดมาชีวิตต้อยต่ำแสนยากไร้
รักคนที่เขาไม่มีใจให้ โธ่ ทำไมฟ้าช่างใจดำ

สองมือพนม ก้มกราบพื้นดินข่มใจที่ชอกช้ำ
ชาตินี้ลูกคงเป็นคนมีกรรม อย่าเหยียบย่ำซ้ำเติมกันเลย

ถอนใจ มองฟ้า เหตุใดชีวิตข้าช่างโหดร้าย
สู้ทนกัดฟัน ผ่านมาเท่าไร มองไปก็ยังมืดมน

น้อยใจจริงๆ โลกนี้ดูเหมือนทุกสิ่งช่างขัดสน
หรือฟ้าสาบไว้ให้ต้องหมองหม่น
โชคชะตาเล่นกล จนตาย",zak_chumpae
คำแพง,/music/thailyric/11916,"เขามีความหมายกับเจ้า
เจ้ามีความหมายต่ออ้าย
เจ้าให้เขาหมดใจหมดกาย
อ้ายกะยอมตายให้เจ้าได้คือกัน

ครองฮักสองคนโลดตอนนี้
โชคดีให้เป็นของเจ้า
โชคร้ายอ้ายสิรับเอา 
อ้ายบ่สมน้องกะคือว่า

บ่แม่นหมาวัดและกะบ่ได้ใจนาง
หว่านแหลงดาง กะดักใจนางไว้บ่ได้
เฮ็ดดีปานได๋ เฮ็ดดีปานได๋ เจ้ากะบ่หัวซา
นั่งฮ้องนอนไห้ ย้อนสงสารใจเจ้าของ
น้องบ่เคยมอง ย่างสากกะบ่อยากใกล้
ฮักเจ้าหลาย ฮักเจ้าหลาย ได้ยินบ่

เป็นจั่งได๋น้อความฮัก 
ปานถืกกับดักฮัดหัวใจ
ติดกับดักฮักคนเดียวออกบ่ได้

อ้ายคงทำได้แค่รอ 
ถึงจะท้อแต่บ่เคยหมดหวัง
ยอมเจ็บยอมให้หัวใจพัง 
ซังเด้ซัง ซังหัวใจเจ้าของ
ได้แต่กอดตัวเองไว้ยามเหงา
เจ้ากอดเขา เขากอดเจ้าคงบ่ห่าง
จั่งจ่อก่ออยู่เถียงนาฮ้าง 
เบิ่งเขาย่างผ่านไป

บ่แม่นหมาวัดและกะบ่ได้ใจนาง
หว่านแหลงดาง กะดักใจนางไว้บ่ได้
เฮ็ดดีปานได๋ เฮ็ดดีปานได๋ เจ้ากะบ่หัวซา
นั่งฮ้องนอนไห้ ย้อนสงสารใจเจ้าของ
น้องบ่เคยมอง ย่างสากกะบ่อยากใกล้
ฮักเจ้าหลาย ฮักเจ้าหลาย ได้ยินบ่

บ่แม่นหมาวัดและกะบ่ได้ใจนาง
หว่านแหลงดาง กะดักใจนางไว้บ่ได้
เฮ็ดดีปานได๋ เฮ็ดดีปานได๋ เจ้ากะบ่หัวซา
นั่งฮ้องนอนไห้ ย้อนสงสารใจเจ้าของ
น้องบ่เคยมอง ย่างสากกะบ่อยากใกล้
ฮักเจ้าหลาย ฮักเจ้าหลาย ได้ยินบ่

รอเจ้าอยู่เด้อ คำแพง",zak_chumpae
คำฮัก,/music/thailyric/14406,"อันคำฮักที่เก็บเซี่ยงไว้ เจ็บปานได๋ไผสิฮู้
ย่านว่าบอกให้เขาฮู้แล้วเขาบ่ฮัก
ได้แต่ห่วงซอมอยู่ห่างๆ น้องคนงามได้ย่างตามฝัน
อ้ายผู้จนบ่กล้าดึงมือคู่นั้น จับลงมาจากเทิ่งฟ้า

กำลังสิปีนบืนสู้ชะตา ขึ้นไปเทิ่งฟ้าเพียงบอกคำฮัก
รออ้ายแน่อย่าฟ้าวติดกับดักคำฮักผู้ได๋
อุกอั่งเอาย่อนเก็บคำฮัก ทั้งที่ใจพอสิตายนำเขา
ฟ้าเทาะฟ้า สิฝืนทนเอา รอมื้อให้เฮาสองคนได้ฮักกัน

เคยบ่ยามยิ้มยามหัว แต่แอบกลัวคั่นสบหน่วยตา
อยู่ใกล้ยามได๋สั่นเหมิดสองขา เก็บอาการบ่อยู่
เจ็บคักยามเจ้ายิ้มให้ไผ หัวใจหมุ่นปานข้าวคั่ว
ฮ้องไห้ย่อนใจมันกลัว เจ้าสิไป ไปฮักเขา

กำลังสิปีนบืนสู้ชะตา ขึ้นไปเทิ่งฟ้าเพียงบอกคำฮัก
รออ้ายแน่อย่าฟ้าวติดกับดักคำฮักผู้ได๋
อุกอั่งเอาย่อนเก็บคำฮัก ทั้งที่ใจพอสิตายนำเขา
ฟ้าเทาะฟ้า สิฝืนทนเอา รอมื้อให้เฮาสองคนได้ฮักกัน

ทางสิม่างน้ำสิมา อ้ายสิมุดดำไปหาเจ้า
ถึงคำว่าฮักที่ยังบ่เว้า แต่อ้ายกะฮักเจ้าเหมิดหัวใจ
กำลังสิปีนบืนสู้ชะตา ขึ้นไปเทิ่งฟ้าเพียงบอกคำฮัก
รออ้ายแน่อย่าฟ้าวติดกับดักคำฮักผู้ได๋
อุกอั่งเอาย่อนเก็บคำฮัก ทั้งที่ใจพอสิตายนำเขา
ฟ้าเทาะฟ้า สิฝืนทนเอา รอมื้อให้เฮาสองคนได้ฮักกัน

รอมื้อให้เฮาสองคนได้ฮักกัน",zak_chumpae
จำอ้ายได้บ่,/music/thailyric/15390,"ตามหามาโดน เป็นหยังคือบ่สนใจ
เปลี่ยนไปหลาย น้อคนเคยฮู้จักกัน
ตั้งแต่ที่เจ้าจากไป หัวใจของอ้ายมันร้าวราน
คิดฮอดทุกวัน ทรมานปางตาย

ที่ตามหากะย้อนว่า อ้ายยังฮัก
อยากสิฮู้จัก ว่าเจ้าเป็นอยู่จังใด๋
ได้มาเจอแล้วในวันนี้
น้องคงสิอยู่ อย่างสุขซำบาย
กะสิบ่รบกวนอีหยังหลาย
แค่อยากสิถาม ว่าจำอ้ายได้บ่

บ่เป็นหยังถ้าสิลืมกัน
บ่เป็นหยังสิทรมานเจ็บปานใด๋
บ่เป็นหยังสิรับมันให้ได้
ห้องไห้จนตายกะบ่เป็นหยัง

ขออวยพรให้โชคดี
จากนี้สิบ่รบกวนจักอย่าง
ลืมมันสาความฮักฮ้างๆ ลืมทุกอย่าง
ลบออกให้เมิดจากใจ

บ่เป็นหยังถ้าสิลืมกัน
บ่เป็นหยังสิทรมานเจ็บปานใด๋
บ่เป็นหยังสิรับมันให้ได้
ห้องไห้จนตายกะบ่เป็นหยัง

ขออวยพรให้โชคดี
จากนี้สิบ่รบกวนจักอย่าง
ลืมมันสาความฮักฮ้างๆ ลืมทุกอย่าง
ลบออกให้เมิดจากใจ

ลืมทุกอย่าง บ่เป็นหยัง อ้ายสิทำใจ",zak_chumpae
บ่แม่นบ่ฮัก,/music/thailyric/13756,"ย้อนว่าฟ้าลิขิตมาเพื่อจาก
หรือวิบากกรมใดที่เฮ็ดมา
คั่นเส้นทางบ่สม คู่ควรน้องหล่า
บัดสิว่าบ่แม่นคู่ครอง

บ่เคียงกันคั่นสวรรค์บ่สรรสร้างเฮา
พาพัดพลัดพรากแยกเฮาสอง
ต้องจากกัน บ่ทันได้สมดั่งใจ

ย้อนสวรรค์ขีดทางให้เฮาเดิน
ต้องเผชิญกับความปวดร้าว
ต้องเหน็บหนาวกับความพลัดพราก
บ่อยากจาก แต่อ้ายต้องไป

บ่แม่นบ่ฮัก บ่ได้อยากจากนาง
แต่ว่าเส้นทางลิขิตไว้ให้อ้ายไป
ทั้งที่ใจเจ็บปวดเหลือเกิน
บ่แม่นบ่ฮัก บ่ได้อยากห่างเหิน
ย้อนชะตาเข้ามาเผชิญ
เฮ็ดอ้ายให้จากลา

ย้อนว่าฟ้าลิขิตมาเพื่อจาก
หรือวิบากกรมใดที่เฮ็ดมา
คั่นเส้นทางบ่สม คู่ควรน้องหล่า
บัดสิว่าบ่แม่นคู่ครอง

บ่เคียงกันคั่นสวรรค์บ่สรรสร้างเฮา
พาพัดพลัดพรากแยกเฮาสอง
ต้องจากกัน บ่ทันได้สมดั่งใจ

ย้อนสวรรค์ขีดทางให้เฮาเดิน
ต้องเผชิญกับความปวดร้าว
ต้องเหน็บหนาวกับความพลัดพราก
บ่อยากจาก แต่อ้ายต้องไป

บ่แม่นบ่ฮัก บ่ได้อยากจากนาง
แต่ว่าเส้นทางลิขิตไว้ให้อ้ายไป
ทั้งที่ใจเจ็บปวดเหลือเกิน
บ่แม่นบ่ฮัก บ่ได้อยากห่างเหิน
ย้อนชะตาเข้ามาเผชิญ
เฮ็ดอ้ายให้จากลา

บ่แม่นบ่ฮัก บ่ได้อยากจากนาง
แต่ว่าเส้นทางลิขิตไว้ให้อ้ายไป
ทั้งที่ใจเจ็บปวดเหลือเกิน
บ่แม่นบ่ฮัก บ่ได้อยากห่างเหิน
ย้อนชะตาเข้ามาเผชิญ
เฮ็ดอ้ายให้จากลา

ย้อนชะตาเข้ามาเผชิญ
เฮ็ดอ้ายให้จากลา",zak_chumpae
เป็นเจ้าคือเก่า,/music/thailyric/15742,"น้องบ่ต้องเป็นห่วง ว่าอ้ายสิเปลี่ยนไป
บ่ว่าอยู่หม่องได๋ กะบ่อุ่นใจคือไออุ่นเจ้า
วันเวลาที่คอยถ่า สิฟ้าวกลับไปหาฮักเฮา
อ้ายยังมีเจ้า เพียงผู้เดียวทุกนาที

มันสิเหงาแป๋ตาย อ้ายบ่เคยมีไผ
อ้ายบ่เคยหลายใจ ดอกเด้อ

เป็นเจ้าคือเก่า กะยังคือเก่า
ความฮักเฮามันแก่นแต่เริ่ม
ยังคงเดิม ยังคงหอมนุ่มนวลจับใจ
ยังคอยเติม ยังคอยแต่ง
เก็บความหวานไว้กลางหัวใจ
กุมเอาไว้ ให้เจ้าผู้เดียวเด้อนาง

ความงดงามแนวอื่น ที่คอยมาล่อใจ
แต่บ่มีไผ มาล่อลวงใจอ้ายไปจากเจ้า
ฮักเฮายังคงอยู่ บ่มีผู้ได๋แทรกกลางสองเฮา
ฮักบ่เคยเก่า ฮักเจ้าฮักแท้คือเธอ

มันสิเหงาแป๋ตาย อ้ายบ่เคยมีไผ
อ้ายบ่เคยหลายใจ ดอกเด้อ

เป็นเจ้าคือเก่า กะยังคือเก่า
ความฮักเฮามันแก่นแต่เริ่ม
ยังคงเดิม ยังคงหอมนุ่มนวลจับใจ
ยังคอยเติม ยังคอยแต่ง
เก็บความหวานไว้กลางหัวใจ
กุมเอาไว้ ให้เจ้าผู้เดียวเด้อนาง

เป็นเจ้าคือเก่า กะยังคือเก่า
ความฮักเฮามันแก่นแต่เริ่ม
ยังคงเดิม ยังคงหอมนุ่มนวลจับใจ
ยังคอยเติม ยังคอยแต่ง
เก็บความหวานไว้กลางหัวใจ
กุมเอาไว้ ให้เจ้าผู้เดียวเด้อนาง",zak_chumpae
พร้อมเพลย์,/music/thailyric/20913,"บ่แม่นสายเปย์ สิพร้อมเพลย์กับอ้ายบ่
เจ้าสิไปต่อกะอ้ายบ่หล่า

เจ้ามั่นใจส่ำใด๋ ที่เลือกอ้ายมาเป็นแฟน
ทั้งที่อ้ายกะบ่มีหยัง คือกล้าเดินควงแขน

แต่งกะบ่ทันได้แต่ง เงินผูกแขน กะยังบ่มี
มีแต่ใจฮักจริงสิกินได้อยู่ตี้

โอ้วาสนาอ้ายบ่มี โอ้ว่าฮักเจ้าอีหลี

หากมีเรือลำใหญ่พาเจ้าไป สิ สิไปบ่น้อ
พาเจ้าไปฮอดฝั่ง มีเงิน มีทอง สิไปบ่
หรือสิทนกินต้มมาม่าในห้องเซ่ามอชอ

เจ้าสิคิดต่อ  บ่น้อ  ซ่อยบอกแหน่

บ่แม่นสายเปย์ สิพร้อมเพลย์กับอ้ายบ่
เจ้าสิไปต่อกับอ้ายบ่หล่า
ถ้ามั่นใจให้ฟ่าวกดใจมา ที่หน้าบัญชีใจ
บ่แม่นสายเปย์ สิทุ่มเททั้งกายใจ
กุมมือเจ้าไว้ ลมหายใจคือเจ้า
สิอยู่สิตายอ้ายสัญญาว่าฮักเจ้า สิฮักเจ้าผู้เดียว

หากมีเรือลำใหญ่พาเจ้าไป สิ สิไปบ่น้อ
พาเจ้าไปฮอดฝั่ง มีเงิน มีทอง สิไปบ่
หรือสิทนกินต้มมาม่าในห้องเซ่ามอชอ
เจ้าสิคิดต่อ  บ่น้อ ซ่อยบอกแหน่

บ่แม่นสายเปย์ สิพร้อมเพลย์กับอ้ายบ่
เจ้าสิไปต่อกับอ้ายบ่หล่า
ถ้ามั่นใจให้ฟ่าวกดใจมา ที่หน้าบัญชีใจ
บ่แม่นสายเปย์ สิทุ่มเททั้งกายใจ
กุมมือเจ้าไว้ ลมหายใจคือเจ้า
สิอยู่สิตายอ้ายสัญญาว่าฮักเจ้า สิฮักเจ้าผู้เดียว

อ้ายบ่มีเงินหลาย ค่าบ้านก็บ่ได้จ่าย
หากเจ้ามั่นใจมาอดตายนำกัน
เฮาบ่แม่นสายเปย์ แต่เฮาคือสาย เย

บ่แม่นสายเปย์ สิพร้อมเพลย์กับอ้ายบ่
เจ้าสิไปต่อกับอ้ายบ่หล่า
ถ้ามั่นใจให้ฟ่าวกดใจมา ที่หน้าบัญชีใจ
บ่แม่นสายเปย์ สิทุ่มเททั้งกายใจ
กุมมือเจ้าไว้ ลมหายใจคือเจ้า
สิอยู่สิตายอ้ายสัญญาว่าฮักเจ้า สิฮักเจ้าผู้เดียว

สิอยู่สิตายอ้ายสัญญาว่าฮักเจ้า สิฮักเจ้าผู้เดียว",zak_chumpae
มาลัยน้ำใจ,/music/thailyric/18778,"มาๆ สิละมาเป็นแฟนพี่เถิดมาน้องมา
เร็วๆ ไวๆ เรามารักกันใหม่อย่าเพิ่งระอา
หัวใจชายว่างขอเชิญร้อยชั่งมานั่งตีลังกา
มาได้มาเสียมาเป็นมายเดียร์ของพี่ก็มา

มาลัยลอยวน เคยคล้องจนล้นคอชาย
มาลัยน้ำใจ ของแฟนเคยให้ล้นหลาม
เรารักกันจริง จะทอดจะทิ้งลงก็ตาม
อย่าเพิ่งใจดำ เป็นแฟนประจำเถิดหวานตา

บ้านใกล้เรือนเคียง เคยฟังแต่เสียงชายครวญ
เคยชมชื่นชวน ไม่น่ามาด่วนตัดสัมพันธ์
เอารักมาคืน ไปรักคนอื่นทำไมกัน
นาวาสวรรค์ มารับจอมขวัญแล้วกานดา

ลืมหนุ่มหน้ามน อย่าเพิ่งลืมคนขี้อาย
เดี๋ยวนี้เป็นหม้าย เพราะแฟนมาหน่ายมาแหนง
ถ้าชาติจะดี ไม่ต้องทาสีก็คงแดง
ค่าตัวไม่แพง เพราะไม่เคยแข่งราคา

เมียพี่มีชู้ วงการเขารู้กันดี
เขาไม่ปราณี นักร้องอย่างพี่บุญน้อย
มัวร้องเพลงเพลิน คู่รักเลยเหินลมลอย
ผีซ้ำด้ามพลอย สงสารพี่หน่อยนะกานดา

มาๆ สิละมาเป็นแฟนพี่เถิดมาน้องมา
เร็วๆ ไวๆ เรามารักกันใหม่อย่าเพิ่งระอา
หัวใจชายว่างขอเชิญร้อยชั่งมานั่งตีลังกา
มาได้มาเสียมาเป็นมายเดียร์ของพี่ก็มา

คุณปู่คุณย่า คุณลุงคุณป้าคุณตาคุณยาย
ลืมแล้วหรือไร หรือมีหลานไหมเดี๋ยวนี้
พาร์ตเนอร์ ที่รักอย่าเพิ่งรีบผลักไมตรี
ลองมารักอีกสักที เดี๋ยวนี้มีดีไม่แหกตา

เป็นหม้ายมาหลายเวลา เพราะขาดคู่ขาประจำ
ทนทุกข์ระกำ ไม่มีใครแฟนพร่ำนอนเพ้อ
ใครรักชายจริง รับรองไม่ทิ้งกอดเธอ
จะซื่อจนเซ่อ ชะโอละเหนอ ชะโอละชา

ขอบคุณแฟนๆ ที่ยังเหนียวแน่นเป็นแฟนพี่ชาย
ด้วยความเต็มใจ สงสารพ่อหม้ายเอาบุญ
เพราะทุกข์จิปาถะ สงสารพี่นะจะขอบคุณ
ช่วยรับการุน อย่าให้ขาดทุนเรื่องสีกา

มาสิมาสิ มาเป็นแฟนพี่ไม่มีขาดทุน
หญิงใดใจบุญ ช่วยทำให้อุ่นหัวใจ
หน้าชื่นตาบาน ถ้าแฟนสงสารพี่ชาย
หากพี่ดังอีกวันใด รีบหมายใจและหมายตา",zak_chumpae
มาหยัง ตอนนี้ (สวนทาง),/music/thailyric/12873,"เจ้ามาช้าไป ฮู้อยู่บ่
ตอนอ้ายบ่มีเขาแล้วเจ้าไปอยู่ไส

หรือแม่นฟ้าลองใจอ้ายเบิ่ง
ว่าอ้ายสิมีความมั่นคงฮักเจ้าซ่ำได๋
ฟ้าเลยสั่งคนที่ใจอ้ายตามหา
มาลองใจอ้ายเบิ่ง

ว่าสิเปลี่ยนไปบ่ ถ้ามื้อหนึ่งไปพ้อ
คนที่เคยตามหา
ฟ้าพาเขามา ย่อนว่ามาลองใจอ้ายเบิ่ง

ว่าสิเปลี่ยนไปบ่ ถ้ามื้อหนึ่งไปพ้อ
คนอ้ายเคยฝัน สุดท้ายมีแต่ฮอยว่างเปล่า
ฟ้าตั๋วให้ปวดร้าว โอ๊ย มันบ่แม่นดอก

สิถิ่มเขาไป ผู้เก่ามาแสนดีแท้น้อ
อีหล่านี้ก็เป็นคนที่รอตามหามานาน

ความฮักเจ้าเอ๋ย ยามฟ้าลิขิต
ตั๋วให้เฮาย่างสวนทาง
ความฮักเจ้าเอ๋ย เป็นทางขนาน
บ่มีมื้อเป็นไปได้ดอก

ผิดแม่นอ้ายนี้ ปะใจหวั่นไหว
พอเห็นคนใหม่ที่ใจเคยตามหา
แม่นเจ้าไปลี้อยู่ไสมา
อ้ายนำหาบ่เคยได้เห็นหน้า
เจ้าเข้ามาตอนอ้ายมีเขา
มันบ่แม่นดอก

ว่าสิเปลี่ยนไปบ่ ถ้ามื้อหนึ่งไปพ้อ
คนที่เคยตามหา
ฟ้าพาเขามา ย่อนว่ามาลองใจอ้ายเบิ่ง

ว่าสิเปลี่ยนไปบ่ ถ้ามื้อหนึ่งไปพ้อ
คนอ้ายเคยฝันสุดท้ายมีแต่ฮอยว่างเปล่า
ฟ้าตั๋วให้ปวดร้าว มันบ่แม่นดอก

สิถิ่มเขาไป ผู้เก่ามาแสนดีแท้น้อ
อีหล่านี้ก็เป็นคนที่รอตามหามานาน
ความฮักเจ้าเอ๋ย ยามฟ้าลิขิต
ตั๋วให้เฮาย่างสวนทาง

ความฮักเจ้าเอ๋ย เป็นทางขนาน
บ่มีมื้อเป็นไปได้ดอก

ว่าสิเปลี่ยนไปบ่ ถ้ามื้อหนึ่งไปพ้อ
คนที่เคยตามหา
ฟ้าพาเขามา ย่อนว่ามาลองใจอ้ายเบิ่ง

ว่าสิเปลี่ยนไปบ่ ถ้ามื้อหนึ่งไปพ้อ
คนอ้ายเคยฝันสุดท้ายมีแต่ฮอยว่างเปล่า
ฟ้าตั๋วให้ปวดร้าว มันบ่แม่นดอก

สิถิ่มเขาไป ผู้เก่ามาแสนดีแท้น้อ
อีหล่านี้ก็เป็นคนที่รอตามหามานาน
ความฮักเจ้าเอ๋ย ยามฟ้าลิขิต
ตั๋วให้เฮาย่างสวนทาง

ความฮักเจ้าเอ๋ย เป็นทางขนาน
บ่มีมื้อเป็นไปได้ดอก
ฟ้าตั๋วให้ปวดร้าว มันบ่แม่นดอก",zak_chumpae
