song_name,href,lyric,artist
Diary,/music/thailyric/15644,"หยิบมันขึ้นมา อีกครั้ง ความหลังครั้งเก่า
ไดอารี่รัก ที่เราเขียนด้วยกัน
ว่าจะมีกัน ที่เธอสัญญา ด้วยน้ำหมึกสีชมพู
แต่ใครจะรู้ว่าเธอ ไม่จำ

แล้วเธอก็ไป ทิ้งฉันไว้ให้จมน้ำตา
ไม่มีแม้แต่ ที่จะร่ำลา

ทิ้งฉันไว้ แล้วเธอก็ไปจากกัน
มันไม่เหมือนความฝัน ที่เธอให้ไว้
รับไว้ไม่ไหว ฉันทำได้เพียงหลอกใจ
ว่ายังมีเรา อย่างแต่ก่อนนั้น

แล้วเธอก็ไป ทิ้งฉันไว้ให้จมน้ำตา
ไม่มีแม้แต่ ที่จะร่ำลา

ทิ้งฉันไว้ แล้วเธอก็ไปจากกัน
มันไม่เหมือนความฝัน ที่เธอให้ไว้
รับไว้ไม่ไหว ฉันทำได้เพียงหลอกใจ
ว่ายังมีเรา อย่างแต่ก่อนนั้น

หยิบปากกา เขียนลงกระดาษ
ให้เป็นข้อความสุดท้าย
ว่าความรัก ที่ฉันมีได้ตายจากไป
บันทึกมัน เอาไว้ใน ไดอารี่สีดำ",zweed_n_roll
ช่วงเวลา (A Moment),/music/thailyric/13823,"อย่าทิ้งฉันไว้ลำพัง อย่าขังฉันไว้คนเดียว
อย่าปล่อยให้ฉันต้องทุกข์ทนจมอยู่กับตัวเอง
เพราะฉันก็มีน้ำตา อ่อนแอไม่แพ้กว่าใคร
แต่กลับต้องเก็บเอาไว้ในใจตลอดมา

ถ้าเธอยังรู้สึก เหมือนครั้งแรกที่เจอกัน
ทุกอย่างยังเป็นดั่งฝัน สวยงามอย่างเคย
ช่วยจับมือฉันและมองตาฉันให้นาน
โอบกอดกันเหมือน วันวาน

แววตาคู่เดิมของเธอ
ยังอยู่ตรงนั้นเสมอ
และปากที่คอยพร่ำเพ้อว่าจะรักฉัน
เธอเคยส่งยิ้มให้กัน
ความทรงจำเก่าๆ กับตัวฉัน
เลือนรางและค่อยๆ หายไปจากใจของเธอ

แต่ฉันยังคงรู้สึก เหมือนครั้งแรกที่เจอกัน
ยังมีความอบอุ่นนั้น อยู่ที่ปลายตา
และรู้ดีว่ามันไม่อาจจะย้อนคืนมา
ไม่อาจจะย้อนเวลา

ขอเธอไว้อย่าง ถ้าเธอต้องการจะไป
เอ่ยปากออกมา ล่ำลากันไป

เรื่องราวที่เรานั้นมีจะเก็บเธอไว้อย่างดี
ถ้าหากว่าต่อจากนี้เป็นเพียงความฝัน
ก็คงต้องมีสักวัน ที่เรากลับมาเจอกัน
ได้โปรด เธออย่าลืมฉัน",zweed_n_roll
ธันวาคม (December),/music/thailyric/13166,"ช่วงเวลา ที่มีเธอเข้ามา
เปรียบดังแสงสว่าง
และความมืดในนิทรา
ที่เคยหามาเนิ่นนาน
และตอนนี้ฉันมี

ฉันมี มีเธอที่ดีอยู่กับฉันในทุกวัน
วันที่เรามีความสุข
และบางวันที่เราเศร้า
วันเหล่านี้ โอ้ว โอว

เธอ เธอทำให้ฉันได้รู้ว่ามัน
อบอุ่นเพียงไหน
โอ้ว เธอ อย่าไปไหน
โอ้ว จับมือฉัน อย่าปล่อยมัน

วันเหล่านี้โอ้ว โอว

เธอ เธอทำให้ฉันได้รู้ว่ามัน
อบอุ่นเพียงไหน
โอ้ว เธอ อย่าไปไหน
โอ้ว จับมือฉัน
อย่าปล่อยมัน ฉันรักเธอ

อบอุ่นเพียงไหน
โอ้ว เธอ อย่าไปไหน
โอ้ว จับมือฉัน อย่าปล่อยมัน",zweed_n_roll
Lightning In The Sky,/music/thailyric/23314,"I can tell by seeing your smile
Eyes are open wider every time
Baby you got mine
Baby you got mine

Without you how can I survive
You're the Lightning In The Sky
When it gets rough, you shine
The darkness has passed me by

I think I'll be fine with you
I think I'll be fine with you

Baby you got mine
Baby you got mine

I think I'll be fine with you
I think I'll be alright with you
I think I'll be fine with you
Gonna be alright with you",zweed_n_roll
Stars,/music/thailyric/23316,"Walk into the house
A thousand people around
Elation feeds the crowd
Shiny shiny hours

When the lights come out
The Exhibition's begun
She whispers back at the crowd
Are you all having fun

Come on, make it loud
Make it louder now
Everybody eh
Everybody oh

Sing it for me
Sing it for you
Everybody oh
Everybody eh

When the lights go out
There's nothing left around
It feels like a haunted house
Lonely lonely hours

Lonely lonely hours
Lonely lonely hours
Lonely lonely hours",zweed_n_roll
ทุกวัน (Tookwan),/music/thailyric/19655,"ตื่นมาตอนสายฉันแปรงฟัน
และเฝ้าดูว่าพวกเขาทำไรกัน
อากาศมันร้อนเกินไป
ฉันนั้นไม่อยากจะลุกจากตรงนี้
ที่ตรงนี้เคย  มีเธอ

ออกเดินทางสาย รถก็ติด
ฉันได้แต่นั่งคิดว่าพวกเขาทำไรกัน
ฝุ่นควันก็เยอะเกินไป
ฉันนั้นคิดอยากจะหนีจากตรงนี้ไปยังที่ที่มีเธอ

ทุกวันดูว่างเปล่า
ทุกวันช่างน่าเบื่อ เมื่อ ไม่ มี เธอ

ตกเย็นฉันเหงาเกินเข้าใจ
และไม่มีใครรู้ว่าตอนนี้ฉันทำไร
อากาศยังร้อนเหมือนเดิม
ฉันนั้นเห็นทีจะต้องบอกลา
และบอกเธอว่า คิดถึงเธอ

ทุกวันดูว่างเปล่า
ทุกวันช่างน่าเบื่อเมื่อ ไม่ มี เธอ

ไม่มีเธอ
ไม่มีเธอ
ไม่มีเธอ
ไม่มีเธอ

ไม่มีเธอ
ไม่มีเธอ
ไม่มีเธอ
ไม่มีเธอ

ไม่มีเธอ
ไม่มีเธอ
ไม่มีเธอ
ไม่มีเธอ
ไม่มีเธอ",zweed_n_roll
เพียง (Nightmare),/music/thailyric/23315,"เพียงสิ่งเดียวที่ฉันต้องการ
อาจเป็นเรื่องเดียว

รู้ไหมว่าชีวิตวันหนึ่ง รู้ไหมฉันต้องฝืนทนกล้ำกลืน
กับฝันที่มันไม่มีทางจะเป็นจริง ฝันที่มีเธอกลับมา

เพียงเธอ ได้บอกลา จากวันนั้นก็เป็น
แค่เรื่องราว ที่ผ่านไป ไม่มีความหมายใด
อาจจะเป็น เพียงแค่ฝันไป ตื่นก็หายไป

รู้ไหมว่าในเช้าวันหนึ่ง รู้ไหมฉันเป็นอย่างไร
และที่เธอได้พูดมันออกมา เหมือนฉันไม่มีค่า

เพียงเธอ ได้บอกลา จากวันนั้นก็เป็น
แค่เรื่องราว ที่ผ่านไป ไม่มีความหมายใด
อาจจะเป็น เพียงแค่ฝันไป ตื่นก็หายไป

เพียงเธอ ได้บอกลา จากวันนั้นก็เป็น
แค่เรื่องราว ที่ผ่านไป ไม่มีความหมายใด
อาจจะเป็น เพียงแค่ฝันไป ตื่นก็หายไป

ฉันเป็นแค่เพียง เรื่องเก่าไป แค่อากาศหายใจ
ทุกเรื่องราว ที่ผ่านไป ไม่มีความหมายใด
และจะเป็น เพียงแค่ฝันไป ตื่นก็หายไป",zweed_n_roll
ฟื้น (Resurrection),/music/thailyric/23318,"ก่อนเคยได้รู้จักความรัก
ผิดหวังจนทำให้ใจบอบช้ำ
จนวันที่ได้เจอกับเธอนั้น
มีความหมายมากมายเหลือเกิน

แล้วก็ได้เข้าใจ ได้เรียนรู้
ความหมายของคำว่าห่วงใย

อยากให้ในที่นี้มีเธอทุกอย่าง
ที่ยังคงส่องแสงแวววาวผ่านมา
(ส่องแสงกลับมาเหมือนเดิม)

เธอทำให้โลกนี้มีความหวังใหม่
ในใจกลับฟื้นคืนมาอย่างเคย
เหมือนเคย

อยากเก็บทุกถ้อยคำ ทุกความหมาย
มอบไว้ให้เธอผู้เดียวเท่านั้น
มีเธอเป็นเหมือนพลัง
ให้ตัวฉัน ก้าวเดินต่อไป

แล้วฉันก็ได้เข้าใจ ว่าสุดท้าย
ความรักแท้จริงเป็นอย่างไร

อยากให้ในที่นี้มีเธอทุกอย่าง
ที่ยังคงส่องแสงแวววาวผ่านมา
(ส่องแสงกลับมาเหมือนเดิม)

เธอทำให้โลกนี้มีความหวังใหม่
ในใจกลับฟื้นคืนมาอย่างเคย
เพราะเธอ",zweed_n_roll
ไม่มีอะไรเหมือนเดิม (Nothing Lasts Forever),/music/thailyric/23317,"ถึงเวลาต้องบอกตัวเอง กลับมา
ทบและทวน ในสิ่งที่เป็น

ในวันนี้ รู้ดี ไม่มี ท่าที

จะกลับไปเหมือนเดิม จะกลับไปเหมือนเดิม
กลับไปเหมือนเดิม ไม่มีวันเหมือนเดิม

แม้บางวันจะเหนื่อย เพียงใดฝืนเดินต่อ
ก็คง ไม่เป็นไร

แต่อย่าหยุดอยู่ที่เดิม อย่ากลับไปเหมือนเดิม
อย่ากลับไปเหมือนเดิม ไม่มีอะไรเหมือนเดิม

แต่อย่าหยุดอยู่ที่เดิม อย่ากลับไปเหมือนเดิม
อย่ากลับไปเหมือนเดิม ไม่มีอะไรเหมือนเดิม

อย่าหยุดอยู่ที่เดิม อย่ากลับไปเหมือนเดิม
อย่ากลับไปเหมือนเดิม ไม่มีอะไรเหมือนเดิม",zweed_n_roll
เรา (Us),/music/thailyric/23307,"แม้เวลาจะผ่านไปสักเพียงไหน
เธอยังคงจะมีจิตใจที่สวยงาม
หันไปมองก็มีแต่ความอ่อนหวาน
ให้กันเรื่อยมา

ในบางวันที่เราเริ่มอ่อนล้า
เธอเข้ามาจับมือฉันก้าวไป
เพียงลืมตา จะเห็นว่าใครคอยห่วงใย
ไม่ไปไหนไกล

อยาก ขอบคุณเหลือเกินที่ได้เจอ
ได้พบและผูกพัน
เธอ คนที่สำคัญ ทุกๆ วัน
ของฉันจะมีเพียงเธอ

แม้ว่าเราจะห่างไกลสักเพียงไหน
ให้เธอรู้ไว้ไม่เคยจะสนใคร
ฉันว่าคงไม่มีใครที่เข้าใจ
อย่างเธอเข้าใจ

ในบางวันที่เราเริ่มอ่อนล้า
เธอเข้ามาจับมือฉันก้าวไป
เพียงลืมตา จะเห็นว่าใครคอยห่วงใย
ไม่ไปไหนไกล

อยากขอบคุณเหลือเกินที่ได้เจอ
ได้พบและผูกพัน
เธอคนที่สำคัญ ทุกๆ วัน
ของฉันจะมีเพียงเธอ

อยากขอบคุณเหลือเกินที่ได้เจอ
ได้พบและผูกพัน
เธอคนที่สำคัญ ทุกๆ วัน
ของฉันจะมีเพียงเธอ

ถึงแม้เวลาจะผ่านไปนานเท่าไร
ให้เธอรู้ไว้ ไม่เคยสนใคร (ฉันจะมีเพียงเธอ)

ถึงแม้เวลาจะผ่านไปนานเท่าไร
ให้เธอรู้ไว้ ไม่เคยสนใคร

ถึงแม้เวลาจะผ่านไปนานเท่าไร
ให้เธอรู้ไว้ ไม่เคยสนใคร",zweed_n_roll
