song_name,href,lyric,artist
1 Of 1,/music/thailyric/23579,"Look at me now ชีวิตกูสบาย Get high อยู่ข้างใน Mansion uh
She wanna drink my kids เธอทำมันเหมือนเธอมี Passion uh
ทุกจังหวัดที่กูไป Pistol packing never lacking uh
พวกแม่งยังคง Cappin and my money they keep adding up uh
ไม้กางเกงบนตัวกู Chrome heart พวกมึงยังไม่ Cool บอกให้พวกแม่งค่อยๆ Grow up ya
กูชอบแดกลีนตอนกู Sober now it's over รอเหี้*ไรดิ Pour up (Yea)

เขาบอกคนอย่างกูมัวแต่ยุ่งเกี่ยวกับเรื่องยา ยา (Ya Ya)
Im like haha this shit got me trauma (Haa)
ก่อนจะได้กิน Steak กูเคยแดกมาม่า
กูไม่เชื่อ Karma ตอนนี้แม่กูใส่ Prada

กูไม่ค่อยว่างกูอยู่ใน Club21 (Ricky)
Im hotter than the summer higher than the sun
มึงคิดว่ามันง่ายแต่ไม่ได้ดูกูทำ
งานกู one of one และกูทำกันวันต่อวัน

กูไม่ร้องขอพระเจ้าให้ Show the way
มีแค่กูกับพี่กูที่อยู่ในคลื่นทะเล
ใครจะ Ride the wave yeah
You gotta make some shake yeah

Look at me now ชีวิตกูสบาย Get high อยู่ข้างใน Mansion uh
She wanna drink my kids เธอทำมันเหมือนเธอมี Passion uh
ทุกจังหวัดที่กูไป Pistol packing never lacking uh
พวกแม่งยังคง Cappin and my money they keep adding up uh
ไม้กางเกงบนตัวกู Chrome heart พวกมึงยังไม่ Cool บอกให้พวกแม่งค่อยๆ Grow up ya
กูชอบแดกลีนตอนกู Sober now it's over รอเหี้*ไรดิ Pour up (Yea)

ชีวิตกูสบาย Get high อยู่ข้างใน Mansion uh
She wanna drink my kids เธอทำมันเหมือนเธอมี Passion uh
ทุกจังหวัดที่กูไป Pistol packing never lacking",1mill
2Turnt,/music/thailyric/23578,"Ay can you turn a headphone up
I'm too turnt right now
I swear the god i'm so geeked right now (Go)
Yeah

I keep me a glock กูวางไว้บนเบาะ
เธอบอกกับกูว่าให้ Drop the top
กูบอกกับเธอ i said fuck the laws the cops
I told her to shut up and come give me top
I'ma pour tris on the top of the wock
ทุกบีทที่กูได้ที่กูทำคือต้อง Walk
บอกคนที่เกลียดให้พวกแม่งอมกระดอ
อย่ามาทักตอนกู Turnt เพราะมันไม่เหมือนในจอ

Used to pop me a bean and i go to the party
และมึงก็คงรู้ I don't fuck with Bacardi
นี้คือ Hellcat ไม่ใช่ Scat แรงกว่า Rari
กลับมาโรงแรมแฟนมึงขี่กูเหมือน Harley
เธอมี Surgery หน้าตาเธอเหมือน Barbie
เธออยากเป็น Kim K Nicki หรือ Cardi
เธออยากกินชายสี่หรือ Benihibachi
I'ma bring her to party and feed her some molly

Yea you flopped
ผู้คนพากันภาวนาอยากให้กู Flop no
I'm not เชือกวิเศษพากูหนะ Climb to the top
Yea ,You a cop แต่มึงจับกูไม่ได้ You a dumbass cop boy
You a opp และที่พวกมึงเกลียดกูเพราะว่าเพลงกูน่ะ Pop
ผู้คนต่างเรียกกูว่า Trap star ไม่มี Trap King
อย่ามา Act hard
ไปที่เมกากูนั่ง Trackhawk และมึงไม่ต้องมาเสือกอยู่ใน Trap Spot
I think he prolly on some crack &amp; rocks
บอกกับพวกแม่งให้แม่ง Back up
กูรักที่จะ Trap อยู่ใน Bangkok
และตอนนี้ให้มาดูกูมี Racks up

Now I'm sacks up ให้มาดูตอนกู Shoppin'
เขาบอกว่ากูหาย but i'm still droppin'
ให้มาดูรถที่กูซื้อ กูจะ Hop in
กูพูดแล้วกูทำ โธ่ ไอ่น้องมึงยัง Talkin'
เด็กตามมาดูรอยเท้ากู when I'm walkin'
มือกูจับไว้ที่ปืนตอนที่กูนั้น Walk in
When i walked in you can see i was flossin'
และกูต้องไปต่ออีกที่ My plug callin'

I was just fuck around rappin this shit
Fuck it you already know
Slatt",1mill
Fu*k It Up,/music/thailyric/23565,"I just be takin' these drugs takin' these drugs
Takin' these drugs
I got a house on the hill
I'm finna turn it to the club
Boy I just caught the dub already got drank in my cups
And I'm ready to turn up my demons said fuck it up

I just be takin' these drugs takin' these drugs
Takin' these drugs
I got a house on the hill
I'm finna turn it to the club
Boy I just caught the dub already got drank in my cups
And I'm ready to turn up my demons said fuck it up

ถ้ากูไม่ Rap กูได้กลายเป็น Plug เพราะกูรู้ดีเกี่ยวกับ Drugs
กูไม่ต้องการใครมา Show me love เพราะสุดท้ายพวกมึงก็ซ้ำเติม
เพลงพวกแม่งอ่ะไม่ได้ล้ำและคุณภาพแม่งก็ต่ำกว่าเดิม
Bitch I'm walkin on a beat อย่างเพลิน

กูจะลุกขึ้นมาเหมือนกับเพลิง
และ Plug กูบอกมันยังเดิน เจอกันได้แค่ตอนกลางคืน
ถ้ามี Blunt ให้หยิบขึ้นมา Burn หวังว่ามึงคงจะไม่ลืม
ไม่ต้องเสือกกับเรื่องที่กูเผชิญ เดี๋ยวมึงได้ตายไม่มีฟื้น

กูยังจำวันที่คนยังเมิน ถึงเวลาที่กูจะเอามันคืน
เอามันคืนด้วยเพลง ไม่ก็ ปืน
เอาให้แม่งไม่มีที่จะยืน
เอาให้พวกแม่งหลับไม่มีตื่น
ถ้ากูได้เจอมึงกูจะ Um
ถ้าพี่กูเจอมึงพี่กูจะ Um
ถ้ากูได้เจอแฟนมึงกูจะ Um
Yeah เงินในกระเป๋ากูมีเป็นหมื่น

I fell in love with da แบงค์พัน
ปืนในกระเป๋าไม่ใช่ Blank gun
ใครบอกกับมึงว่าเราแก๊งกัน
I'll beat yo ass for ransom
this broke boy keep throwing tantrums
I'm sippin' on mud not sang som
I told my people this da last one
Remember back when i ain't had nothin'

I just be takin' these drugs takin' these drugs
Takin' these drugs
I got a house on the hill
I'm finna turn it to the club
Boy I just caught the dub already got drank in my cups
And I'm ready to turn up my demons said fuck it up

I just be takin' these drugs takin' these drugs
Takin' these drugs
I got a house on the hill
I'm finna turn it to the club
Boy I just caught the dub already got drank in my cups
And I'm ready to turn up my demons said fuck it up

I fuck it up fuck it up fuck it up
made it back double it up then I fuck it up
Im on this pink pills i don't give a fuck who told me to stop
I never sign me a label deal แต่กูบอกกับแม่กูจะเป็น Star
Only one มันมีแค่กูคนเดียวที่จะยืนตรงนี้ไปอีกนาน Yeah

It's about the fuckin time
And all I kno my ninjas gon shine
If you touch 1 of my guys
I bet your bitch ass ninjas gon' die
Gee is my ride or die
We can have a war if you wanna try
I know these ninjas they're fried fried
กูขอให้สักวันพวกแม่งตาย (ไอ ไอ่)
ไอ้ควาย

This year I'm goin solo
Fuck you and all those photos
กูอ่ะเป็นแค่ Rapper local
ไม่ต้องการใครให้มา Promote
กูไม่ใกล้มึง 'Cause you're told no
I don't know how he fold woah woah

I fell in love with da แบงค์พัน
ปืนในกระเป๋าไม่ใช่ Blank gun
ใครบอกกับมึงว่าเราแก๊งกัน
I'll beat yo ass for ransom
this broke boy keep throwing tantrums
I'm sippin' on mud not sang som
I told my people this da last one
Remember back when I ain't had nothin'

Yea I fuck it up  fuck it up fuck it up
เงินอยู่ใน Louis bag count it up
You goin' out sad เศร้าหนัก
แม้แต่คนรอบตัวมึงก็ไม่ได้รัก
1 2 3 มึงก็ไม่ต้องนับ
Kitkat ถ้าพวกมึงอ่ะคิดจะพัก

I just got a sack I'ma fuck it up
If i can't make it back I'm prolly high as fuck
i'm prolly high as fuck I'm prolly high as fuck
Your bitch sucking on my dick
I beat that ninja up
I fucked that ninja up

กูนั่งอยู่ในเบาะหลังของ Maybach truck
และกูมีเงินอีกเพียบอยู่ใน Trunk
กูแค่ Geek อย่างเดียวกูไม่ Get drunk
I'ma fuck it up ให้เหมือนกูนั้นเป็น Punk
บอกให้พวกมึงควรระวัง Yeah
คนอย่างกูอ่ะไม่มีวัน Fail

All I know is i'm goin to hell
Fuck you if you ain't tryna help
I went through a rough time by myself
I'm Sippin on codeine don't care bout my health
Hope i don't OD this drugs they might help

กูคงจนถ้ากูไม่เคยมี Scale
Never had shit but now I'm doing well
ให้มึงดู กูมี Louis V belt
Look at the whip รถที่กูขี่เร็ว
Need a feature send the bread through my e-mail
This a real choppa man just peep the details
(Mumbling) Only one yeah",1mill
On My Own,/music/thailyric/23566,"I like counting cash บอกพวกแม่งไม่ต้องโอน
มึงไม่ต้องห่วงกู เย็*แม่ Im On My Own
กูเทความเจ็บปวดเข้าไปใน Styrofoam
Now Im in my zone เพลงนี้ทำเพื่อคน Alone

พวกมึงอยากจะ Hang with the goat woah woah woah
I like counting cash woah, woah, woah, woah
รถกูนั้นจะ Crash can't slow oh no
Ride now Im the man I can't cry no more
และกูไม่ไว้ใจใครแล้ว I can't trust no more
Course you're told told

กูอยู่ใน Two doors ไม่ใช่ Four doors
กูเดินออกมาจาก Coupe แฟนๆ อยาก Take a photo
อยู่ในกรุงเทพมหานคร But Im from Nakhon tho

เย็*แม่กูนั้นมีบ้านอยู่แล้วกูไม่นอน Condo
แฟนมึงอยากจะเย็ดเหมือน Porn woah
เย็ดให้เหมือนในละคร Woah
เธอจะอมทันทีไม่มี Convo
แบบว่ากูไม่ต้องสอน Woah
Yeah she's nasty เธอบอกว่าเพลงกู Classic
กูพาเธอไปนั่งบนรถ Im doing 200 on the dash Yeah

และเธอนั้นจะโดนกู Smash yeah
ให้ควยไม่ให้ Cash yeah
กูรู้ที่พวกมึงหนะ Mad กูรู้ทั้งหมดว่าเพชรมึงไม่ได้แท้ Uh
บอกกับพวกแม่งว่าอย่าแถ Uh
มึงไม่สามารถที่จะ Hang out
กูบอกไปแล้ว Im the man
ถ้ามึงไม่ Get เดี๋ยวพี่กูนั้นจะแทงเอา

I like counting cash บอกพวกแม่งไม่ต้องโอน
มึงไม่ต้องห่วงกู เย็*แม่ Im on my own
กูเทความเจ็บปวดเข้าไปใน Styrofoam
Now Im in my zone เพลงนี้ทำเพื่อคน Alone

พวกมึงอยากจะ Hang with the goat woah woah woah
I like counting cash woah, woah, woah, woah
รถกูนั้นจะ Crash can't slow oh no
Ride now Im the man I can't cry no more
และกูไม่ไว้ใจใครแล้ว I can't trust no more
Course you're told told",1mill
OnSomeShit!,/music/thailyric/23577,"I get the racks I get the bag พวกกูชอบ Cash
I just bought a brand new whip รถที่กูนั่งคือ Lamb
I'm on some shit fuckin' a model bitch เธอมาจาก Instagram
Bitch i got hits on hits ปีนี้กูจะเป็น Champ

I just be takin' these drugs I pour out the pints of the mud
I'm comin' through ระเบิด
I feel like Durk when I smurk
กูบอกไปแล้วนี้ My turn
กูว่าพวกมึงยังไม่ Turnt
กู Trap ตั้งแต่กูเกิด
Bitch I fell in love with the drugs

Βitch I fell in love with the drugs
I got money coming in all these pretty bitches always tryna hit me up
You know im out here in the city all these pussy boy they tryna bring me down
Yeah I be ridin' 'round with the real ones see the bags when im walkin' out
Uh you gone hear the V8 when im pullin' up on you right now
Uh you can see the lifestyle, Pussy, You aint nothing to me right now
Uh im just doing my thing, Damn I dont know what you talkin' 'bout
Uh I be fuckin on these hoes yeah you know them bitches comin' in and out

Im finna get rich yeah im really on it
Im finna get rich, put my life on it
I got bitches from the different time zone
I be eating pussy with the rice on it
All these bad bitch they got they eyes on me
Ima need that VVS that ice on me
Life's a game and Im a player
They be suckin' my dick like an entourage

I get the racks I get the bag พวกกูชอบ Cash
I just bought a brand new whip รถที่กูนั่งคือ Lamb
I'm on some shit fuckin' a model bitch เธอมาจาก Instagram
Bitch i got hits on hits ปีนี้กูจะเป็น Champ

I just be takin' these drugs I pour out the pints of the mud
I'm comin' through ระเบิด
I feel like Durk when I smurk
กูบอกไปแล้วนี้ My turn
กูว่าพวกมึงยังไม่ Turnt
กู Trap ตั้งแต่กูเกิด
Bitch I fell in love with the drugs

I get the racks I get the bag
Saks i'm poppin the tags
I do the dash right in the cat
220 I'm doing the max
Break the bitch back
Right in her pad then I go run to the cash
They dipped that lil boy he got hit with some mags

They said what they said
&amp; They know where I'm at
I'm fucking this bitch
I got off the gram
Imma dealer lil baby
Im hand to hand
And your rent for the month i just spent on the pants

&amp; Im drip on a nigger
And I drip when I can ooo
I fell in with the drugs ooo
I'm off the percs and the mud
She want the molly in her butt
In the love with the drugs
I'm in love with the drugs

I need a geta way
When I hop out the fisker
They fix they face
Uhh nah
I don't do dinner dates
When i fuck on a bitch i just fuck her face
Uh dam
Boy better fix your face
For the shot faaa
Make him get erased
I'm in the different place

Hop on the perccocets
Get in a different place
like betty crocker
Make em whip a plate
Yeah ima perky popper
I can't hesitate
Uh dam
My bitch gotta thinner waist
Take that bitch clothes appshopping
Put her in GIVECHY

Fine hoes and we eating benis
When it come to vibes man boy
I got plenty
she keep calling me pooh
Like my name winnie
Do the dash in the cat
Bet they can't get me",1mill
Sober,/music/thailyric/23542,"คนไม่เคยรู้ว่ากู Sober
กูบอกไปแล้วว่า It's over
กูเอาแบงค์พันขึ้นมาวางอยู่บน Shoulder
ถ่ายรูปอยู่บนรถ Range Rover
กูมี Draco และกูไม่ใช่ Soulja
ยาน้ำที่กู Mix อยู่ใน Soda
มันทำให้ใจกูนั้น Colder
และกูไม่คิดจะลอง Coca

บอกให้แฟนมึง Come over
ถ้าเธอนั้นอยากจะโม๊ค Uh
กูนั้นทำให้เธอนั้น Choke
และกูบอกให้เธอหนะ Go home ya
และกูรู้ว่าเธอน่ะ Dope ยา
เธอทำกับกูเหมือนกูเป็น Dope huh
คนอย่างกูไม่พึ่งโชค แต่กูได้กระหรี่มาโม๊คเป็นธรรมดา Ya

Black panamera ที่กู Speedin' yeah
Water on me I'm seasick yeah
กูจะนับเงินล้านไปจน 40
ถึงว่าตอนนี้กูนั้นจะแค่ 20 Yeah
ล่าเงินล้านเหมือนกับ Squid Game
ถ้ามันไม่ Flip กูจะ Flip เอง
ที่พวกมึงล้ม มึง Slip เอง
กูบอกไปแล้วว่า Shit changed

แบงค์พัน แบงค์พัน แบงค์พัน
All I need is แบงค์พัน
Count up count up count up
จนกูไม่เห็นตะวัน
กูไม่เคยทำในสิ่งที่มนุษย์มนาเขาทำกัน
ตื่นเช้ามากูทำงาน ตกเย็นมากูทำงาน

ทำงานแม่งจนทั้งวัน ควยพวกคนที่รำคาญ
มึงบอกมึง High as a ดวงจันทร์
But I'm higher มากกว่าดาวอังคาร
กูไม่นึกย้อนไปเรื่องวันวาน
ต่อไปเสียงกูจะกังวาน
บอกให้พวกแม่งช่วยเลิกถาม
ให้มึงฟังเสียงลำโพงคำราม Uh

คนไม่เชื่อกูมาจากข้างล่าง Uh
มึงไม่เคยมองตอนกูอยู่บ้าน Uh yeah
แต่กูมีพี่กูอยู่ข้างๆ Uh yeah
เขาบอกกูหมาไม่แดกแต่กูมีเงินล้าน Uh

คนไม่เคยรู้ว่ากู Sober
กูบอกไปแล้วว่า It's over
กูเอาแบงค์พันขึ้นมาวางอยู่บน Shoulder
ถ่ายรูปอยู่บนรถ Range Rover
กูมี Draco และกูไม่ใช่ Soulja
ยาน้ำที่กู Mix อยู่ใน Soda
มันทำให้ใจกูนั้น Colder
และกูไม่คิดจะลอง Coca

บอกให้แฟนมึง Come over
ถ้าเธอนั้นอยากจะโม๊ค Uh
กูนั้นทำให้เธอนั้น Choke
และกูบอกให้เธอน่ะ Go home ya
และกูรู้ว่าเธอหนะ Dope ยา
เธอทำกับกูเหมือนกูเป็น Dope huh
คนอย่างกูไม่พึ่งโชค แต่กูได้กระหรี่มาโม๊คเป็นธรรมดา Ya",1mill
Vanishin',/music/thailyric/23576,"Bitch If I give you ten
Go zip that nigga
Go flip that nigga
You'll kill him nigga
I'ma split you nigga
It's been real nigga

Look at my fucking wrist that bih so motherfuckin' ice
And ion check the price I'll buy if it's nice
Im clutching some shit so fucking big, yea end your life
Nigga, clutching the fucking sig I'm Finna end his life
We don't fuck wit no fucking pigs all my niggas shiesty
All my niggas so fucking slime it get real slimey
Trying to keep up with my life it get real pricey
Yea hang out the roof nothing to do
Know all my niggas gon' shoot yeah
Do it to you do it to him
Fuck that nigga and his crew
Bitch I'm gone off blues
Look at my fit, cost as much as juice
Hey we loose screws
Pop my shit, I pop my shit on you

Finna up a hundred on the Gram, fuck cam
So rich, I could buy a Lamb'
Up in the four-door Porsche Panamera
Put that shit on camera
Hitting his bitch with stamina
I don't give a fuck 'bout nobody kill my manager
Need anger management
This bitch a fan and shit
She don't eat dick I'm vanishing
Yeah, lil' bitch I'm gone
In my fucking zone, nigga, what you on
I'm putting my shit on
These sticks, these sticks they break that nigga bone
I don't rock Vlone bitch I'm alone

Come in my fucking home I'ma get your shit gone
Lil'-ass boy, bitch-ass nigga I'm grown
Yeah, Bring hers alone
Hitting this bitch from the back while she giving me dome
Yeah, up in my zone up in my zone
Know you can hear it in this song
Yeah AR-15 got a sight Glock nineteen got a pipe
Pouring codeine in the Sprite fuck the hype
Bitch I'm very hype

Fuck the hype bitch I'm very hype
Bitch i really with the shit yeah
Codeine กับ Sprite เอามา Mix yeah
I told my momma we really rich
วันหน้าจะไปเที่ยวทะเล
อยู่ใน Stu กูยังมี Sticks
หวังว่าพวกมึงคงไม่คิดที่จะ play
Do not worry bout what I'm sippin
ถ้ามันไม่ดีกูไม่คิดที่จะเท

ปฏิเสธที่จะรัก ปฏิเสธที่จะเย็* ปฏิเสธที่จะ Fake yeah
Bitch i ain't gon do shit ถ้าวันนี้กูไม่ได้ Get paid
I just bought me a fuckin' Ricky I'm finna ball at the mall today
U can get hit with the blick
กูเห็นมึงอยาก Beef มึงอยากคุยกับเจ Yeah

Yea yea yeah we paid yeah
Told them broke ass bitch keep prayin' yeah
I'm a P , Gotta keep on Playin' yeah
และแบงค์พัน i'm gon chase it yeah
โทรไปบอกแม่ we made it yeah
All these pussy ninjas hatin yeah
แต่มึงไม่ได้เกิดมาเป็นนักเลง Yeah
Everyday กูทำกันเอง Yeah

My shoebox full of paper
Got glock 19 with a laser
จุดต่ำ this where I came  uh
Said we gang but I don't claim ya
You be fakin ion blame ya
ถ้ามึงโดนต่อย thats a shame uh
หวังว่ากูจะไม่เกม uh
กูตบยา I Still the same uh

I got the guap fuck the fame uh
ในเกมกูยัง Maintain uh
I'm in the booth went insane yeah
พี่กูบอกให้กูละเลง Yeah
I fuck this shit up ด้วยตัวเอง yeah
I'm living in a Squid Game

Uh told you not to come this way na
It ain't P if you ain't pay us
My pops still got a K yeah
Ion give a fuck whatcha sayin uh

Yeah yeah",1mill
Again,/music/thailyric/18368,"มันทำให้กูนั้นคิด ในตอนกู Pop a molly
จากที่ไม่ได้ยิ้มมา For a week
กูว่ากูเศร้า Everyday
เป็นอีกวันที่ไม่ได้นอน Again
และกูนั่งจนควันมันลอยมาเอง
และกูรอวันที่มึงถอยมาเอง
และแฟนมึงนั้นทำกูนอยด์ Again
กูทำให้เธอลอย Again
และกูแค่ Enjoy the game
กูเอา These money ไปป้อน Again

ชอบซื้อของให้ตัวเอง
And I'm feeling love in this money
กูเป็นตัวของตัวเอง
And imma spend เงิน When I want it
พวกมึง Goin out sad today
มาดูกูบอลแต่กูไม่เล่น 2K
มึงกับกูนั้นอยู่กันคนละ Lane
และกูแค่อยู่กับพี่กูเท่านั้นเอง

All of พวกมึงยังน้อย
และคนที่บ้านกูยังคอย
Imma need some อาหารอร่อย
ตอนนี้ยากำลังจะย้อย
Imma need you to keep it ลอย
และวันของมึง You ต้อง Keep it คอย

And เอาละพวกมึงไม่ต้องคารวะ
Me and my brother we counting ธนบัตร
That shit with สาวๆ ฟังเพลงธารารัตน์
Fuck กี่วันนะ กูจะไปธนาคาร
ฝั่งข้างถนน จนไปถึง ภัตตาคาร
กูคือคนเดียวในวันวาน
Let me show you เกิดอะไรในวันงาน
เสียงคนตะโกนในอาคาร
กูว่ามันมหัศจรรย์

มันทำให้กูนั้นคิด ในตอนกู Pop a molly
จากที่ไม่ได้ยิ้มมา For a week
Imma need some ยิ้ม For me
She want me to ลิ้มลองฟรี
พวกมึงอยากจะยิ่งลองดี
She wanna ทิ้งของดี

กูว่ากูเศร้า Everyday
เป็นอีกวันที่ไม่ได้นอน Again
และกูนั่งจนควันมันลอยมาเอง
และกูรอวันที่มึงถอยมาเอง
และแฟนมึงนั้นทำกูนอย again
กูทำให้เธอลอย Again
และกูแค่ Enjoy the game
กูเอา These money ไปป้อน Again

You think what I'm say เพราะกูทำมานาน
Got tatts all my hands and my all
บอกมึงไปแล้วว่า You in't get น้อง
Bitch Imma draw and I ride with ฉลาม

Yeah I keep them thousand and no 100 and 50
บอกมึงไปแล้ว better น้อง fuck with me
ไอ้พวกขี้แพ้ บอกให้ I won't fuck with 'em

Yeah แม่บอกว่า Outside ให้มึงจำไว้
ว่ามันอันตราย Yeah
ไม่ว่าถ้าทำไร คนก็ทำร้าย
ให้มึงจำเอาไว้ yeah
(กูให้มึงจำมันไว้)
ให้มึงจำเอาไว้ Yeah

And เอาละพวกมึงไม่ต้องคารวะ
Me and my brother we counting ธนบัตร
That shit with สาวๆ ฟังเพลงธารารัตน์
Fuck กี่วันนะ กูจะไปธนาคาร
ฝั่งข้างถนน จนไปถึง ภัตตาคาร
กูคือคนเดียวในวันวาน
Let me show you เกิดอะไรในวันงาน
เสียงคนตะโกนในอาคาร
กูว่ามันมหัศจรรย์

มันทำให้กูนั้นคิด ในตอนกู Pop a molly
จากที่ไม่ได้ยิ้มมา For a week
Imma need some ยิ้ม For me
She want me to ลิ้มลองฟรี
พวกมึงอยากจะยิ่งลองดี
She wanna ทิ้งของดี

กูว่ากูเศร้า Everyday
เป็นอีกวันที่ไม่ได้นอน Again
และกูนั่งจนควันมันลอยมาเอง
และกูรอวันที่มึงถอยมาเอง
และแฟนมึงนั้นทำกูนอย again
กูทำให้เธอลอย Again
และกูแค่ Enjoy the game
กูเอา These money ไปป้อน Again",1mill
Different,/music/thailyric/18381,"กูกับมึงยัง Different that's true
ออกมาจากบ้านนอกยังทำงานอยู่ใน Kitchen
แต่ก่อนไม่มีใคร Listen
กูบอกกับครอบครัว
I'm morning miss something yeah

This so hard should get here
กูได้เคยแพ้และก็เคยได้ชนะน้อง
ย้อนไปตอนช่วงที่แล้วกูโดนรังแกเหมือนไม่มีใครรักน้อง
มาถึงตอนนี้กูมีขอถามอีกที Man who you the fuck น้อง

กู Came with the ควัน
กู Came with the gun
กู Claim แฟนมึงแล้วมั้งน้อง
และ Social กลายเป็น Toxic
พูดถึงคนเหมือน Gossip
และกูยัดกัญชาใน Cockpit
บอกกับพี่กู We got it uh
กูติดอยู่ใน Traffic uh
กวนส้นตีน Get tragic uh
แฟนมึง She a bad bitch
กูจะแดกเธอให้เหมือน Sandwich uh
(Hold on yeah)

มาดูตอนกู Bleed ดิ
ล้างไม่ออกเหมือน Breeze ดิ
กูโตขึ้นมาเหมือน Seed หนิ
เจ็บมันเป็นอย่างนี้ดิ
กูแค่อยากใช้ชีวิตหนิ
อาจจะดี Me us show and a ready to go
ที่จะไป Another city
นับแบงก์พันเหมือนนับ Fifty
Motivate คนมันก็ Miss it
ไหนคนจริง Who with me
และกูยังอยู่ในครัวกับ Sixky

พวกกู Ride with the biggie uh
ขณะที่มึงยัง Snitching uh
อย่ามาทำกู Itchy uh
พวกมึงยังไม่ Flip me uh uh (กูได้ยิน)

คนบอกว่ามันง่าย
นี่เขาเรียก Survive
I keep ยาแก้ปวด For my life (For real)
เขาบอกว่าไอ้เด็กนี่มาร้าย
และกูทำผู้คนต้องฝันร้าย
มึงโยกมาทางขวา
ส่วนกูซัดหน้ามึงโยกไปทางซ้าย

ใช้ชีวิตแบบอันตราย
กูไม่รู้เกี่ยวกับวันตาย
Got did them bitch come ถวาย
ตัวพวกมึงไม่น่าจะไหว (Real top)

ใช้ชีวิตแบบอันตราย
กูไม่รู้เกี่ยวกับวันตาย
กูก็ไม่รู้พรุ่งนี้จะเป็นยังไง Uh yeah",1mill
Intro,/music/thailyric/18313,"It's all about เพื่อน หรือ พี่
But do not watch your เพื่อน ขี้
แฟนๆ ยังรอกู Outside they tryna be my เพื่อนซี้
กูพยายามมองหน้าทุกคนในขณะที่รถยังเคลื่อนที่
I heard ว่าพี่กูพูดถึงปืนอีกคนหมกมุ่นกับเรื่องมีด

I'm like woah ขณะที่กูยัง Faded
คนบอกกูเป็น The greatest
กูไปได้แฟนมึงมากูลากเธอมาจนกู Yed เสร็จ
พวกมึงทุกคนยังคิดผิด
แม่กูบอกกูคงเป็น Star และอีกไม่นานมันคงจะพลิกดิ
ถ้าเกิดว่ากูนั้นตายไปกูคงจะกลายเป็นเหมือน Nipsey
มึงยังคงดูดอัดแท่งและของกูคนละชนิดพี่

ผู้ใหญ่ตระโกนให้คิดสิ
ผู้หญิงตระโกนให้ Kiss สิ้
ให้ดูสิ่งที่กู Did ดิ กินเหล้า Ciroc ของ Diddy
เขาบอกกูโง่สิ่งที่กูทำมันดูเหมือนยังไม่โต
I told my ผู้จัดการมันเริ่มนานที่ยังไม่โอน

ยังอยู่ในหลังเวทีได้ยินพี่ๆ น้องๆ ตระโกน
มองนาฬิกาอีกทีอีกกี่นาทีกูถึงจะโชว์
พวกแม่งยังคง bullshit
และปืนพี่กู Fll clip
Surrounded คนที่รักและกูไม่ทักคนที่ Stupid
I told กับทุกๆ คนไม่ต้องไปสนแก้วที่กู Sip
กูรู้ว่ามึงรู้ Bitch กูเปลี่ยนเธอเป็นชู้ Quick
ข้างนอกคือ Real cold world

Word to da soldier
พ่อกูเป็นทหารและสงครามต้องมี Over
และเลือดของกูนักรบไอ้น้องกูคิดว่ากู Told ya
ลุกออกมาจาก Benz พี่ๆ น้องๆ ก็ต้อง Salute
ของกูเยอะมากเหตุผล I need รถบรรทุก
อย่าคิดจะตุกติกภูเขาไฟก็ต้องประทุ
And do not talk to the feds
ไม่บอกว่าใครไม่อยากระบุ That's for real

(อย่าไปพูดอะไรกับคนที่ไม่รู้จักมากนะเว้ย)
(ทุกวันกูอยู่กับคนเดิม พี่ น้อง คนเดิม สถานที่ที่ เดิม)

มึงไม่รู้ How กูฟีล ตอนแม่กูยิ้ม
มึงคงไม่รู้ How กูฟีล ตอนตังค์กูเข้า
ค่ายชวนไปคุยเกี่ยวกับ Deal
Finna make me a mill
รถ 2 ประตูที่กูนั่งกับ XD
เหล็กดัดฟันกลายเป็น Grillz
ปีหน้ารองเท้า Channel double แ

Jig saw ที่มึงต่อ กูรู้ว่ามันอาจจะยาก
Lip gloss กับ ลิปออย มึงรู้ว่ามันต่างกันมาก
เพื่อความเจ็บปวดกูให้มึงดูควันที่โดนกระชาก
วันที่พ่อแม่จะสบายจะเป็นวันไหนกูคงไม่ทราบ

กูกำลัง Gettin to da top
ช่วยกูด้วยถ้า If I น็อค
ถ้ากูมีเรื่องขึ้นมาในตอนโต
อนาคต If I got shots
กูแทบ OD มี Whole team
เขาช่วยให้กูนั้นรอด
ตอนนี้เที่ยวรอบกรุงเทพ
สุดท้ายกูกลับไปที่บ้านนอก",1mill
