song_name,href,lyric,artist
Taking Less and Giving More (Thai Version),/music/thailyric/19973,"เงามืดทึมโถมทับทั่วทุกแผ่นดิน
เป็นความจริงที่รับรู้ทั้งร้อนหนาว
ดวงตะวัน จันทรา แม้ขึ้นซีกเก่า
แต่โลกเรา จะไม่เหมือนเดิม อีกต่อไป

สร้างอาวุธขึ้นมารบราฆ่าฟัน
โลภโมโทสัน โหยหาทรัพย์สินมากมาย
เมื่อวันนี้เผชิญหน้าศัตรูร้าย
เชื้ออันตรายที่มองไม่เห็นซ้อนเร้นเข้ามา

ใครจะรู้ภัยร้ายเริ่มต้นเมื่อไร
มากแค่ไหนต้องสูญเสียชีวิตน้ำตา
จบเมื่อไรในวันคืนที่ยังมัวพร่า
หนทางข้างหน้า จะก้าวไปได้อย่างไรกัน

เพราะความตายไม่ยกเว้นให้ใครสักคน
ไม่เกี่ยงรวยจนอายุเพศผิวเผ่าพันธุ์
จะมาจากไหนจะเป็นใครไม่สำคัญ
หากไม่ร่วมกัน มนุษย์นั้นพ่ายแพ้แน่นอน

โลกวันนี้ยังรอคอย ความเปลี่ยนแปลงในใจของคน
กอบโกยช่วงชิงให้น้อยลง เติมความเอื้อเฟื้อและแบ่งปัน
เพียงพอ พอเพียงเท่านั้น จะนำพาให้เราผ่านพ้น ไป

นี่คือทางที่เราต้องเดิน เพื่อพรุ่งนี้ที่ดีกว่านั้น
นั่นคือความเปลี่ยนแปลงที่โลกต้องการ
เป็นเรื่องราวของเราทุกคน เพื่อความหวังที่ยั่งยืนนาน
ต้องร่วมสร้างสรรค์โลกใหม่ในใจตน

โลกวันนี้ยังรอคอย ความเปลี่ยนแปลงในใจของคน
กอบโกยช่วงชิงให้น้อยลง เติมความเอื้อเฟื้อและแบ่งปัน
เพียงพอ พอเพียงเท่านั้น จะนำพาให้เราผ่านพ้น ไป

นี่คือทางที่เราต้องเดิน เพื่อพรุ่งนี้ที่ดีกว่านั้น
นั่นคือความเปลี่ยนแปลงที่โลกต้องการ
เป็นเรื่องราวของเราทุกคน เพื่อความหวังที่ยั่งยืนนาน
ต้องร่วมสร้างสรรค์โลกใหม่ในใจตน

เป็นเรื่องราวของเราทุกคน
เพื่อความหวังที่ยั่งยืนนาน
ต้องร่วมสร้างสรรค์โลกใหม่ในใจคน",add_carabao
ล่องใต้,/music/thailyric/18623,"ล่องใต้ ไปตามเสียงเพลง
กล่อมบรรเลง เป็นเพลงเร้าใจ
มนต์รักจากแคว้น แดนถิ่น
แห่งกลิ่นบุหงา มาลัย
เมืองใต้ใครเยือน เหมือนท่องวิมาน

ล่องใต้ ได้เป็นขวัญตา
ท่องเที่ยวมา รื่นรมย์สำราญ
งามทั้งโขดเขา แนวไพร
จับใจห้วยหนอง คลองธาร
เกาะแก่งสถาน อันวิไล

โอ้ ชุมพร ขอพร ที่แสนสุดดี
สุราษฎร์ธานี เมืองคนดี จึงสุขสดใส
นครศรีธรรมราช อยากประกาศ พระธรรมเกริกไกร
กระบี่ สุขสดใส ฝากหัวใจ ให้พี่หมายปอง

โอ้ พังงา คัดอุรา ให้พี่งงงัน
ภูเก็ต เกาะสวรรค์ วิลาวัณย์ หนึ่งไม่มีสอง
ระนองน้องจ๋า เหมือนน้ำตา ของพี่ตกนอง
เพราะต้องจากน้อง จากระนอง มาทั้งน้ำตา

โอ้ เมืองตรัง
เหมือนจะยั้ง พี่ให้ติดตรึง
แต่คิดถึง พัทลุง และสงขลา
สตูล ปัตตานี ยะลาโสภี ตรึงตรา
โอ้ บางนรา มีวาสนา คง มา อีก ที

จากใต้ จะไม่ขอเลือน
เสน่ห์ติดเตือน ชั่วเดือนและปี
มนต์รักปักษ์ใต้ ใจมั่น ผูกพันเสมอ ชีวี
ตราบชั่วชีพนี้ จะไม่ลืม",add_carabao
เงินสั่งมา,/music/thailyric/14902,"เงินใช่ไหม ทำให้คนจนขื่นขม
เงินใช่ไหม ทำให้สังคมตกต่ำ
เงินใช่ไหม ทำให้คนลืมศีลธรรม
หน้าด้านหน้าดำ เพราะเงินนี่หนอ

เงินใช่ไหม ทำให้ใจคนโหดร้าย
เงินใช่ไหม ทำให้ลูกมันฆ่าพ่อ
เงินใช่ไหม ทำให้เพื่อนฝูงแตกคอ
มีเงินมาล่อ รูปหล่อยังแพ้ขอทาน

เงินจ้างผีให้โม่แป้งได้
เงินเป็นนายของคนทั่วย่าน
เงินมาผ้าหลุด ความบริสุทธิ์แหลกลาญ
ทนทรมานกับคำถากถาง

เงินใช่ไหม ทำให้สังคมสับสน
คือเหตุผล เกิดคนที่ชอบแอบอ้าง
ทำเพื่อชาติ ที่แท้นั้นทำเพื่อตังค์
สังคมผุพัง เพราะอำนาจเงินสั่งมา

เงินจ้างผีให้โม่แป้งได้
เงินเป็นนายของคนทั่วย่าน
เงินมาผ้าหลุด ความบริสุทธิ์แหลกลาญ
ทนทรมานกับคำถากถาง

เงินใช่ไหม ทำให้สังคมสับสน
คือเหตุผล เกิดคนที่ชอบแอบอ้าง
ทำเพื่อชาติ ที่แท้นั้นทำเพื่อตังค์
สังคมผุพัง เพราะอำนาจเงินสั่งมา",add_carabao
จดหมายจากแนวหน้า,/music/thailyric/14918,"กลางดงควันปืน พี่เฝ้ายืนสู้เหล่าร้าย
ได้รับจดหมาย น้องโฉมฉายเจ้าส่งถึง
อยู่กลางพนาเป็นเวลาทุ่มครึ่ง
เสียงปืนปังปึง ไม่คำนึงเลยเชียว

จ.ม.เนื้อทอง เขียนใส่ซองสดสีฟ้า
พี่ครึ้มอุรา ลืมข้าวปลาไม่แลเหลียว
หายเหนื่อยหายเพลีย อ่านเสียสิบกว่าเที่ยว
นั่งยิ้มคนเดียว ใจเหลียวถึงโฉมตรู

เสียงปืนลั่นปัง ตื่นภวังค์คลำหัวอก
คว้าเอ็มสิบหก หลบเข้ารบเตรียมต่อสู้
คลำหลวงพ่อองค์น้อย
คล้องสายสร้อยใจชื่นชู
ดีร้ายขอสู้ ให้โลกรู้นักรบไทย

จ.ม.คนจน ตอบหน้ามนอยู่แนวหลัง
ได้รับหรือยัง เจ้าร้อยชั่งจำได้ไหม
นั่งตอบ จ.ม.เผลอก็ไม่ได้
หูตาไม่ไว หยุดหายใจทันที

เสียงปืนลั่นปัง ตื่นภวังค์คลำหัวอก
คว้าเอ็มสิบหก หลบเข้ารบเตรียมต่อสู้
คลำหลวงพ่อองค์น้อย
คล้องสายสร้อยใจชื่นชู
ดีร้ายขอสู้ ให้โลกรู้นักรบไทย

จ.ม.คนจน ตอบหน้ามนอยู่แนวหลัง
ได้รับหรือยัง เจ้าร้อยชั่งจำได้ไหม
นั่งตอบ จ.ม.เผลอก็ไม่ได้
หูตาไม่ไว หยุดหายใจทันที",add_carabao
ราชันย์ฝันสลาย,/music/thailyric/6543,"ที่เดียวไอ้น้อง คืนนี้พี่จองโต๊ะมุมด้านใน
ขอมุมสลัวสลัว รู้ตัวว่าต้องร้องไห้
ไม่อยากให้ใครเห็นน้ำตา

อยากเมาให้พับ รถไม่ได้ขับจับแท็กซี่มา
หัวใจพี่โดนหักหลัง อกพังเสียไม่เป็นท่า
พี่เลยจะมาเมาให้กระจาย

คืนนี้พี่เป็นราชา ราชันย์อกหก
แห่งอาณาจักรชื่อรักสลาย
ไม่มีมเหสี ไม่มีหญิงใด
มีแต่เพื่อนใจชื่อว่าสุรา

รีบชงไอ้น้อง คืนนี้ไม่กองไม่มีเลิกรา
คบคนมันมีแต่ท้อ คบแอลกอฮอล์มันกว่า
คำสั่งราชายกมาอีกแบน

ที่เดียวไอ้น้อง คืนนี้พี่จองโต๊ะมุมด้านใน
ขอมุมสลัวสลัว รู้ตัวว่าต้องร้องไห้
ไม่อยากให้ใครเห็นน้ำตา

อยากเมาให้พับ รถไม่ได้ขับจับแท็กซี่มา
หัวใจพี่โดนหักหลัง อกพังเสียไม่เป็นท่า
พี่เลยจะมาเมาให้กระจาย

คืนนี้พี่เป็นราชา ราชันย์อกหก
แห่งอาณาจักรชื่อรักสลาย
ไม่มีมเหสี ไม่มีหญิงใด
มีแต่เพื่อนใจชื่อว่าสุรา

รีบชงไอ้น้อง คืนนี้ไม่กองไม่มีเลิกรา
คบคนมันมีแต่ท้อ คบแอลกอฮอล์มันกว่า
คำสั่งราชายกมาอีกแบน

ต้มยำกุ้ง ยิ้มเยาะ หัวเราะเย้ย
เนื้อแดดเดียว เอื้อนเอ่ย สมน้ำหน้า
ปลาแป็ะซะ ถากถาง ด้วยหางตา
อัศวิน ลิ้นน้ำยา หมดท่าแมน
อยากตะโกนดัง ๆ กลางร้านเหล้า
ว่าโคตรโศก โคตรเศร้า ร้าวเหลือแสน
เฮ้ย! ไอ้น้อง หนุ่มบาว ขอเหล้าแบน
ดื่มให้โลก ที่ขาดแคลน คนจริงใจ

คืนนี้พี่เป็นราชา ราชันย์อกหก
แห่งอาณาจักรชื่อรักสลาย
ไม่มีมเหสี ไม่มีหญิงใด
มีแต่เพื่อนใจชื่อว่าสุรา

รีบชงไอ้น้อง คืนนี้ไม่กองไม่มีเลิกรา
คบคนมันมีแต่ท้อ คบแอลกอฮอล์มันกว่า
คำสั่งราชายกมาอีกแบน อีกแบน",add_carabao
เกลียดห้องเบอร์ห้า,/music/thailyric/14246,"พอแฟนแต่งงานฉันเลยอกหัก
หนีความช้ำหนัก มาพักอยู่ลพบุรี
โรงแรมชั้นสอง เข้าจองที่ห้องเบอร์สี่
หลับตานอนทอดถอนฤดี
นอนที่นี่สองคืนแล้วเรา

พอคืนที่สามสองยามกว่าๆ
ที่ห้องเบอร์ห้า มีเสียงพูดจาเบาๆ
นอนฟังน้ำเสียง ใกล้เคียงคล้ายเสียงแฟนเก่า
แนบหูฟังข้างฝาเบาๆ
เหมือนแฟนเราที่เขาฆ่าฉัน

ไม่สัปดน แต่ทนนิ่งอยู่ไม่ไหว
ปีนมองลอดช่องลมไป หัวใจฉันมันชักสั่น
แสงไฟสว่างเห็นเขานั่งหยอกล้อเล่นกัน
เขามาดื่มน้ำผึ้งพระจันทร์
แฟนฉันนั่นเองแหละหนา

ปีนลงกลับมาคว้าผ้าเสื้อใส่
ฉันทนไม่ได้ ต้องไปให้ไกลลูกตา
จะไปให้พ้น เกลียดคนที่ห้องเบอร์ห้า
อยู่ทำไมให้ช้ำอุรา
ลาแล้วลาเบอร์ห้าหลอกลวง

ปีนลงกลับมาคว้าผ้าเสื้อใส่
ฉันทนไม่ได้ ต้องไปให้ไกลลูกตา
หนีไปให้พ้น เกลียดคนที่ห้องเบอร์ห้า
อยู่ทำไมให้ช้ำอุรา
ลาแล้วลาเบอร์ห้าหลอกลวง",add_carabao
ความรักเหมือนยาขม,/music/thailyric/14422,"ก่อนเคย เคยรักกันปานดวงใจ
พอรู้เธอมาเปลี่ยนแปรไปดั่งดวงใจจะขาดรอนๆ
เธอลืมฉันลง ไม่มั่นคงเหมือนดังแต่ก่อน
แฝงไว้ด้วยใจกะล่อน ยอกย้อนหัวใจไม่จริง

หลอกฉัน เธอนั้นรักเพียงลมๆ
ความรักเธอเหมือนดั่งยาขม
ฉันต้องตรมเพราะคารมหญิง
เธอแจกหัวใจให้กับชายไม่เคยประวิง
หัวใจไม่เคยหยุดนิ่ง รักจริงไม่มีให้ใคร

วังเวงเหว่ว้า รักเธอเท่าฟ้า
แต่เธอกลับมาทำลาย
เสียแรงรักเธอ แต่เธอไม่เคยเห็นใจ
ไปมีคู่ควงคนใหม่ ทิ้งไปไม่หวนคืนมา

จากกัน แล้วไกลแสนไกล
เธอไม่ได้รักจริงจากใจ เหมือนใครเขาปรารถนา
หวังรักหวานชื่น ต้องกล้ำกลืนขมขื่นเรื่อยมา
หากแม้นว่ามีชาติหน้า ขออย่าพบคนหลายใจ

จากกัน แล้วไกลแสนไกล
เธอไม่ได้รักจริงจากใจ เหมือนใครเขาปรารถนา
หวังรักหวานชื่น ต้องกล้ำกลืนขมขื่นเรื่อยมา
หากแม้นว่ามีชาติหน้า ขออย่าพบคนหลายใจ",add_carabao
คืนฝนตก,/music/thailyric/14734,"อยู่ดีๆ น้องหาว่าพี่โกหก
อยู่ดีๆ น้องหาว่าพี่โกหก
อยู่ดีๆ น้องหาว่าพี่โกหก
รู้ไหม น้ำตา พี่ไหลตก
เสียอก เสียใจ น้องไม่ฟังพี่
เรารักกันมาเป็นเวลาตั้งห้าหกปี
ไปเชื่อข่าวลือเขาได้ว่าพี่
มีเมียอยู่ที่บางกอก

อยู่ดีๆ น้องหา ว่าพี่พูดปด
น้องเอ๊ย น้ำตา พี่ไหลหยด
จนหมดหัวใจ พูดไม่ค่อยออก
มันเจ็บหัวใจ เหมือนว่าใครเอาเข็มมาตอก
หัวอกระบม ขืนขม ขัดยอก
พี่อยู่บางกอกเห็นจะไม่นาน

อะภิโธ่ โอ้ อะภิถังน้องนางบ้านนา
ขอร้องน้องอย่า หูเบาเชื่อเขาประจาน
ถ้าพี่โกหก ขอให้ตก เมืองยมบาล
ถ้าพี่นั่งรถไฟกลับบ้าน ขอให้รถไฟวิ่งต๊กราง

อยู่ดีๆ น้องหาว่าพี่ โกหก
น้องลืมสัญญา คืนฝนตก
หัวอกของพี่ร้อน เหมือนไฟย่าง
ตัวพี่มันจน แม่หน้ามลจึงแกล้งปิดทาง
ลืมสิ้น เมื่อคืนฝนตกเปียกร่าง
พี่หาร่มกางให้น้องแทบตาย

อะภิโธ่ โอ้ อะภิถังน้องนางบ้านนา
ขอร้องน้องอย่า หูเบาเชื่อเขาประจาน
ถ้าพี่โกหก ขอให้ตก เมืองยมบาล
ถ้าพี่นั่งรถไฟกลับบ้าน ขอให้รถไฟวิ่งต๊กราง

อยู่ดีๆ น้องหาว่าพี่ โกหก
น้องลืมสัญญา คืนฝนตก
หัวอกของพี่ร้อน เหมือนไฟย่าง
ตัวพี่มันจน แม่หน้ามลจึงแกล้งปิดทาง
ลืมสิ้น เมื่อคืนฝนตกเปียกร่าง
พี่หาร่มกางให้น้องแทบตาย",add_carabao
ผู้เสียสละ,/music/thailyric/14384,"ใช่ฟ้าบันดาลให้เธอเป็นคู่ของพี่
ฟ้าสร้างให้น้องพี่นี้ รักมีเพียงชั่วหวานชื่น
พี่แสนรักแสนห่วงและหวงทุกคืน
ขอให้รักรวยรื่นเหมือนรักพี่เถิดดวงใจ

ด้วยเขาเป็นเพื่อนร่วมคำสาบานของพี่
น้ำใจเขานั้นช่างดีสมที่จะครองน้องได้
อย่าได้คิดและห่วงพี่นะดวงใจ
จะขอเจอะกันชาติใหม่ชาตินี้พี่ต้องขอลา

พี่มีกรรมทำไว้แต่ปางก่อน
จึงได้ตามมาย้อนให้พี่จากกานดา
เธอทั้งสองเปรียบเหมือนดั่งดวงดารา
ควรแล้วที่เกี่ยวกิ่งฟ้าอย่าโน้มลงมาจะหมองไหม้

ไปเถิดทั้งคู่ไปสู่ประตูสวรรค์
น้ำสังข์จะหลั่งลงพลันด้วยมือพี่หลั่งรดให้
ไปสู่เรือนหอที่เฝ้ารอรับดวงใจ
ชาตินี้พี่จำจากไกล สู่แดนแห่งรสพระธรรม

ไปเถิดทั้งคู่ไปสู่ประตูสวรรค์
น้ำสังข์จะหลั่งลงพลันด้วยมือพี่หลั่งรดให้
ไปสู่เรือนหอที่เฝ้ารอรับดวงใจ
ชาตินี้พี่จำจากไกล สู่แดนแห่งรสพระธรรม",add_carabao
ฝากเพลงลอยลม,/music/thailyric/14291,"ขอฝากเสียงเพลงบรรเลงลอยมา
มิตรเพลงถ้วนหน้าฟังเสียงร้องเพลงใหม่
เสียงเพลงๆ นี้ มิใช่เป็นเสียงของใคร
สายัณห์ยืนยงมอบให้
มิตรเพลงหญิงชายด้วยใจแท้จริง

ขอฝากเสียงเพลงบรรเลงลอยลม
เหมือนน้ำค้างพรมช่ำชุ่มใจเสียยิ่ง
ทุกข์เศร้าหม่นหมองปล่อยล่องสู่ลำน้ำปิง
หวังใดให้ได้ทุกสิ่ง ให้เป็นจริงดั่งปณิธาน

เสียงเพลงดั่งเสียงสวรรค์ปลอบจิต
ชุบชีวิตให้หัวใจชื่นบาน
ชนใดถ้าไม่มีซึ่งดนตรีกาล
ขาดความสำราญทุกข์ใจอย่างไร้เสรี

ขอฝากเสียงเพลง บรรเลงให้ฟัง
คิดถึงผมบ้างเถิดเพื่อนพ้องน้องพี่
ขาดคนติชม ต้องตรมหม่นหมองฤดี
สัมพันธ์กันมาหลายปี ให้โชคดีมิตรเพลงสายัณห์

เสียงเพลงดั่งเสียงสวรรค์ปลอบจิต
ชุบชีวิตให้หัวใจชื่นบาน
ชนใดถ้าไม่มีซึ่งดนตรีกาล
ขาดความสำราญทุกข์ใจอย่างไร้เสรี

ขอฝากเสียงเพลง บรรเลงให้ฟัง
คิดถึงผมบ้างเถิดเพื่อนพ้องน้องพี่
ขาดคนติชม ต้องตรมหม่นหมองฤดี
สัมพันธ์กันมาหลายปี ให้โชคดีมิตรเพลงสายัณห์",add_carabao
