song_name,href,lyric,artist
ขาดความอบอุ่น,/music/thailyric/6631,"ขอบคุณนะคะ ทุกทีที่จับมือฉัน
สายตาที่จ้องมองกัน บรรเทาอาการเหงาใจ
โปรดอย่าขัดเขิน ฉันเองแค่อยากจะหาย
โรคคนว้าเหว่ในใจ อยากให้เธอไว้สักที

เมื่อไม่เจอกัน เริ่มมีอาการความเหงา
ปวดหัวที่ใจชั่วคราว ช่วยมาดูแลฉันที
อาการเหน็บหนาว หัวใจมันสั่นอย่างนี้
เมื่อเธอไม่อยู่ทุกที ช่วยลองวิ่งมาใช้กัน

ขาดความอบอุ่นนะ เกิดเป็นคนอ่อนไหว
เริ่มลำบากใจ ถ้าไม่หายจะทำไงดี
อาจต้องเพิ่มเติมรัก บอกกันให้ฟังมากกว่านี้
ทุกๆนาทีที่เราอยู่ด้วยกัน

ใกล้เข้ามาอีกนิด ช่วยชิดเข้ามาอีกหน่อย
ฉันคงหายใจเลื่อนลอย ถ้าเธอกอดไว้
ไปใกล้กว่านี้ ให้รู้ว่ามีเธอข้างกาย
รักษาอาการเหงาใจ ด้วยการรักกัน

ขาดความอบอุ่นนะ เกิดเป็นคนอ่อนไหว
เริ่มลำบากใจ ถ้าไม่หายจะทำไงดี
อาจต้องเพิ่มเติมรัก บอกกันให้ฟังมากกว่านี้
ทุกๆนาทีที่เราอยู่ด้วยกัน

ใกล้เข้ามาอีกนิด ช่วยชิดเข้ามาอีกหน่อย
ฉันคงหายใจเลื่อนลอย ถ้าเธอกอดไว้
ไปใกล้กว่านี้ ให้รู้ว่ามีเธอข้างกาย
รักษาอาการเหงาใจ ด้วยการรักกัน

ใกล้เข้ามาอีกนิด ช่วยชิดเข้ามาอีกหน่อย
ให้ฉันหายใจเลื่อนลอย ถ้าเธอกอดเอาไว้
ไปใกล้กว่านี้ ให้หายสักทีโรคขี้เหงาใจ
รักษาคนเดียวไม่หาย ต้องรักกัน",am_fine
น้ำตาหยดสุดท้าย,/music/thailyric/6641,"ฮืม... นา นา นา...

ไม่รู้จริง ๆ หรือแกล้งแสดง ทำเหมือนไม่เข้าใจสักอย่าง
ที่มาของรักร้าง ที่ทำให้ฉันต้องเลือกไป
ไม่รู้จริง ๆ ที่เธอเข้ามา เธอคิดอะไรอยู่หรือเปล่า
ก็ไม่ได้ตั้งใจถาม คงเป็นเพราะไม่เคยเห็นว่าเธอจะสนใจ

นา นา นา...

อยากรู้จริง ๆ ที่คบกันมา เคยคิดรักกันบ้างหรือเปล่า
ถึงชอบทำฉันปวดร้าว และไม่คิดที่จะสนใจฉันบ้างเลย
ฉันทำให้ดีไม่เคยพอใจ กลับมาลงกับฉันทุกอย่าง
ก็ไม่มีแม้สักครั้ง เธอจะพูดดีกับฉันให้ดูมีค่าพอ

และ...ยังแกล้งทำมาถาม ว่าเธอนั้นไม่ดีผิดตรงไหน
ฉันคงไม่ต้องพูดอีก ว่าทำไมฉันจึงจากเธอไป

น้ำตาหยดสุดท้ายที่รินออกมาฉันก็ได้รู้ว่าต้องทำเพื่อใคร
น้ำตาหยดสุดท้ายที่รินออกมาฉันควรจะพอเลิกเสียใจ
น้ำตาหยดสุดท้ายที่รินออกมาทำให้ฉันพบกับรักครั้งใหม่
เธอคงไม่รู้ใช่ไหม ว่ารักนั้น....คือรักตัวเอง

และ...ยังแกล้งทำมาถาม ว่าเธอนั้นไม่ดีผิดตรงไหน
ฉันคงไม่ต้องพูดอีก ว่าทำไมฉันจึงจากเธอไป

น้ำตาหยดสุดท้ายที่รินออกมาฉันก็ได้รู้ว่าต้องทำเพื่อใคร
น้ำตาหยดสุดท้ายที่รินออกมาฉันควรจะพอเลิกเสียใจ
น้ำตาหยดสุดท้ายที่รินออกมาทำให้ฉันพบกับรักครั้งใหม่
เธอคงไม่รู้ใช่ไหม ว่ารักนั้น....คือรักตัวเอง


และที่พูดทั้งหมดนี้ เธอคงจะเข้าใจดีแล้วใช่ไหม
เพราะฉันคงจะไม่พูดอีก ก็เธอก็คงจะรู้ดีอยู่แก่ใจ",am_fine
ผู้หญิงใจง่าย,/music/thailyric/6643,"ยอมรับ เคยรักเธอจนหมดใจ
ไม่เคยคิดจะแบ่งใจ หรือเผื่อใจมาก่อน
เธอรู้ เธอก็เลยทำตัวได้ใจ
ไม่เคยง้อไม่เคยสนใจ
ไม่เคยเห็นในความสำคัญ

หนักใจ และฝืนทนไม่ไหว
ฉันทนมามากไป อึดอัดใจมาเเสนนาน
วันนี้ฉันขอเป็นฝ่ายไป
ไม่เหลือแล้วหัวใจ
ขอเป็นคนทิ้งเธอ

ฉันเป็นผู้หญิงที่ใจง่าย
เป็นคนที่เธอเคยได้ใจ
เพราะความหวั่นไหวต้องทนอ่อนใจเพราะใจอ่อน
ต่อไปจากนี้ไม่มีแล้ว
ไม่ยอมไม่ทนเหมือนวันก่อน
ฉันคงต้องเลือกไป
จะมองว่าฉันเป็นคนใจง่ายก็ไม่แคร์

หนักใจ และฝืนทนไม่ไหว
ฉันทนมามากไป อึดอัดใจมาเเสนนาน
วันนี้ฉันขอเป็นฝ่ายไป
ไม่เหลือแล้วหัวใจ
ขอเป็นคนทิ้งเธอ

ฉันเป็นผู้หญิงที่ใจง่าย
เป็นคนที่เธอเคยได้ใจ
เพราะความหวั่นไหวต้องทนอ่อนใจเพราะใจอ่อน
ต่อไปจากนี้ไม่มีแล้ว
ไม่ยอมไม่ทนเหมือนวันก่อน
ฉันคงต้องเลือกไป
จะมองว่าฉันเป็นคนใจง่ายก็ไม่แคร์

ก่อนนี้ รักเธอง่ายไป
เพราะเธอเคยดีกับฉัน
ตอนนี้ ฉันต้องขอลา
ก็เธอเปลี่ยนไป
และเธอไม่เคยแคร์

ฉันเป็นผู้หญิงที่ใจง่าย
เป็นคนที่เธอเคยได้ใจ
เพราะความหวั่นไหวต้องทนอ่อนใจเพราะใจอ่อน
ต่อไปจากนี้ไม่มีแล้ว
ไม่ยอมไม่ทนเหมือนวันก่อน
ฉันคงต้องเลือกไป
จะมองว่าฉันเป็นคนใจง่ายก็ไม่แคร์

หนักใจ และฝืนทนไม่ไหว
ฉันทนมามากไป อึดอัดใจมาเเสนนาน
วันนี้ฉันขอเป็นฝ่ายไป
ไม่เหลือแล้วหัวใจ
ขอเป็นคนทิ้งเธอ",am_fine
ความจริงจากปากของเธอ,/music/thailyric/6632,"ที่รักมองหน้าฉัน ช่วยปลอบใจฉันที
ฉันกำลังรู้สึกไม่ดี กับสิ่งที่ฉันได้รู้มา
ใครบางคนมาบอกกับฉัน ให้เตรียมเช็ดน้ำตา
เหตุเป็นเพราะว่าเธอ บอกไม่ได้รักฉันเลย

(ที่) เธอบอกกับเขาว่าไม่รัก ฉันเพียงแค่คบไปวัน ๆ
เรื่องจริงมันคืออะไร อธิบาย

ความจริงจากปากของเธอ พูดออกมาให้ฉันเข้าใจ
ว่าที่เขาพูดมันไม่จริงใช่ไหม
เธอคงไม่คิดจะทำเรื่องเลวๆ แบบนี้กับฉันได้
เธอรู้ไหมว่ามันจะเจ็บมากแค่ไหน
ถ้าถูกหักหลังจากคนที่รักกัน

ที่รักมองหน้าฉัน ช่วยสบตาฉันที
รู้สึกเธอกำลังไม่ดี แววตาเธอมันไม่เหมือนเดิม
พูดอะไรกับฉันสักคำ อย่าทำเป็นมีพิรุธเลยเธอ
อย่าทำเหมือนเธอยอมรับมัน

(ที่) เธอบอกกับเขาว่าไม่รัก ฉันเพียงแค่คบไปวัน ๆ
เรื่องจริงมันคืออะไร อธิบาย

ความจริงจากปากของเธอ พูดออกมาให้ฉันเข้าใจ
ว่าที่เขาพูดมันไม่จริงใช่ไหม
เธอคงไม่คิดจะทำเรื่องเลวๆ แบบนี้กับฉันได้
เธอรู้ไหมว่ามันจะเจ็บมากแค่ไหน
ถ้าถูกหักหลังจากคนที่รักกัน

(ที่) เธอบอกกับเขาว่าไม่รัก ฉันเพียงแค่คบไปวัน ๆ
เรื่องจริงมันคืออะไร อธิบาย

ความจริงจากปากของเธอ พูดออกมาให้ฉันเข้าใจ
ว่าที่เขาพูดมันไม่จริงใช่ไหม
เธอคงไม่คิดจะทำเรื่องเลวๆ แบบนี้กับฉันได้
เธอรู้ไหมว่ามันจะเจ็บมากแค่ไหน
ถ้าถูกหักหลังจากคนที่รักกัน

เธอรู้ไหมว่าฉันจะเจ็บมากแค่ไหน
ถ้าสุดท้ายคือเธอไม่รักกัน",am_fine
ใจภักดิ์ ใจปอง,/music/thailyric/6635,"เจอกันแบบลับๆ รักกันแบบลวงๆ
ไม่มีสิทธิ์คิดหวง ได้แค่ควงเรื่อยไป
มือที่จับมือฉัน อุ่นไม่ถึงหัวใจ
ตัวจริงคืออะไร ไม่รู้จักสักที

เพราะใจเธอมีเขาอยู่ และก็รักเขามากมาย
ฉันจะทำไงได้ นอกจากต้องเข้าใจ

ว่าเธอรักเขาด้วยใจภักดิ์ แต่รักฉันด้วยใจปอง
มีไว้แค่เพียงสนอง รองรับเมื่อเธอเหงา
ตัวฉันจะมีที่อยู่ ก็ตอนเธอไม่มีเขา
ได้เป็นแค่เงา ที่เช่าใจเธอเท่านั้น

รู้ว่าผิดที่รัก ไม่ควรหวังอะไร
คนที่มาทีหลัง พลาดพลั้งต้องทำใจ

เพราะใจเธอมีเขาอยู่ และก็รักเขามากมาย
ฉันจะทำไงได้ นอกจากต้องเข้าใจ

ว่าเธอรักเขาด้วยใจภักดิ์ แต่รักฉันด้วยใจปอง
มีไว้แค่เพียงสนอง รองรับเมื่อเธอเหงา
ตัวฉันจะมีที่อยู่ ก็ตอนเธอไม่มีเขา
ได้เป็นแค่เงา ที่เช่าใจเธอเท่านั้น

ว่าเธอรักเขาด้วยใจภักดิ์ แต่รักฉันด้วยใจปอง
มีไว้แค่เพียงสนอง รองรับเมื่อเธอเหงา
ตัวฉันจะมีที่อยู่ ก็ตอนเธอไม่มีเขา
ได้เป็นแค่เงา ที่เช่าใจเธอเท่านั้น",am_fine
ไม่เหงาไม่มาใช่ไหม,/music/thailyric/6647,"ไม่เหงาไม่มาใช่ไหม
อยากได้ค่อยมาใช่ไหม
เห็นเป็นคนแก้ขัด หรือยังไง
หยุดเลยไม่เอา
ไม่คุ้มในความเจ็บช้ำ
ที่เธอตอบแทน เราเป็นแฟนกันซะเปล่า
อยากได้แค่ของชั่วคราว
ก็เชิญไปหาข้างหน้าดีกว่าไหมเธอ

คนฆ่าเวลา หรือค่าฉันมีแค่เท่านี้
บอกฉันมาที เธอคบฉันไว้ทำไม
หรือเพียงแค่ที่ระบาย
ผ่อนคลายอารมณ์ตอนเหงาใจ
อยากมาก็มา เบื่อกันก็ไป
อย่างนั้น ใช่ไหม

กอดฉันเบาๆ หรือแกล้งทำเป็นว่าคิดถึง
บอกรักครั้งหนึ่ง ไม่ได้ซึ้งเท่าไร
เมื่อตอนที่ฉันต้องการ
เธอเองก็ยังมาหายไป
กล้าพูดได้ไหม ว่าเรายังเป็นคนรัก

สนุกกับใครไปวัน ๆ
หลงลืมฉันไว้ที่ตรงไหน
พอทีอย่ามานิสัย ปล่อยให้เดียวดาย
ค่อยมานึกถึงกัน

ไม่เหงาไม่มาใช่ไหม
อยากได้ค่อยมาใช่ไหม
เห็นเป็นคนแก้ขัด หรือยังไง
หยุดเลยไม่เอา
ไม่คุ้มในความเจ็บช้ำ
ที่เธอตอบแทน เราเป็นแฟนกันซะเปล่า
อยากได้แค่ของชั่วคราว
ก็เชิญไปหาข้างหน้าดีกว่าไหมเธอ

สนุกกับใครไปวัน ๆ
หลงลืมฉันไว้ที่ตรงไหน
พอทีอย่ามานิสัย ปล่อยให้เดียวดาย
ค่อยมานึกถึงกัน

ไม่เหงาไม่มาใช่ไหม
อยากได้ค่อยมาใช่ไหม
เห็นเป็นคนแก้ขัด หรือยังไง
หยุดเลยไม่เอา
ไม่คุ้มในความเจ็บช้ำ
ที่เธอตอบแทน เราเป็นแฟนกันซะเปล่า
อยากได้แค่ของชั่วคราว
ก็เชิญไปหาข้างหน้าดีกว่าไหมเธอ

สนุกกับใครไปวัน ๆ
หลงลืมฉันไว้ที่ตรงไหน
พอทีอย่ามานิสัย ปล่อยให้เดียวดาย
ค่อยมานึกถึงกัน

ไม่เหงาไม่มาใช่ไหม
อยากได้ค่อยมาใช่ไหม
เห็นเป็นคนแก้ขัด หรือยังไง
หยุดเลยไม่เอา
ไม่คุ้มในความเจ็บช้ำ
ที่เธอตอบแทน เราเป็นแฟนกันซะเปล่า
อยากได้แค่ของชั่วคราว
ก็เชิญไปหาข้างหน้าดีกว่าไหมเธอ

สนุกกับใครไปวัน ๆ
หลงลืมฉันไว้ที่ตรงไหน
พอทีอย่ามานิสัย ปล่อยให้เดียวดาย
ค่อยมานึกถึงกัน

สนุกกับใครไปวัน ๆ
หลงลืมฉันไว้ที่ตรงไหน
พอทีอย่ามานิสัย ปล่อยให้เดียวดาย
ค่อยมานึกถึงกัน",am_fine
ยืมเขามาลา,/music/thailyric/6648,"ยืมเขาได้รึเปล่า ผู้ชาย 1 คนนั้น
ที่เขาเคยเป็นของชั้นมาก่อน
เวลาแค่ไม่นาน เธอคงไม่เดือดร้อน
ไม่คิดจะยื้อจะรั้งเอาไว้

ก้อเราเคยรักกันมาดีดี
แต่วันนี้โดนเธอนั้นแย่งไป
ของรักที่เสียไปก้อต้องอาลัยเป็นธรรมดา

แค่ยืมมาลาหน่อยได้มั้ย
อยากกอดกับเขาครั้งสุดท้าย
ไม่ขออะไรมากมาย
ผู้หญิงด้วยกันน่าจะเข้าใจ
แค่ยืมมามองตาให้ซึ้ง
แล้วจะส่งคืนทั้งตัวและหัวใจอยากได้ก้อเอาไป
ถ้าเธอนั้นดูแลได้ดีกว่าชั้น

เจ็บมั้ยอย่าถามเลย ไม่จำเป็นต้องรู้
ฝากเขาให้เธอช่วยดูก้อพอ
ใช่เลยว่าต้องการ เมื่อเธอกล้าด้านขอ
อย่างน้อยก้อคิดว่ายืมกันใช้

ก้อเราเคยรักกันมาดีดี
แต่วันนี้โดนเธอนั้นแย่งไป
ของรักที่เสียไปก้อต้องอาลัยเป็นธรรมดา

แค่ยืมมาลาหน่อยได้มั้ย
อยากกอดกับเขาครั้งสุดท้าย
ไม่ขออะไรมากมาย
ผู้หญิงด้วยกันน่าจะเข้าใจ
แค่ยืมมามองตาให้ซึ้ง
แล้วจะส่งคืนทั้งตัวและหัวใจอยากได้ก้อเอาไป
ถ้าเธอนั้นดูแลได้ดีกว่าชั้น

แค่ยืมมาลาหน่อยได้มั้ย
อยากกอดกับเขาครั้งสุดท้าย
ไม่ขออะไรมากมาย
ผู้หญิงด้วยกันน่าจะเข้าใจ
แค่ยืมมามองตาให้ซึ้ง
แล้วจะส่งคืนทั้งตัวและหัวใจอยากได้ก้อเอาไป
ถ้าเธอนั้นดูแลได้ดีกว่าชั้น",am_fine
สนุกนักหรือไง,/music/thailyric/6651,"เธอว่าฉันเป็นคนน่าเบื่อ เอาแต่ซัก เอาแต่ถาม
ทำวุ่นวายช่างน่ารำคาญ ไม่ปล่อยเธอให้ไปไหน

ถ้างั้นจะคบกันทำไมให้เหนื่อย เก็บกักฉันเพื่ออะไร
เธอแค่ให้รัก ไม่ให้แคร์ใช่ไหม งั้นอยู่ต่อไปก็เท่านั้น

สนุกนักหรือไง ที่ได้ทำให้ใครต้องเป็นห่วง
แล้วเธอยังมาหาว่าฉันป่วน ป่วนเธอมากไป
พูดแบบนี้ เธอใช้อะไรคิดออกมา
สนุกนักหรือไง หรือดีใจที่ฉันมีน้ำตา
เหมือนฉันเป็นตัวอะไรที่ไม่มีค่า
ไม่เคยรักกัน ถ้าอย่างงั้นก็จะขอย้ายคำว่าแฟน
เอาไปใช้กับคนอื่น

ถ้าพรุ่งนี้ไม่มีฉันอยู่ เธอจะเสียใจบ้างไหม
หรือไม่เคยคิดถึงอะไร นอกจากตัวเธอเอง

ถ้างั้นจะคบกันทำไมให้เหนื่อย เก็บกักฉันเพื่ออะไร
เธอแค่ให้รัก ไม่ให้แคร์ใช่ไหม งั้นอยู่ต่อไปก็เท่านั้น

สนุกนักหรือไง ที่ได้ทำให้ใครต้องเป็นห่วง
แล้วเธอยังมาหาว่าฉันป่วน ป่วนเธอมากไป
พูดแบบนี้ เธอใช้อะไรคิดออกมา
สนุกนักหรือไง หรือดีใจที่ฉันมีน้ำตา
เหมือนฉันเป็นตัวอะไรที่ไม่มีค่า
ไม่เคยรักกัน ถ้าอย่างงั้นก็จะขอย้ายคำว่าแฟน
เอาไปใช้กับคนอื่น",am_fine
กลัวกลางคืน (Fear Night),/music/thailyric/6628,"ไม่รู้ต้องทรมานแค่ไหน
เมื่อวันนี้เธอจะจากกันไป
ไม่รู้กลางคืนจะนานแค่ไหน
ไม่อยากให้แสงไฟมันดับลงไป

ดูเข็มนาทีช่างคืบคลาน
ไม่คุ้นกับการต้องกอดตัวเองเท่าไหร่
แค่สิ่งหนึ่งที่อยากจะขอ
ช่วยอยู่ต่ออีกหน่อยได้ไหม
ฉันขอเป็นครั้งสุดท้าย

อย่าปล่อยให้ฉันต้องจมกับความเหงา
ไม่อยากปวดร้าวในความมืดเพียงคนเดียว
ก็คนกำลังอ่อนไหว
ขาดเธอไปแล้ว เหมือนมันจะขาดใจ

เธออย่าเพิ่งไปจากฉัน
ถ้าเสียเธอ ฉันเหมือนมองไม่เห็นใคร
กลัวความมืดมันจะยิ่งทำร้าย
เวลาที่ฉันไม่มีเธอ

ให้ฉันได้มีเวลาทำใจ
อยู่ข้างๆ กันไปก่อนได้ไหม
พรุ่งนี้แล้วเธอค่อยจากกันไป
เผื่อเธอจะทบทวนและอาจเปลี่ยนใจ

ดูเข็มนาทีช่างคืบคลาน
ไม่คุ้นกับการต้องกอดตัวเองเท่าไหร่
แค่สิ่งหนึ่งที่อยากจะขอ
ช่วยอยู่ต่ออีกหน่อยได้ไหม
ฉันขอเป็นครั้งสุดท้าย

อย่าปล่อยให้ฉันต้องจมกับความเหงา
ไม่อยากปวดร้าวในความมืดเพียงคนเดียว
ก็คนกำลังอ่อนไหว
ขาดเธอไปแล้ว เหมือนมันจะขาดใจ

เธออย่าเพิ่งไปจากฉัน
ถ้าเสียเธอ ฉันเหมือนมองไม่เห็นใคร
กลัวความมืดมันจะยิ่งทำร้าย
เวลาที่ฉันไม่มีเธอ

เธออย่าเพิ่งไปจากฉัน
ถ้าเสียเธอ ฉันเหมือนมองไม่เห็นใคร
กลัวความมืดมันจะยิ่งทำร้าย
เวลาที่ฉันไม่มีเธอ",am_fine
คิดถึงเธอทั้งน้ำตา,/music/thailyric/6633,"ตายังไม่ยอมหลับ ใจยังไม่ยอมปิด
ดูทีวี ดูไปงั้นๆ นอกหน้าต่างยังเห็นไฟส่องมา
เหมือนๆ มีคนไม่หลับกับฉัน

บางคนที่หายไป ทำใจฉันหายตาม
พยายามจะไม่คิดฝัน
เสียงเพลงเก่ากลับแ้ว่วมาอีกที
เหมือนหันไปจะพบเธอ
แล้วก็เจอเพียงรอยความผูกพัน

หลับตาไว้เพื่อหลบน้ำตา
กลั้นเอาไว้ไม่ให้ไหลเอ่อ
อย่าไปคิดไม่ต้องไปเพ้อว่าเธอจะมา
ฝืนให้หลับนั้นยากเพียงใด
ลืมเธอไปนั้นยากยิ่งกว่า
ต้องคิดถึงแต่เธอทั้งน้ำตา

ตรงไฟที่หัวเตียง ยังมองเห็นรูปเก่า
ยังมีเธอกอดอยู่ข้างฉัน
แม้ทุกอย่างจะเหลือเพียงกลิ่นอาย
ที่พลิ้วลอยในหัวใจ ที่ยังทำให้ฉันทรมาน

หลับตาไว้เพื่อหลบน้ำตา
กลั้นเอาไว้ไม่ให้ไหลเอ่อ
อย่าไปคิดไม่ต้องไปเพ้อว่าเธอจะมา
ฝืนให้หลับนั้นยากเพียงใด
ลืมเธอไปนั้นยากยิ่งกว่า
ต้องคิดถึงแต่เธอ

หลับตาไว้เพื่อหลบน้ำตา
กลั้นเอาไว้ไม่ให้ไหลเอ่อ
อย่าไปคิดไม่ต้องไปเพ้อว่าเธอจะมา
ฝืนให้หลับนั้นยากยังไง
ลืมเธอไปนั้นยากยิ่งกว่า
ต้องคิดถึงแต่เธอทั้งน้ำตา

เพราะหัวใจไม่เคยจะลบเธอ",am_fine
