song_name,href,lyric,artist
คนไม่รู้จัก,/music/thailyric/3167,"ฉันยิ้มให้กับใคร เดินกุมมือกับใคร
แววตาที่เปลี่ยนไปฟ้องหัวใจของเธอ
เป็นแฟนที่ห่างเหิน คนรักที่ห่างหาย
จะกลายไปเป็นใครที่ไม่เคยจะพบเจอ
ไม่รู้ว่าเธอคิดอะไร ไม่ใช่คนเดิมอีกแล้ว

นี่เธอเป็นใครกันนะ ใครที่อยู่ตรงนี้
บอกได้มั้ยว่าเธอที่แสนดีอยู่ไหน
เธออาจยังเป็นคนรัก แต่คำว่ารักหายไป
เป็นคนรู้ใจ ที่ฉันไม่รู้จักเลย

เป็นเธอที่ไม่คุ้น คนเดิมที่ไม่คล้าย
คำพูดที่เธอใช้เหมือนไม่เคยพูดมัน
เย็นชาขนาดนี้ จะมีคนอื่นมั้ย
หรือเธอจะหมดใจคิดจะไปก้อพูดกัน

ไม่รู้ว่าเธอคิดอะไร
ไม่ใช่คนเดิมอีกแล้ว

นี่เธอเป็นใครกันนะ ใครที่อยู่ตรงนี้
บอกได้มั้ยว่าเธอที่แสนดีอยู่ไหน
เธออาจยังเป็นคนรัก แต่คำว่ารักหายไป
เป็นคนรู้ใจ ที่ฉันไม่รู้จักเลย

นี่เธอเป็นใครกันนะ ใครที่อยู่ตรงนี้
บอกได้มั้ยว่าเธอที่แสนดีอยู่ไหน
เธออาจยังเป็นคนรัก แต่คำว่ารักหายไป
เป็นคนรู้ใจ ที่ฉันไม่รู้จักเลย

ที่ฉันไม่รู้จักเลย",basher
เจ็บทุกทาง,/music/thailyric/3170,"ใครหนึ่งคนก็ทำ  ทุกๆอย่าง
ทุกหนทางเพื่อเหนี่ยวรั้ง  ไม่ต้องการร่ำลา
ใครอีกคนก็สร้าง  ปัญหา
ทำทุกทางเพื่อจากลา  อยากให้รักจบไป

ทุกทางออก  ไม่ว่าเธอนั้นจะทนอยู่
หรือฉันยอมแพ้ให้รักเราจบ
มันก็ปวดหัวใจ

ไม่มีทางไหนไม่ปวดร้าวยังไงก็เจ็บช้ำ
ต่อให้ฉันจะพยายมซักแค่ไหน
ฉันไม่หมดรักเธอเองก็ยังอยากจากไป
เหมือนไม่มีทางไหนที่ใจฉันไม่เจ็บ

เริ่มละครเรื่องนี้  ยังสวยงาม
ในทุกคำที่บอกรัก  มันก็ยังฝังใจ  โฮ...
ในตอนสุดท้ายต้องพบเจอเรื่องเลวร้าย
จบยังไงก็ช้ำ

ทุกทางออก  ไม่ว่าเธอนั้นจะทนอยู่
หรือฉันยอมแพ้ให้รักเราจบ
มันก็ปวดหัวใจ

ไม่มีทางไหนไม่ปวดร้าวยังไงก็เจ็บช้ำ
ต่อให้ฉันจะพยายมซักแค่ไหน
ฉันไม่หมดรักเธอเองก็ยังอยากจากไป
เหมือนไม่มีทางไหนที่ใจฉันไม่เจ็บ

ไม่มีทางไหนไม่ปวดร้าวยังไงก็เจ็บช้ำ
ต่อให้ฉันจะพยายมซักแค่ไหน
ฉันไม่หมดรักเธอเองก็ยังอยากจากไป
ฉันไม่เหลือทางไหน
ถึงใจฉันจะรัก  ใจเธอก็ยังต้องการจากไป
เหมือนไม่มีทางไหนที่ฉันไม่ต้องเจ็บ

ใครหนึ่งคนยังทำทุกๆอย่าง
จบหนทางเพื่อเหนี่ยวรั้ง
ไม่ให้เธอร่ำ...ลา",basher
ปากหวาน,/music/thailyric/3174,"แค่มองแบบคิดลึก แค่พูดคำหวานๆ ก็แค่อยากเอาใจทุกวัน
ฉันว่าเธอคงรู้ ฉันชอบเธอแค่ไหน ไม่น่าจะรีบตัดสัมพันธ์

ไม่ได้ล่วงเกินเธอซักหน่อย ไม่ได้เป็นอย่างนี้บ่อยนัก
คนที่ได้เห็นมีแค่เธอ
แสดงอาการที่ตรงใจ ปากมันหวานแล้วไงผิดเหรอ
ก็เธอโดนออกอย่างนี้

สายตาฉันมันเจ้าชู้ พูดจาเหมือนคนเจ้าชู้
ฉันเองก็พอจะรู้ ว่ามันดูไม่ค่อยดี
ก็เธอบังเอิญน่ารัก เพราะเธอฉันเลยเป็นแบบนี้
ปากมันหวานแค่เธอนะคนดี จะบอกเธออีกทีว่าฉันรักเธอ

ที่จริงน่ะเรียบร้อย ไม่ค่อยจะปากหวาน คราวนี้มันห้ามใจไม่ทัน
ถ้าทำให้เธอเขิน ฉันก็จะแก้ไข เธอช่วยเปิดใจหน่อยและกัน

ไม่ได้ล่วงเกินเธอซักหน่อย ไม่ได้เป็นอย่างนี้บ่อยนัก
คนที่ได้เห็นมีแค่เธอ
แสดงอาการที่ตรงใจ ปากมันหวานแล้วไงผิดเหรอ
ก็เธอโดนออกอย่างนี้

สายตาฉันมันเจ้าชู้ พูดจาเหมือนคนเจ้าชู้
ฉันเองก็พอจะรู้ ว่ามันดูไม่ค่อยดี
ก็เธอบังเอิญน่ารัก เพราะเธอฉันเลยเป็นแบบนี้
ปากมันหวานแค่เธอนะคนดี จะบอกเธออีกทีว่าฉันรักเธอ

แสดงอาการที่ตรงใจ ปากมันหวานแล้วไงผิดเหรอ
ก็เธอโดนออกอย่างนี้

สายตาฉันมันเจ้าชู้ พูดจาเหมือนคนเจ้าชู้
ฉันเองก็พอจะรู้ ว่ามันดูไม่ค่อยดี
ก็เธอบังเอิญน่ารัก เพราะเธอฉันเลยเป็นแบบนี้
ปากมันหวานแค่เธอนะคนดี จะบอกเธออีกทีว่าฉันรักเธอ

สายตาฉันมันเจ้าชู้ พูดจาเหมือนคนเจ้าชู้
ฉันเองก็พอจะรู้ ว่ามันดูไม่ค่อยดี
ก็เธอบังเอิญน่ารัก เพราะเธอฉันเลยเป็นแบบนี้
ปากมันหวานแค่เธอนะคนดี จะบอกเธออีกทีว่าฉันรักเธอ",basher
ยิ่งรู้จัก ยิ่งรักเธอ,/music/thailyric/3178,"ต้องบอกตรงๆว่าเมื่อแรกเจอเธอก็ดู ทั่วไป
แค่มองด้วยตาไม่พบอะไรที่จะดู เลิศเลอ
แต่เมื่อได้พูดจา ก็เริ่มจะผูกพัน
มันเหมือนมีอะไรที่ตรงกัน เกินคำอธิบาย

ทำไมไม่รู้ สายตาเธอ ยิ่งมองก็ยิ่งซึ้งใจ อย่างไม่เคยเจอ
ยิ่งนานยิ่งคิด ยิ่งสนิท ยิ่งทำอาการฉันหนัก
ยิ่งฉันได้รู้จัก ยิ่งรักเธอ...

ต้องบอกตรงๆว่าเริ่มใจสั่นเมื่อเธอส่งยิ้มมา
ทุกอย่างมันดูไม่ธรรมดา เมื่อได้เดินข้างเธอ
ก่อนนี้แค่ผูกพัน วันนี้มันถูกใจ
พรุ่งนี้ฉันจะรักมากเท่าไร ลองดูก็แล้วกัน...น้า

ทำไมไม่รู้ สายตาเธอ ยิ่งมองก็ยิ่งซึ้งใจ อย่างไม่เคยเจอ
ยิ่งนานยิ่งคิด ยิ่งสนิท ยิ่งทำอาการฉันหนัก
ยิ่งฉันได้รู้จัก ยิ่งรักเธอ...

ทำไมไม่รู้ สายตาเธอ ยิ่งมองก็ยิ่งซึ้งใจ อย่างไม่เคยเจอ
ยิ่งนานยิ่งคิด ยิ่งสนิท ยิ่งทำอาการฉันหนัก
ยิ่งฉันได้รู้จัก
ยิ่งทำให้รัก ยิ้มของเธอ มันทำให้โลกสวยงามกว่าที่เคยเจอ

ทำไมไม่รู้ ยิ่งสนิท ยิ่งทำอาการฉันหนัก
ยิ่งฉันได้รู้จัก ยิ่งรักเธอ
ยิ่งฉันได้รู้จัก ยิ่งรักเธอ
วันนี้ต้องยอมรับ...ว่ารักเธอ",basher
ให้ท่า,/music/thailyric/3184,"ฉันล่องเรือมาไกลแสนไกล และก็ใช้เวลามานานแสนนาน
ลอยอยู่ในทะเล ต้องการจะเข้าฝั่ง

หวังแค่เพียงที่คอยพักใจ อยากจะหาแค่ใครที่เขาต้องการ
ให้เรือลำนี้ ลงหลักปักฐาน

มีเพียงแต่ความรัก เก็บไว้มานานนัก
ใครสักคนที่ต้องการรักจากฉัน อยากจะเจอสักที

ล่องเรือมานาน (ล่องเรือมานาน) ยังไม่มีที่ใดให้ฉันจอด
ล่องเรือมานาน (ล่องเรือมานาน) เจอะแต่ความผิดหวังช้ำตลอด
กี่วันกี่เดือนกี่ปี ก็ยังเฝ้ารอคนดี ที่มีความเมตตา
ที่พร้อมจะให้ท่า ให้เรือฉันจอด

รักที่มีมันเต็มหัวใจ เก็บเอาไว้มานานจนเต็มทั้งลำ
มีใครบ้างไหม ช่วยมาแบ่งปัน

มีเพียงแต่ความรัก เก็บไว้มานานนัก
ใครสักคนที่ต้องการรักจากฉัน อยากจะเจอสักที

ล่องเรือมานาน (ล่องเรือมานาน) ยังไม่มีที่ใดให้ฉันจอด
ล่องเรือมานาน (ล่องเรือมานาน) เจอะแต่ความผิดหวังช้ำตลอด
กี่วันกี่เดือนกี่ปี ก็ยังเฝ้ารอคนดี ที่มีความเมตตา
ที่พร้อมจะให้ท่า ให้เรือฉันจอด

แจวมาแจวจ้ำจึก น้ำนิ่งไหลลึกนึกถึงคนแจว
แจวมาแจวจ้ำจึก น้ำนิ่งไหลลึกนึกถึงคนแจว

ล่องเรือมานาน (ล่องเรือมานาน) ยังไม่มีที่ใดให้ฉันจอด
ล่องเรือมานาน (ล่องเรือมานาน) เจอะแต่ความผิดหวังช้ำตลอด
กี่วันกี่เดือนกี่ปี ก็ยังเฝ้ารอคนดี ที่มีความเมตตา
ที่พร้อมจะให้ท่า ให้เรือฉันจอด

แจวมาแจวจ้ำจึก น้ำนิ่งไหลลึกนึกถึงคนแจว
แจวมาแจวจ้ำจึก น้ำนิ่งไหลลึกนึกถึงคนแจว

ให้เรือฉันจอด

แจวมาแจวจ้ำจึก น้ำนิ่งไหลลึกนึกถึงคนแจว
แจวมาแจวจ้ำจึก น้ำนิ่งไหลลึกนึกถึงคนแจว

ก็ล่องเรือมานานแล้ว

แจวมาแจวจ้ำจึก น้ำนิ่งไหลลึกนึกถึงคนแจว
แจวมาแจวจ้ำจึก น้ำนิ่งไหลลึกนึกถึงคนแจว

ก็เป็นโสดมานานแล้ว ยังไม่มีใคร

แจวมาแจวจ้ำจึก น้ำนิ่งไหลลึกนึกถึงคนแจว
แจวมาแจวจ้ำจึก น้ำนิ่งไหลลึกนึกถึงคนแจว",basher
ดาวเทียม,/music/thailyric/3171,"ตอนเกิดไม่ได้เกิดบนฟ้า
ลืมตาขึ้นมาไม่เหนือใคร
มองจากข้างล่าง มันดูห่างจากฟ้า
คงไม่อาจขึ้นไป

แต่ไม่ได้บอกว่ายอมแพ้
ไม่อยากให้แปลว่าท้อใจ
เลือกเกิดไม่ได้ คงไม่ผิดใช่มั้ย
ที่เลือกสิ่งที่เป็น

สักวัน จะต้องบินขึ้นไป
สักวัน จะอยู่สูงกว่าใคร
สักวัน ต้องเป็นมากกว่านี้

ฉันจะไปอยู่บนฟ้า
ล่องลอยไกลสุดสายตา
ไม่ใช่ดวงดาว
ไม่ได้เกิดมาเป็นดาว
แต่มีความฝันไกล
อาจไม่มีแสงอย่างใครเขา
เป็นดาวที่หัวใจ
ซักวันหนึ่งเถอะ
จะขอไปอยู่เหนือใคร

ทะเยอทะยานกว่าใครนึก
ใช้ความรู้สึกตัดสินใจ
ใครบอกว่ายาก
บังเอิญใจมันรัก
คงไม่หนักเท่าไร

จะไปเป็นดาวอยู่บนนั้น
เข้าใจว่ามันช่างแสนไกล
แต่หยุดไม่ได้
จนนาทีสุดท้าย
จะยอมตายข้างบน

สักวัน จะต้องบินขึ้นไป
สักวัน จะอยู่สูงกว่าใคร
สักวัน ต้องเป็นมากกว่านี้

ฉันจะไปอยู่บนฟ้า
ล่องลอยไกลสุดสายตา
ไม่ใช่ดวงดาว
ไม่ได้เกิดมาเป็นดาว
แต่มีความฝันไกล
อาจไม่มีแสงอย่างใครเขา
เป็นดาวที่หัวใจ
ซักวันหนึ่งเถอะ จะขอไปอยู่เหนือใคร

เป็นดาว เป็นดาว เป็นดาว ด้วยหัวใจ
บนฟ้า บนฟ้า บนฟ้า จะบินขึ้นไป

ฉันจะไปอยู่บนฟ้า
ล่องลอยไกลสุดสายตา
ไม่ใช่ดวงดาว
ไม่ได้เกิดมาเป็นดาว
แต่มีความฝันไกล
อาจไม่มีแสงอย่างใครเขา
เป็นดาวที่หัวใจ
ซักวันหนึ่งเถอะ
จะขอไปอยู่เหนือใคร

ฉันจะไปอยู่บนฟ้า
ล่องลอยไกลสุดสายตา
ไม่ได้ใช่ดวงดาว
ไม่ได้เกิดมาเป็นดาว
แต่มีความฝันไกล

ขอทำตามที่ใจฝัน
มีวันที่ยิ่งใหญ่
ที่ฝันจะเป็นจริง
และฉันจะอยู่เหนือใคร

เป็นดาว เป็นดาว เป็นดาว ด้วยหัวใจ
บนฟ้า บนฟ้า บนฟ้า...
เป็นดาว เป็นดาว เป็นดาว ด้วยหัวใจ
บนฟ้า บนฟ้า บนฟ้า จะบินขึ้นไป",basher
เที่ยงคืน,/music/thailyric/3172,"อย่าเพิ่งนอนได้ไหม ฉันมีเรื่องบอก
เรื่องที่เธอ จำเป็น ต้องเข้าใจ
อีกไม่กี่นาที ก็จะถึงวันใหม่
จะไม่ยอมเสียมันไปอีกวัน

คนอย่างฉัน เคยเป็นคนที่ไม่ได้ความ
คิดอะไรก็ไม่ได้ทำ ทุกอย่างก็สายเกินไป
วันนี้ เป็นเหมือนเดิม (คง)ไม่ได้

จะดีจะร้าย จะต้องเป็นหรือตาย
ก็ไม่ว่า ฉันต้องบอกเธอ
อย่างน้อย คนอย่างฉัน
ที่มัน ไม่เลิศไม่เลอ
ก็ยังได้พูดว่ารัก (ก็ได้รักเธอ)

หนึ่งชีวิตของฉัน ที่มันเหลืออยู่
ก็ไม่รู้ จะจบ ลงเมื่อไร
ขอแค่เพียงคืนนี้ ได้ทำสิ่งที่ตั้งใจ
พรุ่งนี้เป็นยังไง ก็ช่างมัน

คนอย่างฉัน เคยเป็นคนที่ไม่ได้ความ
คิดอะไรก็ไม่ได้ทำ ทุกอย่างก็สายเกินไป
วันนี้ เป็นเหมือนเดิม (คง)ไม่ได้

จะดีจะร้าย จะต้องเป็นหรือตาย
ก็ไม่ว่า ฉันต้องบอกเธอ
อย่างน้อย คนอย่างฉัน
ที่มัน ไม่เลิศไม่เลอ
ก็ยังได้พูดว่ารัก (ก็ได้รักเธอ)

และในค่ำคืนนี้ จะมีความหมายกว่าทุกวัน
จะจำไม่มีวันลืมตลอดไป

จะดีจะร้าย จะต้องเป็นหรือตาย
ก็ไม่ว่า ฉันต้องบอกเธอ
อย่างน้อย คนอย่างฉัน
ที่มัน ไม่เลิศไม่เลอ
ก็ยังได้พูดว่ารัก (ก็ได้รักเธอ)

จะดีจะร้าย จะต้องเป็นหรือตาย
ก็ไม่ว่า ฉันต้องบอกเธอ
อย่างน้อย คนอย่างฉัน
ที่มัน ไม่เลิศไม่เลอ
ก็ยังได้พูดว่ารัก (ก็ได้รักเธอ)",basher
ประสาผู้ชาย,/music/thailyric/3173,"ต้องเข้าพวก ต้องเฮสักหน่อย บางทีมันลืมสิ่งที่สำคัญไป
ไม่ได้แกล้งจะหนี หรือหลบหน้ากัน อย่าคิดไกล

ที่ไม่ให้เธอไปด้วยกัน
มันมีแต่เพื่อนผู้ชายทั้งนั้นจะไปได้ยังไง
ไม่ได้มีความลับ ไม่ได้ห้ามเจอ อย่าน้อยใจ

อยากจะเป็นคนรักให้ดีมากกว่านี้
พยายามกี่ครั้งยังดีไม่เท่าไร
มันยังมีนอกเรื่องนอกราว ประสาผู้ชาย
แต่มันไม่เคยนอกใจ ยังรักแค่เธอ

เว้นช่องว่างให้กันสักหน่อย มีโลกส่วนตัวก็คงไม่เป็นไร
ให้คิดถึงก็ต้องไม่เจอะไม่เจอ ให้มากไป

ที่ไม่ให้เธอไปด้วยกัน
มันมีแต่เพื่อนผู้ชายทั้งนั้นจะไปได้ยังไง
ไม่ได้มีความลับ ไม่ได้ห้ามเจอ อย่าน้อยใจ

อยากจะเป็นคนรักให้ดีมากกว่านี้
พยายามกี่ครั้งยังดีไม่เท่าไร
มันยังมีนอกเรื่องนอกราว ประสาผู้ชาย
แต่มันไม่เคยนอกใจ ยังรักแค่เธอ

อยากจะเป็นคนรักให้ดีมากกว่านี้
พยายามกี่ครั้งยังดีไม่เท่าไร
มันยังมีนอกเรื่องนอกราว ประสาผู้ชาย
แต่มันไม่เคยนอกใจ ยังรักแค่เธอ

อาจไม่ค่อยได้พูดอะไรที่อยากฟัง
อาจจะมีบางครั้งที่เธอไม่ชอบใจ
มันยังมีนอกเรื่องนอกราว ประสาผู้ชาย
แต่มันไม่เคยนอกใจ ยังรักแค่เธอ",basher
เพื่อนที่ดี (ที่ไม่เต็มใจ),/music/thailyric/3176,"เป็นคนสุดท้ายทุกทีที่จะมาหา
ต้องคอยเช็ดน้ำตาเมื่อเธอเสียใจ
รับรู้ทุกๆอย่างที่เธอนั้นถูกใครทำร้าย
เป็นคนคอยปลอบใจเธอทุกที

และมันก็ช้ำฉันเองที่เป็นอย่างนั้น
ทั้งที่ใจไม่เคยยินยอมซักที
เธอรักเหมือนเพื่อนสนิท
เธอไม่คิดไปเกินกว่านี้
ต้องเป็นเพื่อนที่ดีที่ไม่เต็มใจจะรัก

อยากเป็นมากกว่านั้น เธอจะรักฉันได้หรือเปล่า
ไม่อยากเป็นคนแก้เหงา ที่ได้แต่ฝันละเมอ
ด้วยการคอยซับน้ำตา อยากเป็นตัวจริงของเธอ
เป็นไปได้หรือเปล่า ขอได้ไหม

ก็คงยังหวังดีกับเธอเสมอ
แต่ไม่อยากเป็นเพื่อนเธอคนที่แสนดี
ก็รู้ว่ามันผิดที่มันคิดอะไรอย่างนี้
เบื่อการเป็นคนดีที่ไม่มีใครมารัก

อยากเป็นมากกว่านั้น เธอจะรักฉันได้หรือเปล่า
ไม่อยากเป็นคนแก้เหงา ที่ได้แต่ฝันละเมอ
ด้วยการคอยซับน้ำตา อยากเป็นตัวจริงของเธอ
เป็นไปได้หรือเปล่า ขอได้ไหม

อยากเป็นมากกว่านั้น เธอจะรักฉันได้หรือเปล่า
ไม่อยากเป็นคนแก้เหงา ที่ได้แต่ฝันละเมอ
ด้วยการคอยซับน้ำตา อยากเป็นตัวจริงของเธอ
เป็นไปได้หรือเปล่า ขอได้ไหม

โห...โอ... ฉันไม่อยากเป็นแค่เพื่อนเธอ
ช่วยมารักกันหน่อยได้ไหม
โห...โอ... เป็นไปได้หรือเปล่า",basher
ฟ้า,/music/thailyric/3177,"มีใครใครมาย้ำเตือน มีใครใครมาห้ามปราม
ว่าฉันจะพยายามเพื่ออะไร
รู้ตัวเองว่าผิดหวัง รู้ว่าเธอไม่สนใจ
แต่แล้วทำไมฉันยังเฝ้าแต่รอ

กับความหวัง แม้ไม่ให้เดินต่อ
มีคนบอกฉันว่าพอเถอะพอ ยิ่งทำยิ่งเสียใจ
แต่ที่รู้ เป็นความต้องการของใจ
ที่ฉันยังรออยู่ ยังเฝ้าคอยเธออยู่ ที่ตรงนี้

เผื่อสวรรค์จะมีตา เผื่อว่าฟ้าจะมีใจ
ให้เธอรักกับฉันได้ไหมสักที
มีชีวิตมาตั้งนาน ไม่เคยถูกใจเท่าคนนี้
ให้ฟ้าช่วยมาเมตตาฉันหน่อย

เป็นเพียงคนธรรมดา มีอะไรไม่เลิศเลอ
จนฉันก็กลัวว่าเธอมองข้ามไป
รักนี้มันช่างหนักหนา ขอให้ฟ้าช่วยเห็นใจ
ได้ไหมให้เธอมีใจให้ก็พอ

กับความหวัง แม้ไม่ให้เดินต่อ
มีคนบอกฉันว่าพอเถอะพอ ยิ่งทำยิ่งเสียใจ
แต่ที่รู้ เป็นความต้องการของใจ
ที่ฉันยังรออยู่ ยังเฝ้าคอยเธออยู่ ที่ตรงนี้

เผื่อสวรรค์จะมีตา เผื่อว่าฟ้าจะมีใจ
ให้เธอรักกับฉันได้ไหมสักที
มีชีวิตมาตั้งนาน ไม่เคยถูกใจเท่าคนนี้
ให้ฟ้าช่วยมาเมตตาฉันหน่อย

แต่ที่รู้ เป็นความต้องการของใจ
ที่ฉันยังรออยู่ ยังเฝ้าคอยเธออยู่ ที่ตรงนี้

เผื่อสวรรค์จะมีตา เผื่อว่าฟ้าจะมีใจ
ให้เธอรักกับฉันได้ไหมสักที
มีชีวิตมาตั้งนาน ไม่เคยถูกใจเท่าคนนี้
ให้ฟ้าช่วยมาเมตตาฉันหน่อย

นานนานทีได้เจอ กับเธอคนนี้ (ช่วยฉันทีได้ไหม)
(มีชีวิตมาตั้งนาน ไม่เคยถูกใจเท่าคนนี้)
ฉันที่ยังเฝ้ารอ ต้องทำยังไง
ให้เธอมารักกันสักที (ให้ฟ้าช่วยมาเมตตาฉันหน่อย)",basher
