song_name,href,lyric,artist
ควัน,/music/thailyric/10274,"ฉันไม่รู้จะหยุดความคิด ที่ฉันมี ได้อย่างไร
ทั้งที่รู้ว่ามันเป็นเรื่องที่ผิด และไม่ควรคิด ทำต่อไป
ทุกๆ ครั้งที่ฉันเดินก้าวไปนั้น ฉันรู้ รู้ดีอยู่ข้างใน
ยิ่งถลำเข้าไปยิ่งลึกมาก ฉากสุดท้ายนั้นจะต้องเป็นอย่างไร
แต่เพราะความอ่อนแอ ฉันจึงพ่ายแพ้
ไม่ยอมที่จะเดินกลับหลังหันจากไป

หยุดลมหายใจ หยุดชีวิตไป
หรือจะต้องแลกด้วยอะไร ไม่ว่าต้องสูญต้องเสียเท่าไร
ยังจะง่ายกว่าที่ต้องตัดสินใจ

หยุดไม่รักเธอ หยุดคิดถึงเธอ
ทั้งที่ฉันก็รู้แก่ใจ ว่าอีกไม่ช้าไม่นานเท่าไร
เรื่องของเรานั้นก็ต้องจบ

นั่งมองเวลาที่มีอยู่น้อย เหมือนยิ่งคอย คอยจะบีบคั้น
ยังมีอะไรอีกเป็นล้านสิ่ง ที่อยากทำให้ ก่อนจะจากกัน
ฉันรู้ว่าเธอต้องกลับไปแล้ว และรู้ รู้ดีหลังจากนั้น
ทุกๆ อย่างจะกลายเป็นแค่อดีต เป็นแค่ความคิด เป็นแค่หมอกควัน

แต่เพราะความอ่อนแอ ฉันจึงพ่ายแพ้
ทั้งๆ ที่รู้ว่าเรานั้นไม่มีวัน

เพราะฉันอ่อนแอ ฉันจึงพ่ายแพ้
ทั้งๆ ที่รู้ ว่าสุดท้าย ต้องเลิกกัน

หยุดลมหายใจ หยุดชีวิตไป
หรือจะต้องแลกด้วยอะไร ไม่ว่าต้องสูญต้องเสียเท่าไร
ยังจะง่ายกว่าที่ต้องตัดสินใจ

หยุดไม่รักเธอ หยุดคิดถึงเธอ
ทั้งที่ฉันก็รู้แก่ใจ ว่าอีกไม่ช้าไม่นานเท่าไร
เรื่องของเรานั้น เรื่องของเรานั้น ก็ต้องจบ",bee_perapat
น๊ะ,/music/thailyric/10066,"เธอใจร้าย รู้ไหมเธอทำให้ใครเขาคอยห่วง
เธอมันร้าย เธอชอบทำอะไรให้ฉันนั้นคอยห่วง
ให้ฉันต้องเป็นห่วง

เวลานอนเธอก็ไม่รู้จักนอน ไม่พักผ่อนให้เพียงพอ
ไม่กินของที่มีประโยชน์ เธอทำให้ฉันโกรธ
คิดแล้วยิ่งโกรธ น่าโมโห

เธอใจร้าย ไม่รักตัวเธอเองอย่างที่ฉันรักเธอ
เธอมันร้าย ไม่คิดถึงหัวใจของคนที่รักเธอ ฉันที่รักเธอ

บางเวลาที่เราอาจต้องห่างไกล
ฝากเธอดูแลตัวเองคนที่ฉันรักมากมาย
แต่ว่าเธอทำให้ไม่ได้ ทำแทนฉันไม่ได้ เจ็บใจเหลือเกิน

อยากให้เธอ beautiful นานๆ
ถ้าเธอนอนน้อยกลัวเธอจะมีริ้วรอย
อยากให้เธอ wonderful ทุกๆ ทาง
ถ้าเธอกินอาหารไม่เป็นเวลากรดไหลย้อนมันจะ­มา
eating healthy, sleeping early ทำได้ไหมเธอ

คนใจร้าย รู้ไหมเธอทำให้ใจฉันวุ่นวาย
หยุดได้ไหม เหมือนเธอจงใจอยากให้ฉันบ้าตาย ให้ฉันบ้าตาย

เป็นกังวลในวันที่ต้องห่างไกล จนพักผ่อนไม่เพียงพอ
ขอบตาฉันลึกดำเกินไป กินไม่ค่อยได้
นอนไม่ค่อยได้ กลายเป็นเหมือนเธอ

อยากให้เธอ beautiful นานๆ
ถ้าเธอนอนน้อยกลัวเธอจะมีริ้วรอย
อยากให้เธอ wonderful ทุกๆ ทาง
ถ้าเธอกินอาหารไม่เป็นเวลากรดไหลย้อนมันจะ­มา
eating healthy, sleeping early ทำได้ไหมเธอ

eating healthy, sleeping early ตกลงไหมเธอ",bee_perapat
ทุกคืน,/music/thailyric/2922,"จะไปทำอะไรๆ เมื่อไหร่จะอยู่ห่างไกลแสนไกล
จะไปเจออะไรๆ จะดีจะเลวจะร้ายเท่าไหร่
มีแค่เธอคนดีคนเดียวจริงๆ ที่ไม่ทิ้ง
ทุกอย่างได้รับรู้ จากวันที่ฉันได้เจอะเธอ

อาจจะเหน็ดจะเหนื่อยจะหนักเท่าไหร่จะทนจะทำรู้ไหม
ก็ถ้าเธอยังคงเป็นเธอ อะไรๆ ก็ทำให้ได้
จะไม่มีอะไรๆ ที่ฉันทำไม่ไหว
ทุกอย่างที่ฉันมี ก็ฉันนั้นจะใช้มันกับเธอ

อยากกอดเธอก่อนนอนทุกคืน
อยากจะเห็นหน้าเธอเมื่อตื่น
ได้อยู่ด้วยกัน เก็บความฝันอันนี้ไว้ในใจ
อยากจูบเธอก่อนนอนทุกคืน จะปลอบเมื่อเธอฝันร้าย
ไม่ห่างไปไหนตลอดไป ชีวิตฉันขอดูแลเธอได้ไหม

ใครจะมีอะไรๆ ที่ดูว่าดีว่ามันยิ่งใหญ่
ใครจะเป็นอะไรๆ ยังไงตามอย่างที่ใจฝันใฝ่
มีแค่เธอคนดีคนเดียวจริงๆ ที่ฉันฝัน
เพราะสิ่งเหล่านั้น หากว่ามันไม่มีใครให้แบ่งปันก็เท่านั้น

อยากกอดเธอก่อนนอนทุกคืน
อยากจะเห็นหน้าเธอเมื่อตื่น
ได้อยู่ด้วยกัน เก็บความฝันอันนี้ไว้ในใจ
อยากจูบเธอก่อนนอนทุกคืน จะปลอบเมื่อเธอฝันร้าย
ไม่ห่างไปไหนตลอดไป ชีวิตฉันขอดูแลเธอได้ไหม

ไม่เคยต้องการอะไร นอกจากการที่ได้มั่นใจ
ว่าฉันและเธอจะไม่เหงา เราจะมีกันและกัน

อยากกอดเธอก่อนนอนทุกคืน
อยากจะเห็นหน้าเธอเมื่อตื่น
ได้อยู่ด้วยกัน เก็บความฝันอันนี้ไว้ในใจ
อยากจูบเธอก่อนนอนทุกคืน จะปลอบเมื่อเธอฝันร้าย
ไม่ห่างไปไหนตลอดไป ชีวิตฉันขอดูแลเธอจะได้ไหม",bee_perapat
ไวต์ เลิฟ สตอรี่ (White Love Story),/music/thailyric/2929,"เพิ่งได้รู้ได้เข้าใจสายตา
ที่เธอมองมานั้นมีอะไรอยู่ภายใน
ซ่อนความเดียวดาย ฉันเองได้สัมผัสถึง

ตลอดเวลาอยากจะถามว่าเธอ
รู้ตัวบ้างไหมว่ามีใจให้เธอ
แม้ไม่เคยเอ่ยสักคำ
แต่ลึกในใจเราไม่ต่างกัน

อยากจะขอมือเธอ ให้ฉันจับไว้ได้ไหม
จะไม่ยอมให้อะไรแยกเราไกลห่าง
และจะทำทุกทางให้ทุกลมหายใจได้มีเธอ

ขอแค่เพียงมือเธอให้ฉันจับไว้
ความเหงาก็อันตระธาน
ค่ำคืนและวันจะสวยเพียงไรเมื่อเรามีกัน

ผ่านเวลาที่ช่างดูเงียบงัน
หัวใจอ้างว้างล่องลอยมาพบกัน
ได้เติมเต็มคืนและวัน
รอยยิ้มของเธอได้หยุดเวลาไว้

อยากจะขอมือเธอให้ฉันจับไว้ได้ไหม
จะไม่ยอมให้อะไรแยกเราไกลห่าง
ฉันจะทำทุกทางให้ทุกลมหายใจได้มีกัน

ขอแค่เพียงมือเราจับกันเอาไว้
จากนี้ไม่กลัวอะไร มีเธอข้างกาย
ชีวิตได้มีเธอเป็นของขวัญ

ขอแค่เพียงมือเราจับกันเอาไว้
จากนี้ไม่กลัวอะไร มีเธอข้างกาย
แค่รู้ว่ามีเธออยู่ข้างกัน 
โลกนี้ฉันไม่ต้องการสิ่งใด",bee_perapat
เธอกับดาว,/music/thailyric/2923,"อยู่ตรงนี้เฝ้ามองดูดาว ทบทวนเรื่องราวที่ฝังในใจ
เปรียบกับดาวที่ดูแสนไกล และเธอก็คงเหมือนกัน
อย่างที่รู้ว่าเธอนั้นสูงเกินไป
สำหรับฉันที่จะเอื้อมเธอลงมาจากฟ้า
ได้แต่เฝ้าเพ้อ คนเดียวอย่างนี้

เหม่อมองฟ้าทั้งวันและคืน
ไม่อาจฝืนที่จะคิดถึงเธอ
อยากให้รู้เธอเท่านั้นที่เป็นหนึ่ง
เหมือนดาวที่อยู่เบื้องบน
ส่องแสงมาให้ใจฉันชื่นชม อยู่ตรงนี้

ไม่มีหวัง ให้เป็นดังใจ
ฉันยังห่วงใย เธอทุกเวลา
เปรียบกับเธอ ฉันนั้นดูไร้ค่า
ขอยอมรับความเป็นจริง

เธอคือดาว คู่ควรฟ้าที่กว้างใหญ่
จะไม่ดึงให้เธอโน้มตัวมาแนบกับดิน
ได้แต่มองเธอ ไกลไกลอย่างนี้

เหม่อมองฟ้าทั้งวันและคืน
ไม่อาจฝืนที่จะคิดถึงเธอ
อยากให้รู้เธอเท่านั้นที่เป็นหนึ่ง
เหมือนดาวที่อยู่เบื้องบน
ส่องแสงมาให้ใจฉันชื่นชม อยู่ตรงนี้

เหม่อมองฟ้าทั้งวันและคืน
ไม่อาจฝืนที่จะคิดถึงเธอ
อยากให้รู้เธอเท่านั้นที่เป็นหนึ่ง
ให้ความรู้สึกที่ดี อย่างนี้อยู่เรื่อยไปให้รู้ว่า

เมื่อเหม่อมองฟ้าทั้งวันและคืน
ไม่อาจฝืนที่จะคิดถึงเธอ
อยากให้รู้เธอเท่านั้นที่เป็นหนึ่ง
เหมือนดาวที่อยู่เบื้องบน
ส่องแสงมาให้ใจฉันชื่นชม อยู่ตรงนี้",bee_perapat
ทั้งชีวิต,/music/thailyric/2919,"เฝ้ารอคอยใครซักคน ท่ามกลางหมู่คนนับล้านรอบกาย
อยู่ในใต้ฟ้าเดียวกัน โลกพื้นเดียวกันเธออยู่ที่ไหน
กี่คนที่ผ่านเข้ามา ไม่เคยเจอกับคนที่หวังไว้ซักที
ไม่รู้อีกนานเท่าไร รักที่โหยหาจึงจะได้พบ

หากใครข้างบนกำหนดให้ฉันต้องรอ
ก็ขอให้ช่วยเห็นใจซักครั้ง ทำให้เราเจอกันซักที
หากโชคชะตากำหนดให้เรารักกัน
ขอช่วยเร่งคืนและวันได้ไหม อย่าปล่อยให้รอทั้งชีวิต

อยากรู้กำหนดด้วยใคร
อยากถามมีเหตุผลไหมบอกฉันที
อะไรคือการพิสูจน์ ว่าคนๆ นี้ควรจะมีรัก

หากใครข้างบนกำหนดให้ฉันต้องรอ
ก็ขอให้ช่วยเห็นใจซักครั้ง ทำให้เราเจอกันซักที
หากโชคชะตากำหนดให้เรารักกัน
ขอช่วยเร่งคืนและวันได้ไหม อย่าปล่อยให้รอทั้งชีวิต

อยากถามว่าคนบนฟ้าซ่อนความรักไว้ทำไม
จะดึงดันแกล้งกันไปอีกแค่ไหน
ให้ผู้คนมากมายได้สุขใจในรัก
แต่ทำไมเป็นฉันคนเดียวที่ต้องอ้างว้าง

ทำให้เราเจอกันซักครั้ง

หากโชคชะตากำหนดให้เรารักกัน
ขอช่วยเร่งคืนและวันได้ไหม
แค่คนๆ เดียว ให้ฉันได้เจอก่อนสิ้นใจ
อย่าปล่อยให้รอทั้งชีวิต",bee_perapat
นาฬิกา,/music/thailyric/2924,"นาฬิกายังเดินหมุนไป ไม่หยุด
ใจข้างใน ก็เลยหมุนตามด้วยความสุขทุกข์เวียนวน
วันเวลากับความสัมพันธ์ของคน หมุนไปไม่หยุดเลย

หนึ่งนาทีอาจจะพอ พอให้เคยคุ้นกัน
หนึ่งชั่วโมง อาจทำให้คนชอบกัน
และหนึ่งวัน อาจผูกพันจนรักกัน

แต่ทั้งหมดชีวิต มันจะพอไหม
ที่จะใช้เพื่อลืม ไม่คิดถึงคนหนึ่งคน
ทั้งหมดชีวิต เวลาที่ยังเหลือ
จะพอไหมให้ใจ ได้ลบล้างความผูกพัน
เพื่อลืมคนหนึ่งคน

นาฬิกายังเดินหมุนไป ไม่เปลี่ยน
ใจข้างในกลับเดินช้าลง ไม่ตรงไม่เท่าเวลา
นาฬิกากับการพลัดพลากจากลา หมุนไปไม่กลับคืน

หนึ่งนาทีอาจจะพอ พอให้เคยคุ้นกัน
หนึ่งชั่วโมง อาจทำให้คนชอบกัน
และหนึ่งวัน อาจผูกพันจนรักกัน

แต่ทั้งหมดชีวิต มันจะพอไหม
ที่จะใช้เพื่อลืม ไม่คิดถึงคนหนึ่งคน
ทั้งหมดชีวิต เวลาที่ยังเหลือ
จะพอไหมให้ใจ ได้ลบล้างความผูกพัน

หากนาฬิกา ย้อนวันเวลากลับไป
ถึงวันที่เราเจอกัน แล้วฉันจะทำอย่างไร
ตอบใจตัวเอง ถ้าย้อนไปวินาทีนั้น
ฉันก็จะทำอย่างเดิม ฉันจะรักเธออย่างเดิม

แต่ทั้งหมดชีวิต มันจะพอไหม
ที่จะใช้เพื่อลืม ไม่คิดถึงคนหนึ่งคน
ทั้งหมดชีวิต เวลาที่ยังเหลือ
จะพอไหมให้ใจ ได้ลบล้างความผูกพัน

ทั้งหมดชีวิต มันจะพอไหม
ที่จะใช้เพื่อลืม ไม่คิดถึงคนหนึ่งคน
ทั้งหมดชีวิต เวลาที่ยังเหลือ
จะพอไหมให้ใจ ได้ลบล้างความผูกพัน

ทั้งหมดชีวิต มันจะพอไหม
ที่จะใช้เพื่อลืม ไม่คิดถึงคนหนึ่งคน
ทั้งหมดชีวิต เวลาที่ยังเหลือ
จะพอไหมให้ใจ ได้ลบล้างความผูกพัน",bee_perapat
น้ำหยดเดียว,/music/thailyric/2925,"เคยคิดคงสักวัน ถ้าฉันรักเธอได้มากพอ
และเธอก็คงจะรับจะรู้และอาจเห็นใจกันสักครั้ง

แต่ใจเธอก็เป็นเหมือนดังทะเลทรายอ้างว้าง
และความรักของฉันนั้นเป็นเหมือนน้ำเพียงแค่หยดเดียว
ต่อให้ฉันทุ่มเทให้ไปเท่าไร
มันก็หายไป ไม่เคยมีค่าเลย

อีกนานแค่ไหน ต้องขนาดไหน
รักจึงจะซึมเข้าไป เข้าไปถึงตรงที่หัวใจเธอนั้น
ต้องทำแค่ไหน เพื่อให้เธอมีน้ำใจ
ต่ออายุ ให้ความหวังกันได้ไหม

ก็หัวใจมันเหนื่อยล้า
ให้ไปแล้ว ไม่เห็นเคยได้กลับมา
ไม่มีวันที่ฉันจะชนะใจ
ในเมื่อฉันนั้นเป็นได้เพียงแค่น้ำเพียงหยดเดียว
หยดน้ำในพื้นทราย

ที่ฉันทำให้ไปอาจดูเล็กน้อยสำหรับเธอ
แต่รู้เอาไว้ว่านั่นคือทั้งชีวิต
และหมดหัวใจคนอย่างฉัน

แต่ใจเธอก็เป็นเหมือนดังทะเลทรายอ้างว้าง
และความรักของฉันนั้นเป็นเหมือนน้ำเพียงแค่หยดเดียว
ต่อให้ฉันทุ่มเทให้ไปเท่าไร
มันก็หายไป ไม่เคยมีค่าเลย

อีกนานแค่ไหน ต้องขนาดไหน
รักจึงจะซึมเข้าไป เข้าไปถึงตรงที่หัวใจเธอนั้น
ต้องทำแค่ไหน เพื่อให้เธอมีน้ำใจ
ต่ออายุ ให้ความหวังกันได้ไหม

ก็หัวใจมันเหนื่อยล้า
ให้ไปแล้ว ไม่เห็นเคยได้กลับมา
ไม่มีวันที่ฉันจะชนะใจ
ในเมื่อฉันนั้นเป็นได้เพียงแค่น้ำเพียงหยดเดียว

อีกนานแค่ไหน ต้องขนาดไหน
รักจึงจะซึมเข้าไป เข้าไปถึงตรงที่หัวใจเธอนั้น
ต้องทำแค่ไหน เพื่อให้เธอมีน้ำใจ
ต่ออายุ ให้ความหวังกันได้ไหม

ก็หัวใจมันเหนื่อยล้า
ให้ไปแล้ว ไม่เห็นเคยได้กลับมา
ไม่มีวันที่ฉันจะชนะใจ
ในเมื่อฉันนั้นเป็นได้เพียงแค่น้ำเพียงหยดเดียว
หยดน้ำในพื้นทราย",bee_perapat
ผมเกรงใจ,/music/thailyric/2926,"เห็นแล้ว เห็นว่าคุณน่ะมากับใคร
ก็รู้ทั้งรู้ว่าเขามากับคุณ
และก็เห็นสายตาจากคุณ
ส่งมาให้ผมใช่ไหม ว่าคิดอะไร

ท่าทีข้างในสายตา มันฟ้องความต้องการ
และถ้าหากคุณน่ะคิดตรงกับที่ผมคิดไว้

ถามเขาดูก่อนไหม ถามเขาดีกว่าไหม
เขาว่าไง ผมก็ว่าอย่างนั้นเลย
ถามเขาดูก่อนไหม ถามเขาดีกว่าไหม
เห็นแล้วมันไม่อยากทำกับเขาเลย ผมเกรงใจ

ทั้งตัวคุณก็ยืนเบียดกาย
อยู่ในอ้อมแขนของเขา ไม่เห็นขัดเขิน
พอเขาเผลอก็หันมาสบตา
แล้วก็ส่งยิ้มหวานๆ ให้ผมหวั่นไหว

ท่าทีข้างในสายตา มันฟ้องความต้องการ
(สายตามันฟ้องความต้องการ)
และถ้าหากคุณน่ะคิดตรงกับที่ผมคิดไว้

ถามเขาดูก่อนไหม ถามเขาดีกว่าไหม
เขาว่าไง ผมก็ว่าอย่างนั้นเลย
ถามเขาดูก่อนไหม ถามเขาดีกว่าไหม
เห็นแล้วมันไม่อยากทำกับเขาเลย ผมเกรงใจ

ถามเขาดูก่อนไหม ถามเขาดีกว่าไหม
เขาว่าไง ผมก็ว่าอย่างนั้นเลย
ถามเขาดูก่อนไหม ถามเขาสักคำก่อนไหม
ผมก็ไม่ได้อยากทำให้ใครๆ เดือดร้อน

ถามเขาดูก่อนไหม ถามเขาดีกว่าไหม
เขาว่าไง ผมก็ว่าอย่างนั้นเลย
ถามเขาดูก่อนไหม ถามเขาสักคำก่อนไหม
เห็นแล้วมันไม่อยากทำกับเขาเลย ผมเกรงใจ",bee_perapat
ไม่เหลืออะไรจะเสีย,/music/thailyric/2927,"ไม่เหลืออะไรจะเสียแล้วเรา
จะอ่อนไหวไม่เป็นตัวเองอย่างนี้
จะหลับตาลงยังคงฝันเห็นเธออยู่ดี
แม้พยายามห้ามปรามหัวใจ

ไม่เหลืออะไรจะเสียแล้วเรา
หมดไปแล้วตั้งแต่เมื่อวันแรกเจอ
ยิ่งผ่านเวลาภาพเธอ ยิ่งชัดขึ้นกว่าเดิม
ทนทานใจตัวเองไม่ไหว
ฉันเลยต้องบอกกับเธอว่า

ฉันรักเธอ ที่อยู่ในใจคือฉันรักเธอ
ทั้งหมดในใจคือฉันรักเธอ
ใจของฉันขอวางไว้ในมือเธอ
Babe The Babe The Babe
ขึ้นอยู่ที่เธอหมดแล้ว

สุขหรือทุกข์อย่างไรต้องขอลอง
ทนทานใจตัวเองไม่ไหว
ฉันเลยต้องบอกกับเธอว่า

ฉันรักเธอ ที่อยู่ในใจคือฉันรักเธอ
ทั้งหมดในใจคือฉันรักเธอ
ใจของฉันขอวางไว้ในมือเธอ
Babe The Babe The Babe
ขึ้นอยู่ที่เธอหมดแล้ว

ไม่เหลืออะไรจะเสียแล้วเรา ขอระบายให้รู้
ว่าทุกตารางหัวใจทุกนาทีในฝัน
ไม่มีแล้วใคร นอกจากเธอ",bee_perapat
