song_name,href,lyric,artist
การเดินทาง (Backpack),/music/thailyric/10845,"บทความที่ฉันได้เขียน
มาจากบทเรียนที่เธอเคยเรียน
วาจาที่ฉันเอ่ยไป มาจากอารมณ์ที่เธอผ่านเจอ

เพียงการเดินทางเพียงหนึ่งสัปดาห์
หนึ่งเดือน หนึ่งปี มันมีความหมาย
ทำให้เติบโตเรียนรู้เข้าใจได้มากกว่า

การเดินทางของฉันและเธอคือการเรียนรู้
การเรียนรู้ของเราสองคนคือความเข้าใจ
เธอเข้าใจและฉันเข้าใจก็ทำให้เรามั่นใจ

การเดินทางของฉันและเธอคือการเรียนรู้
การเรียนรู้ของเราสองคนคือความเข้าใจ
เธอเข้าใจและฉันเข้าใจก็ทำให้เรามั่นใจ ในสิ่งนั้น

สิ่งที่เราเรียนรู้ ส่งเสริมต่อการก้าวเดิน
เรื่องราวที่เราเผชิญ อยู่ที่เราเข้าใจมันไหม

เพียงการเดินทางเพียงหนึ่งสัปดาห์
หนึ่งเดือน หนึ่งปี มันมีความหมาย
ทำให้เติบโตเรียนรู้เข้าใจได้มากกว่า

การเดินทางของฉันและเธอคือการเรียนรู้
การเรียนรู้ของเราสองคนคือความเข้าใจ
เธอเข้าใจและฉันเข้าใจก็ทำให้เรามั่นใจ

การเดินทางของฉันและเธอคือการเรียนรู้
การเรียนรู้ของเราสองคนคือความเข้าใจ
เธอเข้าใจและฉันเข้าใจก็ทำให้เรามั่นใจ
ในสิ่งนั้น ในความรัก

การเดินทางของฉันและเธอคือการเรียนรู้
การเรียนรู้ของเราสองคนคือความเข้าใจ
เธอเข้าใจและฉันเข้าใจก็ทำให้เรามั่นใจ

การเดินทางของฉันและเธอคือการเรียนรู้
การเรียนรู้ของเราสองคนคือความเข้าใจ
เธอเข้าใจและฉันเข้าใจก็ทำให้เรามั่นใจ ในสิ่งนั้น

การเดินทางของฉันและเธอคือการเรียนรู้
การเรียนรู้ของเราสองคนคือความเข้าใจ (ในความรัก)
เธอเข้าใจและฉันเข้าใจก็ทำให้เรามั่นใจ

การเดินทางของฉันและเธอคือการเรียนรู้
การเรียนรู้ของเราสองคนคือความเข้าใจ
เธอเข้าใจและฉันเข้าใจก็ทำให้เรามั่นใจ
ในความรัก",chart_suchart
ที่เหลือ,/music/thailyric/14708,"ผ่านเรื่องราวตั้งมากตั้งมาย
สุขทุกข์เคลื่อนไปรอบตัว
อาจแอบกลัวหัวใจเธอเปลี่ยนไป
เรื่องวันวานความรักของเธอ
ที่เพ้อว่ามันงดงาม
ยังติดตามและคอยมาหลอกกัน

เขายังอยู่ในความคิด
เขายังเป็นส่วนหนึ่ง ของเธอเสมอ

คนที่ยืนภายในหัวใจของเธอ
ที่จริงก็ยังเป็นเขา
แล้วจะมีที่เหลือของเราอีกสักแค่ไหน
คนที่ยืนข้างเธอตลอด
ที่จริงมันไม่ใช่ฉัน
ในความผูกพัน
ในใจของเธอนั้น ไม่ได้ลืมเขาเลย

แอบได้เห็นบางสายตาเธอ
ที่คล้ายอาการละเมอ
ดั่งใจเธอได้ลอยไปไกล
แอบได้ยินน้ำเสียงบางคำ
ถลำลงในอดีต
ที่เธอกับเขาได้เคยร่วมขีดไว้

เขายังอยู่ในความนึกคิด
เขายังเป็นส่วนหนึ่ง ของเธอเสมอ

คนที่ยืนภายในหัวใจของเธอ
ที่จริงก็ยังเป็นเขา
แล้วจะมีที่เหลือของเราอีกสักแค่ไหน
คนที่ยืนข้างเธอตลอด
ที่จริงมันไม่ใช่ฉัน
ในความผูกพัน
ในใจของเธอนั้น

การที่เธอไม่ลืมสิ่งนั้น
ก็เท่ากับทำให้ใจฉันช้ำ
เธอทำลายเรื่องราวของเรา
ด้วยการไม่ได้ลืมเขาเลย

คนที่ยืนภายในหัวใจของเธอ
ที่จริงก็ยังเป็นเขา
แล้วจะมีที่เหลือของเราอีกสักแค่ไหน
คนที่ยืนข้างเธอตลอด
ที่จริงมันไม่ใช่ฉัน
ในความผูกพัน
ในใจของเธอนั้น ไม่ได้ลืมเขาเลย",chart_suchart
บันไดเลื่อน,/music/thailyric/14270,"ฉันยืนตรงบันไดเลื่อนขาลง
ก้มมองตรงหลับตาเก็บงำอารมณ์
ใจฉันจมลงในเรื่องราวระบม
เกินจะข่มไม่ให้เกิดรอยน้ำตา

เผลอลืมตาเหลียวมองบันไดขาขึ้น
สมองเหมือนเวียนมึน เมื่อเจอเธอที่คุ้นเคย
โอ้ว จับมือกับอีกคนอย่างเปิดเผย
แล้วลงเอยที่บันไดพาเธอเลื่อนผ่าน

เสมือนภาพ Slow จากหนัง Action
เสมือนภาพตัวฉันในหนัง Drama
เสมือนภาพยนตร์ที่ฉันสร้างมา

โอ้ว เธอกับฉัน บอกลากันเมื่อวาน
เหตุการณ์ยังร้อนยังมี น้ำตายังคงไหล
มันช่างเซอร์ไพรส์จริงๆ ที่เธอมีคนใหม่
บันได เลื่อนเธอกับเขาจากไป

เรื่องราว นับพันล่องลอยในหัว
ใช่เธอชัวร์ คนนั้นที่ฉันรู้จัก
โอ้ว คนที่รัก และทิ้งฉันไปไม่นาน
สอดประสานกับเหตุการณ์ที่พบเจอ

เสมือนภาพ Slow จากหนัง Action
เสมือนภาพตัวฉันในหนัง Drama
เสมือนภาพยนตร์ที่ฉันสร้างมา

โอ้ว เธอกับฉัน บอกลากันเมื่อวาน
เหตุการณ์ยังร้อนยังมี น้ำตายังคงไหล
มันช่างเซอร์ไพรส์จริงๆ ที่เธอมีคนใหม่
บันได เลื่อนเธอกับเขา

เพราะ เธอกับฉัน บอกลากันเมื่อวาน
เหตุการณ์ยังร้อนยังมี น้ำตายังคงไหล
มันช่างเซอร์ไพรส์จริงๆ ที่เธอมีคนใหม่

บันไดเลื่อนเธอกับเขา
จากไป จากไป จากไป จากไป",chart_suchart
เพียง,/music/thailyric/13158,"ฉากสุดท้าย ก่อนจางหาย
ก่อนสลายไปในเวลา
ยังคงคิด ยังคงหวัง
สิ่งที่พลั้งที่ทำกับเธอ

เพียงอยากเห็น
เรื่องราวเก่าย้อน
เรื่องราวเหล่านั้น
มาทุกตอนตื่น เพียงชีวิต
เพียงสักนิด เพียงโปรดคิดอีกครั้ง

ฉันก็รู้ว่าทำให้เธอปวด
อ่อนล้าและเสียน้ำตาให้เรื่องราว
เวลาที่ผ่านมา ผิดพลั้งที่ทำให้เสียไป
แต่ฉันก็รู้ว่ายังรักเธออยู่
และเธอคงรู้ว่ายังรักกันอยู่
เวลาที่ผ่านไป
จดจำได้ใช่ไหมว่าเราเคยรักกัน

ฉากก่อนนั้น เธอและฉัน
มันกลับมาย้ำซ้ำๆ ให้จำเรื่องที่พลั้ง

เพียงอยากเห็น
เรื่องราวเก่าย้อน
เรื่องราวเหล่านั้น
มาทุกตอนตื่น เพียงชีวิต
เพียงสักนิด เพียงโปรดคิดอีกครั้ง

ฉันก็รู้ว่าทำให้เธอปวด
อ่อนล้าและเสียน้ำตาให้เรื่องราว
เวลาที่ผ่านมา ผิดพลั้งที่ทำให้เสียไป
แต่ฉันก็รู้ว่ายังรักเธออยู่
และเธอคงรู้ว่ายังรักกันอยู่
เวลาที่ผ่านไป
จดจำได้ใช่ไหมว่าเราเคยรักกัน

ฉันก็รู้ว่าทำให้เธอปวด
อ่อนล้าและเสียน้ำตาให้เรื่องราว
เวลาที่ผ่านมา ผิดพลั้งที่ทำให้เสียไป
แต่ฉันก็รู้ว่ายังรักเธออยู่
และเธอก็รู้ว่ายังรักกันอยู่
เวลาที่ผ่านไป
จดจำได้ใช่ไหมว่าเราเคยรักกัน",chart_suchart
หนังสือเล่มเก่า,/music/thailyric/12184,"ภาพถ่ายที่ยังอยู่ในกรอบ
รอบๆ ตัว สิ่งของยังวางอยู่ที่เดิม
ไม่เคยคิดเพิ่มเติมหรือเสริมแต่ง
ยังติดอยู่ในเรื่องราวของหนังสือเล่มเดิม

โคมไฟสาดแสงสะท้อนละมุน
เสียงเพลงบรรเลงเพลงที่เคยคุ้น
ก็ทั้งๆ ที่นาฬิกา ก็ยังคงหมุน

อย่าติดกับเวลา ที่ยังเดินไปข้างหน้า
โปรดจงลองมองหา สิ่งใหม่ๆ บนปฏิทิน
เป็นแค่เศษหยดน้ำ ที่ควรหยุดไหลริน
ให้เป็นเพียงหนังสือเล่มหนึ่งที่เคยอ่าน

ให้เป็นแค่ภาพยนตร์เรื่องหนึ่งที่เคยผ่านตา
หรืออาจจะแค่เครื่องบินลำโต
ที่เคยผ่านบนท้องฟ้า
ให้เป็นแค่โพราลอยด์รูปหนึ่งที่เคยถ่ายมา

อย่าติดกับเวลา ที่ยังเดินไปข้างหน้า
โปรดจงลองมองหา สิ่งใหม่ๆ บนปฏิทิน
เป็นแค่เศษหยดน้ำ ที่ควรหยุดไหลริน
ให้เป็นเพียงหนังสือเล่มหนึ่งที่เคยอ่าน

อย่าติดกับเวลา ที่ยังเดินไปข้างหน้า
โปรดจงลองมองหา สิ่งใหม่ๆ บนปฏิทิน
เป็นแค่เศษหยดน้ำ ที่ควรหยุดไหลริน
ให้เป็นเพียงหนังสือเล่มหนึ่ง
ให้เป็นเพียงนิยายเรื่องหนึ่ง
แค่ชีวิตของใครคนหนึ่ง ที่เคยผ่าน",chart_suchart
แหงน,/music/thailyric/10843,"ฟ้าบอกกับฉัน ว่าฉันมีฟ้าอีกทั้งคน
ดาวยังบอกกับฉัน ว่าถ้าเหงาเมื่อไรให้มองไปด้านบน
อาทิตย์ยังอยู่ตรงนั้น แผดแสงระเหยน้ำตารวมกัน
เมฆขาวเก็บน้ำตาฉัน รวมตัวกันเป็นเมฆสีดำ

อยากอยู่บนนั้น อยากอยู่บนฟ้า
อยากอยู่บนดวงดาว ในค่ำคืนที่เหงาใจ
ปล่อยให้เรื่องราว ปล่อยอยู่อย่างนั้น
ปล่อยพื้นดินเป็นไปโดยไม่มีฉัน

ก็เพราะฉันก็ไม่รู้ ว่าทำไม
ไม่อาจลืมเรื่องราวที่เศร้าใจ
ฉันเองก็ไม่รู้ว่าเพราะอะไร
ที่ต้องฝืนสมองให้ทนเก็บไว้

อยากขึ้นไปบนนั้น
รวมตัวกับฟ้ากับดาวโดยไม่มีฉัน

ฟ้าบอกกับฉัน ว่าฉันมีฟ้าอีกทั้งคน
ดาวยังบอกกับฉัน ว่าถ้าเหงาเมื่อไรให้มองไปด้านบน

อยากอยู่บนนั้น อยากอยู่บนฟ้า
อยากอยู่บนดวงดาว ในค่ำคืนที่เหงาใจ
ปล่อยให้เรื่องราว ปล่อยอยู่อย่างนั้น
ปล่อยพื้นดินเป็นไปโดยไม่มีฉัน

ก็เพราะฉันก็ไม่รู้ ว่าทำไม
ไม่อาจลืมเรื่องราวที่เศร้าใจ
ฉันเองก็ไม่รู้ว่าเพราะอะไร
ที่ต้องฝืนสมองให้ทนเก็บไว้

อยากขึ้นไปบนนั้น
รวมตัวกับฟ้ากับดาวโดยไม่มีฉัน

ก็เพราะฉันก็ไม่รู้ ว่าทำไม
ไม่อาจลืมเรื่องราวที่เศร้าใจ
ฉันเองก็ไม่รู้ว่าเพราะอะไร
ที่ต้องฝืนสมองให้ทนเก็บไว้

อยากขึ้นไปบนนั้น
รวมตัวกับฟ้ากับดาวโดยไม่มีฉัน

อยากขึ้นไปบนนั้น
รวมตัวกับฟ้ากับดาวโดยไม่มีฉัน",chart_suchart
ข้างเดียว (You've Never Seen),/music/thailyric/17979,"เผยความจริงให้เธอได้มองเห็น
เห็นในใจใครบางคนที่รอ ให้เธอหันมอง

หัวใจเราให้ไปสักแค่ไหน
ก็ไม่ทำให้เธอหัน มามอง เห็นรักในใจ

ให้เท่าไรไม่พอใจเธอใยช่างเป็นสีดำ
พยายามเท่าไรก็ไม่มีหวัง

ทำได้เพียงแค่นั้น ทำได้เพียงแค่ฝัน
ไม่มีทางที่มันเป็นจริงขึ้นมาได้
เธอไม่เคยจะเห็น เธอไม่เคยจะหัน
เธอไม่เคยจะปันหัวใจให้ฉันเลย
ไม่ว่าจะเปิดเผย จะกี่คำเฉลย
เธอก็ยังจะเฉยๆ ชา ไม่สนใจ
เธอได้ยินบ้างไหม ว่าใคร
ให้รักไปเพียงข้างเดียว

ฉันคงทำได้เพียงแค่เท่านี้
คิดถึงเธอในทุกวินาที แม้ไม่มีทาง

ให้เท่าไรไม่พอใจเธอใยช่างเป็นสีดำ
พยายามเท่าไรก็ไม่มีหวัง

ทำได้เพียงแค่นั้น ทำได้เพียงแค่ฝัน
ไม่มีทางที่มันเป็นจริงขึ้นมาได้
เธอไม่เคยจะเห็น เธอไม่เคยจะหัน
เธอไม่เคยจะปันหัวใจให้ฉันเลย
ไม่ว่าจะเปิดเผย จะกี่คำเฉลย
เธอก็ยังจะเฉยๆ ชา ไม่สนใจ
เธอได้ยินบ้างไหม ว่าใคร
ให้รักไปเพียงข้างเดียว

พยายามลืมเธอเท่าไรก็ไม่เห็นฉันจะทำได้
ราวกับเธอสาดน้ำมันพราย ให้ฉันรัก

ทำได้เพียงแค่นั้น แค่ฝัน
ไม่มีทางที่มันเป็นจริงขึ้นมาได้
เธอไม่เคยจะเห็น จะหัน
เธอไม่เคยจะปันหัวใจให้ฉันเลย
ไม่ว่าจะเปิดเผย จะกี่คำเฉลย
เธอก็ยังจะเฉยๆ ชา ไม่สนใจ
เธอได้ยินบ้างไหม ว่าใคร

ทำได้เพียงแค่นั้น ทำได้เพียงแค่ฝัน
ไม่มีทางที่มันเป็นจริงขึ้นมาได้
เธอไม่เคยจะเห็น เธอไม่เคยจะหัน
เธอไม่เคยจะปันหัวใจให้ฉันเลย
ไม่ว่าจะเปิดเผย จะกี่คำเฉลย
เธอก็ยังจะเฉยๆ ชา ไม่สนใจ
เธอได้ยินบ้างไหม ว่าใคร",chart_suchart
คนที่เธอไม่เคยภูมิใจ,/music/thailyric/16090,"ขอโทษที่ทำให้เสียใจ
ขอโทษที่ไม่ได้เป็นคนอย่างที่เธอหวัง
ขอโทษที่ฉันไม่เอาไหน
ไม่เคยทำอะไรให้เธอภูมิใจเลยสักครั้ง

แต่เธอปิดประตู ไม่ยอมรับรู้ ในปัญหาที่ฉันเจอ
ต้องทนแค่ไหน ต้องปวดแค่ไหน เธอจะเห็น

มีไหมสักวันที่เธอจะเข้าใจ
มีไหมสักวันที่เธอจะยอมรับ ในสิ่งที่ฉันเป็น
มันทรมานสักแค่ไหน
เธอที่ควรเข้าใจที่สุด
กลับไม่เข้าใจอะไรในตัวฉันเลย

ฉันพยายามอธิบาย
ให้ความในใจสะท้อนแววตาให้เธอรู้
แต่เธอไม่เคยจะหันดู
ไม่เคยเข้ามาในโลกใบเดียวกันกับฉัน

เพราะเธอปิดประตู ไม่ยอมรับรู้ ในปัญหาที่ฉันเจอ
ต้องทนแค่ไหน ต้องปวดแค่ไหน เธอจะเห็น

มีไหมสักวันที่เธอจะเข้าใจ
มีไหมสักวันที่เธอจะยอมรับ ในสิ่งที่ฉันเป็น
มันทรมานสักแค่ไหน
เธอที่ควรเข้าใจที่สุด
กลับไม่เข้าใจอะไรในตัวฉันเลย

มีไหมสักวันที่เธอจะเข้าใจ
มีไหมสักวันที่เธอจะยอมรับ ในสิ่งที่ฉันเป็น
มันทรมานสักแค่ไหน
เธอที่ควรเข้าใจที่สุด
กลับไม่เข้าใจอะไรในตัวฉัน",chart_suchart
ใครกำหนด,/music/thailyric/19030,"เมื่อหลีกไม่พ้นก็ต้องทนไป กล้ำกลืนและฝืนใจไปทุกที
ที่ต้องกลายมาเป็นแบบนี้นี่เป็นเพราะใคร
ไม่อยากจะรับก็ลอยลงมา ที่อยากจะคว้าก็ปลิวไปไกล
และสุดท้าย ไม่มีทางไหนให้ฉันเลือกเลย

อยากจะรู้ใครกำหนดไว้ อยากจะรู้ทำไมต้องเจอ
ความเป็นจริงที่ไม่เป็นดังใจ

โชคชะตาใยต้องแกล้งกัน มันมีแต่ขวากหนาม
เป็นเวรเป็นกรรม หรือผิดที่ฉันทำไป
อยากจะถามเพียงแค่สักคำ ทำไมนะทำไม
ใครกันที่ทำให้เป็นแบบนี้

ไม่อาจจะคิดจะหวังอะไร ต้องผ่านให้ได้ไปเพียงวันๆ
เมื่อความฝันที่มีสลายแค่ในพริบตา
จะเอาชนะหรือว่าทำตาม จะเอ่ยคำรักหรือว่าคำลา
สุดแต่ฟ้าและดินใช่ไหม ไม่อาจเลือกเอง

อยากจะรู้ใครกำหนดไว้ อยากจะรู้ทำไมต้องเจอ
ความเป็นจริงที่ไม่เป็นดังใจ

โชคชะตาใยต้องแกล้งกัน มันมีแต่ขวากหนาม
เป็นเวรเป็นกรรม หรือผิดที่ฉันทำไป
อยากจะถามเพียงแค่สักคำ ทำไมนะทำไม
ใครกันที่ทำให้เป็นแบบนี้

โชคชะตาใยต้องแกล้งกัน มันมีแต่ขวากหนาม
เป็นเวรเป็นกรรม หรือผิดที่ฉันทำไป
อยากจะถามเพียงแค่สักคำ ทำไมนะทำไม
ใครกันที่ทำให้เป็นแบบนี้

ใครกันที่ทำให้เป็นแบบนี้",chart_suchart
ดีกว่า...ถ้ามีกัน (ของขวัญ),/music/thailyric/11940,"เนื้อเพลง ชาครีย์ ลาภบุญเรือง, สถาปัตย์ ธีรนิตยภาพ, สิงโต นำโชค
ทำนอง ชาครีย์ ลาภบุญเรือง
เรียบเรียง กิจจ๊าซ (กิจจาศักดิ์ ตริยานนท์)

มีเรื่องราวมากมายที่ไม่มีใครได้ฟัง คำพูดนับร้อยพันที่ต้องการเอื้อนเอ่ย
ไม่ว่าจะนานสักเท่าไร ยังยืนยันคำเดิมเสมอไม่เคยเปลี่ยน

จะมอบให้เธอทั้งหมดหัวใจที่ฉันมี จะอยู่ตรงนี้คู่กันเสมอไม่เคยเปลี่ยน
มีเธอที่รักข้างในจิตใจ อยู่ตรงนี้และตลอดไป ต่อจากนี้

เธอกับฉัน จะอยู่เคียงคู่กันนับจากนี้
มีเพียงเธอเท่านั้นที่รู้ใจเป็นอย่างดี และจะมีเพียงเธอคนนี้ตลอดไป
มากกว่านั้น ดีกว่าถ้ามีกันนับจากนี้ มีเพียงคำว่ารักที่สองเรานั้นรู้ดี
เคียงข้างกันและกันแบบนี้ ด้วยกันตลอดไป

เธอกับฉัน จะอยู่เคียงคู่กันนับจากนี้
มีเพียงเธอเท่านั้นที่รู้ใจเป็นอย่างดี และจะมีเพียงเธอคนนี้ตลอดไป
มากกว่านั้น ดีกว่าถ้ามีกันนับจากนี้ มีเพียงคำว่ารักที่สองเรานั้นรู้ดี
เคียงข้างกันและกันแบบนี้ ด้วยกันตลอดไป

และตลอดไป",chart_suchart
