song_name,href,lyric,artist
Revolution,/music/thailyric/16142,"ฉันเองก็เพิ่งรู้ตัว เมื่อลืมตาขึ้นมาในวันนี้
รู้เลยว่ามันไม่มี อะไรในตัวจะดีเลยสักอย่าง

เหมือนฟ้าสีเทาไม่สดใส น้ำตามันคอยจะรินไหล
เหมือนว่าหัวใจมันถูกกระทำ จนเกินต้านทาน

ผิดที่ยอมฝืนทนเป็นคนในฝันของเธอตั้งนาน
สิ่งที่ใจต้องการตอนนี้คือไม่เอาอีกแล้ว พอได้แล้ว

อย่ามองว่าฉันไม่มีหัวใจ
ไม่ใช่สิ่งของอะไรที่ทำพัง แล้วเธอจะโยนทิ้ง
อย่าเลยอย่าเสียเวลา เอาตัวของฉันคืนมา
ไม่อยากจะเสียน้ำตา เธอคงเข้าใจใช่ไหม
ความรักมันมากจนเป็นเกลียด ทุกสิ่งทุกอย่างแตกเป็นเสี่ยง
คอยอยู่เคียงข้างกันเสมอ มีแค่ฉันและเธอไม่เคยเปลี่ยน

Ima change man ทุกอย่างที่ทำก็เพื่อเธอ
ให้เธอทั้งหมดทั้งชีวิต แม้ความฝันที่เลือกเดิน
But burn burn let it burn ชีวิตต้อง Live and learn
แม้เธอเป็นทุกอย่าง You are my soul girl you are my world
และมันต้องถึงวันต้องลุกขึ้นยืน อาจจะดูเป็นคนผิด
แต่ว่าจะไม่ฝืนให้ใครอีกหน และก็จะไม่ทนอีก Nar

ผิดที่ยอมฝืนทนเป็นคนในฝันของเธอตั้งนาน
สิ่งที่ใจต้องการตอนนี้ ไม่เอาอีกแล้ว พอได้แล้ว

อย่ามองว่าฉันไม่มีหัวใจ
ไม่ใช่สิ่งของอะไรที่ทำพัง แล้วเธอจะโยนทิ้ง
อย่าเลยอย่าเสียเวลา เอาตัวของฉันคืนมา
ไม่อยากจะเสียน้ำตา เธอคงเข้าใจใช่ไหม

ผิดที่ยอมฝืนทนเป็นคนในฝันของเธอตั้งนาน
สิ่งที่ใจต้องการตอนนี้ คือไม่เอาอีกแล้ว พอได้แล้ว

อย่ามองว่าฉันไม่มีหัวใจ
ไม่ใช่สิ่งของอะไรที่ทำพัง แล้วเธอจะโยนทิ้ง
อย่าเลยอย่าเสียเวลา เอาตัวของฉันคืนมา
ไม่อยากจะเสียน้ำตา เธอคงเข้าใจใช่ไหม",da_endorphine
คำอำลา (Have To Say Goodbye),/music/thailyric/16123,"เปลี่ยนแปลงตัวเองเท่าไร
ก็ไม่ดีมากพอสักครั้ง
เหนื่อยใจมาพอหรือยัง
ที่ต้องทนเธออยู่เรื่อยไป

ไม่ว่าทำดีเท่าไร
ก็ไม่ดีมากพอใช่ไหม
อะไรคือความเข้าใจ
ที่ฉันควรได้จากเธอ

เธอยังเป็นเธอเหมือนเดิม
เป็นยังไงก็เป็นอย่างนั้น
ส่วนฉันก็คงเหมือนกัน
ที่ต้องร้องไห้อยู่ในใจ

อยากทำให้เราเข้าใจ
พยายามให้มันไม่สาย
แต่มันก็เหนื่อยแล้วใจ
สายไปที่จะเยียวยา

ก่อนที่เราจะเกลียดกัน
อยากจะหยุดมันด้วยคำลา
จบแค่นี้ Have to say goodbye

แม้ภายในใจจะเจ็บปวด ก็ต้องทน มันให้ไหว
ต้องไม่เป็นไร ต้องยอมเป็นคนปล่อยมือไป
แม้คำอำลาจะเจ็บปวด ก็ต้องเอ่ยมันออกไป
แม้จะเสียใจ ก็ให้มันจบลงแค่เท่านี้

เธอยังเป็นเธอเหมือนเดิม
เป็นยังไงก็เป็นอย่างนั้น
ส่วนฉันก็คงเหมือนกัน
ที่ต้องร้องไห้อยู่ในใจ

วันเวลาไม่ช่วยอะไร
ก็ยังคงเสียใจมันอย่างนั้น
มันคงจะมาถึงวัน
ที่เรื่องของเราจะจบสักที

ก่อนที่เราจะเกลียดกัน
อยากจะหยุดมันด้วยคำลา
จบแค่นี้ Have to say goodbye

แม้ภายในใจจะเจ็บปวด ก็ต้องทน มันให้ไหว
ต้องไม่เป็นไร ต้องยอมเป็นคนปล่อยมือไป
แม้คำอำลาจะเจ็บปวด ก็ต้องเอ่ยมันออกไป
แม้จะเสียใจ ก็ให้มันจบลงแค่เท่านี้

ก่อนที่เราจะเกลียดกัน
อยากจะหยุดมันด้วยคำลา
จบแค่นี้ Have to say goodbye

แม้ภายในใจจะเจ็บปวด ก็ต้องทน มันให้ไหว
ต้องไม่เป็นไร ต้องยอมเป็นคนปล่อยมือไป
แม้คำอำลาจะเจ็บปวด ก็ต้องเอ่ยมันออกไป
แม้จะเสียใจ ก็ให้มันจบลงแค่เท่านี้",da_endorphine
ฉันยังอยู่,/music/thailyric/16180,"ถึงเธอ คนที่เคยผูกพัน ฉันยังคิดถึงเรื่องเราวันนั้น
ก็ยังคงเหงาเหมือนเพิ่งจากกันไปเมื่อวาน

ถึงเธอ ตอนนี้เธอเป็นอย่างไร
เนิ่นนาน เธอคิดถึงกันบ้างไหม
ฝากเพลงเพลงนี้บอกให้เธอรู้

ฉันยังอยู่ จะอยู่ตรงนี้
คอยดูแลเธอเสมอไม่เคยเปลี่ยนไป
ฉันยังอยู่ ไม่ว่าวันไหน
ไม่ว่าเมื่อไร ฉันยังคงส่งใจไปให้เธอ

ฝากสายลม แทนถึงความห่วงใย
ฝากแสงดาว ส่องนำให้เธอสุขใจ
ฝากผ่านเพลงนี้ บอกให้เธอรู้

ฉันยังอยู่ จะอยู่ตรงนี้
คอยดูแลเธอเสมอไม่เคยเปลี่ยนไป
ฉันยังอยู่ ไม่ว่าวันไหน
ไม่ว่าเมื่อไร ฉันยังคงส่งใจไปให้เธอ

ให้ทุกเรื่องราว ที่เคยมีแต่ความรู้สึกดีดี เก็บเอาไว้
ภาพยังงดงาม ยังชัดเจน อยู่ในหัวใจ อยู่ข้างในนั้น

ฉันยังอยู่ จะอยู่ตรงนี้ คอยดูแลเธอเสมอ

ฉันยังอยู่ จะอยู่ตรงนี้
คอยดูแลเธอเสมอไม่เคยเปลี่ยนไป
ฉันยังอยู่ ไม่ว่าวันไหน
ไม่ว่าเมื่อไร ฉันยังคงส่งใจไปให้เธอ

ฉันยังอยู่ ไม่ว่าวันไหน
ไม่ว่าเมื่อไร ฉันยังคงส่งใจไปให้เธอ",da_endorphine
ระหว่างเรา...คืออะไร,/music/thailyric/16139,"หลายครั้งพยายามจะเข้าใจ
รู้ดีที่สองเราเป็นอยู่
รู้ไม่ต้องหาคำมาอธิบาย
แต่โลกนี้ไม่ได้มีเพียงแค่เรา
ฉันเองไม่รู้ในคำตอบ
ทุกทีที่เขานั้นถามมา

ตอบไม่ถูกว่าเธอนั้นคิดยังไง
ตอบไม่ถูกระหว่างเราคืออะไร
อึดอัดทั้งเธอและฉัน ตอบไม่ถูกว่ามัน
จะไปจบลงตรงที่ไหน
บอกมาเถอะถ้าเธอไม่คิดจริงจัง
บอกมาเถอะวันหนึ่งต้องลาใช่ไหม

แต่หากไม่เป็นอย่างนั้น
เธอต้องบอกกับฉัน ว่าระหว่างเราคืออะไร

ก็ฉันรอเธอมานาน แสนนาน แค่เธอ
แม้ใครจะยังไง ฉันก็ยังรอเธอเสมอ
ให้ชัดเจนเลยได้ไหม ว่าตัวฉันคืออะไร
ส่วนไหนชีวิตเธอ ก่อนที่เวลาจะสายไป

แค่เพียงเหตุผลเดียว ที่ทำให้ฉันรอ
เธอบอกไม่ต้องรู้ว่าเรานั้นคบกันแบบไหน
ก็สุขอยู่เหมือนกัน มีเธอที่เข้าใจ
แต่เธอรู้สึกไหม เวลาที่ใครนั้นถามมา

ตอบไม่ถูกไม่รู้จะเริ่มยังไง
ตอบไม่ถูกระหว่างเราคืออะไร
อึดอัดทั้งเธอและฉัน ตอบไม่ถูกว่ามัน
จะไปจบลงตรงที่ไหน

บอกมาเถอะถ้าเธอไม่คิดจริงจัง
บอกมาเถอะวันหนึ่งต้องลาใช่ไหม

แต่หากไม่เป็นอย่างนั้น
เธอต้องบอกกับฉัน ว่าระหว่างเราคืออะไร

ก็ฉันรอเธอมานาน แสนนาน แค่เธอ
แม้ใครจะยังไง ฉันก็ยังรอเธอเสมอ
ให้ชัดเจนเลยได้ไหม ว่าตัวฉันคืออะไร
ส่วนไหนชีวิตเธอ ก่อนที่เวลาจะสายไป

แค่เพียงเหตุผลเดียว ที่ทำให้ฉันรอ
เธอบอกไม่ต้องรู้ว่าเรานั้นคบกันแบบไหน

ก็ฉันรอเธอมานาน แสนนาน แค่เธอ
แม้ใครจะยังไง ฉันก็ยังรอเธอเสมอ
ให้ชัดเจนเลยได้ไหม ว่าตัวฉันคืออะไร
ส่วนไหนชีวิตเธอ ก่อนที่เวลาจะสายไป

ฉันรอเธอมานานแสนนาน แค่เธอ
แม้ใครจะยังไง ฉันก็ยังรอเธอเสมอ
ให้ชัดเจนเลยได้ไหม ว่าตัวฉันคืออะไร
ส่วนไหนชีวิตเธอ ก่อนที่เวลาจะสายไป",da_endorphine
ไม่ต้องรู้ว่าเราคบกันแบบไหน,/music/thailyric/1603,"ใคร..อาจจะไม่เข้าใจ
ว่าความสัมพันธ์ของเรา
นั้นมันเป็นเช่นไร
และใคร..อาจจะเข้าใจผิด
และคงคิดไป
และคงเข้าใจตามที่เห็น

คง..มีเพียงเราสองคน
ท่ามกลางหมู่ดาวมากมาย
ที่รู้กันในใจ

มันจำเป็นด้วยหรือ ที่ต้องอยู่ในกฏเกณฑ์
ที่ใครบางคนกำหนด ว่ารักเป็นอย่างไร

ไม่ต้องรู้ว่าเราคบกันกันแบบไหน
ไม่อาจหาคำคำไหนมาเพื่ออธิบาย
ไม่ต้องรักเหมือนคนรัก ก็สุขหัว..ใจ
เพียงแค่เราเข้าใจ ก็เหนือคำอื่นใดในโลกนี้

เรา..อาจจะแยกกันอยู่
ไม่นอนด้วยกันทุกคืนทุกวัน
อย่างคู่ใคร
อย่างน้อย..มีเธอที่เข้าใจ
แม้จะไม่มีผุ้ใดเข้าใจความรักนี้

คง..มีเพียงเราสองคน
ท่ามกลางหมู่ดาวมากมาย
ที่รู้กันในใจ

มันจำเป็นด้วยหรือ ที่ต้องอยู่ในกฏเกณฑ์
ที่ใครบางคนกำหนด ว่ารักเป็นอย่างไร

ไม่ต้องรู้ว่าเราคบกันกันแบบไหน
ไม่อาจหาคำคำไหนมาเพื่ออธิบาย
ไม่ต้องรักเหมือนคนรัก ก็สุขหัว..ใจ
เพียงแค่เราเข้าใจ ก็เหนือคำอื่นใดในโลกนี้

ไม่ต้องรู้ว่าเราคบกันกันแบบไหน
ไม่อาจหาคำคำไหนมาเพื่ออธิบาย
ไม่ต้องรักเหมือนคนรัก ก็สุขหัว..ใจ
เพียงแค่เราเข้าใจ ก็เหนือคำอื่นใดในโลกนี้",da_endorphine
การเดินทางที่แสนพิเศษ,/music/thailyric/1593,"ฉันเองก็ไม่รู้ ว่าที่เป็นอยู่
ที่เรานั้นได้หัวใจเพียงครึ่งดวง
แล้วก็ต้องเสาะหา ครึ่งที่หายไป
โดยไม่รู้เมื่อไหร่ จะเจอจะพบกัน
ที่เป็นเช่นนี้ ใครกำหนดไว้

ฉันเองก็ไม่รู้ ว่าเป็นคำสาป
ให้เรานั้นต้องค้นหากันจนเหนื่อย
หรือเป็นพรจากฟ้า เพื่อให้รู้สึก
สิ่งที่แสนพิเศษตอนที่ได้เจอ

เดินทางค้นหาตัวตน ใครหนึ่งคนที่ก็รอฉันอยู่
จากในผู้คนร้อยพันที่ออกเดินทางเหมือนฉัน
บนทางที่แสนยาวไกล ค้นให้เจออีกครึ่งในใจ
ฉันไม่รู้ มันอยู่อีกไกลเท่าไหร่

เห็นบางคนเสาะหา แล้วก็ได้เจอ
เหนื่อยแค่ไหนก็คุ้มค่าความรู้สึก
แม้เป็นพรจากฟ้า หรือเป็นคำสาป
ก็เป็นเรื่องพิเศษที่เกิดขึ้นมา

เดินทางค้นหาตัวตน ใครหนึ่งคนที่ก็รอฉันอยู่
จากในผู้คนร้อยพันที่ออกเดินทางเหมือนฉัน
บนทางที่แสนยาวไกล ค้นให้เจออีกครึ่งในใจ
ฉันไม่รู้ มันอยู่อีกไกลเท่าไหร่

เดินทางค้นหาตัวตน ใครหนึ่งคนที่ก็รอฉันอยู่
จากในผู้คนร้อยพันที่ออกเดินทางเหมือนฉัน
บนทางที่แสนยาวไกล ค้นให้เจออีกครึ่งในใจ
ฉันไม่รู้ มันอยู่อีกไกลเท่าไหร่",da_endorphine
ดูแลเขาให้ดีดี,/music/thailyric/1598,"ฉันได้พูดคุยกับเขาแล้ว
ได้เจอกับเขาคนนั้นของเธอ
ก็บอกตรงๆ โกธรไม่ลงที่เธอได้เลือกเขา

เห็นแล้วเขาดีขนาดไหน
แตกต่างจากฉัน ที่ชีวิตวุ่นวาย
ไม่โกธรเธอแล้ว เหมาะกับเธอก็เขานั้นคู่ควร
ทั้งหมดใจก็ยังรักเธอเสมอ
และเข้าใจเมื่อเธอเดินทางที่ดี
ไม่อยากจะฉุดรั้งเธอ

ดูแลรักเขาให้ดีๆ อยู่กับเขาไปให้นานๆ
มีเพียงเท่านี้ จะใช้เป็นคำส่งท้าย
ดูแลรักเขาให้ดีๆ และจากนี้ไปเรื่องนี้จะจบ
ตัดใจเสียที เธอได้คนดีก็หมดเวลาฉัน
ตั้งแต่นี้ ฉันขอลาก่อน

รู้แล้วทำไมเธอเลือกเขา พอคุยกับเขาก็เลยเข้าใจ
มันต่างกันไกล ไม่มีทางที่ฉันจะเทียบเลย

เห็นแล้วเขาดีขนาดไหน
แตกต่างจากฉัน ที่ชีวิตวุ่นวาย
ไม่โกธรเธอแล้ว เหมาะกับเธอก็เขานั้นคู่ควร
ทั้งหมดใจก็ยังรักเธอเสมอ
และเข้าใจเมื่อเธอเดินทางที่ดี
ไม่อยากจะฉุดรั้งเธอ

ดูแลรักเขาให้ดีๆ อยู่กับเขาไปให้นานๆ
มีเพียงเท่านี้ จะใช้เป็นคำส่งท้าย
ดูแลรักเขาให้ดีๆ และจากนี้ไปเรื่องนี้จะจบ
ตัดใจเสียที เธอได้คนดีก็หมดเวลาฉัน
ตั้งแต่นี้ ฉันขอลาก่อน",da_endorphine
ได้ยินไหม,/music/thailyric/1599,"ฉันรู้เธอรอฉัน รอฟังคำนั้นสักวัน
ฉันรู้ฉันมันรั้ง ดึงดันไม่ยอมพูดมา
ฉันแค่คิด ยังไม่ถึงเวลา

ฉันรู้ว่าวันนี้ มันก็อาจจะสายเกินไป
แม้พูดได้แค่ไหน กลายเป็นไม่มีผู้ฟัง
ฉันไม่รู้ เธออยู่ในที่แสนไกล

ได้ยินไหม ได้ยินไหม โปรดฟังว่าฉันรักเธอ
เธอจะอยู่ไหน อยู่สุดฟ้าไกล เพียงให้เธอรับรู้
ได้ยินฉัน บอกเธอไหม ว่าคนคนนี้รักเธอ
นี้ไงคำว่ารัก ที่เธอรอฟัง (ได้ยินไหม)

เพิ่งรู้ในตอนนี้ เวลาทุกวินาที
รู้ซึ้งในตอนนี้ บางคำที่แสนสำคัญ

พูดวันนี้ เหมือนเธอนั้น อยู่แสนไกล

ได้ยินไหม ได้ยินไหม โปรดฟังว่าฉันรักเธอ
เธอจะอยู่ไหน อยู่สุดฟ้าไกล เพียงให้เธอรับรู้
ได้ยินฉัน บอกเธอไหม ว่าคนคนนี้รักเธอ
นี้ไงคำว่ารัก ที่เธอรอฟัง (ได้ยินไหม)

พูดวันนี้ เหมือนเธอนั้น อยู่แสนไกล

ได้ยินไหม ได้ยินไหม โปรดฟังว่าฉันรักเธอ
เธอจะอยู่ไหน อยู่สุดฟ้าไกล เพียงให้เธอรับรู้
ได้ยินฉัน บอกเธอไหม ว่าคนคนนี้รักเธอ
นี้ไงคำว่ารัก ที่เธอรอฟัง (ได้ยินไหม)

ได้ยินไหม ได้ยินไหม โปรดฟังคนนี้รักเธอ
นี้ไงคำว่ารัก ที่เธอรอฟัง ได้ยินไหม",da_endorphine
รักครั้งใหม่,/music/thailyric/1604,"รักวันวานในความเจ็บช้ำ
เคยทำให้คนอย่างฉันลำบาก ก็รู้ดีไม่เคยลืม
พ้นวันวานไม่นานก็พบ เจอเธอเข้ามาให้แสงสว่าง
ให้ฉันเองเกิดความหวัง

ในหัวใจแม้จำได้ดีว่าวันนั้นมีน้ำตาเท่าไร
วันนี้ฉันก็ยังคงเต็มใจ

ลองดูกับเธออีกครั้งเป็นไงก็เป็นกัน
จะเจ็บอย่างเดิมซ้ำๆ ก็ให้มันรู้ไป
และวันนี้ฉันอยากจะบอกว่า
เธอคือความรักครั้งใหม่ เป็นตายร้ายดีจะลองดู

เพราะเธอเดินเข้ามาสลาย
ความกลัวและความบอบช้ำของใจ
ให้ฉันยืนได้อีกครั้ง
รักวันวานที่เคยผิดพลั้ง
เธอเป็นบทเรียนให้รักครั้งใหม่
ก็หวังไว้ว่าอย่างนั้น

ในหัวใจแม้จำได้ดีว่าวันนั้นมีน้ำตาแค่ไหน
วันนี้ฉันก็ยังคงเต็มใจ

ลองดูกับเธออีกครั้งเป็นไงก็เป็นกัน
จะเจ็บอย่างเดิมซ้ำๆ ก็ให้มันรู้ไป
และวันนี้ฉันอยากจะบอกว่า
เธอคือความรักครั้งใหม่ เป็นตายร้ายดีจะลองดู",da_endorphine
วันใหม่,/music/thailyric/1609,"หลับตาสูดลมหายใจ ในยามเช้าอยู่ในสายลม
อากาศดีๆ เติมด้วยเสียงเพลงที่อาจจะฟังก็ยังชื่นใจ

จะขอมีความสุข จากนี้ลบเลือนวันเก่าไปซะที
อะไรไม่ดีที่เคยพบเคยเจอ เป็นอดีตไป
ใจที่เคยเหนื่อย วันที่เคยเจ็บคงไม่จำเก็บไว้

ก็จะเริ่มใหม่ วันใหม่ ต่อจากนี้
เริ่มใหม่ เอาใหม่น่าจะดี
เรื่องเก่าล้างมันให้ออกจากใจเลิกไปจำ

ก็จะเริ่มใหม่ วันใหม่ ให้มันดี
ก้าวใหม่ เดินใหม่ อีกสักที
มีเช้าวันใหม่ รอให้เริ่มใหม่
ทำเรื่องราวใหม่ๆ ให้ดีๆ

ขอบฟ้า จากเป็นสีดำก็เปลี่ยนไป
เปลี่ยนเป็นสีทอง ไม่ต่างอะไร
ก็คงเหมือนใจที่ถูกเยียวยาจากความทุกข์ทน

จะขอมีความสุข จากนี้ลบเลือนวันเก่าไปซะที
อะไรไม่ดีที่เคยพบเคยเจอ เป็นอดีตไป
ใจที่เคยเหนื่อย วันที่เคยเจ็บคงไม่จำเก็บไว้

ก็จะเริ่มใหม่ วันใหม่ ต่อจากนี้
เริ่มใหม่ เอาใหม่น่าจะดี
เรื่องเก่าล้างมันให้ออกจากใจเลิกไปจำ

ก็จะเริ่มใหม่ วันใหม่ ให้มันดี
ก้าวใหม่ เดินใหม่ อีกสักที
มีเช้าวันใหม่ รอให้เริ่มใหม่
ทำเรื่องราวใหม่ๆ ให้ดีๆ

ก็จะเริ่มใหม่ วันใหม่ ต่อจากนี้
เริ่มใหม่ เอาใหม่น่าจะดี
เรื่องเก่าล้างมันให้ออกจากใจเลิกไปจำ

ก็จะเริ่มใหม่ วันใหม่ ให้มันดี
ก้าวใหม่ เดินใหม่ อีกสักที
มีเช้าวันใหม่ รอให้เริ่มใหม่
ทำเรื่องราวใหม่ๆ ให้ดีๆ",da_endorphine
