song_name,href,lyric,artist
Won Arai (วันอะไร),/music/thailyric/16406,"วันนี้คือวันอะไรกูไม่รู้กูไม่รู้
กู Hustling ทั้งวันทั้งคืน
แล้วไม่คิดจะหยุด
ใครจะพูดอะไรไม่สน
มันเป็นสิ่งที่กูอยากทำ
กูไม่ปล่อยให้หลุดไป

กลางคืนมันกลายเป็นเช้า
แล้วกู Higher than แสงจากดาว
กูบินไปไหนอีกแล้วตามไม่ทัน
Come and find me now
นี่มันวันอะไรนี่มันวันอะไร
นี่มันวันอะไรลืมวันลืมคืน
Can someone tell me now

ไม่รู้ว่าวันอะไรแต่วันนี้วันของกู
กูลุกขึ้นมาหายใจดีใจ
And เริ่ม to make my moves
Make sure my ครอบครัว good
Then I'm good ทำผิดทำถูกมันคือ
What got me here today ah
Chasin' paper everyday ah ah

And you know ความรู้ของกู Is shit
That they don't teach you up in a school
กูเกิดเป็นลูกคนเล็กลูกชายของแม่ที่ชื่อว่าซู
กูเลือดนักสู้กู Hustler มันฝังอยู่ในกระดูก

วันนี้คือวันอะไรกูไม่รู้กูไม่รู้
กู Hustling ทั้งวันทั้งคืน
แล้วไม่คิดจะหยุด
ใครจะพูดอะไรไม่สน
มันเป็นสิ่งที่กูอยากทำ
กูไม่ปล่อยให้หลุดไป

กลางคืนมันกลายเป็นเช้า
แล้วกู Higher than แสงจากดาว
กูบินไปไหนอีกแล้วตามไม่ทัน
Come and find me now
นี่มันวันอะไรนี่มันวันอะไร
นี่มันวันอะไรลืมวันลืมคืน
Can someone tell me now

วิ่งทั้งวันไม่หยุด กูบอกมึงแล้วกู Would
ถ้ากูพูดกูทำกูทำมาให้เขาเห็น
Again และ Again I influence มากี่ Gen
The money calling เช้าถึงเย็น Hello
อย่าทำเป็นเล่น

Bangkok where you at
กูนะรักมึงนั่นคือ Facts
But when you counting racks
ทำไม They hate you นั่นคือ Sad
แต่กูไม่เช็ดน้ำตา
กูเช็ด The drip ที่มันตามมา
กู Go so hard กูคิดว่ากูน่ะบ้า
Now someone tell me

วันนี้คือวันอะไรกูไม่รู้กูไม่รู้
กู Hustling ทั้งวันทั้งคืน
แล้วไม่คิดจะหยุด
ใครจะพูดอะไรไม่สน
มันเป็นสิ่งที่กูอยากทำ
กูไม่ปล่อยให้หลุดไป

กลางคืนมันกลายเป็นเช้า
แล้วกู Higher than แสงจากดาว
กูบินไปไหนอีกแล้วตามไม่ทัน
Come and find me now
นี่มันวันอะไรนี่มันวันอะไร
นี่มันวันอะไรลืมวันลืมคืน
Can someone tell me now",daboyway
Baby You,/music/thailyric/17543,"Oh Baby You
You looking at me like a come up
You think I'm sexy cause I got my ones up
You want what you want love you want drugs girl

Oh baby you
You looking at me like a come up
You think I'm sexy cause I got my ones up
You want what you want love you want drugs girl

And she bad like a motherfucker (so bad)
And she bad for a motherfucker (so bad)
Got me running like a motherfucker (ok)
Got me ducking like a motherfucker

She be floating round the bands
Floating floating round the bands
Floating round the bands
She be floating round the bands
She ain't got a man she said she model in Japan
She fakin for the gram with your bottle in her hand

She's a cold blooded killer tho
And she pull up everywhere you go
Caught a vibe and it let me know
She was trouble she's the devil had to let her go

Oh baby you
You looking at me like a come up
You think I'm sexy cause I got my ones up
You want what you want love you want drugs girl

Her soul she a icy bitch
And she like me cause my icy drip
Yo she frigid
Her heart the winter blizzard
She a work of art
She looking like she play the part

Looking like desert cinemax its after dark
Not a good idea to start she camaflouged her heart
Get lost up in the sauce she'll have you out here
Looking crazy and that shits retarded

She be floating round the bands
Floating floating round the bands
Floating round the bands
She be floating round the bands
She ain't got a man she said she model in Japan
She fakin for the gram with your bottle in her hand

Oh baby you
You looking at me like a come up
You think I'm sexy cause I got my ones up
You want what you want love you want drugs girl

Oh baby you
You looking at me like a come up
You think I'm sexy cause I got my ones up
You want what you want love you want drugs girl

She's a cold blooded killer tho
And she pull up everywhere you go
Caught a vibe and it let me know
She was trouble she's the devil had to let her go

Oh baby you
You looking at me like a come up
You think I'm sexy cause I got my ones up
You want what you want love you want drugs girl

Oh baby you
You looking at me like a come up
You think I'm sexy cause I got my ones up
You want what you want love you want drugs girl",daboyway
Do My Dance,/music/thailyric/12699,"Cause I'm young getting
money bout to Do My Dance
got the whole club
litty bout to do my dance
matter fact the whole city
bout to do my dance
we worldwide everybody
go and do my dance

Cause I'm young getting
money bout to do my dance
got the whole club
litty bout to do my dance
matter fact the whole city
bout to do my dance
we worldwide everybody
go and do my dance

Guaranteed tonight is a movie
i got the cameras rolling
Star studded affair
we got the peoples open
We smoke the dopest from where ever
we is at and tell the bartender
give me another round of that
As i do my dance as i pull my pants up all
the paper chasers go
ahead and get ya'll bands
Help ya'll man ups all the shorties
up in here now report
to the dance floor.

Cause I'm young getting
money bout to do my dance
got the whole club
litty bout to do my dance
matter fact the whole city
bout to do my dance
we worldwide everybody
go and do my dance

as i do my dance but i dont dance
I got a couple henny
bottles up in my hands
And Watch these shortie
and the diamonds dance
And we high as shit 1 life
to live and my lifes so
lit and then the loud be lit and then
the crowd be lit the most rowdiest
Theres no stoppin us cuz its
Its a stick up stick
up put hands up big up
liquor in the cup
take a shot now lik up

Cause I'm young getting
money bout to do my dance
got the whole club
litty bout to do my dance
matter fact the whole city
bout to do my dance
we worldwide everybody
go and do my dance

Cause I'm young getting
money bout to do my dance
got the whole club
litty bout to do my dance
matter fact the whole city
bout to do my dance
we worldwide everybody
go and do my dance

Ai yai yaaa
Bangkok city get litty
They show me love i show it back u
always coming with me
I Got the sauce like msg and then i ball
like msg cologne the
scent of trees a hundred
like a century got them
stamps from overseas
and had to flip the currency
and currently
We living
chillin
jus like a villian
Ya'll haters need to stop
and get up out of ur feelings
Im here to make a million zero
fucks abt opinions tell em

Cause I'm young getting
money bout to do my dance
got the whole club
litty bout to do my dance
matter fact the whole city
bout to do my dance
we worldwide everybody
go and do my dance

Cause I'm young getting
money bout to do my dance
got the whole club
litty bout to do my dance
matter fact the whole city
bout to do my dance
we worldwide everybody
go and do my dance",daboyway
Fire,/music/thailyric/14517,"Sim Simma
I pulled up in a Beamer
I drove a very long way just to Meet her
She know the boy way don't play no FIFA
I kick my feet up
She turn the heat up

Yessah first I undress her
Then I slowly caress her
All over her body
It's getting hot like Fire

Oh boy you got the fire
And it's burning up my heart
Your taking me higher
Your the one that I desire

Oh girl you got the fire
And it's burning up my heart
Your taking me higher
Your the one that I desire

I don't want one I need two kisses
Ya hotter then a stove top in a kitchen
Ya Hotter then a jacket in the summer time
You take me up you take me high
Hey Baby if I'm dreaming
I don't wanna wake up
I don't want to be alone
You can get it anyway u want girl
You can get it all Night long Yeah

In this relationship
You the co-piolot
I drive the ship
I get excited
You bite your lip
I let you ride it
It's time to switch yea
It's gonna be a inferno
Light it up
Like a flame
Light a candle
Your body is too hot to handle
Call me the fire man
Girl your outta control

Oh na na na yay
Oh na na na yay
Oh na na na yay
Your the one that I desire

Oh na na na yay
Oh na na na yay
Oh na na na yay
Your the one that I desire

Oh girl you go the fire
And it's burning up my heart
Your taking me higher
Your the one that I desire

Oh boy you got the fire
And it's burning up my heart
Your taking me higher
Your the one that I desire

Oh boy nana yeah
You zimmie run it up on yuh
That hot sauce sriracha
Just lemme lemme it drip it down on
So I pick up the bumpa run it pon it
Bonnie and Clyde shit come take over me

I like your fire you know that it's burning me
I need no gasoline I got the energy

Let's Take time take Time
Slow wine slow wine
Take time take Time
Slow wine slow wine

Real hot gyal
Me nuh really regular
I give it u to properly
Flip it flip it ping pong
See that batty whining easily
Baby Baby 5'3 body good name is Sunaree

Oh na na na yay
Oh na na na yay
Oh na na na yay
Your the one that I desire

Oh na na na yay
Oh na na na yay
Oh na na na yay
Your the one that I desire

Oh girl you go the fire
And it's burning up my heart
Your taking me higher
Your the one that I desire

Oh boy you got the fire
And it's burning up my heart
Your taking me higher
Your the one that I desire

Oh girl you go the fire
And it's burning up my heart
Your taking me higher
Your the one that I desire

Oh boy you got the fire
And it's burning up my heart
Your taking me higher
Your the one that I desire",daboyway
Make It Happen,/music/thailyric/12409,"ก็ความรักไม่ใช่ความลับถ้าอยากจะรักทำไมต้องปิด
คำว่ารักไม่ยากหรอกนะ Just say it
ก็ความรักไม่ใช่ความลับถ้าอยากจะรักทำไมต้องปิด
Make It Happen, make it happen, make it happen

Hey baby มองกันจริงดิ จะมองก็มองดีๆ ดิ
Hey baby come closer เข้ามาอีกนิด
บางเรื่องก็ต้องปกปิด ถึงอยู่ชิดๆ ก็ปิดสนิท
บางเรื่องก็ไม่ชอบปิด Wanna show it

โชว์สิ ทำไมไม่โชว์ล่ะ
อยากจะรู้จริงๆ ว่าเธอล่ะโม้หรือเปล่า
โอหรือเปล่ากล้าแสดงออกกล้าโชว์หรือเปล่า
Hey shorty u can tell me now
จะอายใคร
คุณจะอายทำไม
เธอก็รู้อยู่กับใจ
อยู่กับไอ Be right
ไม่ต้องสนใจใคร
That's why I be like เธอนั่นคิดยังไง
Cause I'm good to go ใกล้ชิดตัวติดเหมือนกับปาท่องโก๋
Daboyway hes about his dough yeah I'm about to go
คุณพร้อมเมื่อไร Just let me know

ก็ความรักไม่ใช่ความลับถ้าอยากจะรักทำไมต้องปิด
คำว่ารักไม่ยากหรอกนะ Just say it
ก็ความรักไม่ใช่ความลับถ้าอยากจะรักทำไมต้องปิด
Make it happen, make it happen, make it happen

Hey baby มาดีๆ ดิ ก็เอาให้มันเคลียร์เคลียร์ดิ
Hey baby come closer เข้ามาอีกนิด
จะรักก็ไม่ต้องปิด
ถ้าเอาแต่คิดก็ไม่ได้คลิกดิ
บอกกันมาเลย I wanna know it

What u wanna know
How you wanna go
How you wanna move baby girl its up to u
How you wanna do it
เปิดปิด Then my lips will seal it
Look at you got me higher than the ceiling
when u all up in the building and u looking like a million แซ่บเวอร์
And that's word to me daboyway I know u heard of me
And I don't care about nobody นอกจาก you and me
Let's go

ก็ความรักไม่ใช่ความลับถ้าอยากจะรักทำไมต้องปิด
คำว่ารักไม่ยากหรอกนะ Just say it
ก็ความรักไม่ใช่ความลับถ้าอยากจะรักทำไมต้องปิด
Make it happen, make it happen, make it happen",daboyway
Mountain Tops,/music/thailyric/20027,"In the cut like a samurai
Analyse worked my way up I strategised
Self advertised verified a real one since day 1
Yeah still here with all my day 1

Yo you smart if u can play dumb
A1 all the sauce wins and lost sins and all
Hope to see u tomorrow
But live this shit like I'm not gonna see u tomorrow

Outer space hit the gas like I'm headed for mars
And I'm foreign talking more than jus cars
Yeah higher than a mountaintops
While I'm climbing up these mountaintops

Time is racing ya'll
Life has just begun
Look how far we made it
And there ain't no giving up
No no no
We done made it to the mountaintops
We can see it all from here

If you say you gonna do something
I suggest you do it and thats 100
But how many times did u say u was gonna do something
But you ain't really do it minus that by that 100 my picture was big

Stuck to the script
Theres witnesses to what daboy did yeah
Tell em From the ground up
Every level devils trying to get me wild up
They be hatin im not entertaining Im like what now

Every other city its a touchdown bustdown my crown on
We live amongst kings
Even if we ain't living like kings
And I'm higher than the mountaintops
Climbing up the mountaintops

Time is racing ya'll
Life has just begun
Look how far we made it
And there ain't no giving up
No no no
We done made it to the mountaintops
We can see it all from here

Theres no doubting i push past the mountains
From nothing to something and now we got options yeah
Wasn't supposed to be me but i was about it my G
R to I to the N then a D
Never has something ever made me this free to do me
Wipe the blood wipe the sweat wipe the tears
All the pain all the happiness its good to be here

Moving forward  with no regrets
And it feels like years that i haven't slept
And I'm higher than the mountains tops yeah
While I'm climbing up the Mountain Tops

Time is racing ya'll
Life has just begun
Look how far we made it
And there ain't no giving up
No no no
We done made it to the mountaintops
We can see it all from here

Time is racing ya'll
Life has just begun
Look how far we made it
And there ain't no giving up
No no no
We done made it to the mountaintops
We can see it all from here

We done made it to the mountaintops
We can see it all from here

Whatever whatever กูก้าวต่อ
ลูกผู้ชายกูกล้าตอบเลือก This lifestyle อีก 100 รอบ
Been a hundred 100 รอบ
ขอโทษที Always been talked that talk
แล้วก็ Walk that walk
And been about that work

มึงได้ในสิ่งที่มึงให้ สิ่งที่มึงตั้งไจ
ดีที่สุดอย่าไปเพิ่งใคร
กูไม่สนอะ จะรุ่นไหน
ผ่านรุ่นเล็ก ก่อนที่จะรุ่นใหญ่
แล้วกูพูดโดยไม่ Disrespect ใคร

I'm all about ภาพใหญ่ No ภาพพจน์ No ภาพลักษณ์
just  ภาพที่มึงเห็นว่ากู Can't stop
แล้วหวังว่าจะเป็นภาพที่กูวาด Yeah
And I'm higher than the mountaintops
While I'm climbing up these mountaintops

When your at another mountain
You'll know its a long way down
Save your energy cause you'll gon need it
Might hurt you but keep on running

Somebody's watching but please don't stop
Don't look back you know we came to far
Gotta back track if we get too lost
Slow down please don't throw your life away",daboyway
Now Or Never (Cheer Thailand),/music/thailyric/15637,"We cheer Thailand
พร้อมกันเมืองไทย เราไม่ยอมแพ้
Now we won't surrender
We cheer Thailand
พร้อมกันเมืองไทย เราไม่ยอมแพ้
Now It now or never

Ha หนึ่งเดียวคนไทย Ha เรารวมหัวใจ
Ha หนึ่งเดียวคนไทย Ha เรารวมหัวใจ

มาวันนี้เพื่อทีมชาติไทย เรารวมตัวเพื่อทีมชาติไทย
ล้มหรือยืนเราเชียร์ข้างกัน เชียร์ดังๆ เราเชียร์ทั้งวัน
The passion มันพามา เราพร้อมบุกเราเดินหน้า
เราก้าวอย่างมั่นใจ เกินร้อย With Daboy
ขอพลังหน่อย Make Noise for The boys
Represent สีธงชาติ เลือดที่วิ่งอยู่คือสีธงชาติ
กำปั้นเต็มหมัด Everybody hands up
ภูมิใจที่สุดเราจะ Never Give up

ถามว่า พร้อมแค่ไหน
ถามว่า ยอมได้ไหม
เราสู้ไม่ถอย ไม่กลัวใคร
ใจเราเกินร้อย พร้อม Fight
ให้แสงไฟ Light up the night
ส่งเสียงไป เป็นกำลังใจ

We cheer Thailand
พร้อมกันเมืองไทย เราไม่ยอมแพ้
Now we won't surrender
We cheer Thailand
พร้อมกันเมืองไทย เราไม่ยอมแพ้
Now It now or never

Ha หนึ่งเดียวคนไทย Ha เรารวมหัวใจ
Ha หนึ่งเดียวคนไทย Ha เรารวมหัวใจ

โบกธงไตรงค์ให้สุดแขน
เอาให้ทุกสายตาจับจ้องและหยุดแหงน
เพื่อชาติไทยที่หวงแหนสุดแสน
อันมีค่ากว่าเหรียญตรา ถ้วย คฑา มงกุฎ แหวน
อย่าให้หลุดแผนจะเลี้ยงตัดอัดหนี
ก็เพราะศึกครานี้เราจะลุยเพื่อศักดิ์ศรี
เก็บความพ่ายแพ้มาปกปัดขัดสี
เปลี่ยนเป็นแรงใจแล้วเข้าไปยุทธหัตถี

ใบไม้จะผลัดสีอีกกี่ปี
จะขอเชียร์ไทยทุกทิวาราตรี
ประกาศชื่อจารึกบนธานี
ว่าข้าคือช้างศึกรบแบบไร้ปรานี

เก้าสิบนาที ชูกำปั้นขึ้นมา
เก้าสิบนาที รบแบบเลือดเข้าตา
เก้าสิบนาที คือคำมั่นสัญญา
ว่าเราจะลุยแบบช้างศึกใครไม่กลัวก็เข้ามา
ชูกำปั้นรบ

We cheer Thailand
พร้อมกันเมืองไทย เราไม่ยอมแพ้
Now we won't surrender
We cheer Thailand
พร้อมกันเมืองไทย เราไม่ยอมแพ้
Now It now or never

Ha หนึ่งเดียวคนไทย Ha เรารวมหัวใจ
Ha หนึ่งเดียวคนไทย Ha เรารวมหัวใจ

We cheer Thailand
พร้อมกันเมืองไทย เราไม่ยอมแพ้
Now we won't surrender
We cheer Thailand
พร้อมกันเมืองไทย เราไม่ยอมแพ้
Now It now or never",daboyway
Same Thing (Every Night),/music/thailyric/14807,"Thinking bout that lifestyle that bag I'm a get it
I ain't got a moment to lose
You fucking up my swag if you ain't trying to get it
And that's the difference tween me and you

Same thing every night every night same thing
Same thing every night every night same thing
Same thing every night every night same thing
Let's all I wanna do

Cause I all I wanna do
Get money with my crew
You see I'm bout my hustle
Baby know I'm making moves
You know they steady hating
And my paper keep on piling
Catch me in New York
Or somewhere posted on a island
Party everyday like it's a celebration
Trying catch a wave with only good vibrations
Watch me turn my dreams into my family's pot of gold
We on the road we round the globe we international

Same thing every night every night same thing
Same thing every night every night same thing
Same thing every night every night same thing
Let's all I wanna do

Tonight let's make a movie starring me and you
Keep them bottles poppin after party in the room
They way she look she looking like she foreign and exotic
All we know is party we go hard cause we got options
Party everyday like it's a celebration
Trying catch a wave with only good vibrations
Watch me turn my dreams into my family's pot of gold
We on the road we round the globe we international

Same thing every night every night same thing
Same thing every night every night same thing
Same thing every night every night same thing
Same thing you let's all I wanna do

Hustle to the left and hustle to the right
Pop a couple bottles and light up the night
Make that money now spend that money
Ain't talking money then stay away from me

Hustle to the left and hustle to the right
Pop a couple bottles and light up the night
Make that money now spend that money
Ain't talking money then stay away from me

We do the most to this good life that we live let's make a toast
Across the ocean everybody coast to coast
Don't get mad we don't brag and we don't boast
Secure the bag where ever we at we can't go broke


Thinking bout that lifestyle that bag I'm a get it
I ain't got a moment to lose
You fucking up my swag if you ain't trying to get it
And that's the difference tween me and you

Same thing every night every night same thing
Same thing every night every night same thing
Same thing every night every night same thing
Same thing you let's all I wanna do",daboyway
เข้ามา,/music/thailyric/13507,"โอ้น้อล่ะพี่เอ๋ย ล่ะพี่เอย

เข้ามา ละเข้ามา เข้ามา
เข้ามา ละเข้ามา เข้ามา
มาร่วมเฮฮาล่ะเข้ามาม่วนกัน
ลำนี้เป็นจังหวะมันๆ
ลำนี้เป็นจังหวะมันๆ
เข้ามาม่วนกันล่ะเข้ามา เข้ามา
เข้ามาม่วนกันล่ะเข้ามา เข้ามา

Welcome to the land of smiles
Come chill you can stay awhile
Woiy wai woiy wai we worldwide
Kon thai im so high
that I motherfucking hang glide
The mans live ya dig
like a motherfucking landslide
Hello world sawadeekrub
like what up the most beautifulest girls
U could ever think of
We link up put the drinks up

In  the sois Its daboy
In the sois Got the boys
Got the sauce like we sri ra cha
Ganja bangkok's top shotta
Its already hot im bout to make it even hotter

Get the water Get the water
Got the sticky like the rice
And then i Travel like the light
And the light be extra bright
We gonna do it up tonight

เข้ามา ล่ะเข้ามา เข้ามา
เข้ามา ล่ะเข้ามา เข้ามา
มาร่วมเฮฮาล่ะเข้ามาม่วนกัน
ลำนี้เป็นจังหวะมันๆ
ลำนี้เป็นจังหวะมันๆ
เข้ามาม่วนกันล่ะเข้ามา เข้ามา
เข้ามาม่วนกันล่ะเข้ามา เข้ามา

Welcome to the motherland
This my daddy and momma land
Cuz In This kingdom we bring them
the anthems we sing them like this one
We Jump around like we wringlings
Haaa this that new wave paved
open up the gateway
and lets make it hot like you outta breath
make sure that the vibes right
and never left bangkok
gets it hotter than an iron chef

Everybody blessed
sawadee those the
words u receive when u first meet me
greet Tings daboy do big tings
Theres no sla leeping The music
it brings the sounds and she sings
Get the water Get the water

Im here to get them hype
And then i travel like the light
And then the light be extra bright
We gonna do it up tonight

เข้ามา ล่ะเข้ามา เข้ามา
เข้ามา ล่ะเข้ามา เข้ามา
มาร่วมเฮฮาล่ะเข้ามาม่วนกัน
ลำนี้เป็นจังหวะมันๆ
ลำนี้เป็นจังหวะมันๆ
เข้ามาม่วนกันล่ะเข้ามา เข้ามา
เข้ามาม่วนกันล่ะเข้ามา เข้ามา

โอ้น้อล่ะพี่เอ๋ย ล่ะพี่เอย",daboyway
ควัน,/music/thailyric/13208,"ควัน ควัน ควัน ควัน ควัน กัญชลีมีเท่าไร
ก็พัน พัน พัน พัน ลำ ลำ ลำ ลำ
อะ พันลำ พันลำ ก้มต่ำ ต่ำ ต่ำ
smoke som smoke som aey aey aey

ควัน ควัน ควัน ควัน ควัน กัญชลีมีเท่าไร
ก็พัน พัน พัน พัน ลำ ลำ ลำ ลำ
อะ พันลำ พันลำ ก้มต่ำ ต่ำ ต่ำ
smoke som smoke som aey aey aey

ไม่หลับไม่นอนที่คล้อง the คอ it's ทอง
the bong is พร้อม so smoke ซะ so ซ่า
i'm a nut ที่เปิดเปลือกอ้า
รอยยิ้มบนหน้า flow โคตรเย็นชา
and i'm high เหมือนกับเสียงอีกา
show ลีลา futuristic flow yo กูโคตรปีหน้า
im a boss เพราะฉะนั้นกูต้องถามที่มา
กูหาที่ไป connected เหมือนกู เป็น wifi
and กู hustle เหมือนจะเป็นจะตาย
and you love my style
นายหัว ok ok กูดูดกัญชา
that's everyday กูรักกับ mary jane
and every other day
i'm on the plane the weather change
หนังกระติ๊ก around my brick
สถาปนิก the way
i สร้าง my shit the city lit a lil bit
พวกมึง talking like u trapping
แต่มัน never happened
i be killing fashion โคตรจะล้ำ
and never walking backwards

ควัน ควัน ควัน ควัน ควัน กัญชลีมีเท่าไร
ก็พัน พัน พัน พัน ลำ ลำ ลำ ลำ
อะ พันลำ พันลำ ก้มต่ำ ต่ำ ต่ำ
smoke som smoke som aey aey aey

ควัน ควัน ควัน ควัน ควัน กัญชลีมีเท่าไร
ก็พัน พัน พัน พัน ลำ ลำ ลำ ลำ
อ่ะ พันลำ พันลำ ก้มต่ำ ต่ำ ต่ำ
smoke som smoke som aey aey aey

ความหอมมันยียวน
Da Boy ยีมวน
ขอโชว์ซักหนึ่งขบวน
อยากเมาแค่จุดฉนวน
ปั่นป่วนบนโลกาพ่อแม่พี่น้องอย่าโกทา
กูโซโลไม่ใช่ฟาโรห์
แต่กูเติม roll บนโซฟา ya
เริ่มความเมาสะท้านโลกัญ
เหมือนลอยอยู่บนดวงจันทร์
แปลกใจแค่ roll ควัน ya
พี่เวย์ก็ run run YB ก็ ยำ ยำ
ร้องไม่รู้เรื่องกูบ่นพึมพำ
ตอนนี้แสบคอคอจะเริ่มพัง
รายงานตัวครับผู้พันลำ
จะไม่ดูดแบบลำพัง
นัวเนียกัญพัลวัน
ไม่ได้เติมแล้วมันจะคัน
ครั่นเนื้อครั่นตัวอยากจะ roll roll run ya

ลั่นลั่นลั่นลั่นสมองกูโคตรจะลั่นน่ะ
Run run run กรุงเทพ พวกกูนะ run it
มึงก็ รู้ รู้ รู้ รู้ ว่าพวกกูโคตรขยันน่ะ
See police we running
while we counting on แบงค์ 1000 ah

ลั่น ลั่น ลั่น ลั่น สมองกูโคตรจะลั่นน่ะ
Run run run กรุงเทพ พวก**นะ run it
มึงก็รู้ รู้ รู้ รู้ ว่าพวกกูโคตรขยันน่ะ
See police we running
while we counting on แบงค์ 1000 ah

พวกกู YB ที่ไหนมีกฎเกณฑ์ที่นี่กูเสรี
ที่วงการมีแต่วันมีแต่ควันเพราะว่ากูRun
polshit mathafuck ก็วิ่งตามกูไม่ทัน
ตอนที่แก็งค์กูออก run run run run
911 ไม่ต้องโทรตามพวกนั้นโดดตังค์ Stunin
ทั้ง วัน วัน วัน วัน วัน วัน
เล่นแต่ ควัน ควัน ควัน ควัน ควัน
i smoke weed get lit gotdamn oh shit
ออกฤิทธ์ if you wanna ตาปิด u ก็ take itt
young mathafuckinbong กับ daboyway
เดินเซ mathafuckin ล่อง
กูกับแก็งค์กู we do the same thing
พวกกูพอเพียง we do tha same king
daboyway bro You so บริงๆ
yb thaitay you know we ตัวจริง

ควัน ควัน ควัน ควัน ควัน กัญชลีมีเท่าไร
ก็พัน พัน พัน พัน ลำ ลำ ลำ ลำ
อะ พันลำ พันลำ ก้มต่ำ ต่ำ ต่ำ
smoke som smoke som aey aey aey

ควัน ควัน ควัน ควัน ควัน กัญชลีมีเท่าไร
ก็พัน พัน พัน พัน ลำ ลำ ลำ ลำ
อ่ะ พันลำ พันลำ ก้มต่ำ ต่ำ ต่ำ
smoke som smoke som aey aey aey

ควัน ควัน ควัน ควัน ควัน กัญชลีมีเท่าไร
ก็พัน พัน พัน พัน ลำ ลำ ลำ ลำ
อ่ะ พันลำ พันลำ ก้มต่ำ ต่ำ ต่ำ
smoke som smoke somaey aey aey

ควัน ควัน ควัน ควัน ควัน กัญชลีมีเท่าไร
ก็พัน พัน พัน พัน ลำ ลำ ลำ ลำ
อ่ะ พันลำ พันลำ ก้มต่ำ ต่ำ ต่ำ
smoke som smoke som aey aey aey",daboyway
