song_name,href,lyric,artist
After Sunset,/music/thailyric/15609,"Here begging the sun to stay for a while
Don't leave me behind

For the melody of loneliness
Ringing loud after the sunset
And I will be longing for you

It's been a while since we last talk
I know we have said our goodbyes
I'm asking you to rewind the clock

Oh please for this lonesome night
I can't handle this moonlight alone
Oh please read those words in my eyes
Saying it has always been you
All this time

It's been a while since we last talk
I know we have said our goodbyes
I'm asking you to rewind the clock

Oh please for this lonesome night
I can't handle this moonlight alone
Oh please read those words in my eyes
Saying it has always been you
All this time",earth_patravee
Live Your World (อย่าหยุดฝัน),/music/thailyric/21700,"เมฆหมอก มืดหม่น
เมื่อมองขึ้นไปมีฝนโปรยปราย พายุพัดทำใจให้วุ่นวาย
คล้ายหวาดกลัว ความฝันไม่กล้าขึ้นไป
ยังเคลือบแคลงระแวงในใจ

เหมือนเสียงข้างในหัวใจมันร่ำร้อง
เปิดมองด้วยสายตาในวันที่ฟ้าสว่าง
ขอเพียงหัวใจ มั่นใจในหนทาง
ความฝันอีกไม่นานเราก็จะถึงตรงนั้น

Live you world ปลุกชีวิต
ให้มีความหมายมีคุณค่า แต่งเติมต่อไปด้วยความฝัน
Live your world ทำให้ฝันเป็นจริงสักวัน ก้าวต่อไป
You gotta ace your day for better days

ทิ้งมันไปเรื่องเมื่อวานที่ทำผิดพลาดไป
จะไม่จมกับอะไรที่เคยเสียใจ
พรุ่งนี้ยังไม่สาย ให้ลองให้ได้แก้ตัว
เริ่มใหม่ วันที่ฟ้าเป็นใจ

เพราะเสียงข้างในหัวใจมันร่ำร้อง
เปิดมองด้วยสายตาในวันที่ฟ้าสว่าง
ขอเพียงหัวใจ มั่นใจในหนทาง
ความฝันอีกไม่นานเราก็จะถึงตรงนั้น

Live you world ปลุกชีวิต
ให้มีความหมายมีคุณค่า แต่งเติมต่อไปด้วยความฝัน
Live your world ทำให้ฝันเป็นจริงสักวัน ก้าวต่อไป
You gotta ace your day for better days

อย่าปล่อยฝันให้มันกลายไปเป็นเพียงแค่ลมพัด
ล่องลอย ล่องลอย หลุดหายกลายเป็นภาพลวงตา
ทุกวัน ทุกวัน ทำให้มันเป็นเรื่องจริง
ทุกคืน ทุกคืน อย่าหยุดฝัน อย่าหยุดฝัน

Live you world ปลุกชีวิต ให้มีความหมายมีคุณค่า
Live you world  ขอเพียง ก้าวไป ก้าวไปด้วยความฝัน

Live you world ปลุกชีวิตให้มีความหมาย ขอเพียง
Live you world and show them what you got

Live you world ทำให้ฝันเป็นจริงสักวัน
You gotta Ace your day you gotta live your world",earth_patravee
Snooze,/music/thailyric/19999,"Can we stay here in the clouds
Throw away your phone's alarm
Can we hit Snooze
Baby please don't say goodbye
Keep getting lost within your eyes
Reality can wait outside

I just wanna snooze baby
Snooze snooze baby
Forget about the time oh

Keep on keep on keep on snoozing
Keep on keep on keep on snoozing
Baby please la la la la la la

Just like honey
you make everything so fine
Oh with you, even medicine's sweeter

Like chocolate ice cream
Gets better and better with each bite
Oh you I know I just can't get enough

I heard it's gonna rain it's not safe outside
Why don't you stay for a while
The ticking clock might say we can't lose no time
But I'll just look aside

Can we stay here in the clouds
Throw away your phone's alarm
Can we hit snooze
Baby please don't say goodbye
Keep getting lost within your eyes
Reality can wait outside

I just wanna snooze baby
Snooze snooze baby
Forget about the time oh

Keep on keep on keep on snoozing
Keep on keep on keep on snoozing
Baby please la la la la la la

No picture needed
I can memorize your smiles
Oh it's true
Cause it's the easiest thing to do

No weekends needed
Cause every single day I've spent with you
Feels like a trip to the moon

I heard it's gonna rain it's not safe outside
Why don't you stay for a while
The ticking clock might say we can't lose no time
But I'll just look aside

Can we stay here in the clouds
Throw away your phone's alarm
Can we hit snooze
Baby please don't say goodbye
Keep getting lost within your eyes
Reality can wait outside

I just wanna snooze baby
Snooze snooze baby
Forget about the time oh

Keep on keep on keep on snoozing
Keep on keep on keep on snoozing
Baby please la la la la la la

Keep on keep on keep on snoozing
Keep on keep on keep on snoozing
Baby please la la la la la la

Keep on keep on keep on snoozing
Keep on keep on keep on snoozing
Baby please la la la la la la",earth_patravee
Vanilla Ice Cream,/music/thailyric/22819,"Some say they need a lover
Tough like mountains
Strong like some superhuman
Oh not for me

Some say they need a lover
So gentleman
Oh no not for me
Baby I need something different

Some say they want a lover
With some romance
Bouquet of roses and poem
Baby that can't get me

Some say they need a lover
Full of surprises
Oh no not for me
Baby I need something different

You're my Vanilla Ice Cream
The only thing that I need
After a long day of headaches
Can I get one bite of you

(Kiss me) sweet and softly
Every pain melts away cause you, boy
Baby you are all that I need oh

Some say that love needs flavors
Or it gets dull
There might be lots of choices
But baby you're a classic

Some say love needs big gestures
Something fancy
Oh no not for me
Your love is my best therapy

You're my vanilla ice cream
The only thing that I need
After a long day of headaches
Can I get one bite of you
(Kiss me) sweet and softly

Every pain melts away cause you boy

All I want is a bite of your love
When everything falls apart
When nothing else seems to make sense
You scoop me back right up again my love

Oh your sweet love
Like my safety net
Cool me down whenever I freak
Baby can you stay with me forever please

You're my vanilla ice cream
The only thing that I need
After a long day of headaches
Can I get one bite of you
(Kiss me) sweet and softly
Every pain melts away cause you, boy
Baby you are all that I need oh

Some say they need a lover
Tough like mountains
Strong like some superhuman
Oh not for me

Some say they need a love
so gentleman
Oh no not for me
Baby I need something different
Only you",earth_patravee
กักใจ,/music/thailyric/20850,"กี่ครั้งที่ต้องกักใจ ไม่ให้ไปรักเธอ
ทุกครั้งที่เราใกล้กัน
ไม่รู้ว่าความผูกพัน ที่เธอมีให้กัน
มันหมายความว่าอะไร

ที่เข้ามาเป็นห่วงใย คล้ายๆ มีใจต่อกัน
เธอรู้ไหมมันทำให้ฉัน แอบหวั่นในใจ

อยากรู้ ว่ารักกันบ้างหรือเปล่า
เธอมีใจให้หรือเปล่า อย่าให้ฉันต้องเดาอีกต่อไป
อยากรู้ ที่เธอเข้ามาชิดใกล้
เป็นเพราะใจเธอรักกัน
ไม่ใช่ตัวฉันคิดไปฝ่ายเดียว ใช่ไหมเธอ

กี่ครั้งที่ต้องกักใจ ไม่ไห้ไปละเมอ
แอบคิดถึงเธอทุกวัน
ไม่รู้ว่าความผูกพัน ที่เธอมีให้กัน
มันหมายความว่าอะไร

ที่เข้ามาเป็นห่วงใย คล้ายๆ มีใจต่อกัน
เธอรู้ไหมมันทำให้ฉัน แอบหวั่นในใจ

อยากรู้ ว่ารักกันบ้างหรือเปล่า
เธอมีใจให้หรือเปล่า อย่าให้ฉันต้องเดาอีกต่อไป
อยากรู้ ที่เธอเข้ามาชิดใกล้
เป็นเพราะใจเธอรักกัน
ไม่ใช่ตัวฉันคิดไปฝ่ายเดียว ใช่ไหมเธอ

อยากรู้ ว่ารักกันบ้างหรือเปล่า
เธอมีใจให้หรือเปล่า อย่าให้ฉันต้องเดาอีกต่อไป
อยากรู้ ที่เธอเข้ามาชิดใกล้
เป็นเพราะใจเธอรักกัน
ไม่ใช่ตัวฉันคิดไปฝ่ายเดียว ใช่ไหมเธอ",earth_patravee
ขอโทษดาว,/music/thailyric/16492,"ขอโทษดวงดาว ที่ปล่อยคืนนี้ล่วงเลยไป
อยากอธิษฐานแต่คงเป็นไปไม่ได้
ให้ในหัวใจ เธอมีแต่ฉัน คนเดียวเท่านั้น

ใกล้กันเท่าไร ก็ไม่ทำให้ทั้งหัวใจ
เธอนั้นคิดไกลเท่ากับฉัน
ที่ผ่านมาเราเคยใกล้ชิดกัน
ใจเธอนั้นยังมีแต่เขา

ไม่ต้องห่วงว่าจะอยู่ได้ไหม
จะรับได้หรือเปล่า
ที่ใจเธอยังคงไม่ลืม ยังรักเขา
ไม่ต้องห่วงอะไรกับตัวฉัน
เข้าใจทุกเรื่องราว
แค่ขอยืนตรงนี้ รอตรงนี้
นานแค่ไหน ยังรอเธอ

ไม่มีเพลงใด ปลอบใจเธอให้หายดี
เท่าเพลงของเขา ที่เคยมอบให้เธอ
ส่วนตัวฉันทำได้เพียงแค่มอง
ภาพความหลัง ของเธอกับเขา

ไม่ต้องห่วงว่าจะอยู่ได้ไหม
จะรับได้หรือเปล่า
ที่ใจเธอยังคงไม่ลืม ยังรักเขา
ไม่ต้องห่วงอะไรกับตัวฉัน
เข้าใจทุกเรื่องราว
แค่ขอยืนตรงนี้ รอตรงนี้
นานแค่ไหน ยังรอเธอ

หากเธอคิดถึงใคร ก็คิดไป ไม่เป็นไร
ฉันรู้ตัว ฉันเข้าใจ
ไม่ขอให้เธอลืมทุกเรื่องราว
แค่ขอเพียงเธอยังอยู่ตรงนี้
ด้วยกัน ได้ไหม

ไม่ต้องห่วงว่าจะอยู่ได้ไหม
จะรับได้หรือเปล่า
ที่ใจเธอยังคงไม่ลืม ยังรักเขา
ไม่ต้องห่วงอะไรกับตัวฉัน
เข้าใจทุกเรื่องราว
แค่ขอยืนตรงนี้ ฉันจะขอรอตรงนี้
แม้นานแค่ไหน ก็จะรอ",earth_patravee
คิดไม่คิด,/music/thailyric/20904,"อย่ามาส่งยิ้มให้กันแบบนั้น
อย่าทำเหมือนฉันพิเศษกว่าใคร
อย่าทำมาถามว่าเหนื่อยไหมยังไง
หยุดก่อนได้ไหม มันทำให้ใจสั่น

ไม่ต้องคอยถามว่าฉันอยู่ไหน
ไม่ต้องเก็บไว้รูปของฉันที่เธอถ่าย
ไม่ต้องทำคล้ายว่าเธอนั้นมีใจ
หยุดทีได้ไหม กลัวทนไม่ไหว

ใจมันยิ่งห้ามเหมือนยิ่งยุ
คิดจะไม่คิดแต่ก็คิดทุกที
ยอมใจฉันคงจะต้องยอมแล้ว

เธอมาทำหัวใจมันวุ่นวายให้เกิดหวั่นไหว
เธอละลายความเย็นชาข้างใน
มาทำให้คนๆ หนึ่งเปลี่ยนไปรักเธอจนเต็มหัวใจ
และฉันก็จะไม่ยอมให้ใจของเธอเปลี่ยนไปรักใคร

โปรดอย่าทำเสียงอบอุ่นอย่างนั้น
โปรดอย่ามาพูดว่าคิดถึงตอนไม่เจอ
โปรดอย่ามาพูดทำให้ฉันละเมอ
ใจมันจะเพ้อเก็บไปคิดถึงเธอ

ใจมันยิ่งห้ามเหมือนยิ่งยุ
คิดจะไม่คิดแต่ก็คิดทุกที
ยอมใจฉันคงจะต้องยอมแล้ว

เธอมาทำหัวใจมันวุ่นวายให้เกิดหวั่นไหว
เธอละลายความเย็นชาข้างใน
มาทำให้คนๆ หนึ่งเปลี่ยนไปรักเธอจนเต็มหัวใจ
และฉันก็จะไม่ยอมให้ใจของเธอเปลี่ยนไปรักใคร

เธอมาทำหัวใจมันวุ่นวายให้เกิดหวั่นไหว
เธอละลายความเย็นชาข้างใน
มาทำให้คนๆ หนึ่งเปลี่ยนไปรักเธอจนเต็มหัวใจ
และฉันก็จะไม่ยอมให้ใจของเธอเปลี่ยนไปรักใคร

และฉันก็จะไม่ยอมให้ใจของเธอเปลี่ยนไปรักใคร",earth_patravee
แค่เพียงฉัน (ที่ไม่ลืม),/music/thailyric/15505,"แล้วก็หยุดเดินนาฬิกาของเรา
หมดแล้วเวลาที่ฉันมี
ไม่ทันจะรู้จนถึงวันนี้
ว่าเธอจะปล่อยมือฉันไป

เหมือนเป็นคำถาม
เป็นเพราะตัวฉันใช่ไหม
ที่ทำให้เธอจากฉันไป
หรือที่ตรงนั้นมีใครเข้ามาแทนฉัน
ก็พร้อมจะเข้าใจ

คนๆ เดิมที่ยืนอยู่ข้างเธอ
กลายเป็นคนที่เธอกลับไม่อยากเจอ
คนๆ เดิมที่รักแค่เธอ
แต่เธอนั้นไม่ต้องการ

กอดตัวเองเอาไว้แบบที่เธอเคยกอดฉัน
เก็บคืนวันเหล่านั้นที่ไม่มีทางหวนคืน
แม้ฝืนก็ต้องยอมรับ แม้ช้ำก็ต้องยอมจะหายไป
อยากกอดเธอเอาไว้แบบที่เคยเหมือนวันนั้น
ยังได้ยินคำสัญญาที่เธอบอกกับฉัน
จะรักจนวันสุดท้าย แต่ทำไมมีเพียงฉันที่ไม่ลืม

กอดตัวเองเอาไว้แบบที่เธอเคยกอดฉัน
เก็บคืนวันเหล่านั้นที่ไม่มีทางหวนคืน
แม้ฝืนก็ต้องยอมรับ แม้ช้ำก็ต้องยอมจะหายไป
อยากกอดเธอเอาไว้แบบที่เคยเหมือนวันนั้น
ยังได้ยินคำสัญญาที่เธอบอกกับฉัน
จะรักจนวันสุดท้าย แต่ก็คงมีเพียงฉันที่ไม่ลืม",earth_patravee
แค่เราก็พอ (With You),/music/thailyric/15879,"ในวันที่ไอแดดปลุกให้ฉันลืมตา
เมื่อลมพัดโชยปลิวเข้ามา
กลิ่นยามเช้าช่างดูสวยงาม

เหมือนท้องฟ้าที่คอยส่งรอยยิ้มลงมา
แบบที่เธอนั้นที่คอยสบตา
ทำให้ฉันคิดถึงทุกที

อยากให้เธอรู้เหลือเกิน
ว่ามีใครเขารอและคอยที่จะเจอ
ออกไปกับฉันไหมเธอ
ที่ที่มีแค่เพียงแค่เราไปด้วยกัน

ไม่ว่าที่ไหน แค่มีเธออยู่กับฉัน
ไม่ว่าจะหันไปเมื่อไร
ยังมองเห็นเธอข้างๆ กัน
ไม่ว่าท้องฟ้ามืดมนเท่าไร
จับมือกันไปทุกวัน
ไม่ว่าอะไรก็ไม่สำคัญ
แค่มีเราเท่านั้น ก็พอ

เต็มไปด้วยผู้คนบนถนนวุ่นวาย
แค่เพียงขอมีเธอข้างกาย
ไม่ว่าจะใกล้จะไกลก็ไม่กลัว

อยากให้เธอรู้เหลือเกิน
ว่ามีใครเขารอและคอยที่จะเจอ
ออกไปกับฉันไหมเธอ
ที่ที่มีแค่เพียงแค่เราไปด้วยกัน

ไม่ว่าที่ไหนแค่มีเธออยู่กับฉัน
ไม่ว่าจะหันไปเมื่อไร
ยังมองเห็นเธอข้างๆ กัน
ไม่ว่าท้องฟ้ามืดมนเท่าไร
จับมือกันไปทุกวัน
ไม่ว่าอะไรก็ไม่สำคัญ
แค่มีเราเท่านั้น ก็พอ

ไม่ว่าที่ไหนแค่มีเธออยู่กับฉัน
ไม่ว่าจะหันไปเมื่อไร
ยังมองเห็นเธอข้างๆ กัน
ไม่ว่าท้องฟ้ามืดมนเท่าไร
จับมือกันไปทุกวัน
ไม่ว่าอะไรก็ไม่สำคัญ
แค่มีเราเท่านั้น ก็พอ",earth_patravee
งอน,/music/thailyric/21758,"จงง้อ จงง้อ จงง้อ ต้องง้อ จงง้อ จงง้อ

โทรไม่โทรมาคงต้องแล้วแต่
แค่รอตั้งนาน เพื่ออยากจะฟังเสียงเธอ
เธอจะอยู่ไหน จะทำอะไรมันคงสำคัญ
ถึงทำให้เธอลืมฉันได้ลง

มาไม่มาก็คงต้องแล้วแต่
แค่รอตั้งนาน เพื่อที่จะได้พบกัน
ถ้าเธอไม่คิด ถ้าเธอไม่รู้ ว่าใครน้อยใจ
ถ้างั้นฉันคงไม่กวนละกัน

ที่ดูฉันงอแงขี้น้อยใจ รู้เอาไว้ก็เพราะว่ารัก
จำไว้นะ ถ้าฉันไม่แคร์เธอ จะไม่เป็นอะไรแบบนี้
ฉันงอน เธอง้อ แค่เนี้ยได้ป่ะ
ที่ฉันงอนเพราะรักเธอคนเดียว

แค่นี้นะ แต่เธอห้ามวางก่อน
ไม่ต้องรีบนะ แต่อย่าปล่อยให้ฉันต้องรอ
ไม่เป็นไร คือเป็นอะไรอยู่ในหัวใจ
ไม่ต้องสนใจยิ่งต้องสนใจ

ที่ดูฉันงอแงขี้น้อยใจ รู้เอาไว้ก็เพราะว่ารัก
จำไว้นะ ถ้าฉันไม่แคร์เธอ จะไม่เป็นอะไรแบบนี้
ฉันงอน เธอง้อ แค่เนี้ยได้ป่ะ
ที่ฉันงอนเพราะรักเธอคนเดียว

ที่ดูฉันงอแงขี้น้อยใจ รู้เอาไว้ก็เพราะว่ารัก
จำไว้นะ ถ้าฉันไม่แคร์เธอ จะไม่เป็นอะไรแบบนี้
ฉันงอน เธอง้อ แค่เนี้ยได้ป่ะ
ที่ฉันงอนเพราะรักเธอคนเดียว

รักเธอ ห่วงเธอ หวงเธอคนเดียว
อยากให้ง้อเพราะรักเธอคนเดียว
ฉันงอน เธอง้อ แค่เนี้ยได้ป่ะ
ที่ฉันงอนเพราะรักเธอคนเดียว

จงง้อ จงง้อ จงง้อ ต้องง้อ จงง้อ จงง้อ",earth_patravee
