song_name,href,lyric,artist
ชิล (Chill),/music/thailyric/6260,"อยู่ดีดีก็รักกันเลยแบบจานด่วน
ใครเป็นใครไม่สำคัญ
ไม่ทันไรก็เลิกกันไปแบบช่างมัน
ใครเป็นไงไม่สนใจ

ใจเย็นเย็นสักนิด เย็นลงกันสักนิด
เย็นลงกันสักนิด ดูกันสักครั้ง
ใจเย็นเย็นสักนิด เย็นลงกันสักนิด
เย็นลงกันสักนิด ช่วยคิดยาวยาว

ใจเย็นเย็นสักนิด เย็นลงกันสักนิด
เย็นลงกันสักนิด จะเป็นไรไป
ช่วยผ่อนมันลงสักพัก
สูดลมหายใจสักที
จะดีไม่ดีบางทีก็ยังต้องดู

เย็นไว้ก่อน Chill ไว้นิดนึง
เย็นไว้ก่อน Chill ไว้นะเธอ
เย็นไว้ก่อน ทนไว้พี่ชาย
ชีวิตยังมีเหลือกันอีกยาว

อยู่ดีดีก็ซัดกันเลยแบบทันด่วน
ใครเป็นใครไม่สำคัญ
ไม่ทันไรก็รบรากันแบบช่างมัน
ใครเป็นตายไม่สนใจ

ช่วยผ่อนมันลงสักพัก
สูดลมหายใจสักที
จะดีไม่ดีบางทีก็ยังต้องดู

เย็นไว้ก่อน Chill ไว้นิดนึง
เย็นไว้ก่อน Chill ไว้สักคราว
เย็นไว้ก่อน Chill ไว้พวกเรา
ชีวิตยังมีเหลือกันอีกยาว

ใจเย็นเย็นสักนิด เย็นลงกันสักนิด
ใจเย็นเย็นสักนิด เย็นลงกันสักนิด

ช่วยผ่อนมันลงสักนิด
สูดลมหายใจสักที
จะดีไม่ดีบางทีก็ยังต้องดู

เย็นไว้ก่อน Chill ไว้นิดนึง
เย็นไว้ก่อน Chill ไว้สักคราว
เย็นไว้ก่อน Chill ไว้พวกเรา
ชีวิตยังมีเหลือกันอีกยาว

เย็นไว้ก่อน Chill ไว้นิดนึง
เย็นไว้ก่อน Chill ไว้นะเธอ
เย็นไว้ก่อน Chill ไว้พี่ชาย
ชีวิตยังมีเหลือกันอีกยาว",etc
นางฟ้า,/music/thailyric/6263,"เห็นรึเปล่านะ รึเปล่านะ รู้รึเปล่าใครเขามองอยู่นะ
มองใบหน้าเธอ มองจ้องเธอ เหมือนโดนสะกด
ฝันรึเปล่านะ คงไม่นะ รู้ว่าคนอื่นเขาก็มองนะ
ตัวเธอถูกจับจองไปด้วยสายตา

ถ้าเขามีเวทมนตร์ ทำให้เธอประทับใจ
ต่างกับฉัน มีแค่ใจคอยให้เธอกรุณา

จะควงเธอไปที่ใดใครคงอิจฉา
เธอคือคนที่ใครหลายคนคิดว่านางฟ้า
โปรดเถอะนะ ช่วยมองที่หัวใจของฉันได้ไหม
ถ้าเธอคือนางฟ้า

ใครเคยบอกมา ตลอดนะ
รักเป็นเพียงเรื่องของหัวใจนะ
มีอำนาจใด ดลให้ใจเธอได้โปรดฟัง
แค่ให้เธอรู้ ให้เธอเห็น
ใจฉันอยากเป็นของๆ เธอนะ
ขอโอกาสสวรรค์เห็นใจซักครา

ถ้าเขา มีเวทมนตร์ ทำให้เธอประทับใจ
ต่างกับฉัน มีแค่ใจคอยให้เธอกรุณา

จะควงเธอไปที่ใดใครคงอิจฉา
เธอคือคนที่ใครหลายคนคิดว่านางฟ้า
โปรดเถอะนะ ช่วยมองที่หัวใจของฉันได้ไหม
ถ้าเธอคือนางฟ้า

(Rap)
อะ อะ อะ โอ้ยๆ สงครามหัวใจ
จะสู้กับใครเขาได้หละโว้ย
ฐานะก็ปานกลางจนเกือบจะล่างเลย โอ้โหย
ไม่มีรถยนต์โดยสาร ขาดปัจจัยทั้งหมด
ที่มีอย่างเดียวคือมาตรฐาน
ในเรื่องความรักของชายไทย
ไม่มีออพชั่นเป็นทุน นามสกุลก็แพ้ใคร
แข่งบุญวาสนาก็แข่งไป
แต่แข่งกันรักเธอ ผมไม่แพ้ชายใด
(ยังไม่ลองก็แล้วไป แล้วไป ยังอีก ก็ตามใจ)

ถ้าเขา มีเวทมนตร์ ทำให้เธอประทับใจ
ต่างกับฉัน มีแค่ใจรอให้เธอกรุณา

จะควงเธอไปที่ใดใครคงอิจฉา
เธอคือคนที่ใครหลายคนคิดว่านางฟ้า
โปรดเถอะนะ ช่วยมองที่หัวใจของฉันได้ไหม
ถ้าเธอคือนางฟ้า

จะควงเธอไปที่ใดใครคงอิจฉา
เธอคือคนที่ใครหลายคนคิดว่านางฟ้า
โปรดเถอะนะ ช่วยมองที่หัวใจของฉันได้ไหม
ถ้าเธอคือนางฟ้า",etc
นาทีสุดท้าย,/music/thailyric/6264,"วันที่เรามีรักให้ใครสักคน
ถ้ามันเป็นเพียงความรักข้างเดียวก็คงต้องเสียใจ
แต่รักเขาแล้วไม่บอกไม่ยอมพูดเพียงคำเดียวและปล่อย
..ปล่อยมันให้สายไป ยิ่งช้ำใจ

ความในใจของฉันที่มีต่อเธอ
มันคือคำว่ารัก รักตั้งแต่วันที่พบกัน
แต่เหมือนว่าฉันไม่แคร์
ไม่เคยสนใจในความรู้สึกของใจเธอเลยสักครั้ง
อยากให้รู้มันไม่จริง

และในชีวิตของฉันต้องการแค่เพียงคนเดียวคือเธอ
ก็คงไม่มีประโยชน์ต้องทนเก็บไว้ในใจ
อยากบอกให้เธอได้รู้ ฉันจะไม่หนีความจริงจากนี้ไป
นาทีสุดท้าย คงยังไม่สาย สำหรับเรา

ความในใจของฉันที่มีต่อเธอ
มันคือคำว่ารัก รักตั้งแต่วันที่พบกัน
แต่เหมือนว่าฉันไม่แคร์
ไม่เคยสนใจในความรู้สึกของใจเธอเลยสักครั้ง
อยากให้รู้มันไม่จริง

และในชีวิตของฉันต้องการแค่เพียงคนเดียวคือเธอ
ก็คงไม่มีประโยชน์ต้องทนเก็บไว้ในใจ
อยากบอกให้เธอได้รู้ ฉันจะไม่หนีความจริงจากนี้ไป
นาทีสุดท้าย คงยังไม่สาย สำหรับเรา

เฝ้ารอมานานแสนนาน วันที่กล้าจะบอกเธอไป
พูดมาจากใจของฉัน ว่าฉันรักเธอ

และในชีวิตของฉันต้องการแค่เพียงคนเดียวคือเธอ
ก็คงไม่มีประโยชน์ต้องทนเก็บไว้ในใจ
อยากบอกให้เธอได้รู้ ฉันจะไม่หนีความจริงจากนี้ไป
นาทีสุดท้าย คงไม่สาย สำหรับเรา",etc
บริง อิต แบ็ก (Bring It Back),/music/thailyric/6265,"ยังก็ยังไม่พอนะ ยังไม่พอนะ
ทำเท่าไรก็ยังไม่พอ ก็เลยต้องทำเข้าไปนะ
ทำมันเข้าไป หนักแค่ไหน ห้ามท้อ
ยังไม่เคยได้หยุดพัก เหนื่อยก็อย่าพัก
ใจไม่เคยได้เติมให้เต็ม เสียดายถ้าคำว่าชีวิต
มีด้านเดียวทุกวัน Just the same

ชวนนะชวนซักวันนะ มาซักคืนนะ
มาร่าเริงด้วยกันซักที
เรื่องงานก็พอซักวันนะ
ลืมมันซักคืน มาทางนี้ ทางนี้

เพลงนี้เป็นของเธอนะ
ทำให้เธอนะ  let me entertain you
ให้คืนนี้เป็นของเธอนะ
มาได้เลย ก็ฉันรอเธออยู่

Bring it back ชีวิตชีวา ให้เวลาหัวใจ
Let my music light your fire common, Aouuu
Bring it back ชีวิตชีวา เพราะมันเป็นของเรา
Etc won't let you down, My baby

Honey, Honey, Honey, Shorty, Shorty
เอาหัวใจฉันไปได้เลย
ชั่วโมงนี้เป็นของเธอแล้ว
ไม่ต้องสนใคร อย่าทำเฉย อย่าเฉย

Baby, Baby, Baby move it
Take it, everything will be alright
ล่องลอยด้วยกันนะคืนนี้
Me and you have fun tonight

ฉันใส่หัวใจ เอาไว้ในบรรยากาศ แห่งเสียงเพลง
ฉันใส่ความสุขในคำร้องทำนอง
ที่บรรเลง ที่บรรเลงให้เธอ

ฉันอยากเห็นเธอ ทำเพื่อตัวเองซะบ้าง
มาครื้นเครง ให้เธอปลดล็อdที่ขังใจ
ปลดปล่อยชีวิตชีวา มาบรรเลง มาบรรเลงกับฉัน

Bring it back ชีวิตชีวา ให้เวลาหัวใจ
Let my music light your fire common, Aouuu
Bring it back ชีวิตชีวา เพราะมันเป็นของเรา
Etc won't let you down, My baby

Bring it back ชีวิตชีวา ให้เวลาหัวใจ
Bring it back ชีวิตชีวา เพราะมันเป็นของเรา
Etc won't let you down, My baby",etc
พร้อมรับความเสี่ยง,/music/thailyric/6269,"ฉันรู้ว่ามันคงไม่ง่าย ไม่ธรรมดา
ฉันรู้ไม่ใช่เรื่องเล่นก็เคยช้ำมา
รักไม่ได้มีรูปทรงเหมือนเดิมทุกเวลา
และรักไม่ให้ใครควบคุม กำหนดอย่างง่ายดาย

ความรัก เขาว่าเป็นเหมือนเปลวไฟ
รุ่มร้อน ถ้าหากเราอยู่ใกล้ไป
เหน็บหนาว ถ้าอยู่ไกลมากเกินไป
นี่คือรักที่ใครก็ต้องการ

ขอลองใหม่ ขอ ขอลองดูใหม่
ขอได้รักใครอีกสักครั้ง
และแม้จะเป็นยังไง
แม้ว่าจะต้องเปลี่ยนชีวิตฉันแค่ไหน
มันก็คุ้มจะลอง

จะขอลองใหม่ ขอฉันแวะมาใหม่
ถึงยากเย็นเท่าไหร่แต่อยากมี
ก็พร้อมจะรับความเสี่ยง
ฉันนั้นจะไม่เกี่ยง ถ้าได้รักอีกที
มันก็คุ้มจะลอง

ไม่ใช่ว่าฉันไม่รู้เรื่อง ไม่เคยรักใคร
ล้มแล้วลุกก็ไม่ง่าย ก็เคยรู้ดี
ถึงแม้ว่ารักที่เคยได้เจอ มันจบด้วยเสียใจ
ก็ยังหวังจะเจออีกสักที

ขอลองใหม่ ขอ ขอลองดูใหม่
ขอได้รักใครอีกสักครั้ง
และแม้จะเป็นยังไง
แม้ว่าจะต้องเปลี่ยนชีวิตฉันแค่ไหน
มันก็คุ้มจะลอง

จะขอลองใหม่ ขอฉันแวะมาใหม่
ถึงยากเย็นเท่าไหร่แต่อยากมี
ก็พร้อมจะรับความเสี่ยง
ฉันนั้นจะไม่เกี่ยง ถ้าได้รักอีกที
มันก็คุ้มจะลอง

มันอาจจบเหมือนเดิม (อาจจบเหมือนเดิม)
มันอาจดีเหมือนเดิม
พร้อมที่จะยอมให้รักนำทาง

ขอลองใหม่ ขอฉันแวะมาใหม่
ถึงยากเย็นเท่าไหร่แต่อยากมี
ก็พร้อมจะรับความเสี่ยง
ฉันนั้นจะไม่เกี่ยง ถ้าได้รักอีกที
มันก็คุ้มจะตาย",etc
เพราะเธอ...คือคำตอบ,/music/thailyric/6271,"ก่อนไม่เคยได้รู้ ไม่เคยเข้าใจ
กี่ความรักที่ทุ่มเทไป กลับต้องมีน้ำตา
และก็ยังคงถามหัวใจเรื่อยมา
เฝ้ารอคอยไม่รู้เวลาเมื่อไร จะเข้าใจมัน

เธอเองที่เดินเข้ามา เธอทำให้เชื่ออีกครั้ง
จากใจที่สูญศรัทธากลับมีพลัง

ก็เพราะเธอคือคำตอบ ตอบคำถามที่ค้างในใจ
ว่าความรักแท้เป็นไง ได้พบเธอแล้วเข้าใจ
จากวันนี้ไม่ขออะไร แค่ขอได้รักเธอไปเท่านั้น

จากชีวิตที่เหมือนยากเย็นทุกอย่าง
จากชีวิตครึ่งๆ กลางๆ ไม่เคยมีจุดหมาย
จากเคยมีคำถามที่ดูมากมาย
สิ่งที่ทำให้ฉันเข้าใจช่างง่ายดาย ก็คือเธอ

เธอเองที่เดินเข้ามา เธอทำให้เชื่ออีกครั้ง
จากใจที่สูญศรัทธากลับมีพลัง

ก็เพราะเธอคือคำตอบ ตอบคำถามที่ค้างในใจ
ว่าความรักแท้เป็นไง ได้พบเธอแล้วเข้าใจ
จากวันนี้ไม่ขออะไร แค่ขอได้รักเธอไปเท่านั้น

อยากขอบคุณที่เธอมองมาที่ฉัน
มองมาที่สายตา มองมาถึงหัวใจ
เธอทำให้ฝันกลายเป็นจริง
และจะไม่มีวันให้ใครมาแทนที่เธอ

เพราะเธอคือคำตอบ ตอบคำถามที่ค้างในใจ
ให้ฉันได้เจอรักแท้ ได้พบเธอแล้วเข้าใจ
จากวันนี้ไม่ขออะไร
จะขอรัก ขอรัก ขอรัก รักเธอเท่านั้น

เพราะเธอคือคำตอบ ตอบคำถามที่ค้างในใจ
ให้ฉันนั้นได้รู้ว่าความรักที่จริงแท้เป็นแบบนี้
ได้พบเธอแล้วเข้าใจ จากวันนี้ไม่ขออะไร
แค่อยู่ตรงนี้ได้มีเธอ คำตอบในใจของฉันคือเธอ",etc
รักคนเอาแต่ใจ,/music/thailyric/6274,"ยังไงก็เป็นเธอ ที่เอาแต่ใจทุกที
ยังไงก็เป็นเธอ ที่ชอบดื้อรั้นทุกอย่าง
เธอเป็นอะไรไป เกิดอยากเปลี่ยนแปลงขึ้นมา
ไปทำอะไรมา แล้วคนเก่าไปไหน

เพราะเธอ ไม่ค่อยเอาแต่ใจเหมือนเคย
เพราะเธอ เคยยอมใครได้ที่ไหน
ฉันเลย ไม่คุ้นเคยกับเธอเท่าไร
บอกคนเก่าให้กลับมาได้ไหม

เธอจะเป็นคนยังไง ฉันก็จะรักก็จะรัก
เธอไม่ต้องกลายเป็นใครให้มันลำบากได้ไหม
เธอจะเป็นคนยังไง ก็ยังน่ารักยังน่ารัก
เพราะเธอเป็นเธอ เป็นคนที่ฉันจะตามใจ
เป็นคนที่ฉันยังภูมิใจอยู่ทุกวัน
จะอย่างไรก็รักเธอ เอาแต่ใจก็รักเธอ

อารมณ์เธอเป็นไง ก็ยังไล่ตามได้ทัน
จะมาแบบเป็นไฟ ฉันจะเป็นน้ำคอยดับ
เป็นไงก็เป็นไป แค่ให้เธอเป็นเหมือนเดิม
เป็นคนที่คอยทำ ให้ฉันต้องเวียนหัว

เพราะเธอ ไม่ค่อยเอาแต่ใจเหมือนเคย
เพราะเธอ เคยยอมใครได้ที่ไหน
ฉันเลย ไม่คุ้นเคยกับเธอเท่าไร
บอกคนเก่าให้กลับมาได้ไหม

เธอจะเป็นคนยังไง ฉันก็จะรักก็จะรัก
เธอไม่ต้องกลายเป็นใครให้มันลำบากได้ไหม
เธอจะเป็นคนยังไง ก็ยังน่ารักยังน่ารัก
เพราะเธอเป็นเธอ เป็นคนที่ฉันจะตามใจ
เป็นคนที่ฉันยังภูมิใจอยู่ทุกวัน
จะอย่างไรก็รักเธอ

เธอจะเป็นคนยังไง ฉันก็จะรักก็จะรัก
เธอไม่ต้องกลายเป็นใครให้มันลำบากได้ไหม
เธอจะเป็นคนยังไง ก็ยังน่ารักยังน่ารัก
เพราะเธอเป็นเธอ เป็นคนที่ฉันจะตามใจ
เป็นคนที่ฉันยังภูมิใจอยู่ทุกวัน

เธอจะเป็นคนยังไง ฉันก็จะรักก็จะรัก
เธอไม่ต้องกลายเป็นใครให้มันลำบากได้ไหม
เธอจะเป็นคนยังไง ก็ยังน่ารักยังน่ารัก
เพราะเธอเป็นเธอ เป็นคนที่ฉันจะตามใจ
เป็นคนที่ฉันยังภูมิใจอยู่ทุกวัน
จะอย่างไรก็รักเธอ",etc
สิ่งมีชีวิตที่เรียกว่าหัวใจ,/music/thailyric/6276,"เธอ  เธอจำได้หรือเปล่า
จำวันคืนที่เรา มีให้กันได้ไหม
เรา  ผ่านอะไรมากมาย
ทุกๆ สิ่งดีร้าย ล้วนมีความสำคัญ

วันคืนที่เราเรียนรู้กัน
ส่งให้เธอกับฉัน ก้าวมาขั้นสุดท้าย

ก็มันเป็น รักที่เกิดจากความใกล้ชิด
ผ่านสิ่งที่มีชีวิตที่เรียกว่าหัวใจ
ก็แค่เราสานต่อแบบไม่ต้องหยุดพัก
ปล่อยสิ่งที่เรียกว่ารัก ก้าวไปโตไป
อย่างที่ใจต้องการ

เธอ อาจจะลืมสังเกต
มีอารมณ์พิเศษ เกิดกับเธอและฉัน
เกินกว่าจะเป็นเพื่อนกัน
เพราะคำตอบเหล่านั้น  ฉันรู้มันด้วยใจ

มีคนดีดี นับร้อยพัน
แต่อย่างเธอกับฉัน จะไปหาที่ไหน

ก็มันเป็น รักที่เกิดจากความใกล้ชิด
ผ่านสิ่งที่มีชีวิตที่เรียกว่าหัวใจ
ก็แค่เราสานต่อแบบไม่ต้องหยุดพัก
ปล่อยสิ่งที่เรียกว่ารัก ก้าวไปโตไป
อย่างที่ใจต้องการ

หากว่าฉัน ต้องการคู่คิดสักคน
ผ่านชีวิตร้อนหนาว ผ่านแดดและฝน
ก็อยากให้เธอ อยู่กับฉัน

ก็มันเป็น รักที่เกิดจากความใกล้ชิด
ผ่านสิ่งที่มีชีวิตที่เรียกว่าหัวใจ
ก็แค่เราสานต่อแบบไม่ต้องหยุดพัก
ปล่อยสิ่งที่เรียกว่ารัก ก้าวไปโตไป
อย่างที่ใจต้องการ

Chorus
จ้องตาอยู่ทุกวัน คบกันจนรู้ใจ
ฉันคงไม่รักใคร หันไปก็เห็นเธอ",etc
หมดเวลา,/music/thailyric/6278,"ยอมให้เธอแล้ว จะไม่รั้งบอกเธอไม่ให้ไป
เข้าใจแล้วว่ารักเราไม่เหมือนเก่า
ยอมกลับไปเหงา ไม่มีเราอย่างเดิมข้างๆ กาย
ได้แต่ทำใจและรับความเปลี่ยนแปลง

ไม่อาจจะรักกันต่อไป ถึงวันจากลา
หมดเวลาแล้วที่มีให้กันต่อจากวันนี้
จบวันที่สองเราต่างมี ที่เคยผ่านมา
หมดเวลาแล้ว ถึงเวลาแล้ว หมดแล้วจริงๆ

คงไม่มีแล้วช่วงเวลาที่ดีที่ซึ้งใจ
เข้าใจแล้ว ว่าถึงวันต้องช้ำใจ
ทนสักแค่ไหน ก็ยังไม่เคยจะเพียงพอ
ให้เรามีวันที่มีกันต่อไป

ไม่อาจจะรักกันต่อไป ถึงวันจากลา
หมดเวลาแล้วที่มีให้กันต่อจากวันนี้
จบวันที่สองเราต่างมี ที่เคยผ่านมา
หมดเวลาแล้ว ถึงเวลาแล้ว หมดแล้วจริงๆ

หมดเวลาแล้วที่ฉันมีเธอ จบแล้วใช่ไหม

(ความจริงนี้ที่ปวดใจ ทำอย่างไรก็หมดทาง
ทุ่มเททุกอย่างก็ไม่มากพอจะเปลี่ยนใจเธอ
ต้องทนเห็นเธอจากไป ทำอย่างไรก็หมดทาง
ทุ่มเททุกอย่าง ก็มาถึงวันที่ไม่มีเธอ)",etc
อย่าถาม,/music/thailyric/6279,"ต้องการอะไรกันอีก เธอจะอยากได้ยินอะไร
ที่จะมาถามว่าคิดอย่างไร
เมื่อเธอจะมาลาจาก มันยังจะมีถ้อยคำ
คำไหนที่ควรพูดไปหรือเธอ

หากวอนขอ อย่าทิ้งกันไป
จะทำให้เปลี่ยนใจไหม
หากจะฉุดมือเธอ และยอมคุกเข่า
และขอให้อยู่ จะอยู่ตามที่ขอหรือเธอ

อย่าถามได้ไหมรู้สึกยังไง
อย่าถามว่าฉันจะคิดยังไงจะอยู่ยังไง
ถ้าเธอจะไป จะถามกันทำไม
ไม่ว่าเธอคิดสงสาร รึเกิดเกรงใจ
จะเป็นอะไร ก็เหมือนว่าทำให้ฉันยิ่งช้ำ
สิ่งที่ฉันนั้นคิดในใจ ยิ่งมีคำลาให้ช้ำเท่าไหร่ยิ่งดี

อย่าทำให้ยืดเยื้อเลย
ดูเธอจะเตรียมทุกอย่างหมดแล้ว
เพื่อไปเริ่มชีวิตใหม่

หากวอนขอ อย่าทิ้งกันไป
จะทำให้เปลี่ยนใจไหม
หากจะฉุดมือเธอ และยอมคุกเข่า
และขอให้อยู่ จะอยู่ตามที่ขอหรือเธอ

อย่าถามได้ไหมรู้สึกยังไง
อย่าถามว่าฉันจะคิดยังไงจะอยู่ยังไง
ถ้าเธอจะไป จะถามกันทำไม
ไม่ว่าเธอคิดสงสาร รึเกิดเกรงใจ
จะเป็นอะไร ก็เหมือนว่าทำให้ฉันยิ่งช้ำ
สิ่งที่ฉันนั้นคิดในใจ ยิ่งมีคำลาให้ช้ำเท่าไหร่ยิ่งดี

หากวอนขอ อย่าทิ้งกันไป
จะทำให้เปลี่ยนใจไหม
หากจะฉุดมือเธอ และยอมคุกเข่า
จะทำให้เราเป็นเหมือนดังเดิมได้ไหมเธอ

อย่าถามได้ไหมรู้สึกยังไง
อย่าถามว่าฉันจะคิดยังไงจะอยู่ยังไง
ถ้าเธอจะไป จะถามกันทำไม
ไม่ว่าเธอคิดสงสาร รึเกิดเกรงใจ
จะเป็นอะไร ก็เหมือนว่าทำให้ฉันยิ่งช้ำ
สิ่งที่ฉันนั้นคิดในใจ ยิ่งมีคำลาให้ช้ำเท่าไหร่ยิ่งดี",etc
