song_name,href,lyric,artist
ขอบคุณที่เธอเข้ามา,/music/thailyric/9724,"เมื่อก่อนนั้นไม่เคยเข้าใจคำว่าชีวิต
เมื่อก่อนนั้นฉันทำอะไรไม่ค่อยคิด
ไม่เคยรู้ถูกผิด ทำแค่ตามเสียงของหัวใจ

แต่วันนี้ทุกวันฉันเริ่มที่จะคิด
ก็วันนี้มีเธอเข้ามาในชีวิต
เธอทำให้รู้ถูกผิด และรู้ว่าชีวิตต้องใช้มันอย่างไร

จากคนที่ไม่เคยยอมให้ใครก่อน
เธอเข้ามาและได้สอนให้เข้าใจ
ว่าคนอย่างฉันขาดเธอไม่ได้
เธอมีความหมายสำหรับฉัน

เธอเปลี่ยนวันเวลาของฉันจากเดิมด้วยความรัก
เปลี่ยนวันเวลาให้คนอย่างฉันได้รู้จัก
ว่าชีวิตของฉันมันคงไม่ง่ายนัก
หากว่าฉันไม่มีคนอย่างเธอ

เธอเปลี่ยนวันเวลาของฉันจากเดิมด้วยความรัก
หากไม่มีเธอวันนี้ก็คงไม่รู้จัก
กับคำนี้ คำว่ารัก ขอบคุณเธอที่เดินเข้ามา

จะไม่ทำอะไรให้เธอต้องผิดหวัง
สิ่งเหล่านั้นฉันทิ้งและวางไว้ข้างหลัง
จะเป็นฉันคนใหม่ จะรักเพียงแต่เธอเรื่อยไป

จากคนที่ไม่เคยยอมให้ใครก่อน
เธอเข้ามาและได้สอนให้เข้าใจ
ว่าคนอย่างฉันขาดเธอไม่ได้
เธอมีความหมายสำหรับฉัน

เธอเปลี่ยนวันเวลาของฉันจากเดิมด้วยความรัก
เปลี่ยนวันเวลาให้คนอย่างฉันได้รู้จัก
ว่าชีวิตของฉันมันคงไม่ง่ายนัก
หากว่าฉันไม่มีคนอย่างเธอ

เธอเปลี่ยนวันเวลาของฉันจากเดิมด้วยความรัก
หากไม่มีเธอวันนี้ก็คงไม่รู้จัก
กับคำนี้ คำว่ารัก ขอบคุณเธอที่เดินเข้ามา

เธอเปลี่ยนวันเวลาของฉันจากเดิมด้วยความรัก
เปลี่ยนวันเวลาให้คนอย่างฉันได้รู้จัก
ว่าชีวิตของฉันมันคงไม่ง่ายนัก
หากว่าฉันไม่มีคนอย่างเธอ

เธอเปลี่ยนวันเวลาของฉันจากเดิมด้วยความรัก
หากไม่มีเธอวันนี้ก็คงไม่รู้จัก
กับคำนี้ คำว่ารัก ขอบคุณเธอที่เดินเข้ามา",film_bongkot
คนโชคร้าย,/music/thailyric/18738,"ฉันเป็นคนโชคร้าย
ที่เดียวดายและสิ้นหวัง
ที่มีก็แค่น้ำตา
ที่เคียงข้างฉันให้พ้นข้ามคืน
ไม่มีเหลือไร้เรี่ยวแรงจะลุกยืน
บาดแผลที่ไม่เคยลืม
ผลักให้ฉันต้องล้มทุกคราว

อ้างว้างเหลือเกิน
ไม่มีสักคนที่เขาจะรักฉันจริง
ต้องอ้อนวอนเท่าไรฟ้าถึงได้ยิน
และฉุดฉันให้พ้นจากตรงนี้

ไม่รู้จะอยู่ยังไง
ต้องทุกข์ทรมานอีกนานแค่ไหน
แค่วินาทีเดียวยังทนไม่ได้
เหนื่อยล้าจนแทบขาดใจ

ฉันเองอยากหลับตาลง
ไม่ขอลืมตาอีกเลยได้ไหม
ถ้าโลกนี้ไม่เหลือใครเข้าใจ
ก็ไม่รู้จะมีลมหายใจเพื่ออะไร

ฉันมีค่าแค่นี้
เศษผงที่ใครก็โยนทิ้ง
ความรักที่คิดว่าจริง
คงมีเหลือแค่ในนิยาย

แค่ส่วนเกิน
ที่คงไม่มีความหมาย
หากแม้ว่าฉันหายไป
คงไม่มีสักคนรู้เลย

อ้างว้างเหลือเกิน
ไม่มีสักคนที่เขาจะรักฉันจริง
ต้องอ้อนวอนเท่าไรฟ้าถึงได้ยิน
และฉุดฉันให้พ้นจากตรงนี้

ไม่รู้จะอยู่ยังไง
ต้องทุกข์ทรมานอีกนานแค่ไหน
แค่วินาทีเดียวยังทนไม่ได้
เหนื่อยล้าจนแทบขาดใจ

ฉันเองอยากหลับตาลง
ไม่ขอลืมตาอีกเลยได้ไหม
ถ้าโลกนี้ไม่เหลือใครเข้าใจ
ก็ไม่รู้จะมีลมหายใจเพื่ออะไร

ไม่รู้จะอยู่ยังไง
ต้องทุกข์ทรมานอีกนานแค่ไหน
แค่วินาทีเดียวยังทนไม่ได้
เหนื่อยล้าจนแทบขาดใจ

ฉันเองอยากหลับตาลง
ไม่ขอลืมตาอีกเลยได้ไหม
ถ้าโลกนี้ไม่เหลือใครเข้าใจ
ก็ไม่รู้จะมีลมหายใจเพื่ออะไร",film_bongkot
ใครสักคน,/music/thailyric/10184,"อาจจะดูว่าฉันนั้นมีทุกอย่าง
อาจจะดูว่าฉันพร้อมไปทุกสิ่ง
แต่ใครจะรู้ความจริง ที่มันอยู่ในใจฉัน

อาจจะดูว่าฉันเลิศเลอเหนือใคร
อาจจะดูว่าฉันไม่เคยหวั่นไหว
แต่ทางที่ฉันก้าวไป มันเหงาจับใจเหลือเกิน

สิ่งที่ตัวฉันมี ไม่ใช่อะไรที่ใจฉันต้องการ
สิ่งที่ฉัน ไขว่คว้ามานานแสนนาน
ไม่เคยจะได้เจอ

ฉันต้องการแค่ใครคนนั้น
ที่พร้อมจะเข้าใจ
ฉันต้องการเพียงใครสักคน
ที่โอบกอดฉันและไม่หนีไป

ฉันต้องการแค่ใครคนนั้น
แต่เขาไปอยู่ที่ไหน
คนที่เขา จะมองกันด้วยหัวใจ
ไม่ใช่ด้วยสายตา

สิ่งที่ตัวของฉันนั้นมีทุกอย่าง
หากว่ามันมากพอแลกพรสักสิ่ง
ก็จะยอมถ้าฝันเป็นจริง
ทุกอย่างจะยอมแลกไป

สิ่งที่ตัวฉันมี ไม่ใช่อะไรที่ใจฉันต้องการ
สิ่งที่ฉัน ไขว่คว้ามานานแสนนาน
ไม่เคยจะได้เจอ

ฉันต้องการแค่ใครคนนั้น
ที่พร้อมจะเข้าใจ
ฉันต้องการเพียงใครสักคน
ที่โอบกอดฉันและไม่หนีไป

ฉันต้องการแค่ใครคนนั้น
แต่เขาไปอยู่ที่ไหน
คนที่เขา จะมองกันด้วยหัวใจ
ไม่ใช่ด้วยสายตา

ฉันต้องการแค่ใครคนนั้น
ที่พร้อมจะเข้าใจ
ฉันต้องการเพียงใครสักคน
ที่โอบกอดฉันและไม่หนีไป

ฉันต้องการแค่ใครคนนั้น
แต่เขาไปอยู่ที่ไหน
คนที่เขา จะมองกันด้วยหัวใจ
ไม่ใช่ด้วยสายตา",film_bongkot
เจ็บแค่ไหนก็ยังรักอยู่,/music/thailyric/9866,"รักของฉันอาจดูไม่รู้ เพราะรักของฉันมันคงซ่อนอยู่
ส่วนลึกภายในของหัวใจ จนเกินจะหยั่งรู้ได้
รักของฉันอาจมองไม่เห็น เหมือนว่าฉันเป็นคนเยือกเย็น
แต่ฉันก็ทรมานทั้งหัวใจ ในสิ่งที่มันเป็นไป

อาจดูว่าฉันคนนี้ไม่มีหัวใจ ไม่เหลือความทรงจำที่ผ่านมา
อาจดูว่าฉันคนนี้ไม่มีน้ำตา แต่ข้างในหัวใจ

เจ็บที่รักแต่ไม่อาจให้เธอรู้ เจ็บที่ฉันต้องปิดบังซ่อนอยู่
ทุกวันต้องทำให้ดูว่าฉันไม่เป็นอะไร
เจ็บแค่ไหนก็ไม่อาจให้เธอรู้ เจ็บแค่ไหนก็ยังรักอยู่
ห้ามใจอย่างไรไม่รู้ ให้ฉันหยุดคิดเรื่องเธอสักที

ทุกทุกครั้งเธอคงไม่รู้ ใจของฉันที่มันซ่อนอยู่
แบกรับความทรมานสักเท่าไร ในสิ่งที่เธอทำไป

อาจดูว่าฉันคนนี้ไม่มีหัวใจ ไม่เหลือความทรงจำที่ผ่านมา
อาจดูว่าฉันคนนี้ไม่มีน้ำตา แต่ข้างในหัวใจ

เจ็บที่รักแต่ไม่อาจให้เธอรู้ เจ็บที่ฉันต้องปิดบังซ่อนอยู่
ทุกวันต้องทำให้ดูว่าฉันไม่เป็นอะไร
เจ็บแค่ไหนก็ไม่อาจให้เธอรู้ เจ็บแค่ไหนก็ยังรักอยู่
ห้ามใจอย่างไรไม่รู้ ให้ฉันหยุดคิดเรื่องเธอสักที

เจ็บที่รักแต่ไม่อาจให้เธอรู้ เจ็บที่ฉันต้องปิดบังซ่อนอยู่
ทุกวันต้องทำให้ดูว่าฉันไม่เป็นอะไร
เจ็บแค่ไหนก็ไม่อาจให้เธอรู้ เจ็บแค่ไหนก็ยังรักอยู่
ห้ามใจอย่างไรไม่รู้ ให้ฉันหยุดคิดเรื่องเธอสักที
ห้ามใจอย่างไรไม่รู้ ให้ฉันหยุดรักเธอไปสักที",film_bongkot
ฉันไม่มีสิทธิ์แล้ว,/music/thailyric/12500,"ฉันใช้อะไรที่มีจนไม่เหลือ
เปลืองตัว เปลืองรักและเปลืองหัวใจ
ใครมองฉันไม่ดี ว่าเป็นคนร้าย
เป็นแค่คนมักง่ายในความรัก

แต่อยากให้รู้ข้างในนั้น
หัวใจฉันมันร้องไห้
มันยังไม่เคยได้รักจริงๆ จากใคร
ผิดเองผิดซ้ำ อยู่อย่างนี้
ก็ฉันเลือกเกิดไม่ได้
ไม่เคยรู้ชั่วดีคืออะไร

อยากจะมีความรักดีๆ
อย่างใครเขามีกันวันนี้
อยากจะมีอ้อมแขน
ที่คอยสวมกอดด้วยความจริงใจ
แต่ฉัน ฉันไม่มีสิทธิ์แล้ว
คุณค่าฉันไม่มีเหลือในสายตาใคร
แต่อยากให้รู้ถึงเลวเพียงใด
ฉันก็มีหัวใจ ที่ต้องการคนดูแล

ฉันเหลือเวลาอีกนานสักแค่ไหน
ทางไกล ชีวิต ยังคงต้องเดิน
คนเป็นร้อยเป็นพัน กี่คนที่เขาเมิน
อยากจะเจอเหลือเกินคนเดียวที่เข้าใจ
และอยากให้รู้ข้างในนั้น
หัวใจฉันมันแพ้พ่าย
มันยังไม่เคยได้รักจริงๆ จากใคร
ไม่อยากผิดซ้ำ อยู่อย่างนี้
ก็ฉันเลือกเกิดไม่ได้
กว่าจะรู้ชั่วดีมันก็สาย

อยากจะมีความรักดีๆ
อย่างใครเขามีกันวันนี้
อยากจะมีอ้อมแขน
ที่คอยสวมกอดด้วยความจริงใจ
แต่ฉัน ฉันไม่มีสิทธิ์แล้ว
คุณค่าฉันไม่มีเหลือในสายตาใคร
แต่อยากให้รู้ถึงเลวเพียงใด
ฉันก็มีหัวใจ ที่ต้องการคนดูแล

อยากจะมีความรักดีๆ
อย่างใครเขามีกันวันนี้
อยากจะมีอ้อมแขน
ที่คอยสวมกอดด้วยความจริงใจ
แต่ฉัน ฉันไม่มีสิทธิ์แล้ว
คุณค่าฉันไม่มีเหลือในสายตาใคร
แต่อยากให้รู้ถึงเลวเพียงใด
คนคนนี้ก็มีหัวใจ ที่ต้องการคนดูแล

กว่าจะรู้รักคืออะไร
วันนี้คงสายเกินไป
ที่เธอจะมารักกัน",film_bongkot
ช่วยบอกให้ชัด,/music/thailyric/14522,"ไม่ได้คิดจะขอหรือว่าเรียกร้องกับเรื่องของเธอกับฉัน
แค่ไม่ชอบเป็นคนที่น่ารำคาญและดูพยายามมากไป
บางเวลาที่เธอเข้ามาใกล้กัน แล้วเธอก็ไกลออกไป
รู้ตัวหรือเปล่า มันทำให้ฉันต้องมีแต่คำถามมากเท่าไร

เธอคิดแบบไหน ใช่ แบบเดียวกันไหม
นี่เราเป็นอะไรกันหรือยัง

คบฉันเป็นตัวเลือก หรือว่าคบเป็นคนรัก
ก็แค่อยากเข้าใจซะที
ต้องรักเธอให้สุดหรือควรหยุดไว้เท่านี้
ฉันควรไปต่อ หรือว่าพอที ช่วยบอกให้ชัดได้ไหม

วันสำคัญของเธอฉันต้องอยู่กับเธอไหม
รูปที่ถ่ายกับฉันเธอให้ใครเห็นได้ไหม
เวลาเดินด้วยกันต้องกลัวมีใครเจอไหม
ตอบฉันได้หรือเปล่า

ที่เธอทำให้ฉันเหมือนที่ให้ใครไหม
ถ้ามีใครมาถามเธอจะตอบว่าไง
คำว่าจริงจังของเรามันเท่ากันไหม
อยากฟังแค่นี้

เธอคิดแบบไหน ใช่ แบบเดียวกันไหม
นี่เราเป็นอะไรกันหรือยัง

คบฉันเป็นตัวเลือก หรือว่าคบเป็นคนรัก
ก็แค่อยากเข้าใจซะที
ต้องรักเธอให้สุดหรือควรหยุดไว้เท่านี้
ฉันควรไปต่อ หรือว่าพอที
ช่วยบอกให้ฉันได้รู้

ต้องการแค่ความชัดเจนได้ไหม
ถ้าเธอไม่คิดแบบฉัน ก็ปล่อยให้ฉันนั้นเดินจากไป

คบฉันเป็นตัวเลือก หรือว่าคบเป็นคนรัก
ก็แค่อยากเข้าใจซะที
ต้องรักเธอให้สุดหรือควรหยุดไว้เท่านี้
ฉันควรไปต่อ หรือว่าพอที ช่วยบอกให้ชัด

คบฉันเป็นตัวเลือก หรือว่าคบเป็นคนรัก
ก็แค่อยากเข้าใจซะที
ต้องรักเธอให้สุดหรือควรหยุดไว้เท่านี้
ฉันควรไปต่อ หรือว่าพอที
ช่วยบอกให้ชัด ได้ไหม",film_bongkot
ตัวปัญหา,/music/thailyric/11347,"ฉันน่ารำคาญใช่ไหม ช่วงนี้ที่ในสายตา
ฉันพูดอะไร ก็เหมือนว่าสร้างแต่ปัญหา
ไม่เคยเข้าหูเธอ แต่ละคำที่ฉันพูดจา
แม้หน้าฉันยังไม่อยากมอง

น้ำเสียงที่ดูเปลี่ยนไป บอกฉันว่าเธอเฉยชา
หายเงียบทีไร ไม่คิดจะโทร.กลับมาหา
แต่ละคนข้าง ๆ เธอ ก็ไม่ใช่คนที่เคยคุ้นตา
แค่อยากรู้ว่าเขาเป็นใคร

ฉันมีสิทธิ์รู้ไหม ในฐานะคนที่รักเธอ
ฉันมีสิทธิ์ถามไหม ในฐานะคนที่รักกัน

ทำไมเวลาที่ฉันหวงเธอ หึงเธอ ถึงพูดไปไม่ได้
จะต้องบอกว่าฉันคิดมาก น่ารำคาญ จับผิดอะไรมากมาย
อยากจะบอกที่ฉันรู้สึก ฟุ้งซ่าน โปรดรู้มันเป็นเพราะใคร
ก็เธอ เคยถามตัวเองบ้างไหม...ว่าใครไม่เหมือนเดิม

เพราะรักเธอจนหมดใจ เจ็บไหมก็ลองคิดดู
เคยรู้อะไร วันนี้ไม่เคยจะได้รู้
อยากจะไปอยู่เหมือนกัน แต่ใจก็ยังรั้นอยู่
ก็หวังให้เธอดูแลหัวใจ

ฉันมีสิทธิ์รู้ไหม ในฐานะคนที่รักเธอ
ฉันมีสิทธิ์ถามไหม ในฐานะคนที่รักกัน

ทำไมเวลาที่ฉันหวงเธอ หึงเธอ ถึงพูดไปไม่ได้
จะต้องบอกว่าฉันคิดมาก น่ารำคาญ จับผิดอะไรมากมาย
อยากจะบอกที่ฉันรู้สึก ฟุ้งซ่าน โปรดรู้มันเป็นเพราะใคร
ก็เธอ เคยถามตัวเองบ้างไหม...ว่าใครไม่เหมือนเดิม...

ฉันมีสิทธิ์รู้ไหม ในฐานะคนที่รักเธอ
ฉันมีสิทธิ์ถามไหม ในฐานะคนที่รักกัน

ทำไมเวลาที่ฉันหวงเธอ หึงเธอ ถึงพูดไปไม่ได้
จะต้องบอกว่าฉันคิดมาก น่ารำคาญ จับผิดอะไรมากมาย
อยากจะบอกที่ฉันรู้สึก ฟุ้งซ่าน โปรดรู้มันเป็นเพราะใคร
ก็เธอ เคยถามตัวเองบ้างไหม
ว่าใครไม่ใช่คนเดิม",film_bongkot
พูดอะไรไม่ได้สักอย่าง,/music/thailyric/9674,"เก็บไว้เรื่อยไป เก็บเอาไว้ในใจเรื่อยไป
แม้ว่ามันรักเธอสักเท่าไหร่ ก็ต้องซ่อนในใจอย่างนี้
เก็บงำผู้เดียว เก็บเอาไว้ในใจผู้เดียว
ต้องยอมให้ทุกคืนทุกวันเปล่าเปลี่ยว ที่ไม่มีเธอเคียงข้างกาย

เธอคงไม่รู้ว่าฉันปวดใจแค่ไหน
ที่ต้องทำอาการไม่หวั่นไหว
แต่เมื่อสองเราใกล้ชิดกัน ใจมันจะเป็นจะตาย

รัก ที่พูดอะไรออกไปไม่ได้สักอย่าง
รัก ที่ทำอะไรเหมือนใจไม่ได้สักครั้ง
มันช่างทรมานหัวใจ กว่าการต้องทนอ้างว้าง
ทุกอย่าง เธอคงไม่เคยเข้าใจ

กี่วันพ้นไป แต่ละวันที่มันพ้นไป
ไม่มีสักครั้งนึงที่ทำอะไร
ได้อย่างใจข้างในต้องการ

เธอคงไม่รู้ว่าฉันปวดใจแค่ไหน
ที่ต้องทำอาการไม่หวั่นไหว
แต่เมื่อสองเราใกล้ชิดกัน ใจมันจะเป็นจะตาย

รัก ที่พูดอะไรออกไปไม่ได้สักอย่าง
รัก ที่ทำอะไรเหมือนใจไม่ได้สักครั้ง
มันช่างทรมานหัวใจ กว่าการต้องทนอ้างว้าง
ทุกอย่าง เธอคงไม่เคยเข้าใจ

รัก ที่พูดอะไรออกไปไม่ได้สักอย่าง
รัก ที่ทำอะไรเหมือนใจไม่ได้สักครั้ง
มันช่างทรมานหัวใจ กว่าการต้องทนอ้างว้าง
ทุกอย่าง เธอคงไม่เคยเข้าใจ",film_bongkot
ไม่เจ็บอย่างฉันใครจะเข้าใจ,/music/thailyric/9808,"ยังมีอยู่จริงใช่ไหม คนรักที่ไม่หลอกกัน
ยังมีอยู่จริงใช่ไหม ความรักที่เป็นดั่งฝัน
ฉันแค่กลัวว่าเธอนั้น จะมองฉันเป็นทางผ่าน
อย่างใคร ใครที่เค้าเคยเข้ามา

โหยหาจนมันไม่คิดว่ารักแท้มีอยู่จริง
โหยหาจนมันไม่หวังจะพบใครดีสักคน
ถ้าเป็นเธอในวันนี้ ช่วยทำให้ฉันรู้ที
ว่าเธอมีความรักที่เที่ยงแท้

ไม่เจ็บอย่างฉันใครจะเข้าใจ ว่ารักน่ากลัวเท่าไร
กี่คนที่เขามาดีมากมาย แต่สุดท้ายหลอกกันทุกที
มันหมดไปแล้วทุกความรู้สึก ไม่อยากรักใครอีกวันนี้
เธอช่วยบอกกับฉันที ว่ารักแท้มีอยู่จริง

ฝันร้ายอย่างเดิมซ้ำๆ กับทุกคนที่ผ่านมา
ฝันร้ายอย่างเดิมซ้ำๆ สุดท้ายก็จมน้ำตา
ถ้าเวลาจากวันนี้ เธอทำให้ฉันหายดี
ก็คงตื่นจากฝันที่มันร้าย

ไม่เจ็บอย่างฉันใครจะเข้าใจ ว่ารักน่ากลัวเท่าไร
กี่คนที่เขามาดีมากมาย แต่สุดท้ายหลอกกันทุกที
มันหมดไปแล้วทุกความรู้สึก ไม่อยากรักใครอีกวันนี้
เธอช่วยบอกกับฉันที ว่ารักแท้มีอยู่จริง

ไม่เจ็บอย่างฉันใครจะเข้าใจ ว่ารักน่ากลัวเท่าไร
กี่คนที่เขามาดีมากมาย แต่สุดท้ายหลอกกันทุกที
มันหมดไปแล้วทุกความรู้สึก ไม่อยากรักใครอีกวันนี้
เธอช่วยบอกกับฉันที ว่ารักแท้มีอยู่จริง
โห...ว่ารักแท้มีอยู่จริง",film_bongkot
ไม่ใช่ไม่รัก,/music/thailyric/9442,"ฉันต้องเก็บความจริงในหัวใจ
แต่ละวันที่มันพ้นไป
ไม่เคยรู้ทำเธอเสียใจมากแค่ไหน
เพราะบางอย่างมันเกินอธิบาย
บางอย่างเธอคงไม่เข้าใจ
แต่วันนี้ฉันคงไม่ต้องทำอย่างนั้น

เมฆหมอกจางหาย
อะไรร้ายๆ มันได้ผ่าน ได้พ้นไป
และในวันนี้ความลับที่อยู่ในใจ
จะบอกให้เธอได้รู้

ไม่ใช่ไม่รักเธอ ที่ผ่านมาฉันเองก็เหนื่อยหัวใจ
ไม่ใช่ไม่รู้เลยว่าเธอนั้นรักฉันมากแค่ไหน
ถ้าในวันนี้ ทุกอย่างมันยังไม่สายไป
อยากจะขออภัยได้ไหมให้คนที่รักเธอ

ฉันไม่อยากให้เธอเสียใจ
ไม่อยากต้องทำร้ายใคร
ยิ่งได้รู้ว่าเธอนั้นรักคนอย่างฉัน
แต่ฉันก็เจ็บปวดใจเหมือนกัน
ที่ต้องเก็บความจริงทุกวัน
กว่าจะถึงเวลาที่ต้องพูดออกไป

เมฆหมอกจางหาย
อะไรร้ายๆ มันได้ผ่าน ได้พ้นไป
และในวันนี้ความลับที่อยู่ในใจ
จะบอกให้เธอได้รู้

ไม่ใช่ไม่รักเธอ ที่ผ่านมาฉันเองก็เหนื่อยหัวใจ
ไม่ใช่ไม่รู้เลยว่าเธอนั้นรักฉันมากแค่ไหน
ถ้าในวันนี้ ทุกอย่างมันยังไม่สายไป
อยากจะขออภัยได้ไหมให้คนที่รักเธอ

ไม่ใช่ไม่รักเธอ ที่ผ่านมาฉันเองก็เหนื่อยหัวใจ
ไม่ใช่ไม่รู้เลยว่าเธอนั้นรักฉันมากแค่ไหน
ถ้าในวันนี้ ทุกอย่างมันยังไม่สายไป
อยากจะขออภัยได้ไหม

ไม่ใช่ไม่รักเธอ ที่ผ่านมาฉันเองก็เหนื่อยหัวใจ
ไม่ใช่ไม่รู้เลยว่าเธอนั้นรักฉันมากแค่ไหน
ถ้าในวันนี้ ทุกอย่างมันยังไม่สายไป
อยากจะขออภัยได้ไหมให้คนที่รักเธอ

ถ้าทุกอย่างมันยังไม่สาย
อยากจะพูดคำนึงได้ไหมว่าฉันก็รักเธอ",film_bongkot
