song_name,href,lyric,artist
40 Km/Hr,/music/thailyric/20136,"เส้นผมอันพลิ้วไสว เปลือกตาสะท้อนแสงไฟ
มันทำให้ฉันคลั่งไคล้ หลงใหลในเธอ
ทำได้แค่มองและยิ้ม แอบคิดบางอย่างในใจ
จะเกิดอะไร หากจะชวนเธอไปที่

ที่ซึ่งขอบฟ้า นั้นมีเพียงแสงรำไร
และจะเกินไปไหม ถ้าจะกุมมือเธอไว้แนบกาย

ถ้าไม่เร็วไปนักอีกสักพัก
อยากจะรักอยากจะรู้จักเธอให้ดีกว่านี้
อยากจะมอบให้เธอแต่สิ่งดีๆ
ตราบที่มีลมหายใจ

จะเร็วจะช้าแค่อยากให้รู้ว่าในคืนนี้
ฉันขอให้เธอได้จำเอาไว้
ถึงแม้ว่ามันจะนานเท่าไร
อารมณ์สุดท้าย เราจะไปพร้อมๆ กัน

กลิ่นกายเธอมีความหมาย บอกเล่าเรื่องราวมากมาย
ถ้าได้เป็นคนสุดท้าย ฝันก็กลายเป็นจริง
กระซิบบอกเธอว่ารัก สัญญาว่าจะไม่ทิ้ง
ให้เป็นผู้หญิง ของฉันแค่คนเดียว

เมื่อเส้นขอบฟ้า นั้นกลายเป็นสีเทาๆ
จะปลดปล่อยความเหงา ให้ใจเราแนบใจกัน

ถ้าไม่เร็วไปนักอีกสักพัก
อยากจะรักอยากจะรู้จักเธอให้ดีกว่านี้
อยากจะมอบให้เธอแต่สิ่งดีๆ
ตราบที่มีลมหายใจ

จะเร็วจะช้าแค่อยากให้รู้ว่าในคืนนี้
ฉันขอให้เธอได้จำเอาไว้
ถึงแม้ว่ามันจะนานเท่าไร
อารมณ์สุดท้าย เราจะไปพร้อมๆ กัน

และาไม่เร็วไปนักอีกสักพัก
อยากจะรักอยากจะรู้จักเธอให้ดีกว่านี้
อยากจะมอบให้เธอแต่สิ่งดีๆ
ตราบที่มีลมหายใจ

จะเร็วจะช้าแค่อยากให้รู้ว่าในคืนนี้
ฉันขอให้เธอได้จำเอาไว้
ถึงแม้ว่ามันจะนานเท่าไร
อารมณ์สุดท้าย เราจะไปพร้อมๆ กัน",first_anuwat
คลั่งรัก (Crazy),/music/thailyric/20133,"แค่คุณยิ้มมา สบตาแค่ครั้งเดียว
ก็เหมือนว่าโลกนี้มีแค่คุณ

หยุดมองไม่ได้ ทำไมไม่เข้าใจ
นี่รอยยิ้มหรือว่าแผ่นดินไหว สั่นทั้งใจ
คลั่งรักคุณจนไปไหนไม่ได้แล้ว

แค่เพียงได้เห็นคุณยิ้มทีไร ก็หวั่นไหวทุกที
ใจไม่ค่อยดี ก็คุณน่ารักไป
แค่คุณยิ้มทีไร ก็หวั่นไหวทุกที
ใจไม่ค่อยดี หยุดน่ารักสักวันจะได้ไหม

ก็เพิ่งเข้าใจ กับคำว่าละลาย
ใจบางเหมือนจะตายก็เพราะคุณ

หยุดมองไม่ได้ ทำไมไม่เข้าใจ
นี่รอยยิ้มหรือว่าแผ่นดินไหว สั่นทั้งใจ
คลั่งรักคุณจนไปไหนไม่ได้แล้ว

แค่เพียงได้เห็นคุณยิ้มทีไร ก็หวั่นไหวทุกที
ใจไม่ค่อยดี ก็คุณน่ารักไป
แค่คุณยิ้มทีไร ก็หวั่นไหวทุกที
ใจไม่ค่อยดี หยุดน่ารักสักวันจะได้ไหม

ทำไมดาเมจรุนแรงขนาดนี้
น่ารักเกินต้าน ทำอะไรก็ดูดี
ไม่เคยแผ่วเลย หยุดหลงไม่ได้สักที

ก็คุณ มาทำ ให้ผมนั้นคลั่งรัก
ก็คุณ นั่นแหละ ที่น่ารักไม่หยุดพัก
คิดถึงคุณแทบบ้า และยังไม่เข้าใจว่า

นี่รอยยิ้มหรือว่าแผ่นดินไหว สั่นทั้งใจ
คลั่งรักคุณจนไปไหนไม่ได้แล้ว

แค่เพียงได้เห็นคุณยิ้มทีไร ก็หวั่นไหวทุกที
ใจไม่ค่อยดี ก็คุณน่ารักไป
แค่คุณยิ้มทีไร ก็หวั่นไหวทุกที
ใจไม่ค่อยดี หยุดน่ารักสักวันจะได้ไหม

หยุดน่ารักสักวันจะได้ไหม",first_anuwat
เจ้าความทรงจำ,/music/thailyric/21321,"เราก็แค่แยกย้ายเพื่อไปเติบโต
เพื่อได้รู้ความเจ็บปวดมันเป็นอย่างนี้ไง
ต่อให้ต้องแยกย้าย
แต่แค่เคยได้รักสักครั้งก็ดีเท่าไร
จะเก็บเธอไว้ในใจ เจ้าความทรงจำ

ก็ใจหาย ที่สุดท้ายต้องจากกัน
ไม่เหมือนกับที่เราเคยฝันไว้
เจ็บแค่ไหน เราก็ต้องเดินต่อไป
ไม่ว่าจะทรมานแค่ไหน

คงไม่มีใครลืมได้เลย
หากว่าเคยได้รักกัน
ฉันก็คงทำได้เพียงแค่ยอมรับมัน

เราก็แค่แยกย้ายเพื่อไปเติบโต
เพื่อได้รู้ความเจ็บปวดมันเป็นอย่างนี้ไง
ต่อให้ต้องแยกย้าย
แต่แค่เคยได้รักสักครั้งก็ดีเท่าไร
จะเก็บเธอไว้ในใจ เจ้าความทรงจำ

ไม่ต้องกลัว จะยังไงก็ไม่ลืม
ทุกเรื่องดีๆ ของเธอและฉัน

คงไม่มีใครลืมได้เลย
หากว่าเคยได้รักกัน
ฉันก็คงทำได้เพียงแค่ยอมรับมัน

เราก็แค่แยกย้ายเพื่อไปเติบโต
เพื่อได้รู้ความเจ็บปวดมันเป็นอย่างนี้ไง
ต่อให้ต้องแยกย้าย
แต่แค่เคยได้รักสักครั้งก็ดีเท่าไร
จะเก็บเธอไว้ในใจ เจ้าความทรงจำ

ต่อให้ต้องแยกย้าย
แต่แค่เคยได้รักสักครั้งก็ดีเท่าไร
จะเก็บเธอไว้ในใจ เจ้าความทรงจำ",first_anuwat
ถ้าเขาจะรัก (ยืนเฉยๆ เขาก็รัก) (Enough),/music/thailyric/19023,"บอกตัวเองอยู่ทุกครั้ง
จะหวังอะไรให้มากมาย
จะวิ่งตามเงาให้แทบตาย
เขาก็คงจะไม่สน

บอกตัวเองหยุดได้แล้ว
จะทำร้ายตัวเองถึงเมื่อไร
ไม่รักก็คือไม่รักไง
ไม่เข้าใจอะไรตรงไหน

ถ้าเขาจะรัก ยืนเฉยๆ เขาก็รัก
ถ้าเขาจะรัก ไม่ต้องทักเขาก็ทัก
เจ็บพอแล้วก็พักดีกว่า
อย่าไปเสียน้ำตาอีกเลย

ถ้าเขาจะรัก ยืนเฉยๆ เขาก็รัก
ถ้าเขาจะรัก ไม่ต้องทักเขาก็ทัก
เหนื่อยพอแล้วก็พักดีกว่า
อย่าไปวิ่งตามคนที่เขา ไม่เคยรักเรา

บอกตัวเองตื่นได้แล้ว
จะฝันกลางวันถึงเมื่อไร
ไม่รักก็คือไม่รักไง
ไม่เข้าใจอะไรตรงไหน

ถ้าเขาจะรัก ยืนเฉยๆ เขาก็รัก
ถ้าเขาจะรัก ไม่ต้องทักเขาก็ทัก
เจ็บพอแล้วก็พักดีกว่า
อย่าไปเสียน้ำตาอีกเลย

ถ้าเขาจะรัก ยืนเฉยๆ เขาก็รัก
ถ้าเขาจะรัก ไม่ต้องทักเขาก็ทัก
เหนื่อยพอแล้วก็พักดีกว่า
อย่าไปวิ่งตามคนที่เขา ไม่เคยรักเรา

เหนื่อยพอแล้วก็พักดีกว่า
อย่าไปวิ่งตามคนที่เขา ไม่เคยรักเรา",first_anuwat
ถ้าใช่จะไม่ลังเล (Doubt),/music/thailyric/23459,"ถ้าคนมันใช่จะไม่ลังเลใช่ไหม

ฉันขอร้อง อย่าใจร้ายและเลี้ยงฉันไว้ด้วยความหวัง
ก็ยิ่งรักเธอนานเท่าไรยิ่งใจพัง
ร้องไห้ไม่รู้กี่ครั้งเพราะเรื่องเธอ

หรือเพราะรู้ ยังไงฉันก็ยังคงรอเธอเสมอ
เธอเลยคิดว่าทำอะไรก็ได้ไง
ช่วยบอกว่าฉันนั้นพูดผิดตรงไหน

ถ้าคนมันใช่จะไม่ลังเลใช่ไหม
เธอเองก็รู้ จะเก็บฉันไว้เพื่ออะไร
เอาไว้ใช้เวลาเธอเหงา หรือไว้แทนที่เขา
อย่าให้ฉันต้องเดาถ้าเธอไม่แน่ใจ

ถ้าคนมันใช่จะไม่ลังเลใช่ไหม
เธอเองก็รู้ จะเก็บฉันไว้เพื่ออะไร
ถ้าไม่รักก็แค่บอกมา ไม่ต้องเสียเวลา
จะให้ฉันต้องมีน้ำตาอีกกี่ครั้ง
หยุดให้ความหวัง ถ้ายังลังเล

ลึกๆ แล้ว ก็สงสัยว่าเธอเคยรู้สึกบ้างไหม
แต่ถ้ารักคงไม่สับสนแบบนี้ไง
ช่วยบอกว่าฉันนั้นพูดผิดตรงไหน

ถ้าคนมันใช่จะไม่ลังเลใช่ไหม
เธอเองก็รู้ จะเก็บฉันไว้เพื่ออะไร
เอาไว้ใช้เวลาเธอเหงา หรือไว้แทนที่เขา
อย่าให้ฉันต้องเดาถ้าเธอไม่แน่ใจ

ถ้าคนมันใช่จะไม่ลังเลใช่ไหม
เธอเองก็รู้ จะเก็บฉันไว้เพื่ออะไร
ถ้าไม่รักก็แค่บอกมา ไม่ต้องเสียเวลา
จะให้ฉันต้องมีน้ำตาอีกกี่ครั้ง
หยุดให้ความหวัง ถ้ายังลังเล

ถ้าไม่รักก็แค่บอกมา ไม่ต้องเสียเวลา
จะให้ฉันต้องมีน้ำตาอีกกี่ครั้ง
หยุดให้ความหวัง ถ้ายังลังเล",first_anuwat
ถามเค้ายัง? (Get Real),/music/thailyric/23669,"ถามเขายังว่าเขารู้สึกยังไง
ถามเขายังว่าเขารู้ตัวบ้างไหม
ว่ามีคนที่คิดไปไกลกว่าเพื่อนพี่น้องกัน

คิดไว้แล้วว่ามันต้องดี
ถ้าได้คบกันจริงสักที
จะดูแลเธอนั้นอย่างดี

เช้าก็ทำอะไรให้ทาน
ทำทุกเรื่องที่เธอต้องการ
จะไปไหนจะรับส่งเธอทุกวัน

คิดเองทุกอย่างข้างเดียว
ว่ามันคงเหมือนกับฝัน
แต่ก็ลืมว่าวันนี้เราแค่คุยเท่านั้น

ถามเขายังว่าเขารู้สึกยังไง
ถามเขายังว่าเขารู้ตัวบ้างไหม
ว่ามีคนที่คิดไปไกลกว่าเพื่อนพี่น้องกัน

ถามเขายังว่าเขารู้สึกยังไง
ถามเขายังว่าเขาจะรักหรือเปล่า
ถ้าเขาก็เพียงแค่เหงาชั่วคราว
จะได้รู้ว่าเขาไม่เอา แล้วกลับไปนอนร้องไห้

คิดแล้วก็เพ้อไปทุกที
ว่าเขาต้องมีใจแน่นอน
แต่ไม่เคยได้ถามก่อนเลย

คิดเองทุกอย่างข้างเดียว
ว่ามันคงเหมือนกับฝัน
แต่ก็ลืมว่าวันนี้เราแค่คุยเท่านั้น

ถามเขายังว่าเขารู้สึกยังไง
ถามเขายังว่าเขารู้ตัวบ้างไหม
ว่ามีคนที่คิดไปไกลกว่าเพื่อนพี่น้องกัน

ถามเขายังว่าเขารู้สึกยังไง
ถามเขายังว่าเขาจะรักหรือเปล่า
ถ้าเขาก็เพียงแค่เหงาชั่วคราว
จะได้รู้ว่าเขาไม่เอา แล้วกลับไปนอนร้องไห้",first_anuwat
เปิดก่อนได้เกิด (Find Your Difference),/music/thailyric/21750,"ได้ยินเสียงใจเธอไหม เสียงที่มันไม่เหมือนใคร
ทุกสิ่งที่มันได้บอก อย่าเก็บไว้
แค่ได้ลองเปิดมัน จะเจอตัวตนของเธอ
เธอจะได้เจอรสชาติของชีวิต

Find your difference
Find your difference

โดดไปให้สุดฟ้าให้โลกได้รู้
ถึงเวลามันต้องเปิด ได้เวลาเธอแจ้งเกิด
ไม่มีเวลามาทำตามอย่างใครๆ
เพราะตัวตนเธอพิเศษ Let's find your difference

เปิดมันออกมา เปิดมันออกมา
เปิดมันออกมา เปิดมันออกมา

เปิดมันออกมาให้หัวใจเธอเต้น
และก็ปล่อยมันออกมาเหมือนกับ Shoryuken
หรือภาษาฝรั่งเรียกกันว่า Open
อยากให้เธอได้ลอง Find your difference
เปิดใจเธอไปสู่โลกกว้างใหญ่
เปิดหูเปิดตาให้เห็นความแปลกใหม่
ปล่อยตัวหัวใจ Enjoy your life
Take a look around and do what you like

ถึงเราจะต่างแต่หัวใจเราไม่ต่าง
มีจุดหมายปลายทางเป็นดั่งแสงสว่าง
แต่ใครจะมองเราเป็นแค่รอยด่าง
แต่ว่าด่างแบบพระจันทร์
แม่งโคตรจะกระจ่าง

เกิดเป็นคนเท่จงภูมิใจไปกับมัน
ใช้ชีวิตให้สุดและสนุกในทุกวัน
เหมือนกระต่ายตัวน้อย
นั่งมองแต่พระจันทร์
แต่ไม่หยุดที่จะฝัน
อยากกระโดดไปพระจันทร์

เกิดก่อนยังไม่ได้เปิดเลย
แต่เปิดก่อนอันนี้ได้เกิดเลย
ชนกันหน่อยแล้วก็ยกเลย
รับรองเธอได้เกิดเลย
เอาออกมาเปิดกันหน่อย
แล้วยกขึ้นมาชนกันหน่อย
ซัดกันเลยก่อนที่มันจะกร่อย
ความสนุกอยู่ตรงหน้า
ก็ต้องเปิดกันหน่อย

โดดไปให้สุดฟ้า ให้โลกได้รู้
ถึงเวลามันต้องเปิด ได้เวลาเธอแจ้งเกิด
ไม่มีเวลามาทำตามอย่างใครๆ
เพราะตัวตนเธอพิเศษ
Let's find your difference

เปิดมันออกมา (เปิดก่อนได้เกิด)
เปิดมันออกมา (เปิดก่อนได้เกิด)
เปิดมันออกมา (เปิดก่อนได้เกิด)
เปิดมันออกมา (เปิดก่อนได้เกิด)",first_anuwat
พิจารณา (Consider),/music/thailyric/20135,"ทำไมหลบหน้าทุกที ที่ฉันจะคุยเรื่องเรา
ทำไมทำเหมือนว่ากลัว ฉันรู้เรื่องเขา

ทำไมเธอถึงเย็นชา เวลาที่อยู่ใกล้กัน
เธอลืมไปแล้วหรือเปล่า ว่าเคยรักฉัน

สายตาของเธอในตอนนี้
มันไม่เหมือนทุกที
คล้ายว่ามีใครอีกคนเข้ามาแทนฉัน
โปรดบอกกันสักที
หากว่าคนที่เธอเลือกไว้นั้นไม่ใช่ฉัน

ถ้าเธอเลือกเขา คิดว่าเขานั้นดีกว่า
ไม่ต้องพิจารณาให้มากมาย
อยากจะไปก็ไปเลย
ไม่ต้องห่วงฉัน ไม่ต้องคิดอะไรเลย
ใช้ชีวิตเหมือนที่เคย

แค่ต้องเปลี่ยนจากฉันเป็นเขา
ให้เธอลืมไอ้คำว่าเรา ให้ลืมไปได้เลย

อย่าทนอย่าฝืนกันเลย ถ้าเธอไม่ได้รักกัน
อย่าทนอยู่เพราะว่าเธอ แค่สงสารฉัน

สายตาของเธอในตอนนี้
มันไม่เหมือนทุกที
คล้ายว่ามีใครอีกคนเข้ามาแทนฉัน
โปรดบอกกันสักที
หากว่าคนที่เธอเลือกไว้นั้นไม่ใช่ฉัน

ถ้าเธอเลือกเขา คิดว่าเขานั้นดีกว่า
ไม่ต้องพิจารณาให้มากมาย
อยากจะไปก็ไปเลย
ไม่ต้องห่วงฉัน ไม่ต้องคิดอะไรเลย
ใช้ชีวิตเหมือนที่เคย

แค่ต้องเปลี่ยนจากฉันเป็นเขา
ให้เธอลืมไอ้คำว่าเรา ให้ลืมไปได้เลย

ถ้าเธอเลือกเขา คิดว่าเขานั้นดีกว่า
ไม่ต้องพิจารณาให้มากมาย
อยากจะไปก็ไปเลย
ไม่ต้องห่วงฉัน ไม่ต้องคิดอะไรเลย
ใช้ชีวิตเหมือนที่เคย

แค่ต้องเปลี่ยนจากฉันเป็นเขา
ให้เธอลืมไอ้คำว่าเรา ให้ลืมไปได้เลย",first_anuwat
ฟกคป,/music/thailyric/21881,"รู้ไหมเธอน่ะคือแฟนเก่าคนโปรดของฉัน
ฉันไม่เคยมีใครมาแทนที่เธอทั้งนั้น
ไม่ว่าเธอจะอยู่ไหน ไม่ว่าเธอจะมีใคร
ฉันก็ยังคงเก็บพื้นที่เล็กๆ ในหัวใจ
ไว้ใช้คิดถึงเธอ

ของที่เธอเคยให้ไว้
คำที่เธอชอบใช้ ฉันยังจำได้ดี
รักที่มันพังลงไป
ยังคงจำเอาไว้ เหมือนเธออยู่ตรงนี้

รู้ไหมเธอน่ะคือแฟนเก่าคนโปรดของฉัน
ฉันไม่เคยมีใครมาแทนที่เธอทั้งนั้น
ไม่ว่าเธอจะอยู่ไหน ไม่ว่าเธอจะมีใคร
ฉันก็ยังคงเก็บพื้นที่เล็กๆ ในหัวใจ
ไว้ใช้คิดถึงเธอ

เราไปไม่ไกลเหมือนฝัน
ที่คุยกันเอาไว้ นึกเสียดายทุกครั้ง
หวังที่มันพังลงไป
ยังคงจำเอาไว้ เหมือนเธอไม่ไปไหน

รู้ไหมเธอน่ะคือแฟนเก่าคนโปรดของฉัน
ฉันไม่เคยมีใครมาแทนที่เธอทั้งนั้น
ไม่ว่าเธอจะอยู่ไหน ไม่ว่าเธอจะมีใคร
ฉันก็ยังคงเก็บพื้นที่เล็กๆ ในหัวใจ
ไว้ใช้คิดถึงเธอ

ไม่ว่าเธอจะอยู่ไหน ไม่ว่าเธอจะมีใคร
ฉันก็ยังคงเก็บพื้นที่เล็กๆ ในหัวใจ
ไว้ใช้คิดถึงเธอ",first_anuwat
ไม่มีสิทธิ์ (หวงเธอไม่ได้) (No Right),/music/thailyric/20134,"เฝ้ามองเธอ อยู่ทุกวัน
ต้องทนเห็นเธอมีคนมาชอบเหมือนกัน
มันเจ็บที่ฉัน เพิ่งเข้าใจ
ว่าตัวฉันเป็นได้แค่คนคุยเท่านั้น

ท่องเอาไว้ ว่าเราไม่ได้คบกัน
และฉันไม่ควรจะสำคัญตัวผิดไป

ไม่มีสิทธิ์ หวงเธอไม่ได้
แม้เธอจะเลือกเผื่อใจ
คุยกับใครต่อใครหลายคน
ฉันคงผิดเอง ที่คิดจะจีบคนน่ารัก
แต่ไม่เป็นไรฉันยอม ทนต่อไปยังไงสักวัน
คงได้เธอมาครอง

ท่องเอาไว้ ว่าเราไม่ได้คบกัน
และฉันไม่ควรจะสำคัญตัวผิดไป

ไม่มีสิทธิ์ หวงเธอไม่ได้
แม้เธอจะเลือกเผื่อใจ
คุยกับใครต่อใครหลายคน
ฉันคงผิดเอง ที่คิดจะจีบคนน่ารัก
แต่ไม่เป็นไรฉันยอม ทนต่อไปยังไงสักวัน
คงได้เธอมาครอง",first_anuwat
