song_name,href,lyric,artist
คำถามที่ไม่มีคำตอบ,/music/thailyric/4385,"วันและคืนที่ฉันและเธอเคยผูกพัน
แต่แล้วไม่นานทุกอย่างเปลี่ยนผัน
อยากรู้ทำไม ถึงทำให้เธอต้องจากไป
ผิดเพราะอะไร ทำพลาดอะไร  อยากรู้....

ให้เธอหมดไม่เหลือให้ใคร
แม้ใจก็ให้ไปหมดทุกอย่าง
ยังเป็นสิ่งติดค้างเรื่อยมา
อย่างน้อยให้รู้ฉันควรทำเช่นไร

ได้ไหม...ช่วยบอกกับฉันสักที
จะรักไม่รักอย่างไร
ฉันยอม...คำตอบจะเป็นเช่นไร
อยากรู้แค่เพียงเหตุผลที่เธอจากไป

ไม่รู้ทำไม จึงทำให้เธอไกลห่างไป
ผิดพลาดอะไรก็ยังไม่รู้
อยากได้อะไร ก็ยอมให้เธอจนหมดใจ
แต่เพราะอะไร บอกให้เข้าใจได้ไหม

เธอยังอยู่ยังฝันในใจ
ฉันยอมให้เธอไปไม่ได้....
ยังคอยหลอก คอยหลอนเรื่อยมา
อย่างน้อยให้รู้ฉันควรทำเช่นไร

ได้ไหม...ช่วยบอกกับฉันสักที
จะรักไม่รักอย่างไร
ฉันยอม...คำตอบจะเป็นเช่นไร
อยากรู้แค่เพียงเหตุผลที่เธอจากไป

เธอยังอยู่ยังฝันในใจ
ฉันยอมให้เธอไปไม่ได้....
ยังคอยหลอก คอยหลอนเรื่อยมา
อย่างน้อยให้รู้ฉันควรทำเช่นไร

ได้ไหม...ช่วยบอกกับฉันสักที
จะรักไม่รักอย่างไร
ฉันยอม...คำตอบจะเป็นเช่นไร
อยากรู้แค่เพียงเหตุผลที่เธอจากไป

อยากรู้แค่เพียงเหตุผลที่เธอจากไป
อยากรู้แค่เพียงเหตุผลที่เธอจากไป

โฮวววววววว..........",flure
ใครบางคนจากบนฟ้า,/music/thailyric/4386,"เป็นไปได้ไหมโชคชะตา หรือว่าอำนาจบางอย่าง
คนสองคน จึงพบกัน
และใครที่สร้างสรรค์ ให้เกิดความรักขึ้นบนโลก
คนสองคน จึงรักกัน

ก็เหมือนที่เธอได้เจอฉัน อะไรที่ทำให้เราได้รักกัน
หากเป็นบัญชาจากบนฟ้า อยากขอให้เป็นอยู่อย่างนี้
นานตราบชั่วนิรันดร์

ให้เธอและฉัน เก็บเอาไว้ ทุกความอบอุ่น ทุกความสุข
อยู่เป็นคู่กัน ตลอดไป แค่รู้สึกอยู่ ว่ารักโอบกอดเราไว้

อาจมีบางครั้งต้องห่างไกล เพื่อได้เรียนรู้บางอย่าง
ให้สองคน ได้รักกัน
ถ้าเป็นจริงอย่างนั้น นานแค่ไหนก็ไม่หวั่น
แค่สองคน ยังรักกัน

ใครบางคนจากบนฟ้า ขีดโชคชะตาให้เราได้พบกัน
ให้เธอมายืนอยู่ตรงนี้ และฉันก็ยืนอยู่ตรงนี้ สุขด้วยกันทุกวัน

ให้เธอและฉัน เก็บเอาไว้ ทุกความอบอุ่น ทุกความสุข
อยู่เป็นคู่กัน ตลอดไป แค่รู้สึกอยู่ ว่ารักโอบกอดเราไว้

ให้เธอและฉัน ได้เรียนรู้ ทุกความอบอุ่น ทุกความสุข
อยู่เป็นคู่กัน ตลอดไป แค่รู้สึกอยู่ ว่ารักโอบกอดเราไว้

ให้เธอและฉัน เก็บเอาไว้ ทุกความอบอุ่น ทุกความสุข
อยู่เป็นคู่กัน ตลอดไป แค่รู้สึกอยู่ ว่ารักโอบกอดเราไว้

ให้รู้สึกอยู่ว่ารักโอบกอดเราไว้
ให้รู้สึกอยู่ว่ารักโอบกอดเราไว้",flure
เผชิญ,/music/thailyric/4389,"อย่าปิดตัวเองกับวันไร้แสงดาวส่อง
อย่าบอกตัวเองว่าทางนั้นแสนยาวไกล
ไม่มีคำถามคำไหนที่ไร้คำตอบ
ทุกสิ่งรอบกายจะบอกกับเธอให้รู้

แสงตะวันคืนกลับเพื่อเหลือแสงจันทรา
คืนผ่านเวียนเพื่อวันใหม่ ที่รอให้เธอค้นหา

นับจากนี้ แม้โลกจะเปลี่ยนไป
ขอแค่เพียง เธอยอมรับมัน
และจากนี้ หากเธอต้องการฉัน
เดินร่วมทาง สู่ความฝัน

หากเธอเหนื่อยล้ากับปัญหาที่ไร้ทางออก
จะยังมีฉันจับมือเธอไว้อย่างนี้

แสงตะวันคืนกลับเพื่อเหลือแสงจันทรา
รอเผชิญเรื่องราวใหม่ๆ ที่รอให้เราค้นหา

นับจากนี้ แม้โลกจะเปลี่ยนไป
ขอแค่เพียง เธอยอมรับมัน
และจากนี้ เธอจะมีฉัน เดินร่วมทาง สู่ความฝัน

แสงตะวันคืนกลับเพียงเหลือแสงจันทรา
โลกจะเปลี่ยนสักเท่าไร เพียงแค่เราค้นหา

นับจากนี้ แม้โลกจะเปลี่ยนไป
ขอแค่เพียง เธอยอมรับมัน
และจากนี้ เธอจะมีฉัน เดินร่วมทาง สู่ความฝัน",flure
ฟากฟ้า,/music/thailyric/4390,"ฉันเชื่อว่าทุกคนนั้นต่างมีฝันกันมากมาย
ร้อยพันเรื่องราว ว่าแต่จะมีสักเท่าไรไปถึง
เหตุผลคือหวั่นกลัว

แต่ฉันไม่สนใจยืนหยัดต่อฝันที่ฉันมี
เพราะเชื่อว่าเบื้องบน กำหนดเส้นทางให้เลือกเดินอย่างนี้
คือสุขที่ได้เกิดมารับ

ฉันจะพิสูจน์ให้โลกรู้ ว่าฉันจะเปลี่ยนให้สิ่งนั้นเป็นจริง
คือสิ่งที่ฉันหวัง ให้ยังมีลมหายใจ
และฉันจะไม่หยุดเพียงเท่านี้
หากได้สมอย่างที่ตัวฉันตั้งใจ
จะแบ่งความฝันนี้ ให้เธอคนดีรับไป

ฉันไม่ได้ทำให้คนที่รักเดือดร้อนใจ
แค่เพียงต้องการ พิสูจน์ความฝันนี้ให้โลกได้เห็น
คือสุขที่ได้เกิดมารับ

ฉันจะพิสูจน์ให้โลกรู้ ว่าฉันจะเปลี่ยนให้สิ่งนั้นเป็นจริง
คือสิ่งที่ฉันหวัง ให้ยังมีลมหายใจ
และฉันจะไม่หยุดเพียงเท่านี้
หากได้สมอย่างที่ตัวฉันตั้งใจ
จะแบ่งความรักนี้ ให้เธอคนดีรับไป",flure
สั้น,/music/thailyric/4394,"กี่วัน กี่คืนกี่ครั้งที่เรา
เคยสุขด้วยกันตอนนั้น ดั่งความฝัน
กี่เดือน กี่ปีเราสองผูกพัน
ฉันอยากกลับไปวันนั้นอีกสักครั้ง

มันจบลงไปแล้ว เธอจากฉันไปแล้ว
สัมผัสที่เคยซึ้งยังติดตรึงในใจของฉัน

เธอจะรู้ไหมว่าฉันต้องอ้างว้างสักแค่ไหน
หมดแล้วฉันไม่เหลืออะไรอีกแล้ว
แต่อย่างน้อยฉันได้รู้จักความรักที่ลึกซึ้ง
ที่ฉันไม่เคยได้จากใครเท่าเธอ เท่าเธอ

กี่วันที่ตัวเธอนั้นจากไป
คงได้เจอกันอีกสักครั้ง

แม้จบลงไปแล้ว เธอจากฉันไปแล้ว
สัมผัสที่เคยซึ้งยังติดตรึงในใจของฉัน

เธอจะรู้ไหมว่าฉันต้องอ้างว้างสักแค่ไหน
หมดแล้วฉันไม่เหลืออะไรอีกแล้ว
แต่อย่างน้อยฉันได้รู้จักความรักที่ลึกซึ้ง
ที่ฉันไม่เคยได้จากใครเท่าเธอ เท่าเธอ

(เธอทำให้ฉันได้รู้จัก
เธอทำให้ฉันได้เข้าใจถึงความรัก
จะเก็บเธอไว้ในใจตลอดไป)

เธอจะรู้ไหมว่าฉันต้องอ้างว้างสักแค่ไหน
หมดแล้วฉันไม่เหลืออะไรอีกแล้ว
แต่อย่างน้อยฉันได้รู้จักความรักที่ลึกซึ้ง
ที่ฉันไม่เคยได้จากใครเท่าเธอ เท่าเธอ",flure
เรื่องเดียว,/music/thailyric/4392,"มุมมองคนเรา หลากหลายแตกต่างกันไป
ฉันอาจสื่อสารได้ไม่เข้าใจ ว่าจริงๆแล้วต้องการพูดอะไร
แต่อยู่ที่เพลงนึง เพลงที่ลึกซึ้งและก็กินใจ
แต่กลัวเธอฟังแล้วอาจจะไม่เข้าใจ จึงอยากจะร้องเพลงนี้ให้เธอรู้เอาไว้

ว่ามีเพียงเรื่องเดียว เป็นเรื่องเดียวที่อยากจะให้เธอฟังและเข้าใจด้านเดียว
ไม่ต้องคิดอะไร และไม่ได้หมายความอื่นใด ฉันก็พร้อมไม่มีอะไรข้องเกี่ยว
(ฉัน)มีเพียงแค่เรื่องเดียว เป็นเรื่องเดียวที่อยากจะให้เธอฟังและเข้าใจผู้เดียว
ไม่ต้องคิดมากมาย ฉันไม่ได้หมายความอื่นใด มองที่ฉันแอบรักเธออยู่รู้ไหม

แค่คุยกันบางทีอาจน้อย จนเธออาจเลยไป
อาจฟังไม่ชัดและอาจจะดูไม่ใช่ จึงอยากจะร้องเพลงนี้ให้เธอเข้าใจ

ว่ามีเพียงเรื่องเดียว เป็นเรื่องเดียวที่อยากจะให้เธอฟังและเข้าใจด้านเดียว
ไม่ต้องคิดอะไร และไม่ได้หมายความอื่นใด ฉันก็พร้อมไม่มีอะไรข้องเกี่ยว
(ฉัน)มีเพียงแค่เรื่องเดียว เป็นเรื่องเดียวที่อยากจะให้เธอฟังและเข้าใจผู้เดียว
ไม่ต้องคิดมากมาย ฉันไม่ได้หมายความอื่นใด มองที่ฉันแอบรักเธออยู่รู้ไหม

ไม่ต้องคิดอะไรทั้งนั้น ไม่ต้องมากอะไรทั้งนั้น ฉันรักเธอรักเธอ
ไม่ต้องคิดอะไรทั้งนั้น ไม่ต้องมากอะไรทั้งนั้น ฉันรักเธอคนเดียว

ว่ามีเพียงเรื่องเดียว เป็นเรื่องเดียวที่อยากจะให้เธอฟังและเข้าใจด้านเดียว
ไม่ต้องคิดอะไร และไม่ได้หมายความอื่นใด ฉันก็พร้อมไม่มีอะไรข้องเกี่ยว
(ฉัน)มีเพียงแค่เรื่องเดียว เป็นเรื่องเดียวที่อยากจะให้เธอฟังและเข้าใจผู้เดียว
ไม่ต้องคิดมากมาย ฉันไม่ได้หมายความอื่นใด มองที่ฉันแอบรักเธออยู่รู้ไหม",flure
คนที่รออยู่,/music/thailyric/4383,"ก็อาจมีใครสักคน  หนึ่งคนที่แสนดี
ที่ชีวิตคนหนึ่งควรต้องมี
คนที่ฉันเฝ้ารอ  เฝ้าคอย
คอยวันคืนที่ได้เจอกันสักที

โอ้เธอ.. คนที่ฉันต้องการอยากพบเจอ
อยู่ที่ตรงไหน

เธอคือคนหนึ่งคนที่ฉันนั้นหาอยู่
ช่วยออกมาปรากฏกายสักที
ให้ฉันไม่ต้องงมงาย ฝังใจอยู่กับความเหงา
หรือเศร้าอย่างในตอนนี้

โอ้เธอคนที่ฉันต้องการอยากพบเจอ
อยู่ที่ตรงไหน

จะมีใครสักคนหนึ่ง คนเดียวที่ฉันต้องการจะยอมทำทุกๆสิ่ง
และทำทุกทางเพื่อเจอกับความรักที่แท้จริง
ยอมได้ทุกสิ่ง เพียงเพื่อได้เจอกับเธอนั้น
จะมีใครบ้างหรือเปล่า

จะช่วยบรรเทาความเหนื่อยจากใจที่แสนไหวหวั่น
ขอเพียงได้เจอ แม้ช่วงเวลานั้นจะสั้นๆ ที่ได้พบกัน
โอ้เธอ.....ได้ยินไหม
เธอได้ยินไหม",flure
ความหลัง,/music/thailyric/4384,"นับตั้งแต่นี้จะมาตัดพ้อทุกๆสิ่ง
แม้โลกแห่งความจริง อาจทำให้ฉันนั้นอ่อนแรง
ยิ่งเมื่อหมอกควัน บดบังไม่เห็นแสงสว่าง
แม้จะเลือนราง แต่ยังมีหวัง...

ใครต่อใครอาจมอง ว่าไม่มีหนทาง
แต่ฉัน(จะ)(นั้น)ยังอดทน และจะทำให้ได้มา
จะเปลี่ยนแปลงความกดดัน
ให้เป็นพลังที่ยิ่งใหญ่ ไม่สายเกินที่

จะไปให้ถึงสวรรค์ ศรัทธาจะพาให้เราขึ้นไป
จนถึงบนนั้น ลอยล่องไป ไม่ยึดอยู่กับความหลัง (ฮู...)
ให้สมกับที่เกิดมา  ได้ทำตามฝัน(ฮู...)
ไม่มีสิ่งใดฉุดรั้ง นอกจากความตาย(โฮ..)

หากลองเปิดใจ อาจทำให้เห็นแสงสว่าง
จะไปจนสุดทาง  ให้ไกลเกินฝัน...

(ซ้ำ*,**)
ใครต่อใครอาจมอง ว่าไม่มีหนทาง
แต่ฉัน(จะ)(นั้น)ยังอดทน และจะทำให้ได้มา
จะเปลี่ยนแปลงความกดดัน
ให้เป็นพลังที่ยิ่งใหญ่ ไม่สายเกินที่

จะไปให้ถึงสวรรค์ ศรัทธาจะพาให้เราขึ้นไป
จนถึงบนนั้น ลอยล่องไป ไม่ยึดอยู่กับความหลัง (ฮู...)
ให้สมกับที่เกิดมา  ได้ทำตามฝัน(ฮู...)
ไม่มีสิ่งใดฉุดรั้ง นอกจากความตาย(โฮ..)

ฉันต้องไปให้ถึง...ฉันต้องไปให้ถึง...
ฉันต้องไปให้ถึง...ฉันต้องไปให้ถึง...
ฉันต้องไปให้ถึง...

ฉันต้องไปให้ถึง...ฉันต้องไปให้ถึง...
ฉันต้องไปให้ถึง...ฉันต้องไปให้ถึง...
ฉันต้องไปให้ถึง...

จะไปให้ถึงสวรรค์ ศรัทธาจะพาให้เราขึ้นไป
จนถึงบนนั้น ลอยล่องไป ไม่ยึดอยู่กับความหลัง (ฮู...)
ให้สมกับที่เกิดมา  ได้ทำตามฝัน(ฮู...)
ไม่มีสิ่งใดฉุดรั้ง นอกจากความตาย(โฮ..)",flure
เธอจะมีชีวิตอยู่ต่อไป,/music/thailyric/4387,"หากเริ่มจากวันที่เธอเดินเข้ามา
รอยน้ำตาเธอบอกถึงความเปลี่ยนไป
ที่รายล้อมอยู่รอบกาย คือความทรงจำที่เลวร้าย
เธอจะฆ่าตัวตายเพื่ออะไร

นี่อย่า เธอต้องการสิ่งไหนเล่า
ที่จะทำให้ชีวิตของเธอนั้นมอดไหม้
จะทำร้ายอีกนานแค่ไหน

ภาพหลอนมากมายอยู่ในหัวของเธอ
แต่เธอต้องมีชีวิตอยู่ต่อไป
และอย่าให้ใครมาเหยียดมาหยามเธอได้
และเธอต้องมีชีวิตอยู่ต่อไป
และฉันจะอยู่ตรงนี้เพื่อเธอ
และเธอจงมีชีวิตอยู่ต่อไป
และอย่าให้ใครมาเหยียดและหยามเธอได้

เข้ามา โยนทิ้งไป ความทรงจำที่เลวร้าย
เธอจะเลือกความตายเพื่ออะไร
จงมีชีวิต จงมีชีวิตอยู่ ฉันขอแค่เพียงเท่านี้

ภาพหลอนมากมายอยู่ในหัวของเธอ
แต่เธอต้องมีชีวิตอยู่ต่อไป
และอย่าให้ใครมาเหยียดและหยามเธอได้
และเธอต้องมีชีวิตอยู่ต่อไป
และฉันจะอยู่ตรงนี้เพื่อเธอ
แต่เธอจงมีชีวิตอยู่ต่อไป
และอย่าให้ใครมาเหยียดและหยามเธอ

ถึงแม้ว่าโลกใบนี้จะร้ายเพียงใด
แต่ฉันนั้นจะไม่มีวันทำให้เธอเสียใจ
จงเปลี่ยนความคิดและมอบให้หมดทุกๆ อย่าง

ต้องการจะเป็นศูนย์เพื่อสิ่งใด จงสูงและสู้ต่อไป
ก็อย่าไปสนสิ่งใดมีฉันอยู่ และฉันนั้นจะอยู่กับเธอ

จงมีชีวิต จงมีชีวิต จงมีชีวิต จงมีชีวิต เธอจงมีชีวิต",flure
เปลือก,/music/thailyric/4388,"บางคน ที่เขาบอกกันว่าดี
บางคน ที่เขาบอกว่ามั่งมี
บางคน ที่มีศักดิ์ศรี เลวๆบัดซบ

ทำเพียง เพียงแค่อยากมีหน้าตา
ทำเลว มันก็ใช้เงินกลบ
ชาตินี้ฉันไม่อยาก
(จะขอเลวๆ บัดซบ)
(จะคบ ชาติชั่ว)

คุณจะเหยียดจะหยาม อีกนานไหม
คุณจะตอกและย้ำ ผมนานแค่ไหน
คุณจะถากจะถาง อีกนานไหม ฉันไม่อยากเจอ

พวกผมไม่ได้รวย อย่างพวกคุณ
พวกผมไม่ได้สูง อย่างพวกคุณ

พวกผมไม่ได้รวย อย่างพวกคุณ
พวกผมไม่ได้สูง อย่างพวกคุณ

พวกผมไม่ได้รวย อย่างพวกคุณ
พวกผมไม่ได้สูง อย่างพวกคุณ

พวกผมไม่ได้รวย อย่างพวกคุณ
พวกผมไม่ได้สูง อย่างพวกคุณ

บางคน ที่เขาบอกกันว่าดี
บางคน ที่เขาบอกว่ามั่งมี
บางคน ที่มีศักดิ์ศรี เลวๆบัดซบ

ทำเพียง เพียงแค่อยากมีหน้าตา
ทำเลว มันก็ใช้เงินกลบ
ชาตินี้ฉันไม่อยาก
(จะขอเลวๆ บัดซบ)
(จะคบ ชาติชั่ว)

คุณจะเหยียดจะหยาม อีกนานไหม
คุณจะตอกและย้ำ ผมนานแค่ไหน
คุณจะถากจะถาง อีกนานไหม ฉันไม่อยากเจอ

พวกผมไม่ได้รวย อย่างพวกคุณ
พวกผมไม่ได้สูง อย่างพวกคุณ

พวกผมไม่ได้รวย อย่างพวกคุณ
พวกผมไม่ได้สูง อย่างพวกคุณ

พวกผมไม่ได้รวย อย่างพวกคุณ
พวกผมไม่ได้สูง อย่างพวกคุณ

เย...

พวกผม จะไม่ได้เป็นอย่างพวกคุณ
พวกผม จะไม่ได้ทำอย่างพวกคุณ

พวกผม จะไม่ได้เป็นอย่างพวกคุณ
พวกผม จะไม่ได้ทำอย่างพวกคุณ

พวกผม จะไม่ได้เป็นอย่างพวกคุณ
พวกผม จะไม่ได้ทำอย่างพวกคุณ

พวกผม จะไม่ได้เป็นอย่างพวกคุณ
พวกผม จะไม่ได้ทำอย่างพวกคุณ

จะถากถางกันอีกนานไหม
จะเหยียดจะหยามกัน อีกนานไหม
จะหยามกันอีกนานไหม
จะถากจะถางกัน อีกนานไหม",flure
