song_name,href,lyric,artist
ยอมรับคนเดียว,/music/thailyric/4594,"เธอคงไม่ซึ้งถึงความปวดร้าว
ช้ำในใจปวดร้าว เศร้าเป็นอย่างไร

เธอคงไม่ซึ้งถึงคนที่เคย
รักและคอยห่วงใย เขาทำเพื่อเธอทุกอย่าง

ใครเป็นคนปลอบโยนเอาใจ
ยามที่เธอมีทุกข์ยังไง
พอมีคนแทนฉันแล้วเธอก็ทิ้งไป

เจ็บนี้นาน ยาวนานขอพอ ไม่ขอรอเธอคืนมา
ครั้งเดียวก็เกินจะพอ เกิดท้อเกินจะรักใคร
เธอมีใจที่ฉันยอมรับคนเดียว

เธอคงไม่ซึ้งถึงการกระทำ
ย้ำให้คอยเจ็บช้ำ คำที่เธอเอ่ยลาทุกอย่าง

เธอคงไม่คิดว่ามีความหมาย
ใครจะเป็ยอย่างไร ยามที่เธอเปลี่ยนไปทุกอย่าง

ใครเป็นคนปลอบโยนเอาใจ
ยามที่เธอมีทุกข์ยังไง
พอมีคนแทนฉันแล้วเธอก็ทิ้งไป

เจ็บนี้นาน ยาวนานขอพอ ไม่ขอรอเธอคืนมา
ครั้งเดียวก็เกินจะพอ เกิดท้อเกินจะรักใคร
เธอมีใจที่ฉันยอมรับคนเดียว

เธอทำให้รักทำไม หลงทำไมก็ไม่รู้
ตอนเธอมาทิ้งกันไป แก้ยังไง
ล้างยังไง ลบยังไงก็ไม่หาย

เจ็บนี้นาน ยาวนานขอพอ ไม่ขอรอเธอคืนมา
ครั้งเดียวก็เกินจะพอ เกิดท้อเกินจะรักใคร
เธอมีใจที่ฉันยอมรับคนเดียว

เธอเป็นใครที่ฉันยอมรับคนเดียว",fourth_narumon
ลืม,/music/thailyric/4598,"ลืมแล้วใยเจ้าเอย
ก่อนเราเคยสัญญา
จะรักกันไว้ให้มั่น
แต่ก่อนจะจากกันนั้น
โปรดได้ฟัง ฉันซะบ้างเป็นไร

ฟังนะฟังฉันก่อน
โปรดอย่าได้ร้าวรอน
อ้อนวอนด้วยหัวใจ
เธอรักเขาใช่ไหม ขวัญใจ
ตอบฉันหน่อยคนดี

เขามีดีที่ไหนเธอ เธอจึงละเมอ
เพ้อถึงอยู่ร่ำไป โปรดอย่าลืม
รักเราที่เคยปักใจ โปรดเห็นใจ
ขอจงได้ปรานี

หรือลืมแล้วหรือเจ้าเอย
ก่อนเราเคยรักกัน ทุกคืนวันหวานชื่น
ไม่รักก็โปรดอย่าฝืน ขอให้ลืม
อย่ากลับคืนกลับคำ

เขามีดีที่ไหนเธอ เธอจึงละเมอ
เพ้อถึงอยู่ร่ำไป โปรดอย่าลืม
รักเราที่เคยปักใจ โปรดเห็นใจ
ขอจงได้ปรานี

หรือลืม... เธอลืม...

เขามีดีที่ไหนเธอ เธอจึงละเมอ
เพ้อถึงอยู่ร่ำไป โปรดอย่าลืม
รักเราที่เคยปักใจ โปรดเห็นใจ
ขอจงได้ปรานี

หรือลืมแล้วหรือเจ้าเอย
ก่อนเราเคยรักกัน ทุกคืนวันหวานชื่น
ไม่รักก็โปรดอย่าฝืน ขอให้ลืม
อย่ากลับคืนกลับคำ

อย่ากลับคืนกลับคำ
ฉันจะได้ไม่ลืม",fourth_narumon
1 นาทีเพื่อรัก ทั้งชีวิตเพื่อลืม,/music/thailyric/4575,"มันคงง่ายดาย กับคำว่ารักของเธอที่มี
ไม่กี่นาที แต่ทำให้ใครซึ้งใจได้
และคงง่ายดาย ที่เธอเข้ามามาชิดใกล้
ไม่นานเท่าไร ที่ทำให้ใครเขารักเธอ

จนวันนึง ที่เธอมาบอกลา
มันช่างเร็วจนรับไม่ทัน
เธอคงไม่รู้ว่าต่อจากวันนั้น
วันที่เธอทิ้งไปฉันเป็นอย่างไร

ต้องอยู่กับหมื่นล้านนาทีที่เดียวดาย
ไม่เคยลบลืมเธอจากใจฉันได้เลย

เมื่อทุกนาทีมีแต่เธอ
ภาพเธอยังหลอกหลอน
เธอใช้เวลาไม่นานเพื่อให้ฉันรัก
แต่ทั้งชีวิตของฉัน ต้องใช้ เพื่อลืมเธอ

มันคงง่ายดาย กับคำว่ารักของเธอที่มี
ไม่กี่นาที แต่ทำให้ใครซึ้งใจได้
และคงง่ายดาย ที่เธอเข้ามามาชิดใกล้
ไม่นานเท่าไร ที่ทำให้ใครเขารักเธอ

จนวันนึง ที่เธอมาบอกลา
มันช่างเร็วจนรับไม่ทัน
เธอคงไม่รู้ว่าต่อจากวันนั้น
วันที่เธอทิ้งไปฉันเป็นอย่างไร

ต้องอยู่กับหมื่นล้านนาทีที่เดียวดาย
ไม่เคยลบลืมเธอจากใจฉันได้เลย

เมื่อทุกนาทีมีแต่เธอ
ภาพเธอยังหลอกหลอน
เธอใช้เวลาไม่นานเพื่อให้ฉันรัก
แต่ทั้งชีวิตของฉัน ต้องใช้ เพื่อลืมเธอ

เมื่อทุกนาทีมีแต่เธอ
ภาพเธอยังหลอกหลอน
เธอใช้เวลาไม่นานเพื่อให้ฉันรัก
แต่ทั้งชีวิตของฉัน ต้องใช้ เพื่อลืมเธอ

การรักใคร อาจใช้เพียงนาที
หมื่นล้านนาที จากนี้ต้องใช้เพื่อลืมเธอ",fourth_narumon
คนที่ใช่ (ในวันที่ผิด),/music/thailyric/4576,"เธออย่าบอกว่าไม่ ที่ฉันให้เลิกพบกัน
อย่าพูดเลยอย่างนั้น อย่าดึงดันอีกเลย
เธอมีคนนั้นอยู่ ก็รู้แก่ใจที่มี
ยิ่งเราพบกันอย่างนี้ รังมีแต่ให้เสียใจ

อย่าให้ชั่ววูบแห่งความคิด
ฉุดสองเราเดินทางผิดไป
รู้สึกดี กับเธอแค่ไหน แต่รักเธอไม่ได้...
ฉัน ทำไม่ได้

ก็เพราะ เธอคือคนที่ใช่ ในวันที่ผิด
ฉันนั้นไม่มีสิทธิ์ คิดจะมีเธอไว้
เธอคือคนที่ใช่ ในเวลาที่ผิด
เมื่อรู้ว่าเรานั้นผิด
ก่อนความรักจะเป็นพิษ
เราต้องตัดใจ

เขาไม่ดีก็เปล่า เขาก็ยังรักเธอ...
ต่อไปที่เราไม่เจอ ดูแลเขาให้ดี

อย่าให้ชั่ววูบแห่งความคิด
ฉุดสองเราเดินทางผิดไป
รู้สึกดี กับเธอแค่ไหน
แต่รักเธอไม่ได้... ฉัน ทำไม่ได้

ก็เพราะ เธอคือคนที่ใช่ ในวันที่ผิด
ฉันนั้นไม่มีสิทธิ์ คิดจะมีเธอไว้
เธอคือคนที่ใช่ ในเวลาที่ผิด
เมื่อรู้ว่าเรานั้นผิด
ก่อนความรักจะเป็นพิษ
เราต้องตัดใจ

ก็เพราะ เธอคือคนที่ใช่ ในวันที่ผิด
ฉันนั้นไม่มีสิทธิ์ คิดจะมีเธอไว้
เธอคือคนที่ใช่ ในเวลาที่ผิด
เมื่อรู้ว่าเรานั้นผิด
ก่อนความรักจะเป็นพิษ
เราต้องตัดใจ

ความถูกต้องในวันนี้...
คือต้องตัดใจ",fourth_narumon
ร่องรอยของสองเรา,/music/thailyric/4595,"ชีวิตผู้หญิงหนึ่งคน
ก็คงเหมือนๆ ทั่วไป ต้องการ
แค่ใครสักคนเท่านั้น เธอคือคนที่เข้ามา
ทุ่มเททุกอย่างให้กัน เพื่อฉัน
เธอนั้นทุ่มเทหมดใจ

สิ่งนั้นที่ฉันเฝ้าหวง สิ่งนั้นที่มันสำคัญ
เพื่อคน ที่รักฉันจึงให้ไป
เมื่อมันจบด้วยน้ำตา
เมื่อเธอกลับมาจากไป
สิ่งสุดท้าย สิ่งเดียวที่ยังหลงเหลือ

มันคือร่องรอยของความรู้สึก
ร่องรอยของความผูกพัน ซึ่งเธอไม่มีวัน
ที่จะเข้าใจ มันคือร่องรอยของเธอกับฉัน
ซึ่งเธอคงลบมันไปแล้ว กับฉันแล้วมันยังอยู่
จนถึงวันนี้

จะรู้อะไรบ้างไหม จากวันที่เธอทิ้งไป
ยอมรับ ว่าใจก็มีรอยช้ำ แต่มันค่อยๆ
ลบเลือน ไปพร้อมกับคืนและวัน
แต่สิ่งเดียว เท่านั้นที่ยังหลงเหลือ

มันคือร่องรอยของความรู้สึก
ร่องรอยของความผูกพัน ซึ่งเธอไม่มีวัน
ที่จะเข้าใจ มันคือร่องรอยของเธอกับฉัน
ซึ่งเธอคงลบมันไปแล้ว กับฉันแล้วมันยังอยู่
จนถึงวันนี้

มันคือร่องรอยของความรู้สึก
ร่องรอยของความผูกพัน ซึ่งเธอไม่มีวัน
ที่จะเข้าใจ มันคือร่องรอยของเธอกับฉัน
ซึ่งเธอคงลบมันไปแล้ว กับฉันแล้วมันยังอยู่
จนถึงวันนี้

กับฉัน แล้วมันยังอยู่ ไปชั่วชีวิต",fourth_narumon
ทรมาน,/music/thailyric/4583,"เสียดายวันเวลาที่เคยรักเธอ
ฉันไม่ควรมาเจอคนที่รักลวง
เสียดายความจริงใจที่เคยหวงห่วง
หลงตีความคำลวงเป็นคำรักจริง

ทรมานอย่างนี้ พอกันทีรักเรา
จบตรงความเจ็บปวด มันฝังลงในหัวใจ

ทั้งที่วันเวลาผ่านไปแสนนาน
ฉันไม่เคยลืมวันที่เคยรักเธอ
ลึกลงไปในใจไม่อยากพบเจอ
เพราะกลัวใจตัวเองกลับไปเหมือนเดิม

ทรมานอย่างนี้
พอกันทีรักเรา
ปล่อยให้ความเจ็บปวด
มันฝังในใจอย่างนี้

เพราะเราเอง หลงว่าตัวสำคัญ
เลยไม่คิดระแวง ไม่คิดระวัง
เชื่อคำเธอมากไป เพราะเราเอง
แล้วจะไปโทษใคร ในเมื่อรักเธอเอง
ก็ช้ำไปเอง ไม่มีใครเสียใจแทน

ทั้งที่วันเวลาผ่านไปแสนนาน
ฉันไม่เคยลืมวันที่เคยรักเธอ
ลึกลงไปในใจไม่อยากพบเจอ
เพราะกลัวใจตัวเองกลับไปเหมือนเดิม

ทรมานอย่างนี้
พอกันทีรักเรา
ปล่อยให้ความเจ็บปวด
มันฝังในใจอย่างนี้

เพราะเราเอง หลงว่าตัวสำคัญ
เลยไม่คิดระแวง ไม่คิดระวัง
เชื่อคำเธอมากไป เพราะเราเอง
แล้วจะไปโทษใคร ในเมื่อรักเธอเอง
ก็ช้ำไปเอง ไม่มีใครเสียใจ

เพราะเราเอง หลงว่าตัวสำคัญ
เลยไม่คิดระแวง ไม่คิดระวัง
เชื่อคำเธอมากไป เพราะเราเอง
แล้วจะไปโทษใคร ในเมื่อรักเธอเอง
ก็ช้ำไปเอง ไม่มีใครเสียใจแทน",fourth_narumon
เราสามคน,/music/thailyric/4597,"โฟร์ท :จนใจพูดไม่ออก ไม่มีใครมีทางออก
ฉีกเส้นทางสามทาง ออกจากกัน
แยกใจไว้สองทาง จบความหลังไปที
เจ็บอย่างนี้ไม่มีต่อไป

โฟร์ท :ฉันคนหนึ่ง
ซอ :เธอคนหนึ่ง
ศิต :เขาคนหนึ่ง
รวม :เราสามคน
โฟร์ท :แล้วคนหนึ่ง
ซอ :รักคนหนึ่ง
ศิต :เหลือคนหนึ่ง
รวม :อยู่เพื่อใคร

โฟร์ท :จนใจพูดไม่ออก ไม่มีใครมีทางออก
ฉีกเส้นทางสามทาง ออกจากกัน
แยกใจไว้สองทาง จบความหลังไปที
เจ็บอย่างนี้ไม่มีต่อไป

โฟร์ท :คนหนึ่งเป็นเช่นดังเพื่อนตาย
คนหนึ่งเป็นดังลมหายใจ
ใจเจ้ากรรมเจ็บช้ำเท่าไหร่
เราสามคน คงต้องมีใครเป็นฝ่ายไป

ศิต :ฉันคนหนึ่ง
ซอ :เธอคนหนึ่ง
โฟร์ท :เขาคนหนึ่ง
รวม :เราสามคน

โฟร์ท :จนใจพูดไม่ออก ไม่มีใครมีทางออก
ฉีกเส้นทางสามทาง ออกจากกัน
แยกใจไว้สองทาง จบความหลังไปที
เจ็บอย่างนี้ไม่มีต่อไป",fourth_narumon
คลื่นใต้น้ำ,/music/thailyric/4577,"รักของฉันที่ให้กับเธอ
ทุ่มเทยังไง เธอไม่สนใจ
แต่เธอเจอเขาเพียงแค่ไม่นาน
แล้วทำไมเธอรักเขามากมาย

ได้แต่ซ่อนความเจ็บ
ทนเก็บในหัวใจ เธอไม่ยุติธรรมกับฉันเลย

รักจากฉันนั้นเป็นเพียง คลื่นใต้น้ำ
เพราะเธอมองข้ามไป ไม่เคยซึ้งมันเลยสักที
รักจากเขานั้นเธอกลับมองว่าดี ถึงรักเธอแค่ไหน
ก็คงได้คืนมาแค่น้ำตา

หวังฉันหวังแค่เพียงสักวัน
ด้วยรักของฉันที่มั่นคง
กระทบใจเธอแค่เพียงสักครั้ง
ก่อนรักของฉันจะจมลง

ได้แต่ซ่อนความเจ็บ
ทนเก็บในหัวใจ เธอไม่ยุติธรรมกับฉันเลย

รักจากฉันนั้นเป็นเพียง คลื่นใต้น้ำ
เพราะเธอมองข้ามไป ไม่เคยซึ้งมันเลยสักที
รักจากเขานั้นเธอกลับมองว่าดี ถึงรักเธอแค่ไหน
ก็คงได้คืนมาแค่น้ำตา

รักจากฉันนั้นเป็นเพียง คลื่นใต้น้ำ
เพราะเธอมองข้ามไป ไม่เคยซึ้งมันเลยสักที
รักจากเขานั้นเธอกลับมองว่าดี ถึงรักเธอแค่ไหน
ก็คงได้คืนมาแค่น้ำตา",fourth_narumon
ฉันทำไม่ได้,/music/thailyric/4579,"ฉันไม่มีทางเลือกอะไรใช่ไหม
มีแต่เพียงต้องยอมให้เธอไป
แค่เขาเข้ามาผูกพัน
ก็รักเขาทั้งดวงใจ
จนลืมคนที่เคยห่วงใย

เธอขอให้ฉันลืมเธอให้หมด
เธอบอกไม่อาจบังคับหัวใจ
ความรักมันคือเหตุผล
ยิ่งฝืนยิ่งทนไม่ไหว
ขอร้องไม่ต้องรั้งเธอไว้

เมื่อขอเดินไปจากฉัน....ก็ได้
เมื่อขอให้เราจบกัน...ก็ได้
เมื่อขอความรักกลับคืน...ก็ได้
แต่ขอให้ฉันลืมเธอ...ไม่ได้

เธอจะลืมเรื่องฉันมันง่ายอยู่แล้ว
เพราะเธอมีเขาคอยในหัวใจ
ส่วนฉันไม่ง่ายอย่างนั้น
เพราะฉันนั้นไม่มีใคร
มีแต่เธอตลอดเวลา

เธอขอให้ฉันลืมเธอให้หมด
เธอบอกไม่อาจบังคับหัวใจ
ความรักมันคือเหตุผล
ยิ่งฝืนยิ่งทนไม่ไหว
ขอร้องไม่ต้องรั้งเธอไว้

เมื่อขอเดินไปจากฉัน....ก็ได้
เมื่อขอให้เราจบกัน...ก็ได้
เมื่อขอความรักกลับคืน...ก็ได้
แต่ขอให้ฉันลืมเธอ...ไม่ได้

เมื่อขอเดินไปจากฉัน....ก็ได้
เมื่อขอให้เราจบกัน...ก็ได้
เมื่อขอความรักกลับคืน...ก็ได้
แต่ขอให้ฉันลืมเธอ...ฉันทำไม่ได้",fourth_narumon
ไม่มีฉันคนนั้นอีกแล้ว,/music/thailyric/4590,"ไม่มีฉันคนนั้นบนโลกใบนี้อีกแล้ว
ขอเธอจงลืมเขาไป

อย่ามองหาเลย อย่ามาค้นเลยนะเธอ
เพราะว่าคงไม่เจอ คนนั้นที่เคยมีใจ
กับความช้ำใจ ที่เธอให้มามากมาย
เธอลืมแล้วหรือไร ไม่เคยสงสารกันเลย

เธออาจมองฉัน ว่าเหมือนคนเเดิมใช่ไหม
แต่ความเป็นจริงข้างในหัวใจไม่เหมือนเดิม

ไม่มีฉันคนนั้นบนโลกใบนี้อีกแล้ว
คนที่เคยยอมทุกอย่าง แต่เธอก็ยังจากไป
ไม่มีฉันคนนั้นที่รักเธอมากอีกแล้ว
ไม่เหลือเธอในหัวใจ เข้าใจแล้วใช่ไหม เสียเวลาเปล่าๆ

ขอบใจที่ทำ คนนั้นได้ตายพ้นไป
เกิดเป็นฉันคนใหม่ ที่มองเห็นค่าตัวเอง

เธออาจมองฉัน ว่าเหมือนคนเเดิมใช่ไหม
แต่ความเป็นจริงข้างในหัวใจไม่เหมือนเดิม

ไม่มีฉันคนนั้นบนโลกใบนี้อีกแล้ว
คนที่เคยยอมทุกอย่าง แต่เธอก็ยังจากไป
ไม่มีฉันคนนั้นที่รักเธอมากอีกแล้ว
ไม่เหลือเธอในหัวใจ เข้าใจแล้วใช่ไหม เสียเวลาเปล่าๆ

ไม่ มีฉันคนนั้นบนโลกใบนี้อีกแล้ว
คนที่เคยยอมทุกอย่าง แต่เธอก็ยังจากไป
ไม่มีฉันคนนั้นที่รักเธอมากอีกแล้ว
ไม่เหลือเธอในหัวใจ เข้าใจแล้วใช่ไหม ฉันไม่ใช่คนเดิม",fourth_narumon
