song_name,href,lyric,artist
เชย,/music/thailyric/4352,"มันเก่าไปแล้วหรือเปล่า
จะเบื่อกันแล้วหรือยัง
ไม่รู้จริงๆ ไม่รู้ทำไม
มันเหมือนอะไรก็เปลี่ยนไปทุกอย่าง

เธอเปลี่ยนไปด้วยหรือเปล่า
เธอเบื่อฉันแล้วหรือยัง
ไม่รู้จริงๆ ไม่รู้เหมือนกัน
โลกนี้มันเร็วจนบางทีตามไม่ทัน

ฉันชอบอะไรที่มันเหมือนเดิม
ชอบอะไรที่มันคุ้นเคย
ตามอะไรใครเขาไม่ค่อยทัน
ก็บอกว่าเราเชย แต่ทำยังไงได้

บอกให้ฉันได้รู้สักหน่อย ตอบให้ฉันมั่นใจสักหน่อย
บอกมาทีว่าใจของเธอยังรักคนเชยเชย
บอกให้ฉันรู้ตัวสักหน่อย
ปล่อยเอาไว้ฉันกลัวสักวันเธอลืม ฉันคงเศร้าเลย
จะเป็นไปได้ไหม อยากหยุดเวลาไว้
หยุดความรักเราไว้ไม่ให้เก่าเลย

มันเก่าไปแล้วหรือเปล่า
จะเบื่อกันไปเมื่อไร
ไม่รู้จริงๆ ไม่รู้ทำไง
ก็หวังว่าวันนึงเธอคงจะเข้าใจ

ฉันชอบอะไรที่มันเหมือนเดิม
ชอบอะไรที่มันคุ้นเคย
ตามอะไรใครเขาไม่ค่อยทัน
ก็บอกว่าเราเชย แต่ทำยังไงได้

บอกให้ฉันได้รู้สักหน่อย ตอบให้ฉันมั่นใจสักหน่อย
บอกมาทีว่าใจของเธอยังรักคนเชยเชย
บอกให้ฉันรู้ตัวสักหน่อย
ปล่อยเอาไว้ฉันกลัวสักวันเธอลืม ฉันคงเศร้าเลย
จะเป็นไปได้ไหม อยากหยุดเวลาไว้
หยุดความรักเราไว้ไม่ให้เก่าเลย

หากเธอนั้นมองไม่เห็น
ความรักฉันคงไร้ค่า
เปิดใจเธอมองให้เห็น
แล้วความรักจะอยู่เหนือกาลเวลา

บอกให้ฉันได้รู้สักหน่อย ตอบให้ฉันมั่นใจสักหน่อย
บอกมาทีว่าใจของเธอยังรักคนเชยเชย
บอกให้ฉันรู้ตัวสักหน่อย
ปล่อยเอาไว้ฉันกลัวสักวันเธอลืม ฉันคงเศร้าเลย
จะเป็นไปได้ไหม

หยุดความรักเราไว้ถึงมันจะเชยได้ไหม ได้ไหม
หยุดความรักเราไว้ไม่ให้เก่าเลย",friday
เธอยังมีฉัน,/music/thailyric/4353,"ไม่รู้เลยใช่ไหม ตรงนี้นั้นยังมีใครอีกคน
เขาห่วงใย อยากเห็นเธอยิ้มได้สักที
ก็ไม่รู้ทำอย่างไร ปล่อยเธอไว้คนเดียวคงไม่ดี
สงสัยว่าอะไรทำเธอกังวล จนเป็นอย่างนี้

วันที่เศร้าเศร้าซึมซึมในหัวใจ
วันที่รอยยิ้มเธอนั้นได้หายไป
วันที่อะไรก็ดูเหมือนว่ามันกำลังจะไม่ไหว

เธอยังมีฉันเมื่อไรก็ตาม ที่เธอนั้นไม่มีใคร
เธอยังมีฉันไม่ว่าเมื่อไร ถึงใครเขาไม่สน
ไม่ต้องหงอยและไม่ต้องเหงา
ก็ยังมีฉันทั้งคน ยังไงฉันก็อยู่ข้างเธอ

อย่างน้อย แค่ตอนนี้
จะรับฟังเรื่องราวเธอทุกอย่าง
อย่างตั้งใจ ก็คงทำได้เพียงเท่านี้

เพราะว่าไม่รู้ มันแค่ไหน
บาดแผลที่จิตใจเธอนั้นมี
และมันคงไม่จริง
ถ้าให้พูดไปที ว่าฉันเข้าใจ

แต่วันที่เศร้าเศร้าซึมซึมในหัวใจ
วันที่รอยยิ้มเธอนั้นได้หายไป
ฉันขอให้เธอได้ฟังคำพูดของฉันเอาไว้

เธอยังมีฉันเมื่อไรก็ตาม ที่เธอนั้นไม่มีใคร
เธอยังมีฉันไม่ว่าเมื่อไร ถึงใครเขาไม่สน
ไม่ต้องหงอยและไม่ต้องเหงา
ก็ยังมีฉันทั้งคน ยังไงก็ไม่ไปไหน

และจะมีฉันเมื่อไรก็ตาม ที่เธอนั้นมีน้ำตา
จะอยู่ข้างๆ เธอไปจนกว่า เธอจะบอกว่าไหว
จะเป็นเพื่อนร่วมสุขและทุกข์
จะเดินเคียงข้างกันไป ยังไงฉันก็อยู่ข้างเธอ

Rap

เธอยังมีฉันเมื่อไรก็ตาม ที่เธอนั้นไม่มีใคร
เธอยังมีฉันไม่ว่าเมื่อไร ถึงใครเขาไม่สน
ไม่ต้องหงอยและไม่ต้องเหงา
ก็ยังมีฉันทั้งคน ยังไงก็ไม่ไปไหน

และจะมีฉันเมื่อไรก็ตาม ที่เธอนั้นมีน้ำตา
จะอยู่ข้างๆ เธอไปจนกว่า เธอจะบอกว่าไหว
จะเป็นเพื่อนร่วมสุขและทุกข์
จะเดินเคียงข้างกันไป ยังไงฉันก็อยู่ข้างเธอ",friday
บ๊าย บาย (Bye Bye),/music/thailyric/4355,"บ๊ายบาย สุดท้ายก็ต้องลา
ก็เศร้าเป็นธรรมาดา เวลาจะพูดคำนี้
บ๊ายบาย จะตัดใจเรื่องเธอสักที
หมดแล้วเวลาที่ฉันมี จากนี้ต้องตื่นจากฝัน

บ๊ายบาย ความทรงจำที่สวยงาม
ฉันรู้อย่างไรก็ตาม ก็เป็นได้แค่นั้น
บ๊ายบาย จะไม่โกรธและโทษกัน
อย่าฝืนเลยหากว่าไม่ใช่ ฉันคงต้องยอมรับมัน

เก็บใจที่เหลือของเราเอาไว้
ไม่เป็นไรหรอกนะ สักวันนะต้องเจอความรักที่ดี
ขอแก้ตัวใหม่นะ อีกสักทีกับความรักครั้งหน้า
แค่วันนี้รักได้ทำพิษ บาดเจ็บแต่ก็คิดว่าคุ้มค่า
ชะล้างจิตใจเราด้วยน้ำตา อกหักดีกว่าไม่เคยรัก

บ๊ายบาย อีกครั้งนะความรัก
เหมือนยกอะไรหนักๆ ที่มีออกจากหัวใจ
บ๊ายบาย บอกลาครั้งสุดท้าย
อย่าฝืนเลยหากว่าไม่ใช่ ฉันคงต้องยอมรับมัน
เก็บใจที่เหลือของเราเอาไว้
ไม่เป็นไรหรอกนะ สักวันนะต้องเจอความรักที่ดี
ขอแก้ตัวใหม่นะ อีกสักทีกับความรักครั้งหน้า
แค่วันนี้รักได้ทำพิษ บาดเจ็บแต่ก็คิดว่าคุ้มค่า
ชะล้างจิตใจเราด้วยน้ำตา อกหักดีกว่าไม่เคยรัก

แค่วันนี้รักได้ทำพิษ บาดเจ็บแต่ก็คิดว่าคุ้มค่า
ชะล้างจิตใจเราด้วยน้ำตา อกหักดีกว่าไม่เคยรัก

ไม่เป็นไรหรอกนะ สักวันนะต้องเจอความรักที่ดี
ขอแก้ตัวใหม่นะ อีกสักทีกับความรักครั้งหน้า
แค่วันนี้รักได้ทำพิษ บาดเจ็บแต่ก็คิดว่าคุ้มค่า
ชะล้างจิตใจเราด้วยน้ำตา อกหักดีกว่าไม่เคยรัก

ดีกว่าไม่เคยรัก ดีกว่าไม่ได้รัก
คงมีแต่ต้องบ๊าย บาย
คงมีแต่ต้องบ๊าย บาย
บ๊าย บาย บ๊าย บาย",friday
ปิดผนึก,/music/thailyric/8488,"ก็อาจจะเห็นฉันคนนี้ ยิ้มให้ใครได้เสมอ
พูดจาเวลาที่เจอ ดูเหมือนไม่เป็นอะไร
อารมณ์ดีหัวเราะ ร่าเริงคงสบายใจ
แต่ไม่มีใครรู้หรอก ข้างใน มันยังไม่ไหว

เมื่อไหร่ที่ใจมันเผลอนึกถึงเธอ
แต่ปล่อยมันเป็นความลับ อยู่ภายในใจฉัน
คงไม่มีวันหรอกที่ใครจะได้รู้
ว่าบาดแผลนั้น ยังอยู่

เนิ่นนานเท่าไรยังเจ็บเรื่อยมา
ปล่อยให้เป็นความลับ ปิดผนึกใจไว้
เธอคงมาหลอกหลอนได้แค่ตอนหลับตา
จะล็อคกุญแจขังอดีต ไว้อย่างแน่นหนา
จะไม่ให้ใครรู้ว่า ยังลืมเธอไม่ได้

ยังมีเธออยู่ในความคิด ถึงไม่มีเธอในชีวิต
ขอโทษที่มันยังคิด ก็รู้ต้องหักห้ามใจ
ถ้าอยากลืมใครสักคน เราต้องก้าวต่อไปใช่ไหม
แล้วฉันก้าวมาไกลแค่ไหนทำไมหัวใจ
มันยังไม่ไหว

เมื่อไรที่ใจมันเผลอนึกถึงเธอ
แต่ปล่อยมันเป็นความลับ อยู่ภายในใจฉัน
คงไม่มีวันหรอกที่ใครจะได้รู้
ว่าบาดแผลนั้น ยังอยู่

เนิ่นนานเท่าไรยังเจ็บเรื่อยมา
ปล่อยให้เป็นความลับ ปิดผนึกใจไว้
เธอคงมาหลอกหลอนได้แค่ตอนหลับตา
จะไม่ให้ใครรู้ว่า ยังลืมเธอไม่ได้

แม้เรื่องราวได้ผ่านเนิ่นนานสักเท่าไหร่
แต่ในหัวใจ ปล่อยมันเป็นความลับ
อยู่ภายในใจฉัน
คงไม่มีวันหรอกที่ใครจะได้รู้
ว่าบาดแผลนั้น ยังอยู่

เนิ่นนานเท่าไรยังเจ็บเรื่อยมา
ปล่อยให้เป็นความลับ ปิดผนึกใจไว้
เธอคงมาหลอกหลอนได้แค่ตอนหลับตา
จะล็อคกุญแจขังอดีต ไว้อย่างแน่นหนา

ความลับในใจมีฉันคนเดียวที่รู้ว่า
เนิ่นนานเท่าไร ยังลืมเธอไม่ได้
ยังลืมเธอไม่ได้",friday
มีคนอกหัก,/music/thailyric/4358,"อยากหยุดเวลา ให้มันไม่เดินได้ไหม
อยากหยุดอะไรอะไร เอาไว้อย่างนี้
จะได้ไม่ต้องเผชิญ กับความจริงที่มี
จะได้ไม่ต้องรับรู้ เรื่องของเรา

ความรักนั้นคืออะไร ความสัมพันธ์ของสองคน
วันหนึ่งเคยรักกัน ทําไมวันหนึ่งถึงเปลี่ยนไป

มีคนอกหักเพราะเธอ เธอรู้รึเปล่า
มีคนที่เขาเศร้าๆ คือฉันคนนี้นี่ไง
มีคนอกหักเพราะเธอ เมื่อเธอหมดเยื่อใย
อยากจะย้อนทุกช่วงเวลา กลับคืนมาไม่ให้เธอไป
อยากแก้ไขทุกอย่างอีกครั้ง
แต่คงไม่มีวันใช่ไหม ใช่ไหม

ตลอดเส้นทางที่เราได้เดินผ่านมา
ตลอดเวลาที่มีเธอกับฉัน
ผิดพลาดอะไรไป ก็ไม่รู้เหมือนกัน
ถึงทําให้ความฝันเป็นไปไม่ได้

มีคนอกหักเพราะเธอ เธอรู้รึเปล่า
มีคนที่เขาเศร้าๆ คือฉันคนนี้นี่ไง
มีคนอกหักเพราะเธอ เมื่อเธอหมดเยื่อใย
อยากจะย้อนทุกช่วงเวลา กลับคืนมาไม่ให้เธอไป
อยากแก้ไขทุกอย่างอีกครั้ง
แต่คงไม่มีวันใช่ไหม

ความรักนั้นคืออะไร

มีคนอกหักเพราะเธอ เธอรู้รึเปล่า
มีคนที่เขาเศร้าๆ คือฉันคนนี้นี่ไง
มีคนอกหักเพราะเธอ เมื่อเธอหมดเยื่อใย
อยากจะย้อนทุกช่วงเวลา กลับคืนมาไม่ให้เธอไป
อยากแก้ไขทุกอย่างอีกครั้ง
แต่คงไม่มีวันใช่ไหม ใช่ไหม
ใช่ไหม ใช่ไหม",friday
ไม่ว่าเธอจะรักฉันหรือไม่,/music/thailyric/4359,"ถึงเธอและฉันรู้จักกันมานาน มีคืนและวันที่รู้สึกดีๆ
แต่ฉันก็รู้ว่า เราคงเป็นแค่นี้ คงไม่มีวันเป็นยังฝัน
เธอคงจะไม่รักฉันมากไปกว่านั้น

แต่มันก็ไม่ผิดใช่ไหม อย่างน้อยฉันก็ยอมรับมัน

ถ้าฉันมีใครคนหนึ่งให้รัก จะไม่ขอให้เขารักคืนมา
แค่ได้รักฉันก็คงจะสุขใจ กว่าที่จะไปคาดหวังอะไร
รู้มั้ยใจฉันมีเธอที่รัก เพียงพอแล้ว
ไม่ว่าเธอรักฉันหรือไม่
แค่วันนี้ได้รักเธอ ก็ทำให้ฉันสุขใจ

ฉันว่าความรักมันเป็นสิ่งสวยงาม
ปล่อยมันไปตามความรู้สึกข้างใน
ทำไมต้องเอาใจเราไปผูกไว้
ทำไมๆ ต้องคาดหวัง
เรื่องระหว่างคนสองคน อันเปราะบาง

แต่มันก็ไม่ผิดใช่ไหม ก็เราจะเชื่อในรักบ้าง

ถ้าฉันมีใครคนหนึ่งให้รัก จะไม่ขอให้เขารักคืนมา
แค่ได้รักฉันก็คงจะสุขใจ กว่าที่จะไปคาดหวังอะไร
รู้มั้ยใจฉันมีเธอที่รัก เพียงพอแล้ว
ไม่ว่าเธอรักฉันหรือไม่
แค่วันนี้ได้รักเธอ ก็ทำให้ฉันสุขใจ

แต่มันก็ไม่ผิดใช่ไหม ก็เราจะเชื่อในรักบ้าง

ถ้าฉันมีใครคนหนึ่งให้รัก จะไม่ขอให้เขารักคืนมา
แค่ได้รักฉันก็คงจะสุขใจ กว่าที่จะไปคาดหวังอะไร
รู้มั้ยใจฉันมีเธอที่รัก เพียงพอแล้ว
ไม่ว่าเธอรักฉันหรือไม่
แค่วันนี้ได้รักเธอ ก็ทำให้ฉันสุขใจ

ถ้าฉันมีใครคนหนึ่งให้รัก จะไม่ขอให้เขารักคืนมา
แค่ได้รักฉันก็คงจะสุขใจ กว่าที่จะไปคาดหวังใช่ไหม
รู้มั้ยใจฉันมีเธอที่รัก เพียงพอแล้ว
ไม่ว่าเธอรักฉันหรือไม่
แค่วันนี้ได้รักเธอ ก็ทำให้ฉันสุขใจ",friday
เรื่องรักธรรมดา,/music/thailyric/9262,"ถึงแม้เธอจะไม่รู้ หรือว่าเธอจะไม่เห็น
แต่มันก็ไม่จำเป็น และไม่สำคัญสักหน่อย
แค่วันนี้ได้เห็นเธอยิ้ม แค่วันนี้ได้แอบเฝ้าคอย
แม้จะเลื่อนลอย แต่ไม่ได้ฝืนใจ

ฉันว่ามันมีความหมาย เมื่อได้รักใครสักครั้ง
แต่ไม่ใช่ทุกๆคน ต้องสมหวังซะเมื่อไหร่
เมื่อความรักไม่ใช่ความฝัน เมื่อลืมตาก็คงเข้าใจ
ฉันแค่รักเธอ รักเธอได้มั้ย

ก็แค่เรื่องธรรมดา ธรรมดา เหมือนใครคนอื่นๆ
เมื่อรักก็ไม่อาจฝืน บอกว่าไม่รัก
ก็แค่เรื่องธรรมดา ธรรมดา อย่าคิดให้มันยาก
อย่างน้อยความสุขของฉัน
อย่างน้อยก็ยังได้ฝัน ว่ารัก

ช่วงเวลาในชีวิต คิดไม่นานก็ผ่านไป
จะกักขังรักไว้ทำไม ชีวิตคนเราแสนสั้น
แค่วันนี้ได้เห็นเธอยิ้ม นั่นคือสิ่งที่ฉันต้องการ
ฉันแค่รักเธอ ไม่ขอมากกว่านั้น

ก็แค่เรื่องธรรมดา ธรรมดา เหมือนใครคนอื่นๆ
เมื่อรักก็ไม่อาจฝืน บอกว่าไม่รัก
ก็แค่เรื่องธรรมดา ธรรมดา อย่าคิดให้มันยาก
อย่างน้อยความสุขของฉัน
อย่างน้อยก็ยังได้ฝัน ว่ารัก

แม้เธอจะไม่รู้เลย
แม้เธอนั้นจะไม่เห็นฉันเลย มันก็ไม่สำคัญ
มันจำเป็นแค่ฉันเห็นเธอนั้นมีความสุข
ก็คือความสุขของฉัน

ถึงแม้แค่เพียงเท่านั้น อย่างน้อยก็ยังได้ฝันว่ารัก

ก็แค่เรื่องธรรมดา ธรรมดา เหมือนใครคนอื่นๆ
เมื่อรักก็ไม่อาจฝืน บอกว่าไม่รัก
ก็แค่เรื่องธรรมดา ธรรมดา อย่าคิดให้มันยาก
อย่างน้อยความสุขของฉัน อย่างน้อยก็ยังได้ฝัน
ถึงแม้ทำได้เท่านั้น ก็รัก",friday
ลืมแล้วหรือเปล่า,/music/thailyric/4360,"มันก็เป็นธรรมดา ที่คนเราจะไม่เหมือนกัน
มีหัวใจคนละดวง มันก็เลยต่างคิดต่างฝัน
แต่ว่าในวันนี้ จะปล่อยไปแบบนี้
ฉันก็เริ่มกลัว ว่ารักที่มีอาจจะต้องเสียไป

ลืมอะไรไปแล้วหรือเปล่า
ทำไมเราเหมือนไม่รักกัน
ทำไมมันไม่เหมือนก่อนนั้น
เธอกับฉัน เราเปลี่ยนไปได้ยังไง

ลืมอะไรไปแล้วหรือเปล่า
วันที่เราเคยรักกัน ยังจําได้ไหม
กลับไปรู้สึกแบบเดิมอีกครั้งได้หรือไม่
แบบคนที่รักกัน จะต่างยังไงก็เข้าใจ

มัวแต่มองว่าไม่เหมือนกันยังไง ใจก็ยิ่งห่าง
มัวแต่มองแต่ความคิดของตัวเอง คงยิ่งอ้างว้าง

ถ้าหากว่ายังรัก (ก็เป็นเพราะรัก)
ก็ไม่อยากจะหมางหรือเมินกันไป
อย่างนั้น ได้โปรดอย่าทําร้ายรักเรา

ลืมอะไรไปแล้วหรือเปล่า
ทำไมเราเหมือนไม่รักกัน
ทำไมมันไม่เหมือนก่อนนั้น
เธอกับฉัน เราเปลี่ยนไปได้ยังไง

ลืมอะไรไปแล้วหรือเปล่า
วันที่เราเคยรักกัน ยังจําได้ไหม
กลับไปรู้สึกแบบเดิมอีกครั้งได้หรือไม่
แบบคนที่รักกัน

ลืมอะไรไปแล้วหรือเปล่า
วันที่เราเคยรักกัน ยังจําได้ไหม
กลับไปรู้สึกแบบเดิมอีกครั้ง

ลืมอะไรไปแล้วหรือเปล่า
ทำไมเราเหมือนไม่รักกัน
ทำไมมันไม่เหมือนก่อนนั้น
เธอกับฉัน เราเปลี่ยนไปได้ยังไง

ลืมอะไรไปแล้วหรือเปล่า
วันที่เราเคยรักกัน ยังจําได้ไหม
กลับไปรู้สึกแบบเดิมอีกครั้งได้หรือไม่
แบบคนที่รักกัน จะต่างยังไงก็เข้าใจ",friday
สุดท้ายที่เหลืออยู่,/music/thailyric/4362,"มันคงไม่ใช่แค่ฉัน ที่รู้สึกว่าหวั่นไหว
กับบาดแผลที่มีในหัวใจเวลานี้
และก็ได้แต่หวัง หวังให้จบตอนท้ายลงด้วยดี
แต่วันนั้นมันจะมีได้อย่าไร

มันคงไม่ใช่แค่ฉัน ที่สับสนอยู่อย่างนี้
เกิดคำถามกับเรื่องราวที่มีไม่เข้าใจ
และคงไม่ใช่แค่ฉัน ที่อยากจะรู้มีสิ่งใด
ที่วันนี้พอทำได้มากกว่าแค่ดู

เราต้องเจ็บปวดอีกกี่ครั้ง
หัวใจของเราจึงจะรับฟัง อยากจะรู้

ในเมื่อสุดท้ายที่ต้องเหลือต้องอยู่คือเธอและฉัน
แล้วทุกสิ่งที่พ้นที่ผ่านมันสอนอะไร
ให้ท้ายที่สุดที่เรายังเหลือคือความเข้าใจ
กลับมาเชื่อในกันและกันอีกครั้ง ได้ไหม

มันคงไม่ใช่แค่ฉัน ไม่ใช่เธอ ไม่ใช่เขา
แต่มารวมให้เป็นคำว่าเราจะได้ไหม
เราทุกคนต่างพ่ายแพ้ เพื่อจะชนะด้วยกันใหม่
เราจะถอยเพื่อก้าวไปได้หรือยัง

เราต้องเจ็บปวดอีกกี่ครั้ง
หัวใจของเราจึงจะรับฟัง อยากจะรู้

ในเมื่อสุดท้ายที่ต้องเหลือต้องอยู่คือเธอและฉัน
แล้วทุกสิ่งที่พ้นที่ผ่านมันสอนอะไร
ให้ท้ายที่สุดที่เรายังเหลือคือความเข้าใจ

สุดท้ายที่ต้องเหลือต้องอยู่คือเธอและฉัน
แล้วทุกสิ่งที่พ้นที่ผ่านมันสอนอะไร
ให้ท้ายที่สุดที่เรายังเหลือคือความเข้าใจ
กลับมาเชื่อในกันและกันอีกครั้ง ได้ไหม",friday
หวาน (Sweet),/music/thailyric/4365,"เหมือนฉันจะเหงายังไงไม่รู้ ตอนที่เธอนั้นไม่ได้อยู่ด้วยกัน
ใจลอยเหมือนคอยอะไร มันเป็นอย่างนี้ทั้งวัน
อาการนี้เขาเรียกว่าความคิดถึง มันคงคล้ายเวลาคนขาดน้ำตาล
เพราะตอนฉันคิดถึงเธอ เป็นรสชาติที่มันหวาน

เธอรู้ตัวบ้างไหม เธอทำให้โลกทั้งใบ
เต็มไปด้วยความรัก รักเธอนะหวานใจ
อย่าเพิ่งหมดความหวาน แม้นานสักเท่าไร
ช่วยมาเติมความหวานให้ใจฉันหน่อย

หวานลิ้นที่กินไม่เท่าอ่อนหวาน
ความเบิกบานที่ตัวเธอเป็นข้างใน
ความสุขส่งผ่านมาจากหัวใจ ยิ่งทำให้เธอหวาน

เธอรู้ตัวบ้างไหม เธอทำให้โลกทั้งใบ
เต็มไปด้วยความรัก รักเธอนะหวานใจ
อย่าเพิ่งหมดความหวาน แม้นานสักเท่าไร
หวานน้ำตาลไม่หวานเท่าใจของเธอ

โอ้ เธอทำให้ฉันรัก ยิ่งหวานก็เลยต้องยิ่งรัก
ยกให้เธอเป็นความหวานของใจ

จะหวานแค่ไหน ไม่ว่าหวานเท่าไหร่
แม้จะหวานยังไง ฉันนั้นตอบได้เลย
ไม่มีทางหวานได้เท่ากับหวานใจ
ไม่ได้เทียบกับใคร อยากจะขอให้เข้าใจ

ต่อให้ความหวานแสนหวานของน้ำตาลทั้งโลก
ก็คงไม่มีประโยชน์จะมาเทียบกับเธอได้
อยากจะยกหัวใจของฉัน
เป็นประกันกับเธอไว้ว่าฉันจะไม่ไปไหน

และจะมีแต่เธอเท่านั้น
ที่จะเป็นที่สุดของความหวาน ที่สุดของหัวใจ

เธอรู้ตัวบ้างไหม เธอทำให้โลกทั้งใบ
เต็มไปด้วยความรัก รักเธอนะหวานใจ
อย่าเพิ่งหมดความหวาน แม้นานสักเท่าไร
ช่วยมาเติมความหวานให้ใจฉันหน่อย

อย่าเพิ่งหมดความหวาน แม้นานสักเท่าไร
หวานน้ำตาลไม่หวานเท่าใจของเธอ

โอ้ เธอทำให้ฉันรัก ยิ่งหวานก็เลยต้องยิ่งรัก
ยกให้เธอเป็นความหวานของใจ
ยกใจให้เธอเลยที่รัก ยกใจให้เธอหมดแล้ว หวานใจ",friday
