song_name,href,lyric,artist
เก็บคำว่ารัก (ONS),/music/thailyric/11717,"เก็บคำว่ารักไว้ก่อน เก็บรักไว้สักพัก
รอจนถึงวันที่หัวใจ เราพร้อมที่จะรัก

รู้สึกแปลกไหมที่เธอกับฉัน
สุดท้ายไม่ได้รักกัน
ได้เพียงแต่ฝัน ฝันไปเท่านั้น
กี่ครั้งที่เราต่าง

ยังมีคนที่อยู่ในใจ
เราต่างมีใคร ที่อยู่ในใจ
เราเจอกันเมื่อเราไม่พร้อม
เราต่างไม่พร้อม ไม่พร้อมที่จะรักใคร

เก็บคำว่ารักไว้ก่อน เก็บรักไว้สักพัก
รอจนถึงวันที่หัวใจ เราพร้อมที่จะรัก

จะดีแค่ไหน ถ้าพบกันอีกครั้ง
วันนั้นถ้าในหัวใจ ให้เธอและฉันก็ไม่มีใคร
แต่วันนี้เรานั้นต่าง

ยังมีคนที่อยู่ในใจ
เราต่างมีใคร ที่อยู่ในใจ
เราเจอกันเมื่อเราไม่พร้อม
เราต่างไม่พร้อม ไม่พร้อมที่จะรักใคร

เก็บคำว่ารักไว้ก่อน เก็บรักไว้สักพัก
รอจนถึงวันที่หัวใจ เราพร้อมที่จะรัก

ก็รู้ว่าเราต่างก็เข้าใจกัน
แต่ความรักของเรา
ไม่เคยมาถึงพร้อมกัน

ก็รู้ว่าเราต่างก็คิดเหมือนกัน
แต่ความรักของเรา
ไม่เคยมาถึงพร้อมกัน

ไม่เคยมาถึงพร้อมกัน
ไม่เคยมาถึงพร้อมกัน

เก็บคำว่ารักไว้ก่อน เก็บรักไว้สักพัก
รอจนถึงวันที่หัวใจ เราพร้อมที่จะรัก

รู้สึกแปลกไหมที่เธอกับฉัน
เก็บคำว่ารักไว้ก่อน
จะดีแค่ไหนถ้าพบกันอีกครั้ง
เก็บรักไว้สักพัก หัวใจ

ก็รู้ว่าเราต่างก็เข้าใจกัน
แต่ความรักของเรา
ไม่เคยมาถึงพร้อมกัน

ก็รู้ว่าเราต่างก็คิดเหมือนกัน
แต่ความรักของเรา
ไม่เคยมาถึงพร้อมกัน",gene_kasidit
แค่อยากจะขอ,/music/thailyric/9372,"อยากให้เธอรู้ ว่าคิดถึงเธออยู่
เมื่อเพลงนี้เริ่มขึ้นมา
ภาพเธอนั้นได้เข้ามา ทุกๆ ที
และอยากให้เธอรู้ เมื่อเราเข้ามาใกล้กัน
ก็จะทิ้งทุกๆ อย่าง
และจะถามเธอซักอย่างในคืนนี้

แค่อยากจะขอเต้นรำ แค่เธอเท่านั้น
และอยากจะขอสักวัน
ให้เธอกอดฉัน เอาไว้นานๆ
ให้กายเรา แอบอิงกัน สบตากัน

ปล่อยใจไป ให้เราเต้นรำ คู่กันสักครั้ง
และขอสักวัน ให้เธอกอดฉัน
หลอกกันว่ารัก จะฝันไปด้วยกัน
อยู่กับฉันไปด้วยกัน แค่เพียงเท่านี้

หากค่ำคืนนี้ ถ้าฉันมีเธออยู่
ก็ดูเหมือนว่าทุกสิ่ง
มีความหมายทุกๆ อย่าง ฉันรักเธอ
และอยากให้เธอรู้ เมื่อเราเข้ามาใกล้กัน
จะยอมทื้งทุกๆ อย่าง
และจะยอมเธอทุกอย่างในคืนนี้

แค่อยากจะขอเต้นรำ แค่เธอเท่านั้น
และอยากจะขอสักวัน
ให้เธอกอดฉัน เอาไว้นานๆ
ให้กายเรา แอบอิงกัน สบตากัน

ปล่อยใจไป ให้เราเต้นรำ คู่กันสักครั้ง
และขอสักวัน ให้เธอกอดฉัน
หลอกกันว่ารัก จะฝันไปด้วยกัน
อยู่กับฉันไปด้วยกัน แค่เพียงเท่านี้

หากค่ำคืนนี้ ฉันมีเธออยู่
โปรดบอกว่าเธอ จะอยู่กับฉัน

แค่อยากจะขอเต้นรำ แค่เธอเท่านั้น
และอยากจะขอสักวัน
ให้เธอกอดฉัน เอาไว้นานๆ
ให้กายเรา แอบอิงกัน สบตากัน

ปล่อยใจไป ให้เราเต้นรำ คู่กันสักครั้ง
และขอสักวัน ให้เธอกอดฉัน
หลอกกันว่ารัก จะฝันไปด้วยกัน
อยู่กับฉันไปด้วยกัน แค่เพียงเท่านี้

แค่เพียงเท่านี้
ให้กายเรา แอบอิงกัน แค่เพียงเท่านี้",gene_kasidit
เจ็บลืม,/music/thailyric/9873,"เธอทำให้คนอย่างฉันอยากลืม อยากลืม
เธอทำให้ฉันนั้นได้รู้ตัว

ปล่อยมันไป อย่าหยุดเอาไว้
ถ้ามันไม่ชัวร์ ก็โยนทิ้งไป
อยู่ด้วยกัน แค่ยิ้มใส่กัน
เหมือนตัวละคร ไม่มีหัวใจ

ครั้งนึง รักเธอทุกวัน รักเรามันจบแล้ว
เธอทำให้คนอย่างฉันอยากลืม

จบแล้ว อยากลืม เจ็บแล้ว อยากลืม
เธอทำให้ฉันนั้นได้รู้ตัว
ในความมืดมัว ได้รู้สึกตัว
ว่ารักที่มันเป็นไปไม่ได้ แล้วใครจะลืม

จะอีกกี่วัน มันต้องอีกกี่ปี
จะอีกกี่วัน มันต้องอีกกี่ปี
จะอีกกี่วัน มันต้องอีกกี่ปี
จะอีกกี่วัน มันต้องอีกกี่ปี
จะอีกกี่วัน มันต้องอีกกี่ปี
จะอีกกี่วัน มันต้องอีกกี่ปี

เตะมันไป อย่าเบรคมันไว้
ยิ่งแคร์ยิ่งกลัว ไม่ชัวเท่าไหร่
หมดอารมณ์ ไม่เหลือเศษใจ
ให้เติมเท่าไหร่ ก็คงไม่เต็ม

ครั้งนึง รักเธอทุกวัน รักเรามันจบแล้ว
เธอทำให้คนอย่างฉันอยากลืม

จบแล้ว อยากลืม เจ็บแล้ว อยากลืม
เธอทำให้ฉันนั้นได้รู้ตัว
ในความมืดมัว ได้รู้สึกตัว
ว่ารักที่มันเป็นไปไม่ได้ แล้วใครจะลืม

จะอีกกี่วัน มันต้องอีกกี่ปี
จะอีกกี่วัน มันต้องอีกกี่ปี
จะอีกกี่วัน มันต้องอีกกี่ปี
จะอีกกี่วัน มันต้องอีกกี่ปี กี่ปี กี่ปี กี่วัน กี่ปี กี่ปี กี่ปี กี่วัน กี่ปี กี่ปี กี่ปี กี่วัน กี่ปี
เธอทำให้คนอย่างฉันอยากลืม

จบแล้ว อยากลืม เจ็บแล้ว อยากลืม
เธอทำให้ฉันนั้นได้รู้ตัว
ในความมืดมัว ได้รู้สึกตัว
ว่ารักที่มันเป็นไปไม่ได้ แล้วใครจะลืม",gene_kasidit
ตัดใจ (Irreversible),/music/thailyric/10122,"เธอคงจะลืมวันที่ฉันร้องไห้ อารมณ์ที่เศร้าจับใจ
แต่มาวันหนึ่งเธอจะย้อนมาใหม่ เธอกำลังคิดอะไร

หยุดคิดเรื่องของเรา ทุกอย่างคงไม่มีทางเหมือนเก่า
แค่อยากลืมเรื่องราว ชีวิตดีๆ ยังมีอยู่เธอคงเข้าใจ

ตัดใจปล่อยมันไปเถอะ ยิ่งเจอก็ยิ่งช้ำ
หยุดตรงนั้นให้ฉันได้ลืมเรื่องเก่า
วันที่รักเธอเป็นได้แค่เรื่องราว
จบลงแล้วในทุกๆ อย่าง มีแต่ฉันที่ต้องเสียใจ

ถ้าวันดีๆ มันเดินย้อนมาได้ ฉันคงไม่คิดอะไร
แต่ความเป็นจริงเธอก็รู้ไม่ได้
ฉันคงไม่ย้อนกลับไป

หยุดคิดเรื่องของเรา ทุกอย่างคงไม่มีทางเหมือนเก่า
แค่อยากลืมเรื่องราว ชีวิตดีๆ ยังมีอยู่เธอคงเข้าใจ

ตัดใจปล่อยมันไปเถอะ ยิ่งเจอก็ยิ่งช้ำ
หยุดตรงนั้นให้ฉันได้ลืมเรื่องเก่า
วันที่รักเธอเป็นได้แค่เรื่องราว
จบลงแล้วในทุกๆ อย่าง มีแต่ฉันที่ต้องเสียใจ

ทุกวันยังเสียใจ เธอต้องการอะไร พอแล้ว

รักของเราจบแล้ว

ตัดใจปล่อยมันไปเถอะ ยิ่งเจอก็ยิ่งช้ำ
หยุดตรงนั้นให้ฉันได้ลืมเรื่องเก่า
วันที่รักเธอเป็นได้แค่เรื่องราว
จบลงแล้วในทุกๆ อย่าง มีแต่ฉันที่ต้องเสียใจ

อยากที่จะไป วันที่ไป เธอก็ไป เธอก็ไป
เธอต้องการแบบนั้น
อยากจะกลับมา ให้ฉันลืม
เธอก็มา เธอก็มา คงไม่มีวันนั้น

ตัดใจปล่อยมันไปเถอะ
ตัดใจปล่อยมันไปซะ
ตัดใจปล่อยมันเสียที

จบลงแล้วในทุกทุกอย่าง มีแต่ฉันที่ต้องเสียใจ",gene_kasidit
ร (W8),/music/thailyric/9727,"รับฟัง เรื่องราว ที่เกิดขึ้นนั้น เมื่อเธอเจ็บช้ำ เพราะรักที่เปลี่ยนไป
รู้ดี ฉันเอง ที่รอมานาน ให้เธอเปิดใจ และรับมันเอาไว้

วันเวลานานเท่าไร ที่รักเก่าๆยังคงจะทำร้าย
เธอยังมองไม่เห็นใคร ที่ห่วงใยกันอย่างนี้มานาน
ตัวเธอเองยังต้องการเวลาก่อน
เฝ้ามองดูเธอที่ไกลห่าง อาจจะมีซักวันจากนี้

รอนานๆก็อาจจะบั่นทอนหัวใจ อย่าให้นานเกินไป
ก่อนอะไรมันอาจจะสาย
รอนานๆก็อาจทำให้ใจวุ่นวาย รู้ดีแต่ยังน้อยใจ
เพราะฉันเป็นคนเดียวที่รอ
ฉันเอง เข้าใจ ก็คงต้องใช้เวลา หากรักยังพอจะมีหวัง
ทุกลม หายใจ เธอรู้บ้างไหม มีใครที่คอยเฝ้ารักและห่วงใย

วันเวลานานเท่าไร ที่รักเก่าๆยังคงจะทำร้าย
เธอยังมองไม่เห็นใคร ที่ห่วงใยกันอย่างนี้มานาน
ตัวเธอเองยังต้องการเวลาก่อน
เฝ้ามองดูเธอที่ไกลห่าง อาจจะมีซักวันจากนี้

รอนานๆก็อาจจะบั่นทอนหัวใจ อย่าให้นานเกินไป
ก่อนอะไรมันอาจจะสาย
รอนานๆก็อาจทำให้ใจวุ่นวาย รู้ดีแต่ยังน้อยใจ
เพราะฉันเป็นคนเดียวที่รอ

รอนานๆก็อาจจะบั่นทอนหัวใจ อย่าให้นานเกินไป
ก่อนอะไรมันอาจจะสาย
รอนานๆก็อาจทำให้ใจวุ่นวาย รู้ดีแต่ยังน้อยใจ
เพราะฉันเป็นคนเดียวที่รอ

ถ้าคืนไม่มีดาว แต่แดดในตอนเช้านั้นดูสดใส เธอยังมีใครที่อยู่ตรงนี้
จับมือกับฉัน แล้วลืมเสียที แค่อยากให้นาทีนี้เรารักกัน
แค่ได้รัก เพราะฉันเป็นคนเดียวที่รอ",gene_kasidit
รักสนุก (NSA),/music/thailyric/9699,"สุดเหวี่ยง หลุดไปเลย
ถ้ารักจะสุด ก็หลุดไปเลย
อย่า อย่า อย่าลังเล
ถ้ารักสนุกอย่าฉุดตัวเอง

มองกันไป มองกันมา น่าเบื่อ
มัวลองใจ ใครจะชวน ไปเหวี่ยง
มัวกรรเชียง กันทำไม ลองเสี่ยง
ใครมาเคียง ใจก็ไม่เกี่ยง

อย่าลีลา ลวดลาย ทำไปเลยสักอย่าง
อย่ามากลาง เลือกเอาสักทาง ไม่ลองไม่รู้

สุดเหวี่ยง หลุดไปเลย
ถ้ารักจะสุด ก็หลุดไปเลย
อย่า อย่า อย่าลังเล
ถ้ารักสนุกอย่าฉุดตัวเอง

อย่าลีลา ลวดลาย ทำไปเลยสักอย่าง
อย่ามากลาง เลือกเอาสักทาง ไม่ลองไม่รู้

สุดเหวี่ยง หลุดไปเลย
ถ้ารักจะสุด ก็หลุดไปเลย
อย่า อย่า อย่าลังเล
ถ้ารักสนุกอย่าฉุดตัวเอง

สุดเหวี่ยง อย่ามามัวกั๊ก
ถ้ารักจะสุด ก็หลุดไปเลย
อย่า อย่า อย่ามาฟอร์มนัก
ถ้ารักสนุก อย่าฉุดตัวเอง

อย่าลีลา ลวดลาย ทำไปเลยสักอย่าง
อย่ามากลาง เลือกเอาสักทาง ไม่ลองไม่รู้

สุดเหวี่ยง หลุดไปเลย
ถ้ารักจะสุด ก็หลุดไปเลย
อย่า อย่า อย่าลังเล
ถ้ารักสนุกอย่าฉุดตัวเอง

สุดเหวี่ยง อย่ามามัวกั๊ก
ถ้ารักจะสุด ก็หลุดไปเลย
อย่า อย่า อย่ามาฟอร์มนัก
ถ้ารักสนุก อย่าฉุดตัวเอง",gene_kasidit
อีกนาน (Alone But Not Lonely),/music/thailyric/10440,"เธอรู้ไหม ว่าวันใด ที่คนเรา ได้เจอะใคร ที่รักและคอยห่วงใย
กับคนหนึ่ง ที่เข้าใจ คนอีกคน ในทุกวัน มันจะดีเท่าไร

รู้หรือเปล่า ฉันมองความรักที่ผ่าน ช่างสวยงาม
แม้เราอาจ พบเจอแต่ความเสียใจ

ต้องอยู่แบบนี้ไปอีกนาน คิดคนเดียวอีกนาน
คนที่ห่วงใย มันจะมีใช่ไหม
ต้องทนและก้าวต่อไป กับใจที่ลอยออกไป
อีกนาน อีกนาน อีกนาน อีกนาน แค่ไหน

หากทุกครั้ง ถ้าคนเรา ต้องเจอกันและจากกัน แต่ฉันยังเดินต่อไป
อยู่คนเดียว ได้รู้จัก ว่าความเหงา คืออะไร ปล่อยให้มันซ้ำเติม

รู้หรือเปล่า ฉันมองความรักที่ผ่าน ช่างสวยงาม
แม้เราอาจ พบเจอแต่ความเสียใจ

ต้องอยู่แบบนี้ไปอีกนาน คิดคนเดียวอีกนาน
คนที่ห่วงใย มันจะมีใช่ไหม
ต้องทนและก้าวต่อไป กับใจที่ลอยออกไป
อีกนาน อีกนาน อีกนาน อีกนาน แค่ไหน

รู้หรือเปล่า ฉันมองความรักที่ผ่าน ช่างสวยงาม
แม้เราอาจ พบเจอแต่ความเสียใจ

ต้องอยู่แบบนี้ไปอีกนาน คิดคนเดียวอีกนาน
คนที่ห่วงใย มันจะมีใช่ไหม
ต้องทนและก้าวต่อไป กับใจที่ลอยออกไป
อีกนาน อีกนาน อีกนาน อีกนาน แค่ไหน
อีกนานแค่ไหน อีกนานแค่ไหน อีกนานแค่ไหน",gene_kasidit
Wish You Were Here,/music/thailyric/17619,"สิ่งที่สับสนทุกครั้ง เกิดเป็นคำถาม
ความในใจที่เธอไม่เคยรู้
และฉันไม่เคยจะกล้าพอ

จนวันสุดท้าย ต้องจากกัน ต่างคนต่างห่างไกล
ไม่รู้ว่าเราจะเจอกันอีกไหม ยังรอที่จะพบเธอ

แค่อยากรู้ว่าเธอเป็นไง ไม่อาจรู้ว่านานเพียงใด
ผ่านคืนและวัน ที่เธอและฉันต้องลากันไป
ภาพความทรงจำในใจ

เธอคือตะวันยามที่ใจต้องเหน็บหนาว
เธอคือบทเพลงกล่อมบรรเลงยามปวดร้าว
แม้ไม่ได้เจอ หากแม้ไม่ได้เจอ

อยากจะเก็บสิ่งดีๆ ที่มีไม่เปลี่ยนไป
อยากจะกอดช่วงเวลาให้เธอยังคงไว้
แม้ไม่ได้เจอ ก็อยากจะขอแค่พบเธอ

ที่เดิมตรงนั้น ที่เราจากกัน
จะมีเธอนั้น อยู่ตลอดกาล

แค่อยากรู้ว่าเธอเป็นไง ไม่อาจรู้ว่านานเพียงใด
ผ่านคืนและวัน ที่เธอและฉันต้องลากันไป
ภาพความทรงจำในใจ

เธอคือตะวันยามที่ใจต้องเหน็บหนาว
เธอคือบทเพลงกล่อมบรรเลงยามปวดร้าว
แม้ไม่ได้เจอ หากแม้ไม่ได้เจอ

อยากจะเก็บสิ่งดีๆ ที่มีไม่เปลี่ยนไป
อยากจะกอดช่วงเวลาให้เธอยังคงไว้
แม้ไม่ได้เจอ ก็อยากจะขอแค่พบเธอ

ที่เดิมตรงนั้น ที่เราจากกัน
จะมีเธอนั้น อยู่ตลอดกาล
แต่ในตอนนี้ ได้เพียงแค่ฝัน
จะมีเธอนั้น อยู่ในใจฉัน",gene_kasidit
คนรู้จัก,/music/thailyric/15245,"อย่ามาสำคัญตัวเอง ถ้าไม่มีค่าเท่าไร
เข้าใจผิดไปหรือเปล่า จะมากวนใจอะไร
อย่ามาแกล้งเป็นคนดี ไม่มีใครอยากเชื่อเธอ
เธอเหลือแค่ฉันคนเดียว ก็ยังจะมาทำร้าย

คงจะคิดว่าฉันร้องไห้ทุกคืน
และคงคิดว่าฉันจะยืนไม่ได้
เธอสำคัญตัวผิดไป

ถ้าอยู่กันอย่างนี้ ต่อให้ใครก็ไม่ไหว
เธอนั้นคิดเอาเอง ว่าเธอคือทุกๆ อย่าง
แค่อยากให้เธอรู้ อยู่คนเดียวมันง่ายกว่า
เพราะเธอเป็นแค่เพียง อะไรไม่มีค่าสำหรับฉัน

ในวันที่ไม่มีเธอ และเธอก็ไม่มีใคร
ช่วยไปให้ไกลเสียที อย่ามากวนใจได้ไหม
จะโกรธก็โทษตัวเอง อะไรที่เธอพลาดไป
เธอเหลือแค่เธอคนเดียว ก็ทำตัวเองอย่างนั้น

คงจะคิดว่าฉันร้องไห้ทุกคืน
และคงคิดว่าฉันจะยืนไม่ได้
เธอสำคัญตัวผิดไป

ถ้าอยู่กันอย่างนี้ ต่อให้ใครก็ไม่ไหว
เธอนั้นคิดเอาเอง ว่าเธอคือทุกๆ อย่าง
แค่อยากให้เธอรู้ อยู่คนเดียวมันง่ายกว่า
เพราะเธอเป็นแค่เพียง อะไรไม่มีค่าสำหรับฉัน

ก็ทำตัวเองอย่างนั้น
ก็ทำตัวเองอย่างนั้น
เธอสำคัญตัวผิดไป

ถ้าอยู่กันอย่างนี้ ต่อให้ใครก็ไม่ไหว
เธอนั้นคิดเอาเอง ว่าเธอคือทุกๆ อย่าง
แค่อยากให้เธอรู้ อยู่คนเดียวมันง่ายกว่า
เพราะเธอเป็นแค่เพียง อะไรไม่มีค่าสำหรับฉัน",gene_kasidit
ช้อปสนุก,/music/thailyric/11819,"เงินๆ ทองๆ
มันจะตกมันจะหล่นมาจากไหน
เงินๆ ทองๆ

แพ๊งแพง ถ้ายังจ่าย เลยคงตาย
เลยต้อง Bye Bye
ถ้ายังช้อป และโดนน็อก
เลยเพื่อ Why Why
ถ้ายังจ่าย เลยคงตาย
เลยต้อง Bye Bye
มันคงช็อก ตายเลยยังช็อก
เงินๆ ทองๆ มันจะหล่นมาจากไหน

อยู่ดีไม่ว่าดี ไม่เคยพอเลยเดือดร้อน
เลยโดนไปทุกที พูดอะไรไม่ออกทั้งปี

ซื้อไว้ไม่ใช้ตลอด ใช้ไม่ใช้เก็บก่อน
เงินในบัญชีหายไป โอ๊ย ปวดใจทุกที
แต่ช้อปแล้วฟินสุดๆ คล้ายดั่งรักครั้งแรก
หัวใจเต้นแรง เจอะกี่ครั้งก็ไม่เบื่อ

แพ้งแพง ถ้ายังจ่ายและคงตายเลย
ถ้ายังจ่ายเลยคง Bye Bye
ถ้ายังช้อปและโดนน็อกเลย
ถ้ายังช้อปไปเพื่อ Why Why
ถ้ายังจ่ายและต้องตายเลย
ถ้ายังจ่ายเลยคง Bye Bye

ถ้ายังช้อปและโดนน็อกเลย
ถ้ายังช้อปเลยต้อง Bye

เงินๆ ทองๆ ถ้าอยากโดนน็อกก็ช้อปเลย
เงินๆ ทองๆ ถ้าอยากโดนน็อกก็ช้อปเลย

ซื้อไว้ไม่ใช้ตลอด ใช้ไม่ใช้เก็บก่อน
เงินในบัญชีหายไป โอ๊ย ปวดใจทุกที
แต่ช้อปแล้วฟินสุดๆ คล้ายดั่งรักครั้งแรก
หัวใจเต้นแรง เจอะกี่ครั้งก็ไม่เบื่อ

ต้องห้ามใจ ต้องห้ามใจ สักเท่าไร
ใช้เท่าไร มีเท่าไร จะพอใช้
อีกเท่าไร
สักเท่าไร อีกเท่าไร

อยากช้อปกระจุยกระจาย
ให้เงินใน Pocket ไม่หดหาย
ใจพอสบาย อยากจะยั้ง อยากจะพักเบรก
ไม่ทันอะไร ดันมาเจอ ป้าย Sale โอ๊ย
เอาละไง มันซวยละไง
เหมือนขาสองขา ยับและยั้งไว้ เอาไง
เหมือนเวทย์มนต์ มันสะกดใจ เอาไง
Midnight Sale ทำเอาหวั่นไหว
เอาละไง มันซวยละไง

ซื้อไว้ไม่ใช้ตลอด ใช้ไม่ใช้เก็บก่อน
เงินในบัญชีหายไป โอ๊ย ปวดใจทุกที
แต่ช้อปแล้วฟินสุดๆ คล้ายดั่งรักครั้งแรก
หัวใจเต้นแรง เจอะกี่ครั้งก็ไม่เบื่อ

ต้องห้ามใจ ต้องห้ามใจ สักเท่าไร
ใช้เท่าไร มีเท่าไร จะพอใช้
สักเท่าไร อีกเท่าไร สักเท่าไร
สักเท่าไร อีกเท่าไร สักเท่าไร

เงินๆ ทองๆ ถ้าอยากโดนน็อกก็ช้อปเลย
เงินๆ ทองๆ ถ้าอยากโดนน็อกก็ช้อปเลย",gene_kasidit
