song_name,href,lyric,artist
เกี่ยวกันไหม (You?),/music/thailyric/13539,"ทำไม เพลงรักเพลงซึ้งที่ฉันไม่เคยชอบฟัง
พอได้ยินช่วงนี้ทีไร ฉันเผลอร้องตามทุกคำ
ธรรมดาเที่ยงคืนปิดไฟ รีบนอนให้พ้นคืนวัน
แต่คืนนี้ฉันพยายามเท่าไรก็ทำไม่ได้

มันเหมือนไม่เป็นตัวเอง มันไม่ใช่ฉัน
เหตุผลมันเพราะอะไร ไม่รู้เหมือนกัน
แต่พอนึกย้อนดีๆ ที่ฉันเริ่มเป็นแบบนี้

มันเกี่ยวกันไหม ที่เธอได้เดินเข้ามา
ที่เธอได้มาสบตา ตัวฉันถึงเป็นแบบนี้
มันเกี่ยวกันไหม เมื่อไรที่เธอนั้นยิ้มให้ฉัน
เหมือนโลกดูเปลี่ยนไป เหตุผลก็เพราะว่าเธอ
ใช่หรือเปล่า

ทำไมเวลามีใคร เขาเล่าเรื่องเธอให้ฟัง
ฉันสงสัยอยากรู้อยากถามมากกว่าเรื่องใดทุกครั้ง

มันเหมือนไม่เป็นตัวเอง มันไม่ใช่ฉัน
เหตุผลมันเพราะอะไร ไม่รู้เหมือนกัน
แต่พอนึกย้อนดีๆ ที่ฉันเริ่มเป็นแบบนี้

มันเกี่ยวกันไหม ที่เธอได้เดินเข้ามา
ที่เธอได้มาสบตา ตัวฉันถึงเป็นแบบนี้
มันเกี่ยวกันไหม เมื่อไรที่เธอนั้นยิ้มให้ฉัน
เหมือนโลกดูเปลี่ยนไป เหตุผลก็เพราะว่าเธอ
ใช่หรือเปล่า

มันเกี่ยวกันไหม ที่เธอได้เดินเข้ามา
ที่เธอได้มาสบตา ตัวฉันถึงเป็นแบบนี้
มันเกี่ยวกันไหม เมื่อไรที่เธอนั้นยิ้มให้ฉัน
เหมือนโลกดูเปลี่ยนไป เหตุผลก็เพราะว่าเธอ

มันเกี่ยวกันไหม ที่เธอได้เดินเข้ามา
ที่เธอได้มาสบตา ตัวฉันถึงเป็นแบบนี้
มันเกี่ยวกันไหม เมื่อไรที่เธอนั้นยิ้มให้ฉัน
เหมือนโลกดูเปลี่ยนไป เหตุผลก็เพราะว่าเธอ
ใช่หรือเปล่า",ink_waruntorn
ฉันต้องคิดถึงเธอแบบไหน,/music/thailyric/12375,"เธอคือลมเย็นๆ พัดมาเมื่อยามที่ไม่มีใคร
ให้ฉันรู้สึก ทำให้คิดไปไกล
อยากเก็บวันเวลาดีๆ ไม่อยากให้เธอหายไป
แต่ต้องทำยังไง กับคำถามมากมาย

บางวันก็เหมือนว่าฉันนั้นมีเธออยู่
แต่ในบางวันก็เหมือนไม่มี
ใจมันหวั่นไหวโปรดเธอนั้นช่วยบอกกันสักที

อยากจะรู้ว่าฉันควรทำยังไง ต้องคิดถึงเธอแบบไหน
แค่คนรู้จักหรือคนรู้ใจ บอกได้ไหมว่าที่ที่ฉันจะยืน
ควรจะอยู่ตรงไหน
แค่สักคำให้ฉันแน่ใจ เธอคิดกับฉันแบบไหน

ใจมันยังลังเล ทุกทีที่เราไม่ได้คุยกัน
แอบมาคิดไหวหวั่น ว่าเธอนั้นมีใคร
อยากจะรู้เวลาดีๆ ที่ผ่านมาจริงใช่ไหม
ฉันต้องทำยังไง กับคำถามมากมาย

บางวันก็เหมือนว่าฉันนั้นมีเธออยู่
แต่ในบางวันก็เหมือนไม่มี
ใจมันหวั่นไหวโปรดเธอนั้นช่วยบอกกันสักที

อยากจะรู้ว่าฉันควรทำยังไง ต้องคิดถึงเธอแบบไหน
แค่คนรู้จักหรือคนรู้ใจ บอกได้ไหมว่าที่ที่ฉันจะยืน
ควรจะอยู่ตรงไหน
แค่สักคำให้ฉันแน่ใจ เธอคิดกับฉันแบบไหน

อยากจะรู้ว่าฉันควรทำยังไง ต้องคิดถึงเธอแบบไหน
แค่คนรู้จักหรือคนรู้ใจ บอกได้ไหมว่าที่ที่ฉันจะยืน
ควรจะอยู่ตรงไหน
แค่สักคำให้ฉันแน่ใจ

อยากจะรู้ว่าฉันควรทำยังไง ต้องคิดถึงเธอแบบไหน
แค่คนรู้จักหรือคนรู้ใจ บอกได้ไหมว่าที่ที่ฉันจะยืน
จะมีเธออยู่ไหม
แค่สักคำให้ฉันแน่ใจ เธอคิดกับฉันแบบไหน",ink_waruntorn
เหงา เหงา (Insomnia),/music/thailyric/11011,"แสงดวงดาวที่ดูอบอุ่น ทำไมยิ่งมองยิ่งหนาว
เสียงบรรเลงบทเพลงเก่าๆ ยิ่งฟังยิ่งคิดถึงใคร
สายลมพัดปลิวมาเบาๆ พาใจลอยไปถึงไหน
ผู้คนรอบตัวมีมากมาย ทำไมยิ่งเจอยิ่งเหงา

ไม่อยากรู้แล้วว่าเพราะอะไร ที่ทำให้เป็นแบบนี้
แต่ที่อยากจะรู้คงมีแค่เพียง

ที่เราห่างกันอย่างนี้ไม่รู้ว่าเธอนั้นรู้สึกอย่างไร
เหงาเหมือนฉันบ้างไหม
ค่ำคืนเหน็บหนาวฉันยังต้องทนเดียวดาย
ส่วนเธอเองนั้นเป็นอย่างไร

ดึกดื่นกลางคืนแบบนี้ ไม่รู้ว่าเธอจะนอนหลับได้ไหม
เหงาเหมือนกันบ้างไหม
ข่มตานอนแล้ว หัวใจก็ยังวุ่นวาย
จะเป็นแบบนี้ไปอีกนานเท่าไร ไม่อยากอยู่แบบเหงาๆ

เพื่อนที่เธอเจอะเจอ เคยถามถึงฉันบ้างไหม
เมื่อไปที่ๆ เราเคยไป จะมองหากันหรือเปล่า
ได้ยินเพลงที่เราเคยฟัง เธอเองจะนึกถึงใคร
รูปคู่ครั้งที่เราเคยถ่าย เธอเคยเปิดดูบ้างไหม

ไม่อยากรู้แล้วว่าเพราะอะไร ที่ทำให้เป็นแบบนี้
แต่ที่อยากจะรู้คงมีแค่เพียง

ที่เราห่างกันอย่างนี้ไม่รู้ว่าเธอนั้นรู้สึกอย่างไร
เหงาเหมือนฉันบ้างไหม
ค่ำคืนเหน็บหนาวฉันยังต้องทนเดียวดาย
ส่วนเธอเองนั้นเป็นอย่างไร

ดึกดื่นกลางคืนแบบนี้ ไม่รู้ว่าเธอจะนอนหลับได้ไหม
เหงาเหมือนกันบ้างไหม
ข่มตานอนแล้ว หัวใจก็ยังวุ่นวาย
จะเป็นแบบนี้ไปอีกนานเท่าไร ไม่อยากอยู่แบบเหงาๆ

ที่เราห่างกันอย่างนี้ไม่รู้ว่าเธอนั้นรู้สึกอย่างไร
เหงาเหมือนฉันบ้างไหม
ค่ำคืนเหน็บหนาวฉันยังต้องทนเดียวดาย
ส่วนเธอเองนั้นเป็นอย่างไร

ดึกดื่นกลางคืนแบบนี้ ไม่รู้ว่าเธอจะนอนหลับได้ไหม
เหงาเหมือนกันบ้างไหม
ข่มตานอนแล้ว หัวใจก็ยังวุ่นวาย
จะเป็นแบบนี้ไปอีกนานเท่าไร ไม่อยากอยู่แบบเหงาๆ",ink_waruntorn
กลับก่อนนะ (Good Bye),/music/thailyric/23130,"ที่ฉันยอมมาในคืนนี้ รู้ไหมว่าเพราะอะไร
ไม่ใช่เพราะบรรยากาศ ไม่ใช่เพราะมาเจอใคร
แต่อยากมาเจอกับเธอ

รู้ไหมว่าความรู้สึกนี้ ฉันเก็บมาเนิ่นนานเท่าไหร่
อยากจะได้พูดคุยกัน อยากจะได้ใกล้ชิดกัน
อย่างที่ฉันคิดเอาไว้

แต่มันไม่เหมือนที่คิดเลย
เพราะคืนนี้เธอมากับเขา

ฉันต้องขอกลับก่อนนะ ตรงนี้คงไม่จำเป็นต้องมีฉัน
คืนนี้มันคงต้องจบแล้ว
ให้เธออยู่กับเขาดีกว่า ฉันไม่อยากจะเสียเวลา
มันไม่ใช่ที่ของฉัน

กลับก่อนนะ ตรงนี้คงไม่จำเป็นต้องมีฉัน
คืนนี้มันคงต้องจบแล้ว
ให้เธออยู่กับเขาดีกว่า ฉันไม่อยากจะเสียเวลา
และเสียน้ำตา ต่อหน้าของเธอและเขา

ใครจะมาเข้าใจฉันตอนนี้
ใครมันจะไปรู้ว่าการต้องเสียใจ
แต่เธอไม่รู้ มันน่าน้อยใจแค่ไหน

ฉันต้องขอกลับก่อนนะ ตรงนี้คงไม่จำเป็นต้องมีฉัน
คืนนี้มันคงต้องจบแล้ว ให้เธออยู่กับเขาดีกว่า
ฉันไม่อยากจะเสียเวลา
มันไม่ใช่ที่ของฉัน

กลับก่อนนะ ตรงนี้คงไม่จำเป็นต้องมีฉัน
คืนนี้มันคงต้องจบแล้ว
ให้เธออยู่กับเขาดีกว่า ฉันไม่อยากจะเสียเวลาและเสียน้ำตา
ต่อหน้าของเธอและเขา

ไม่อยากเสียน้ำตา ต่อหน้าของเธอและเขา",ink_waruntorn
เก่งแต่เรื่องคนอื่น (Expert),/music/thailyric/22102,"ใครจะมาปรึกษาให้ฉันแก้ปัญหา
จะไปยากอะไร อยากให้ช่วยก็บอก
ใครนั้นมีปัญหาเรื่องความรักแบบไหน
ฉันนั้นเซียนพอๆ กับพี่อ้อยพี่ฉอด

เขาไม่แคร์ เราก็ไม่ต้องสนใจ
เขาไม่ดี เราก็แค่ไปหาใหม่
เรื่องความรักจะยากอะไร
ก็ง่ายแค่นี้เอง

เก่งเหลือเกิน เก่งแต่เรื่องคนอื่น
เก่งเหลือเกิน ไปเรียนมาจากไหน
เก่งเหลือเกินไปสอนความรักให้ใคร
แต่เรื่องตัวเองไม่รอดสักที

เก่งเหลือเกิน เก่งแต่เรื่องคนอื่น
เก่งเหลือเกินพอเป็นเรื่องของเขา
เก่งเหลือเกินทำไม แล้วฉันยังเหงา
สุดท้ายก็พ่ายแพ้ทุกที

เก่งเหลือเกินไม่รู้เรียนมาจากไหน
โดยบังเอิญเกินที่ตัวเรานั้นจะไหว
ก็เหมือนเดิมไม่มีคนบอก Good night
เหงาเหมือนเคยไม่มีคนคุยกับไปร์ท

ให้คำปรึกษาซะดี
เเต่ฟงแต่เเฟนตัวเองไม่มี
มันยังไม่เจอสักที
เเต่ทีคนอื่นเเนะนำซะดี

ไม่เห็นแม้เงา ก็มีเเค่เรา
เห้ยมันยังไงหนิ
เรื่องอื่นช่ำชอง ที่ใจหมายปอง
มันกลับไม่มีอีก

ช่วยได้หมดถ้ามีปัญหา ปรึกษาปัญหาใจ
โทรมาให้ไวอย่ามัวมาช้า ไม่ว่าปัญหาใคร
เเต่เรื่องตัวเองนึกทียังล้า มันเป็นงั้นได้ไง
นั่งเหงาเที่ยงคืนจนไปถึงเช้า โอ๊ยผมจะบ้าตาย

นั่งอยู่ถึงตีสองยังไม่นอน
คนรู้ใจตอนนี้ก็ไม่มี
หรือเรื่องสาวเรานั้นคงต้องพอ
ไว้เธอมีใจค่อยฟอล IG

เขาไม่แคร์ เราก็ไม่ต้องสนใจ
เขาไม่ดี เราก็แค่ไปหาใหม่
เรื่องความรักจะยากอะไร
ก็ง่ายแค่นี้เอง

เก่งเหลือเกิน เก่งแต่เรื่องคนอื่น
เก่งเหลือเกิน ไปเรียนมาจากไหน
เก่งเหลือเกินไปสอนความรักให้ใคร
แต่เรื่องตัวเองไม่รอดสักที

เก่งเหลือเกิน เก่งแต่เรื่องคนอื่น
เก่งเหลือเกินพอเป็นเรื่องของเขา
เก่งเหลือเกินทำไม แล้วฉันยังเหงา
สุดท้ายก็พ่ายแพ้ทุกที

เขาไม่แคร์ เราก็ไม่ต้องสนใจ
เขาไม่ดี เราก็แค่ไปหาใหม่
เรื่องความรักจะยากอะไร
ก็ง่ายแค่นี้เอง

เก่งเหลือเกิน เก่งแต่เรื่องคนอื่น
เก่งเหลือเกิน ไปเรียนมาจากไหน
เก่งเหลือเกินไปสอนความรักให้ใคร
แต่เรื่องตัวเองไม่รอดสักที

เก่งเหลือเกิน เก่งแต่เรื่องคนอื่น
เก่งเหลือเกินพอเป็นเรื่องของเขา
เก่งเหลือเกินทำไม แล้วฉันยังเหงา
สุดท้ายก็พ่ายแพ้ทุกที",ink_waruntorn
ความลับมีในโลก (Secret),/music/thailyric/15379,"ใครบอกว่าความลับนั้นไม่มีอยู่จริง
ใครบอกว่าความลับสักวันต้องเปิดเผย
ไม่จริงเพราะความลับของฉันนั้นไม่เคย
ประกาศให้ใครรู้ ไม่เฉลยสักที

ยังเก็บไว้ นานแล้วเธอรู้บ้างไหม
ความลับยังคงมีอยู่ตรงนี้
แม้ว่าความจริงในหัวใจ

อยากให้เธอรู้ว่าฉันคิดยังไง
อยากให้เธอรู้ว่าฉันรักเธอแค่ไหน
แต่ก็กลัว เมื่อเธอได้ยิน ถ้าฉันพูดไป
จะต้องมานั่งเสียใจ รึเปล่า

ฉันคนเดียวที่รู้ ความลับมีอยู่จริง
บังเอิญว่าตัวฉัน นั้นไม่ชอบเปิดเผย
รอให้เธอมาค้น เธอนั้นก็ไม่เคย
เลยไม่ได้เฉลย จบแบบนี้ทุกที

ยังเก็บไว้ นานแล้วเธอรู้บ้างไหม
ความลับยังคงมีอยู่ตรงนี้
แม้ว่าความจริงในหัวใจ

อยากให้เธอรู้ว่าฉันคิดยังไง
อยากให้เธอรู้ว่าฉันรักเธอแค่ไหน
แต่ก็กลัว เมื่อเธอได้ยิน ถ้าฉันพูดไป
จะต้องมานั่งเสียใจ รึเปล่า

อยากให้เธอรู้ว่าฉันคิดยังไง
รู้ว่าฉันรักเธอแค่ไหน
แต่ก็กลัว เมื่อเธอได้ยิน ถ้าฉันพูดไป
จะต้องมานั่งเสียใจ รึเปล่า

อยากให้เธอรู้ว่าฉันคิดยังไง
อยากให้เธอรู้ว่าฉันรักเธอแค่ไหน
แต่ก็กลัว เมื่อเธอได้ยิน ถ้าฉันพูดไป
จะต้องมานั่งเสียใจ รึเปล่า
รึเปล่า รึเปล่า",ink_waruntorn
ดีใจด้วยนะ (Glad),/music/thailyric/15962,"ไม่คิดว่าจะได้พบ ไม่นึกว่าจะเจอ
เธอกับเขาที่ดูช่างเข้ากันเหลือเกิน
ไม่รู้ว่าควรไปทัก หรือว่าฉันไม่ควรเข้าไป
เพราะวันนี้ฉันและเธอไม่เหมือนเดิม

คำว่ารักที่สองเราเคยมีวันนั้น
แต่สุดท้ายก็จบลงความเสียใจ
และวันนี้ที่ต่างระหว่างฉันและเธอ
คือเธอได้พบเจอคนที่ดี

ดีใจด้วยนะ ที่เธอเริ่มต้นใหม่สักที
ดีใจด้วยนะ ที่พบเจอความสุขสักที
ต่างกันกับฉัน ที่ยังคงจมอยู่
เหมือนว่ายังมีเธออยู่
ฉันต้องการจะลืมมัน
เหมือนที่เธอลืมฉันวันนี้

ฉันได้ลองตามหา
ฉันพยายาม เปิดรับให้ใครสักคนได้เข้ามา
แต่ฉันก็ยังไม่พบ ฉันยังไม่เจอ
คนที่เข้าใจฉันได้ทุกอย่างเหมือนเธอ

คำว่ารักที่สองเราเคยมีวันนั้น
แต่สุดท้ายก็จบลงด้วยความเสียใจ
และวันนี้ที่ต่างระหว่างฉันและเธอ
คือเธอได้พบเจอคนที่ดี

ดีใจด้วยนะ ที่เธอเริ่มต้นใหม่สักที
ดีใจด้วยนะ ที่พบเจอความสุขสักที
ต่างกันกับฉันที่ยังคงจมอยู่
เหมือนว่ายังมีเธออยู่
ฉันต้องการจะลืมมัน
เหมือนที่เธอลืมฉัน

แต่ถ้าวันไหนที่ฉันนั้นได้เริ่มต้นใหม่
อยากให้เธอยินดีกับฉันเมื่อได้เจอ
แต่แค่วันนี้มันยังไม่ถึงวันของฉัน

ดีใจด้วยนะ ที่เธอเริ่มต้นใหม่สักที
ดีใจด้วยนะ ที่พบเจอความสุขสักที
ต่างกันกับฉันที่ยังคงจมอยู่
เหมือนว่ายังมีเธออยู่
ฉันต้องการจะลืมมันได้สักที

อยากจะมีวันที่ได้เริ่มต้นใหม่สักที
อยากจะมีวันที่พบเจอความสุขอย่างเธอสักที
ติดที่ฉันนั้นยังคงจมอยู่
เหมือนว่ายังมีเธออยู่
ฉันไม่พร้อมจะลืมเธอ
เหมือนที่เธอลืมฉัน วันนี้",ink_waruntorn
เปลี่ยน,/music/thailyric/12890,"ก็รู้เธอหวังอยากให้ฉันเปลี่ยน
เป็นฉันที่เธอต้องการ
แต่เธอไม่สนใจ สิ่งที่ฉันทำลงไป
ไม่เคยรู้ว่าทำไม เพราะอะไร

เธอขอให้ฉันเปลี่ยนแปลงทุกสิ่ง
ทิ้งทุกอย่างข้างใน
ต่อจากวันนี้ไปคงจะไม่มีวันใด
ที่ตัวฉันมีความหมาย

เธอไม่เคยรู้ สิ่งนั้นมีจริง
แต่กลับให้โยนทิ้ง
สิ่งที่ฉันนั้นต้องการคือสิ่งนี้ที่จะบอก

ฉันเป็นฉันอย่างนี้
สวรรค์คงไม่ปล่อยให้ฉันตาย
ให้ฉันเป็นตัวเองเถอะได้ไหม
ที่เราจะมีกัน

ฉันเป็นฉันอย่างนี้
ลองเข้ามารู้สึกถึงข้างใน
ที่ฉันมองดูเธอแบบที่ฉันเป็นอย่างนี้

และในตอนนี้โปรดฟังฉันก่อน
รู้ว่าเธอร้อนใจ แค่เพียงเธอรับฟัง
สิ่งที่ฉันทำลงไป
มีความหมายมากเพียงใดในจิตใจ

หากเธอยอมรับในทุกๆ อย่าง
ฉันว่ามีหนทาง ให้เราอยู่ร่วมกัน
และสวรรค์คงบันดาล
สิ่งที่ขวางความเข้าใจให้หมดไป

แต่เธอได้ยินไหม
แค่อยากให้เธอเข้าใจ
และรับรู้ในความหมาย

ว่าฉันเป็นฉันอย่างนี้
สวรรค์คงไม่ปล่อยให้ฉันตาย
ให้ฉันเป็นตัวเองเถอะได้ไหม
ที่เราจะมีกัน

ฉันเป็นฉันอย่างนี้
อยากลองเข้ามารู้สึกถึงข้างใน
ที่ฉันมอบให้เธอ
และที่ฉันเป็นอย่างนี้

แต่เธอได้ยินไหม
แค่อยากให้เธอเข้าใจ
และรับรู้ในความหมาย

ฉันเป็นฉันอย่างนี้
สวรรค์คงไม่ปล่อยให้ฉันตาย
ให้ฉันเป็นตัวเองเถอะได้ไหม
ที่เราจะมีกัน

ฉันเป็นฉันอย่างนี้
แค่อยากให้รู้สิ่งที่ฉันต้องการ
สิ่งที่ฉันต้องการ

สิ่งที่ฉันต้องการ สิ่งที่ฉันต้องการ
ก็รู้เธอหวังอยากให้ฉันเปลี่ยน",ink_waruntorn
เผลอหรือตั้งใจ,/music/thailyric/20784,"ก็ไม่รู้เธอเผลอหรือว่าที่จริงแล้วเธอน่ะตั้งใจ
ทุกรอยยิ้มท่าทางของเธอทำให้ฉันสงสัย
ก็ไม่รู้สิ ว่าเธอเผลอหรือเธอนั้นตั้งใจ
ยิ่งมองยิ่งหวั่นไหว

ทุกคำพูดทุกคำทักทาย ทุกข้อความที่ส่งให้มา
เหมือนเธอมีอะไรที่ซ่อนอยู่
ท่าทางเวลาเธอยิ้มมา ฉันว่ามันไม่ธรรมดา
เหมือนเธอมีบางอย่างอยากให้รู้

เริ่มไม่ชัวร์แล้ว ว่าเธอนั้นคิดอะไร
แต่ที่ชัวร์แล้ว คือฉันนั้นคิดไปไกล

ก็ไม่รู้เธอเผลอหรือว่าที่จริงแล้วเธอน่ะตั้งใจ
ทุกรอยยิ้มท่าทางของเธอทำให้ฉันสงสัย
ก็ไม่รู้สิ ว่าเธอเผลอหรือเธอนั้นตั้งใจ
ยิ่งมองยิ่งหวั่นไหว

เธอเผลอหรือเธอนั้นตั้งใจ
เธอเผลอหรือเธอนั้นตั้งใจ
เธอเผลอหรือเธอนั้นตั้งใจ
(เพราะในวันนี้ฉันคิดไปไกล)

ก็ไม่รู้เธอเผลอหรือว่าที่จริงแล้วเธอน่ะตั้งใจ
ทุกรอยยิ้มท่าทางของเธอทำให้ฉันสงสัย
ก็ไม่รู้สิ ว่าเธอเผลอหรือเธอนั้นตั้งใจ
ยิ่งมองยิ่งหวั่นไหว

ก็ไม่รู้เธอเผลอหรือว่าที่จริงแล้วเธอน่ะตั้งใจ
ทุกรอยยิ้มท่าทางของเธอทำให้ฉันสงสัย
ก็ไม่รู้สิ ว่าเธอเผลอหรือเธอนั้นตั้งใจ
ยิ่งมองยิ่งหวั่นไหว

ฉันยอมแพ้เลย",ink_waruntorn
ไม่อยากเหงาแล้ว (Call Me),/music/thailyric/17047,"ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี ถ้าเธอทักมาคงจะดี
ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี ถ้าเธอทักมาคงจะดี
ได้ไหมเธอ ได้ไหมเธอ

ก็มันชินกับการเป็นคนเหงาๆ
อ่านหนังสือ จิบกาแฟ กับดอกไม้เฉาๆ
อยู่คนเดียวไม่จำเป็นต้องให้ใครเข้ามา

เจ็บมาเยอะกับความรักจนฉันไม่กล้าหวัง
ผ่านเข้ามาและผ่านไปเป็นแบบนี้ซ้ำๆ
อยู่คนเดียวไม่จำเป็นต้องหาใครเข้ามา

แต่ทำไมวันนี้ฉันนั้นเปลี่ยนไป
ใจที่มันเคยเฉยชากลับหวั่นไหว
แค่สบตาเธอครั้งเดียว แค่ครั้งเดียว

ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี ถ้าเธอทักมาคงจะดี
ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี ถ้าเธอทักมาคงจะดี
ได้ไหมเธอ ได้ไหมเธอ

OH BABAY อยู่คนเดียวมาก็ตั้งนานแล้ว
ไม่ได้มีคุยด้วยนานแล้ว คำว่ารักมันเป็นอย่างไร
OH BABAY แต่อยู่คนเดียวแบบนี้ไม่เอาแล้ว
อธิษฐานบอกใครข้างบนนั้น ขอให้ได้เจอคนที่อยู่ในฝัน

แต่ทำไมวันนี้ฉันนั้นเปลี่ยนไป
ใจที่มันเคยเฉยชากลับหวั่นไหว
แค่สบตาเธอครั้งเดียว แค่ครั้งเดียว

ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี ถ้าเธอทักมาคงจะดี
ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี ถ้าเธอทักมาคงจะดี
ได้ไหมเธอ

ก็ไม่รู้ที่เธอสบตามันจะเกี่ยวกันไหม
ถ้าฉันทิ้งผ้าเช็ดหน้ามันจะโบราณไปไหมนะ
มันเหงาอะไรอย่างนี้ มันเหงาอะไรเบอร์นี้
ศูนย์แปดสี่เจ็ดสี่หนึ่งศูนย์ ตุ๊ด ตุ๊ด

ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี ถ้าเธอทักมาคงจะดี (ถ้าเธอทักมา)
ไม่อยากจะเหงาแล้ว ฉันไม่อยากจะเหงาแล้ว
ถ้าเธอได้รู้คงจะดี (ถ้าเธอได้รู้)
ถ้าเธอทักมาคงจะดี (ถ้าเธอทักมา)
ได้ไหมเธอ (ได้ไหมเธอ)

ไม่อยากอยู่แบบเหงาๆ",ink_waruntorn
