song_name,href,lyric,artist
เกิดมาเพื่อยอมเธอ,/music/thailyric/6241,"ฝืนกล้ำกลืนเก็บน้ำตา ปิดบังมันเอาไว้
แกล้งยิ้มให้เธอเข้าใจ ว่าทนได้อยู่
เก็บงำความเป็นจริงไว้ ไม่ให้เธอได้รู้
ว่าฉันจวนจะหยุดหายใจ

เพราะรักเธอจนหมดหัวใจ ให้เธอได้ทั้งนั้น
ปวดร้าวที่เธอหมดรักกัน แต่ฉันจะรับไว้
ไม่ว่ากันถ้าวันนี้ เธอจะมอบใจให้ใคร
ก็ให้มันเป็นไป

จะขอยอม ปล่อยมือของเธอให้ไปเจอรักใหม่
(ตามแต่ใจของเธอ) และจะไม่เรียกร้อง
ฉันเกิดมาเพื่อยอมเธอเสมอทั้งหัวใจ
ก็คงไม่เหลือคำใด นอกจากขอให้เธอโชคดี

ชีวิตที่เคยมีด้วยกัน มันคงจบตรงนี้
ถ้าเธอได้เจอทางที่ดี วันนี้จะทำใจ
ส่วนรักที่เธอให้กัน ฉันจะคิดว่าเป็นฝันไป
ก็ให้มันเป็นไป

จะขอยอม ปล่อยมือของเธอให้ไปเจอรักใหม่
(ตามแต่ใจของเธอ) และจะไม่เรียกร้อง
ฉันเกิดมาเพื่อยอมเธอเสมอทั้งหัวใจ
ก็คงไม่เหลือคำใด นอกจากขอให้เธอโชคดี

เมื่อเธอไม่เหลือฉันในหัวใจ
จะดึงดันรั้งเธอไปก็เท่านั้น
ยอมทนเพื่อให้เธอได้พบเจอคนที่ฝัน
แม้มันต้องเสียใจ ก็ไม่เป็นไร

จะขอยอม ปล่อยมือของเธอให้ไปเจอรักใหม่
(ตามแต่ใจของเธอ) และจะไม่เรียกร้อง
ฉันเกิดมาเพื่อยอมเธอเสมอทั้งหัวใจ
ถ้าเธอยืนยันว่าจะไป ถึงแม้ไม่เหลือใคร

จะขอยอม ปล่อยมือของเธอให้ไปเจอรักใหม่
(ตามแต่ใจของเธอ) และจะไม่เรียกร้อง
ฉันเกิดมาเพื่อยอมเธอเสมอทั้งหัวใจ
ก็คงไม่เหลือคำใด นอกจากขอให้เธอโชคดี

มันคงเป็นโชคชะตา ให้เกิดมาเพื่อยอมเธอ",instinct
ความจริงที่เจ็บปวด,/music/thailyric/8838,"ก็รู้ว่ารักกันแค่ไหนแต่รักที่มีเพียงหัวใจคงไม่พอ
ยิ่งฉันทำให้เธอต้องเฝ้ารอก็ยิ่งท้อใจ
เส้นทางของเรานั้นมันยังไกลเหมือนเคย

ที่ทำได้ก็เพียงแค่ฝันที่ดูไม่มีวันจะเป็นจริงได้เลย
มีแต่ความทุกข์ทนวกวนเช่นเคย
สุดท้ายก็ลงเอยกันที่น้ำตา

ตื่นขึ้นมาได้แล้วนะเรา
จะมัวแต่คอยเฝ้าฝันไปถึงไหน
ตื่นขึ้นมาได้แล้วหัวใจ
และเดินออกไปเผชิญความเป็นจริง
ที่เจ็บปวดและแสนเศร้า ว่าเราไม่ได้คู่กันเลย

ไม่อยากให้มันเป็นแบบนี้
ขอโทษนะคนดีแต่ไม่มีหนทางใด
ได้แต่ยื้อยุดกันทุกวันเรื่อยไป
แล้วเราก็เสียใจอย่างที่แล้วมา

ตื่นขึ้นมาได้แล้วนะเรา
จะมัวแต่คอยเฝ้าฝันไปถึงไหน
ตื่นขึ้นมาได้แล้วหัวใจ
และเดินออกไปเผชิญความเป็นจริง
ที่เจ็บปวดและแสนเศร้า ว่าเราไม่ได้คู่กัน

ไม่ใช่เธอ ไม่ใช่ฉัน เปิดใจแล้วยอมรับมัน
สักวันก็คงผ่านพ้นไป

ก็รู้ว่ารักกันแค่ไหน
แต่รักที่มีเพียงหัวใจคงไม่พอ

ตื่นขึ้นมาได้แล้วนะเรา
จะมัวแต่คอยเฝ้าฝันไปถึงไหน
ตื่นขึ้นมาได้แล้วหัวใจ
และเดินออกไปเผชิญความเป็นจริง
ที่เจ็บปวดและแสนเศร้า ว่าเราไม่ได้คู่กัน

ไม่ใช่เธอ ไม่ใช่ฉัน เปิดใจแล้วยอมรับมัน
สักวันก็คงผ่านพ้นไป",instinct
ความรักไม่มีที่ให้คำว่ากลัว,/music/thailyric/8610,"ฉันก็รู้ว่าฉันนั้นเก็บตัวและคิดมากไป
รู้ว่าฉันไม่พร้อมจะเปิดใจให้ใครเข้ามา
ปฏิเสธกับทุกๆ คนอยู่เสมอทุกเวลา
แล้ววันหนึ่งถึงรู้ว่า เธอคือคนนั้นที่เปลี่ยนแปลงฉันตลอดไป

ไม่รู้จริงๆ จะจบยังไง แต่ฉันจะลองเดินชนเข้าใส่
ต่อให้ใจต้องสลายในตอนสุดท้ายก็ตาม
ความรักชนะความกลัวในใจ
จะเลวร้ายหรืองดงาม ฉันต้องตัดสินใจ
เมื่อความรักไม่มีที่ให้คำว่ากลัว

ฉันก็รู้ว่าฉันต้องเสี่ยงเมื่อรักใครสักคน
รู้ว่าไม่ต้องคิดถึงเหตุผลเรื่องของหัวใจ
ช่วงเวลาที่ฉันมีเธอมีความหมายมากเพียงใด
ถึงต้องเจ็บสักเท่าไหร่
แต่ฉันจะลองเสี่ยงกับความรักดูสักครั้ง

ไม่รู้จริงๆ จะจบยังไง แต่ฉันจะลองเดินชนเข้าใส่
ต่อให้ใจต้องสลายในตอนสุดท้ายก็ตาม
ความรักชนะความกลัวในใจ
จะเลวร้ายหรืองดงาม ฉันต้องตัดสินใจ
เมื่อความรักไม่มีที่ให้คำว่ากลัว

ไม่รู้จริงๆ จะจบยังไง แต่ฉันจะลองเดินชนเข้าใส่
ต่อให้ใจต้องสลายในตอนสุดท้ายก็ตาม
ความรักชนะความกลัวในใจ
จะเลวร้ายหรืองดงาม ฉันต้องตัดสินใจ
เมื่อความรักไม่มีที่ให้คำว่ากลัว",instinct
ที่สุดในโลก,/music/thailyric/8774,"รู้ตัวหรือเปล่าว่าเธอโชคดี ที่เธอได้มีคนอย่างฉัน
ให้เธอทุกอย่างอย่างที่ไม่เคยจะมีใครที่ไหน
จะทุ่มเทให้ได้ยิ่งใหญ่เท่าฉัน
แค่บอกให้เธอได้เห็นได้ลองเข้าใจ
ให้รู้ว่าเป็นยังไง ถ้าเธอต้องเสียฉันไป

ที่จริงไม่อยากจะพูดเท่าไหร่ ว่าเธอควรขอบใจฉัน
ที่ยังเฝ้าทนอยู่เพื่อเธอมาก็ยังไม่ไปไหน
แม้มีคนที่ดีกว่าเธอตั้งมากมาย
คนที่สวยที่ใจอย่างนี้ใช่ว่าจะเจอได้ทุกวัน

หากเธอยังไม่เข้าใจ เกิดฉันเปลี่ยนไป
ยังไงก็ขออย่ามาโทษกัน

ในโลกนี้ ยังจะมีใครดีกว่าฉัน
คนที่ยังคอยบอกว่ารักเธอมากเท่าไร ฉันก็รักเธอยิ่งกว่าใคร
แต่ฉันรักเธอจนหมดใจ จะบอกว่าในโลกนี้ยังจะมีใครดีกว่าไหม
ไม่ต้องคอยไปเฝ้ามองที่ใครต่อไป ไม่ต้องมองให้มันเหนื่อยใจ
ฉันว่าเธอจะไปตามหาเท่าไหร่ก็ไม่เจอ

หากเธอยังไม่เข้าใจ เกิดฉันเปลี่ยนไป
ยังไงก็ขออย่ามาโทษกัน

ในโลกนี้ ยังจะมีใครดีกว่าฉัน
คนที่ยังคอยบอกว่ารักเธอมากเท่าไร ฉันก็รักเธอยิ่งกว่าใคร
แต่ฉันรักเธอจนหมดใจ จะบอกว่าในโลกนี้ยังจะมีใครดีกว่าไหม
ไม่ต้องคอยไปเฝ้ามองที่ใครต่อไป ไม่ต้องมองให้มันเหนื่อยใจ
ฉันว่าเธอจะไปตามหาเท่าไหร่ เท่าไหร่ ก็ไม่เจอ ก็ไม่เจอ

ไม่ต้องมองที่ใครต่อไป ไม่ต้องมองให้มันเหนื่อยใจ
ในโลกนี้คงไม่มีใครรักใครเท่าฉันรักเธอ เท่าฉันรักเธอ",instinct
เธอจะรักฉันได้ไหม,/music/thailyric/8469,"เธอน่ารักไม่ต้องสงสัย
คิดถึงทีไรก็เพ้อ
ก็เลยรักจนหมดหัวใจ
เป็นตายยังไงก็ต้องมีเธอ

เฝ้าแอบฝันไปไกลถึงไหน
ว่าเธอมีใจเสมอ
แต่ในความจริงมันจะเป็นได้ไหม
มีเพียงทางเดียวก็ต้องถามเธอ

คำว่ารักฉันพูดมาตลอดเลย
อย่างที่เธอเคยเคยได้รับฟัง
แต่เธอก็รู้ คนเรามันตบมือข้างเดียวไม่ดัง
ฉันเลยต้องมา มาขอความเมตตาสักครั้ง

เธอจะรักฉันได้ไหม ถ้าเธอยังไม่รักใคร
อยากให้เธอเปิดใจให้กัน
ขอสัญญาด้วยชีวิตฉัน
ว่าจะไม่ทำให้เธอต้องเสียใจ

ได้โปรดรักฉันได้ไหมขอร้อง
ไม่อยากต้องเห็นเธอเป็นของใคร
จะอยู่บนโลกนี้ยังไง
ถ้าไม่มีเธอเคียงข้างกัน

เธออย่านะ อย่าปล่อยให้ฉัน
เพ้อไปวันวันอย่างนี้
ช่วยเอามือเธอมาตบไปด้วยกัน
เราคงมีวันนั้นที่แสนดี

คำว่ารักฉันพูดมาตลอดเลย
อย่างที่เธอเคยเคยได้รับฟัง
แต่เธอก็รู้ คนเรามันตบมือข้างเดียวไม่ดัง
ฉันเลยต้องมา มาขอความเมตตาซักครั้ง

เธอจะรักฉันได้ไหม
ถ้าเธอยังไม่รักใคร
อยากให้เธอเปิดใจให้กัน
ขอสัญญาด้วยชีวิตฉัน
ว่าจะไม่ทำให้เธอต้องเสียใจ

ได้โปรดรักฉันได้ไหมขอร้อง
ไม่อยากต้องเห็นเธอเป็นของใคร
จะอยู่บนโลกนี้ยังไง
ถ้าไม่มีเธอเคียงข้างกัน

คำว่ารักฉันพูดมาตลอดเลย
อย่างที่เธอเคยเคยได้รับฟัง
แต่เธอก็รู้ คนเรามันตบมือข้างเดียวไม่ดัง
ฉันเลยต้องมา มาขอความเมตตาสักครั้ง

เธอจะรักฉันได้ไหม
ถ้าเธอยังไม่รักใคร
อยากให้เธอเปิดใจให้กัน
ขอสัญญาด้วยชีวิตฉัน
ว่าจะไม่ทำให้เธอต้องเสียใจ

ได้โปรดรักฉันได้ไหมขอร้อง
ไม่อยากต้องเห็นเธอเป็นของใคร
จะอยู่บนโลกนี้ยังไง
ถ้าไม่มีเธอเคียงข้างกัน

จะอยู่บนโลกนี้ยังไง
ถ้าไม่มีเธอมารักฉัน",instinct
เลิฟ ซิค (Love Sick),/music/thailyric/6252,"ยังคิดถึงคนใจร้าย คนที่ทำให้รักแล้วหายกันไป
พอฉันเผลอก็ขโมยหัวใจ
และก็ลืมกันไปไม่เคยหวนมา
ไม่เชื่ออีกแล้วที่เธอสัญญา
โกหกให้เสียน้ำตาทำไมไม่รู้

เอาไปหมดแล้ว ทั้งตัวทั้งหัวใจ
อยากจะร้องมันออกไป ให้ใครต่อใครเขาได้รู้

โอ๊ย โอ๊ย ฉันเพิ่งโดนทิ้ง
ไหนว่ารักกันจริงที่แท้ก็เป็นแค่ฝัน
โอ๊ย โอ๊ย ทำไมต้องหลอกฉัน
จำไว้เลยที่ทำกันไว้

ดื่มเข้าไปในคืนนี้ ให้มันลืมนาทีที่เคยรักกัน
มองไปเห็นคนเป็นร้อยพัน
ก็แอบไปคิดไปฝันว่าเธอนั้นยืนอยู่

ใครๆ ก็ร้อง ร้องเพลงกันไป
แต่ว่าฉันร้องไห้ทำไมไม่รู้
เธอเอาไปแล้ว ทั้งตัวทั้งหัวใจ
ฉันคงต้องรักเธอต่อไป ถึงแม้เธอไม่มีทางรู้

โอ๊ย โอ๊ย ฉันเพิ่งโดนทิ้ง
ไหนว่ารักกันจริงที่แท้ก็เป็นแค่ฝัน
โอ๊ย โอ๊ย ทำไมต้องหลอกฉัน
จำไว้เลยที่ทำกันไว้

โอ๊ย โอ๊ย ฉันเพิ่งโดนทิ้ง
ไหนว่ารักกันจริงที่แท้ก็เป็นแค่ฝัน
โอ๊ย โอ๊ย ทำไมต้องหลอกฉัน
จำไว้เลยที่ทำกันไว้

โอ๊ย โอ๊ย ฉันเพิ่งโดนทิ้ง
ไหนว่ารักกันจริงที่แท้ก็เป็นแค่ฝัน
โอ๊ย โอ๊ย ทำไมต้องหลอกฉัน
จำไว้เลยที่ทำกันไว้",instinct
เอามั้ย ?,/music/thailyric/8851,"รู้ว่าไม่ดีเท่าคนที่เธอ
ที่เธอเคยรักกัน
ฉันน่ะต้องฟังเธอพูดทุกวัน
มาบอกกับฉันทำไม

ฉันไม่ใช่คนบ้าความหลัง
ที่ยังไม่ลืมกันไปจากใจ
ก็ตัดสินไปว่าจะเลือกใคร
เอาแบบไหนรีบพูดมา

ถ้าฉันมันไม่ดีเหมือนเขาเธอจะไม่เอาก็ว่ามา
อย่าได้ค้าง อย่าได้คาในใจ
ไอ้ฉันมันก็มีแค่นี้ ถ้าเธอว่าดีก็อย่าช้า
ยังจะรั้ง ยังจะรออะไร

รีบตอบให้คิดสองนาที
ขอทีบอกกันให้รู้ไป
ได้โปรดจะรักใครก็เอาสักคนเถอะหนา

รู้ว่าต้องมีที่คิดถึงกัน
ก็คนเคยรักไม่โกรธไม่โทษเธอ
แต่ฉันไม่เข้าใจว่าเธอ
จะเอามาเปรียบกับฉันทำไม

ได้ยินแล้วเจ็บที่ใจฉันจะกลับไปดีกันอีกทีไหม
อยากให้เป็นยังไง ตอบให้ตรงหัวใจ
มันสงสัยรีบพูดมา

ถ้าฉันมันไม่ดีเหมือนเขาเธอจะไม่เอาก็ว่ามา
อย่าได้ค้าง อย่าได้คาในใจ
ไอ้ฉันมันก็มีแค่นี้ ถ้าเธอว่าดีก็อย่าช้า
ยังจะรั้ง ยังจะรออะไร

รีบตอบให้คิดสองนาที
ขอทีบอกกันให้รู้ไป
ได้โปรดจะรักใครก็เอา
ก็เอา ก็เอา ก็เอา เอาๆ สักคนเถอะหนา

แล้วคำว่ารักที่ให้กันอยู่ทุกวัน มันยังจริงไหม
ให้เธอยืนยันให้ฉันฟัง
ว่ารักนั้นพูดมาจากหัวใจ

จะยังมีกันและกันต่อไปไหม
อย่าต้องให้ผู้ชายแอบน้อยใจ
ใจก็มีให้เธอหมดแล้ว
ฉันไม่เคยจะให้ใคร

ตอบมาให้ไว จะได้ทำใจ
บอกได้ไหม
บอกได้ไหม รีบพูดมา

ถ้าฉันมันไม่ดีเหมือนเขา เธอจะไม่เอาก็ว่ามา
อย่าได้ค้าง อย่าได้คาในใจ
ไอ้ฉันมันก็มีแค่นี้ ถ้าเธอว่าดีก็อย่าช้า
ยังจะรั้ง ยังจะรออะไร

ถ้าฉันมันไม่ดีเหมือนเขา เธอจะไม่เอาก็ว่ามา
อย่าได้ค้าง อย่าได้คาในใจ
ไอ้ฉันมันก็มีแค่นี้ ถ้าเธอว่าดีก็อย่าช้า
ยังจะรั้ง ยังจะรออะไร

รีบตอบให้คิดสองนาที
ขอทีบอกกันให้รู้ไป
ได้โปรดจะรักใครก็เอาสักคนเถอะหนา",instinct
ขออยู่คนเดียว,/music/thailyric/6242,"อยากให้ถอยไป อยากให้ไกลกันสักพัก
ขอให้ถอยไป
อยากจะเว้นที่ว่างๆ ปล่ยอชีวิตให้ว่างๆ
โดยไม่ต้องคอยแคร์ ใครๆ

ไม่อยากได้ยินไม่อยากฟังใครอีกแล้ว
ขอให้เข้าใจ
ไม่อยากรับรู้ทุกสิ่ง อยากจะทิ้งทุกๆอย่าง
ไม่ได้หวังให้ใครมาเห็นใจ

อยากอยู่คนเดียว อยากขอลองคิดอะไร แค่เพียง คนเดียว
ปลดปล่อยชีวิตที่มัน หนักหนา..
อยากแหง๋นๆ ขึ้นมอง สุดฟ้า โฮ้ๆๆ โฮ
เพื่อให้น้ำตามันไหล ย้อนลงไป สุดจุดที่มันลึก.. ข้างในหัวใจ
(อย่าให้มันไหลเพื่อใครอีกเลย)
(ไม่ให้มันไหลเมื่อได้เจอกับเธอ)

สิ่งที่แล้วมาอยากปล่อยวางมันสักพัก ให้โล่งๆ ใจ
ให้บาดแผลที่ฉันเจ็บ ให้รอยร้าวที่หัวใจ
ให้มันลบ ให้มันเลือนหายไป

อยากอยู่คนเดียว อยากขอลองคิดอะไร แค่เพียง คนเดียว
ปลดปล่อยชีวิตที่มัน หนักหนา..
อยากแหง๋นๆ ขึ้นมอง สุดฟ้า โฮ้ๆๆ โฮ
เพื่อให้น้ำตามันไหล ย้อนลงไป สุดจุดที่มันลึก.. ข้างในหัวใจ
(อย่าให้มันไหลเพื่อใครอีกเลย)
(ไม่ให้มันไหลเมื่อได้เจอกับเธอ)

อยากอยู่คนเดียว อยากขอลองคิดอะไร แค่เพียง คนเดียว
ปลดปล่อยชีวิตที่มันหนักหนา
อยากแหง๋นๆ ขึ้นมอง สุดฟ้า โฮ้ๆๆ โฮ
เพื่อให้น้ำตามันไหล ย้อนลงไป สุดจุดที่มันลึก... ลึกสุดหัวใจ
ไม่ให้มันไหลเมื่อได้เจอกับเธอ

เก็บมันไว้ กดมันไว้ อย่าให้มันไหลเมื่อเจอเธอ
(สุดจุดที่มันลึก)
เก็บมันไว้ กดมันไว้..
เก็บมันไว้ กดมันไว้ อย่าให้มันไหลเมื่อเจอเธอ
(อย่าให้มันรู้ว่ายังรักเธอ เฮ้อ)
เก็บมันไว้ กดมันไว้ว่า อย่าให้รู้ว่ายังรัก.. เธอ",instinct
จากคนที่ยังรัก,/music/thailyric/6244,"ก็เก็บเอาไว้ไม่เคยให้ใครรู้ว่า
ยังคิดถึงแฟนเก่า
ยังคงจะเพ้อถึงเธออยู่ทุกคราว
ตั้งแต่จากกันวันนั้น
อยากจะลบหน้าเธอจากหัวใจ
แต่มันรู้ไม่มีวัน..
ต้องกอดหมอน..นอนทุกวัน..
หลอกตัวเองว่าคงไม่เป็นไร

ก็รู้..ตัวดี..ว่าไม่มีหนทางให้เธอนั้น..กลับมารัก
..แม้ทรมานต้องยอมให้เป็นไป..
คืนนี้..ต้องเหงาอีกแล้วจันทร์..ก็ได้แต่ทำใจ
ปล่อยมันช้ำไป..มันคงจะรับได้สักวัน

เธอคงนอนฝันไม่รับรู้ไม่สนใจไม่มีฉัน
ให้เธอ..โชคดีแล้วกัน..เขาดีกว่าฉันก็เข้าใจ
อยากบอกให้เธอนั้นได้รับได้รู้
คิดถึงเธอสุดหัวใจ
ไม่รู้..ว่าเธออยู่ไหน..แต่อยากให้เธอได้ฟัง

ก็ว่าจะโทรหาเธอจะดีมัย
ลองกี่ครั้งก็ไม่กล้า
ก็ใจมันรู้ว่าต้องมีน้ำตา
ถ้าเธออยู่กับคนนั้น
อยากจะสมน้ำหน้าตัวเองนัก
เก็บรักไว้ไม่ทัน
ไม่เห็น..ความสำคัญ..มันก็ถูกเขาต้องแย่งไป

ก็รู้..ตัวดี..ว่าไม่ใช่คนดีที่เธอ..
ก็ยอมรับ..มันคงจะลืมได้สักวัน..

เธอคงนอนฝันไม่รับรู้ไม่สนใจไม่มีฉัน..
ให้เธอ..โชคดีแล้วกัน..เขาดีกว่าฉันก้อเข้าใจ
อยากบอกให้เธอนั้นได้รับได้รู้คิดถึงเธอสุดหัวใจ
ไม่รู้..ว่าเธออยู่ไหน..
แต่อยากให้เธอได้ฟัง..จากคนที่ยังรัก

เธอนอนฝันไม่รับรู้ไม่สนใจไม่มีฉัน..
ให้เธอ..โชคดีแล้วกัน เขาดีกว่าฉันก็เข้าใจ",instinct
นับถอยหลัง,/music/thailyric/6247,"จะเสียน้ำตากันทำไม จะไปก็รีบไป ไม่ต้องเป็นห่วงฉัน
ไม่รั้งถ้าเธอจะลากัน เดาออกมาตั้งนาน ฉันพอจะเข้าใจ

ว่าเราคง ลงเอยที่ร้างลา เห็นเธอสบตากับเค้า ก็เข้าใจ
จบๆกันไปอย่าได้เสียเวลา โว้

ไปจากชีวิตของฉัน ได้โปรดอย่ามองกลับหลังมา
ไม่อยากให้เธอ  มาสบตาแล้วทำเสียใจ
ฉันเฝ้าคอยนับถอยหลัง
เมื่อหมดเวลาเธอก็ไป ทำใจไว้แล้วไม่ต้องมากลัวว่าใคร
จะมาเจ็บช้ำ โอ้ว

ไม่รักไม่ต้องมาเกรงใจ จะหวังดีแค่ไหน ก็คงจบแบบนี้
อย่าทำคร่ำครวญกันเสียที จะเป็นตายร้ายดี ขอเธออย่าสนใจ

เมื่อเรายังคง ลงเอยที่ร้างลา จะเร็วจะช้าเธอก็ทิ้งฉันไป
จนเก็บเอาใจไปให้ใครซะดีกว่า โว้

ไปจากชีวิตของฉัน ได้โปรดอย่ามองกลับหลังมา
ไม่อยากให้เธอ  มาสบตาแล้วทำเสียใจ
ฉันเฝ้าคอยนับถอยหลัง
เมื่อหมดเวลาเธอก็ไป ทำใจไว้แล้วไม่ต้องมากลัวว่าใคร
จะมาเจ็บช้ำ โอ้ว

ไปจากชีวิตของฉัน ได้โปรดอย่ามองกลับหลังมา
ไม่อยากให้เธอ มาสบตาแล้วทำเสียใจ
ฉันเฝ้าคอยนับถอยหลัง เมื่อหมดเวลาเธอก็ไป
ทำใจไว้แล้ว ไม่ต้องมากลัวฉันจะเสียใจ

ไปจากชีวิตของฉัน ได้โปรดอย่ามองกลับหลังมา
ไม่อยากให้เธอ  มาสบตาแล้วทำเสียใจ
ฉันเฝ้าคอยนับถอยหลัง
เมื่อหมดเวลาเธอก็ไป ทำใจไว้แล้วไม่ต้องมากลัวว่าใคร
จะมาเจ็บช้ำ โอ้ว",instinct
