song_name,href,lyric,artist
ความทรมานที่แสนมีความสุข,/music/thailyric/575,"เหตุบังเอิญของการพบกัน สองคนที่ต่างเดินทาง
แค่เพียงผ่านมาและเราก็แยกกันไป
ไม่ควรมีความหมาย
แต่บังเอิญเรื่องราวของเธอนั่นยังติดอยู่ในใจ
ไม่เคยจางหายจากใจฉัน นานแค่ไหน
ยังคงฝังอยู่ข้างใน เหมือนเดิมตลอดมา

ใจยังเฝ้าคอยที่จะได้พบกันอีกครั้ง
แต่มันไม่มีวันจะเป็นจริง
ใจมันล่องลอยย้อนกลับไปเห็นภาพเหล่านั้น
คิดถึงจะขาดใจ

และทั้งหมดคือ ความทรมานที่แสนมีความสุข
เหมือนทั้งหัวใจฉันไม่เคยมีทุกข์ เศร้าหมอง
หรือตรอมตรมจิตใจ เพียงแค่ได้นึกถึงช่วงเวลาที่
เราได้พบพานหัวใจกันครึ่งหนึ่ง
มีวันและคืนที่แสนงดงามและสดใส ให้ฝันตลอดไป
ความทรมานที่เต็มใจ จะยอมให้เธอ

เรื่องบังเอิญ ได้ทำให้ใจของฉันนั้นเปลี่ยนแปลงไป
ต้องทรมานสักแค่ไหน ก็จะฝัน
ก็จะนึกถึงแต่เธอ แม้จะต้องปวดใจ

ยังเฝ้าคอยที่จะได้พบกันอีกครั้ง
แต่มันไม่มีวันจะเป็นจริง
ใจมันล่องลอยย้อนกลับไปเห็นภาพเหล่านั้น
คิดถึงจะขาดใจ

และทั้งหมดคือ ความทรมานที่แสนมีความสุข
เหมือนทั้งหัวใจฉันไม่เคยมีทุกข์ เศร้าหมอง
หรือตรอมตรมจิตใจ เพียงแค่ได้นึกถึงช่วงเวลาที่
เราได้พบพานหัวใจกันครึ่งหนึ่ง
มีวันและคืนที่แสนงดงามและสดใส ให้ฝันตลอดไป
ความทรมานที่เต็มใจ จะยอมให้เธอ

และทั้งหมดคือ ความทรมานที่แสนมีความสุข
เหมือนทั้งหัวใจฉันไม่เคยมีทุกข์ เศร้าหมอง
หรือตรอมตรมจิตใจ เพียงแค่ได้นึกถึงช่วงเวลาที่
เราได้พบพานหัวใจกันครึ่งหนึ่ง
มีวันและคืนที่แสนงดงามและสดใส ให้ฝันตลอดไป
ความทรมานที่เต็มใจ จะยอมให้เธอ

จะยอมให้เธอ ทุกความทรงจำที่สดใส
หรือร้อนร้นเท่าไร ความทรมานที่เต็มใจ
จะยอมให้เธอ",klear
จะรักหรือจะร้าย,/music/thailyric/576,"กี่เรื่องราวที่ใครพูดกัน มันไม่เหมือนที่ฉันได้ยิน
เธอเป็นใคร เป็นแบบไหนไม่รู้เลย
ราวกับเธอช่างดีมากมาย แต่ก็กลายว่าไม่ใช่เลย
แปลกใช่ไหม คนที่เราเคยไว้ใจ

สิ่งที่ใครเห็น กับสิ่งที่เธอเป็น
ตกลงว่าเธอจะเอายังไงกับฉัน ไม่รู้เธอมาแบบไหน
เธอจะดีหรือเธอจะร้าย ก็ฉันยังไม่เข้าใจ
ว่าใจที่จริงของเธอต้องการสิ่งไหน

บอกฉันสักทีได้ไหม
เธอจะรักหรือเธอจะร้าย
อยากรู้ถึงความจริงข้างใน
ไม่อยากเสียใจ เสียน้ำตา

ก่อนที่จะเชื่อเธอหมดใจ ขอได้ไหมให้ฉันได้ฟัง
ความเป็นจริงที่ออกมาจากหัวใจ

สิ่งที่ใครเห็น กับสิ่งที่เธอเป็น
ตกลงว่าเธอจะเอายังไงกับฉัน ไม่รู้เธอมาแบบไหน
เธอจะดีหรือเธอจะร้าย ก็ฉันยังไม่เข้าใจ
ว่าใจที่จริงของเธอต้องการสิ่งไหน

บอกฉันสักทีได้ไหม
เธอจะรักหรือเธอจะร้าย
อยากรู้ถึงความจริงข้างใน
ไม่อยากเสียใจ เสียน้ำตา

ตกลงว่าเธอจะเอายังไงกับฉัน ไม่รู้เธอมาแบบไหน
เธอจะดีหรือเธอจะร้าย ก็ฉันยังไม่เข้าใจ
ว่าใจที่จริงของเธอต้องการสิ่งไหน

บอกฉันสักทีได้ไหม
เธอจะรักหรือเธอจะร้าย
อยากรู้ถึงความจริงข้างใน
ไม่อยากเสียใจ เสียน้ำตา",klear
แด่เธอที่รัก,/music/thailyric/578,"เหลือเพียงความรัก ที่ไม่มีเธอแล้ว
คิดถึงเธอ มากมายเท่าไหร่ ก็ไม่มีวันได้พบเจอ
กลับมีเหลือเพียงตัวฉัน กับใจที่มันแทบสลาย

เธอทนทุกข์ใจ ทรมานและต้องอ้างว้าง
ปวดร้าวมากเท่าไร ฉันไม่เคยรู้เลย
เธอซ่อนน้ำตา ไว้ข้างในไม่ให้ใครเห็น
เธอเข้มแข็งอย่างนั้น ทั้งหมดเพื่อฉัน

ฉันเพิ่งได้รับรู้ความจริงที่เป็น ที่เธอแอบเก็บไว้
ฉันเพิ่งรู้เมื่อวันที่เธอจากไป มันสายไป

เหลือเพียงความรัก ที่ไม่มีเธอแล้ว
คิดถึงเธอมากมายเท่าไหร่ ก็ไม่มีวันได้พบเจอ
กลับมีเหลือเพียงตัวฉัน กับใจที่มันแทบสลาย
ใช้ชีวิตทุกวันที่มี เพื่อคิดถึงเธอตลอดไป

ฉันไม่เคยลืม สัมผัสนั้นที่เธอกอดฉัน
และพูดว่ารักกัน เท่าชีวิตของเธอ
ฉันจำได้ดี คำสุดท้ายที่ฉันได้ยิน
คือพรุ่งนี้เจอกัน เราจะเจอกัน

ฉันเพิ่งรู้ว่ามันคือคำร่ำลา ที่เธอให้กับฉัน
และพรุ่งนี้ที่เธอสัญญาต่อกัน มันไม่มี

เหลือเพียงความรัก ที่ไม่มีเธอแล้ว
คิดถึงเธอมากมายเท่าไหร่ ก็ไม่มีวันได้พบเจอ
กลับมีเหลือเพียงตัวฉัน กับใจที่มันแทบสลาย
ใช้ชีวิตทุกวันที่มี เพื่อคิดถึงเธอตลอดไป

เพียงต้องการ อยากเอ่ยคำลากับเธอซักวินาที
พอให้ฉันได้มองแววตา สุดท้ายของเธอคนดี
ยอมทั้งนั้นแค่เพียงให้ฉัน ได้กอดเธอเอาไว้ตรงนี้
จะย้ำเตือนกับเธอ ว่ารักเธอจนนาทีสุดท้าย

เสียงหัวใจร่ำร้องเท่าไหร่ เธอก็ไม่มีวันหวนคืน
มีเพียงฉันที่บอบช้ำ กับใจที่มันแทบสลาย
ใช้ชีวิตทุกวันที่มี เพื่อรักแค่เธอตลอดไป
แด่เธอที่รัก",klear
นาทีสุดท้าย,/music/thailyric/579,"รู้ตัวดีว่าฉันคนนี้มันไม่มีค่าอะไรให้รัก
ก็เพราะตอนเธอให้รักฉัน ฉันไม่ทันได้เอาใจใส่
ทำเธอเสียใจไม่เคยจะสน ละเลยเหมือนคนไม่ใช่ที่รัก
วันนี้เธอเลยไม่รักฉัน และกำลังจะเดินจากฉันไป

ฉันคงไม่มีสิทธ์ จะขอร้องเธอให้เหมือนเดิม
และคงไม่อาจ จะเหนี่ยวรั้งเธอไม่ให้ไปจากฉัน

แต่ขอให้ฉันได้ทำนาทีสุดท้าย
ก่อนปล่อยให้เรื่องรักเราวันนี้มันเลือนหาย
สร้างความทรงจำที่ดีลบล้างความผิดมากมาย
กลบภาพเลวร้ายที่ฉันทำกับเธอ

ก่อนที่จะมีเพียงฉันลำพังคนเดียวตรงนี้
และก่อนไม่มีคนเดิมคนดีให้มาพบเจอ
อยากบอกว่าฉันโชคดีที่สุด แม้เสียใจเท่าไหร่
อย่างน้อยเคยมีเธอ เคยมีเวลาได้ชื่นใจ

มันคงจะมีสักคนหนึ่ง
และคงเป็นคนที่ดีกว่าฉัน
ไม่ต้องลังเลที่จะรักกัน ส่วนตัวฉัน
คงยาวนานกว่าจะได้พบสักคนที่ดีอย่างเธอ

แต่ขอให้ฉันได้ทำนาทีสุดท้าย
ก่อนปล่อยให้เรื่องรักเราวันนี้มันเลือนหาย
สร้างความทรงจำที่ดีลบล้างความผิดมากมาย
กลบภาพเลวร้ายที่ฉันทำกับเธอ

ก่อนที่จะมีเพียงฉันลำพังคนเดียวตรงนี้
และก่อนไม่มีคนเดิมคนดีให้มาพบเจอ
อยากบอกว่าฉันโชคดีที่สุด แม้เสียใจเท่าไหร่
อย่างน้อยเคยมีเธอ เคยมีเวลาได้ชื่นใจ

ได้รักคนอย่างเธอ เคยมีเวลาได้ชื่นใจ",klear
ไบร์ตเทอร์ เดย์ (Brighter Day),/music/thailyric/580,"อาจยังไม่ลืมที่เคยเจ็บช้ำ
อาจยังระทมทุกข์กับความหลัง
อาจจะยังจำฝังใจ

ต่อให้ใครๆ เฝ้าเตือนเท่าไร
ก็ยังคงนอนร้องไห้ฟูมฟาย
จวบจนวันหนึ่งถึงได้เข้าใจ

คร่ำครวญต่อไปแล้วได้อะไร ทุกข์ทนเพื่อใคร
เรื่องเจ็บปวด ร้าวรานในวันเก่า
จะเศร้าใจไปทำไม สุดท้ายก็ลืม
ลืมหมดจากหัวใจ

วันนี้ยังทรมาน แต่น้อยลงกว่าเมื่อวานใช่ไหม
และวันหนึ่งมันก็คงจางหายไป
We will find a brighter day

เจ็บจนตัวเองแทบหมดความหมาย
เจ็บมันเข้าไปแทบเป็นแทบตาย
เจ็บจนมันชาทั้งใจ เจ็บอีกไม่นานสักวันก็ลืม
เจ็บจนพอใจสักวันก็หาย เจ็บมาจนพอเสียที

คร่ำครวญต่อไปแล้วได้อะไร ทุกข์ทนเพื่อใคร
เรื่องเจ็บปวด ร้าวรานในวันเก่า
จะเศร้าใจไปทำไม สุดท้ายก็ลืม
ลืมหมดจากหัวใจ

วันนี้ยังทรมาน แต่น้อยลงกว่าเมื่อวานใช่ไหม
และวันหนึ่งมันก็คงจางหายไป
We will find a brighter day

Rap

วันที่ดีๆ ไม่ได้มีทุกวัน
ตัวฉันนั้นก็รู้ว่า คงต้องมีสักวัน
ที่อาจมีน้ำตา ที่อาจเสียน้ำตา
ความรักเราหยุด มันสะดุดอาจจะมีคลุกคลาน

คิดว่าโชคดี โชคดีไปละกัน
ความรักมันไม่ลงตัวก็ยังดีที่รู้ทัน
จะบอกว่าฉันต้องไม่ตาย ก็บอกว่าเรายังไม่ตาย
สิ่งที่เจอในวันนี้มันไม่ใช่สิ่งสุดท้าย

ลืมเรื่องราวไม่ดี เลิกร้องไห้สักที
เริ่มต้นกับวันที่ดี
ลืมเรื่องราวไม่ดี เลิกร้องไห้สักที
เริ่มต้นใหม่กับวันที่ดี

เรื่องเจ็บปวด ร้าวรานในวันเก่า
จะเศร้าใจไปทำไม สุดท้ายก็ลืม
ลืมหมดจากหัวใจ

วันนี้ยังทรมาน แต่น้อยลงกว่าเมื่อวานใช่ไหม
และวันหนึ่งมันก็คงจางหายไป
และสุดท้ายเราก็ลืมหมดหัวใจ
We will find a brighter day",klear
รักไม่ต้องการเวลา,/music/thailyric/581,"ฉันคิดว่ารักมันคือความผูกพัน
คิดว่ารักแท้ต้องเดินผ่านวันและเวลา
ยิ่งเนิ่นนานนานไปเท่าไร ความรักยิ่งมีค่า
ที่ฉันรู้ที่เคยฝัน รักที่ฉันเคยเข้าใจ

ไม่คิดไม่ฝันเมื่อเธอผ่านเข้ามา
เหมือนว่าสายตาฉันเองมองไม่เห็นใครๆ
หยุดที่เธอแค่เพียงสบตา และวินาทีนั้น
โลกทั้งโลกหยุดเคลื่อนไหว ท้องฟ้ากลับสดใส

ลมหายใจ เหมือนหยุดไปในห้วงนาทีนี้
เช่นหัวใจ ลอยหลุดไปทันทีที่สบตา
เธอหยุดยั้งวันเวลา แค่เราได้พบกันในวันนี้
แค่พบเจอกับเธอ

ฉันเพิ่งเข้าใจว่ารักเป็นอย่างนี้
ฉันเพิ่งเข้าใจเมื่อได้มาเจอด้วยตัวเอง
เสี้ยวนาทีก็มีความหมาย เปลี่ยนโลกได้ทั้งใบ
ฉันเพิ่งรู้ในวันนี้ รักไม่ต้องการเวลา

ลมหายใจ เหมือนหยุดไปในห้วงนาทีนี้
เช่นหัวใจ ลอยหลุดไปทันทีที่สบตา
เธอหยุดยั้งวันเวลา แค่เราได้พบกันในวันนี้
แค่พบเจอกับเธอ ก็รักเธอ ฉันรักเธอ

ลมหายใจ เหมือนหยุดไปในห้วงนาทีนี้
เช่นหัวใจ ลอยหลุดไปทันทีที่สบตา
เธอหยุดยั้งวันเวลา แค่เราได้พบกันในวันนี้
แค่พบเจอกับเธอ

เหมือนหัวใจ เหมือนหยุดไปในห้วงเวลานี้
เมื่อพบเธอ ความรักที่เคยเข้าใจก็เปลี่ยนไป
ไม่ต้องใช้วันเวลา แค่เราได้พบกันในวันนี้
แค่พบเจอกับเธอ ก็รักเธอ ฉันรักเธอ",klear
Move On,/music/thailyric/18701,"เขาทิ้งกันไปตั้งนานแล้ว
มันติดที่ฉันนี่แหละ ฉันนี่แหละ ยังไม่ไปไหน
ยังวนกับ รักที่จาก รักที่จากไป
ยังเดินกลับไปที่เก่า วนเข้าไป วนเข้าไป

ไม่ต้องไปหาพวกข้ออ้าง อ้าง อะไรอีกแล้ว
ไม่ต้องไปหาพวกข้ออ้าง อ้าง เขาแค่ไม่รัก
ที่จริงตัวเขาก็ชัดเจน แต่เรามันรับไม่ได้เอง

Move On move on
Move จากเขาไปสักที
จำเอาไว้ว่าเขาไม่ได้รัก พอเหอะ
Move on move on
Move จากเขาไปสักที
ท่องเอาไว้จะไม่กลับไปหาเขาอีก
Ah ah ah ah ah ah ah พอเหอะพอ
Ah ah ah ah ah ah ah พอเหอะพอ

เขา Move on ไปตั้งนานแล้ว
มันติดที่ฉันนี่แหละ ฉันนี่แหละ ยังไม่ไปไหน
ได้ยินว่า เขามีใหม่ ไปตั้งนานแล้ว
มันคงจะถึงเวลา ฉันต้องไป ต้องไปต่อ

ไม่ต้องไปหาพวกข้ออ้าง อ้าง อะไรอีกแล้ว
ไม่ต้องไปหาพวกข้ออ้าง อ้าง เขาแค่ไม่รัก
ที่จริงตัวเขาก็ชัดเจน แต่เรามันรับไม่ได้เอง

Move on move on
Move จากเขาไปสักที
จำเอาไว้ว่าเขาไม่ได้รัก พอเหอะ
Move on move on
Move จากเขาไปสักที
ท่องเอาไว้จะไม่กลับไปหาเขาอีก
Ah ah ah ah ah ah พอเหอะพอ
Ah ah ah ah ah  ah พอเหอะพอ

ครั้งหนึ่งมันไม่ถึงตาย 
แต่หลายครั้งเกินไปใครจะทนไหว
อีกครั้งหนึ่งอาจจะถึงตาย

เราโคตรรักเขาเลยนะ 
แต่เราคงกลับไปเจ็บแบบนั้นไม่ไหวแล้วว่ะ

Move on move on  
Move จากเขาไปสักที
จำเอาไว้ว่าเขาไม่ได้รัก พอเหอะ
Move on move on   
Move จากเขาไปสักที
ท่องเอาไว้จะไม่กลับไปหาเขา

Move on move on  
Move จากเขาไปสักที
จำเอาไว้ว่าเขาไม่ได้รัก พอเหอะ
Move on move on  
Move จากเขาไปสักที
ท่องเอาไว้จะไม่กลับไปหาเขาอีก
Ah ah ah ah ah ah พอเหอะพอ
Ah ah ah ah ah ah พอเหอะพอ",klear
Rain Song,/music/thailyric/18706,"แอบไปดูรูปเธอ เธอก็ดูเหมือนเดิม
ชีวิตเหมือนเดิม มีรอยยิ้มเดิมที่ฉันคุ้นตา
ต่างตรงที่ฉันเอง ไม่อยู่ตรงนั้นเหมือนที่แล้วมา
ไม่เป็นส่วนหนึ่งในชีวิตของเธออีกแล้ว

คืนนี้มีฝนโปรย นั่งคิดถึงเรื่องราว
สิ่งที่สัญญากันในวันเก่ายังดังชัดเจน
ทำได้แค่รู้สึก เมื่อความเป็นจริงฉันไม่รู้เลย
ว่าเธอจะเป็นอย่างไรในตอนนี้

เธอไปอยู่ที่ไหน พูดคุยอยู่กับใคร
เธอไปมีรอยยิ้ม หัวเราะอยู่ข้างใคร
เธอที่ฉันรู้จัก กลายไปเป็นของใคร
เธอจะรู้ไหมเมื่อคืนยังฝันถึงเธอ

วันที่อากาศหนาวเธอนอนกอดใคร
วันที่เธอหวั่นไหวนึกถึงใครหรือเธอ
วันหนึ่งเคยรักกัน แปรเปลี่ยนเป็นร้างไกล
เธอจะรู้ไหมว่าฉันยังรักเธอแค่ไหน

เธอไปอยู่ที่ไหน พูดคุยอยู่กับใคร
เธอไปมีรอยยิ้ม หัวเราะอยู่ข้างใคร
เธอที่ฉันรู้จัก กลายไปเป็นของใคร
เธอจะรู้ไหมเมื่อคืนยังฝันถึงเธอ

วันที่อากาศหนาวเธอนอนกอดใคร
วันที่เธอหวั่นไหวนึกถึงใครหรือเธอ
วันหนึ่งเคยรักกัน แปรเปลี่ยนเป็นร้างไกล
เธอจะรู้ไหมว่าฉันยังรักเธอ แค่ไหน",klear
ถ้าฉันเป็นแม่เธอ,/music/thailyric/17661,"เหมือนว่าเราแปลงร่างเมื่อเรา Online
การ Sign in เปลี่ยนเราเป็นคนร้ายๆ
อะไรผิดหูอ่านดูใจขึ้นง่ายๆ
เก่งกับคนไม่รู้จัก
เปลี่ยนคนน่ารักเป็นอันธพาล

ฉันก็ไม่รู้ว่าฉันไปทำอะไร
ให้เธอโกรธเคืองด่ากันด้วยคำร้ายๆ
แค่เพียงผ่านจอทำไมเกลียดกันง่ายๆ
สนุกนิ้วพิมพ์ใส่
จะเคยคิดไหมว่าฉันเป็นใคร

ถ้าฉันเป็นแม่เธอจะทำ เธอจะทำไหม
ถ้าเป็นที่รัก เธอจะทำไหม
ถ้ารู้จักกันขึ้นมา เธอจะว่าไง
ถ้าเขาเป็นพ่อเธอจะทำ เธอจะทำไหม
ถ้าเป็นที่รัก เธอจะทำไหม
ถ้าเจอตัวจริงต่อหน้า เธอจะว่าไง

จาดั้ด จาดั้ด จั๊ดจั้ดจั้ดจัด เธอจะว่าไง
จาดั้ด จาดั้ด จั๊ดจั้ดจั้ดจัด เธอจะว่าไง

โลกบนนั้นบางครั้งน่ากลัวเกินไป
ความสะใจชั่วคราวสร้างความเสียหาย
คนหนึ่งคนอีกด้านก็มีหัวใจ
แค่ลองคิดมองใหม่
ลองคิดว่าเขาเป็นใครบางคน ถ้า

ถ้าเขาเป็นแม่เธอจะทำ เธอจะทำไหม
ถ้าเป็นที่รัก เธอจะทำไหม
ถ้ารู้จักกันขึ้นมา เธอจะว่าไง
ถ้าเขาเป็นพ่อเธอจะทำ เธอจะทำไหม
ถ้าเป็นที่รัก เธอจะทำไหม
ถ้าเจอตัวจริงต่อหน้า เธอจะว่าไง

จาดั้ด จาดั้ด จั๊ดจั้ดจั้ดจัด เธอจะว่าไง
จาดั้ด จาดั้ด จั๊ดจั้ดจั้ดจัด เธอจะว่าไง  กล้าไหม

ถ้าฉันเป็นแม่เธอจะทำ เธอจะทำไหม
ถ้าเป็นที่รัก เธอจะทำไหม
ถ้ารู้จักกันขึ้นมา เธอจะว่าไง
ถ้าเขาเป็นพ่อเธอจะทำ เธอจะทำไหม
ถ้าเป็นที่รัก เธอจะทำไหม
ถ้าเจอตัวจริงต่อหน้า เธอจะว่าไง

ถ้าเขา ถ้าเขา นั้นเป็นแม่เธอ เธอจะว่าไง
ถ้าเขา ถ้าเขา นั้นเป็นพ่อเธอ เธอจะว่าไง
ถ้าเขา ถ้าเขา นั้นเป็นแฟนเธอ เธอจะว่าไง
ถ้าเขา ถ้าเขา นั้นเป็นเพื่อนเธอ เธอจะว่าไง กล้าไหม",klear
ที่ปลอดภัย,/music/thailyric/18707,"เธออ่อนแอ ได้เลย ไม่ต้องฝืนใจ
อยากจะร้อง ร้องไป ตรงนี้ปลอดภัย
ถ้าหมดแรง ถ้าเหนื่อย อ่อนล้า ทุกข์ใจ

จะอยู่คอยรับฟัง ขอนั่งข้างเธอแล้วผ่านมันไปพร้อมกัน

ร้องไห้ไปเถอะนะ อย่าบังคับหัวใจ
ไม่ต้องแข็งใจ ถ้าทนไม่ไหว
ฉันนั่งอยู่ตรงนี้ จะดูแลให้ข้ามไป ถึงวันใหม่
ไม่มีทางทอดทิ้งเธอไป
จับมือเธอข้ามพ้นคืนวันโหดร้าย

เมื่อเหตุการณ์ร้ายแรงจนเกินอธิบาย
ไม่มีคำพูดใด เอาไว้ ปลอบใจ
จะกอดเธอให้นาน ในความเงียบงัน

จะไม่ถามสักคำ ขอนั่งข้างเธอแล้วผ่านมันไปพร้อมกัน

ร้องไห้ไปเถอะนะ อย่าบังคับหัวใจ
ไม่ต้องแข็งใจ ถ้าทนไม่ไหว
ฉันนั่งอยู่ตรงนี้ จะดูแลให้ข้ามไป ถึงวันใหม่
ไม่มีทางทอดทิ้งเธอไป
จับมือเธอข้ามพ้นคืนวันโหดร้าย",klear
