song_name,href,lyric,artist
คนของเธอ,/music/thailyric/765,"ไม่ต้องบอกฉัน ถึงวันที่เลยผ่าน ไม่ต้องบอกฉันว่าเคยมีใครคนไหนยังไง
ถ้าเผื่อฉันเผลอ บังเอิญฉันถามเธอไป เธอก็ไม่ต้องตอบฉันเลย

แต่ฉันคนนี้ ก็มีที่พลาดผิด ใช่ว่าชีวิตจะดีจะงามซักเท่าไร
ไม่อยากให้ถาม มันไม่น่ารู้เท่าไหร่ ไม่ใช่เรื่องจำเป็นของเรา

วันวานยังคืนย้อนมาไม่ได้ และวันพรุ่งนี้ยังไม่รู้
ฉันพร้อมจะอยู่ ฉันพร้อมจะตาย เพื่อรักคำเดียว

ไม่ว่าเธอจะเคยเป็นไคร จะผ่านอะไรมา ขอจงอย่าเป็นกังวล นี่คือคนของเธอ
ไม่ว่ามันจะเกิดอะไร ต่อจากนี้ไป ฉันจะอยู่ดูแลเธอ (ด้วยคำว่ารักด้วยใจ/จะรักเพียงเธอ)

ไม่ต้องบอกฉัน ถึงวันที่เลยผ่าน ไม่ต้องบอกฉันว่าเคยมีใครคนไหนยังไง
แค่บอกว่ารัก แค่เธอรักฉันง่ายๆ ฉันต้องการแค่ใจของเธอ

วันวานยังคืนย้อนมาไม่ได้ และวันพรุ่งนี้ยังไม่รู้
ฉันพร้อมจะอยู่ ฉันพร้อมจะตาย เพื่อรักคำเดียว


ไม่ว่าเธอจะเคยเป็นไคร จะผ่านอะไรมา ขอจงอย่าเป็นกังวล นี่คือคนของเธอ
ไม่ว่ามันจะเกิดอะไร ต่อจากนี้ไป ฉันจะอยู่ดูแลเธอ (ด้วยคำว่ารักด้วยใจ/จะรักเพียงเธอ

ไม่ว่าเธอจะเคยเป็นไคร จะผ่านอะไรมา ขอจงอย่าเป็นกังวล นี่คือคนของเธอ
ไม่ว่ามันจะเกิดอะไร ต่อจากนี้ไป ฉันจะอยู่ดูแลเธอ (ด้วยคำว่ารักด้วยใจ/จะรักเพียงเธอ


ไม่ว่าเธอจะเคยเป็นไคร จะผ่านอะไรมา ขอจงอย่าเป็นกังวล นี่คือคนของเธอ
ไม่ว่ามันจะเกิดอะไร ต่อจากนี้ไป ฉันจะอยู่เคียงข้างเธอ เป็นคนรักเธอตลอดไป",maew_jirasak
คือฉันรักเธอ,/music/thailyric/768,"ฉันก็ไม่รู้ว่าเธอจะหายเคืองกันหรือยัง ยินดีต้อนรับกันอยู่หรือเปล่า
จากวันที่เธอผิดใจกับฉัน ที่ไม่ได้เรื่องได้ราว รู้สึกดีกว่าเก่าบ้างหรือยัง

ฉันรู้แค่ฉันมันมีแต่เฉาลงไปทุกที ไม่ดีไม่งามเลยซักอย่าง
อยู่ไม่ไหวมันไปไม่เป็น กับชีวิตครึ่งๆกลางๆ ทั่งที่คำบางคำยังค้างใจ

คือฉันรักเธอ ฉันรักเธอ ก็เหมือนที่เธอเคยบอกว่าอยากได้ยินทุกวัน
คือฉันรักเธอ และฉันรักเธอ ก็เหมือนที่เธอเคยบอกกัน ไม่รู้ฉันจะได้ยินมันอีกไหม

ฉันก็ไม่รู้ว่าเธอจะคิดอภัยหรือยัง ดีกันอย่างเดิมจะได้หรือเปล่า
ต่อจากนี้จะเป็นอย่างไร จะมีหรือว่าไม่มีเรา ฉันก็เป็นอย่างเก่าของฉันไป

คือฉันรักเธอ ฉันรักเธอ ก็เหมือนที่เธอเคยบอกว่าอยากได้ยินทุกวัน
คือฉันรักเธอ และฉันรักเธอ ก็เหมือนที่เธอเคยบอกกัน ไม่รู้ฉันจะได้ยินมันอีกไหม


ก็เหมือนที่เธอเคยบอกกัน ไม่รู้ฉันจะได้ยินมันอีกไหม",maew_jirasak
ทางใครทางมัน,/music/thailyric/776,"จบไปแล้วให้แล้วกันไปเลย ให้ถือว่าลงเอยกันแค่นี้
นี่คือฉันไม่เห็นจะมีดี เธอไม่มีอะไรจะต้องเสียดาย

ถามจริงๆ เธอเป็นอะไร นึกยังไงมาเป็นห่วงกัน
นี่ฉันมีค่าตั้งแต่เมื่อไร ฉันและเธอมันคนละทาง
อย่าเสียเวลาทำความเข้าใจ อย่ามัวมาเยื่อใย กับคนๆ นี้

อย่าห่วงว่าฉันจะเป็นจะตาย ห่างกันไว้ยิ่งไกลก็ยิ่งดี
อย่างวันนั้นทิ้งกันอีกที ไม่มีปัญหาอะไรใช่ไหม
อยากให้ซึ้ง ให้คนมันตื้นตัน บอกกับฉันสักคำให้ชื่นใจ
จากวันนี้จนวันสุดท้าย จะไม่ย้อนคืนมาอีกเลย
ทางใครก็ทางมัน

จบไปแล้ว ขอร้องให้เธอลืม ไม่เหลืออะไรเลยจะได้ไหม
ไม่ต้องรัก เพราะฉันไม่มีใจ ฉันไม่มีอะไรที่เธอต้องการ

ถามจริงๆ เธอเป็นอะไร นึกยังไงมาเป็นห่วงกัน
นี่ฉันมีค่าตั้งแต่เมื่อไร ฉันและเธอมันคนละทาง
อย่าเสียเวลาทำความเข้าใจ อย่ามัวมาเยื่อใย กับคนๆ นี้

อย่าห่วงว่าฉันจะเป็นจะตาย ห่างกันไว้ยิ่งไกลก็ยิ่งดี
อย่างวันนั้นทิ้งกันอีกที ไม่มีปัญหาอะไรใช่ไหม
อยากให้ซึ้ง ให้คนมันตื้นตัน บอกกับฉันสักคำให้ชื่นใจ
จากวันนี้จนวันสุดท้าย จะไม่ย้อนคืนมาอีกเลย
ทางใครก็ทางมัน

อย่าห่วงว่าฉันจะเป็นจะตาย ห่างกันไว้ยิ่งไกลก็ยิ่งดี
อย่างวันนั้นทิ้งกันอีกที ไม่มีปัญหาอะไรใช่ไหม
อยากให้ซึ้ง ให้คนมันตื้นตัน บอกกับฉันสักคำให้ชื่นใจ
จากวันนี้จนวันสุดท้าย จะไม่ย้อนคืนมาอีกเลย
ทางใครก็ทางมัน

ฮือ...ทางใครก็ทางมัน",maew_jirasak
มุมมืด,/music/thailyric/786,"เขาและเธออยู่ตรงนั้น เขาและเธอในอ้อมแขนกันและกัน
ไม่มีที่เหลือ ไม่ต้องการคนอื่น

ฉันทรุดลงที่ตรงนี้ ฉันที่มันไม่มีแม้ใครซักคน
ไม่มีความหมาย หัวใจสับสน ทรมาน

ที่ตรงนั้นมันมีแสงมันมีไฟ ที่ตรงนั้นมันเป็นของคนรักกัน
ที่ตรงนั้นไม่มืดมิดไม่เงียบเหงาไม่เดียวดาย ไม่ต้องอยู่เหมือนตายอย่างตรงนี้

ปิดฉากเธอจากไปแล้ว ทิ้งไว้เพียงแค่ความ เจ็บปวดที่ยังรวดร้าวยังรุนแรง
จุดจบมันก็คือฉัน มันคือฉันที่ยัง บาดเจ็บจมอยู่ในมุมที่มืดมิด(ในใจเธอ)

เขาและเธอจากไปแล้ว ฉันยังอยู่ตรงนี้เพียงเดียวดาย
แสงไฟสลัว หัวใจสลาย มืดเหลือเกิน


ที่ตรงนั้นมันมีแสงมันมีไฟ ที่ตรงนั้นมันเป็นของคนรักกัน
ที่ตรงนั้นไม่มืดมิดไม่เงียบเหงาไม่เดียวดาย ไม่ต้องอยู่เหมือนตายอย่างตรงนี้

ปิดฉากเธอจากไปแล้ว ทิ้งไว้เพียงแค่ความ เจ็บปวดที่ยังรวดร้าวยังรุนแรง
จุดจบมันก็คือฉัน มันคือฉันที่ยัง บาดเจ็บจมอยู่ในมุมที่มืดมิด(ในใจเธอ)

ที่ตรงนั้นมันมีแสงมันมีไฟ ที่ตรงนั้นมันเป็นของคนรักกัน
ที่ตรงนั้นไม่มืดมิดไม่เงียบเหงาไม่เดียวดาย ไม่ต้องอยู่เหมือนตายอย่างตรงนี้


ปิดฉากเธอจากไปแล้ว ทิ้งไว้เพียงแค่ความ เจ็บปวดที่ยังรวดร้าวยังรุนแรง
จุดจบมันก็คือฉัน มันคือฉันที่ยัง บาดเจ็บจมอยู่ในมุมที่มืดมิด(ในใจเธอ)

ปิดฉากเธอจากไปแล้ว ทิ้งไว้เพียงแค่ความ เจ็บปวดที่ยังรวดร้าวยังรุนแรง
จุดจบมันก็คือฉัน มันคือฉันที่ยัง บาดเจ็บจมอยู่ในมุมที่มืดมิด(ในใจเธอ)",maew_jirasak
รับได้ไหม,/music/thailyric/789,"เธอ คนที่ดีพร้อม วันนี้เธอยอมทุกอย่างเพื่อฉัน
ฉัน คนที่ช่างฝัน รู้เพียงว่าฉันโชคดีเหนือใคร

* แต่ในใจ ยิ่งไหวยิ่งหวั่น กลัวว่าสักวันฉันอาจจะเสียเธอไป
เมื่อวันนี้เพิ่งเริ่มรัก ทุกอย่างก็สดใส แต่นานไปมันอาจไม่เป็นอย่างนั้น

** จะรับได้ไหม ถ้าถึงวันนั้น ทุกอย่างที่เธอฝัน อาจเป็นแค่ภาพลวงตา
จะรักกันไหม ถ้าวันนึงเธอได้รู้ว่า แท้จริงคนอย่างฉัน มันก็แค่คนธรรมดา(คนนึง/ที่รักเธอ)

รู้ รู้ว่าเธอรัก และฉันก็รักเธอเท่าชีวิต
ก็รู้ ว่าเธอก็คงคิด ว่าคนอย่างฉันสำคัญเหนือใคร

แต่ในใจ ยิ่งไหวยิ่งหวั่น กลัวว่าสักวันฉันอาจจะเสียเธอไป
เมื่อวันนี้เพิ่งเริ่มรัก ทุกอย่างก็สดใส แต่นานไปมันอาจไม่เป็นอย่างนั้น

จะรับได้ไหม ถ้าถึงวันนั้น ทุกอย่างที่เธอฝัน อาจเป็นแค่ภาพลวงตา
จะรักกันไหม ถ้าวันนึงเธอได้รู้ว่า แท้จริงคนอย่างฉัน มันก็แค่คนธรรมดา(คนนึง/ที่รักเธอ)

จะรับได้ไหม ถ้าถึงวันนั้น ทุกอย่างที่เธอฝัน อาจเป็นแค่ภาพลวงตา
จะรักกันไหม ถ้าวันนึงเธอได้รู้ว่า แท้จริงคนอย่างฉัน มันก็แค่คนธรรมดา(คนนึง/ที่รักเธอ)

จะรับได้ไหม ถ้าถึงวันนั้น ทุกอย่างที่เธอฝัน อาจเป็นแค่ภาพลวงตา
จะรักกันไหม ถ้าวันนึงเธอได้รู้ว่า แท้จริงคนอย่างฉัน มันก็แค่คนธรรมดา(คนนึง/ที่รักเธอ)",maew_jirasak
ราตรีสวัสดิ์,/music/thailyric/790,"รวมความว่าเธอจำเป็นต้องไป ตามใจละกันนะ
เอาไงก็เอา ไม่ต้องลวดลาย ทำอะไรก็ทำซะ

* คิดจะทิ้งก็ทิ้งซะเลยไม่ต้องคิด ชีวิตของใครก็ของมัน
เช็ดมันซะเช็ดน้ำตาไม่ต้องร้อง ไอ้นั่นมันเรื่องของฉัน

** กลับบ้านนอนเถอะนะ นะเธอนะ ให้สิ่งศักดิ์สิทธิ์คุ้มครองก็แล้วกัน
หลับฝันดีเถอะนะ นะเธอนะ (ราตรีสวัสดิ์ซะเลยก็แล้วกัน/ไอ้ที่มันหลับไม่ลงก็ช่างมัน)

ไปดีก็ดีฉันไม่ข้องใจ เป็นตายเท่ากัน
ทำดีสักวันเธอคงได้ดี คิดอย่างนี้แล้วกันนะ

คิดจะทิ้งก็ทิ้งซะเลยไม่ต้องคิด ชีวิตของใครก็ของมัน
เช็ดมันซะเช็ดน้ำตาไม่ต้องร้อง ไอ้นั่นมันเรื่องของฉัน

กลับบ้านนอนเถอะนะ นะเธอนะ ให้สิ่งศักดิ์สิทธิ์คุ้มครองก็แล้วกัน
หลับฝันดีเถอะนะ นะเธอนะ (ราตรีสวัสดิ์ซะเลยก็แล้วกัน/ไอ้ที่มันหลับไม่ลงก็ช่างมัน)

กลับบ้านนอนเถอะนะ นะเธอนะ ให้สิ่งศักดิ์สิทธิ์คุ้มครองก็แล้วกัน
หลับฝันดีเถอะนะ นะเธอนะ (ราตรีสวัสดิ์ซะเลยก็แล้วกัน/ไอ้ที่มันหลับไม่ลงก็ช่างมัน)

กลับบ้านนอนเถอะนะ นะเธอนะ ให้สิ่งศักดิ์สิทธิ์คุ้มครองก็แล้วกัน
หลับฝันดีเถอะนะ นะเธอนะ (ราตรีสวัสดิ์ซะเลยก็แล้วกัน/ไอ้ที่มันหลับไม่ลงก็ช่างมัน)

กลับบ้านนอนเถอะนะ นะเธอนะ ให้สิ่งศักดิ์สิทธิ์คุ้มครองก็แล้วกัน
หลับฝันดีเถอะนะ นะเธอนะ (ราตรีสวัสดิ์ซะเลยก็แล้วกัน/ไอ้ที่มันหลับไม่ลงก็ช่างมัน)",maew_jirasak
ดาวประดับฟ้า,/music/thailyric/772,"เธออยู่สูง แสนไกลจากตรงนี้ ฉันเข้าใจดี เราต่างกัน
แต่บังเอิญ เธอมีหัวใจให้ฉัน เรารักกัน ฉันโชคดี

โชคดีที่ฉันมีเธอ ที่พร้อมจะเคียงข้างกัน เดินดินด้วยกัน แต่อย่าเลย

แค่รออยู่ตรงนั้น จะปีนขึ้นไปหา ไม่ต้องลอยลงมา อยู่บนฟ้านั่นแหละดี
เป็นดาวประดับฟ้า รอคนรักจริงคนนี้ ต้องมีสักวัน จะไปให้ถึงที่ตรงนั้น ไปอยู่เคียงข้างเธอ

สุดขอบฟ้า ไม่รู้อยู่ตรงไหน ไกลซักเพียงใด จะไปหาเธอ
แค่เธอนั้น ยังคงรักฉันเสมอ ฉันรักเธอ ฉันโชคดี

โชคดีที่ฉันมีเธอ ที่พร้อมจะเคียงข้างกัน เดินดินด้วยกัน แต่อย่าเลย

แค่รออยู่ตรงนั้น จะปีนขึ้นไปหา ไม่ต้องลอยลงมา อยู่บนฟ้านั่นแหละดี
เป็นดาวประดับฟ้า รอคนรักจริงคนนี้ ต้องมีสักวัน จะไปให้ถึงที่ตรงนั้น ไปอยู่เคียงข้างเธอ


โชคดีที่ฉันมีเธอ ที่พร้อมจะเคียงข้างกัน เดินดินด้วยกัน แต่อย่าเลย

แค่รออยู่ตรงนั้น จะปีนขึ้นไปหา ไม่ต้องลอยลงมา อยู่บนฟ้านั่นแหละดี
เป็นดาวประดับฟ้า รอคนรักจริงคนนี้ ต้องมีสักวัน จะไปให้ถึงที่ตรงนั้น ไปอยู่เคียงข้างเธอ

สองมือของฉันจะสร้างฝัน หัวใจของฉันจะทุ่มเท เพื่อเธอคนเดียว

ให้โลกได้รู้ คนอย่างฉันคู่ควรจะรักเธอ",maew_jirasak
นักโทษประหาร,/music/thailyric/781,"ขอบใจสักครั้งที่พยายาม อยากจะทำให้มันดูดี ฐานที่รักกันมา
ขอบใจที่ถามที่ยังมีใจนะ ก่อนจากกันไป ต้องการอะไรอีกไหม ซึ้งใจจริงๆ
ก่อนถูกเธอทิ้ง ฉันต้องการอะไร ก่อนถูกประหาร จะขออะไรก่อนตาย

ไม่ต้องแล้ว(มันจบแล้ว) จบแล้ว อย่าเลยอย่าเสียเวลากับฉันดีกว่า อย่าทำให้มันยากไป
เมื่อไม่รัก ไม่รัก จบเลย ก็ทิ้งกันเลยเฉยๆ ง่ายๆ
ใครจะเป็นจะตายช่างมัน แล้วก็แล้วกันไป

ไม่ต้องไปคิดเป็นเวรเป็นกรรม ไม่ต้องทำว่าเธอยังแคร์ ขอแค่นี้ละกัน
ไม่ต้องเอื้อเฟื้อเยื่อใยกันปานนั้น ก่อนจากกันไป ต้องการอะไรอีกไหม ซึ้งใจจริงๆ
ก่อนถูกเธอทิ้ง ฉันต้องการอะไร นักโทษประหาร ตอนนี้กำลังจะอยากตาย

ไม่ต้องแล้ว(มันจบแล้ว) จบแล้ว อย่าเลยอย่าเสียเวลากับฉันดีกว่า อย่าทำให้มันยากไป
เมื่อไม่รัก ไม่รัก จบเลย ก็ทิ้งกันเลยเฉยๆ ง่ายๆ
ใครจะเป็นจะตายช่างมัน แล้วก็แล้วกันไป


แล้วก็แล้วกันไปเถอะ ทำอะไรก็ทำไป ทิ้งก็ทิ้งกันไปเถอะ คนที่ตายก็ตายไป รักเธอ
เธอและเธอและเธอคนเดียว อื่นใดมากมายกว่านั้น ฉันไม่ขออะไร

มันจบแล้ว จบแล้ว อย่าเลยอย่าเสียเวลากับฉันดีกว่า อย่าทำให้มันยากไป
เมื่อไม่รัก ไม่รัก จบเลย ก็ทิ้งกันเลยเฉยๆ ง่ายๆ ใครจะเป็นจะตายช่างมัน
มันจบแล้ว จบแล้ว อย่าเลยอย่าเสียเวลากับฉันดีกว่า อย่าทำให้มันยากไป
เมื่อไม่รัก ไม่รัก จบเลย ก็ทิ้งกันเลยเฉยๆ ง่ายๆ แค่ได้ตายด้วยมือของเธอก็สาก็สมใจ",maew_jirasak
ถึงอย่างไร,/music/thailyric/775,"ใจกับใจที่เคยให้กันนั้นจางไป
เธอเปลี่ยนไปเป็นอย่างไรไม่เข้าใจ
จากกันไป ไกลแสนไกลห่าง
แต่ความหลัง ก็ยังฝังใจ

ถึงจะอย่างไร..ใจฉัน เหมือนมีเธออยู่ตรงนี้ไม่ห่าง
เธอ..ไม่ร้างราไปจากกัน
ถึงจะอย่างไร..คนนี้ ก็จะรักเธออยู่
แม้เธอไม่รู้ว่าคนๆนี้ห่วงใย

ฉันเจ็บช้ำก็เธอที่ทำให้เสียใจ
เธอเปลี่ยนไปแบ่งใจให้ใครเขาคนใหม่
จากกันไป ไกลแสนไกลห่าง
แต่ความหลัง ก็ยังฝังใจ

ถึงจะอย่างไร..ใจฉัน เหมือนมีเธออยู่ตรงนี้ไม่ห่าง
เธอ..ไม่ร้างราไปจากกัน
ถึงจะอย่างไร..คนนี้ ก็จะรักเธออยู่
แม้เธอไม่รู้ว่าคนๆนี้ห่วงใย

ถึงจะอย่างไร..ใจฉัน เหมือนมีเธออยู่ตรงนี้ไม่ห่าง
เธอ..ไม่ร้างราไปจากกัน
ถึงจะอย่างไร..คนนี้ ก็จะรักเธออยู่
แม้เธอไม่รู้ว่าคนๆนี้ห่วงใย

ถึงจะอย่างไร..ใจฉัน เหมือนมีเธออยู่ตรงนี้ไม่ห่าง
เธอ..ไม่ร้างราไปจากกัน
ถึงจะอย่างไร..คนนี้ ก็จะรักเธออยู่
แม้เธอไม่รู้ว่าคนๆนี้ห่วงใย

นา นา น้า นา นา",maew_jirasak
ลูกกรุง,/music/thailyric/791,"พบกันเมื่องาน เทศกาลเมืองหลวง
เกี่ยวแขนเดินควงผูกพันดวงฤทัย
แต่เคราะห์กรรมปางก่อน ทำเธอจรจากไกล
ก่อนจากลาพี่ไปเธอบอกจะกลับมาหา
ยังคงคอยทุกนาทีรอคนดีนั้นหวนมา
อยากบอกให้รู้แก้วตา พี่ยังคอย

อยู่ที่บางกอก บางกอก
ดินแดนความหลังของเราเธอยังไม่ลืมใช่ไหม
อยู่ที่บางกอก บางกอก ขอร้องน้องจงเห็นใจ
ได้โปรดอย่าหลอกกันนะ

ถึงใครลือกันว่าคนกรุงหลอกลวง
อย่าคิดเป็นห่วงพี่ไม่ลวงหลอกใคร
ขอเพียงน้องนางยังไม่แปรเปลียนใจ
อย่าทำให้พี่ชายตรอมตรม ระบมอุรา

เมืองกรุงช่างเหงาเหลือเกิน
ยามที่เธอนั้นรางลา
คนดีจงย้อยคืนมา พี่ยังคอย

อยู่ที่บางกอก บางกอก
ดินแดนความหลังของเรา เธอยังไม่ลืมใช่ไหม
อยู่ที่บางกอก บางกอก ขอร้องน้องจงเห็นใจ
ได้โปรดอย่าหลอกกันนะ Ooh Please

เมืองกรุงช่างเหงาเหลือเกิน
ยามที่เธอนั้นรางลา
คนดีจงย้อยคืนมา พี่ยังคอย

อยู่ที่บางกอก บางกอก
ดินแดนความหลังของเรา เธอยังไม่ลืมใช่ไหม
อยู่ที่บางกอก บางกอก ขอร้องน้องจงเห็นใจ
ได้โปรดอย่าหลอกกันนะ

อยู่ที่บางกอก บางกอก
ดินแดนความหลังของเรา เธอยังไม่ลืมใช่ไหม
อยู่ที่บางกอก บางกอก ขอร้องน้องจงเห็นใจ
ได้โปรดอย่าหลอกกันนะ

อยู่ที่บางกอก บางกอก
ดินแดนความหลังของเรา เธอยังไม่ลืมใช่ไหม
อยู่ที่บางกอก บางกอก ขอร้องน้องจงเห็นใจ
ได้โปรดอย่าหลอกกันนะ Ooh Please",maew_jirasak
