song_name,href,lyric,artist
กรุงเทพฯ เมืองในฝัน,/music/thailyric/10965,"เดินละเดิน เข้าเมืองมาตามความฝัน
ด้วยชีวิตกันดารของสาวกันตรึม
ปากจะได้อ้า ตาจะได้ลืม
เลยมาตึ๊มตึ๋มตึมตึ่มอยู่ตรงนี้

โอ้ว่าชีวิตเอ๋ย ยังบ่เคยได้ซำบาย
ตั้งแต่เช้ายันบ่าย เป็นตาหน่ายน่าอดสู
ดูสิดูในนามันก็แล้ง ในกระเป๋ามันก็แห้ง แห้งขอดเหลือใจ

จำใจทิ้งทุ่งนาที่ทุกข์ ทุกข์ๆๆ จนมันท้อเหลือทน
เก็บความหวังยัดใส่ความจน มาอดมาทนค้นทางที่กรุงเทพฯ

เดินละเดิน เข้าเมืองมาตามความฝัน
ด้วยชีวิตกันดารของสาวกันตรึม
ปากจะได้อ้า ตาจะได้ลืม
เลยมาตึ๊มตึ๋มตึมตึ่มอยู่ตรงนี้

มีคนเป็นล้านคน ล้วนแต่เป็นคนบ้านนอก
มาอยู่ในบางกอก เหนือ ใต้ ออก ตก อีสาน
เล็กก็เล็กนิดเดียว คนหลักล้าน ฝันหลักร้อย
มันเลยน่อย น้อยไปบ่พอกัน
แต่ต่างกันก็เป็นหนึ่งเดียว ผูกเป็นเสี่ยว ฟั่นเป็นเกลียวสัมพันธ์
ต่างที่มาไม่ต่างที่ฝัน มาสู้ด้วยกัน เพื่อฝันของคนบ้านนอก

ลูกสาวหล้าหนีนาหนีแม่
อ้ายกำปูนคนแป้ก็หนีแม่มาตามฝัน
พี่ไข่นุ้ยคนคอนก็จากดอนคือกัน
กรุงเทพฯ เมืองความฝันเลยกลายเป็นประเทศไทย

กลิ่นปลาร้า บูดู กลิ่นน้ำปู๋หอมใจ
หอมความฝันคนใฝ่ หอมหัวใจบ้านนา นา นา นา
ปากจะได้อ้า ตาจะได้ลืม
เลยมาตึ๊มตึ๋มตึมตึ่มอยู่ตรงนี้",maeya_nonthawan
คนที่ไม่ใช่,/music/thailyric/13763,"ฝันเอาไว้ถ้าเธอนั้นเลิกรักเขา
มันจะมีสักวันหรือเปล่าที่เราได้รักกัน
แล้วเมื่อถึงวันที่เธอเลิกกับเขา
เธอก็ไปคบใครคนอื่น ที่มันไม่ใช่เรา

ใกล้แค่ไหน ก็ไกลเกินไป
เอื้อมไปไม่เคยจะถึง เป็นได้เพียง
แค่ใครคนนึง เธอไม่เคยซึ้ง
ไม่เคยมีความหมาย

คนที่ไม่ใช่ จะให้ตายก็คือไม่ใช่
ต่อให้ฉันรักเธอแค่ไหน
ก็ไม่อาจจะทำให้ใจเธอเปลี่ยนสักที
คนที่ไม่ใช่ ให้เป็นคนสุดท้ายที่มี
เธอก็คงไม่เลือกอยู่ดี
คงไม่มีวันที่ เรารักกัน

ขอได้ไหมให้เธอมองมาสักครั้ง
ก็แค่หวังเป็นคนสำคัญอย่างใครที่เธอมี
แต่สุดท้ายก็คงเป็นได้แค่นี้
คงไม่มีวิธีอะไรให้เธอนั้นหันมา
เป็นแค่ลม ที่ผ่านตัวเธอ
และเธอไม่เคยมองเห็น
คนสำคัญ ไม่มีวันเป็น
เธอไม่เคยเห็น ว่าฉันมีความหมาย

คนที่ไม่ใช่ จะให้ตายก็คือไม่ใช่
ต่อให้ฉันรักเธอแค่ไหน
ก็ไม่อาจจะทำให้ใจเธอเปลี่ยนสักที
คนที่ไม่ใช่ ให้เป็นคนสุดท้ายที่มี
เธอก็คงไม่เลือกอยู่ดี
คงไม่มีวันที่ เรารักกัน

ทุ่มเทยิ่งทำให้ไป ก็ยิ่งหล่นหาย
พยายามยังไง ก็ไม่มีความสำคัญ

คนที่ไม่ใช่ จะให้ตายก็คือไม่ใช่
ต่อให้ฉันรักเธอแค่ไหน
ก็ไม่อาจจะทำให้ใจเธอเปลี่ยนสักที
คนที่ไม่ใช่ ให้เป็นคนสุดท้ายที่มี
เธอก็คงไม่เลือกอยู่ดี
คงไม่มีวันที่ เรารักกัน",maeya_nonthawan
คุณแม่ไม่ว่า,/music/thailyric/10988,"ยุคนี้ต้องเร็ว ยุคนี้ต้องรีบต้องแรง ถ้าช้า โดนแซงแน่นอน
ถ้าชอบ ก็ต้องจัด ถ้ารัก ก็ต้องรีบจอง มัวส่องมันจะไม่ทันกิน
ยุคนี้มีไลน์นะคะ รีบทักมาเลย เฉยๆ คงไม่ได้ฟิน
ถ้าชอบก็ต้องจีบ ถ้ารักต้องรีบเช็คอิน บ้านนี้ไม่มีผู้ใหญ่จะขัดขวาง

ถ้าอยากจะจีบ คุณแม่ไม่ว่า
ถ้าอยากจะเดท คุณแม่ไม่ว่า
ยังว่าง นัดเข้ามาได้เลย
ถ้าอยากจะจีบ คุณแม่ไม่ว่า
ถ้าอยากจะแต่ง คุณแม่ไม่ว่า
คุณแม่ ก็คิดจะมีลูกเขย
ถ้าอยากจะจีบ คุณแม่ไม่ว่า
ถ้าอยากจะเดท คุณแม่ไม่ว่า
คุณแม่ แทบจะยกให้เลย
จะหล่อไม่หล่อ คุณแม่ไม่ว่า
จะหนุ่มจะแก่ คุณแม่ไม่ว่า
อย่าช้านะคะว่าที่ลูกเขย

ฐานะไม่ดี คุณแม่ไม่ว่าอะไร ค่อยสร้างค่อยเป็นค่อยไป
แต่ฐานะถ้าดี อันนี้ ยิ่งต้องให้ไว คุณแม่ก็ถูกใจนะสิคะ
จะบอกว่าเน้นที่จริงใจ อ๊ะ เน้นที่เป็นคนดี ถ้าพี่มีดีก็มา
คุณแม่น้องไม่ดุ คุณพี่แค่ต้องกล้าๆ คุณพี่ถ้าดีซะอย่างก็ไฟเขียว

ถ้าอยากจะจีบ คุณแม่ไม่ว่า
ถ้าอยากจะเดท คุณแม่ไม่ว่า
ยังว่าง นัดเข้ามาได้เลย
ถ้าอยากจะจีบ คุณแม่ไม่ว่า
ถ้าอยากจะแต่ง คุณแม่ไม่ว่า
คุณแม่ ก็คิดจะมีลูกเขย
ถ้าอยากจะจีบ คุณแม่ไม่ว่า
ถ้าอยากจะเดท คุณแม่ไม่ว่า
คุณแม่ แทบจะยกให้เลย
จะหล่อไม่หล่อ คุณแม่ไม่ว่า
จะหนุ่มจะแก่ คุณแม่ไม่ว่า
อย่าช้านะคะว่าที่ลูกเขย

เอายัง เอายัง เอายังอ่ะ
เอาไง เอาไง อ่ะว่ามา ยังไง ยังไง อ่ะอย่าช้า
เอายัง เอายัง เอายังอ่ะ
เอาไง เอาไง อ่ะว่ามา คงจะไม่รอถึงปีหน้า

ถ้าอยากจะจีบ คุณแม่ไม่ว่า
ถ้าอยากจะเดท คุณแม่ไม่ว่า
ยังว่าง นัดเข้ามาได้เลย
ถ้าอยากจะจีบ คุณแม่ไม่ว่า
ถ้าอยากจะแต่ง คุณแม่ไม่ว่า
คุณแม่ ก็คิดจะมีลูกเขย
ถ้าอยากจะจีบ คุณแม่ไม่ว่า
ถ้าอยากจะเดท คุณแม่ไม่ว่า
คุณแม่ แทบจะยกให้เลย
จะหล่อไม่หล่อ คุณแม่ไม่ว่า
จะหนุ่มจะแก่ คุณแม่ไม่ว่า
อย่าช้านะคะว่าที่ลูกเขย",maeya_nonthawan
ดาวไม่ลืมดิน,/music/thailyric/11016,"กว่าจะมาเป็นดาว ก้อนดินปวดร้าวมามากแค่ไหน
มีวันนี้ได้เพราะความยากไร้ปั้นให้เป็นดาว
ไม่เคยลืมดินที่จากมาส่องแสงพราว
สุกใสสกาว เป็นดาวบนฟ้าธานี

แต่ในคืนที่ดาววิบวาวแวววับแล้วลับดับแสง
ดั่งโดนฟ้าแกล้งให้ลมฝนแรงซัดยามราตรี
จะทำอย่างไร ถามใจดวงที่ริบหรี่
เคยได้เคยดี วันนี้ท้อแทบถอดใจ

เป็นดาวมันยาก แต่การรักษาความเป็นดวงดาว
ให้วิบระยิบพริบพราว มันยากกว่าการเป็นดาวดวงใด
ในยามใกล้ดับ ดาวมองหันหลังกลับไป
จะทิ้งฝันได้อย่างไร เมื่อเคยทิ้งใครมาเป็นดวงดาว

จะกลับไปเป็นดวงดาวที่พราวพร่างแสงด้วยแรงแห่งใจ
จะดีให้ได้ให้สมที่ไกลดินเคยแนบเนา
จะคืนสู่ดิน เมื่อความใฝ่ฝันสกาว
แล้วจะกลับไปเป็นดวงดาว ที่พราวพร่างฟ้าท้องนาบ้านเรา

เป็นดาวมันยาก แต่การรักษาความเป็นดวงดาว
ให้วิบระยิบพริบพราว มันยากกว่าการเป็นดาวดวงใด
ในยามใกล้ดับ ดาวมองหันหลังกลับไป
จะทิ้งฝันได้อย่างไร เมื่อเคยทิ้งใครมาเป็นดวงดาว

จะกลับไปเป็นดวงดาวที่พราวพร่างแสงด้วยแรงแห่งใจ
จะดีให้ได้ให้สมที่ไกลดินเคยแนบเนา
จะคืนสู่ดิน เมื่อความใฝ่ฝันสกาว
แล้วจะกลับไปเป็นดวงดาว ที่พราวพร่างฟ้าท้องนาบ้านเรา",maeya_nonthawan
บ้านนอกแล้วไง,/music/thailyric/10928,"งานที่นาปิดจ๊อบ ก็เลยสต็อปฝันที่บ้านนอกมา
โดนยึดใบโฉนดที่นา เลยมุ่งหน้ามาเป็นลูกจ้างเศรษฐี

งานที่ใจร่ำหา วุฒิการศึกษาปริญญาไม่มี
เป็นแดนเซอร์ในวงดนตรี ก็โดนเหยียดสีหาว่าดูขัดตา

ดำก็ไม่หนักหัวใคร ถึงบ้านนอกแล้วไง ไม่เห็นต้องมาด่า
ไม่สวยและไม่รวยเส้นสาย จนก็เจียมหัวใจ ไม่ขอให้ใครเมตตา
ต่อให้มีตังค์ ฉันก็ยังติดดิน ไม่ใช่รวยนิด แล้วจะติดปีกบิน
ชีวาไม่สิ้น ก็ต้องดิ้นรนเสาะหา

เงินได้พอวันไหน ฉันจะหอบใจ หวนคืนไปบ้านนา
ควายเอ๋ยดีแล้วที่ไม่มา คงถูกอิจฉา เหมือนฉันมาล่าฝัน

งานที่นาปิดจ๊อบ ก็เลยสต็อปฝันที่บ้านนอกมา
โดนยึดใบโฉนดที่นา เลยมุ่งหน้ามาเป็นลูกจ้างเศรษฐี

งานที่ใจร่ำหา วุฒิการศึกษาปริญญาไม่มี
เป็นแดนเซอร์ในวงดนตรี ก็โดนเหยียดสีหาว่าดูขัดตา

ดำก็ไม่หนักหัวใคร ถึงบ้านนอกแล้วไง ไม่เห็นต้องมาด่า
ไม่สวยและไม่รวยเส้นสาย จนก็เจียมหัวใจ ไม่ขอให้ใครเมตตา
ต่อให้มีตังค์ ฉันก็ยังติดดิน ไม่ใช่รวยนิด แล้วจะติดปีกบิน
ชีวาไม่สิ้น ก็ต้องดิ้นรนเสาะหา

เงินได้พอวันไหน ฉันจะหอบใจ หวนคืนไปบ้านนา
ควายเอ๋ยดีแล้วที่ไม่มา คงถูกอิจฉา เหมือนฉันมาล่าฝัน",maeya_nonthawan
มีไหมใครสักคน,/music/thailyric/10859,"อาจดูเหมือนคนไม่ค่อยแคร์
อาจดูเหมือนคนไร้หัวใจ
อาจดูว่าร้ายเกินไป ข้างในจะมีใครรู้

อาจดูเหมือนคนที่แข็งแรง
อาจดูไม่เคยยอมแพ้ใคร
หากมองให้ลึกลงไป มันไม่ได้เป็นแบบนั้น

มันมีแต่ความว้าเหว่ กัดกินใจทุกวัน
โหยหาความผูกพัน ที่ตัวฉันไม่ได้จากใคร

ฉันต้องการเพียงใครสักคน
แค่สักคนที่พอเข้าใจ
มีบ้างไหม ที่รักกัน ไม่ว่าฉันจะเป็นอย่างไร
ฉันต้องการเพียงใครสักคน
แค่สักคนก็พอ ไม่รู้มีบ้างไหม
หากเป็นตัวเธอที่ใช่ โปรดรักฉันด้วยหัวใจ
อย่าทำร้ายให้ฉันต้องเจ็บอีกเลย

ไม่เคยให้ใครเห็นน้ำตา ไม่ใช่ว่ามันไม่เสียใจ
ที่ทำร้ายๆ ลงไป ก็เจ็บที่เป็นแบบนั้น

มันมีแต่ความว้าเหว่ กัดกินใจทุกวัน
โหยหาความผูกพัน ที่ตัวฉันไม่ได้จากใคร

ฉันต้องการเพียงใครสักคน
แค่สักคนที่พอเข้าใจ มีบ้างไหม ที่รักกัน
ไม่ว่าฉันจะเป็นอย่างไร
ฉันต้องการเพียงใครสักคน
แค่สักคนก็พอ ไม่รู้มีบ้างไหม
หากเป็นตัวเธอที่ใช่ โปรดรักฉันด้วยหัวใจ
อย่าทำร้ายให้ฉันต้องเจ็บอีกเลย

ฉันต้องการเพียงใครสักคน
แค่สักคนที่พอเข้าใจ มีบ้างไหม ที่รักกัน
ไม่ว่าฉันจะเป็นอย่างไร
ฉันต้องการเพียงใครสักคน
แค่สักคนก็พอ ไม่รู้มีบ้างไหม
หากเป็นตัวเธอที่ใช่ โปรดรักฉันด้วยหัวใจ
อย่าทำร้ายให้ฉันต้องเจ็บอีกเลย",maeya_nonthawan
ไม่รักก็ทิ้ง,/music/thailyric/13762,"ไม่รักก็ทิ้ง ไม่เห็นจะเป็นอะไร
อย่าเปลืองเวลา ทำเหมือนว่ายังมีใจ
ไม่ต้องทำเหมือนเธอเป็นห่วง
อย่ามาสงสารกัน มันยิ่งปวดใจ

ถ้ารักกับเขา ทิ้งฉันแล้วไปไกลไกล
ไม่ต้องมาแคร์ ว่าใครกำลังจะตาย
ถ้าวันนี้รักฉันไม่ลง ก็จงเกลียดกันเลย
เกลียดให้มันหมดทั้งหัวใจ

เธอรู้ไหมคนที่ใจเพิ่งแตกสลาย
เขาไม่ต้องการฟังอะไรหรือคำปลอบใจ
แค่มองเธอก็ยังอ่อนไหว
อย่ามาเจอกันอีกได้ไหม
ไม่พร้อม จะยอมรับความเห็นใจ

เธอกลัวว่าฉันจะไม่ไหว
ไม่รู้จะสนทำไม เมื่อเลือกเขาคนนั้น
ก็ไปจากฉัน ต้องแคร์อะไร

ไม่รักก็ทิ้ง ไม่เห็นจะเป็นอะไร
อย่าเปลืองเวลา ทำเหมือนว่ายังมีใจ
ไม่ต้องทำเหมือนเธอเป็นห่วง
อย่ามาสงสารกัน มันยิ่งปวดใจ

ถ้ารักกับเขา ทิ้งฉันแล้วไปไกลไกล
ไม่ต้องมาแคร์ ว่าใครกำลังจะตาย
ถ้าวันนี้รักฉันไม่ลง ก็จงเกลียดกันเลย
เกลียดให้มันหมดทั้งหัวใจ

หยุดแสดงเยื่อใยอย่างนั้น
เธอรู้ไหมว่าใครยิ่งช้ำ
อย่าซ้ำ เติมกันด้วยคำดีๆ
คนแพ้ดูแลตัวเองเป็น
ไม่ต้องมาเห็นใจกัน ที่เธอทำแบบนั้น
อยากถามจริงๆ ต้องการอะไร

ไม่รักก็ทิ้ง ไม่เห็นจะเป็นอะไร
อย่าเปลืองเวลา ทำเหมือนว่ายังมีใจ
ไม่ต้องทำเหมือนเธอเป็นห่วง
อย่ามาสงสารกัน มันยิ่งปวดใจ

ถ้ารักกับเขา ทิ้งฉันแล้วไปไกลไกล
ไม่ต้องมาแคร์ ว่าใครกำลังจะตาย
ถ้าวันนี้รักฉันไม่ลง ก็จงเกลียดกันเลย
เกลียดให้มันหมดทั้งหัวใจ

ไม่รักก็ทิ้ง ไม่เห็นจะเป็นอะไร
อย่าเปลืองเวลา ทำเหมือนว่ายังมีใจ
ไม่ต้องทำเหมือนเธอเป็นห่วง
อย่ามาสงสารกัน มันยิ่งปวดใจ

ถ้ารักกับเขา ทิ้งฉันแล้วไปไกลไกล
ไม่ต้องมาแคร์ ว่าใครกำลังจะตาย
ถ้าวันนี้รักฉันไม่ลง ก็จงเกลียดกันเลย
เกลียดให้มันหมดทั้งหัวใจ",maeya_nonthawan
รักมาก็รักไป,/music/thailyric/13764,"ชอบก็พูดเลย ใช่ก็พูดเลย
ไม่ต้องทำอ้อมค้อมให้ปวดหัว
รู้ว่าขี้อาย รู้ว่าขี้กลัว
อ่ะไม่กัดหรอกนะไม่ต้องนอยด์
อย่าเอาแต่จ้องแล้วก็ไม่จีบ
อย่าเอาแต่คิดแล้วทิ้งให้คอย
เริ่มอารมณ์เสียหรือต้องให้อ่อย
ไม่ดีหรอก จัดมา

โอ เว้ โอเว้โอ
อย่ามัวแต่คิดเยอะ
โอ เว้ โอเว้โอ
อ๊ะก็ไม่รู้สินะ
บอกให้เธอ รู้เลย
คนอย่างฉัน

รักมา ก็รักไป
ไม่โกงหรอกบอกให้
แค่บอกว่ารักคงไม่ตาย
อย่าคิดมากมาย
แค่รักคำเดียวพูดได้ป่ะ

ฉันน่ะพูดตรง ฉันน่ะพูดเลย
ว่าก็แอบสนเธออยู่หน่อยหนึ่ง
แต่พอมันยิ่งนาน ก็ชักจะเริ่มตึง
รอจนหลับไปแล้วก็ไม่มา
Oh my boy เธอมาทิ้งให้รอคอย
ชักไม่ enjoy และชักจะหงุดหงิดหน่อยๆ
ก็อย่าให้รู้ละกันว่าเธอแค่มาอ่อย
เพราะว่าบางทีมันอาจจะมีคนโดนต่อย

โอ เว้ โอเว้โอ
อย่ามัวแต่คิดเยอะ
โอ เว้ โอเว้โอ
อ๊ะก็ไม่รู้สินะ
บอกให้เธอ รู้เลย
คนอย่างฉัน

รักมา ก็รักไป
ไม่โกงหรอกบอกให้
แค่บอกว่ารักคงไม่ตาย
อย่าคิดมากมาย
แค่รักคำเดียวพูดได้ป่ะ

โอ เว้ โอเว้โอ
อย่ามัวแต่คิดเยอะ
โอ เว้ โอเว้โอ
อ๊ะก็ไม่รู้สินะ
บอกให้เธอ รู้เลย
คนอย่างฉัน

รักมา ก็รักไป
ไม่โกงหรอกบอกให้
แค่บอกว่ารักคงไม่ตาย
อย่าคิดมากมาย
แค่รักคำเดียวพูดได้ป่ะ

รักมา ก็รักไป
ไม่โกงหรอกบอกให้
แค่บอกว่ารักคงไม่ตาย
อย่าคิดมากมาย
แค่รักคำเดียวพูดได้ป่ะ",maeya_nonthawan
ไหจัวหัวใจ,/music/thailyric/20109,"จะเป็นปลาร้าทั้งทีก็ต้องมีไหดีๆ
ถ้าไหไม่ดี ก็จะมีสิทธิ์เป็นหนอน
ถ้ามีแมงวันวางไข่ จะเกิดเป็นหนอนชอนไช
เพื่อความมั่นใจ ต้องปิดฝาปลอดภัยไว้ก่อน

ไหเธอเองก็เหมือนกัน
ก่อนที่ฉันยกความรักไปฝากไว้
มีปลาร้าของใครอยู่ในไหหรือเปล่า โอ๊ย

ไหใจก็คือไหจัว
ไหจัวก็คือหัวใจ
รักเธอไม่เคยรักใคร
ก็เลยต้องดูให้นาน

รักจังแต่ยังนึกกลัว
ให้ชัวร์ก่อนค่อยว่ากัน
ไหเธอจะเหมือนไหฉัน
ที่มันมีแต่เธอหรือเปล่า

ปัดฝุ่นเปิดไหไว้รอ ไม่นานจะขอเข้าไป
ตรวจดูข้างใน ว่าใจไม่มีหนอน
อย่าเอาความรักฉันไป เจือปนกับรักของใคร
คารมผู้ชาย เป็นอะไรที่ไม่แน่นอน

ใจเธอเองก็เหมือนกัน
ก่อนที่ฉันยกความรักไปฝากไว้
มีปลาร้าของใครอยู่ในไหหรือเปล่า โอ๊ย

ไหใจก็คือไหจัว
ไหจัวก็คือหัวใจ
รักเธอไม่เคยรักใคร
ก็เลยต้องดูให้นาน

รักจังแต่ยังนึกกลัว
ให้ชัวร์ก่อนค่อยว่ากัน
ไหเธอจะเหมือนไหฉัน
ที่มันมีแต่เธอหรือเปล่า

ไหใจก็คือไหจัว
ไหจัวก็คือหัวใจ
รักเธอไม่เคยรักใคร
ก็เลยต้องดูให้นาน

รักจังแต่ยังนึกกลัว
ให้ชัวร์ก่อนค่อยว่ากัน
ไหเธอจะเหมือนไหฉัน
ที่มันมีแต่เธอหรือเปล่า

ไหเธอจะเหมือนไหฉัน
ที่มันมีแต่เธอหรือเปล่า",maeya_nonthawan
อย่าทำให้รักได้ไหม,/music/thailyric/10103,"เธอก็รู้ว่าเราไม่ควรเจอกัน
ไม่ควรผูกพันมากเกินไป
เราต่างมีใครแล้วก่อนจะมาพบกัน

ไม่อยากเป็นคนที่ดูว่าหลายใจ
อย่าเลยเธออย่าทำให้ใจสั่น
เกลียดตัวเองเวลาที่ใจมันคิดถึง
ทุกครั้งที่เราจากกัน

อย่าทำให้รักได้ไหม เพราะมันยิ่งปวดใจ
ยิ่งเธอนั้นทำตัวดีเท่าไร
ยิ่งทำให้หลงรักเธอเกินไป
ห่างกันสักพักได้ไหม
ให้หัวใจมันล้างเธอออกไป
เพราะฉันกลัวจะหยุดตัวเองไม่ไหว
ถ้าหากยังคงพบกัน

เธอคือคนที่ใจของฉันต้องการ
ในวันที่มันสายไป มันผิดที่เรานั้นต่างเจอกันช้าไป

ไม่อยากเป็นคนที่ดูว่าหลายใจ
อย่าเลยเธออย่าทำให้ใจสั่น
เกลียดตัวเองเวลาที่ใจมันคิดถึง
ทุกครั้งที่เราจากกัน

อย่าทำให้รักได้ไหม
เพราะมันยิ่งปวดใจ
ยิ่งเธอนั้นทำตัวดีเท่าไร
ยิ่งทำให้หลงรักเธอเกินไป
ห่างกันสักพักได้ไหม
ให้หัวใจมันล้างเธอออกไป
เพราะฉันกลัวจะหยุดตัวเองไม่ไหว
ถ้าหากยังคงพบกัน

อย่าทำให้รักได้ไหม
เพราะมันยิ่งปวดใจ
ยิ่งเธอนั้นทำตัวดีเท่าไร
ยิ่งทำให้หลงรักเธอเกินไป
ห่างกันสักพักได้ไหม
ให้หัวใจมันล้างเธอออกไป
เพราะฉันกลัวจะหยุดตัวเองไม่ไหว
ถ้าหากยังคงพบกัน",maeya_nonthawan
