song_name,href,lyric,artist
ฉันยอมเป็นรอง,/music/thailyric/4788,"ฉันยอมเป็นรองเขา แต่อย่าปล่อยให้เหงาเกินไป แค่ขอให้เธอได้ให้เวลากับฉัน
แค่เพียงอย่างน้อย ไม่ทิ้งฉันไว้นานๆ ออกมาเจอกันมารู้มาคอยห่วงใย

ฉันเดินมาตรงนี้ อยากจะบอกว่าสายเกินไป จะเลือกอะไรก็ฉันพอกันอย่างนี้
รักไปก็ช้ำ เลิกรักก็อยากเต็มที ไม่เคยจะมีทางไหนที่ดีสักทาง

ไม่รู้จริงๆ รักคนที่มีเจ้าของ ไม่รู้ตัวเองมาก่อน จะตกเป็นมือที่สาม
เพิ่งรู้ความจริง เมื่อทุกอย่างนั้นลุกลาม ฉันและเธอผูกพันธ์ และก็รักจนเกินห้ามใจ

ฉันยอมเป็นรองเขา แต่อย่าปล่อยให้เหงาเกินไป อยากขอให้เธอได้เห็นใจคนอย่างฉัน
ฉันเป็นอย่างนี้ แค่คิดก็ร้าวราน หากเธอเป็นกลางเธอนั้นก็คงเข้าใจ

ไม่รู้จริงๆ รักคนที่มีเจ้าของ ไม่รู้ตัวเองมาก่อน จะตกเป็นมือที่สาม
เพิ่งรู้ความจริง เมื่อทุกอย่างนั้นลุกลาม ฉันและเธอผูกพันธ์ และก็รักจนเกินห้ามใจ

ฉันยอมเป็นรองเขา แต่อย่าปล่อยให้เหงาเกินไป อยากขอให้เธอได้เห็นใจคนอย่างฉัน
ฉันเป็นอย่างนี้ แค่คิดก็ร้าวราน หากเธอเป็นกลางเธอนั้นก็คงเข้าใจ

หากเธอเป็นกลางเธอนั้นก็คงเข้าใจ",maleewan_jimena
ไม่ใช่ความจริง,/music/thailyric/4793,"ยังจับมือเธอนั้นไว้อย่างเคย
แม้ว่ามันเป็นเพียงอากาศที่ผ่านฉันไป
ยังบอกกับเธอว่ารักเหมือนเคย
สุดท้ายก็ยังได้ยินที่บอกคนเดียวเรื่อยไป

เพราะยังอยากให้เราสองคนเหมือนเดิม
จับมือไปด้วยกัน เพราะยังหลอกตัวเองซ้ำไป
หัวใจไม่ยอมรับความเป็นจริงสักที

ทั้งๆ ที่รู้ว่ารักเธอไม่มีอยู่แล้ว
ทั้งๆ ที่รู้ไม่เหลือเธออยู่ตรงนี้
ทั้งๆ ที่คิดว่าพร้อมจะเจอความจริงสักที
ความเดียวดายที่ฉันต้องเจอวันนี้นั้นไม่ใช่ความจริง

ยังกอดตัวเธอนั้นไว้อย่างเดิม
เพียงแค่ความเป็นจริงต้องกอดตัวเองเรื่อยไป
ยังปิดตัวเองให้รอแค่เธอ
สุดท้ายหัวใจไม่เคยจะเผื่อเอาไปให้ใคร

เพราะยังอยากให้เราสองคนเหมือนเดิม
จับมือไปด้วยกัน เพราะยังหลอกตัวเองซ้ำไป
หัวใจไม่ยอมรับความเป็นจริงสักที

ทั้งๆ ที่รู้ว่ารักเธอไม่มีอยู่แล้ว
ทั้งๆ ที่รู้ไม่เหลือเธออยู่ตรงนี้
ทั้งๆ ที่คิดว่าพร้อมจะเจอความจริงสักที
ความเดียวดายที่ฉันต้องเจอวันนี้นั้นไม่ใช่ความจริง

เรื่องจริงที่สุดคือไม่มีเธอต่อไป
เหตุผลข้อเดียวที่สั่งให้ฉันยังคงหายใจ
เธอคนเดียวรู้ไหม

ทั้งๆ ที่รู้ว่ารักเธอไม่มีอยู่แล้ว
ทั้งๆ ที่รู้ไม่เหลือเธออยู่ตรงนี้
ทั้งๆ ที่คิดว่าพร้อมจะเจอความจริงสักที
ความเดียวดายที่ฉันต้องเจอวันนี้นั้นไม่ใช่ความจริง

เธอคนเดียวฉันต้องการเท่านี้
ไม่ต้องการความจริง",maleewan_jimena
ฉันรักของฉันจริงๆ,/music/thailyric/4789,"อยากถามจริงๆเถอะเธอ ว่าเธอทำงานอะไร ถึงมีเวลารบกวนใครๆอย่างนี้
เห็นใครดีต่อกัน เธอคงว่ามันไม่ดี ก็เลยมาทำให้เขามีความหมางใจ

ฉันกับเขาเราคบกันมาตั้งนาน ต้องผิดใจกันเมื่อวันที่เธอเข้ามา

สร้างความร้าวฉาน คืองานของเธอหรือเปล่า
ทำให้ใครแตกร้าว แล้วเธอเป็นสุขใช่ใหม
หากเธอไม่รักเขาจริง ฉันคงจะต้องขอไว้
ให้เธอช่วยไปไกลๆจากเราซะที เพราะคนๆนี้ฉันรักของฉันจริงๆ

ขอแค่เธอบอกมา ว่าเธอต้องการเขาจริง ฉันก็จะยอมทิ้งเขาและยอมจากไป
แต่ฉันแค่มองด้วยตา มันก็มองถึงใจ ว่าเธอไม่เคยรักใครจริงจังซักคน

ฉันกับเขาเราคบกันมาตั้งนาน ต้องผิดใจกันเมื่อวันที่เธอเข้ามา

สร้างความร้าวฉาน คืองานของเธอหรือเปล่า
ทำให้ใครแตกร้าว แล้วเธอเป็นสุขใช่ใหม
หากเธอไม่รักเขาจริง ฉันคงจะต้องขอไว้
ให้เธอช่วยไปไกลๆจากเราซะที เพราะคนๆนี้ฉันรักของฉันจริงๆ

สร้างความร้าวฉาน คืองานของเธอหรือเปล่า
ทำให้ใครแตกร้าว แล้วเธอเป็นสุขใช่ใหม
หากเธอไม่รักเขาจริง ฉันคงจะต้องขอไว้
ให้เธอช่วยไปไกลๆจากเราซะที เพราะคนๆนี้ฉันรักของฉันจริงๆ",maleewan_jimena
ไม่อยากเป็นคนสุดท้าย,/music/thailyric/4795,"หมดแล้วในความอดทน สับสนมานานเท่าไร
เจ็บและช้ำแค่ไหน ที่ต้องรอเธอเหมือนเก่า
ที่เห็นคือความเลื่อนลอย ที่คอยคือความว่างเปล่า
หากที่เห็นเป็นเธอ ที่แท้คือเงา ที่หลอกลวงในหัวใจ

ยามมีใครๆ ไม่เคยจะมองเห็นกัน
เธอจะคิดถึงฉัน ก็เมื่อเธอไม่มีใคร

ไม่อยากเป็นคนสุดท้าย ที่รอให้เธอมาหา
ก่อนที่เธอจะมา ต้องเสียน้ำตาสักเท่าไร
ไม่อยากต้องทนต้องฝืน ยอมรับความจริงไม่ไหว
ว่าเป็นคนสุดท้าย สุดท้ายที่เธอต้องการ

ยิ่งคิดก็ยิ่งปวดใจ เก็บไว้แต่ความไหวหวั่น
สิ่งที่เธอให้ฉัน คือภาพของความร้าวราน
ไขว่คว้ามานานเพียงไหน สุดท้ายแค่ลมพัดผ่าน
สิ่งที่ฉันต้องทน และต้องทรมาน มันหนักจนเกินรับไหว

ยามมีใครๆ ไม่เคยจะมองเห็นกัน
เธอจะคิดถึงฉัน ก็เมื่อเธอไม่มีใคร

ไม่อยากเป็นคนสุดท้าย ที่รอให้เธอมาหา
ก่อนที่เธอจะมา ต้องเสียน้ำตาสักเท่าไร
ไม่อยากต้องทนต้องฝืน ยอมรับความจริงไม่ไหว
ว่าเป็นคนสุดท้าย สุดท้ายที่เธอต้องการ

เป็นเพียงผู้หญิงคนหนึ่ง
ที่อยากจะมีหัวใจเพียงเพื่อเธอ เพื่อเธอเท่านั้น
และอยากจะเป็น คนที่เธอให้ความสำคัญ
เป็นแค่เพียงคนเดียวเท่านั้น ที่ใจเธอต้องการ

ไม่อยากเป็นคนสุดท้าย ที่รอให้เธอมาหา
ก่อนที่เธอจะมา ต้องเสียน้ำตาสักเท่าไร
ไม่อยากต้องทนต้องฝืน ยอมรับความจริงไม่ไหว
ว่าเป็นคนสุดท้าย สุดท้ายที่เธอต้องการ

ไม่อยากเป็นคนสุดท้าย ที่รอให้เธอมาหา
ก่อนที่เธอจะมา ต้องเสียน้ำตาสักเท่าไร
ไม่อยากต้องทนต้องฝืน ยอมรับความจริงไม่ไหว
ว่าเป็นคนสุดท้าย สุดท้ายที่เธอต้องการ

คงต้องยอมตัดใจ และขอลาไปซะที",maleewan_jimena
สงสารกันหน่อย,/music/thailyric/14724,"ในวันที่เธอเลิกไป
ไม่เคยจะมีวี่แวว
ใจก็เจ็บอยู่แล้ว
ที่เธอไป ไปกับใครคนนั้น
ทำไมต้องพาเขามา
มาให้เจอกับฉัน
เธอยิ่งทำอย่างนั้น
เหมือนยิ่งเหยียบ
เหยียบย่ำและซ้ำเติม

สงสารกันหน่อยได้ไหม
ใจมันรับอีกไม่ไหว
เมื่อจะมีรักใหม่
ทำไมต้องพามาเจอ

สงสารกันหน่อยได้ไหม
สงสารฉันบ้างสิเธอ
โปรดอย่ามาให้เจอ
ยามเธอคู่เคียงคนใหม่

เธอเดินจับมือเขาไป
เหมือนเธอตั้งใจตอกย้ำ
เดินบนความเจ็บช้ำ
ย่ำใจเก่าๆ ไม่ให้เหลือไว้
ฉันก็คนเหมือนกัน
ต้องการให้เจ็บแค่ไหน
ยังไม่พอใช่ไหม
ฉันยังไม่เจ็บเท่าเธอต้องการ

สงสารกันหน่อยได้ไหม
ใจมันรับอีกไม่ไหว
เมื่อจะมีรักใหม่
ทำไมต้องพามาเจอ

สงสารกันหน่อยได้ไหม
สงสารฉันบ้างสิเธอ
โปรดอย่ามาให้เจอ
ยามเธอคู่เคียงคนใหม่

สงสารกันหน่อยได้ไหม
ใจมันรับอีกไม่ไหว
เมื่อจะมีรักใหม่
ทำไมต้องพามาเจอ

สงสารกันหน่อยได้ไหม
สงสารฉันบ้างสิเธอ
โปรดอย่ามาให้เจอ
ยามเธอคู่เคียงคนใหม่",maleewan_jimena
ฝากดูแลแทนฉัน,/music/thailyric/4791,"ตัดใจอย่างไรให้ขาด กับคนที่เคยแคร์
สุดท้ายก็คงแล้วแต่ ถ้าเขาจะไป
อยากทำให้ดีที่สุด ก็รู้ต้องทำใจ
เมื่อฉันเป็นคนที่เขาไม่ต้องการ

ถึงฉันจะดึงเขาไว้ได้นาน ต้องการเขาเท่าไร
ยิ่งยื้อยังไง ยิ่งรั้งยังไง ยิ่งแพ้
ฝากดูแลผู้ชายคนนี้สักคน เหมือนฉันดูแล
อยากให้เธอคอยแคร์ รักและจริงใจทุกๆนาที
รักเขาให้มากอย่างฉัน ฉันรู้เธอทำได้ดี
บอกเขาให้ที ว่าคนอย่างฉันยอม ตัดใจ

กอดเขาให้เขาได้อุ่น ก่อนนอนทุกๆคืน
จูบเขาเวลาเขาตื่น ที่แก้มเบาเบา
สบตาเขาแทนฉันหน่อย บอกรักเขาทุกคราว
ให้มีชีวิตที่ผ่านไปด้วยดี

ถึงฉันจะดึงเขาไว้ได้นาน ต้องการเขาเท่าไร
ยิ่งยื้อยังไง ยิ่งรั้งยังไง ยิ่งแพ้
ฝากดูแลผู้ชายคนนี้สักคน เหมือนฉันดูแล
อยากให้เธอคอยแคร์ รักและจริงใจทุกๆนาที
รักเขาให้มากอย่างฉัน ฉันรู้เธอทำได้ดี
บอกเขาให้ที ว่าคนอย่างฉันยอม ตัดใจ

ถึงฉันจะดึงเขาไว้ได้นาน ต้องการเขาเท่าไร
ยิ่งยื้อยังไง ยิ่งรั้งยังไง ยิ่งแพ้
ฝากดูแลผู้ชายคนนี้สักคน เหมือนฉันดูแล
อยากให้เธอคอยแคร์ รักและจริงใจทุกๆนาที
รักเขาให้มากอย่างฉัน ฉันรู้เธอทำได้ดี
บอกเขาให้ที ว่าคนอย่างฉันยอม ตัดใจ",maleewan_jimena
ถ้าเธออยากรู้,/music/thailyric/4790,"เธอไม่มีวันจะรู้ได้เลย เพราะว่าเธอไม่เคยใส่ใจ
อยู่กับตัวเอง ตัดสินเอาเอง เรื่องจริงไม่เคยเข้าใจ

ใจของใครก็ย่อมต่างกัน เรื่องราวร้อยพันเก็บไว้ข้างใน
ต้องเข้ามามองให้ชัด ก่อนตัดสินใจ

ถ้าเธออยากรู้ ก็ตามมาดูให้ถึง (ตามมาดูให้ซึ้ง)
ถ้าอยากจะเห็นให้ซึ้ง ก็ลองมาคบกันไป
หากว่าเธอมีใจให้กัน ฉันก็พร้อมและเต็มใจ
ปล่อยให้วันเวลาพิสูจน์หัวใจ

ก็อยากให้มองลึกสักหน่อย แล้วค่อยพูดว่าเธอเข้าใจ
สบตากับฉันให้ชัดนานๆ สักครั้งหนึ่งไม่ยากอะไร

ใจของใครก็ย่อมต่างกัน เรื่องราวร้อยพันเก็บไว้ข้างใน
ต้องเข้ามามองให้ชัด ก่อนตัดสินใจ

ถ้าเธออยากรู้ ก็ตามมาดูให้ถึง (ตามมาดูให้ซึ้ง)
ถ้าอยากจะเห็นให้ซึ้ง ก็ลองมาคบกันไป
หากว่าเธอมีใจให้กัน ฉันก็พร้อมและเต็มใจ
ปล่อยให้วันเวลาพิสูจน์หัวใจ

ถ้าเธออยากรู้ ก็ตามมาดูให้ถึง (ตามมาดูให้ซึ้ง)
ถ้าอยากจะเห็นให้ซึ้ง ก็ลองมาคบกันไป
หากว่าเธอมีใจให้กัน ฉันก็พร้อมและเต็มใจ
ปล่อยให้วันเวลาพิสูจน์หัวใจ

ก็อยู่ที่เธอจะคิดเหมือนกันบ้างไหม",maleewan_jimena
สิ่งที่ฉันเป็น,/music/thailyric/4796,"เธอก็คงมองฉันเหมือนคนอื่น เธอไม่เคยมองเห็นตัวจริงข้างใน
เธอไม่เคยจะรู้ฉันเหงาเพียงใด ในวันที่เธอหายไปอย่างนี้

เป็นแค่เพียงผู้หญิงที่รักเธอ รอให้เธอมาหามาคอยใส่ใจ
ใครจะมองว่าฉันเข้มแข็งเพียงใด จริงๆข้างในไม่เป็นอย่างนั้น

อยากมีความรักที่คอยเป็นหลัก ให้ใจพักพิง
อยากมีคนรักที่เป็นทุกสิ่ง อยู่เคียงข้างฉัน
อยากให้เธอรู้ความจริงทุกอย่าง ที่ใจต้องการ
ไม่ขอมากไปกว่านั้น แค่ขอให้รู้ว่าฉันรักเธอ

เพียงถ้าเธอมองฉันให้นานๆ เธอก็คงมองเห็นตัวจริงข้างใน
เป็นแค่เพียงคนเหงาอ้างว้างเดียวดาย รอใครสักคนที่จะเข้าใจ

อยากมีความรักที่คอยเป็นหลัก ให้ใจพักพิง
อยากมีคนรักที่เป็นทุกสิ่ง อยู่เคียงข้างฉัน
อยากให้เธอรู้ความจริงทุกอย่าง ที่ใจต้องการ
ไม่ขอมากไปกว่านั้น แค่ขอให้รู้ว่าฉันรักเธอ

อยากมีความรักที่คอยเป็นหลัก ให้ใจพักพิง
อยากมีคนรักที่เป็นทุกสิ่ง อยู่เคียงข้างฉัน
อยากให้เธอรู้ความจริงทุกอย่าง ที่ใจต้องการ
ไม่ขอมากไปกว่านั้น แค่ขอให้รู้ว่าฉันรักเธอ

ไม่ขอมากไปกว่านั้น ให้รู้ว่าคนอย่างฉันรักเธอ",maleewan_jimena
ความจริง,/music/thailyric/9742,"มองฉันหน่อย มองนัยน์ตาฉันหน่อย
ยังคงเฝ้าคอย ให้เธอได้เห็นความจริง
โปรดอย่าทิ้ง ฉันไว้คนเดียว ให้ทรมานลำพัง

ฟังฉันหน่อย อยากให้ฟังฉันหน่อย
อย่าทำเลื่อนลอย กับคำขอร้องเลยเธอ
สิ่งที่เธอ เข้าใจมานาน อาจจะไม่ใช่ความจริง

เก็บมันเอาไว้ในใจ ไม่รู้จะบอกยังไง
ได้แต่เก็บงำความลับเอาไว้ ช้ำเกินจะทน
ให้โอกาสฉันได้เจอ ได้พูดให้ฟังสักหน
แค่เพียงเท่านี้จริงๆ ที่ขอจากใจ ให้กันได้ไหมเธอ

ความรู้สึก มันยังคงฝังอยู่
จะนานเท่าไร ไม่มีวันลบเลือนไป
เธอรู้ไหม ฉันเป็นยังไง ที่ต้องช้ำใจคนเดียว

เก็บมันเอาไว้ในใจ ไม่รู้จะบอกยังไง
ได้แต่เก็บงำความลับเอาไว้ ช้ำเกินจะทน
ให้โอกาสฉันได้เจอ ได้พูดให้ฟังสักหน
แค่เพียงเท่านี้จริงๆ ที่ขอจากใจ ให้กันได้ไหมเธอ

เก็บมันเอาไว้ในใจ ไม่รู้จะบอกยังไง
ได้แต่เก็บงำความลับเอาไว้ ช้ำเกินจะทน
ให้โอกาสฉันได้เจอ ได้พูดให้ฟังสักหน
แค่เพียงเท่านี้จริงๆ ที่ขอจากใจ ให้กันได้ไหมเธอ",maleewan_jimena
คิดถึงเหลือเกิน,/music/thailyric/4786,"ไกลอาจจะไกลแสนไกล อาจจะไกลจนสุดสายตา
เราห่างกันอาจจะไกลสุดฟ้า อาจจะเกินที่จะพบกัน

แต่ความห่างไกลไม่เคยห้ามใจ ที่ยังคิดถึงส่งไปให้ถึงใจเธอ
อยากจะบอกเธอ คิดถึงเธอเหลือเกิน

ยังไม่ลืมที่ได้เคยใกล้กัน ไม่ลืมวันและคืนนั้นเลย
ยังไม่ลืมที่เราคุ้นเคย ที่เราผูกพันก่อนจากกัน จนไกลแสนไกล

แต่ความห่างไกลไม่เคยห้ามใจ ที่ยังคิดถึงส่งไปให้ถึงใจเธอ
อยากจะบอกเธอ คิดถึงเธอเหลือเกิน

แต่ความห่างไกลไม่เคยห้ามใจ ที่ยังคิดถึงส่งไปให้ถึงใจเธอ
อยากจะบอกเธอ คิดถึงเธอเหลือเกิน

อยากบอกเธอ คิดถึงเธอเหลือเกิน",maleewan_jimena
