song_name,href,lyric,artist
คนไม่มีสิทธิ์,/music/thailyric/4901,"อยู่อย่างคนไม่มีสิทธิ์ ก็ผิดตั้งแต่วันที่เราเกิด
เจ็บอย่างไรก็ทนไปเถิด จะเกิดอะไรก็ต้องทน (จะเจ็บอย่างไรก็จะทน)

หากว่าเธอสิ้นเยื่อใย ประโยชน์อะไรที่จะบ่น
อยู่อย่างดินต้องเจียมตน จะอดจะทนเพราะเข้าใจ

เมื่อเธอไม่รักก็ช่างเถิด มันถูกอยู่แล้วที่เธอไป
หากเป็นเราไม่ถูกใจใคร ก็คงจะทำไปอย่างนั้นเหมือนกัน

คนอย่างเราต้องยอมอดทน ได้เกิดเป็นคนก็บุญนักหนา
เธอไม่แลก็แล้วแต่ฟ้า สั่งลงมาให้เสียเธอไป
คนอย่างเราไม่มีอุทธรณ์ จะเจ็บจะร้อนต้องเก็บเอาไว้
คนจะไปก็คือต้องไป ดีแค่ไหนที่เธอเคยมอง
(คนอย่างเราไม่มีอะไร ไม่มีสิทธิ์มีเสียง ได้เพียงแค่มอง)

เมื่อเธอไม่รักก็ช่างเถิด มันถูกอยู่แล้วที่เธอไป
หากเป็นเราไม่ถูกใจใคร ก็คงจะทำไปอย่างนั้นเหมือนกัน

คนอย่างเราต้องยอมอดทน ได้เกิดเป็นคนก็บุญนักหนา
เธอไม่แลก็แล้วแต่ฟ้า สั่งลงมาให้เสียเธอไป
คนอย่างเราไม่มีอุทธรณ์ จะเจ็บจะร้อนต้องเก็บเอาไว้
คนจะไปก็คือต้องไป ดีแค่ไหนที่เธอเคยมอง
(คนอย่างเราไม่มีอะไร ไม่มีสิทธิ์มีเสียง ได้เพียงแค่มอง)

อยู่อย่างคนไม่มีสิทธิ์",micro
เติมน้ำมัน,/music/thailyric/4905,"รู้ไหมเวลาที่เธอไม่อยู่
ฉันนี้เจ็บลึกๆ ในใจทุกครั้งพอมันกังวล
เมื่อไหร่คล้ายๆ จะเริ่มแพ้ใจตน
แต่ก่อนนั้นมันก็เคยดีแต่เดี่ยวนี้
มันกลับจำฝืนทนตั้งแต่นั้นโลกก็สับสน
ใจมันรนร้อนสิ้นดีหากวันนี้ได้รักเติมอีกที
คงเริ่มมีกำลังเคลื่อนไหว
หากเติมรักครั้งนั้นให้กับใจฉันไว้ ฉันนี้คงไม่ตาย
รู้ไหมพอกำลังใจฉันหมดเหมือนรถถูกทิ้งไว้นานๆ
และแม้ใครลองมาเติมน้ำมันรถนั้นอาจเริ่มแล่นไปไกล
และตัวฉันมันก็พอกันจากวันนั้นมันต้องการน้ำใจ
ต่อชีวิตให้มันอยู่ไหวกำลังใจฉันไม่มี
หากวันนี้ได้รักเติมอีกทีคงเริ่มมีกำลังเคลื่อนไหว
หากเติมรักครั้งนั้นให้กับใจฉันไว้
ฉันนี้คงไม่ตายก็ขอเพียงกลับมา
คืนมาดังเดิมแค่มาเติมน้ำใจให้หน่อย
ให้กับใจที่มันเลื่อนลอย",micro
มันก็ยังงงงง,/music/thailyric/4907,"แปลกใจ แปลกใจที่เธอแปลกคน
ไม่เคยเห็นใครชอบกลเหมือนเธอ
มันก็เลยงงงง มันก็ยังงงงง

กลับมา กลับมาแล้วยังกลับไป
กลับไปแล้วยังกลับมาได้ไง
มันก็เลยงงงง มันก็ยังงงงง กันอยู่

แว่บไปแว่บมาตามันลาย มองกันไม่ชัดเจน
เดี๋ยวเบื่อเดี๋ยวอยากไม่เคยเห็น มีทีเล่นทีจริง
ยังไม่นิ่งไม่ตรง ทำขึ้นๆลงๆ ก็เลยยังสงสัยอยู่

แปลกใจ ไม่เคยเห็นใครอย่างเธอ
ไม่เคยพบเคยเจอะเจอไม่เคย
มันก็เลยงงงง มันก็ยังงงงง กันอยู่

แว่บไปแว่บมาตามันลาย มองกันไม่ชัดเจน
เดี๋ยวเบื่อเดี๋ยวอยากไม่เคยเห็น มีทีเล่นทีจริง
ยังไม่นิ่งไม่ตรง ทำขึ้นๆลงๆ ก็เลยยังสงสัยอยู่

แปลกใจ ไม่เคยเห็นใครอย่างเธอ
ไม่เคยพบเคยเจอะเจอไม่เคย
มันก็เลยงงงง มันก็ยังงงงง กันอยู่

แว่บไปแว่บมาตามันลาย มองกันไม่ชัดเจน
เดี๋ยวเบื่อเดี๋ยวอยากไม่เคยเห็น มีทีเล่นทีจริง
ยังไม่นิ่งไม่ตรง ทำขึ้นๆลงๆ ก็เลยยังสงสัยอยู่

จับปลา จับปลาสองมือได้ไง
จับปลาแล้วทำปล่อยปลาทิ้งไป
มันก็เลยงงงง มันก็ยังงงงง
มันก็เลยงงงง มันก็ยังงงงง
มันก็เลยงงงง มันก็ยังงงงง กันอยู่ ว๊าว..",micro
รุนแรงเหลือเกิน,/music/thailyric/4913,"จากวันนี้ ไม่มีอะไรเหลืออยู่
ให้เหลือพอจะดู ต่างหน้าเธอ
ก็คงเหลือ แต่ดวงตาที่เหม่อ
คอยหวังที่จะเจอ แค่อีกสักครั้ง

หากได้เจอเพียงสักครั้ง ก็พอใจ
จะได้ถามว่าทำไม ถึงได้ทำรุนแรงเหลือเกิน
เกินใจของคนจะทน ต้องร้อนรนตะเกียกตะกาย
หากบอกความจริงสักคำ ว่าทำไมต้องมาจากไป
จะไม่ว่าสักคำ

จะไม่ขอ ให้คืนมาเหมือนเก่า
คงต้องยอมให้เรา จบสิ้นไป
แต่จะถาม สิ่งที่ยังคาหัวใจ
ว่าฉันทำอะไร อะไรนักหนา

หากได้เจอเพียงสักครั้ง ก็พอใจ
จะได้ถามว่าทำไม ถึงได้ทำรุนแรงเหลือเกิน
เกินใจของคนจะทน ต้องร้อนรนตะเกียกตะกาย
หากบอกความจริงสักคำ ว่าทำไมต้องมาจากไป
จะไม่ว่าสักคำ

ช่างทำรุนแรงเหลือเกิน เกินใจของคนจะทน
ต้องร้อนรนตะเกียกตะกาย อยากจากลาคนทั้งคน
ทำไมถึงทำง่ายดาย ไม่เห็นใจบ้างเลย",micro
เรามันก็คน,/music/thailyric/4914,"คนเราที่ดี บางทีมันก็เลว
บางทีก็เลว แหลกเละกันไปบ้าง
บางคนที่ดี บางทีก็ต้องพลั้ง
ต้องมีเผลอ มีพลาดพลั้งกันอยู่แล้ว

ใครเลยอยากเลว แหลกเละไปแบบนี้
คนเราก็มี ดีเลวกันไปบ้าง
ใครกันอยากเลว ใครกันอยากผิดหวัง
ต้องมีเผลอ มีพลาดพลั้งกันอยู่แล้ว

ที่ทำไป ทำให้เธอนั้นต้องเจ็บต้องช้ำใจ
ก็รู้ตัวว่ามันผิด มันพลาดไป
ก็แล้วใครหล่ะ จะอยากทำร้ายเธอ

คนเลวก็มี คนดีมีก็เห็น
ใครเลยอยากเป็น ผู้ร้ายกันไปบ้าง
เรามันก็คน ไม่ใช่พระเอกหนัง
ต้องมีเผลอ มีพลาดพลั้งกันอยู่แล้ว

ผิดไปแล้ว ยอมรับกันว่ามันผิดมันพลาดไป
มันก็เลวกันไปบ้าง ไม่ตั้งใจ
จะโทษใคร ฉันมันผิดมันพลาดเอง

ก็ยังอยากจะรักกัน ยังมีวันต่อไป
ได้แต่บอกว่าเสียใจ โทษที
พลั้งไปบ้างไม่ตั้งใจ อภัยกันบ้างสิ
ได้แต่บอกว่าโทษทีผิดไปแล้ว

ผิดไปแล้ว ยอมรับกันว่ามันผิดมันพลาดไป
มันก็เลวกันไปบ้าง ไม่ตั้งใจ
จะโทษใคร ฉันมันผิดมันพลาดเอง

ผิดไปแล้ว ยอมรับกันว่ามันผิดมันพลาดไป
มันก็เลวกันไปบ้าง ไม่ตั้งใจ
จะโทษใคร ฉันมันผิดมันพลาดเอง
ผิดไปแล้ว",micro
จำฝังใจ,/music/thailyric/4902,"จากวันที่เคยมาพบมาเจอกัน จากวันที่เคยมีรักและทำดีให้กัน
และจากวันที่ต่างเคยร่วมทุกข์และร่วมสุข จากวันที่มีรอยยิ้มเคยดีใจเคยร้องไห้ด้วยกัน

แล้ววันหนึ่ง ถึงวันเธอจากไป จากกันไปอย่างง่ายดาย ไม่มีคำเอ่ยลา ไม่มีน้ำใจ

ทุกสิ่งที่เคยร่วมทำ กลับมากลายเป็นแค่ฝันไป ทุกสิ่งที่เคยร่วมใจ จะลืมไปให้หมดสิ้นกัน

จากวันที่เคยหกล้มและซมซาน ต่างคนช่วยกันฉุดแขนคอยประคองฝ่าฟัน
คงหมดกันเพียงเท่านี้ความรักเอาใจใส่ จะลืมว่าใครเคยทิ้งเราไปไกลโดยไม่ลาซักคำ

จดจำให้มันฝังใจ ว่าเวลาช่วงหนึ่งหายไป จำว่าไม่เคยพบใคร ไม่มีใครเคยอยู่เคยทิ้งเราไป

จำฝังใจ ว่าเวลาช่วงหนึ่งหายไป จำว่าไม่เคยพบใคร ไม่มีใครเคยอยู่เคยทิ้งเราไป

จดจำให้มันฝังใจ ว่าเวลาช่วงหนึ่งหายไป จำว่าไม่เคยพบใคร ไม่มีใครเคยอยู่เคยทิ้งเราไป

จำฝังใจ ว่าเวลาช่วงหนึ่งหายไป จำว่าไม่เคยพบใคร ไม่มีใครเคยอยู่เคยทิ้งเราไป

จดจำให้มันฝังใจ จำว่าไม่เคยพบใคร ไม่มีใครเคยอยู่เคยทิ้งเราไป
จดจำให้มันฝังใจ",micro
รักปอนปอน,/music/thailyric/4912,"ตัวฉันคนอย่างตัวฉันใครจะมาสนใจ
คนสวยคนที่ดีพร้อมเขาก็มองข้ามไป
เพราะฉันมันเป็นคนแบบปอนปอนทั่วไป
ไม่เห็นจะมีดีที่ใดปล่อยชีวิตไปวันวัน
ได้แต่ฝันจะมีใครอยู่ข้างเคียง
ยามเหงาได้แต่ทนเอาเราเกิดเป็นผู้ชาย
เจียมไว้ได้แต่เจียมหัวใจได้แต่คอยซักวัน
และแล้วมาเจอคนแบบปอนปอนเหมือนกัน
ตัวฉันจึงมีคนรู้ใจไปไหนก็ไปกันต่างก็รู้ในใจกัน
เรามั่นใจ..เราจะฝ่าฟันเรารู้เรา
มีกันและกันเราจะแบ่งปันจะบวกใจ
ให้เป็นหนึ่งเดียว..บางครั้งถ้าหากเจอฝน
เราจะทนด้วยกันเราหนาวเราเปียกปอนเท่าใด
เดินต่อไปไม่หวั่นเพราะรู้ว่าเราเป็น
แบบปอนปอนเหมือนกันมีร่มเพียงคันเดียวก็พอ
เท่านั้นก็พอใจหากลมฝนจะแรงไปเราไม่กลัว

(Solo....)
และแล้วมาเจอคนแบบปอนปอนเหมือนกัน
ตัวฉันจึงมีคนรู้ใจไปไหนก็ไปกัน
ต่างก็รู้ในใจกันเรามั่นใจไปไหนก็ไปกัน
ต่างก็รู้ในใจกันอย่างนี้บางครั้งถ้าหากเจอฝน
เราจะทนด้วยกันเราหนาวเราเปียกปอนเท่าใด
เดินต่อไปไม่หวั่นบางครั้งถ้าหากเจอฝน
เราจะทนด้วยกันเราหนาวเราเปียกปอนเท่าใด
เดินต่อไปไม่หวั่น",micro
อย่าดีกว่า,/music/thailyric/4916,"คิดมานาน เราเฝ้ามองมานาน นานเสียจนเธอเอง รู้ตัวเอง
ว่ามีคนเฝ้ามอง แอบมองเธอทุกเวลา

ก็ถามตัวเอง ว่าเรานั้นมีอะไร มองเขามองทำไม แล้วยังไง
แอบติดใจเธอรึเปล่า อย่างเราทำได้คงเพียงแต่มอง ได้แต่ร่ำร้องเรียกในใจ

(อย่าดีกว่า) ลืมเสียดีกว่า ลืมซะเรา บอกตัวเองได้แต่บอกตัวเอง
ว่าอย่าดีกว่า ลืมเสียดีกว่า ลืมซะเรา บอกตัวเองได้แต่บอกตัวเอง ว่าอย่าดีกว่า

ก็ถามตัวเอง ว่าเรานั้นมีอะไร มองเขามองทำไม แล้วยังไง
แอบติดใจเธอรึเปล่า อย่างเราทำได้คงเพียงแต่มอง ได้แต่ร่ำร้องเรียกในใจ

ก็รู้ตัวเอง แอบรักเธอมาตั้งนาน รั้วบ้านเรามันติดกัน แต่เรานั้นก็ห่างกันไกล
ก็รู้ตัวดี ไม่รู้ทำไม ไกลกันดั่งเหมือนว่าดินกับฟ้า

(อย่าดีกว่า) ลืมเสียดีกว่า ลืมซะเรา บอกตัวเองได้แต่บอกตัวเอง
ว่าอย่าดีกว่า ลืมเสียดีกว่า ลืมซะเรา บอกตัวเองได้แต่บอกตัวเอง ว่าอย่าดีกว่า

(อย่าดีกว่า) ลืมเสียดีกว่า ลืมซะเรา บอกตัวเองได้แต่บอกตัวเอง
ว่าอย่าดีกว่า ลืมเสียดีกว่า ลืมซะเรา บอกตัวเองได้แต่บอกตัวเอง ว่าอย่าดีกว่า

(อย่าดีกว่า) ลืมเสียดีกว่า ลืมซะเรา บอกตัวเองได้แต่บอกตัวเอง
ว่าอย่าดีกว่า ลืมเสียดีกว่า ลืมซะเรา บอกตัวเองได้แต่บอกตัวเอง ว่าอย่าดีกว่า",micro
ตายเปล่า,/music/thailyric/4904,"เธอถามว่าฉันจะตายเพื่อเธอได้ไหม
ฉันตอบกลับไปว่าไม่ค่อยแน่ใจเท่าไหร่
มันแล้วแต่เธอจะทำให้เป็นยังไงแล้วแต่ว่าตาย
เพื่อเธอมันคุ้มหรือเปล่าก็เพราะชีวิตมันมีชีวิตเดียว
ให้ขว้างทิ้งคงทำไม่ได้ฉันรักเธอปัญหาก็คือ
เธอรักฉันแค่ไหนกันตายเพื่อคนที่เรารักและรักเรา
ตายได้เลยไม่เคยหวั่นแต่ให้ตายเพื่อคนที่ไม่รักกัน
ยังงั้นมันจะมีความหมายอะไรก็ตายเปล่าเสียเปล่า
ตายเปล่าให้มันได้อะไร

เธอถามว่าฉันจะตายเพื่อเธอได้ไหม
ฉันตอบกลับไปว่าไม่ค่อยแน่ใจเท่าไหร่
มันแล้วแต่เธอว่าเธอจะจริงแค่ไหนทุ่มเททุ่มใจให้กัน
อย่างนั้นหรือเปล่าก็เพราะชีวิตมันมีชีวิตเดียว
ให้ขว้างทิ้งคงทำไม่ได้ฉันรักเธอปัญหาก็คือ
เธอรักฉันแค่ไหนกันตายเพื่อคนที่เรารักและรักเรา
ตายได้เลยไม่เคยหวั่นแต่ให้ตายเพื่อคนที่ไม่รักกัน
ยังงั้นมันจะมีความหมายอะไรก็ตายเปล่าเสียเปล่า
ตายเปล่าให้มันได้อะไร

ตายเพื่อคนที่เรารักและรักเราตายได้เลยไม่เคยหวั่น
แต่ให้ตายเพื่อคนที่ไม่รักกันยังงั้นมันจะมีความหมายอะไร
ก็ตายเปล่าเสียเปล่าตายเปล่าให้มันได้อะไร
อย่าถามว่าฉันจะตายเพื่อเธอได้ไหม",micro
ไม่มีเหลือใคร,/music/thailyric/4908,"วันที่ฉันอับจนหนทางทุกทุกคนทุกทุกคนก็จากฉันไป
แต่ยังหวังว่าเธอผู้เดียวจะเหลืออยู่จะเหลืออยู่และเข้าใจ
แต่เธอคนสุดท้ายก็ยังจะไปทำไมเธอต้องไปในตอนนี้
ตอนที่ต้องการใครซักคนขอร้องว่าอย่าเพิ่งจากฉันไป
เพราะฉันไม่มีเหลือใครไม่มีอีกแล้วฉันจะอยู่และทนได้ไง
ถ้าฉันไม่มีเหลือใครแม้เธอคนนี้เธอหากเธอได้เห็นหัวใจ
มันร้องไห้มันร้องไห้มันทรมานหากว่าเธอได้ยินหัวใจ
ที่เรียกเธอที่เรียกเธอที่ต้องการเธอคงไม่ทิ้งฉันไปไกล
เธอคงไม่ไปในตอนนี้ตอนที่ไม่มีใครซักคน
ขอร้องว่าอย่าเพิ่งจากฉันไปเพราะฉันไม่มีเหลือใครไม่มีอีกแล้ว
ฉันจะอยู่และทนได้ไงถ้าฉันไม่มีเหลือใครแม้เธอคนนี้

ขอร้องว่าอย่าเพิ่งจากฉันไปเพราะฉันไม่มีเหลือใครไม่มีอีกแล้ว
ฉันจะอยู่และทนได้ไงถ้าฉันไม่มีเหลือใครแม้เธอคนนี้",micro
