song_name,href,lyric,artist
กลับคำสาหล่า,/music/thailyric/12776,"คำสั้นสั้น ที่ความยาวมันบ่ถึงนาที
อาจทำลายหลายล้านนาที
สิ่งดีดี ที่เฮาร่วมก่อ

ใจเย็นไว้สา เว้าหยังออกมา
ฮู้โตบ่น้อ เรื่องมื้อนี้อ้ายสิบ่คึดต่อ
แค่อยากขอให้เห็นแก่ฮักเฮา

เก็บเอาไว้ก่อน คำว่าลาก่อน
เสื่องไว้สาก่อนคนดีของอ้าย
ตะกี้ตะก่อน ฮักกันส่ำใด๋
อยากให้ลองตรองดูจั๊กคราว

เก็บเอาไว้ก่อน คำว่าลาก่อน
เสื่องไว้สาก่อน อย่าด่วน อย่าฟ้าว
บ่ต้องป๋ากัน ฮักกันคือเก่า ให้เป็นคือเก่า
อ้ายขอให้เจ้า กลับคำสาหล่า

คำสั้นสั้น ที่ความหมายมันรุนแรงเกินไป
มันสะเทือนฮอดหัวใจอ้าย
หยุดเอาไว้เซาเว้าเด้อหล่า

อยู่กันมาดน ต้องมีสักหน ที่มีปัญหา
ผิดใจกันก็เรื่องธรรมดา
อย่าถือสาให้มันเป็นเรื่องราว

เก็บเอาไว้ก่อน คำว่าลาก่อน
เสื่องไว้สาก่อนคนดีของอ้าย
ตะกี้ตะก่อน ฮักกันส่ำใด๋
อยากให้ลองตรองดูจั๊กคราว

เก็บเอาไว้ก่อน คำว่าลาก่อน
เสื่องไว้สาก่อน อย่าด่วน อย่าฟ้าว
บ่ต้องป๋ากัน ฮักกันคือเก่า ให้เป็นคือเก่า
อ้ายขอให้เจ้า กลับคำสาหล่า

คำสั้นสั้น ที่ความหมายมันรุนแรงเกินไป
มันสะเทือนฮอดหัวใจอ้าย
หยุดเอาไว้เซาเว้าเด้อหล่า

อยู่กันมาดน ต้องมีสักหน ที่มีปัญหา
ผิดใจกันก็เรื่องธรรมดา
อย่าถือสาให้มันเป็นเรื่องราว

เก็บเอาไว้ก่อน คำว่าลาก่อน
เสื่องไว้สาก่อนคนดีของอ้าย
ตะกี้ตะก่อน ฮักกันส่ำใด๋
อยากให้ลองตรองดูจั๊กคราว

เก็บเอาไว้ก่อน คำว่าลาก่อน
เสื่องไว้สาก่อน อย่าด่วน อย่าฟ้าว
บ่ต้องป๋ากัน ฮักกันคือเก่า ให้เป็นคือเก่า
อ้ายขอให้เจ้า กลับคำสาหล่า

เก็บเอาไว้ก่อน คำว่าลาก่อน
เสื่องไว้สาก่อนคนดีของอ้าย
ตะกี้ตะก่อน ฮักกันส่ำใด๋
อยากให้ลองตรองดูจั๊กคราว

เก็บเอาไว้ก่อน คำว่าลาก่อน
เสื่องไว้สาก่อน อย่าด่วน อย่าฟ้าว
บ่ต้องป๋ากัน ฮักกันคือเก่า ให้เป็นคือเก่า
อ้ายขอให้เจ้า กลับคำสาหล่า",mike_piromporn
ใครหนอ หนอใคร,/music/thailyric/14507,"ใครที่ปลุกฉันให้ตื่นตอนเช้า ทุกวัน
ใครจัดอาหารเตรียมชุดทำงานไว้ให้
ใครเล่าคอยเตือน วันนี้อย่าลืม อะไร
คอยส่งยิ้มให้ ทุกเช้า

ใครที่คอยถามเที่ยงแล้วกินข้าว หรือยัง
ถ้าไม่ได้ฟังเสียงเธอวันไหน มันเหงา
ใครเล่าโทรตาม วันนี้ทำโอ หรือเปล่า
เย็นนี้อยากกิน อะไร

ก็จะใครหนอ หนอใคร
เฝ้าคอยดูแลและคอยห่วงใย
ก็จะใครหนอ หนอใคร
ถ้าไม่ใช่เธอแล้วจะเป็นใคร
รู้สึกเหมือนฉัน นั้นแสนโชคดี
มีคนดีๆ อย่างเธอคนนี้ดูแลหัวใจ

ใครที่ปิดไฟและปิดทีวีให้ฉัน
ในคืนที่ฉันเคลียร์งานเผลองีบ หลับไป
ใครให้ยืมมือ เกาหลังนวดคอ นวดไหล่
หลับฝันสบายทุกคืน

ก็จะใครหนอ หนอใคร
เฝ้าคอยดูแลและคอยห่วงใย
ก็จะใครหนอ หนอใคร
ถ้าไม่ใช่เธอแล้วจะเป็นใคร
รู้สึกเหมือนฉัน นั้นแสนโชคดี
มีคนดีๆ อย่างเธอคนนี้ดูแลหัวใจ

ใครที่ปิดไฟและปิดทีวีให้ฉัน
ในคืนที่ฉันเคลียร์งานเผลองีบ หลับไป
ใครให้ยืมมือ เกาหลังนวดคอ นวดไหล่
หลับฝันสบายทุกคืน

ก็จะใครหนอ หนอใคร
เฝ้าคอยดูแลและคอยห่วงใย
ก็จะใครหนอ หนอใคร
ถ้าไม่ใช่เธอแล้วจะเป็นใคร
รู้สึกเหมือนฉัน นั้นแสนโชคดี
มีคนดีๆ อย่างเธอคนนี้ดูแลหัวใจ

รู้สึกเหมือนฉันนั้นแสนโชคดี
มีคนดีๆ อย่างเธอคนนี้ดูแลหัวใจ",mike_piromporn
เดี๋ยวมันก็ดี,/music/thailyric/14664,"ออกจากบ้านนา มาเมืองหลวง
มาเสี่ยงดวงเพื่อคนข้างหลัง
หวังแล้วก็หวัง ว่าชีวิตจะต้องได้ดี
เรียนมาก็น้อย เป็นแค่คนต้นทุนไม่มี
เดินมาตรงนี้ เอามาแต่ใจ

ไถ่นาให้แม่ ใช้หนี้ให้พ่อ
เก็บเงินไว้เนาะ ตั้งตัวให้ได้
อยากให้ที่บ้าน ทุกคนสบาย
จะเหนื่อยยังไง ท่องจำเอาไว้
ยังไม่ตาย เดี๋ยวมันก็ดี

เวลาจะกิน ไม่ได้กิน พอจะนอนก็ไม่ได้นอน
ทำงานตะลอน ล้มก็ลุกไม่รู้กี่ที
แขนขากับหลัง แทบจะพังแล้วทุกวันนี้
คิดแล้วบางที น้ำตาก็ไหล

ไถ่นาให้แม่ ใช้หนี้ให้พ่อ
เก็บเงินไว้เนาะ ตั้งตัวให้ได้
อยากให้ที่บ้าน ทุกคนสบาย
จะเหนื่อยยังไง ท่องจำเอาไว้
ยังไม่ตาย เดี๋ยวมันก็ดี

สู้ไว้ สู้เข้าไว้ สู้เข้าไปไม่หวั่น
ถ้าขยันแล้วสักวันมันก็ต้องมี
บอกใจให้สู้ ไว้ สู้เข้าไว้ สู้เข้าไปให้สุด
เข่าจะทรุด ก็ต้องยืนด้วยทุกวิธี
บอกใจเอาไว้ ว่าต้องไหว สู้เพื่อฝัน
สู้เพื่อวันที่ใฝ่ ลุย ลุย ลุย ลุย ลุย เข้าไป
ท่องจำเอาไว้ ยังไม่ตาย เดี๋ยวมันก็ดี


ถ้าไม่ได้ดี ได้ดั่งฝัน จะไม่ถอยและไม่กลับไป
แรงมีก็ใช้ ต้องไปได้ให้ไกลกว่านี้
เอาคำว่าจน ดันให้เดินต้องเดินให้ดี
รู้แค่วันนี้ ต้องทำเพื่อใคร


ไถ่นาให้แม่ ใช้หนี้ให้พ่อ
เก็บเงินไว้เนาะ ตั้งตัวให้ได้
อยากให้ที่บ้าน ทุกคนสบาย
จะเหนื่อยยังไง ท่องจำเอาไว้
ยังไม่ตาย เดี๋ยวมันก็ดี

สู้ไว้ สู้เข้าไว้ สู้เข้าไปไม่หวั่น
ถ้าขยันแล้วสักวันมันก็ต้องมี
บอกใจให้สู้ ไว้ สู้เข้าไว้ สู้เข้าไปให้สุด
เข่าจะทรุด ก็ต้องยืนด้วยทุกวิธี
บอกใจเอาไว้ ว่าต้องไหว สู้เพื่อฝัน
สู้เพื่อวันที่ใฝ่ ลุย ลุย ลุย ลุย ลุย เข้าไป
ท่องจำเอาไว้ ยังไม่ตาย เดี๋ยวมันก็ดี

ถ้าไม่ได้ดี ได้ดั่งฝัน จะไม่ถอยและไม่กลับไป
แรงมีก็ใช้ ต้องไปได้ให้ไกลกว่านี้
เอาคำว่าจน ดันให้เดินต้องเดินให้ดี
รู้แค่วันนี้ ต้องทำเพื่อใคร

ไถ่นาให้แม่ ใช้หนี้ให้พ่อ
เก็บเงินไว้เนาะ  ตั้งตัวให้ได้
อยากให้ที่บ้าน ทุกคนสบาย
จะเหนื่อยยังไง ท่องจำเอาไว้
ยังไม่ตาย เดี๋ยวมันก็ดี

ไถ่นาให้แม่ ใช้หนี้ให้พ่อ
เก็บเงินไว้เนาะ ตั้งตัวให้ได้
อยากให้ที่บ้าน ทุกคนสบาย
จะเหนื่อยยังไง ท่องจำเอาไว้
ยังไม่ตาย เดี๋ยวมันก็ดี",mike_piromporn
ในความคึดฮอดมีแต่เจ้าผู้เดียว,/music/thailyric/14306,"ฮัก มันยังฮักคือเก่า
ฮัก ที่เบิดสิทธิ์เว้าแต่วันนั้น
บ่เคยลืม บ่เคยลืม มื้อเคยอยู่นำกัน
ก็ยังจำทุกเรื่องราวของเจ้าตลอดมา

ทั้งที่อ้ายก็ฮู้เฮาเลิกกันมาตั้งดน
เฮาอยู่คนละส่นของโลกมาตั้งนาน
แต่ชีวิตของอ้ายในทุกวัน มันยังหวังสิได้พ้อหน้า

ในความคึดฮอดมันมีแต่เจ้าผู้เดียว
เจ้าผู้เดียวบ่เคยมีไผเข้ามา
เจ้าฮู้บ่ ตั้งแต่เจ้าลา ก็มีแต่คำว่าคึดฮอดเด้

ในความคึดฮอดมันมีแต่เจ้าผู้เดียว
เจ้าผู้เดียวถึงเฮาสิฮ้างสิเพ
อยู่จังได๋ ยังห่วงใยอยู่เด้
ยังถามข่าว ย่อนยังฮักเจ้าหลาย

รอ อ้ายยังรอคนดี
รอ ถึงมันบ่มีเลยจุดหมาย
มีบ่หนอ มีบ่หนอที่เจ้าคึดคืออ้าย
หรือเจ้านั้น ยังคงยืนยันบ่คืนต่าวมา

ทั้งที่อ้ายก็ฮู้เฮาเลิกกันมาตั้งดน
เฮาอยู่คนละส่นของโลกมาตั้งนาน
แต่ชีวิตของอ้ายในทุกวัน มันยังหวังสิได้พ้อหน้า

ในความคึดฮอดมันมีแต่เจ้าผู้เดียว
เจ้าผู้เดียวบ่เคยมีไผเข้ามา
เจ้าฮู้บ่ ตั้งแต่เจ้าลา ก็มีแต่คำว่าคึดฮอดเด้

ในความคึดฮอดมันมีแต่เจ้าผู้เดียว
เจ้าผู้เดียวถึงเฮาสิฮ้างสิเพ
อยู่จังได๋ ยังห่วงใยอยู่เด้
ยังถามข่าว ย่อนยังฮักเจ้าหลาย

ทั้งที่อ้ายก็ฮู้เฮาเลิกกันมาตั้งดน
เฮาอยู่คนละส่นของโลกมาตั้งนาน
แต่ชีวิตของอ้ายในทุกวัน มันยังหวังสิได้พ้อหน้า

ในความคึดฮอดมันมีแต่เจ้าผู้เดียว
เจ้าผู้เดียวบ่เคยมีไผเข้ามา
เจ้าฮู้บ่ ตั้งแต่เจ้าลา ก็มีแต่คำว่าคึดฮอดเด้

ในความคึดฮอดมันมีแต่เจ้าผู้เดียว
เจ้าผู้เดียวถึงเฮาสิฮ้างสิเพ
อยู่จังได๋ ยังห่วงใยอยู่เด้
ยังถามข่าว ย่อนยังฮักเจ้าหลาย

อยู่จังได๋ ยังห่วงใยอยู่เด้
ยังถามข่าว ย่อนยังฮักเจ้าหลาย",mike_piromporn
บุญผลา,/music/thailyric/13674,"บ่น่าเซื่อเนาะว่าเฮาสิมาพ้อกัน
คนตั้งว่าจักล้าน พอปานว่ามีผู้มาซุกยู้ใส่
ให้เฮาเว้าจา ให้ถืกชะตา ถืกใจ
จนตกหลุมความฮัก แล้วขึ้นบ่ได้
งึดใจอยู่เด้เนาะ

ว่าโอ้ละหนอ นางเอย
เจ้ากะเคยคึดนำอยู่แม่นบ่
ว่าฮักเฮาที่เกิดที่ก่อ กะย้อนว่าย้อนว่า

ย้อนบุญผลา เด้เนาะ พาเฮามาพบพ้อ
ฮู้สึกคือกัน อยู่เนาะ คือฮักที่รอที่ฝัน
ให้บุญผลา พาฮัก ให้ฮักเฮาคือเก่าทุกวัน
ได้หายใจอยู่ใกล้ๆ กันจนฮอดมื้อตาย ได้ซ่ำนี้กะพอ

บ่น่าเซื่อเนาะ ว่าอ้ายสิพ้อฮักแท้
นอกจากพ่อกับแม่ กะมีแต่เจ้าฮั่นล่ะเด้อ
อ้ายว่า อดข้าวกะตาย ขาดเจ้ากะบ่ได้ สั่นดอกวา
เบิ่งแงงกันเด้อหล่า ให้สมบุพเพ
เฮาฮ่วมสร้างมาเด้อ

ว่าโอ้ละหนอ นางเอย
เจ้ากะเคยคึดนำอยู่แม่นบ่
ว่าฮักเฮาที่เกิดที่ก่อ กะย้อนว่าย้อนว่า

ย้อนบุญผลา เด้เนาะ พาเฮามาพบพ้อ
ฮู้สึกคือกัน อยู่เนาะ คือฮักที่รอที่ฝัน
ให้บุญผลา พาฮัก ให้ฮักเฮาคือเก่าทุกวัน
ได้หายใจอยู่ใกล้ๆ กันจนฮอดมื้อตาย ได้ซ่ำนี้กะพอ

ว่าโอ้ละหนอ นางเอย
เจ้ากะเคยคึดนำอยู่แม่นบ่
ว่าฮักเฮาที่เกิดที่ก่อ กะย้อนว่าย้อนว่า

ย้อนบุญผลา เด้เนาะ พาเฮามาพบพ้อ
ฮู้สึกคือกัน อยู่เนาะ คือฮักที่รอที่ฝัน
ให้บุญผลา พาฮัก ให้ฮักเฮาคือเก่าทุกวัน
ได้หายใจอยู่ใกล้ๆ กันจนฮอดมื้อตาย ได้ซ่ำนี้กะพอ",mike_piromporn
เพราะโลกนี้ไม่มีใครแทนเธอได้,/music/thailyric/15411,"ดั่งฟ้ามีดวงตะวันคือใจพี่นั้นที่มีแต่เธอ
ค่ำคืนโอบดาวเสมอเหมือนพี่มีเธอประจำอ้อมแขน
รักเธอมากแค่ไหนแค่ไม่มีใครในโลกทดแทน
ทุกอย่างที่ทำบนคำว่าแฟน เพื่อให้อ้อมแขนของพี่มีเธอ

คำตอบของชีวิต ทุกวันจนวันสุดท้าย
คนเดียวที่ใช่ ยังเป็นคนเดิมเสมอ

เพราะโลกนี้ไม่มีใครแทนเธอ
คือเธอเสมอที่เจอในใจดวงนี้
ผ่านวันเวลา กี่ฟ้าเปลี่ยนสี
ความรักของพี่ก็มีแต่เธอ
เพราะโลกนี้ไม่มีใครแทนเธอ
รักที่ค้นเจอก็เจอจากเธอคนนี้
ตราบใดชีวิตของพี่ยังมี
ลมหายใจนี้เก็บไว้รักเธอ

ดั่งฟ้ามีดวงตะวันคือใจพี่นั้นมีเธอร่วมทาง
แสงทองส่องทางความหวังคือรักไม่จางที่ได้จากเธอ
รักเธอเท่าสิ่งไหนเธอคือหัวใจที่พี่ค้นเจอ
ทุกอย่างที่ฝันสร้างมันเพื่อเธอ มีเธอเสมอเป็นกำลังใจ

เพราะโลกนี้ไม่มีใครแทนเธอ
คือเธอเสมอที่เจอในใจดวงนี้
ผ่านวันเวลา กี่ฟ้าเปลี่ยนสี
ความรักของพี่ก็มีแต่เธอ
เพราะโลกนี้ไม่มีใครแทนเธอ
รักที่ค้นเจอก็เจอจากเธอคนนี้
ตราบใดชีวิตของพี่ยังมี
ลมหายใจนี้เก็บไว้รักเธอ

เพราะโลกนี้ไม่มีใครแทนเธอ
คือเธอเสมอที่เจอในใจดวงนี้
ผ่านวันเวลา กี่ฟ้าเปลี่ยนสี
ความรักของพี่ก็มีแต่เธอ
เพราะโลกนี้ไม่มีใครแทนเธอ
รักที่ค้นเจอก็เจอจากเธอคนนี้
ตราบใดชีวิตของพี่ยังมี
ลมหายใจนี้เก็บไว้รักเธอ",mike_piromporn
คำเว้าสู่ขวัญ,/music/thailyric/16069,"เฮ็ดหยังอยู่ อยู่ไสอ้าย กินข้าวแล้วยัง
แล้วเวียกหรือยัง แลงอยากกินหยัง มื้อนี้เป็นจั่งใด๋
บ่ซำบาย หายแล้วไป๋ กินยาแล้วบ้อ
เป็นใด๋แนน้อ งานซงคือบ่ อย่าเพิ่งท้อเด้ออ้าย

อาจสิเป็นคำเว้า ธรรมดาธรรมดาคือบ่มีอิหยัง
แต่บ่ฮู้เป็นหยัง พอได้ยิน พอได้ฟังอ้ายฮู้สึกดีหลาย

ยิ่งเป็นคำ ว่าฮัก จากปากของเจ้า
แค่คึดฮอดคำเว้าแล้วอ้ายกะเซาเมื่อยใจ
มากกว่าคำว่าฮัก คือความห่วงใย
เติมช่องว่างหัวใจให้เฮายังอยู่นำกัน
อยากได้ยินไปดนๆ จนข่วนชีวิตเฮาหล่นจากกัน
ย้อนคำเว้าของเจ้าคือคำสู่ขวัญของหัวใจอ้าย

เจ้าฮู้บ่ ยามอ้ายท้อ กะคึดพ้อคำนาง
ที่เคยได้ฟัง แล้วจั๊กพลังอ้ายมันมาแต่ไส
บ่ได้ยิน จั๊กมื้อหนึ่ง ซงบ่ลึ้งหัวใจ
กินข้าวบ่แซบ หลับตาบ่ได้
คือขาดหยังไปจั๊กอย่าง",mike_piromporn
แซ่บไมค์,/music/thailyric/17016,"สิตำอันได๋ ตำแตง ตำถั่ว ตำถาด
ตำซั่ว ตำลาวแห่งถืกใจ
สิตำอันได๋กะแซ่บหลาย แซ่บหลาย
ย่อนว่ามีแซ่บไมค์ ตำอันได๋กะนัว

สิเป็นแกงอ่อม อ่อมหยังกะซาง
มันกะแซ่บทุกอย่าง อันนี้บ่ได้ตั๋ว
สิเมนูได๋ กะแซ่บตั้ว แซ่บตั้ว
หมูปลาร้ากะนัว ขอแค่มีแซ่บไมค์
แซ่บไมค์ แซ่บไมค์ แซ่บไมค์ แซ่บไมค์ แซ่บที่ซู๊ด

อยู่มาดนจนถึงมื้อนี้
น้ำปลาร้าชั้นดีกะยังคักคือเก่า
เฮ็ดกินอยู่ไส กะรสชาติบ้านเฮา
มันกะแซ่บคือเก่า หมู่เฮาต่างไว้ใจ
เจ้าแรกอิหลีหนึ่งบ่มีสอง
ถ้าไผได้ลองก็ต้องบอกคักหลาย

สิตำอันได๋ ตำแตง ตำถั่ว ตำถาด
ตำซั่ว ตำลาวแห่งถืกใจ
สิตำอันได๋กะแซ่บหลาย แซ่บหลาย
ย่อนว่ามีแซ่บไมค์ ตำอันได๋กะนัว

สิเป็นแกงอ่อม อ่อมหยังกะซาง
มันกะแซ่บทุกอย่าง อันนี้บ่ได้ตั๋ว
สิเมนูได๋ กะแซ่บตั้ว แซ่บตั้ว
หมูปลาร้ากะนัว ขอแค่มีแซ่บไมค์
แซ่บไมค์ แซ่บไมค์ แซ่บไมค์ แซ่บไมค์ แซ่บที่ซู๊ด

ผลิตมาจากปลาชั้นดี
ผ่านกรรมวิธีที่สะอาดเด้อพี่น้อง
เฮานั้นมี อ ย รับรอง
ปลอดภัยคักพี่น้อง บ่มีพยาธิใบไม้
เจ้าแรกอิหลีหนึ่งบ่มีสอง
ถ้าไผได้ลองก็ต้องบอกคักหลาย

สิตำอันได๋ ตำแตง ตำถั่ว ตำถาด
ตำซั่ว ตำลาวแห่งถืกใจ
สิตำอันได๋กะแซ่บหลาย แซ่บหลาย
ย่อนว่ามีแซ่บไมค์ ตำอันได๋กะนัว

สิเป็นแกงอ่อม อ่อมหยังกะซาง
มันกะแซ่บทุกอย่าง อันนี้บ่ได้ตั๋ว
สิเมนูได๋ กะแซ่บตั้ว แซ่บตั้ว
หมูปลาร้ากะนัว ขอแค่มีแซ่บไมค์
แซ่บไมค์ แซ่บไมค์ แซ่บไมค์ แซ่บไมค์ แซ่บที่ซู๊ด",mike_piromporn
ดั่งดวงตะเว็น,/music/thailyric/19757,"คำว่าบ่เป็นหยัง คือคำที่คนผิดหวังเฮามักใช้
เปล่งวาจาออกมายามได๋ กะเฮ็ดให้หาย คลายความอุกอั่ง
เจอปัญหาที่คาดบ่เถิงให้แนมเบิ่งสายน้ำเป็นโตอย่าง
พ้อทางตันมากั้นมาขวาง แต่น้ำยังมีทางให้ไป

ดวงตะเว็น ยังขึ้น ทางทิศตะเว็นออก
ปัญหาในทุกๆ อย่าง กะยังมีทางออก
ใจโทรมโทรม ที่เคยช้ำชอก สู้เด้อน้อง
หากความเหงาเพิ่มพูน อยู่บนความเดียวดาย
ที่เพิ่งสุดท้ายกะคือโตเจ้าของ
พักแล้วสู้ใหม่ ดั่งในทุกเช้า แสงยังส่อง
ฮู้หน้าที่เจ้าของ ดั่งดวงตะเว็น

บ่มีต้นไม้ต้นได๋ ที่บ่เคยใบร่วงหล่น
เช่นเดียวกับคนทุกคน
ที่ต้องผจญเจอความผิดหวัง

เข้มแข็ง เข้มแข็ง เด้อน้อง บ่ว่า สิเกิดอิหยัง
อดสาสู้หายใจอยู่ อย่าถอยหลังให้คนส่า เด้อ

ดวงตะเว็น ยังขึ้น ทางทิศตะเว็นออก
ปัญหาในทุกๆ อย่าง กะยังมีทางออก
ใจโทรมโทรม ที่เคยช้ำชอก สู้เด้อน้อง
หากความเหงาเพิ่มพูน อยู่บนความเดียวดาย
ที่เพิ่งสุดท้ายกะคือโตเจ้าของ
พักแล้วสู้ใหม่ ดั่งในทุกเช้า แสงยังส่อง
ฮู้หน้าที่เจ้าของ ดั่งดวงตะเว็น

ดวงตะเว็น ยังขึ้น ทางทิศตะเว็นออก
ปัญหาในทุกๆ อย่าง กะยังมีทางออก
ใจโทรมโทรม ที่เคยช้ำชอก สู้เด้อน้อง
หากความเหงาเพิ่มพูน อยู่บนความเดียวดาย
ที่เพิ่งสุดท้ายกะคือโตเจ้าของ
พักแล้วสู้ใหม่ ดั่งในทุกเช้า แสงยังส่อง
ฮู้หน้าที่เจ้าของ ดั่งดวงตะเว็น

ดวงตะเว็น ยังขึ้น ทางทิศตะเว็นออก
ปัญหาในทุกๆ อย่าง กะยังมีทางออก
ใจโทรมโทรม ที่เคยช้ำชอก สู้เด้อน้อง
หากความเหงาเพิ่มพูน อยู่บนความเดียวดาย
ที่เพิ่งสุดท้ายกะคือโตเจ้าของ
พักแล้วสู้ใหม่ ดั่งในทุกเช้า แสงยังส่อง
ฮู้หน้าที่เจ้าของ ดั่งดวงตะเว็น

ฮู้หน้าที่เจ้าของ ดั่งดวงตะเว็น",mike_piromporn
ต.ช.ด.ขอร้อง,/music/thailyric/12825,"ต.ช.ด.ย่อมาจาก ตำรวจชายแดน
น้องเอ๋ยลำบากเหลือแสน
มาอยู่ชายแดนที่ไกลแสนไกล

มาป้องกันเขตรักษาประเทศแดนไทย
นอนกับดินหนอกินกับทราย
ลำบากเพียงไหน พี่จะทน

ลงจากดอยเขาให้พักผ่อนเพียงเจ็ดวัน
เดินผ่านกระท่อม ริมทาง
ขอน้ำกินขันเถิดนะหน้ามน

น้องจงเห็นใจ ตำรวจไทย
ที่มาทุกข์ทน ถ้าน้องไม่ด่า ว่าบ่น
ขออยู่ด้วยคนกับสาวชาวดอย

หากทางการ ไม่เรียกตัวพี่กลับ
มีเสียมสักหอบ มีจอบสักหาบ
จะถางให้ราบหมดดอย

แล้วปลูกถั่วงาอยู่กับขวัญตา
เนื้อกลอย จะถางดงป่าดอย
สร้างวิมานน้อยอยู่ชายแดน

วิงวอนผ่านถึงท่าน ผู้การรักษาเขต
ขอร้องให้ท่านสมเพช
เพราะพวกกระผมกำลังมีแฟน

เอ็นดูเถิดครับ อย่าด่วนเรียกกลับ
จากชายแดน ขออยู่ทำงานทดแทน
รักษาชายแดนสักสามสี่ปี

หากทางการ ไม่เรียกตัวพี่กลับ
มีเสียมสักหอบ มีจอบสักหาบ
จะถางให้ราบหมดดอย

แล้วปลูกถั่วงาอยู่กับขวัญตา
เนื้อกลอย จะถางดงป่าดอย
สร้างวิมานน้อยอยู่ชายแดน

วิงวอนผ่านถึงท่าน ผู้การรักษาเขต
ขอร้องให้ท่านสมเพช
เพราะพวกกระผมกำลังมีแฟน

เอ็นดูเถิดครับ อย่าด่วนเรียกกลับ
จากชายแดน ขออยู่ทำงานทดแทน
รักษาชายแดนสักสามสี่ปี",mike_piromporn
