song_name,href,lyric,artist
เกม (Your Rules),/music/thailyric/18023,"อีกแล้วที่ใจมันเจ็บช้ำ
อีกแล้วที่โดนเธอตอกย้ำเข้ามาข้างในหัวใจให้เป็นแผล
อีกแล้วที่เขารับเธอกลับไป อีกแล้วที่ฉันไม่ขัดใจ
ก็ยอมเธอมาเสมอโดยไม่มีข้อแม้

แต่ถึงเธอจะร้ายเพียงใด ทำให้เราปวดร้าวเท่าไร
หัวใจก็บอกเสมอว่าเธอคือคนที่ใช่
อาจจะมีบางครั้งฟูมฟาย เจ็บจนต้องมานั่งน้อยใจ
แต่อยากให้เธอได้รู้ว่าฉันรออยู่ตรงนี้

เหมือนว่าเธอเป็นเกมที่กติกาให้เอาชนะหัวใจ
แต่ต่อให้ทำคะแนนเท่าไร ทำลงไปเท่าไร
ก็กลับต้องแพ้ให้คนอย่างเขา
ก็คิดเสมอว่ารักในเกม รางวัลสุดท้ายจะมีแค่เรา
แต่ต้องกลายเป็นฉันคนที่เธอไม่เอา
แต่เขาไม่เคยต้องทำอะไร ก็ได้ใจเธอไป

เธอคงไม่รู้ ว่าฉันทรมานเท่าไร
กับการรอคอย ให้เธอเปิดหัวใจ
ฉันรู้ และรู้ดี คงไม่มีวันเหล่านั้น ที่ฉัน
จะได้กอดเธอเอาไว้ ในช่วงเวลาที่เดียวดาย

เหมือนว่าเธอเป็นเกมที่กติกาให้เอาชนะหัวใจ
แต่ต่อให้ทำคะแนนเท่าไร ทำลงไปเท่าไร
ก็กลับต้องแพ้ให้คนอย่างเขา
ก็คิดเสมอว่ารักในเกม รางวัลสุดท้ายจะมีแค่เรา
แต่ต้องกลายเป็นฉันคนที่เธอไม่เอา
แต่เขาไม่เคยต้องทำอะไร

ต่อให้ฉันพยายามอีกกี่ครั้ง ก็ตาม
ไม่มีทางที่ฉัน จะจบกับเธอคนนี้

เหมือนว่าเธอเป็นเกมที่กติกาให้เอาชนะหัวใจ
แต่ต่อให้ทำคะแนนเท่าไร ทำลงไปเท่าไร
ก็กลับต้องแพ้ให้คนอย่างเขา
ก็คิดเสมอว่ารักในเกม รางวัลสุดท้ายจะมีแค่เรา
แต่ต้องกลายเป็นฉันคนที่เธอไม่เอา
แต่เขาไม่เคยต้องทำอะไร ก็ได้ใจเธอไป",mirrr
เจ้าของที่ (My Favorite),/music/thailyric/23464,"เธอยังเป็นคนเดียวที่เคยชนะใจกัน
แต่เธอไม่กลับมาเอารางวัล
ปล่อยให้ฉันต้องเหงาคนเดียวตรงนี้

และแม้เวลาจะผ่านไปนานนับปี
ใครที่เข้ามาก็มี
แต่เขาก็เทียบไม่ได้กับเธอ

เมื่อฉันยังคงต้องภาวนากับดาวบนฟ้าให้เธอที่อยู่ตรงนั้น
ได้โปรดฟังเพลงนี้
กี่ครั้งเวลาที่ใครสักคนเข้ามาแม้เขาจะแสนดี
แต่ติดที่ใจของฉันเอง

ที่มันยังคิดถึงเธอ มากจนเกินไป
ไม่เหลือที่ให้ใครเดินเข้ามา
ต่อให้เขาจะดีแค่ไหน
ก็ไม่อาจลบออก ภาพเธอในใจยังจอง
พื้นที่ข้างในเต็มอัตรา
ยังไม่รู้จะลืมเรื่องเราได้ยังไง

And I've been trying
การลืมเธอมันยากจริง
ถึงแม้อยากจะลบ But my heart still want it
ฉันจะยอมเป็นคนผิด Maybe I'm a stupid boy
ถึงเธอจากไปแล้ว แต่ฉันก็ยังคงคอย

กี่คนที่เข้ามา และฉันนั้นต้องลาจากไป
ก็เพราะความจริง

ที่มันยังคิดถึงเธอ มากจนเกินไป
ไม่เหลือที่ให้ใครเดินเข้ามา
ต่อให้เขาจะดีแค่ไหนก็ไม่อาจลบออก
ภาพเธอในใจยังจอง พื้นที่ข้างในเต็มอัตรา
ยังไม่รู้ต้องทำเช่นไร

And in the night I think about you
ตั้งแต่เธอเดินไปฉันรออยู่
Baby when I get some roll
ไม่เหมือนวันนั้นที่เธอมาคอยดุ

And she's like a gas น้ำตา
Since วันที่เธอลา
และมันจะเป็นแบบนั้นทุกที
ไม่ว่าจะนอนหรือตื่นขึ้นมา

แล้วฉันเคยทำผิดไปใช่ไหมหรือฉันไม่ดีตรงไหน
แค่เพียงอยากบอกให้เธอได้รู้  และถ้าเธอนั้นยังคงมีใจ

ฉันขอแค่เธอกลับมาได้ไหมเธอกลับมาได้ไหม
ฉันขอแค่เธอกลับมาได้ไหม
Oh baby please กลับมาได้ไหม

ที่มันยังคิดถึงเธอ มากจนเกินไป
ไม่เหลือที่ให้ใครเดินเข้ามา
ต่อให้เขาจะดีแค่ไหนก็ไม่อาจลบออก
ภาพเธอในใจยังจอง พื้นที่ข้างในเต็มอัตรา
ยังไม่รู้จะลืมเรื่องเราได้ยังไง

ต่อให้มันจะนานแค่ไหนก็ไม่ลืม",mirrr
ดอกไม้ไฟ (Firework),/music/thailyric/20479,"เธอเข้ามาทำให้ใครได้รู้สึกดีแล้วเธอก็ไป
เธอมาขโมยรอยยิ้มทุกครั้ง ยังทำให้ต้องหวั่นไหว
แค่เพียงชั่วคราวแล้วเธอก็หายวับราวกับดอกไม้ไฟ
สวยงามแค่ไหน ไม่เคยจะได้หัวใจ

เธอเข้ามาทำให้ใครได้รู้สึกดีแล้วเธอก็ไป
เธอมาขโมยรอยยิ้มทุกครั้ง ยังทำให้ต้องหวั่นไหว
แค่เพียงชั่วคราวแล้วเธอก็หายวับราวกับดอกไม้ไฟ
สวยงามแค่ไหน ไม่เคยจะได้หัวใจ

ช่วยบอกให้รู้ที ก็เพราะว่าใจที่ฉันมี
รู้สึกมันไม่ค่อยดี เหมือนมีอาการหวั่นไหว
ช่วยบอกกันให้รู้ตัว ที่ชอบมาทำให้เผลอใจ
มันเป็นบังเอิญว่าฉันคิดไกล หรือเธอก็คิดเหมือนกัน

ก็ตั้งแต่วันนั้นที่ฉันได้เจอเธอ ฉันก็นอนไม่ค่อยจะหลับ
ยังคงจะเผลอใจกลับไปคิดถึงเธอทั้งคืน
ก็ตั้งแต่วันนั้นที่ฉันได้เจอเธอ ก็เผลอไปคิดว่ามันคือรัก
แต่พออีกสักพักก็เห็นเธอว่าไปกับคนอื่น

เธอเข้ามาทำให้ใครได้รู้สึกดีแล้วเธอก็ไป
เธอมาขโมยรอยยิ้มทุกครั้ง ยังทำให้ต้องหวั่นไหว
แค่เพียงชั่วคราวแล้วเธอก็หายวับราวกับดอกไม้ไฟ
สวยงามแค่ไหน ไม่เคยจะได้หัวใจ

เธอเข้ามาทำให้ใครได้รู้สึกดีแล้วเธอก็ไป
เธอมาขโมยรอยยิ้มทุกครั้ง ยังทำให้ต้องหวั่นไหว
แค่เพียงชั่วคราวแล้วเธอก็หายวับราวกับดอกไม้ไฟ
สวยงามแค่ไหน ไม่เคยจะได้หัวใจ

บางทีก็ดี แต่บางทีก็หาย
บางทีก็ทำเป็นดูเหมือนว่าเธอคล้ายจะมีหัวใจให้กัน
แต่รู้ตัวอีกทีเธอก็เดินไปจากฉัน
คงจะไม่รอ และคงจะไม่หวัง
คงจะไม่คิดให้เธอเป็นคนในฝัน
ถ้าเธอไม่เริ่มมาทักไม่ยิ้มให้กัน
ไม่เข้ามาทำให้ใจต้องไหวหวั่น

อย่าปล่อยให้มโน
ถ้าเธอจะทิ้งไว้ให้ช้ำคงไม่โอ
แต่ถ้าภายในใจเธอเองบังเอิญก็คิดเหมือนกับฉัน
แค่เพียงบอกกันเท่านั้นคงจะ Flow
And I want you to show me how
Cause I'm happy when you around
ไม่อยากคุยเล่นแค่ชั่วคราว
Now I'm falling for your smile girl

เธอเข้ามาทำให้ใครได้รู้สึกดีแล้วเธอก็ไป
เธอมาขโมยรอยยิ้มทุกครั้ง ยังทำให้ต้องหวั่นไหว
แค่เพียงชั่วคราวแล้วเธอก็หายวับราวกับดอกไม้ไฟ
สวยงามแค่ไหน ไม่เคยจะได้หัวใจ

เธอเข้ามาทำให้ใครได้รู้สึกดีแล้วเธอก็ไป
เธอมาขโมยรอยยิ้มทุกครั้ง ยังทำให้ต้องหวั่นไหว
แค่เพียงชั่วคราวแล้วเธอก็หายวับราวกับดอกไม้ไฟ
สวยงามแค่ไหน ไม่เคยจะได้หัวใจ

เธอเข้ามาทำให้ใครได้รู้สึกดีแล้วเธอก็ไป
เธอมาขโมยรอยยิ้มทุกครั้ง ยังทำให้ต้องหวั่นไหว
แค่เพียงชั่วคราวแล้วเธอก็หายวับราวกับดอกไม้ไฟ
สวยงามแค่ไหน ไม่ก็เคยจะได้หัวใจ",mirrr
ตลอดไปไม่มีจริง (No!Forever?),/music/thailyric/22612,"ตลอดไปมันไม่มีจริง
คนเคยพูดที่สุดก็ทิ้งไป
รู้ดีถึงเขาจะบอกว่ารักฉันมากเท่าไร
แต่ตลอดไปไม่มีจริง
คนเคยพูดที่สุดก็ทิ้งฉันไว้
รู้ดีถึงเขาจะบอกว่ารักฉันมากแต่เขาก็ต้องไป

คิดว่ารักที่มี มันคือรักที่ดี
แต่พอสุดท้ายทุกทีคือฉันที่ต้องเจ็บ
อยากที่จะมีใครที่เขาจะไม่คิดร้าย
แต่พอนานไปก็คล้ายว่าฉันคงต้องเจ็บ (อีกละ)

เลยยังไม่พร้อมมีใคร
เพิ่งถูกเขาทิ้งไป
ก็แผลมันยังไม่หาย ฉันขอโทษที
ถ้าเธอนั้นจะมีใจ
รอได้ไหมนะคนดี
ช่วงนี้ฉันไปขอรักษาตัวก่อนได้เปล่า

ก็ตลอดไปมันไม่มีจริง
คนเคยพูดที่สุดก็ทิ้งไป
รู้ดีถึงเขาจะบอกว่ารักฉันมากเท่าไร
แต่ตลอดไปไม่มีจริง
คนเคยพูดที่สุดก็ทิ้งฉันไว้
รู้ดีถึงเขาจะบอกว่ารักฉันมากแต่เขาก็ต้องไป

ไม่ได้กลัวความรัก
แค่ใจอยากจะพัก
เมื่อคิดที่จะมีใครมันต้องเจ็บช้ำทุกทีเรื่อยไป
ฉันยังอยากจะรู้
ว่าเธอที่หน้าประตู
จะใช่คนที่นั้นที่ตามหา
หรือเหมือนทุกคนที่ผ่านมา

Live alone ถึงไม่ชินเท่าไร
ตัวคนเดียว ถึงไม่ค่อยสบาย
แต่ถ้ามีเธอแล้วต้อง Hurt ก็ บาย Ya ya ya
ยังไม่ค่อยวางใจเท่าไร
ยังไม่รีบเราแค่คุยกันไป
Wanna fall in love again
Just take our time ได้ไหม Cause

ตลอดไปมันไม่มีจริง
คนเคยพูดที่สุดก็ทิ้งไป
รู้ดีถึงเขาจะบอกว่ารักฉันมากเท่าไร
แต่ตลอดไปไม่มีจริง
คนเคยพูดที่สุดก็ทิ้งฉันไว้
รู้ดีถึงเขาจะบอกว่ารักฉันมากแต่เขาก็ต้องไป

Live alone ถึงไม่ชินเท่าไร
ตัวคนเดียว ถึงไม่ค่อยสบาย
แต่ถ้ามีเธอแล้วต้อง Hurt ก็ บาย Ya ya ya
ยังไม่ค่อยวางใจเท่าไร
ยังไม่รีบเราแค่คุยกันไป
Wanna fall in love again
Just take our time ได้ไหม Cause

ตลอดไปมันไม่มีจริง
คนเคยพูดที่สุดก็ทิ้งไป
รู้ดีถึงเขาจะบอกว่ารักฉันมากเท่าไร
แต่ตลอดไปไม่มีจริง
คนเคยพูดที่สุดก็ทิ้งฉันไว้
รู้ดีถึงเขาจะบอกว่ารักฉันมากแต่เขาก็ต้องไป

(แต่เขาก็ต้องไป)
(แต่เขาก็ต้องไป)
(แต่เขาก็ต้องไป)",mirrr
นิโคติน (Nicotine),/music/thailyric/17447,"อยู่ในทุกช่วงเวลา อยู่ในทุกคราที่เธอเหงาใจ
อยู่เป็นเพื่อนคอยปลอบ ทุกยามเมื่อเธอหวั่นไหว
ไม่เคยจะไปไหนไกลเกินเอื้อมมือ
อยู่ในทุกวันเดิมๆ ไม่เคยได้เพิ่มเติมอะไรไปกว่านี้
แค่ได้อยู่คอยมอบความรู้สึกดี
ได้เท่านี้ แต่ไม่เป็นไร

เมื่อไรที่เธอผิดหวัง ฉันจะปลอบโยนหัวใจ
จะกี่แผลที่เธอเจอ ฉันจะเยียวยาให้หาย
แม้จะรู้ในตอนสุดท้ายเธอจะทิ้งกัน
แค่ได้ดูแลตอนเธอเหงา ซบลงตรงนี้ข้างๆ ฉัน
และเธอไม่ต้องฝืนอีกต่อไป ถ้าเธอเองยืนไม่ไหว
หลับลงตรงนี้ฉันจะไม่จากไปไหนไกล
ขอแค่เธอหายดี

แม้ว่าเธอไม่สนใจ และแม้เธอไม่เคยเห็น
แม้ว่าฉันจะเป็นแค่เพียงคนเดียวที่เธอนั้นมองผ่าน
แต่ขอให้เธอได้รับรู้แม้จะอีกนานแสนนาน สักเท่าไร
โปรดจงให้ฉันเข้าไป แค่เธอเชื่อใจ

เมื่อไรที่เธอผิดหวัง ฉันจะปลอบโยนหัวใจ
จะกี่แผลที่เธอเจอ ฉันจะเยียวยาให้หาย
แม้จะรู้ในตอนสุดท้ายเธอจะทิ้งกัน
แค่ได้ดูแลตอนเธอเหงา ซบลงตรงนี้ข้างๆ ฉัน
และเธอไม่ต้องฝืนอีกต่อไป ถ้าเธอเองยืนไม่ไหว
หลับลงตรงนี้ฉันจะไม่จากไปไหนไกล
ขอแค่เธอหายดี",mirrr
นินจา (Ninja),/music/thailyric/21859,"เธอยังเก็บใจไว้ เพื่อรอให้ใครกลับมา
ฉันยังอยู่ตรงนี้ และแม้ว่าเธอไม่เคยเห็นค่า

คนที่เขาไม่รักแต่เธอก็ยังไม่ลืม
และฉันคนมาทีหลังก็ไม่อาจจะฝืน
เธอยังมองว่าฉันนั้นเป็นแค่คนอื่น
เธอคงฝันถึงเขาคนนั้นในยามค่ำคืน

ให้เธอ ได้ลองฟังฉัน

เธอยังคงรอเขาใช่ไหม
เธอยังคงรักเขาใช่ไหม
เธอยังคงมีแต่เขาในใจและยังไม่คิดจะไปไหน
ฉันยังมีสิทธิ์อยู่บ้างไหม
ฉันอยู่ตรงนี้จะได้ไหม
ระหว่างที่เหงาและไม่มีใครให้ฉันอยู่ข้างเธอได้ไหม

ถ้าเธอมีน้ำตา ไม่ต้องร้องนะ
เพราะฉันนั้นจะอยู่ข้างๆ ไม่ไปไหน
ยิ่งเห็นว่าเธอเสียใจ มันยิ่งทำร้าย
ให้ฉันต้องเจ็บกว่าแค่ไหน

เมื่อคนที่เขาไม่รักแต่เธอก็ยังไม่ลืม
และฉันคนมาทีหลังก็ไม่อาจจะฝืน
เธอยังมองว่าฉันนั้นเป็นแค่คนอื่น
เธอคงฝันถึงเขาคนนั้นในยามค่ำคืน

ให้เธอ ได้ลองฟังฉัน

เธอยังคงรอเขาใช่ไหม
เธอยังคงรักเขาใช่ไหม
เธอยังคงมีแต่เขาในใจและยังไม่คิดจะไปไหน
ฉันยังมีสิทธิ์อยู่บ้างไหม
ฉันอยู่ตรงนี้จะได้ไหม
ระหว่างที่เหงาและไม่มีใครให้ฉันอยู่ข้างเธอได้ไหม

และเมื่อเขากลับมาฉันจะหลีกทางไป
เว้นระยะให้เธอมองดูจากที่ห่างไกล
เป็นเหมือนนินจาที่คงจะไม่มีใคร
ต้องมาแคร์มารักหรือว่ามาใส่ใจ

เพราะฉันรู้ตัวเองว่ามันเป็นใคร
และก็รู้ดีว่าควรจะยืนตรงไหน
แค่ในเวลานี้ให้ฉันดูแลได้ไหม
ไม่อยากให้คนดีๆ อย่างเธอต้องเสียใจ

เธอยังคงรอเขาใช่ไหม
เธอยังคงรักเขาใช่ไหม
เธอยังคงมีแต่เขาในใจและยังไม่คิดจะไปไหน
ฉันยังมีสิทธิ์อยู่บ้างไหม
ฉันอยู่ตรงนี้จะได้ไหม
ระหว่างที่เหงาและไม่มีใครให้ฉันอยู่ข้างเธอได้ไหม

และเมื่อเขากลับมาฉันจะหลีกทางไป
เว้นระยะให้เธอมองดูจากที่ห่างไกล
เป็นเหมือนนินจาที่คงจะไม่มีใคร
ต้องมาแคร์มารักหรือว่ามาใส่ใจ

เพราะฉันรู้ตัวเองว่ามันเป็นใคร
และก็รู้ดีว่าควรจะยืนตรงไหน
แค่ในเวลานี้ให้ฉันดูแลได้ไหม
ไม่อยากให้คนดีๆ อย่างเธอต้องเสียใจ",mirrr
มาโซคิสม์ (Masochism),/music/thailyric/18730,"ฉันควรทำอย่างไร
เมื่อเธอมาเปลี่ยนไป
รับรู้ว่าเธอมีใครอีกคนที่ไม่ใช่ฉัน
ฝันที่มีก่อนนั้น รอยยิ้มที่เคยให้กัน
เหมือนว่ามันได้หายไปกับใจที่ดูเฉยชา

และก็รู้ว่าเธอต้องการจะไป
ถ้าหากว่าเธอเลือกเขาฉันเองก็พร้อมเข้าใจ
คงจะ ไม่ฝืนและไม่ฉุดไม่รั้ง
ทั้งที่จริงข้างในแทบจะยืนไม่ไหว

แต่อยากให้ได้เห็นว่านานแค่ไหนจะรอ
แม้สิ่งที่ฉันให้ไปบังเอิญว่าเธอไม่ได้ขอ
แต่มีแค่คำๆ เดียวเท่านั้น ที่ยังหยุดฉันไม่ให้ไป

คือคำว่ารักเธอ ต่อให้ต้องโดนเธอ
ทำให้ใจเจ็บช้ำสักแค่ไหน ก็จะยอม
ถ้าต้องเจ็บก็เพราะรักเธอ
ต่อให้ต้องร้องไห้จนแทบไม่เหลือน้ำตา
ถึงใครจะมอง ว่าเธอใจร้าย

แต่ฉันจะทำให้เธอพอใจ
ขอแค่เพียงไม่ให้เธอไป ก็พอ

และก็รู้ว่าเธอต้องการจะไป
ถ้าหากว่าเธอเลือกเขาฉันเองก็พร้อมเข้าใจ
คงจะ ไม่ฝืนและไม่ฉุดไม่รั้ง
ทั้งที่จริงข้างในแทบจะยืนไม่ไหว

แต่อยากให้ได้เห็นว่านานแค่ไหนจะรอ
แม้สิ่งที่ฉันให้ไปบังเอิญว่าเธอไม่ได้ขอ
แต่มีแค่คำๆ เดียวเท่านั้นที่ยังหยุดฉันไม่ให้ไป

คือคำว่ารักเธอ ต่อให้ต้องโดนเธอ
ทำให้ใจเจ็บช้ำสักแค่ไหน ก็จะยอม
ถ้าต้องเจ็บก็เพราะรักเธอ
ต่อให้ต้องร้องไห้จนแทบไม่เหลือน้ำตา
ถึงใครจะมอง ว่าเธอใจร้าย

มันคือคำว่ารักเธอ ต่อให้ต้องโดนเธอ
ทำให้ใจเจ็บช้ำสักแค่ไหน ก็จะยอม
ถ้าต้องเจ็บก็เพราะรักเธอ
ต่อให้ต้องร้องไห้จนแทบไม่เหลือน้ำตา
ถึงใครจะมอง ว่าเธอใจร้าย

แต่ฉันจะทำให้เธอพอใจ
ขอแค่เพียงไม่ให้เธอไป ก็พอ",mirrr
ย้อนเวลา (Puppy Love),/music/thailyric/18864,"ไม่รู้ว่าเธอยังจำได้ไหม
วันที่ฟ้าและฝนเป็นใจ เรานั่งกันที่ตรงนั้น
เธอเอนมาซบตรงที่ไหล่ฉัน
เอ่ยคำหวานว่ารักนิรันดร์เพียงแค่ฉันตลอดไป

จนวันหนึ่งที่เราอาจเผลอ
เรื่องราวที่เคยได้เจอจบลงแค่เพียงที่ตรงนั้น
เธอกลายเป็นคนที่อยู่ในฝัน
อยู่ในทุกคืนอยู่ในทุกวัน

อยากจะย้อนเวลา ไปในวันนั้น
วันที่เธอและฉันจับมือเคียงข้างไปด้วยกัน
ย้อนเวลาไปได้ดั่งฝัน
ถ้ามันเพียงเกิดขึ้นจริงจะยอมทิ้ง ทุกๆ สิ่ง

ย้อนเวลาไปในวันนั้น
วันที่เธอและฉันจับมือเคียงข้างไปด้วยกัน
ย้อนเวลาไปได้ดั่งฝัน
ถ้ามันเพียงเกิดขึ้นจริงจะยอมทิ้งทุกๆ อย่างเพื่อเธอ

ฉันรู้ดีวันเวลาที่มียังต้องก้าวเดินไปรักของเรา
คงไม่อาจจะย้อนคืนมาใหม่
แต่ขอแค่เพียง ความทรงจำที่มีเก็บเอาไว้
ให้พอคิดถึงกัน ได้เท่านั้น ฉันคงสุขใจ

อยากจะย้อนเวลา ไปในวันนั้น
วันที่เธอและฉันจับมือเคียงข้างไปด้วยกัน
ย้อนเวลาไปได้ดั่งฝัน
ถ้ามันเพียงเกิดขึ้นจริงจะยอมทิ้ง ทุกๆ สิ่ง

ย้อนเวลาไปในวันนั้น
วันที่เธอและฉันจับมือเคียงข้างไปด้วยกัน
ย้อนเวลาไปได้ดั่งฝัน
ถ้ามันเพียงเกิดขึ้นจริงจะยอมทิ้งทุกๆ อย่างเพื่อเธอ

อยากจะย้อนเวลา ไปในวันนั้น
วันที่เธอและฉันเราจับมือเคียงข้างไปด้วยกัน
ย้อนเวลาไปได้ดั่งฝัน
ถ้ามันเพียงเกิดขึ้นจริงจะยอมทิ้ง ทุกๆ สิ่ง

ย้อนเวลาไปในวันนั้น
วันที่เธอและฉันเราจับมือเคียงข้างไปด้วยกัน
ย้อนเวลาไปได้ดั่งฝัน
ถ้ามันเพียงเกิดขึ้นจริงจะยอมทิ้งทุกๆ อย่างเพื่อเธอ",mirrr
ยังอยู่ (Still),/music/thailyric/18863,"อาจจะมีสักคราที่ยังคิดถึงเธอ
และอาจจะมีสักคราที่ยังหวังจะได้เจอ

เธออยู่ไหน ดูเหมือนว่าเราช่างแสนไกล
คงไม่ตามหา เพราะฉันรู้บางทีในช่วงของเวลา

เธอจะกลับมา ปรากฏกายอยู่ตรงนี้
กอดฉันเบาๆ แล้วพูดว่าเธอคนดี จะไม่ไปไหน
ต่อให้ในทุกเช้าคือช่วงเวลา ที่เธอจะต้องไกล
นั่นก็อย่างน้อย เพียงพอให้รับความรู้สึก
ว่าเธอยังอยู่

เธออยู่ไหน ดูเหมือนว่าเราช่างแสนไกล
คงไม่ตามหา เพราะฉันรู้บางทีบางช่วงของเวลา

เธอจะกลับมา ปรากฏกายอยู่ตรงนี้
กอดฉันเบาๆ แล้วพูดว่าเธอคนดี จะไม่ไปไหน
ต่อให้ในทุกเช้าคือช่วงเวลา ที่เธอจะต้องไกล
นั่นก็อย่างน้อย เพียงพอให้รับความรู้สึก
ว่าเธอยังอยู่",mirrr
รอให้เธอ,/music/thailyric/17871,"ฉันฝืนยิ้มหัวเราะยินดี
แต่ภายในใจเคว้งคว้างดิ่งลงทุกทีเมื่อเจอกับเธอ
ฉันปั้นหน้าเอ่ยคำทักทาย
แต่ความเป็นจริงภายในใจเจ็บช้ำเจียนตาย
ยังเพ้อ เหมือนเธออยู่ตรงนี้

และเป็นเธอคนเดียว แค่เพียงเธอคนเดียว
ที่ฉันรอคอยอยู่ แม้เธอคงไม่รู้
ว่าเป็นเธอคนเดียว แค่เพียงเธอคนเดียว
อาจเป็นภาพเลือนราง แต่ว่าฉันยังรอให้เธอกลับมา

ความดีที่มีทั้งใจ ฉันให้เธอไปแต่มันยังไม่พอ
เธอเลยทิ้งฉันไว้คนเดียวตรงนี้ให้ติดอยู่กับ คำว่ารอ
มองดูเรื่องราวที่ทำให้คิดถึงวันเก่า ยิ่งน้ำตาคลอ
ได้แต่หวังให้เธออยู่ตรงนี้

และเป็นเธอคนเดียว แค่เพียงเธอคนเดียว
ที่ฉันรอคอยอยู่ แม้เธอคงไม่รู้
ว่าเป็นเธอคนเดียว แค่เพียงเธอคนเดียว
อาจเป็นภาพเลือนราง แต่ว่าฉันยังรอให้เธอกลับมา

และเป็นเธอคนเดียว แค่เพียงเธอคนเดียว
ที่ฉันรอคอยอยู่ แม้เธอคงไม่รู้
ว่าเป็นเธอคนเดียว แค่เพียงเธอคนเดียว
อาจเป็นภาพเลือนราง แต่ว่าฉันยังรอให้เธอกลับมา

และฉันยังรอให้เธอกลับมา",mirrr
