song_name,href,lyric,artist
คนที่ฉันรอ,/music/thailyric/15820,"เฝ้ารอเวลาที่จะได้เจอกัน
ต่อให้มันจะนานแสนนาน สักแค่ไหน
ฉันก็จะรอ ไม่ท้อและไม่เคยหมดหวัง

เหมือนส่วนหนึ่งของใจ
ยังขาดหายไป ยังหมองยังหม่น
เหมือนใจมันร้อนรน
ต้องการสักคนมาเติมเต็มใจ

เฝ้ารอเวลาที่จะได้เจอกัน
ต่อให้มันจะนานแสนนาน สักแค่ไหน
ฉันก็จะรอ ไม่ท้อและไม่เคยหมดหวัง

ก็ยังไม่รู้ ว่าเธออยู่ที่ตรงไหน
ยังไม่รู้ จะได้เจอกันเมื่อไร
แต่เราต้องพบกันสักวัน
ก็ฉันนั้นมั่นใจ ว่าฟ้าคงไม่โหดร้าย

แต่อย่างน้อยๆ ฉันก็ยังมีจุดหมาย
โลกที่เลวร้ายคงให้อยู่เพื่อเฝ้ารอ
ฉันจะรอเธอ ฉันจะไม่ท้อ
ฟ้าจะส่งเธอมาเจอฉันสักวัน คนที่ฉันรอ

ฉันเฝ้าคอยตั้งตา
นั่งภาวนา ให้ฉันเจอเธอ
เพราะมันนานเหลือเกิน
ที่ฉันต้องเดิน โดดเดี่ยวลำพัง

เฝ้ารอเวลาที่จะได้เจอกัน
ต่อให้มันจะนานแสนนาน สักแค่ไหน
ฉันก็จะรอ ไม่ท้อและไม่เคยหมดหวัง

ก็ยังไม่รู้ ว่าเธออยู่ที่ตรงไหน
ยังไม่รู้ จะได้เจอกันเมื่อไร
แต่เราต้องพบกันสักวัน
ก็ฉันนั้นมั่นใจ ว่าฟ้าคงไม่โหดร้าย

แต่อย่างน้อยๆ ฉันก็ยังมีจุดหมาย
โลกที่เลวร้ายคงให้อยู่เพื่อเฝ้ารอ
ฉันจะรอเธอ ฉันจะไม่ท้อ
ฟ้าจะส่งเธอมาเจอฉันสักวัน คนที่ฉันรอ

ก็ยังไม่รู้ ว่าเธออยู่ที่ตรงไหน
ยังไม่รู้ จะได้เจอกันเมื่อไร
แต่เราต้องพบกันสักวัน
ก็ฉันนั้นมั่นใจ ว่าฟ้าคงไม่โหดร้าย

แต่อย่างน้อยๆ ฉันก็ยังมีจุดหมาย
โลกที่เลวร้ายคงให้อยู่เพื่อเฝ้ารอ
ฉันจะรอเธอ ฉันจะไม่ท้อ
ฟ้าจะส่งเธอมาเจอฉันสักวัน คนที่ฉันรอ",mon_chutimon
ความสุขของฉัน (คือการที่เธอยิ้มได้),/music/thailyric/17367,"เธอไม่ต้องรู้เหตุผล
รู้แค่คนคนนี้จะไม่ไปไหนก็พอ
จะไม่ต้องหาความหมาย
แค่หาว่าสิ่งใดที่เธอต้องการ

และบอกกับฉันคำเดียว แค่คำเดียว
สิ่งนั้นจะมาสู่เธอในไม่นาน
และหากยังสงสัยว่าทำไม
เหตุใดที่ตัวฉันทำ

คำว่ารักคำเดียวที่สั่งให้ฉันทำทุกอย่าง
เป็นร้อยพัน เพื่อให้เธอสุขในหัวใจ
ไม่มีวันไหนจะเบื่อและคิดที่จะหยุดทำ

หากคำว่ารักนั้นยังคงสั่งให้ฉันทุ่มเทต่อไป
ความสุขของฉันคือการที่เธอยิ้มได้
ไม่เคยจะเหนื่อยและไม่เคยจะหน่าย
ตราบใดที่ในหัวใจยังสั่งให้รักเธอ

ไม่มีคำว่ามากมาย
และไม่มีคำว่าเกินไปหากทำเพื่อเธอ
ให้เก็บดอกไม้ดอกนั้น
หรือขึ้นไปเก็บดาวถ้าเธอต้องการ

แค่บอกกับฉันคำเดียว แค่คำเดียว
สิ่งนั้นจะมาสู่เธอในไม่นาน
และหากยังสงสัยว่าทำไม
เหตุใดที่ตัวฉันทำ

คำว่ารักคำเดียวที่สั่งให้ฉันทำทุกอย่าง
เป็นร้อยพัน เพื่อให้เธอสุขในหัวใจ
ไม่มีวันไหนจะเบื่อและคิดที่จะหยุดทำ

หากคำว่ารักนั้นยังคงสั่งให้ฉันทุ่มเทต่อไป
ความสุขของฉันคือการที่เธอยิ้มได้
ไม่เคยจะเหนื่อยและไม่เคยจะหน่าย
ตราบใดที่ในหัวใจยังสั่งให้รักเธอ

ความสุขของฉันคือการที่เธอยิ้มได้
ไม่เคยจะเหนื่อยและไม่เคยจะหน่าย
ตราบใดที่ในหัวใจยังสั่งให้รักเธอ",mon_chutimon
ตรงไหน (Lines),/music/thailyric/19598,"ยืนอยู่ตรงนี้ โดยที่ไม่เคยรู้
ว่าเธอต้องการหรือเปล่า
อยู่กับคำถาม ที่ยังคงติดค้าง
ในใจฉันเรื่อยมา

เพราะทุกครั้งที่ฉันนั้นเดินจากไป
เหมือนว่าเธอนั้นรั้งฉันไว้ที่เดิม
อยู่กับความสับสน ไม่เข้าใจ
ว่าฉันนั้นควรจะทำยังไงต่อไป

อยู่ตรงไหนในใจของเธอที่มีฉัน
ช่วยบอกให้ฉันรู้ที
ว่าฉันนั้นเป็นได้แค่ไหน
ตรงไหนที่ฉันจะไม่ต้องเสียใจ
บอกให้ฉันรู้ที ตรงไหนที่เธอต้องการมีฉัน

ยังอยู่ตรงนี้ โดยที่ไม่คาดหวัง
เพราะหวังกี่ครั้งก็เจ็บ
ใจเริ่มอ่อนล้า กับการต้องไขว่คว้า
ความฝันที่มันช่างเลื่อนลอย

แต่แล้วทุกครั้งที่ฉันนั้นเดินจากไป
เหมือนว่าเธอนั้นรั้งฉันไว้ที่เดิม
อยู่กับความสับสน ไม่เข้าใจ
ว่าฉันนั้นควรจะทำยังไงต่อไป

อยู่ตรงไหนในใจของเธอที่มีฉัน
ช่วยบอกให้ฉันรู้ที
ว่าฉันนั้นเป็นได้แค่ไหน
ตรงไหนที่ฉันจะไม่ต้องเสียใจ
บอกให้ฉันรู้ที ตรงไหนที่เธอต้องการมีฉัน

อยู่ตรงไหนในใจของเธอที่มีฉัน
ช่วยบอกให้ฉันรู้ที
ว่าฉันนั้นเป็นได้แค่ไหน
ตรงไหนที่ฉันจะไม่ต้องเสียใจ
บอกให้ฉันรู้ที ตรงไหนที่เธอต้องการมีฉัน",mon_chutimon
ตั้งแต่ (Since Then),/music/thailyric/16629,"ตั้งแต่วันที่เราได้พบ
และได้รักกันจนวันสุดท้าย
ชีวิตก็ไม่เคยเหมือนเดิม
ตั้งแต่วันที่เราได้รัก
ตั้งแต่ที่ฉันเคยมีเธอในชีวิต
จนวันนี้ที่ฉันไม่มีเธอ

ตั้งแต่วันนั้นที่เธอจากไป
ตั้งแต่วันนั้นที่ฉันไม่เหลือใคร
ก็เหลือเพียงความทรงจำ
ที่คอยตอกย้ำให้ฉันได้รู้

ตั้งแต่วันที่เราพบกัน
จนเมื่อวันที่เธอทิ้งไป ตั้งแต่วันนั้น
โลกของฉันหยุดหมุนและไม่เหมือนเดิม
ตั้งแต่วันที่เรารักกัน จนเมื่อตอนที่เธอทิ้งไป
ตั้งแต่วันนั้นรู้แค่เพียงหัวใจยังรักใครไม่ได้อีกเลย

ตั้งแต่เธอบอกคำว่ารัก
ตั้งแต่ที่ฉันมอบให้เธอทั้งหมดใจ
จนไม่เหลือเอาไว้ให้ใครเลย

ตั้งแต่วันนั้นที่เธอจากไป
ตั้งแต่วันนั้นที่ฉันไม่เหลือใคร
ก็เหลือเพียงความทรงจำ
ที่ยังตอกย้ำให้ฉันได้รู้

ตั้งแต่วันที่เราพบกัน
จนเมื่อวันที่เธอทิ้งไป ตั้งแต่วันนั้น
โลกของฉันหยุดหมุนและไม่เหมือนเดิม
ตั้งแต่วันที่เรารักกัน จนเมื่อตอนที่เธอทิ้งไป
ตั้งแต่วันนั้นรู้แค่เพียงหัวใจยังรักใครไม่ได้อีกเลย

แม้ว่าพยายามลืมเธอแค่ไหน
เธอก็ยังคงอยู่ อย่างชัดเจนในใจ
ตั้งแต่วันนั้น ไม่อาจจะรักใคร

ตั้งแต่วันที่เราพบกัน
จนเมื่อวันที่เธอทิ้งไป ตั้งแต่วันนั้น
โลกของฉันหยุดหมุนและไม่เหมือนเดิม
ตั้งแต่วันที่เรารักกัน จนเมื่อตอนที่เธอทิ้งไป
ตั้งแต่วันนั้นรู้แค่เพียงหัวใจยังรักใครไม่ได้อีกเลย

ตั้งแต่วันนั้นรู้แค่เพียงหัวใจยังรักใครไม่ได้อีกเลย",mon_chutimon
ถ้าไม่เจอเธอ (If I Hadn't Met You),/music/thailyric/16221,"ฉันเป็นคนหนึ่ง ที่สร้างกำแพงเอาไว้
เพื่อขังหัวใจตัวเอง
เรื่องราวที่ผ่าน ปวดร้าวมากมายแค่ไหน
ยังฝังในใจเรื่อยมา

ขังตัวเองตลอดมา แม้ว่าใครจะผ่านมา
แล้ววันหนึ่งเมื่อได้เจอเธอ ฉันจึงข้ามไป

ถ้าไม่เจอเธอ ฉันคงไม่เจอ
รักที่มีความหมายมากมายนั้นมีจริง
ถ้าไม่เจอเธอ ฉันก็คงไม่
รู้ว่าความรักนั้นสวยงามแค่ไหน ถ้าไม่เจอเธอ

เธอเพียงคนเดียว เปลี่ยนโลกที่ดูสิ้นหวัง
ให้ฉันพบวันที่ดี

ขังตัวเองตลอดมา แม้ว่าใครจะผ่านมา
แล้ววันหนึ่งเมื่อได้เจอเธอ ฉันจึงข้ามไป

ถ้าไม่เจอเธอ ฉันคงไม่เจอ
รักที่มีความหมายมากมายนั้นมีจริง
ถ้าไม่เจอเธอ ฉันก็คงไม่
รู้ว่าความรักนั้นสวยงามแค่ไหน ถ้าไม่เจอเธอ

(ถ้าไม่เจอเธอ คงจะไม่รู้)

ขังตัวเองตลอดมา แม้ว่าใครจะผ่านมา
แล้ววันหนึ่งเมื่อได้เจอเธอ ฉันจึงเข้าใจ

ถ้าไม่เจอเธอ ฉันคงไม่เจอ
รักที่มีความหมายมากมายนั้นมีจริง
ถ้าไม่เจอเธอ ฉันก็คงไม่
รู้ว่าความรักนั้นสวยงามแค่ไหน ถ้าไม่เจอเธอ

คงไม่รู้ว่าความรักนั้นสวยงามแค่ไหน
ถ้าไม่เจอเธอ",mon_chutimon
ทั้งหมดที่มี,/music/thailyric/13038,"ฉันก็เคยผิดพลั้ง อาจจะไม่ดี
ทำให้ใครผิดหวังตั้งมากมาย

แต่ไม่ได้แปลว่าตัวฉัน
จะไม่อาจ ที่จะเริ่มต้นได้ใหม่อีกครั้ง

ขอบคุณใครบนนั้นที่ส่งเธอมา
ให้ฉันมีแรงอีกครั้ง

*จากวันนี้ ทุกลมหายใจ
ทั้งหมดที่ฉันมี จะขอใช้มันเพื่อเธอ
ทั้งหมด แม้ต้องแลกทุกอย่าง
จะคอยทำทุกทาง เพื่อรอยยิ้มของเธอ

อาจจะไม่ใช่อย่างที่ฝัน แต่ฉันสัญญา
ว่าเธอจะไม่ขาดอะไร (เธอจะไม่ขาดอะไร)
และแม้ไม่มีครบเหมือนใครใคร
แต่ฉันรับปาก จะทำทุกอย่างเพื่อเธอ

ขอบคุณใครบนนั้นที่ทำเราได้เจอ
ให้ฉันมีแรงอีกครั้ง

*จากวันนี้ ทุกลมหายใจ
ทั้งหมดที่ฉันมี จะขอใช้มันเพื่อเธอ
ทั้งหมด แม้ต้องแลกทุกอย่าง
จะคอยทำทุกทาง เพื่อรอยยิ้มของเธอ

*จากวันนี้ ทุกลมหายใจ
ทั้งหมดที่ฉันมี จะขอใช้มันเพื่อเธอ
ทั้งหมด แม้ต้องแลกทุกอย่าง
จะคอยทำทุกทาง เพื่อรอยยิ้มของเธอ",mon_chutimon
ทำได้ไง (How?),/music/thailyric/17410,"ยังนึกถึง เรื่องเหล่านั้น
วันดีๆ เธอกับฉัน
แม้ว่ามันจะไม่มีความหมาย
เธอคงยิ้มและหัวเราะ
กับเรื่องราวที่พบเจอได้ง่ายดาย
ต่างจากฉัน

แค่อยากรู้หนทางวิธีที่ฉันจะลืมเธอไป
เพราะฉันวันนี้ยังมีเธอทั้งใจ

ช่วยบอกฉันว่าทำเช่นไร
เธอจึงได้ลืมกันไป
ไม่ว่าพยายามเท่าไรก็ยังคิดถึงเธอ
ก็ไม่รู้เธอทำได้ไง
ที่เธอลบทิ้งความรักเราให้หายไป
อยากรู้เธอทำได้อย่างไร

ยังคิดถึงกันอยู่ไหม
ได้เจอใครที่เข้าใจเธอได้ดีกว่าฉันไหม
สิ่งที่เหลือในใจฉัน คงไม่เหมือนใจของเธอ
หรือที่แล้วมาเธอไม่เคยรักกัน

แค่อยากรู้หนทางวิธีที่ฉันจะลืมเธอไป
เพราะฉันวันนี้ยังมีเธอทั้งใจ

ช่วยบอกฉันว่าทำเช่นไร
เธอจึงได้ลืมกันไป
ไม่ว่าพยายามเท่าไรก็ยังคิดถึงเธอ
ก็ไม่รู้เธอทำได้ไง
ที่เธอลบทิ้งความรักเราให้หายไป
อยากรู้เธอทำได้อย่างไร

...ดนตรี...

ช่วยบอกฉันว่าทำเช่นไร
เธอจึงได้ลืมกันไป
ไม่ว่าพยายามเท่าไรก็ยังคิดถึงเธอ
ก็ไม่รู้เธอทำได้ไง
ที่เธอลบทิ้งความรักเราให้หายไป

ช่วยบอกฉันว่าทำเช่นไร
เธอจึงได้ลืมกันไป
ไม่ว่าพยายามเท่าไรก็ยังคิดถึงเธอ
ก็ไม่รู้เธอทำได้ไง
ที่เธอลบทิ้งความรักเราให้หายไป
อยากรู้เธอทำได้อย่างไร",mon_chutimon
อย่ากังวล (No Worries),/music/thailyric/17070,"เธอคิดว่าฉันรู้จักเธอรึเปล่า
แค่ได้เห็นแววตาที่ซ่อน
ความอ่อนไหวข้างใน

ฉันรู้ว่าไม่มีแล้ว
รักของเธอมันหมดไป
ไม่ต้องทนลำบากใจ
ฉันเข้าใจทุกสิ่งดี

อย่ากังวลที่จะเดินไปจากฉัน
อย่าเกรงใจกัน
ถ้าเธอนั้นหมดรักกัน
วันนี้ฉันต้องเข้าใจ
รักของเราไม่มีทางไป
และฉันต้องยอมรับความจริง

อย่ากังวลถ้าเธอเจอคนที่ฝัน
อย่าเกรงใจกันถ้าเธอกำลังรักใคร
วันนี้ฉันต้องเข้าใจ
แม้จะต้องเสียใจแค่ไหน
และฉันต้องยอมรับความจริง
อย่ากังวลไปเลยนะเธอ

วันนี้เธอแค่สงสารฉันรึเปล่า
รอยยิ้มและอ้อมกอดที่มันเปลี่ยนไป
เหลือเกิน

ฉันรู้ว่าไม่มีแล้ว
รักของเธอมันหมดไป
ไม่ต้องทนลำบากใจ
ฉันเข้าใจทุกสิ่งดี

อย่ากังวลที่จะเดินไปจากฉัน
อย่าเกรงใจกันถ้า
เธอนั้นหมดรักกัน
วันนี้ฉันต้องเข้าใจ
รักของเราไม่มีทางไป
และฉันต้องยอมรับความจริง

อย่ากังวลถ้าเธอเจอคนที่ฝัน
อย่าเกรงใจกัน
ถ้าเธอกำลังรักใคร
วันนี้ฉันต้องเข้าใจ
แม้จะต้องเสียใจแค่ไหน
และฉันต้องยอมรับความจริง
อย่ากังวลไปเลยนะเธอ

อย่าคิดว่าเธอนั้นผิดที่ไม่รักฉัน
ก็เพราะว่าฉันนั้นเข้าใจ
ฉันจะยอมให้เธอไป
วันนี้ที่เธอต้องการ
มันไม่ใช่ฉัน

อย่ากังวลที่จะเดินไปจากฉัน
อย่าเกรงใจกัน
ถ้าเธอนั้นหมดรักกัน
วันนี้ฉันต้องเข้าใจ
รักของเราไม่มีทางไป
และฉันต้องยอมรับความจริง

อย่ากังวลถ้าเธอเจอคนที่ฝัน
อย่าเกรงใจกัน
ถ้าเธอกำลังรักใคร
วันนี้ฉันต้องเข้าใจ
แม้จะต้องเสียใจแค่ไหน
และฉันต้องยอมรับความจริง
อย่ากังวลไปเลยนะเธอ

เลยนะเธอ โว้...
อย่ากังวลไปเลยนะเธอ โว้...",mon_chutimon
อย่าทำให้ฉันรัก (Please Don't),/music/thailyric/22366,"อย่าใจร้ายเลยได้ไหม
อย่าทำให้ฉันอ่อนไหวทุกครั้งที่ใกล้กัน
ที่เธอนั้นทำคือรักกัน
หรือคนอย่างฉันอ่อนแอเสียจนคิดมากไป

อดทนเก็บอยู่เรื่อยมา คำถามที่ยังไม่รู้
ที่มันยังคงติดอยู่ในใจ

ถ้าเธอคิดว่าฉันไม่ใช่ เธอไม่เคยมีใจ
อย่าปล่อยให้ฉันรัก
อย่าปล่อยให้ฉันหวังมากกว่านี้
แค่บอกมาว่าฉันไม่ใช่ เธอไม่คิดอย่างนั้น
อย่าทำให้ฉันรัก
อย่าทำให้ฉันรักเธอไปกว่านี้เลย

อย่าทำสายตาแบบนี้เลย
ถ้าเธอนั้นรู้ว่าเธอไม่เคยจะคิดแบบนั้น
และฉันเป็นแค่เพียงใครคนหนึ่งของเธอ

เป็นคนที่ยืนข้างเธอ ที่ไม่เคยมีความหมาย
และฉันไม่รู้ต้องทำยังไง

ถ้าเธอคิดว่าฉันไม่ใช่ เธอไม่เคยมีใจ
อย่าปล่อยให้ฉันรัก
อย่าปล่อยให้ฉันหวังมากกว่านี้
แค่บอกมาว่าฉันไม่ใช่ เธอไม่คิดอย่างนั้น
อย่าทำให้ฉันรัก
อย่าทำให้ฉันรักเธอไปกว่านี้เลย

หากว่าเธอไม่เคยต้องการกัน อย่าทำร้ายฉัน
ยิ่งทำให้หวัง ยิ่งรักเธอมากเท่าไรยิ่งทรมาน

ถ้าเธอคิดว่าฉันไม่ใช่ เธอไม่เคยมีใจ
อย่าปล่อยให้ฉันรัก
อย่าปล่อยให้ฉันหวังมากกว่านี้
แค่บอกมาว่าฉันไม่ใช่ เธอไม่คิดอย่างนั้น
อย่าทำให้ฉันรัก
อย่าทำให้ฉันรักเธอไปกว่านี้เลย",mon_chutimon
อย่าบอกให้ฉันหยุดรักเธอ,/music/thailyric/15429,"สิ่งที่เธอกำลังขอฉันมันคงมากไป
คงจะทำให้เธอไม่ไหวให้ไปจากเธอ
อย่าทำลายในความผูกพัน
อย่าห้ามฉันให้มาเจอะกับเธอ
เลิกพูดได้แล้ว ว่าเราไม่คู่ควรกัน

ก็หัวใจของฉันเอง ฉันควรเป็นคนสั่งมัน
จะช้ำใจจะร้าวราน ขอเลือกเอง

อย่าบอกให้ฉันหยุดรักเธอ
อย่าบอกลากันอย่างนี้เลย
อย่าทำเป็นเหมือนไม่เคย
มีใจเหลือและเยื่อใย
มันปวดใจรู้ไหม ที่เธอทำกันอย่างนี้
อย่าโทษตัวเธอไม่ดี
ให้ฉันได้มีสิทธิ์รักสักครั้งได้ไหม

ก็เข้าใจว่าเธอนั้นคิดหวังดีต่อกัน
ไม่อยากเป็นคนทำร้ายฉันถ้าคบกับเธอ
อย่าทำลายในความผูกพัน
อย่าห้ามฉันให้มาเจอะกับเธอ
เลิกพูดได้แล้วว่าเราไม่คู่ควรกัน

ก็หัวใจของฉันเอง ฉันควรเป็นคนสั่งมัน
จะช้ำใจจะร้าวราน ขอเลือกเอง

อย่าบอกให้ฉันหยุดรักเธอ
อย่าบอกลากันอย่างนี้เลย
อย่าทำเป็นเหมือนไม่เคย
มีใจเหลือและเยื่อใย
มันปวดใจรู้ไหม ที่เธอทำกันอย่างนี้
อย่าโทษตัวเธอไม่ดี
ให้ฉันได้มีสิทธิ์รักสักครั้งได้ไหม

อย่าบอกให้ฉันหยุดรักเธอ
อย่าบอกลากันอย่างนี้เลย
อย่าทำเป็นเหมือนไม่เคย
มีใจเหลือและเยื่อใย
มันปวดใจรู้ไหม ที่เธอทำกันอย่างนี้
อย่าโทษตัวเธอไม่ดี
ให้ฉันได้มีสิทธิ์รักสักครั้งได้ไหม",mon_chutimon
