song_name,href,lyric,artist
ขอกอดแก้หนาว,/music/thailyric/22600,"โอ๊ย คางนำ กะละว่า คำนาง
คำแพง ผู้แก้มแดงอ่องต่อง
ละเจ้าผู้แก้มอ่องต่อง ละผู้สองเต้าโต้น
เต้าโต้น มีไผโหยนแล้วไป่น้อ
ในใจเจ้า มีไผแนละบ้อ คันบ่มี ทางอ้ายนี้อยากสิขอ
อยากสิขอ ซ่นแน สิได้บ่ สิได้บ่

โอ๊ย คางนำ กะละว่า คำนาง
ลมหนาว พัดต้าวละหวี่เหวิ่น
เจ้าผู้เปิ่นเวิ่น เพิ่นผู้เฮ็ดตาส้ม
ตาส้ม ขอซมเจ้าได้บ่น้อ
ขออ้ายกอดแก้หนาวแนได้บ่
คันเธอว่างทางอ้ายกะสิขอ
อ้ายอยากสิขอ กอดแน สิได้บ่ สิได้บ่ โอ๊ย

ละอั่นผู้สาว คำหล่า เจ้าผู้แก้มป่ายล่าย
มีผู้นั่งผิงไฟ เคียงข้างๆ แล้วไป่น้อ
หนาวปีนี้ หากบ่มีคู่ซ้อน อ้ายขอนอนเคียงข้าง
เด้อนางหล่า โอ๊ย นางหล่า เด้อนางเด้อ

โอ๊ย คางนำ กะละว่า คำนาง
คำแพง ผู้แก้มแดงอ่องต่อง
ละเจ้าผู้แก้มอ่องต่อง ละผู้สองเต้าโต้น
เต้าโต้น มีไผโหยนแล้วไป่น้อ

ขออ้ายกอดแก้หนาวแนได้บ่
คันเธอว่างทางอ้ายกะสิขอ
อ้ายอยากสิขอ กอดแน สิได้บ่ สิได้บ่ โอ๊ย

ละอั่นผู้สาว คำหล่า เจ้าผู้แก้มป่ายล่าย
มีผู้นั่งผิงไฟ เคียงข้างๆ แล้วไป่น้อ
หนาวปีนี้ หากบ่มีคู่ซ้อน อ้ายขอนอนเคียงข้าง
เด้อนางหล่า โอ๊ย นางหล่า เด้อนางเด้อ

ละเจ้าผู้แค่นอั้นตั้น ถืกไผคั้นแล้วไป่น้อ
คั่นบ่ว่าเคยพ้อ ขออ้ายคั่น ซะเป็นหยัง ฮิ้ว

โอ่เด้ คนผู้งามละผู้สาวแก้มแดง
หล่าคำแพง เจ้ามีแฟนแล้วไป่
ในใจนางนั่นยังว่างอยู่บ่
อ้ายอยากขอเหยิบเข้าไปข้างเคียง
อยากฮ่วมเตียงกับผู้สาวได้บ่
โอ๊ยได้บ่ ขออ้ายกอดแก้หนาว เดิ่นๆ เด้อดีเดอดิเดิ่น

ละอั่นผู้สาว คำหล่า เจ้าผู้แก้มป่ายล่าย
มีผู้นั่งผิงไฟ เคียงข้างๆ แล้วไป่น้อ
หนาวปีนี้ หากบ่มีคู่ซ้อน อ้ายขอนอนเคียงข้าง
เด้อนางหล่า โอ๊ย นางหล่า เด้อนางเด้อ

ฟังเด้อนาง เจ้าผู้แก้มป่ายล่าย
มีผู้นั่งผิงไฟ เคียงข้างๆ โอ๊ย เคียงข้างๆ
หนาวปีนี้ หากบ่มีคู่ซ้อน อ้ายขอนอนเคียงข้าง
เด้อนางหล่า โอ๊ย นางหล่า เด้อนางเด้อ",name_surapong
ความจำบ่ดี,/music/thailyric/20303,"คำว่าเฮา ฮักกัน
มันยังค้างอยู่ในหัวใจ
พยายามจะลืม กะลืมบ่ได้
แม้ว่าเรื่องของเฮา
มันสิจบไปแล้วหลายปี

บอกกับใจเสมอ
ให้สั่งสมองลืมเธอทุกที
แต่กะติดที่ความจำอ้าย
มันบ่ดี

ที่จำได้เบิ่ดสุอย่าง
จำได้เบิ่ดทุกอย่างที่เป็นเธอ
ทั้งฮอยกอด ฮอยจูบของเธอ
และฮักนิรันดร์ที่เคยสัญญา

อ้ายจำได้เบิ่ดสุอย่าง
ทั้งรอยยิ้มและคำเว่าจา
ในยามที่เผลอสบตา
เจ้าสิบอกว่า ฮักอ้ายเด้อ

อ้ายจำได้เบิ่ดสุอย่าง
จำได้ฮอดเบอร์รองเท้าของเธอ
ที่ในหัวมันมีแต่เรื่องเธอ
กะย้อนความจำของอ้ายบ่ดี
บ่ดีที่มัน บ่ยอมลืม

ยังคิดถึงและยังคงเหงา ยังซึมยังเศร้า
ยังติดอยู่ในภวังค์แห่งความทรงจำ
แล้วเจ้านั้นเด้ ลืมอ้ายละใด๋
หรือวความเป็นจริงในใจของเจ้า บ่คิดสิจดจำ

บอกกับใจเสมอ
ให้สั่งสมองลืมเธอทุกที
แต่กะติดที่ความจำอ้าย
มันบ่ดี

ที่จำได้เบิ่ดสุอย่าง
จำได้เบิ่ดทุกอย่างที่เป็นเธอ
ทั้งฮอยกอด ฮอยจูบของเธอ
และฮักนิรันดร์ที่เคยสัญญา

อ้ายจำได้เบิ่ดสุอย่าง
ทั้งรอยยิ้มและคำเว่าจา
ในยามที่เผลอสบตา
เจ้าสิบอกว่า ฮักอ้ายเด้อ

อ้ายจำได้เบิ่ดสุอย่าง
จำได้ฮอดเบอร์รองเท้าของเธอ
ที่ในหัวมันมีแต่เรื่องเธอ
กะย้อนความจำของอ้ายบ่ดี
บ่ดีที่มัน บ่ยอมลืม

ความจำของอ้าย บ่ดี
7:36 หลังเที่ยง",name_surapong
ความทรงจำ,/music/thailyric/17957,"ยังจดจำไว้ทุกความทรงจำ
ทุกถ้อยคำบ่เคยสิลืม เจ้ายืนหนึ่งในใจคือเก่า

ลืมน้องอยากลืมแต่มันบ่ง่าย
มันคึดฮอดคือจั่งสิตาย ในใจยังเป็นอ้ายคือเก่า

ฮักสิตายสุดท้ายบ่เป็นคือฝัน
ฮักสิตายกะบ่ได้อยู่นำกัน
ฮักสิตายกะเป็นแค่ความทรงจำ
เฮาก็เป็นได้เพียง

แค่คนเคยฮักกัน แค่คนเคยย่างนำกัน
แค่คนเคยดูแลกันแค่ช่วงเวลาสั้นๆ อีหลี
แต่ใจยังฮักกัน แต่ยังคงฮู้สึกดี
มันคือความทรงจำดีๆ ที่เรามีกัน

มันคือความทรงจำดีๆ ที่เรามีกัน

ยังจดจำไว้ทุกความทรงจำ
ทุกถ้อยคำบ่เคยสิลืม อ้ายยืนหนึ่งในใจคือเก่า

ลืมน้องอยากลืมแต่มันบ่ง่าย
มันคึดฮอดคือจั่งสิตาย ในใจยังเป็นเจ้าคือเก่า

แค่คนเคยฮักกัน แค่คนเคยย่างนำกัน
แค่คนเคยดูแลกันแค่ช่วงเวลาสั้นๆ อีหลี
แต่ใจยังฮักกัน แต่ยังคงฮู้สึกดี
มันคือความทรงจำดีๆ ที่เรามีกัน

มันคือความทรงจำดีๆ ที่เรามีกัน

แค่คนเคยฮักกัน แค่คนเคยย่างนำกัน
แค่คนเคยดูแลกันแค่ช่วงเวลาสั้นๆ อีหลี
แต่ใจยังฮักกัน แต่ยังคงฮู้สึกดี
มันคือความทรงจำดีๆ ที่เรามีกัน

แค่คนเคยฮักกัน แค่คนเคยย่างนำกัน
แค่คนเคยดูแลกันแค่ช่วงเวลาสั้นๆ อีหลี
แต่ใจยังฮักกัน แต่ยังคงฮู้สึกดี
มันคือความทรงจำดีๆ ที่เรามีกัน

มันแค่ความทรงจำดีๆ ที่เฮาเคยฮักกัน",name_surapong
คิดฮอดหลายเด้อ,/music/thailyric/22003,"ลั่นถ้อยคำเป็นกลอน ฮำฮอนผ่านเสียงเพลงไป
ว่ามีใจหนึ่งใจ เขายังเฝ้าคอยพร่ำเพ้อ
กลั่นถ้อยคำรำพัน ว่ายังคือเก่าเสมอ
คิดฮอดหลายเด้อ จึงฝากคำมานำลำกลอน

ถูกความหวั่นไหวรบเร้าใจ ให้คิดฮอดจัง
คิดฮอดความหลัง เมื่อครั้งฮักกันวันก่อน
คิดฮอดความเก่า ครั้งสองเฮาเคยเว้าวอน
ถึงถูกตัดรอน แต่ยัง อาวรณ์คือเก่า

ก่อนนั้นสองเรา เฝ้ารักกันมาเนิ่นนาน
ชื่นบาน ไม่มี เเม้ความหมองเศร้า
จนวันแตกหัก เพราะอ้ายนอกใจ ฮักเฮา
ไปกับเขาแล้วกล่าวจบความสัมพันธ์

แต่มื้อนั้น หลายคืนผ่านผัน ละวันเดือนเคลื่อนที่
แต่มื้อนั้น หลายคืนผ่านผัน ละวันเดือนเคลื่อนที่
จบกันไป จนฮอดมื้อนี้ กะยังเศร้าบ่เซา

อยากลืมแฟนเขา ที่ทำให้เราป่วยจิต
แต่ก็หมดสิทธิ์ เพราะใจบ่ยอม ปล่อยวาง
ยังส่องไอจี ส่องเฟซบุ๊ก เขาทุกก้าวหย่าง
หมดสิ้นหนทาง ฮักบ่เคยจาง จึงต้องทำใจ

ลืมบ่ได้ ย้อนทางหัวใจคิดนำเจ้าหว่างๆ
ย้อยหย่ามหย่าง น้ำตาพังจ่าวๆ บ่ลืมเจ้าจั๊กที
ผ่านหลายปี กะบ่มีเปลี่ยนไป
เบิ่ดหัวใจ บ่มีไผมาแทน ยกให้เจ้ายืนหนึ่ง
ฝากคำซึ้งถึงคนเคยเคียงคู่
ให้ถึงหูคนที่เคยอยู่ข้าง จากทางอ้ายเป็นกลอนลำ

กลั่นถ้อยคำเป็นกลอน ฮำฮอนให้ฮอดหูอ้าย
ว่ามีใจหนึ่งใจ เขายังเฝ้าคอยพร่ำเพ้อ
กลั่นถ้อยคำรำพัน ว่ายังฮักเจ้าเสมอ
คิดฮอดหลายเด้อ จึงฝากคำมานำลำกลอน

ฝากกลอนลำนี้ส่งท้าย ฝากกลอนลำนี้ส่งท้าย
ก่อนปิดตายกล่องความฮักเก่า
จากใจเหงาสั่งความสุดท้าย
คิดฮอดหลาย ฮักบ่เซา
ฮักกับเขาสาเด้อคนดี
ขอจงโชคดีสาเด้อเจ้า สาเด้อเจ้า",name_surapong
แค่เกือบ,/music/thailyric/19978,"เจ้าหายไปจากชีวิตอ้ายแล้ว ตั้งดน
แต่ยังบ่ดนพอที่ สิเฮ็ดให้อ้ายลืมเจ้าได้
ฮู้โตตลอด ว่าบ่มีทางที่เจ้าสิอ่วย โงกลับมาใหม่
คงสิเหลือแค่อ้ายกับหัวใจที่ยังงมงาย

หาวิธีหลุดจากความปวดร้าว
เฮ็ดทุกอย่าง เพื่อสิจบจากเขา
จนเหลือภาพเจ้าลางๆ
ลังเทื่อคือจั่งสิลืม

กะแค่เกือบ แต่ยังบ่ลืม
ทุกครั้งยังน้ำตาซึม เมื่อนึกถึงภาพเก่าๆ
กะแค่เกือบ ว่าสิลืมฮักเฮา
ยังวนอยู่ลูปเก่าๆ ตื่นเช้ามายังคิดฮอด

กะแค่เกือบ แต่มันลืมบ่ไหว
เบิ่ดสุห้องหัวใจ มันยังฮักแต่เจ้า
จบแล้วน้อชาตินี้
คันบ่ตายจากกัน คงสิบ่หลุดพ้น

เหลือเพียงซากความหลัง ที่มันได้พังสลาย
กับลมหายใจที่เหลือเอาไว้ เพื่อคิดฮอดเธอ
ภาวนากับใจเจ้าของ ให้ลืมเรื่องราวเขาไปเสมอ
แม้สุดท้ายใจอ้ายต้องเจอ ความทรมาน

หาวิธีหลุดจากความปวดร้าว
เฮ็ดทุกอย่าง เพื่อสิจบจากเขา
จนเหลือภาพเจ้าลางๆ
ลังเทื่อคือจั่งสิลืม

กะแค่เกือบ แต่ยังบ่ลืม
ทุกครั้งยังน้ำตาซึม เมื่อนึกถึงภาพเก่าๆ
กะแค่เกือบ ว่าสิลืมฮักเฮา
ยังวนอยู่ลูปเก่าๆ ตื่นเช้ามายังคิดฮอด

กะแค่เกือบ แต่มันลืมบ่ไหว
เบิ่ดสุห้องหัวใจ มันยังฮักแต่เจ้า
โอ้ละน้อ ชาตินี้
คันบ่ตายจากกัน

กะแค่เกือบ แต่ยังบ่ลืม
ทุกครั้งยังน้ำตาซึม เมื่อนึกถึงภาพเก่าๆ
กะแค่เกือบ ว่าสิลืมฮักเฮา
ยังวนอยู่ลูปเก่าๆ ตื่นเช้ามายังคิดฮอด

กะแค่เกือบ แต่มันลืมบ่ไหว
เบิ่ดสุห้องหัวใจ มันยังฮักแต่เจ้า
จบแล้วน้อชาตินี้
คันบ่ตายจากกัน คงสิบ่หลุดพ้น",name_surapong
เจ้าแห่งแรงงาน,/music/thailyric/21574,"ออกเดินทาง จากบ้านมาไกล
จากถิ่นที่ใคร เขาดูหมิ่นดูแคลน
แบกความจน หนีความเเล้นเเค้น
หอบเสียงพิณเเคน จากดินแดนที่ราบสูง
มุ่งสู่เมือง ก็เพื่อชีวิตที่งดงาม

หอบความหวัง หนีห่างที่ซุกหัวนอน
มาเป็นกรรมกร ค่าเเรงขั้นต่ำ
ทำแทบตาย ตั้งแต่เช้ายันค่ำ
รายได้ประจำ แค่พอซื้อข้าวแกง

โอ้โอ ละหนอ ใครน้อจะเห็นใจ

กระจายแรงงานไปทั่วกทม.
แค่มีงานกะพอ สิท้อส่ำใดกะทนได้
เป็นเด็กปั๊มหรือเด็กเสิร์ฟ อยู่ห้างใหญ่
เฮาเฮ็ดได้สบาย ด้วยหัวใจที่แข็งแกร่ง

อีกบ่นาน สิกลับไปซบไออุ่น
กลับคืน โขง ชี มูล ไปเติมฮักเติมแฮง
ให้คนกล่าวขาน ถึงตำนานคนขายเเรง
พระเจ้าแห่งความเข้มเเข็ง คือสายพันธุ์อีสาน

คือลูกอีสาน คือเจ้าแห่งแรงงาน

กระจายแรงงานไปทั่วกทม.
แค่มีงานกะพอ สิท้อส่ำใดกะทนได้
เป็นเด็กปั๊มหรือเด็กเสิร์ฟ อยู่ห้างใหญ่
เฮาเฮ็ดได้สบาย ด้วยหัวใจที่แข็งแกร่ง

อีกบ่นาน สิกลับไปซบไออุ่น
กลับคืน โขง ชี มูล ไปเติมฮักเติมแฮง
ให้คนกล่าวขาน ถึงตำนานคนขายเเรง
พระเจ้าแห่งความเข้มเเข็ง คือสายพันธุ์อีสาน

คือลูกอีสาน คือเจ้าแห่งแรงงาน

คือลูกอีสาน คือเจ้าแห่งแรงงาน",name_surapong
เจ้าฮู้บ่,/music/thailyric/16137,"ล่ะโอแม่แก้มเปิ่นเวิ่น
ละเจ้าผู้ใส่ซ่งเขิล
อยากจะรู้เหลือเกิน
ล่ะแม่นเจ้างามได้ไผ

อ้ายนี้อยากซูนคิง
เจ้าผู้แก้มปิ๊งซิ่ง
อยากสิติงลิงติ่ง
อ้ายอยากจับจองหัวใจ

อยากฮู้เด้ต้องเฮ็ดจั่งได๋
จั่งสิได้ใจของเจ้านี่น้อ
อยากสมัครฮักน้องหล่า
ยังเหลือโควต้าให้อ้ายแนบ่
ขอเบอร์ขอเฟซ ขอไลน์
ขอหยังกะได้ไว้ติดต่อ
พอให้ได้เห็น ป่องทาง
ความฮัก ของอ้ายคนมอซอ

ก็ตั้งแต่ลอดท้องพ่อแม่มา
โตอ้ายกะเพิ่งได้พบพ้อ
สะเดิดตื่นความงามของเจ้า
ละเอ้ยนางฟ้ากะบ่ท่อ

คำเอยนางเอย
บ่แม่นว่าอ้ายนั้นส่อล่อ
อ้ายแพ้ทางให้เจ้าคักๆ
หลงฮักเจ้าแล้วล่ะฮู้บ่

ฮู้บ่น้อ ฮู้บ่นาง

อานุภาพ ร้ายแรงคำแพงเจ้าฮู้บ่
ความงามของเจ้านี่น้อ
มีผลต่อใจของอ้ายอิหลี
รัศมีความสวย ลมต้องเย็นซ่วยๆ
เกือบแม่นตกหลังควาย
เพียงแค่เผลอ สบตา

คั่นได้ ซูนหม่องมันขาวๆ
คือสิมีแฮงจ้าวในใจแท้น้อ
วาสนาชีวิตบักเผิงสิมีโอกาสได้ต้อยบ่น้อ
ฮอยยิ้มที่เจ้าส่งมาบอกเลยว่าอ้ายนั้นคิดต่อ
ค้นพบแล้วแม่บักหำน้อยในอนาคต อนางอ

ก็ตั้งแต่ลอดท้องพ่อแม่มา
โตอ้ายกะเพิ่งได้พบพ้อ
สะเดิดตื่นความงามของเจ้า
ละเอ้ยนางฟ้ากะบ่ท่อ

คำเอยนางเอย
บ่แม่นว่าอ้ายนั้นส่อล่อ
อ้ายแพ้ทางให้เจ้าคักๆ
หลงฮักเจ้าแล้วล่ะฮู้บ่

ฮู้บ่น้อ ฮู้บ่นาง

อานุภาพ ร้ายแรงคำแพงเจ้าฮู้บ่
ความงามของเจ้านี่น้อ
มีผลต่อใจของอ้ายอิหลี
รัศมีความสวย ลมต้องเย็นซ่วยๆ
เกือบแม่นตกหลังควาย
เพียงแค่เผลอ สบตา

เจ้าฮู้บ่ เจ้าฮู้บ่

คั่นได้ ซูนหม่องมันขาวๆ
คือสิมีแฮงจ้าวในใจแท้น้อ
วาสนาชีวิตบักเผิงสิมีโอกาสได้ต้อยบ่น้อ
ฮอยยิ้มที่เจ้าส่งมาบอกเลยว่าอ้ายนั้นคิดต่อ
ค้นพบแล้วแม่บักหำน้อยในอนาคต อนางอ

ก็ตั้งแต่ลอดท้องพ่อแม่มา
โตอ้ายกะเพิ่งได้พบพ้อ
สะเดิดตื่นความงามของเจ้า
ละเอ้ยนางฟ้ากะบ่ท่อ

คำเอยนางเอย
บ่แม่นว่าอ้ายนั้นส่อล่อ
อ้ายแพ้ทางให้เจ้าคักๆ
หลงฮักเจ้าแล้วล่ะฮู้บ่

ฮู้บ่น้อ ฮู้บ่นาง

อานุภาพ ร้ายแรงคำแพงเจ้าฮู้บ่
ความงามของเจ้านี่น้อ
มีผลต่อใจของอ้ายอิหลี
รัศมีความสวย ลมต้องเย็นซ่วยๆ
เกือบแม่นตกหลังควาย
เพียงแค่เผลอ สบตา

เจ้าฮู้บ่ เจ้าฮู้บ่",name_surapong
ฉันไม่ออนซอน,/music/thailyric/15495,"เธอ เธอจะรั้งฉันไว้ทำไม
ก็ในวันนั้นเธอเป็นคนทิ้งฉันไป
ไปนำเขาอาดหลาด
อู้ว เธอ เธอยังเก็บฉันเอาไวทำไม
คั่นพอกะเทินเธอคือไม่ทิ้งฉันไป
โอ้วพอกันทีเถาะที่รัก
กับความรักของเธอทีพอก่ำก่า

เมื่อเธอมีเขาแล้ว
จะจ่งฉันไว้ทำมะเขือเปราะ อะไร
เมื่อเธอไม่หัวซาใจ
ฉันก็ขอจากไกล แบบมิดซี่ลี่

เมื่อเธอมีเขาแล้ว
จะจ่งฉันไว้ ทำส้มแบ้ไว้กินหน้าหนาวสั้นติ
เบื่อความสัมพันธ์ที่ตันจื่อลื่อแบบนี้
จะหนีก็ฟ้าวหนี

แต่บอกเลยฉัน ไม่ออนซอน

เจ็บกี่ครั้งก็ยังบ่จื่อ
ถูกเธอกระทำตะพึดตะพือ
แต่ใจเจ่ากรรมยังอยู่ซื่อๆ
อย่ามองว่าฉันนั้นเป็นกระบือ
หมดรักกันแล้วก็ปล่อยมือ
อย่าดองกันไว้เข้าใจเบ๊าะ
อิพากทั่งเยาะ

เมื่อเธอมีเขาแล้ว
จะจ่งฉันไว้ทำมะเขือเปราะ อะไร
เมื่อเธอไม่หัวซาใจ
ฉันก็ขอจากไกล แบบมิดซี่ลี่

เมื่อเธอมีเขาแล้ว
จะจ่งฉันไว้ ทำส้มแบ้ไว้กินหน้าหนาวสั้นติ
เบื่อความสัมพันธ์ที่ตันจื่อลื่อแบบนี้
จะหนีก็ฟ้าวหนี

แต่บอกเลยฉัน ไม่ออนซอน

เมื่อเธอมีเขาแล้ว
จะจ่งฉันไว้ทำมะเขือเปราะ อะไร
เมื่อเธอไม่หัวซาใจ
ฉันก็ขอจากไกล แบบมิดซี่ลี่

เมื่อเธอมีเขาแล้ว
จะจ่งฉันไว้ ทำส้มแบ้ไว้กินหน้าหนาวสั้นติ
เบื่อความสัมพันธ์ที่ตันจื่อลื่อแบบนี้
จะหนีก็ฟ้าวหนี

เมื่อเธอมีเขาแล้ว
จะจ่งฉันไว้ทำมะเขือเปราะ อะไร
เมื่อเธอไม่หัวซาใจ
ฉันก็ขอจากไกล แบบมิดซี่ลี่

เมื่อเธอมีเขาแล้ว
จะจ่งฉันไว้ ทำส้มแบ้ไว้กินหน้าหนาวสั้นติ
เบื่อความสัมพันธ์ที่ตันจื่อลื่อแบบนี้
จะหนีก็ฟ้าวหนี

แต่บอกเลยฉัน ไม่ออนซอน",name_surapong
เชื่อบ่,/music/thailyric/21759,"เชื่อบ่ ว่าอ้ายยังอยู่หม่องเก่า
เชื่อบ่ ว่าตั้งแต่เฮาเลิกรากันไป
เชื่อบ่ ว่าอ้ายคิดฮอดเจ้าหลาย
เชื่อบ่ ว่าอ้ายคึดพ้อทุกห้วงคำนึง

ถึงแม้เฮา สิจบกันไปนานแล้ว
แต่ใจยังแอ่ว ห่วงหา บ่เซา

คันบ่ตาย จากกัน กะคงบ่เซาฮักเขา
ความรู้สึกเก่าๆ คงวนเวียน อยู่ในใจ
ภาพเฮาเดินจับมือ กะคงสิบ่เลือนหาย
จากนี้จนมื้อตาย กะคงสิฮักคือเก่า เจ้าเชื่อบ่

เชื่อบ่ ว่าอ้ายยังเก็บรูปเจ้าไว้อยู่
เชื่อบ่ ว่าอ้ายยังส่องเฟสเจ้าบ่เซา
เชื่อบ่ แม่นมื้อนี้ เจ้าเป็นของเขา
อ้ายกะสิฮัก ฮักเจ้าคือเก่า ซามตาย โอ๊ย

คันบ่ตาย จากกัน กะคงบ่เซาฮักเขา
ความรู้สึกเก่าๆ คงวนเวียน อยู่ในใจ
ภาพเฮาเดินจับมือ กะคงสิบ่เลือนหาย
จากนี้จนมื้อตาย กะคงสิฮักคือเก่า ฮื้อ

คันบ่ตาย จากกัน กะคงบ่เซาฮักเขา
ความรู้สึกเก่าๆ คงวนเวียน อยู่ในใจ
ภาพเฮาเดินจับมือ กะคงสิบ่เลือนหาย
จากนี้จนมื้อตาย กะคงสิฮักคือเก่า เจ้าเชื่อบ่

เจ้าเชื่อบ่",name_surapong
ซังคนขี้คุย,/music/thailyric/17349,"กลับเมือเฮือน เมือซาน เทศกาลปีนี้
ได้มาพ้อคนดี สาวส่ำน้อยบ้านเฮา
บ่ได้พ้อตั้งโดน จนว่าใหญ่เป็นสาว
ป้าด ซานดังรึซานเล้า ขอมักเจ่าได้บ่

บ่ต้องทำท่าแซวน้องดอกอ้ายจ๋า
กะส่ำนี่ล่ะ สไตล์ผู้สาวบ้านนอก
เซาคึดต่อ คั่นคิดว่าสิมาหลอก
บ่จริงใจกะให้บอก อย่ามาหยอก
มันสิเจ็บ เด้ หัวใจ

บ่ได้มาเล่นๆ ดอกเดะ ผู้สาว
คั่นว่าบ่มัก จ้าง 500 อ้ายกะบ่แซว

หืย จั่งแม่นคัก เว่าแบบนี้กับกี่คนแล้ว
สิให้น้องไปต่อแถว กับคิวที่ท่อใด

บ่หล่อปานใด แต่หัวใจเป็นตาฮัก
บู้ย จั่งแม่นเว่าคัก
เอ้า อยากให้เจ้าได้ฮู้
บ่อยากสิเชื่อคำเว่าคนเช้าชู้
เบิ่งตาเดียวกะรู้ คนเจ้าชู้ตาใส

คั่นได้ฮักอ้ายกะฮักดอกเบิ่ดใจ
ลองมาเป็นแฟนอ้าย
อยากได้หยังกะสิยอม

บ่หล่อยังกุย ขี้คุยอีกพร้อม
น้องบ่มีทางยอม
เสียเหลี่ยมให้คนจั่งอ้าย

บ่ได้มาเล่นๆ ดอกเดะ ผู้สาว
คั่นว่าบ่มัก จ้าง 500 อ้ายกะบ่แซว

หืย จั่งแม่นคัก เว่าแบบนี้กับกี่คนแล้ว
สิให้น้องไปต่อแถว กับคิวที่ท่อใด

บ่หล่อปานใด แต่หัวใจเป็นตาฮัก
บู้ย จั่งแม่นเว่าคัก
เอ้า อยากให้เจ้าได้ฮู้
บ่อยากสิเชื่อคำเว่าคนเช้าชู้
เบิ่งตาเดียวกะรู้ คนเจ้าชู้ตาใส

คั่นได้ฮักอ้ายกะฮักดอกเบิ่ดใจ
ลองมาเป็นแฟนอ้าย
อยากได้หยังกะสิยอม

บ่หล่อยังกุย ขี้คุยอีกพร้อม
น้องบ่มีทางยอม
เสียเหลี่ยมให้คนจั่งอ้าย

บ่หล่อปานใด แต่หัวใจเป็นตาฮัก
บู้ย จั่งแม่นเว่าคัก
เอ้า อยากให้เจ้าได้ฮู้
บ่อยากสิเชื่อคำเว่าคนเช้าชู้
เบิ่งตาเดียวกะรู้ คนเจ้าชู้ตาใส

คั่นได้ฮักอ้ายกะฮักดอกเบิ่ดใจ
ลองมาเป็นแฟนอ้าย
อยากได้หยังกะสิยอม

บ่หล่อยังกุย ขี้คุยอีกพร้อม
น้องบ่มีทางยอม
เสียเหลี่ยมให้คนจั่งอ้าย

บ่เปลี่ยนใจติ
ลองคบเบิ่งก่อนกะได้
บ่ๆ น้องย้านเสียใจ..
เสียเหลี่ยมให้คนเจ้าชู้",name_surapong
