song_name,href,lyric,artist
รักที่เป็นของจริง (Real Love),/music/thailyric/9954,"ทำไมใครที่เคยผ่าน ต้องเป็นเพียงคนที่เดินผ่าน
หรือเพราะว่าฉันไม่ดี
ทำไมใจที่ให้ไป ทุ่มเทยังไงก็เสียใจ
ไม่ว่าทำยังไงก็เจ็บช้ำทุกที

ได้แต่สงสัย i ya i ya ว่าทำไม i ya i ya
คำถามในใจมากมาย เฝ้าถามว่าเพราะอะไร
แต่คำถามที่ในหัวใจ ถูกเฉลยทุกคำข้างใน
เมื่อวันที่เธอมายืนอยู่ตรงนี้

หมดคำถามที่มันคาหัวใจตั้งแต่วันนั้น
หมดคำถามในเวลาที่ฉันได้รักเธอ
เข้าใจแล้วว่าน้ำตา และทุกอย่างที่ต้องเจอ
แค่เป็นเส้นทางที่พาให้ฉันได้พบเธอ กับรักที่เป็นของจริง

คงจะจริงที่ใครบอกไว้ วันดีดีจะมีความหมาย
หากวันร้ายร้ายได้พ้นผ่าน
ยิ่งเคยช้ำใจเท่าไร ยิ่งรู้ว่าเธอมีค่าแค่ไหน
และจะรัก รักเธอให้นาน

ได้แต่สงสัย i ya i ya ว่าทำไม i ya i ya
คำถามในใจมากมาย เฝ้าถามว่าเพราะอะไร
แต่คำถามที่ในหัวใจ ถูกเฉลยทุกคำข้างใน
เมื่อวันที่เธอมายืนอยู่ตรงนี้

หมดคำถามที่มันคาหัวใจตั้งแต่วันนั้น
หมดคำถามในเวลาที่ฉันได้รักเธอ
เข้าใจแล้วว่าน้ำตา และทุกอย่างที่ต้องเจอ
แค่เป็นเส้นทางที่พาให้ฉันได้พบเธอ กับรักที่เป็นของจริง

การรอคอยที่แสนยาวนาน
การเดินทางที่แสนยาวไกล
อาจเจ็บช้ำ อาจเดียวดาย
เพื่อรอวันนี้ที่มีเธอ แค่เธอเท่านั้น

หมดคำถามที่มันคาหัวใจตั้งแต่วันนั้น
หมดคำถามในเวลาที่ฉันได้รักเธอ
เข้าใจแล้วว่าน้ำตา และทุกอย่างที่ต้องเจอ
แค่เป็นเส้นทางที่พาให้ฉันได้พบเธอ กับรักที่เป็นของจริง",new_jiew
หยุดบอกเลิกกันเสียที,/music/thailyric/8868,"ก็รู้ดีทุกอย่างว่าความจริงเป็นเช่นไร
ฉันทรมานเพราะความรักและห่วงใยที่มีให้เธอ
แต่การที่เธอพร่ำบอกว่าให้ลบเลือนเธอจากใจ
เพราะเธอไม่ดีเพราะเราไม่ควรคู่กันฉันยิ่งเสียใจ

ได้โปรดฟังฉันให้ดีๆ นี่คือคำขอร้องที่มาจากใจ
คนที่เธอรักและอยากให้เขาไปได้ดี

หยุดบอกว่าเราควรเลิกกัน หยุดบอกลากันสักวัน
หยุดบอกว่าชีวิตฉันจะดีกว่านี้ถ้าไม่มีเธอ
ให้สิทธิ์หัวใจฉันบ้าง
ในเมื่อใจฉันลิขิตแล้วว่าในวันนี้จะรักเธอ
ผลจะเป็นอย่างไรฉันขอรับมันไว้เอง

รู้ว่าเธอหวังดีแต่อดน้อยใจไม่ได้เลย
ฉันทนเพื่อเธอแล้วเธอจะทนให้ฉันรักได้ไหม

ได้โปรดฟังฉันให้ดีๆ นี่คือคำขอร้องที่มาจากใจ
คนที่เธอรักและอยากให้เขาไปได้ดี

หยุดบอกว่าเราควรเลิกกัน หยุดบอกลากันสักวัน
หยุดบอกว่าชีวิตฉันจะดีกว่านี้ถ้าไม่มีเธอ
ให้สิทธิ์หัวใจฉันบ้าง
ในเมื่อใจฉันลิขิตแล้วว่าในวันนี้จะรักเธอ
ผลจะเป็นอย่างไรฉันขอรับมันไว้เอง

หยุดบอกว่าเราควรเลิกกัน หยุดบอกลากันสักวัน
หยุดบอกว่าชีวิตฉันจะดีกว่านี้ถ้าไม่มีเธอ
ให้สิทธิ์หัวใจฉันบ้าง
ในเมื่อใจฉันลิขิตแล้วว่าในวันนี้จะรักเธอ
ผลจะเป็นอย่างไร จะดีจะร้าย ฉันขอรับมันไว้เอง",new_jiew
อดใจรอ,/music/thailyric/2458,"ก็ยังคงยืนยันจริงๆ ว่าฉันพยายาม
พยายามจะเป็นให้ใกล้เคียงคนที่เธอนึกฝัน
อยากจะทำดีๆ ให้ได้ทุกวัน
ยังต้องการจะให้เธอภูมิใจ
กับคนที่เธอได้เลือกมาเดินข้างกาย

แต่ก็ยังเป็นเพียงคนนึง คนแสนธรรมดา
ที่ยังมีอารมณ์นิสัยที่มันติดมาไม่หาย
และก็มีบางทีแม้ไม่ตั้งใจ
ทำให้เธอต้องเสียความรู้สึก
และมีกี่ครั้งที่ทำให้เสียใจ

อดใจรอไม่นาน อดทนได้ไหมแค่ไม่นาน
ก็อยากจะขอได้ไหม ฉันขอเวลาที่จะทำให้ดี
อดใจรอฉันที จะเป็นคนรักที่ดีให้กัน
ต้องทำให้เธอหายเหนื่อยสักวัน

บอกตรงๆ ไม่มีวันใดที่ไม่พยายาม
ก็ยังมีบางทีที่ฉันยังเป็นแบบเดิมของฉัน
แต่จะทำให้ดีมากขึ้นทุกวัน
ฉันไม่รู้เธอเชื่อฉันหรือเปล่า
ก็อยากยืนยันจริงๆ อีกคราว

อดใจรอไม่นาน อดทนได้ไหมแค่ไม่นาน
ก็อยากจะขอได้ไหม ฉันขอเวลาที่จะทำให้ดี
อดใจรอฉันที จะเป็นคนรักที่ดีให้กัน
จะทำให้เธอหายเหนื่อยสักวัน

บอกตรงๆ ไม่มีวันใดที่ไม่พยายาม
ก็ยังมีบางทีที่ฉันยังเป็นแบบเดิมของฉัน
แต่จะทำให้ดีมากขึ้นทุกวัน
ฉันไม่รู้เธอเชื่อฉันหรือเปล่า
ก็อยากยืนยันจริงๆ อีกคราว",new_jiew
เก็บคำว่ารัก (ไว้ใช้ที่อื่น),/music/thailyric/2446,"แน่ใจประมาณไหน จะมาบอกว่ารัก
เข้าใจมันดีแล้ว หรือเพียงแค่เคลิ้มไป
ต้องการจะบอกฉัน สร้างความประทับใจ
ต้องการให้หวั่นไหว ไม้ตายผู้ชาย

ได้เจอกันยังไม่ทันอะไร
จนมีถ้อยคำบอกกันว่ารัก คงจะเร็วเกินไป
ต้องการอะไร จากคำคำนั้นฉันก็ไม่แน่ใจ
ฉันรู้แค่เพียงมันง่ายไป ที่พูดมา

(เก็บคำว่ารัก ไว้ใช้วันอื่น) เมื่อแน่ใจจริงๆ
(เก็บเอาไว้ไว้ใช้ที่อื่น) ถ้าเผื่อมีใครเชื่อ
(เก็บคำว่า รักไว้ใช้วันอื่น) เมื่อรู้เมื่อรู้เมื่อรู้และเข้าใจ
(เก็บเอาไว้ไว้ใช้ที่อื่น) อย่าคิดใช้กับฉัน

บอกคำที่อ่อนหวาน ต้องการให้อ่อนไหว
เปิดทางสู่สิ่งไหน หวังอะไรอยู่หรือเธอ
หนึ่งคำที่ลึกซึ้ง ถ้อยคำที่เลิศเลอ
แต่ฉันต้องฟังเธอ ใช้มันไม่เป็น

ได้เจอกันยังไม่ทันอะไร
จนมีถ้อยคำบอกกันว่ารัก คงจะเร็วเกินไป
ต้องการอะไร จากคำคำนั้นฉันก็ไม่แน่ใจ
ฉันรู้แค่เพียงมันง่ายไป ที่พูดมา

(เก็บคำว่ารัก ไว้ใช้วันอื่น) เมื่อแน่ใจจริงๆ
(เก็บเอาไว้ไว้ใช้ที่อื่น) ถ้าเผื่อมีใครเชื่อ
(เก็บคำว่า รักไว้ใช้วันอื่น) เมื่อรู้เมื่อรู้เมื่อรู้และเข้าใจ
(เก็บเอาไว้ไว้ใช้ที่อื่น) อย่าคิดใช้กับฉัน

ได้เจอกันยังไม่ทันอะไร
จนมีถ้อยคำบอกกันว่ารัก คงจะเร็วเกินไป
ต้องการอะไร จากคำคำนั้นฉันก็ไม่แน่ใจ
ฉันรู้แค่เพียงมันง่ายไป ที่พูดมา

(เก็บคำว่ารัก ไว้ใช้วันอื่น) เมื่อแน่ใจจริงๆ
(เก็บเอาไว้ไว้ใช้ที่อื่น) ถ้าเผื่อมีใครเชื่อ
(เก็บคำว่า รักไว้ใช้วันอื่น) เมื่อรู้เมื่อรู้เมื่อรู้และเข้าใจ
(เก็บเอาไว้ไว้ใช้ที่อื่น) อย่าคิดใช้กับฉัน

(เก็บคำว่ารัก ไว้ใช้วันอื่น) เมื่อแน่ใจจริงๆ
(เก็บเอาไว้ไว้ใช้ที่อื่น) ถ้าเผื่อมีใครเชื่อ
(เก็บคำว่า รักไว้ใช้วันอื่น) เมื่อรู้เมื่อรู้เมื่อรู้และเข้าใจ
(เก็บเอาไว้ไว้ใช้ที่อื่น) อย่าคิดใช้กับฉัน",new_jiew
เธอมาจากไหน,/music/thailyric/2453,"เธอๆๆๆมาจากไหน มากวนใจฉันซะไม่มี
เธอเป็นใคร มาร้ายหรือว่ามาดี ไม่รู้ไม่ชี้อย่างนี้ได้ไง

เคยไปทำอะไรให้เหรอ ทำไมเธอต้องมาวุ่นวาย
เธอมากวนป่วนฉันไปทั้งหัวใจ เดี๋ยวเห็นเดี๋ยวหายเดี๋ยวไปเดี๋ยวมา
จะอะไรกันนัก มาอะไรกับฉัน ดูสิใจฉันมีปัญหา
จะอะไรกันหนา เอายังไงก็ว่ามา ไงนะ เธอตอบว่าไง

คำๆเดียวขอฟังสักครั้ง ทำไมยังทำท่าทางลวดลาย
ถ้าเธอแน่จริง ต้องเคลียร์ที่ค้างในหัวใจ อย่าหนีไปไหนก็แล้วกัน

เคยไปทำอะไรให้เหรอ ทำไมเธอต้องมาวุ่นวาย
เธอมากวนป่วนฉันไปทั้งหัวใจ เดี๋ยวเห็นเดี๋ยวหายเดี๋ยวไปเดี๋ยวมา
จะอะไรกันนัก มาอะไรกับฉัน ดูสิใจฉันมีปัญหา
จะอะไรกันหนา เอายังไงก็ว่ามา ไงนะ เธอตอบว่าไง

คำๆเดียวขอฟังสักครั้ง ทำไมยังทำท่าทางลวดลาย
ถ้าเธอแน่จริง ต้องเคลียร์ที่ค้างในหัวใจ อย่าหนีไปไหนก็แล้วกัน

ถ้าเธอแน่จริง ต้องเคลียร์ที่ค้างในหัวใจ อย่าหนีไปไหนก็แล้วกัน",new_jiew
เล่นของสูง,/music/thailyric/9563,"รู้ว่าเสี่ยงแต่คงต้องขอลอง
รู้ว่าเหนื่อยถ้าอยากได้ของที่อยู่สูง
ยังไงจะขอลองดูสักที

รู้ว่าเราแตกต่างกันเท่าไร
รู้ว่าเธออยู่ไกลอยู่สูงขนาดไหน
ใครใครก็รู้เป็นไปไม่ได้หรอก
แต่คำว่ารักมันสั่งให้ฉันต้องปีนขึ้นไป

ได้เกิดมาเจอเธอทั้งที ไม่ว่ายังไงจะลองดีสักวัน
อยากรักก็ต้องเสี่ยง ไม่อยากให้เธอเป็นเพียงภาพในความฝัน
ลำบากลำบนไม่สนใจ ตะเกียกตะกายสักเพียงใด
ก็ดีกว่าปล่อยเธอไปจากฉัน
ตกหลุมรักจริงจริง เพราะรักจริงจริง เธอคงไม่ว่ากัน

แม้ต้อยต่ำแต่ยังมีหัวใจ
แม้ต้องเจ็บ แต่มันก็คุ้มก็สุขใจ
ไม่ผิดใช่ไหม ที่ฉันไม่เจียม
เมื่อคำว่ารักมันสั่งให้ฉัน ทำตามหัวใจ

ได้เกิดมาเจอเธอทั้งที ไม่ว่ายังไงจะลองดีสักวัน
อยากรักก็ต้องเสี่ยง ไม่อยากให้เธอเป็นเพียงภาพในความฝัน
ลำบากลำบนไม่สนใจ ตะเกียกตะกายสักเพียงใด
ก็ดีกว่าปล่อยเธอไปจากฉัน
ตกหลุมรักจริงจริง เพราะรักจริงจริง เธอคงไม่ว่ากัน

ได้เกิดมาเจอเธอทั้งที ไม่ว่ายังไงจะลองดีสักวัน
อยากรักก็ต้องเสี่ยง ไม่อยากให้เธอเป็นเพียงภาพในความฝัน
ลำบากลำบนไม่สนใจ ตะเกียกตะกายสักเพียงใด
ก็ดีกว่าปล่อยเธอไปจากฉัน
ตกหลุมรักจริงจริง เพราะรักจริงจริง เธอคงไม่ว่ากัน
ตกหลุมรักจริงจริง เพราะรักจริงจริง เธอคงไม่ว่ากัน",new_jiew
ไม่รู้ตัว,/music/thailyric/2457,"จะมีใครไหมสักคน ที่เมื่อดอกไม้แย้มบาน
จะมองเห็นมันมานาน ตั้งแต่เมื่อแรกผลิใบ
จะมีไหมสักคน ที่ไม่ต้องพบ
ความประหลาดใจ อย่างฉันเป็น

จากคนที่เหมือนเป็นคนอื่นไกล
เธอทำให้ฉันวุ่นวายจิตใจทุกที
มีเพียงความรู้สึก มันเริ่มต้นจากตรงไหน
ที่ฉันเป็นอย่างนี้ ไม่รู้เลย

จากคนที่ฉันไม่เคยใส่ใจ
เธอทำให้คิดถึงเธอ เมื่อเธอไม่อยู่
ไม่เคยรู้ตัวเลย ว่าคิดเกินเลย
เมื่อใจมันเพิ่งเผยให้ฉันได้รู้ ว่ารักเธอ

ตั้งแต่ได้พบกับเธอ ตั้งแต่ได้เจอหน้ากัน
มันคงต้องมีบางวัน ที่ใจของฉันอ่อนไหว
ตั้งแต่ได้พบกัน บางอย่างค่อยๆ ซึมเข้าไปในหัวใจ
เกิดเป็นรักเมื่อไรฉันไม่เคยรู้

จากคนที่เหมือนเป็นคนอื่นไกล
เธอทำให้ฉันวุ่นวายจิตใจทุกที
มีเพียงความรู้สึก มันเริ่มต้นจากตรงไหน
ที่ฉันเป็นอย่างนี้ ไม่รู้เลย

จากคนที่ฉันไม่เคยใส่ใจ
เธอทำให้คิดถึงเธอ เมื่อเธอไม่อยู่
ไม่เคยรู้ตัวเลย ว่าคิดเกินเลย
เมื่อใจมันเพิ่งเผยให้ฉันได้รู้ ว่ารักเธอ

ตั้งแต่ได้พบกับเธอ ตั้งแต่ได้เจอหน้ากัน
มันคงต้องมีบางวัน ที่ใจของฉันอ่อนไหว
ตั้งแต่ได้พบกัน บางอย่างค่อยๆ ซึมเข้าไปในหัวใจ
เกิดเป็นรักเมื่อไรฉันไม่เคยรู้

เกิดเป็นรักเมื่อไรฉันไม่เคยรู้",new_jiew
ยิ่งลึกซึ้งยิ่งหวั่นไหว,/music/thailyric/8282,"เวลาที่เธอกุมมือ จับมือของฉันเอาไว้
ฉันรู้ถึงความในใจ ที่มีให้กันวันนี้
ความรักที่เธอให้มา
หล่อเลี้ยงหัวใจที่ฉันมี
อยู่กับเธอทุกนาที เหมือนฝันงดงาม

ฉันรู้ฉันควรดีใจ
ที่เดินข้างเธอวันนี้
ฉันรู้ฉันควรยินดี ที่มีเธอกอดฉันไว้
แต่ลึกเข้าไปในใจ
อ่อนไหวกังวลอยู่ทุกวัน
ยิ่งลึกซึ้ง ยิ่งไหวหวั่น
ยิ่งรัก ยิ่งกลัว

วันพรุ่งนี้ จะยังคงฝันดีอยู่ไหม
จะมีกันและกันอยู่ไหม
มือของเธอจะอุ่นอยู่นานแค่ไหน
ช่วงเวลานี้ จะอยู่ไปได้นานเท่าไร
อยากขอให้วันเวลา
หยุดเอาไว้ที่ตรงนี้ไป
ตราบนาน เท่านาน

ความกลัวที่มีในใจ
ก่อตัวขึ้นเป็นความฝัน
ฝันเห็นว่าเธอลากัน ไม่มีวันกลับมาหา
แค่นั้นก็ทรมาน ตื่นเช้ายังมีหยดน้ำตา
อยากหยุดวันและเวลา ที่ฉันมีเธอ

วันพรุ่งนี้ จะยังคงฝันดีอยู่ไหม
จะมีกันและกันอยู่ไหม
มือของเธอจะอุ่นอยู่นานแค่ไหน
ช่วงเวลานี้ จะอยู่ไปได้นานเท่าไร
อยากขอให้วันเวลา
หยุดเอาไว้ที่ตรงนี้ไป
ตราบนาน เท่านาน",new_jiew
รอแล้วได้อะไร,/music/thailyric/8221,"มันคงต้องถึงเวลาที่เธอต้องพูดความจริง
อย่ายื้อให้เสียเวลาอีกต่อไป
หนีความจริงไปทำไม ถ้ายังรักเขาแคร์เขามากมาย
และฉันคงไม่มีวันแทนที่ใคร

รู้ไหมฉันหวังในใจตั้งแต่เธอให้ฉันรอ
เธอขอให้ฉันรอเธอจบกับเขา
นับวันยิ่งฝันเลือนลาง ยังมองไม่เห็นวันนั้นของเรา
ฉันเชื่อเธอ แต่แล้วฉันเหลืออะไร

ให้ฉันรอแล้วได้อะไร ให้ฉันรอฉันได้อะไร
เมื่อเธอยังรักและหวงเขามากมาย
จะมีความหวังที่ไหนให้ฉัน

ให้ฉันรอแล้วได้อะไร ให้ทนรอเขามากไปไหม
แล้วชีวิตฉันที่เหลือให้ทำไง
เธอเคยจะนึกถึงฉันบ้างไหม คนที่รอ

เธอเองคบเขามานานผูกพันกันมามากมาย
และฉันก็แค่เป็นคนมาทีหลัง
หลายครั้งฉันคิดจะไป แต่เธอเป็นคนบอกฉันทุกวัน
ขอให้รอเพื่อเป็นตัวจริงของเธอ

ให้ฉันรอแล้วได้อะไร ให้ฉันรอฉันได้อะไร
เมื่อเธอยังรักและหวงเขามากมาย
จะมีความหวังที่ไหนให้ฉัน

ให้ฉันรอแล้วได้อะไร ให้ทนรอเขามากไปไหม
แล้วชีวิตฉันที่เหลือให้ทำไง
เธอเคยจะนึกถึงฉันบ้างไหม คนที่รอ

เธอเคยจะนึกถึงฉันบ้างไหม
ให้ฉันรอแล้วได้อะไร ให้ทนรอเขามากไปไหม
แล้วชีวิตฉันที่เหลือให้ทำไง
เธอเคยจะนึกถึงฉันบ้างไหม คนที่รอ",new_jiew
เรื่องนี้ต้องเห็นแก่ตัว,/music/thailyric/8273,"ก็เพราะรักเธอเหลือเกิน
ไม่รู้ว่าเพราะอะไร เป็นแบบนี้
ก็รู้มันดูไม่ดี ที่ฉันหวงเธออย่างนี้
มากเกินไป

ไม่อยากให้คิดถึงใคร คิดถึงแต่ฉันพอ
ก็ใจมันไม่กว้างมากพอ
ที่จะแบ่งเธอให้กับใคร
ไม่ให้สนใจ รักเพียงแต่ฉันพอ
เพียงแค่คนเดียว

เรื่องนี้ต้องมีแค่เรา
เรื่องนี้ต้องเห็นแก่ตัว จริงใช่ไหม
เรื่องรักไม่ยอมให้ใคร
ก็เพราะว่าทั้งหมดใจ มีแต่เธอ

ไม่อยากให้คิดถึงใคร คิดถึงแต่ฉันพอ
ก็ใจมันไม่กว้างมากพอ
ที่จะแบ่งเธอให้กับใคร
ไม่ให้สนใจ รักเพียงแต่ฉันพอ
เพียงแค่คนเดียว

ไม่รักก็คงไม่เป็นอย่างนี้ หรอกนะ
รักแล้วก็ผูกใจไว้กับเขา ตราบนานเท่านาน
ฉันคงไม่พอใจ หากใคร
มาแชร์ความสัมพันธ์ ที่เราคบกันอยู่

ไม่อยากให้คิดถึงใคร คิดถึงแต่ฉันพอ
ก็ใจมันไม่กว้างมากพอ
ที่จะแบ่งเธอให้กับใคร
ไม่ให้สนใจ รักเพียงแต่ฉันพอ
เพียงแค่คนเดียว

ไม่เหลือหัวใจให้ใคร
ไม่เหลือให้ใคร ไม่เหลือให้ใคร",new_jiew
