song_name,href,lyric,artist
ซิมโฟนี (Symphony),/music/thailyric/2406,"Baby, sweet baby, I'm walking away
Don't look in these eyes, these tears that I hide
Don't hold my trembling hands, you can make it ride
You're the love of my life but I must leave you tonight

I'm breaking my own heart and that 's how it goes
I don't think you know cause I love you so
I love you too much for you to be touched
By the thorns in my life, you 'll be hurt all so much

You're my symphony a song of love
It's the kind of love that's sent from above
You're my symphony but I can't enjoy
Cause my hearts not ready for love

Lately I 've been crazy with all of my fears
The noises I hear from the people so near
I've been smilimg and crying awake all night long
Singing sad songs 'till I become strong

You're my symphony a song of love
It's the kind of love that's sent from above
You're my symphony but I can't enjoy
Cause my hearts not ready for love

Such grief in side to let you go
Will I see you again I will never know
A chance I must take, there is no other way
To save you from the pain feel today

You're my symphony a song of love
It's the kind of love that's sent from above
You're my symphony but I can't enjoy
Cause my hearts not ready for love

You're my symphony a song of love
It's the kind of love that's sent from above
You're my symphony but I can't enjoy
Cause my hearts not ready for love",nicole_theriault
สตีลลิ่ง (Stealing),/music/thailyric/2434,"I feel you're stealin', stealin' my heart away
That's you're stealin', stealin' my heart away

You've got that funny kind a look in your eyes
What are you thinkin', I don't like taesin'
You said it's something but I'll just have to wait
You give no reason, and so I wait patiently

The next day, I get a knock on the door
It's not the post-man, but I still open the door
To my surprise a dozen roses I see
And wish a letter that is addresses to me

I'm afraid you're starting something
I can not handle and I'm getting weaker

I feel you're stealin', stealin' my heart away
And I'm afraid of this feeling
Cause you're stealin', stealin' my heart away
And I'm about to let go, it's just a matter of time

I try to fight this feelin' inside of me
You're so appealin', you make it hard for me
My emotion's turning round and round
I'm getting dizzy, see what you're doing to me

With my head in my hands, I contemplate
On the possibility of heartbreak

I feel you're stealin', stealin' my heart away
And I'm afraid of this feeling
Cause you're stealin', stealin' my heart away
And I'm about to let go, it's just a matter of time

Matter of time
Matter of time

Don't pressure me cause I don't crush easy
And all my heart is not made of stone
I just don't wanna let go for nothing
And give my heart away to be torn

I feel you're stealin', stealin' my heart away
And I'm afraid of this feeling
Cause you're stealin', stealin' my heart away
And I'm about to let go, it's just a matter of time

Matter of time

Stealin' my heart away
Stealin' my heart away
I feel you're stealin'
Stealin' my heart away",nicole_theriault
อะ พาร์ต ออฟ ยู (A Part Of You),/music/thailyric/2436,"Life is unforeseen and so I tend to cling
To all of the good things that
Come in my life
I have seen the world
So many faces have part me by
The memories are sweeter than wine

Goodbye's just a word that
I will never use
It always sounds
Just like the end of a blues
But if I have to go there's one thing
I want you to know
That we will never be apart

And it's a part of you
I'm taking with me
I'll keep inside my heart (Inside my heart)
This part of you I'll treasure forever
I know where you can always be found

Across the hemisphere
You know I can appear
Just call out my name
I'll be there for you
You are not alone
Just call me on the telephone
And soon I will be homeward bound

And it's a part of you
I'm taking with me
I'll keep inside my heart (Inside my heart)
This part of you I'll treasure forever
I know where you can always be found

Yes life is so unseen
Although it can be mean
Just separate the good
And the bad that it brings
Hold on very tight
And surely you will see the light
So life is not bad, as it seems",nicole_theriault
โฮลดิ้ง มาย เลิฟ (Holding My Love),/music/thailyric/2438,"It's going on  at half past to
And I haven't heard  from you yet
I'm getting kind a bored  and it's
So hard it not to let  The feelings of my
Loneliness  not get the best of me
I can't wait for you  to come home
Or am I thinking  something wrong?
I don't think  you told me that
You're gonna be leaving  Oh baby can't you see
Just how you're doing to me  I don't see why
this should have to be  Why you make me cry
Telling me a lies  And holding my love
'Til you're satisfied  (When I say I love you
You always say me too oh)  Making all the promises
That you know  they won't come true
I kind a got the feeling  It's all a game to you
And how I can see just  how you do
You're loving me  and someone else too
I was being blinded thou  You gave me all the clues
Oh baby can't you see  Just how you're doing to me
I don't see why  this should have to be
Why you make me cry  Telling me a lies
And holding my love  'Til you're satisfied
You'd never meant  to be true
It's not a part of you  Still I'm crazy for you


Oh baby can't you see  Just how you're doing to me
I don't see why  this should have to be
Why you make me cry  Telling me a lies
And holding my love  'Til you're satisfied
Oh baby can't you see  Just how you're doing to me
I don't see why  this should have to be
Why you make me cry  Telling me a lies
And holding my love  'Til you're satisfied
Oh baby can't you see  Just how you're doing to me
I don't see why  this should have to be
Why you make me cry  Telling me a lies
And holding my love  'Til you're satisfied
(Oh baby can't you see)",nicole_theriault
ยิ้มให้กับความผิดหวัง,/music/thailyric/2428,"เธอบอกไม่เข้าใจ บอกไม่เข้าใจ คนอย่างฉัน
ฉันยิ้มได้อย่างไร ยิ้มได้ อย่างไร
เมื่อเธอมาบอกกันว่าขอลา

ฉันที่เคยรักเธอ ก็ยังรัก เธอ เหมือนผ่านมา
ฉันยิ้มเพราะมันเหนื่อย ไม่เหลือแรง
บีบน้ำตา ถึงเวลาต้องยิ้มให้มัน

ยิ้มให้ความผิดหวัง อย่างคนคุ้นเคย
ยิ้มให้ความมืดมน อย่างคนรู้จักกัน
นี่คือเพื่อน เก่า ที่เรา ต้องเจอ
เจอกันเมื่อนานแสนนาน

ร้องไห้ให้กับมัน ช่างดูง่ายดาย
เหมือนมันไม่ท้าทาย เท่า เรายิ้มให้มัน
สุขก็ยิ้มได้ เจ็บก็ยิ้ม ได้
ให้ราคามันเท่ากัน ยิ้มให้มันก็ พอ

ฉันไม่ได้แข็งแรง ไม่ได้ มั่นคง สักเท่าไหร่
แค่รู้ว่าบางที แอบยิ้มตอนที่เสียใจ
เหมือนอะไรก็ง่ายขึ้นมา

ยิ้มให้ความผิดหวัง อย่างคนคุ้นเคย
ยิ้มให้ความมืดมน อย่างคนรู้จักกัน
นี่คือเพื่อน เก่า ที่เรา ต้องเจอ
เจอกันเมื่อนานแสนนาน

ร้องไห้ให้กับมัน ช่างดูง่ายดาย
เหมือนมันไม่ท้าทาย เท่า เรายิ้มให้มัน
สุขก็ยิ้มได้ เจ็บก็ยิ้ม ได้
ให้ราคามันเท่ากัน ยิ้มให้มันก็ พอ",nicole_theriault
ร้องก็ร้องเข้าไป,/music/thailyric/2429,"เมื่อคนรักจากเธอไป เธอปวดร้าว ฉันเข้าใจ
พูดอะไรเธอคงไม่ฟัง
เมื่อเธอผิดหวัง อยากจะร้องก็ร้องเข้าไป

แต่ช่วยมองกระจกสักครั้ง ดูหน้าตาสิเธอว่าดูได้ไหม

นั่นล่ะคือคนที่เธอลืมแคร์ นั้นคือตัวของเธอเองไง
เพราะทั้งหมดใจ มัวไปมอบให้คนอื่น
แค่ไม่มีใครเค้าต้องการเธอ ก็เอาความรักของเธอคืน
ง่ายง่ายแค่นี้ ยังไม่สายที่จะคิดรักตัวเอง

ก็ตัวฉันเจอะมาเอง เคยปวดร้าว แทบขาดใจ
โลกมันดูมืดมนไปหมด ไม่อยากรับรู้ อยากจะร้อง ร้องไห้ให้ตาย

เมื่อฉันมองกระจกทุกเช้า ต้องย้ำเตือนให้จำไว้ ให้ขึ้นใจ

นี่ล่ะคือคนที่เราลืมแคร์ นั่นคือตัวของเราเองไง
เพราะทั้งหมดใจ มัวไปมอบให้คนอื่น เมื่อไม่มีใครเค้าต้องการเรา

ก็เอาความรักของเราคืน ง่ายง่ายแค่นี้
ไม่มีใครรัก ก็แค่รักตัวเราเอง

แต่ช่วยมองกระจกสักครั้ง ดูหน้าตาสิเธอว่าดูได้ไหม

นั่นล่ะคือคนที่เธอลืมแคร์ นั่นคือตัวของเธอเองไง
เพราะทั้งหมดใจ มัวไปมอบให้คนอื่น แค่ไม่มีใครเค้าต้องการเธอ
ก็เอาความรักของเธอคืน ง่ายง่ายแค่นี้ ใครไม่รัก ปล่อยเขาไป

นั่นล่ะคือคนที่เราลืมแคร์ นั่นคือตัวของเราเองไง
เพราะทั้งหมดใจ มัวไปมอบให้คนอื่น เมื่อไม่มีใครเค้าต้องการเรา

ก็เอาความรักของเราคืน ง่ายง่ายแค่นี้
ไม่มีใครรัก ก็แค่รักตัวเราเอง",nicole_theriault
กะโปโล,/music/thailyric/2398,"ก็เกิดตามเธอไม่กี่วันหรอก ก็เด็กกว่าเธอนิดเดียว
ก็เธอทำมองไม่เห็นกันเลย อย่างกับฉันมันยังไม่โต
ไม่เห็นดีเลยชอบว่ากันจัง ว่าคิดอะไรมันเด็กเด็ก
ก็น้อยใจเธอ ชอบว่าแรงแรงแบบนี้

ก็ว่าว่าว่า อาอ่าฮ้า อาฮ้าอาฮ้า ทำไมทำไมทำไม อาอ่าฮ้าอาฮ้าอาฮ้าอาฮ้าอา
ว่าว่าว่า อาอ่าฮ้า อาฮ้าอาฮ้า ทำไมทำไมทำไม อาอ่าฮ้าอาฮ้าอาฮ้า
ก็ฉันไม่ใช่เด็ก ก็ฉันไม่ใช่เด็ก และยังมาหาว่าฉันคนเนี้ยะเป็นเด็กกะโปโล

อุตส่าห์มองตาก็บ่อยจะตาย ก็อยากให้เธอรู้ใจ
อุตส่าห์ทำตาให้ซึ้งยังไง ก็ไม่เห็นเธอมองสักที

ใกล้ใกล้ตัวเธอมองข้ามกันไป ไปชื่นไปชมที่คนอื่น
ที่ฉันทำตัว เก้เก้กังกังแบบนี้

ก็ว่าว่าว่า อาอ่าฮ้า อาฮ้าอาฮ้า ทำไมทำไมทำไม อาอ่าฮ้าอาฮ้าอาฮ้าอาฮ้าอา
ว่าว่าว่า อาอ่าฮ้า อาฮ้าอาฮ้า ทำไมทำไมทำไม อาอ่าฮ้าอาฮ้าอาฮ้า
ก็ฉันไม่ใช่เด็ก ก็ฉันไม่ใช่เด็ก และยังมาหาว่าฉันคนเนี้ยะเป็นเด็กกะโปโล

ใกล้ใกล้ตัวเธอมองข้ามกันไป ไปชื่นไปชมที่คนอื่น
ที่ฉันทำตัว เก้เก้กังกังแบบนี้

ก็ว่าว่าว่า อาอ่าฮ้า อาฮ้าอาฮ้า ทำไมทำไมทำไม อาอ่าฮ้าอาฮ้าอาฮ้าอาฮ้าอา
ว่าว่าว่า อาอ่าฮ้า อาฮ้าอาฮ้า ทำไมทำไมทำไม อาอ่าฮ้าอาฮ้าอาฮ้า
ก็ฉันไม่ใช่เด็ก ก็ฉันไม่ใช่เด็ก และยังมาหาว่าฉันคนเนี้ยะเป็นเด็กกะโปโล

ก็ว่าว่าว่า อาอ่าฮ้า อาฮ้าอาฮ้า ทำไมทำไมทำไม อาอ่าฮ้าอาฮ้าอาฮ้าอาฮ้าอา
ว่าว่าว่า อาอ่าฮ้า อาฮ้าอาฮ้า ทำไมทำไมทำไม อาอ่าฮ้าอาฮ้าอาฮ้า

ก็ว่าว่าว่า อาอ่าฮ้า อาฮ้าอาฮ้า ทำไมทำไมทำไม อาอ่าฮ้าอาฮ้าอาฮ้าอาฮ้าอา
ว่าว่าว่า อาอ่าฮ้า อาฮ้าอาฮ้า ทำไมทำไมทำไม อาอ่าฮ้าอาฮ้าอาฮ้า
ก็ฉันไม่ใช่เด็ก ก็ฉันไม่ใช่เด็ก และยังมาหาว่าฉันคนเนี้ยะเป็นเด็กกะโปโล

หาว่าฉันคนเนี้ยะ เป็นเด็กกะโปโล
หาว่าฉันคนเนี้ยะ เป็นเด็กกะโปโล
เด็กกะโปโล เป็นเด็กกะโปโล
เด็กกะโปโล เป็นเด็กกะโปโล",nicole_theriault
ฉันโกหกเธอ,/music/thailyric/2405,"เธอจำได้ไหม      สิ่งที่ฉันได้เคยพูดไป
ฉันไม่รัก ไม่รัก เธอเลย  และฉันคนนี้ ไม่ต้องการ
จะพบเธอ จนตาย  ..ฉันโกหกเธอ
นั่นฉันโกหกเธอ  และทำเป็นไม่แคร์ ไม่สนใจ
ทั้ง ทั้งที่รู้  สิ่งที่เคยได้พูดไป ไม่จริง
..ฉันโกหกเธอ  ว่าฉันยังเกลียดเธอ
และพยายามทำตาม ที่พูดไป  ..และผลสุดท้าย
สิ่งที่มีในหัวใจ  มันคือ..ความจริง

ยังจำได้ไหม  ที่ว่ามีใคร แทนที่เธอ
เป็นคนเดียว ที่ฉันมีใจ  และคนอย่างฉัน
ไม่มีทางจะหันมา รักเธอ  ..ฉันโกหกเธอ
นั่นฉันโกหกเธอ  และทำเป็นไม่แคร์ ไม่สนใจ
ทั้ง ทั้งที่รู้  สิ่งที่เคยได้พูดไป ไม่จริง
..ฉันโกหกเธอ  ว่าฉันยังเกลียดเธอ
และพยายามทำตาม ที่พูดไป  และผลสุดท้าย
สิ่งที่มีในหัวใจ  มันคือ..ความจริง
..แต่วันนี้  ฉันรู้ว่าทำ ผิดไป
อยากให้รู้  ว่าฉันเสียใจ แค่ไหน


..ฉันโกหกเธอ  นั่นฉันโกหกเธอ
และทำเป็นไม่แคร์ ไม่สนใจ  และผลสุดท้าย
สิ่งที่มีในหัวใจ  มันคือ..ความจริง",nicole_theriault
ต่อไปนี้นะ,/music/thailyric/2408,"ฉันรู้ว่าเธอก็อาจรำคาญเวลาที่เจอฉัน ก็คอยแต่แกล้งเธอ
ฉันรู้ว่าเธอไม่เคยชอบใจ ที่ทำแต่ปัญหา ให้โกรธอยู่เสมอ

เห็นเฉยเมยกับฉัน ทำเย็นชาอย่างนั้น มันคงจะแปลว่าไม่ต้องการไม่อยากเจอ

ต่อไปนี้นะ จะไม่ยุ่งเลย ถ้าหากมันทำให้เธอต้องกลุ้มใจ
ต่อไปนี้นะ จะไม่วุ่นวาย จะไม่มารบกวนหัวใจ ไม่มาให้เห็นเลย

รู้ไหมฉันเองก็อยากเอาใจ ทำตัวให้ดีไว้ ทำไปด้วยรักเธอ
ทุกครั้งก็เป็นอย่าเดิมทุกที ทำไปว่าดีแล้ว กลับผิดอยู่เสมอ

เห็นเฉยเมยกับฉัน ทำเย็นชาอย่างนั้น มันคงจะแปลว่าไม่ต้องการไม่อยากเจอ

ต่อไปนี้นะ จะไม่ยุ่งเลย ถ้าหากมันทำให้เธอต้องกลุ้มใจ
ต่อไปนี้นะ จะไม่วุ่นวาย จะไม่มารบกวนหัวใจ ไม่มาให้เห็นเลย

คงเป็นคราวนี้ที่ทำถูกสักหนึ่งครั้ง ก็เพียงแต่หวังว่าเธอาจจะโล่งใจ

ต่อไปนี้นะ จะไม่ยุ่งเลย ถ้าหากมันทำให้เธอต้องกลุ้มใจ
ต่อไปนี้นะ จะไม่วุ่นวาย จะไม่มารบกวนหัวใจ ไม่มาให้เห็นเลย

ต่อไปนี้นะ จะไม่ยุ่งเลย ถ้าหากมันทำให้เธอต้องกลุ้มใจ
ต่อไปนี้นะ จะไม่วุ่นวาย จะไม่มารบกวนหัวใจ ไม่มาให้เห็นเลย

ไม่มาให้เห็นเลย",nicole_theriault
นึกไม่ออก,/music/thailyric/2414,"ไม่รู้ ไม่รู้ ไม่รู้ ว่าเจอะคุณเมื่อไร นานเท่าไร จำไม่ได้เลยคุณ
ที่คุณมาทักทาย ว่าเราจะคบกัน ว่าเราเคยรักกันไม่รู้เลย
ไม่รู้ ไม่รู้ ไม่รู้ ไม่อยากจำซักที คนไม่ดี จำไม่ได้เลยคุณ
ก็คนไม่รักจริง ที่เคยมาทิ้งไป ถ้าจำก็รกไปใช่ไหมคุณ

ก็อยากจะนึกให้ออก แต่ก็นึกไม่ค่อยออก
ไม่รู้จะทำยังไง จำไม่ได้จริงๆ คุณ
นึกไม่ออก ก็นึกไม่ค่อยออก ขอโทษจริงๆ ที่ไม่รู้จักคุณ
ก็อยากจะนึกให้ออก แต่ก็นึกไม่ค่อยออก
ไม่รู้จะทำยังไง จำไม่ได้จริงๆ คุณ
นึกไม่ออก ก็นึกไม่ค่อยออก ขอโทษจริงๆ ที่ไม่รู้จักคุณ
(ขอโทษจริงๆ ที่ไม่รู้จักคุณ)

ไม่รู้ ไม่รู้ ไม่รู้ มันเกิดเบลอขึ้นมา มองด้วยตา จำไม่ได้สักที่
ไม่เชิงขี้ลืม แต่คนมันเลือกจำ ก็จำเฉพาะคนนิสัยดี

ก็อยากจะนึกให้ออก แต่ก็นึกไม่ค่อยออก
ไม่รู้จะทำยังไง จำไม่ได้จริงๆ คุณ
นึกไม่ออก ก็นึกไม่ค่อยออก ขอโทษจริงๆ ที่ไม่รู้จักคุณ
ก็อยากจะนึกให้ออก แต่ก็นึกไม่ค่อยออก
ไม่รู้จะทำยังไง จำไม่ได้จริงๆ คุณ
นึกไม่ออก ก็นึกไม่ค่อยออก ขอโทษจริงๆ ที่ไม่รู้จักคุณ
(ขอโทษจริงๆ ที่ไม่รู้จักคุณ)

ก็อยากจะนึกให้ออก แต่ก็นึกไม่ค่อยออก
ไม่รู้จะทำยังไง จำไม่ได้จริงๆ คุณ
นึกไม่ออก ก็นึกไม่ค่อยออก ขอโทษจริงๆ ที่ไม่รู้จักคุณ
ก็อยากจะนึกให้ออก แต่ก็นึกไม่ค่อยออก
ไม่รู้จะทำยังไง จำไม่ได้จริงๆ คุณ
นึกไม่ออก ก็นึกไม่ค่อยออก ขอโทษจริงๆ ที่ไม่รู้จักคุณ
(ขอโทษจริงๆ ที่ไม่รู้จักคุณ)

ก็อยากจะนึกให้ออก แต่ก็นึกไม่ค่อยออก
ไม่รู้จะทำยังไง จำไม่ได้จริงๆ คุณ
นึกไม่ออก ก็นึกไม่ค่อยออก ขอโทษจริงๆ ที่ไม่รู้จักคุณ
ก็อยากจะนึกให้ออก แต่ก็นึกไม่ค่อยออก
ไม่รู้จะทำยังไง จำไม่ได้จริงๆ คุณ
นึกไม่ออก ก็นึกไม่ค่อยออก ขอโทษจริงๆ ที่ไม่รู้จักคุณ
(ขอโทษจริงๆ ที่ไม่รู้จักคุณ)",nicole_theriault
