song_name,href,lyric,artist
ความพยายาม,/music/thailyric/8747,"เหนื่อยล้าเต็มทีไม่เห็นปลายทาง
ทำดีกี่ครั้งก็ยังเปลี่ยนเธอไม่ได้
ความรักที่ให้เธอเหมือนน้ำซึมพื้นทราย
ยิ่งเติมยิ่งหายมากเท่าไรก็ไม่พอ รู้ไหมมันท้อ

ความพยายามไม่เคยมีความหมายกับคนอย่างเธอ
ต่อให้ทุ่มเทด้วยใจทั้งใจ ฉันทำด้วยรัก
แต่เธอมองความรักฉันมีค่าแค่ไหน

อยากใช้ความดีชนะใจกัน
ให้ถึงวันนั้นฉันต้องรอนานเท่าไร
ความรักยังสูญเปล่า ความหวังยังแสนไกล
รับรู้บ้างไหมหรือหัวใจเธอไม่มี บอกฉันสักที

ความพยายามไม่เคยมีความหมายกับคนอย่างเธอ
ต่อให้ทุ่มเทด้วยใจทั้งใจ ฉันทำด้วยรัก
แต่เธอมองความรักฉันมีค่าบ้างไหม

ความพยายามไม่เคยมีความหมายกับใจดวงนั้น
เธอตอบแทนฉันด้วยความเสียใจ
ฉันได้แต่หวังว่าอาจมีสักครั้งที่เธอไม่ทำร้าย

ความพยายามไม่เคยมีความหมายกับคนอย่างเธอ
ต่อให้ทุ่มเทด้วยใจทั้งใจ ฉันทำด้วยรัก
แต่เธอมองความรักฉันมีค่าแค่ไหน

ความพยายามไม่เคยมีความหมายกับใจดวงนั้น
เธอตอบแทนฉันด้วยความเสียใจ
ฉันได้แต่หวังว่าอาจมีสักครั้งที่เธอไม่ทำร้าย
คงมีสักครั้งที่เธอเข้าใจ",no_more_tear
พักผ่อนไม่เพียงพอ,/music/thailyric/8967,"เธอรู้ใช่ไหม ว่าคนที่มันเพิ่งโดนทำร้ายมา
มันอาจดูเฉยชาสักพัก
ที่จริงเข้าใจ ที่เธอดูแลห่วงใยฉันเรื่อยมา
ที่เธอจะขอเป็นคนรัก

ขอบใจเหลือเกิน ในความหวังดี
แต่ฉันคงต้องขอเวลาตอนนี้

ก็ใจมันยังพักผ่อนไม่เพียงพอ
จะให้ไปมีใครต่อ ยังไม่ไหว
ก็ใจที่มียังเหนื่อย ยังเจ็บ
ยังให้ใครไม่ได้ ยังรักใครไม่ได้
วันนี้ ขอสักวัน พรุ่งนี้ ค่อยว่ากันได้ไหม

อย่ากลัวอะไร มั่นใจว่าเธอคือคนที่แสนดี
ดีกว่าคนที่ฉันเคยรัก
เธอรอได้ไหม ก็ใจบอบซ้ำเต็มที
ก็แค่มีหยุดพัก

ขอบใจเหลือเกินในความหวังดี﻿
แต่ฉันคิดว่ายังไม่ใช่ตอนนี้

ก็ใจมันยังพักผ่อนไม่เพียงพอ
จะให้ไปมีใครต่อ ยังไม่ไหว
ก็ใจที่มียังเหนื่อย ยังเจ็บ
ยังให้ใครไม่ได้ ยังรักใครไม่ได้
วันนี้ ขอสักวัน พรุ่งนี้ ค่อยว่ากันได้ไหม

ก็ใจมันยังพักผ่อนไม่เพียงพอ
จะให้ไปมีใครต่อยังไม่ไหว
ก็ใจที่มียังเหนื่อย ยังเจ็บ
ยังให้ใครไม่ได้ ยังรักใครไม่ได้
วันนี้ ขอสักวัน พรุ่งนี้ ค่อยว่ากัน

มีเธอคนนี้ ข้างๆ กัน
ถึงวันพรุ่งนี้ ให้สัญญาว่าจะรักเธอ",no_more_tear
ไม่มีน้ำตา,/music/thailyric/8859,"ก็เพราะฉันร้องมานานเต็มทีโดยที่เธอไม่เคยจะสนใจ
ก็เพราะฉันร้องมานานเต็มทีโดยที่เธอไม่เคยรับฟัง

ไม่เคยเปลืองหัวใจให้ใครอย่างนี้เลย
ไม่เคยเสียน้ำตาให้ใครได้เหมือนเธอ
มันล้าเต็มที

ไม่มีอะไรดีฉันก็เข้าใจเพียงจะบอกเธอให้ไปให้ไกลๆ
ไม่ได้ชินไม่ได้ชาเพียงไม่มีน้ำตาอีกต่อไป
จะฝืนทำไมทางใครก็ทางมัน
ฉันก็ว่าจะดี ใจที่เคยมีโยนทิ้งมันไป
เธอจะเป็นเธอจะตายจะไม่ไปสนใจ พอกันทีกับรักปลอมๆ

ก็เพราะฉันร้องจนเหมือนงมงายให้กับคำที่เธอสัญญา
ก็เพราะฉันร้องจนท้อเต็มทีโดยที่เธอไม่เคยเหลียวมา

ทำไมต้องเปลืองน้ำตาให้คนไม่เห็นค่า
ทำไมต้องทรมาณทำไมต้องรักเธอ มันล้าเต็มที

ไม่มีอะไรดีฉันก็เข้าใจเพียงจะบอกเธอไปให้ไกลๆ
ไม่ได้ชินไม่ได้ชาเพียงไม่มีน้ำตาอีกต่อไป
จะฝืนทำไมทางใครก็ทางมัน
ฉันก็ว่าจะดี ใจที่เคยมีโยนทิ้งมันไป
เธอจะเป็นเธอจะตายจะไม่ไปสนใจ พอกันทีกับรักปลอมๆ

คงถึงเวลาให้มันจบๆ กัน พอแล้วคนดี
ใจที่เคยมีโยนทิ้งมันไป
ใครจะเป็นใครจะตายจะไม่ไปสนใจ อย่าฝืนทนเลย

ไม่มีอะไรดีฉันก็เข้าใจเพียงจะบอกเธอไปให้ไกลๆ
ไม่ได้ชินไม่ได้ชาเพียงไม่มีน้ำตาอีกต่อไป
จะฝืนทำไมทางใครก็ทางมัน
ฉันก็ว่าจะดีใจที่เคยมีเหลือเพียงคำลา
เธอจะเป็นเธอจะตายก็อย่าคืนย้อนมา พอกันทีกับรักปลอมๆ",no_more_tear
แสงสว่างที่ปลายอุโมงค์,/music/thailyric/9237,"เคยเป็นคนที่โดนทำลายความฝันสลาย
ความหวังเคยมืดมน
กลายเป็นคนไม่เหลืออะไรให้หวัง
จนวันนึงได้เจอคนนึง
ที่ทั้งชีวิตเคยคิดว่าไม่เจอ
เธอมาทำให้ฉันยิ้มได้อีกครั้ง

เหมือนเธอคือแสงของปลายอุโมงค์ที่ส่องเข้ามา
เปลี่ยนฉันให้มีความหมายด้วยใจของเธอ

เธอมีค่ากว่าคำว่ารัก วันนี้หัวใจเพิ่งได้รู้จัก
ความสุขที่แท้นั้นมันเป็นเช่นไร
เธอมีค่ากว่าคนในฝัน
เธอนั้นคือคนตอบคำถาม
ทุกความสงสัยที่ใจฉันเคยมี
ให้ฉันรู้ตัวสักที ว่ามีพรุ่งนี้ไปเพื่ออะไร

คำบางคำ เปลี่ยนคนบางคน
และฟ้าหลังฝนวันนี้ก็คลี่คลาย
ความเดียวดายสลายหายไปจากฉัน

เพราะเธอคือแสงของปลายอุโมงค์ที่ส่องเข้ามา
เปลี่ยนฉันให้มีความหมายด้วยใจของเธอ

เธอมีค่ากว่าคำว่ารัก วันนี้หัวใจเพิ่งได้รู้จัก
ความสุขที่แท้นั้นมันเป็นเช่นไร
เธอมีค่ากว่าคนในฝัน
เธอนั้นคือคนตอบคำถาม
ทุกความสงสัยที่ใจฉันเคยมี
ให้ฉันรู้ตัวสักที ว่ามีพรุ่งนี้ไปเพื่ออะไร

ชีวิตฉันมีความหมายเพราะเธอเพียงผู้เดียว

เธอมีค่ากว่าคำว่ารัก คือแสงเรืองรองที่รอมานาน
และจากวันนี้หัวใจฉันที่มี จะมีแต่เธอ",no_more_tear
เหมือนเดิม,/music/thailyric/9328,"แม้นาฬิกาจะทำให้ฉันเปลี่ยน
จากวันวานที่เคยเป็น
แต่มีสิ่งหนึ่งไม่เคยเปลี่ยน

แม้ระยะทางจะพาชีวิต
ได้ผ่านได้พบได้เจอใคร
ยังมีสิ่งหนึ่งไม่เคยเปลี่ยนไป

ความทรงจำแม้เลือนลาง
แต่ความรักไม่เคยจาง
ยังคงชัดเจนในใจทุกคืน

เธออยู่ตรงไหนของปลายขอบฟ้า
อยากบอกให้รู้ฉันยังคิดถึง
เราอาจจะอยู่ไกลแสนไกล
แต่ฉันยังรับรู้ได้
ไม่ว่าเธออยู่ไหน ให้เธอรู้ว่า
เธอยังอยู่ตรงนี้เหมือนเดิม
เธอยังอยู่กับฉันเหมือนเดิม

ทุกคืนก็ยังคอยอธิษฐาน
ให้เจอเธอในฝันสักนาที
แค่เพียงเท่านี้ฉันก็สุขใจ

ความทรงจำแม้เลือนลาง
แต่ความรักไม่เคยจาง
ยังคงชัดเจนในใจทุกคืน

เธออยู่ตรงไหนของปลายขอบฟ้า
อยากบอกให้รู้ฉันยังคิดถึง
เราอาจจะอยู่ไกลแสนไกล
แต่ฉันยังรับรู้ได้
ไม่ว่าเธออยู่ไหน ให้เธอรู้ว่า
เธอยังอยู่ตรงนี้เหมือนเดิม
เธอยังอยู่กับฉันเหมือนเดิม

ความหวังจบแล้ว เข้าใจ
แต่รักยังหล่อเลี้ยง หัวใจ

เธออยู่ตรงไหนของปลายขอบฟ้า
อยากบอกให้รู้ฉันยังคิดถึง
เราอาจจะอยู่ไกลแสนไกล
แต่ฉันยังรับรู้ได้
ไม่ว่าเธออยู่ไหน ให้เธอรู้ว่า
เธอยังอยู่ตรงนี้เหมือนเดิม
เธอยังอยู่กับฉันเหมือนเดิม

อยู่ที่ไหนให้เธอรู้ว่า
เธอยังอยู่ตรงนี้เหมือนเดิม",no_more_tear
รักเคยดีกว่านี้,/music/thailyric/2547,"รักที่เคยจริงจัง แล้วก็พลันเจือจาง
เหมือนมันมีช่องว่าง ระหว่างเรา
ไม่เหลือคนที่ศรัทธา เหลือเพียงคนแปลกหน้า

และบางอย่างในจิตใจ
ความผูกพันสุดท้ายคือความกดดัน
ที่ทำให้ฉันนั้นไม่เข้าใจ และไม่แน่ใจ
อะไรที่ใฝ่ที่ฝัน ก็เหมือนว่ามันกำลังจะหายไป

รักเคยดีกว่านี้ รักที่เคยเข้าใจ ห่วงใย
ไม่รู้สึกเหมือนอย่างเคย เหลือเพียงความอ้างว้าง
และบางอย่างที่ค้างคาใจ ว่าที่แล้วมานั้นคืออะไร

ฝืนและทนทำใจ อย่างน้อยก็ได้รู้ว่า
ความรักจะไม่มีค่าไปกว่านี้
เมื่อทุกๆ วันที่มี ไม่ได้เป็นอย่างฝัน
และบางอย่างย้ำเตือนว่า

รักเคยดีกว่านี้ รักที่เคยเข้าใจ ห่วงใย
ไม่รู้สึกเหมือนอย่างเคย เหลือเพียงความอ้างว้าง
และบางอย่างที่ค้างคาใจ ว่าที่แล้วมานั้นคืออะไร

ความผูกพันสุดท้ายคือความกดดัน
ที่ทำให้ฉันนั้นไม่เข้าใจ และไม่แน่ใจ
อะไรที่ใฝ่ที่ฝัน ก็เหมือนว่ามันกำลังจะหายไป
และฉัน ยากเกินมันยากเกินทำใจ

ก็ยังเสียดาย ย้อนคืนไม่ได้
มันไม่อาจเป็นอย่างความรักที่เคย รักที่เคย
มันไม่อาจเป็นอย่างความรักที่เคย

รักเคยดีกว่านี้ รักที่เคยเข้าใจ ห่วงใย
ไม่รู้สึกเหมือนอย่างเคย เหลือเพียงความอ้างว้าง
และบางอย่างที่ค้างคาใจ ว่าที่แล้วมานั้นคืออะไร",no_more_tear
หัวใจหมดแรง,/music/thailyric/2549,"หัวใจหมดแรง เหมือนโลกว่างเปล่า
ทุกข์ทรมานสับสนไม่เข้าใจ ไม่เข้าใจ
มันเบื่อตัวเอง ที่ลมหนาวมาเยือนทุกที
แค่หลับตาก็ยังฝันร้าย
เมื่อตื่นก็เหมือนไม่เห็นอะไร

ยังวนเวียนยังซ้ำเติมอยู่ทำไม
ทรมานอย่างนี้ไม่พอใช่ไหม
บอกตัวเองทุกที สุดท้ายก็ทำไม่ได้

แผลเป็นที่อยู่ในใจ คิดลบเลือนคงไม่ง่าย
ไม่อยากฝืนทำใจ มันเจ็บลึกเกินไป
เมื่อความรักทำลายตัวฉันเอง

เก็บเอาไปคิดแต่เรื่องเก่าๆ
ที่ยังวกวนอยู่ในใจ
จะหยุดจะลืมมันไปเท่าไร
ไม่อาจจะช่วยรักษาได้เลย

ยังวนเวียนยังซ้ำเติมอยู่ทำไม
ทรมานอย่างนี้ไม่พอใช่ไหม
บอกตัวเองทุกที สุดท้ายก็ทำไม่ได้

แผลเป็นที่อยู่ในใจ คิดลบเลือนคงไม่ง่าย
ไม่อยากฝืนทำใจ มันเจ็บลึกเกินไป
เมื่อความรักทำลายตัวฉันเอง

ก็คงมีสักวัน ที่แผลในใจจะเลือนและหาย
หลุดจากความเสียใจ และลุกขึ้นยืนอีกครั้ง

หัวใจหมดแรง เหมือนโลกว่างเปล่า
ทุกข์ทรมานสับสนไม่เข้าใจ ไม่เข้าใจ

แผลเป็นที่อยู่ในใจ คิดลบเลือนคงไม่ง่าย
ไม่อยากฝืนทำใจ มันเจ็บลึกเกินไป
เมื่อความรักทำลายตัวฉันเอง

แผลเป็นที่อยู่ในใจ คิดลบเลือนคงไม่ง่าย
ไม่อยากฝืนทำใจ มันเจ็บลึกเกินไป
เมื่อความรักทำลายตัวฉันเอง

สักวันจะลุกขึ้นยืนอีกครั้ง
ได้ลุกขึ้นยืนอีกครั้ง",no_more_tear
แค่กระจกกั้น,/music/thailyric/9107,"ยิ่งเราใกล้กันเพียงใด ก็เหมือนว่าใจฉันยิ่งเจ็บ
กับการห้ามใจ ไม่ให้รักเธอต่อไป
ด้วยเหตุคือเธอมีคนข้างกาย
ฉันต้องเก็บรักที่มีให้อยู่ข้างใน
มันเหมือนอะไร
คอยขวางทางเดินของใจ

แค่กระจกใสบางๆ
ที่กั้นตรงกลางเท่านั้น
ได้แค่เพียงเห็นหน้ากัน
แต่ไม่มีวันได้ใจ

อยากเดินเข้าไปกอด
และบอกว่ารักมากมาย
แต่แล้วที่ฉันทำได้ก็เพียงแค่มอง

ห่างกันไปเลยไกลๆ
ไม่ต้องเจอกันซะดีกว่า
ได้เจอสายตาได้ยินเสียงกันทุกวัน
ยิ่งคอยตอกย้ำว่าไม่มีสิทธิ์
ฉันไม่อยากคิดให้มันผิดเกินห้ามใจ
มันเหมือนอะไรคอยขวางทางเดินของใจ

แค่กระจกใสบางๆ
ที่กั้นตรงกลางเท่านั้น
ได้แค่เพียงเห็นหน้ากัน
แต่ไม่มีวันได้ใจ

อยากเดินเข้าไปกอด
และบอกว่ารักมากมาย
แต่แล้วที่ฉันทำได้ก็เพียงแค่มอง

แค่กระจกใสบางๆ
ที่กั้นตรงกลางเท่านั้น
ได้แค่เพียงเห็นหน้ากัน
แต่ไม่มีวันได้ใจ

อยากเดินเข้าไปกอด
และบอกว่ารักมากมาย
แต่แล้วที่ฉันทำได้ก็เพียงแค่มอง

ก็แค่อยากเดินเข้าไปกอด
และบอกว่ารักมากมาย
แต่แล้วที่ฉันทำได้ก็เพียงแค่มอง",no_more_tear
เพลงที่ฉันไม่ได้แต่ง,/music/thailyric/8269,"อาจไม่เพราะ ไม่เหมือนเพลงทั่วไป
แต่กับฉัน เพลงนี้ ช่างมีความหมาย
แต่ละเสียง ทุกถ้อยคำ ที่เขียนลงไป โว..โอ

จากรอยยิ้ม ของเธอที่ให้มา
มันบังคับปากกา ให้สื่อความหมาย
เป็นคำร้อง ที่คล้องจองกับความในใจ
เธอรู้หรือไม่ ที่ฉันทำได้ ก็เป็นเพราะว่าเธอทั้งนั้น

เพลงๆ นี้ที่ได้ฟัง นั้นฉันไม่ได้แต่ง
เธอรู้ไหม ไม่บังอาจหรอกนะคนดี โว..โอ..
รู้รึเปล่า ว่าใครที่เขียนเพลงนี้ จำเอาไว้ให้ดีๆ 
คนนั้นคือเธอ

จากรอยยิ้ม ของเธอที่ให้มา
มันบังคับปากกา ให้สื่อความหมาย
เป็นคำร้อง ที่คล้องจองกับความในใจ
เธอรู้หรือไม่ ที่ฉันทำได้ ก็เป็นเพราะว่าเธอทั้งนั้น

เพลงๆ นี้ที่ได้ฟัง นั้นฉันไม่ได้แต่ง
เธอรู้ไหม ไม่บังอาจหรอกนะคนดี โว..โอ..
รู้รึเปล่า ว่าใครที่เขียนเพลงนี้ จำเอาไว้ให้ดีๆ

ว่าเพลงๆ นี้ที่ได้ฟัง นั้นฉันไม่ได้แต่ง
เธอรู้ไหม ไม่บังอาจหรอกนะคนดี โว..โอ..
รู้รึเปล่า ว่าใครที่เขียนเพลงนี้ จำเอาไว้ให้ดีๆ 
คนนั้นคือเธอ

เธอรู้หรือไม่ ที่ฉันทำได้ ก็เป็นเพราะว่าเธอทั้งนั้น

เพลงๆ นี้ที่ได้ฟัง นั้นฉันไม่ได้แต่ง
เธอรู้ไหม ไม่บังอาจหรอกนะคนดี โว..โอ..
รู้รึเปล่า ว่าใครที่เขียนเพลงนี้ จำเอาไว้ให้ดีๆ

ว่าเพลงๆ นี้ที่ได้ฟัง นั้นฉันไม่ได้แต่ง
เธอรู้ไหม ไม่บังอาจหรอกนะคนดี โว..โอ..
รู้รึเปล่า ว่าใครที่เขียนเพลงนี้ จำเอาไว้ให้ดีๆ
คนนั้นคือเธอ",no_more_tear
รู้สึกดี,/music/thailyric/2548,"ไม่ต้องคิดเลย ถ้าในวันนี้ไม่มีเธอ
ชีวิตมันจะเป็นไปอย่างไร
ลำพังตัวฉันคนเดียวคงไม่พอ
จะเติมเต็มทุกทุกอย่าง

แต่ปากฉันเอง ไม่ได้บอกเธอให้เข้าใจ
แต่มันคิดเองเออเองแค่ข้างใน
ว่ากำลังใจฉันที่มีคือเธอ เธอ
แต่ยังไงก็ตาม

ก็รู้ รู้ตัวว่าเธอน่ะคือเบื้องหลังทุกความสุข
และอยากบอกเธอว่าฉัน รู้สึกดี

หนึ่งวันที่รักเธอ หนึ่งเดือนที่ให้ใจ
กี่ปีที่ให้ไป ยังเป็นอย่างนั้นไม่สิ้นสุด
ขอแค่เธออยู่ตรงนี้

หนึ่งวันที่รักเธอ มันคือทั้งหัวใจ
ตั้งแต่ได้พบเจอ ก็ไม่มีเหลือให้ใครแล้ว
ขอมีเธออยู่อย่างนี้ จะได้ไหม

ไม่ต้องนึกเลย ถ้าวันพรุ่งนี้ไม่มีเธอ
ชีวิตมันจะเดินได้แค่ไหน
ในวันที่ไร้กำลัง มันหมดแรง
แต่ก็ยังยิ้มได้

ก็รู้ รู้ตัวว่าเธอน่ะคือเบื้องหลังทั้งหมดนั้น
และอยากบอกเธอว่าฉัน รู้สึกดี

หนึ่งวันที่รักเธอ หนึ่งเดือนที่ให้ใจ
กี่ปีที่ให้ไป ยังเป็นอย่างนั้นไม่สิ้นสุด
ขอแค่เธออยู่ตรงนี้

หนึ่งวันที่รักเธอ มันคือทั้งหัวใจ
ตั้งแต่ได้พบเจอ ก็ไม่มีเหลือให้ใครแล้ว
ขอมีเธออยู่อย่างนี้ จะได้ไหม

เพราะฉันนั้นรู้ รู้ดี
ว่าใครที่เป็นเบื้องหลังทุกความสุข
ก็มีแต่เธอคนนี้ ไม่ใช่ใคร

หนึ่งวันที่รักเธอ หนึ่งเดือนที่ให้ใจ
กี่ปีที่ให้ไป ยังเป็นอย่างนั้นไม่สิ้นสุด
ขอแค่เธออยู่ตรงนี้

หนึ่งวันที่รักเธอ มันคือทั้งหัวใจ
ตั้งแต่ได้พบเจอ ก็ไม่มีเหลือให้ใครแล้ว
ขอมีเธออยู่อย่างนี้ ได้รึเปล่า",no_more_tear
