song_name,href,lyric,artist
คำตอบที่รู้อยู่แล้ว,/music/thailyric/2514,"ไม่มีทางจะเป็นจริง ฉันก็รู้ต้องเป็นใคร
เก็บความลับไว้ในใจอยู่เรื่อยมา
ไม่กล้าคิดที่จะถาม รู้ว่าคงต้องเสียน้ำตา
บอกใจทุกวันเวลาให้หยุดฝัน

พอเข้าใจตัวเธอดี คนของฝันเธอในใจ
มันไม่มีอะไรแบบฉันเลย อยู่กับรักที่ห้ามหวัง
ทรมานเมื่อต้องคุ้นเคย
ไม่มีทางลงเอย ยังเฝ้าคอย

รักฉันบ้างหรือเปล่า คิดหมือนกันหรือเปล่า
รู้อะไรหรือเปล่าว่าเป็นคำถามที่ปวดใจ
ถ้ายังคอยรักเธอ เหมือนต้องเจ็บเรื่อยไป
ฉันควรทำอย่างไรไม่รู้เลย

ความสุขตอนมองตาเธอ มันยิ่งทุกข์กังวลใจ
ยิ่งนานยิ่งมองเท่าไร ยิ่งรักเธอ
กลัวจะทำให้เธอรู้ เก็บอาการเมื่อต้องพบเจอ
ทั้งๆ ที่อยากบอกเธอมากเหลือเกิน

รักฉันบ้างหรือเปล่า คิดหมือนกันหรือเปล่า
รู้อะไรหรือเปล่าว่าเป็นคำถามที่ปวดใจ
ถ้ายังคอยรักเธอ เหมือนต้องเจ็บเรื่อยไป
ฉันควรทำอย่างไรไม่รู้เลย

ถ้ายังคอยรักเธอ แล้วต้องเจ็บอย่างนี้ตลอดไป
ฉันควรทำอย่างไรไม่ให้รักเธอ",noey_senorita
เจ้าชู้หรือเจ้าชาย,/music/thailyric/2515,"ฉันดูไม่เป็น เธอเล่นบทไหนอยู่นะ
บทที่ฉันต้องเสียน้ำตา หรือบทที่ฟ้าส่งมาให้รักกัน
มองหน้าทีไร ทำไมชอบทำให้ฝัน
สรุปเอาเลยก็แล้วกัน เธอล่ะทำให้ฉันรักเธอ

แต่ต้องรักหรือต้องกลัว ฉันต้องทำตัวยังไง

แค่อยากรู้ช่วยบอกให้รู้ เนี่ยะเจ้าชู้หรือว่าเธอก็จริงใจ
บอกได้ไหม ช่วยบอกได้ไหม
เธอเจ้าชู้หรือเธอเป็นเจ้าชาย
ที่เอาหัวใจมาส่ง เพราะคนขี้เหงาคงหายงง

ฉันแค่ลังเล ว่าเธอโอเคใช่ไหม
ก็ต้องมาถามให้แน่ไง
ก่อนจะเอาหัวใจให้เธอ

ว่าต้องรักหรือต้องกลัว ฉันต้องทำตัวอย่างไง

แค่อยากรู้ช่วยบอกให้รู้ เนี่ยะเจ้าชู้หรือว่าเธอก็จริงใจ
บอกได้ไหม ช่วยบอกได้ไหม
เธอเจ้าชู้หรือเธอเป็นเจ้าชาย
ที่เอาหัวใจมาส่ง อย่าให้ต้องงงอย่างนี้เลย

Rap

แค่อยากรู้ช่วยบอกให้รู้ เนี่ยะเจ้าชู้หรือว่าเธอก็จริงใจ
บอกได้ไหม ช่วยบอกได้ไหม
เธอเจ้าชู้หรือเธอเป็นเจ้าชาย
ที่เอาหัวใจมาส่ง อย่าให้ต้องงงอย่างนี้เลย

แค่อยากรู้ช่วยบอกให้รู้ เนี่ยะเจ้าชู้หรือว่าเธอก็จริงใจ
บอกได้ไหม ช่วยบอกได้ไหม
เธอเจ้าชู้หรือเธอเป็นเจ้าชาย
ที่เอาหัวใจมาส่ง อย่าให้ต้องงงอย่างนี้เลย",noey_senorita
รักเธอลงไปได้อย่างไร,/music/thailyric/2518,"น้ำตาหลั่งไหลมาเกือบจะสิ้นใจ
ในวันที่ฉันต้องโดนที้ง ไม่อาจจะยอมรับ
ให้เป็นเรื่องจริงสิ่งที่รู้เกินจะทน

ก็คิดว่าคงต้องตาย ขาดเธอไปสักคน
จะทนอยู่ไปเพื่อใคร แล้ววันที่เลยผ่าน
กลับบอกให้ฉันเข้าใจ อะไรที่ฉันควรเสียดาย

เจ็บที่ฉันเคยรัก เคยยอมทุ่มเทใจ
จนไม่เหลือให้ใคร นั้นแหละฉันควรเสียดาย
เจ็บที่ฉันเคยคิด มอบชีวิตไป
คำถามนี้ที่ในใจ นี่ฉันรักเธอลงไปได้อย่างไร

รักเธอกลายเป็นเรื่องที่ช่างน่าอาย
ที่สุดที่ฉันเคยได้ทำ ดีที่ยังได้รู้
คิดว่าใช้กรรม แต่ความจำยังกวนใจ

ก็คิดว่าคงต้องตาย ขาดเธอไปสักคน
จะทนอยู่ไปเพื่อใคร แล้ววันที่เลยผ่าน
กลับบอกให้ฉันเข้าใจ อะไรที่ฉันควรเสียดาย

เจ็บที่ฉันเคยรัก เคยยอมทุ่มเทใจ
จนไม่เหลือให้ใคร นั้นแหละฉันควรเสียดาย
เจ็บที่ฉันเคยคิด มอบชีวิตไป
คำถามนี้ที่ในใจ นี่ฉันรักเธอลงไปได้อย่างไร

ที่สุดในใจ เกิดเจ็บจนเกือบตาย
แต่วันนี้ฉันไม่เหมือนเดิมอีกแล้ว

เจ็บที่ฉันเคยรัก เคยยอมทุ่มเทใจ
จนไม่เหลือให้ใคร นั้นแหละฉันควรเสียดาย
เจ็บที่ฉันเคยคิด มอบชีวิตไป
คำถามนี้ที่ในใจ นี่ฉันรักเธอลงไปได้อย่างไร

เจ็บที่ฉันเคยรัก เคยยอมทุ่มเทใจ
จนไม่เหลือให้ใคร นั้นแหละฉันควรเสียดาย
เจ็บที่ฉันเคยคิด มอบชีวิตไป
คำถามนี้ที่ในใจ นี่ฉันรักเธอลงไปได้อย่างไร",noey_senorita
หลับไปกับตัวเอง,/music/thailyric/2519,"ตรงมุมนี้ยังมีเรา ที่ไม่เคยเปิดเผยใจกับใคร
ที่หน้าต่างไม่ไกล เปิดทิ้งไว้เพื่อรอใคร
คนที่เข้าใจ จากท้องฟ้าไกล

รออยู่ทุกวันไป ไม่มีเลยสักเสียงจะตอบมา
ว่าจะส่งสักคน มาให้ฉันได้เมื่อไหร่
หรือต้องรอไป ด้วยรอยน้ำตาที่มี

หลับไปกับตัวเอง (ไม่มีใคร)
ทุกๆ วันเข้านอนพร้อมตัวเอง
อยู่มันเอง(นั่งทนเหงา)
ชีวิตคงไม่มีใครอีกเหมือนเคย

ยามที่เหงาเมื่อไหร่ถามตัวเอง
เมื่อไหร่ใจจะเจอใครเขาสักคนที่รักแค่ฉัน
ถามน้ำตาจนหลับ ไปทุกๆ คืน

คืนอันแสนยาวนาน ที่ผ่านมากับโลกที่เงียบงัน
ที่หน้าต่างก็มีใจของฉันที่ว่างเปล่า
ที่เต้นช้าลง ที่เต้นอ่อนแรงทุกที

หลับไปกับตัวเอง (ไม่มีใคร)
ทุกๆ วันเข้านอนพร้อมตัวเอง
อยู่มันเอง(นั่งทนเหงา)
ชีวิตคงไม่มีใครอีกเหมือนเคย

ยามที่เหงาเมื่อไหร่ถามตัวเอง
เมื่อไหร่ใจจะเจอใครเขาสักคนที่รักแค่ฉัน
ถามน้ำตาจนหลับ ไปทุกๆ คืน

หลับไปกับตัวเอง (ไม่มีใคร)
ทุกๆ วันเข้านอนพร้อมตัวเอง
อยู่มันเอง(นั่งทนเหงา)
ชีวิตคงไม่มีใครอีกเหมือนเคย

ยามที่เหงาเมื่อไหร่ถามตัวเอง
เมื่อไหร่ใจจะเจอใครเขาสักคนที่รักแค่ฉัน
ถามน้ำตาจนหลับ ไปทุกๆ คืน

ยามที่เหงาเมื่อไหร่ถามใจตัวเอง
เมื่อไหร่ใจจะเจอ ใครเขาสักคนที่รักแค่ฉัน
ให้ไม่ต้องนอนหลับกับตัวเอง",noey_senorita
หูไม่ตรงกับตา,/music/thailyric/2521,"กินข้าวอยู่เหรอ อยู่บ้านไม่เบื่อหรือไง
โทรมาถามเพื่อความแน่ใจเท่านั้น
ว่าคนที่รักที่คอยเชื่อใจ กำลังโกหกกัน
รู้ไหมมันทำให้ฉันใจหาย

กับสิ่งที่ฉันได้ยิน กับหูที่เธอบอกให้รู้
มันไม่เหมือนที่ฉันได้ดู ได้เห็นกับตา

ฉันตาฝาดไปใช่ไหม ที่เห็นเธอเดินกับใคร
ที่เห็นว่าเธอกำลังนอกใจมีใครอีกคน
ท่าทางเธอรักกันมาก ท่าทีช่างดูมีความสุขล้น
หากว่าฉันจำผิดคน ทำไมต้องร้อนรนถ้าไม่ใช่เธอ

เพราะมีแต่เธอ เพราะรักจนหมดหัวใจ
ให้มองข้างหลังยังจำเธอได้เสมอ
คิดถึงฉันไหมจะรีบไปหา เพราะฉันนั้นอยากเจอ
แต่ไม่รู้ว่าเธออยากเจอหรือเปล่า

กับสิ่งที่ฉันได้ยิน กับหูที่เธอบอกให้รู้
มันไม่เหมือนที่ฉันได้ดู ได้เห็นกับตา

ฉันตาฝาดไปใช่ไหม ที่เห็นเธอเดินกับใคร
ที่เห็นว่าเธอกำลังนอกใจมีใครอีกคน
ท่าทางเธอรักกันมาก ท่าทีช่างดูมีความสุขล้น
หากว่าฉันจำผิดคน ทำไมต้องร้อนรนถ้าไม่ใช่เธอ

ฉันตาฝาดไปใช่ไหม ที่เห็นเธอเดินกับใคร
ที่เห็นว่าเธอกำลังนอกใจมีใครอีกคน
ท่าทางเธอรักกันมาก ท่าทีช่างดูมีความสุขล้น
หากว่าฉันจำผิดคน ทำไมต้องร้อนรนถ้าไม่ใช่เธอ

ฉันตาฝาดไปใช่ไหม ที่น้ำตาเริ่มจะไหล
ที่เห็นว่าเธอทำร้ายหัวใจของฉันอย่างนี้
ถ้าคิดว่าไม่ลำบาก บอกรักให้ฉันฟัง อีกสักที
บอกกับฉันเลยคนดี ว่าคนตรงหน้าฉันนี้ไม่ใช่เธอ
บอกกับฉันเลยคนดี ว่าคนตรงหน้าฉันนี้ไม่ใช่เธอ",noey_senorita
แชร์ความเหงา,/music/thailyric/9274,"จะกินอะไรหรือเดินเล่นยังไง
เป็นต้องแชร์เสมอ รูปที่ถ่ายตัวเองเอาไว้
เจออะไรก็โพสต์ ส่งไปนิดนึง

ภาพตั้งมากมาย นั่งดูไปยิ้มไป
แล้วทำไมอกซ้ายมันเริ่มอ่อนแอเริ่มหวั่นไหว
เมื่อบังเอิญวันนี้ มองดีๆ
กลับเห็นบางคนแอบเหงา

เปิดดูรูปไหนก็ใจหาย
รูปถ่ายมันมีแต่ความเหงา
ก็แบบว่ายังสงสัยข้างเราไม่มีใคร
แอบหวั่นใจและสับสน
สักคนบ้างไหมที่คล้ายเรา
ที่ยังฝันยังรอคนแสนดี

เปิดดูรูปไหนก็ใจหาย
รูปถ่ายมันมีแต่ความเหงา
อยากมีรูปคู่กับเขาให้ชื่นใจบ้างสักที
รูปถ่ายจะชิวหรือวิวสวย
แต่ขาดใครคนนั้นข้างกันก็ไม่โออยู่ดี
ถ้ามีใครสักคนคงลงตัว

จะลองเปลี่ยนมุมหรือแต่งเติมเท่าไหร่
ภาพก็ยังไม่ดี และดูไม่ค่อยมีความหมาย
รูปตัวเองที่ยิ้ม แต่ความจริงมันฟ้องอาการแอบเหงา

เปิดดูรูปไหนก็ใจหาย
รูปถ่ายมันมีแต่ความเหงา
ก็แบบว่ายังสงสัยข้างเราไม่มีใคร
แอบหวั่นใจและสับสน
สักคนบ้างไหมที่คล้ายเรา
ที่ยังฝันยังรอคนแสนดี

เปิดดูรูปไหนก็ใจหาย
รูปถ่ายมันมีแต่ความเหงา
อยากมีรูปคู่กับเขาให้ชื่นใจบ้างสักที
รูปถ่ายจะชิวหรือวิวสวย
แต่ขาดใครคนนั้นข้างกันก็ไม่โออยู่ดี
ถ้ามีใครสักคนคงลงตัว

อย่าเพิ่ง ด่วนสรุปอะไรไปก่อน
ชีวิตคนเรานั้นอาจจะไม่น้ำเน่าเหมือนในละคร
หรือนิทานที่พ่อแม่เคยเล่าให้ฟังก่อนนอน
มีเจ้าหญิงเจ้าชายมีคนดีคนร้าย

ถึงวันนี้มีเพียงแค่เรากับกล้องหน้า
วิวสวยหรือแม้หยาดฝนที่โปรยลงมา
แต่เธอยังต้องมีความหวัง
คนที่คล้ายกับเธอเขาอาจจะนั่งอยู่ข้างหลัง

เปิดดูรูปไหนก็ใจหาย
รูปถ่ายมันมีแต่ความเหงา
ก็แบบว่ายังสงสัยข้างเราไม่มีใคร
แอบหวั่นใจและสับสน
สักคนบ้างไหมที่คล้ายเรา
ที่ยังฝันยังรอคนแสนดี

เปิดดูรูปไหนก็ใจหาย
รูปถ่ายมันมีแต่ความเหงา
อยากมีรูปคู่กับเขาให้ชื่นใจบ้างสักที
รูปถ่ายจะชิวหรือวิวสวย
แต่ขาดใครคนนั้นข้างกันก็ไม่โออยู่ดี
ถ้ามีใครสักคนคงลงตัว

เปิดดูรูปไหนก็ใจหาย
รูปถ่ายมันมีแต่ความเหงา
ก็แบบว่ายังสงสัยข้างเราไม่มีใคร
แอบหวั่นใจและสับสน
สักคนบ้างไหมที่คล้ายเรา
ที่ยังฝันยังรอคนแสนดี

เปิดดูรูปไหนก็ใจหาย
รูปถ่ายมันมีแต่ความเหงา
อยากมีรูปคู่กับเขาให้ชื่นใจบ้างสักที
รูปถ่ายจะชิวหรือวิวสวย
แต่ขาดใครคนนั้นข้างกันก็ไม่โออยู่ดี
ถ้ามีใครสักคนคงลงตัว",noey_senorita
ตัวหลอก (Don't Fake),/music/thailyric/11118,"ทุกๆ เวลาที่เราเดินจับมือ
มันคือความรักจริงหรือ ยังคงสงสัย
ก็เพราะเวลายิ้มให้ฉัน ใจเธอล่องลอยไป
เก็บงำความไม่รู้อยู่ลึก จนได้มาเห็นเอง

เมื่อเขามองเธอ ตาเธอฟ้องฉันค้นเจอ
ว่าเขาคือคนที่เธอยังเก็บอยู่ในหัวใจ

ไม่อยากเป็นแค่ตัวหลอก ของใคร
ถ้าเธอยังมีเยื่อใยกับเขา ก็ขอให้พูดความจริง
ไม่อยากเป็นแค่ตัวหลอก แล้ววันหนึ่งเธอก็ทิ้ง
ถ้าเขานั้นยัง ยังเป็นตัวจริง
อย่าหลอกว่ารักฉันเลย

ฉันไม่อยากมาแทนใครแค่ชั่วคราว
มีค่าแค่คนคลายเหงา ไม่เอาได้ไหม
ก็เห็นเธอยังเล่าเรื่องเขา ไม่เคยลบเลือนไป
ถ้าเขาเป็นรักปักใจ ฉันอยากจะถอยเอง

เมื่อเขามองเธอ ตาเธอฟ้องฉันค้นเจอ
ว่าเขาคือคนที่เธอยังเก็บอยู่ในหัวใจ

ไม่อยากเป็นแค่ตัวหลอก ของใคร
ถ้าเธอยังมีเยื่อใยกับเขา ก็ขอให้พูดความจริง
ไม่อยากเป็นแค่ตัวหลอก แล้ววันหนึ่งเธอก็ทิ้ง
ถ้าเขานั้นยัง ยังเป็นตัวจริง
อย่าหลอกว่ารักฉันเลย

ไม่อยากเป็นแค่ตัวหลอก ของใคร
ถ้าเธอยังมีเยื่อใยกับเขา ก็ขอให้พูดความจริง
ไม่อยากเป็นแค่ตัวหลอก แล้ววันหนึ่งเธอก็ทิ้ง
ถ้าเขานั้นยัง ยังเป็นตัวจริง
อย่าหลอกว่ารักฉันเลย",noey_senorita
แฟนดีดี,/music/thailyric/8394,"รักใครสักคน ขนใจทุ่มไป
ไม่นานก็โดน ถูกโยนทิ้ง
น้ำตาต้องไหล ใช้ใจสิ้นเปลือง
เคืองใจยิ่งนัก ก็รักจริง

สักคนที่ดี มีอยู่ที่ใด
ให้ใจดวงหนึ่ง ได้พึ่งพิง
เจ็บมามากพอ ท้อใจเหลือเกิน
เดินจนหมดแรง ชอบแกล้งกันจริง

เคยมีรักครั้งไหนบ้างไหม ไม่ทุ่มเท
เคยมีรักครั้งไหนบ้างไหม ที่คิดเผื่อใจ
อย่าปล่อยให้คนๆ นี้ต้องมีชีวิตที่มันโชคร้าย
เรื่อยไป อยู่อย่างนี้เลย

อยากมีแฟนดีดีกับเขาสักคน
ไม่อยากทนกับความเสียใจ และผิดหวัง
เหนื่อยพอแล้วกับรักที่เลิกรา

อยากมีแฟนดีดีกับเขาสักที
อยากมีช่วงเวลาที่แสนดี กับคนนั้น
เป็นของขวัญที่ชีวิตฉันยังเฝ้ารอ

ดวงคงไม่ดี มีกรรมต้องยอม
ตรอมใจอย่างนั้น จะนานไหม
ความเหงาออกฤทธิ์ อิจฉาผู้คน
ทนดูเขารัก ก็หนักใจ

ความหวังไม่ชัด ศรัทธาเลื่อนลอย
คอยรักกลัวกลัว จะชัวร์ไหม
สักคนก็พอ ขอคงไม่เกิน
เชิญคนน่ารัก มาพักพิงใจ

เคยมีรักครั้งไหนบ้างไหม ไม่ทุ่มเท
เคยมีรักครั้งไหนบ้างไหม ที่คิดเผื่อใจ
อย่าปล่อยให้คนๆ นี้ต้องมีชีวิตที่มันโชคร้าย
เรื่อยไป อยู่อย่างนี้เลย

อยากมีแฟนดีดีกับเขาสักคน
ไม่อยากทนกับความเสียใจ และผิดหวัง
เหนื่อยพอแล้วกับรักที่เลิกรา

อยากมีแฟนดีดีกับเขาสักที
อยากมีช่วงเวลาที่แสนดี กับคนนั้น
เป็นของขวัญที่ชีวิตฉันยังเฝ้ารอ

เคยมีรักครั้งไหนบ้างไหม ไม่ทุ่มเท
เคยมีรักครั้งไหนบ้างไหม ที่คิดเผื่อใจ
อย่าปล่อยให้คนๆ นี้ต้องมีชีวิตที่มันโชคร้าย
เรื่อยไป อยู่อย่างนี้เลย

อยากมีแฟนดีดีกับเขาสักคน
ไม่อยากทนกับความเสียใจ และผิดหวัง
เหนื่อยพอแล้วกับรักที่เลิกรา

อยากมีแฟนดีดีกับเขาสักที
อยากมีช่วงเวลาที่แสนดี กับคนนั้น
เป็นของขวัญที่ชีวิตฉันยังเฝ้ารอ

อยากมีช่วงเวลาที่แสนดี กับคนนั้น
เป็นของขวัญที่ชีวิตฉันยังเฝ้ารอ",noey_senorita
มีใครเหงาเหมือนเราไหม (Lonely),/music/thailyric/11263,"มีผู้คนมากมายที่รายรอบอยู่
แต่คนที่ให้ไออุ่น กอดกุมมือกันนั้นไม่มี
ใครก็เดินคู่กันช่างน่ารักดี แต่เราไม่เจอสักที
อยากเจอรักแท้ แค่สักคน

ถามตัวเองในใจ คนที่รอนั้นมีจริงหรือเปล่า
คนที่บนฟ้า ส่งมาคู่เรามีจริงไหม
พบก็แต่แค่มาชั่วคราว แล้วสุดท้ายก็หายทิ้งกันไป
หรือโลกนี้ ไม่มีใครเหลือเลย

ยังมีใครที่เหงา เหมือนเราอยู่บ้างไหม
รักแท้อยู่ที่ไหน หรือมีแค่ในฝัน
โปรดเถอะฟ้า โปรดอย่าให้ฉัน
ต้องแบกใจดวงนี้ไว้ไปวันๆ แบบไม่พบรักเลย

คนที่มาสบตากันก่อนเข้านอน
คนที่รับรู้ทุกอย่าง อยู่ดูแลตอนไม่สบาย
คนที่เราจะงอนกี่ครั้งก็ได้ มาเป็นคู่บนรูปถ่าย
อยู่มุมไหน ในโลกนี้

ถามตัวเองในใจ คนที่รอนั้นมีจริงหรือเปล่า
คนที่บนฟ้า ส่งมาคู่เรามีจริงไหม
พบก็แต่แค่มาชั่วคราว แล้วสุดท้ายก็หายทิ้งกันไป
หรือโลกนี้ ไม่มีใครเหลือเลย

ยังมีใครที่เหงา เหมือนเราอยู่บ้างไหม
รักแท้อยู่ที่ไหน หรือมีแค่ในฝัน
โปรดเถอะฟ้า โปรดอย่าให้ฉัน
ต้องแบกใจดวงนี้ไว้ไปวันๆ แบบไม่พบรักเลย

ยังมีใครที่เหงา เหมือนเราอยู่บ้างไหม
รักแท้อยู่ที่ไหน หรือมีแค่ในฝัน
โปรดเถอะฟ้า โปรดอย่าให้ฉัน
ต้องแบกใจดวงนี้ไว้ไปวันๆ แบบไม่พบรักเลย",noey_senorita
ไม่ใช่คนสวย,/music/thailyric/8666,"กลัว ไม่กล้าจะไปชอบใคร
ไม่อยากจะไปรักใคร
แต่ใจของฉันก็รักเธอ เหลือเกิน

กลัว รู้ตัวว่าต้องเสียใจ
ก็ได้แต่หักห้ามใจ
แต่ทำอย่างไรก็ไม่ลืมเธอได้เลย

อยากเอ่ยคำว่ารัก ดูแลใกล้ชิดกัน
แค่นึกแค่ฝันก็พลอยสุขใจ
แอบเก็บคำว่ารัก อยู่ในสายตาที่มองไป
ก็อยากให้เธอสัมผัสใจฉันที

ไม่ใช่คนสวย แต่อยากรักเธอได้ไหม
เจียมตัวด้วยความน้อยใจ เธอก็ดูหมางเมินกันเสมอ
เกิดมาไม่สวย แต่อยากเป็นคนจับมือเดินข้างเธอ
ต้องทำอย่างไร ต้องแลกสิ่งไหน
ฉันยอม ยอมเธอแล้ว เพียงขอได้ใจเธอ

หวังแค่เธออย่าปิดหัวใจ
แค่เธอจะมองข้างใน
จะทำให้รู้ว่ารักเธอเกินกว่าใคร

อยากเอ่ยคำว่ารัก ดูแลใกล้ชิดกัน
แค่นึกแค่ฝันก็พลอยสุขใจ
แอบเก็บคำว่ารัก อยู่ในสายตาที่มองไป
ก็อยากให้เธอสัมผัสใจฉันที

ไม่ใช่คนสวย แต่อยากรักเธอได้ไหม
เจียมตัวด้วยความน้อยใจ เธอก็ดูหมางเมินกันเสมอ
เกิดมาไม่สวย แต่อยากเป็นคนจับมือเดินข้างเธอ
ต้องทำอย่างไร ต้องแลกสิ่งไหน
ฉันยอม ยอมเธอแล้ว เพียงขอได้ใจเธอ

ไม่ใช่คนสวย แต่อยากรักเธอได้ไหม
เจียมตัวด้วยความน้อยใจ เธอก็ดูหมางเมินกันเสมอ
เกิดมาไม่สวย แต่อยากเป็นคนจับมือเดินข้างเธอ
ต้องทำอย่างไร ต้องแลกสิ่งไหน
ฉันยอม ยอมเธอแล้ว เพียงขอได้ใจเธอ

ต้องทำอย่างไร ต้องแลกสิ่งไหน
ฉันยอม ยอมเธอแล้ว เพียงขอได้ใจเธอ",noey_senorita
