song_name,href,lyric,artist
สมองสั่งการช้า (Delay),/music/thailyric/16449,"เธอคงอาจยังไม่รู้ว่านานสักแค่ไหน
ว่ามีหนึ่งคนที่คอยเฝ้ามองและห่วงใย
คนที่รู้ว่าเธอชอบอะไร
คนที่พร้อมจะให้เธอได้ทุกอย่าง

เพราะฉันก็ไม่รีบร้อนที่จะพูดออกไป
เพราะมีเธอในชีวิตก็ดีสักแค่ไหน
ฉันคิดว่าค่อยเป็นค่อยไป
ไม่จำเป็นต้องรีบเฉลยความจริง
แต่สุดท้ายคิดผิด

สมองฉันมันดันสั่งการช้า
ไม่ยอมพูดไปว่ารักเธอ ตั้งนานแล้ว
บอกตอนนี้แล้วได้อะไร วันนี้เธอนั้นไปมีใคร
มาก่อนตั้งนาน เพิ่งคิดได้ตอนที่สาย
ก็ไม่มีค่าเลย

(เสียดายว่ะ ทำไมเราช้าวะ)

ก็ได้ยินคนพูดเอาไว้ ว่าคิดอะไรก็ไม่ต้องพูดหมด
ก็ได้แต่จดบันทึกในใจ ว่ารักแค่ไหน ต้องเก็บกดมันไว้
เพลงเขาบอก พรุ่งนี้ไม่สายที่จะรักกัน
แต่ถ้าไม่บอกออกไปให้เธอได้ยินสักทีล่ะ
ถ้าไม่บอกออกไปให้เธอได้ยินสักที
วันไหน ก็ไม่ได้รักกัน

เพราะคนๆ หนึ่งที่ดูเหมือนไม่สนิท แต่เธอจะรู้ไหม
ก็รู้ว่าเธอมีผลต่อหัวใจมาเนิ่นนานสักแค่ไหน
ก็ดันแต่เก็บเอาไว้ในใจทุกวัน
ความรักกำลังก่อตัว แต่เธอกำลังจากไป
เพราะแค่ไม่ยอมพูดมันสักที

สมองฉันมันดันสั่งการช้า
ไม่ยอมพูดไปว่ารักเธอ ตั้งนานแล้ว
บอกตอนนี้แล้วได้อะไร วันนี้เธอนั้นไปมีใคร
มาก่อนตั้งนาน เพิ่งคิดได้ตอนที่สาย

ก็เพราะสมองฉันมันดันสั่งการช้า
ไม่ยอมพูดไปว่ารักเธอ ตั้งนานแล้ว
ฉันมันคงไม่มีโอกาส มากกว่าจะเสียโอกาส
มาก่อนตั้งนานเพิ่งคิดได้ตอนที่สาย
ไม่มีค่า เลย

มันไม่มีค่า",nont_tanont
ยังไม่เคย,/music/thailyric/9174,"ยังไม่เคยๆ ก็เลยอยากลอง นิดนึงๆ
อาจจะซึ้งเหมือนตอนจบละครหรือจะยังไง

เจอ หน้าเธอ หน้าเธอ
ต้องมีหวั่นไหว เหมือนมือ
เริ่มพันมันไม่รู้จะกุ้มเป้าตัวเอง
หรือจับกางเกง

พอได้เจอระบบเริ่มรวน
ตับไตมันป่วนปั่นมากมาย
ไม่รู้เรียกอะไร ยังคงสงสัย
ที่มีเธอเข้ามากวนได้ทุกวัน

เหมือนไปดาวอังคาร
ก็เหมือนได้ทัวร์ รอบจักรวาล
ก็ยังไม่เคยได้รู้ อาการนี้เรียกว่าใจ
ชอบเธอใช่ไหม เหมือนเป็นไอน์สไตน์
ได้พบได้เจอ เรื่องใหญ่สำคัญ
แค่อยากขอเธอมาช่วยกัน แก้อาการยังไม่เคย

เอา แล้วไง นี่ไง
ที่ใจอยากลอง เข้ามา แล้วไง
ยังไม่รู้จะต้องเริ่มยังไง หรือจบยังไง

พอได้เจอ ระบบเริ่มรวน
ตับไตมันป่วนปั่นมากมาย
ไม่รู้เรียกอะไร ยังคงสงสัย
ที่มีเธอเข้ามากวนได้ทุกวัน

เหมือนไปดาวอังคาร
ก็เหมือนได้ทัวร์ รอบจักรวาล
ก็ยังไม่เคยได้รู้ อาการนี้เรียกว่าใจ
ชอบเธอใช่ไหม เหมือนเป็นไอน์สไตน์
ได้พบได้เจอ เรื่องใหญ่สำคัญ
แค่อยากขอเธอมาช่วยกัน แก้อาการยังไม่เคย

เหมือนไปดาวอังคาร
ก็เหมือนได้ทัวร์ รอบจักรวาล
ก็ยังไม่เคยได้รู้ อาการนี้เรียกว่าใจ
ชอบเธอใช่ไหม เหมือนเป็นไอน์สไตน์
ได้พบได้เจอ เรื่องใหญ่สำคัญ
แค่อยากขอเธอมาช่วยกัน แก้อาการยังไม่เคย

ก็ผมคนธรรมดา ได้พบได้เจอ เรื่องใหญ่สำคัญ
แค่อยากขอเธอมาช่วยกัน แก้อาการยังไม่เคย",nont_tanont
3 ผ่าน,/music/thailyric/11087,"ไม่ต้องเป็น Commentator ก็บอกได้ว่าเธอน่ะโดน โดนใจ
สวยแบบไม่ต้องพึ่ง App ใดๆ สวยเด็ดเน็ตไอดอลยังอาย
เหมารถมาเท Like เอาไปสามผ่าน ให้ผ่าน ให้ผ่าน ให้ผ่าน

จี๊ดอกตกตะลึงตาค้าง ดูปากคอคิ้วคาง แหมใครช่างเสกสรรค์
ลืมตัวล่ะหัวใจละลาย เปิดโหวตตอนไหน คงโหวตกันสนั่น
ไม่ต้องกลูต้า ไม่ต้องคอลลาเจน เนื้อๆ เน้นๆ โอ๊ย ผ่าน

ไม่ต้องเป็น Commentator ก็บอกได้ว่าเธอน่ะโดน โดนใจ
สวยแบบไม่ต้องพึ่ง App ใดๆ สวยเด็ดเน็ตไอดอลยังอาย
เหมารถมาเท Like เอาไปสามผ่าน ให้ผ่าน ให้ผ่าน ให้ผ่าน

เลิศสุด หยุดแอบมองไม่ไหว แค่ท่าทีเอียงอาย ยังเก็บเอาไปฝัน
มาแรง แซงโค้งทุกราย เข้ารอบต่อไป ไม่ต้อง Audition
ยังโสดไหมนี่ พี่พอมีสิทธิ์ไหม ถ้ายังไม่มีใครน่ะ โอ๊ย ผ่าน

ขอไอดีให้พี่ได้ไหม พี่อยาก Goodnight ผ่านไลน์ทุกวัน
รับแอดเฟซพี่หน่อยได้ไหม พี่อยากกดไลค์ ถูกใจแจ่มจันทร์
เอาไอจีน้องให้พี่ก็ได้ พี่อยากฝากใจ ไม่ฝากร้าน

ขอไอดีให้พี่ได้ไหม พี่อยาก Goodnight ผ่านไลน์ทุกวัน
รับแอดเฟซพี่หน่อยได้ไหม พี่อยากกดไลค์ ถูกใจแจ่มจันทร์
เอาไอจีน้องให้พี่ก็ได้ พี่อยากฝากใจ ไม่ฝากร้าน

ปลื้มปริ่มอิ่มกว่ากินบิ๊กไบท์ พี่รักเธอทันใด ไม่ต้องมัวคิดนาน
ร้องเพลง ไม่เก่งไม่มายด์ จะสัปดาห์ไหนก็ไม่ให้ออกจากบ้าน
เธอมีออรา ถูกชะตาจริงนี่ ถ้าเธอเป็นแฟนพี่ละ โอ๊ย ผ่าน

ไม่ต้องเป็น Commentator ก็บอกได้ว่าเธอน่ะโดน โดนใจ
สวยแบบไม่ต้องพึ่ง App ใดๆ สวยเด็ดเน็ตไอดอลยังอาย
เหมารถมาเท Like เอาไปสามผ่าน

ไม่ต้องเป็น Commentator ก็บอกได้ว่าเธอน่ะโดน โดนใจ
สวยแบบไม่ต้องพึ่ง App ใดๆ สวยเด็ดเน็ตไอดอลยังอาย
เหมารถมาเท Like เอาไปสามผ่าน ให้ผ่าน ให้ผ่าน ให้ผ่าน

ให้ผ่าน ให้ผ่าน ให้ผ่าน
ให้ผ่าน ให้ผ่าน ให้ผ่าน สามผ่าน",nont_tanont
Come And Get Me,/music/thailyric/17173,"(Verse)
อยู่คนเดียวใช่ไหม Baby
ต้องการอะไรบ้างไหม Baby
ให้รู้ตรงนี้มีคนที่พร้อมจะสนองเธอ
เธอจะหิวบ้างมั้ย Baby
จะไปชิวที่ไหนกันดี
ไม่ว่าจะไกลแค่ไหน แค่เธอเรียกใช้
ฉันจะไปทันที

Baby you just call me
เธอจะรออะไรอีก
เร็วสิ เร็วสิ เร็ว อย่าช้า
ต้องการอะไร สั่งมา
จะรีบไปหา ดูแลให้ไว ไว้ ไว
จะรีบไปหา ไม่ว่าจะไกลใกล้ไกล

ขอดูแลเธอหมดหัวใจ
ทุกเวลาที่ต้องการฉัน
จากนี้ไม่ว่านานอีกสักเท่าไร
เราจะมีกันและกัน Baby
Come n get me get me
เธอต้อง get me get me
มาเถอะ get me get me
ลองเถอะ get me get me
Come n get me get me
เธอต้อง get me get me
มาเถอะ get me get me
เธอต้อง get me baby

มีอะไรให้รับใช้ มั้ยครับ
หยุบหยิบ เล็กใหญ่ ผมก็ได้นะครับ
สิ่งใดที่ถูกใจ บอกผมได้นะครับ
เลือกเลย บอกเลย จะไปส่งไปรับ
Get me แล้วจะว้าว รู้ป่าว
อย่างผม ไม่รู้คุณชอบหรือเปล่า
ชื่อนนท์ คุณจะรักหรือเปล่า
ไอ้คนอย่างผม คุณจะ Get หรือเปล่า

Baby you just call me
เธอจะรออะไรอีก
เร็วสิ เร็วสิ เร็ว อย่าช้า
ต้องการอะไร สั่งมา
จะรีบไปหา ดูแลให้ไว ไว้ ไว
จะรีบไปหา ไม่ว่าจะไกลใกล้ไกล

ขอดูแลเธอหมดหัวใจ
(All my heart)
ทุกเวลาที่ต้องการฉัน
(Everytime you need me)
จากนี้ไม่ว่านานอีกสักเท่าไร
(No No No No No)
เราจะมีกันและกัน
Come n get me get me
เธอต้อง get me get me
มาเถอะ get me get me
ลองเถอะ get me get me

อย่าคิดมากมาย อย่าคิดมากไป
ก็ลอง แล้วเธอจะติดใจ
จะรอ ตรงนี้ไม่ไปไหน
เธอเข้ามา Get กัน หน่อยได้มั้ย

ขอดูแลเธอหมดหัวใจ
ทุกเวลาที่ต้องการฉัน
จากนี้ไม่ว่านานอีกสักเท่าไร
เราจะมีกันและกัน Ohh
Come n get me get me
(Come and get my baby)
เธอต้อง  get me get me
(Yeah Like over time)
มาเถอะ get me get me
ลองเถอะ get me get me
(Woo wo wo wooo)

Come n get me get me
เธอต้อง get me get me (Get me)
มาเถอะ get me get me (Get me)
เธอต้อง get me baby",nont_tanont
Play,/music/thailyric/16223,"เมื่อต้องลงเล่นเกมส์ ที่เรียกว่าความรัก
ก็ต้องจงเตรียมใจ คงจะไม่ได้หยุดพัก
เห็นหน้าเธอ อยากเจอกับคำว่ารัก
ก็คงต้อง ทัก ทัก ไปตรงหัวใจ

กดไปเลยคำว่า Start ไม่ต้องรีต้องรอให้นาน
หากเล่นแพ้ แพ้ ก็ Play เล่นใหม่
ใครจะมองยังไงไม่สน จะไม่ทนแอบรักต่อไป
ก็อยากจะ ลอง ลอง Play ตามหัวใจ

เมื่อรักเธอแล้ว มันก็เหมือนเกมส์
ที่เล่นไปแล้ว หยุดเล่นไม่ได้
รักไปแล้ว จะให้ถอนตัวอย่างไร
เมื่อรักเธอแล้ว มันก็เหมือนเกมส์
ที่เล่นไปแล้ว หยุดเล่นไม่ได้
รักไปแล้ว จะรักจนกว่าเธอแพ้ใจ

ก็เล่นแล้วดันติดใจ
จะให้ฉันต้องทำอย่างไร
U make me goin' crazy
ปล่อยไว้แบบนี้คงไม่ดี

กดไปเลยคำว่า Start ไม่ต้องรีต้องรอให้นาน
หากเล่นแพ้ แพ้ ก็ Play เล่นใหม่
ใครจะมองยังไงไม่สน จะไม่ทนแอบรักต่อไป
ก็อยากจะ ลอง ลอง Play ตามหัวใจ

เมื่อรักเธอแล้ว มันก็เหมือนเกมส์
ที่เล่นไปแล้ว หยุดเล่นไม่ได้
รักไปแล้ว จะให้ถอนตัวอย่างไร
เมื่อรักเธอแล้ว มันก็เหมือนเกมส์
ที่เล่นไปแล้ว หยุดเล่นไม่ได้
รักไปแล้ว จะรักจนกว่าเธอแพ้ใจ

จะ Continue จนกว่าเธอยอมแพ้
จะไม่ยอมถอดใจ แม้จะโดนอีกกี่แผล
I never die ยังสู้ได้สบาย
กดสูตร อมตะ เธอจะทิ้งฉันคงไม่ได้
จะคอย ติดตาม กด Play แบบย้ำๆ
อันนี้พูดเรื่องจริงไม่ได้มาแบบ ขำๆ
ก็มาดิครับ จะกดใจ แบบซ้ำๆ
ให้เธอได้รู้ว่านี่คือรักของฉัน

เมื่อรักเธอแล้ว มันก็เหมือนเกมส์
ที่เล่นไปแล้ว หยุดเล่นไม่ได้
รักไปแล้ว จะให้ถอนตัวอย่างไร
เมื่อรักเธอแล้ว มันก็เหมือนเกมส์
ที่เล่นไปแล้ว หยุดเล่นไม่ได้
รักไปแล้ว จะรักจนกว่าเธอจะแพ้หัวใจ

เมื่อรักเธอแล้ว มันก็เหมือนเกมส์
ที่เล่นไปแล้ว หยุดเล่นไม่ได้
รักไปแล้ว จะให้ถอนตัวอย่างไร
เมื่อรักเธอแล้ว มันก็เหมือนเกมส์
ที่เล่นไปแล้ว หยุดเล่นไม่ได้
รักไปแล้ว จะรักจนกว่าเธอแพ้ใจ

เมื่อต้องลงเล่นเกมส์ ที่เรียกว่าความรัก
ก็ต้องจงเตรียมใจ คงจะไม่ได้หยุดพัก
เห็นหน้าเธอ อยากเจอกับคำว่ารัก
ก็คงต้อง ทัก ทัก ไปตรงหัวใจ

เมื่อต้องลงเล่นเกมส์ ที่เรียกว่าความรัก
ก็ต้องจงเตรียมใจ คงจะไม่ได้หยุดพัก
เห็นหน้าเธอ อยากเจอกับคำว่ารัก
ก็คงต้อง ทัก ทัก ไปตรงหัวใจ",nont_tanont
เกลียดนักคนหลายใจ,/music/thailyric/22661,"นั่นก็ดี นี่ก็โดน โน่นก็น่าสนใจ โดนใจไปหมดเลย
มีแต่ของที่ต้องมี ก็มันดีจนเลือกไม่ไหว
นั่นก็ชอบ นี่ก็ใช่ มีอะไรอยากทำตั้งเยอะ พลาดไปได้ไง
โลกส่วนตัว ก็ต้องการ จนลืมว่าฉันมีใคร อยู่ข้างๆ กัน

เกลียดนักคนหลายใจ ทำไมเป็นคนแบบนี้
เก่งนักเรื่องหลายใจ พอเธอจะไปก็รู้ตัวเองซักที

ที่จริงนะมีแค่เธอเท่านั้นที่หัวใจฉันมันต้องมี
Baby only you can make my day so complete
กลับมาให้ฉันได้รักเธอ จากนี้ฉันจะไม่ลืมเธอ
ไม่มีอะไรจำเป็นอีกแล้ว แค่เธอคนนี้

คนที่ใจต้องมี

พอแล้วกับของที่มันต้องมี มันมีอยู่จริงที่ไหน
อะไรที่มีก็คงไม่พอถ้าเราไม่พอใช่ไหม
เงินทองมากมายเท่าไรเท่าไรก็คงไม่มีความหมาย
เงินในบัญชี มันคงจะดี ถ้ามีเธอช่วยใช้

เกลียดนักคนหลายใจ ทำไมเป็นคนแบบนี้
เก่งนักเรื่องหลายใจ พอเธอจะไปก็รู้ตัวเองสักที

ที่จริงนะมีแค่เธอเท่านั้นที่หัวใจฉันมันต้องมี
Baby only you can make my day so complete
กลับมาให้ฉันได้รักเธอ จากนี้ฉันจะไม่ลืมเธอ
ไม่มีอะไรจำเป็นอีกแล้ว แค่เธอคนนี้

กลับมาให้ฉันได้รักเธอ จากนี้ฉันจะไม่ลืมเธอ
ไม่มีอะไรจำเป็นอีกแล้ว แค่เธอคนนี้
Baby only you can make my day so complete oh

คนที่ใจต้องมี

Baby only you can make my day so complete oh",nont_tanont
เกินมาตรฐาน,/music/thailyric/10396,"ไม่ต้องหาคำตอบ คงไม่มีหวังจะพบทางออก
ไม่ต้องให้ใครเขามาคอยบอก คนที่จะรักฉันคงไม่มี
แล้วเธอก็เข้ามา ล่องลอยจากฟ้ามอบรักดีๆ
ก็ไม่เคยคิดว่าฉันจะมี คนดีอย่างนี้เข้ามารักกัน

ถึงมองไม่เห็นรักเธอด้วยตา แต่รับรู้ด้วยใจฉัน
รักที่เธอให้กัน มันสำคัญเหนืออื่นใด

อย่างกับความฝันทั้งที่กำลังตื่น ก็ในวันนี้มีเธอนั้นใกล้ๆ
ใจเธอที่แสนอบอุ่น รักฉันไม่มีเบื่อหน่าย ทำให้ฉันรู้สึกดี
เธอคือความฝันตอนฉันกำลังตื่น ได้ยืนตรงนี้มีเธออยู่ข้างกาย
เกินมาตรฐานในใจ ที่เคยฝันไว้ตั้งมากมาย ก็เธอดีเกินมาตรฐาน

รักกันด้วยหัวใจ ดูแลห่วงใยกันทุกเวลา
อยากบอกกับฟ้าที่เธอลงมา
ขอบคุณมากนะ ให้เราเจอกัน

ถึงมองไม่เห็นรักเธอด้วยตา แต่รับรู้ด้วยใจฉัน
รักที่เธอให้กัน มันสำคัญเหนืออื่นใด

อย่างกับความฝันทั้งที่กำลังตื่น ก็ในวันนี้มีเธอนั้นใกล้ๆ
ใจเธอที่แสนอบอุ่น รักฉันไม่มีเบื่อหน่าย ทำให้ฉันรู้สึกดี
เธอคือความฝันตอนฉันกำลังตื่น ได้ยืนตรงนี้มีเธออยู่ข้างกาย
เกินมาตรฐานในใจ ที่เคยฝันไว้ตั้งมากมาย ก็เธอดีเกินมาตรฐาน

อย่างกับความฝันทั้งที่กำลังตื่น ก็ในวันนี้มีเธอนั้นใกล้ๆ
ใจเธอที่แสนอบอุ่น รักฉันไม่มีเบื่อหน่าย ทำให้ฉันรู้สึกดี
(เธอคือความฝันตอนฉันกำลังตื่น ได้ยืนตรงนี้มีเธออยู่ข้างกาย)
เกินมาตรฐานในใจ ที่เคยฝันไว้ตั้งมากมาย ก็เธอดีเกิน ก็เธอดีเกิน
ก็เธอดีเกินมาตรฐาน",nont_tanont
คนข้างๆ ที่รักเธอ,/music/thailyric/18120,"สิ่งที่ไม่เห็น ซ่อนในสายตา
ที่ไม่ได้ยิน เอ่ยอยู่ในใจ
ต่อให้เราสอง ใกล้กันเท่าไร
แต่ยังไกลใจเธอเท่าเดิม

ฉันไม่รู้จะทำอย่างไร ให้เธอเข้าใจ
ว่าฉันรู้สึกกับเธอ รักเธอขนาดไหน
ได้แต่คอยห่วงใย แอบคอยดูแลเรื่อยไป
สวรรค์ให้ฉันได้ทำเพียงเท่านี้

แม้รักเท่าไร ฉันรู้ว่าคงไม่นานต้องปล่อยความรักนี้ไป
เพราะฉันเป็นเพียงบางคนที่ผ่านมาแล้วผ่านไป
ไม่เคยมีความหมายกว่านั้น แค่เพียงคนข้างๆ ที่รักเธอ

ได้แต่นับเวลาที่มันถดถอยเรื่อยไป
ฉันเหลือเวลาแค่ไหน ที่จะรักเธอคนนี้
คงไม่มีเวทย์มนต์ ไม่มีอำนาจใด
เปลี่ยนใจของเธอให้มองมาที่ฉัน

แม้รักเท่าไร ฉันรู้ว่าคงไม่นานต้องปล่อยความรักนี้ไป
เพราะฉันเป็นเพียงบางคนที่ผ่านมาแล้วผ่านไป
ไม่เคยมีความหมายกว่านั้น แค่เพียงคนข้างๆ ที่รักเธอ

ทุกๆ ภาพทรงจำ
จะยังมีเธอสวยงามเสมอ ตลอดไป

แม้รักเท่าไร ฉันรู้ว่าคงไม่นานต้องปล่อยความรักนี้ไป
เพราะฉันเป็นเพียงบางคนที่ผ่านมาแล้วผ่านไป
ฉันคงมีความหมายแค่นั้น แค่เพียงคนข้างๆ ที่รักเธอ",nont_tanont
คนละไม้คนละมือ,/music/thailyric/20973,"ยามฟ้ามัวหม่น มืดและมัวหมองทุกแห่ง
แต่ละคนใช้ชีวิต ด้วยจิตใจที่หมดหวังโรยรา และสิ้นแรง

ไม่ใช่เธอคนเดียวลำพังที่น่าเห็นใจ
แต่มันยังมีคนมากมายในทุกหนแห่ง
ที่เป็นเพื่อนทุกข์ และสู้วันนี้ด้วยกัน
แต่มีเธอและฉัน เราจะประคองร่วมกันไป ไม่หมดแรง

คนละไม้คนละมือมาช่วยกัน
คนละครั้งคนละอันก็แบ่งไป
คนละใจคนละรักคนละแรง
ด้วยใจที่พร้อมจะมีแต่ให้ และแบ่งปัน

คนเป็นคนมีน้ำใจคือให้เป็น
มีกำลังให้เท่าไรก็ให้เท่านั้น
จะผ่านพ้นไปด้วยกัน
ฟ้าต้องกลับมาใส เหมือนเดิม

มีน้อยมีมาก ไม่ได้มีความหมายเท่าไร
อยู่ที่ใจเราเอง ที่อยากทำให้โลกสวยเพียงใด ไม่ใช่ใคร

\ ไม่ใช่เธอคนเดียวลำพังที่น่าเห็นใจ
แต่มันยังมีคนมากมายในทุกหนแห่ง
ที่เป็นเพื่อนทุกข์ และสู้วันนี้ด้วยกัน
แต่มีเธอและฉัน เราจะประคองร่วมกันไป ไม่หมดแรง

คนละไม้คนละมือมาช่วยกัน
คนละครั้งคนละอันก็แบ่งไป
คนละใจคนละรักคนละแรง
ด้วยใจที่พร้อมจะมีแต่ให้ และแบ่งปัน

คนเป็นคนมีน้ำใจคือให้เป็น
มีกำลังให้เท่าไรก็ให้เท่านั้น
จะผ่านพ้นไปด้วยกัน
ฟ้าต้องกลับมาใส เหมือนเดิม

คนละไม้คนละมือมาช่วยกัน
คนละครั้งคนละอันก็แบ่งไป
คนละใจคนละรักคนละแรง
ด้วยใจที่พร้อมจะมีแต่ให้ และแบ่งปัน

คนเป็นคนมีน้ำใจคือให้เป็น
มีกำลังให้เท่าไรก็ให้เท่านั้น
จะผ่านพ้นไปด้วยกัน
ฟ้าต้องกลับมาใส เหมือนเดิม

(คนละไม้ คนละมือ)
(คนละรัก คนละแรง)",nont_tanont
ความรักกำลังก่อตัว,/music/thailyric/15200,"เพียงได้คุยเพียงได้สบสายตา
วันเวลาอันตรธานหายไป
ทุกอย่างต้องหยุดทันทีเมื่อฉันพบเธอ
ชัดแค่เธอ ทุกอย่างเบลอจากใจ

เจอกี่ครั้งที่เราได้ใกล้กัน
เธอและฉันเหมือนมีแรงฉุดไว้
แต่ไม่มีใครยอมจะพูดคำลา
คล้ายว่ามันจะเป็นวันสุดท้าย

อาจเป็นเธอและฉันนั้น
Fall in love baby
มีอะไรเชื่อมเรา บางอย่าง
ทีละเล็กละน้อย ค่อยๆ เป็นภาพลางๆ
บวกความรักนั้นกำลังก่อตัว
อยู่ในใจฉันและเธอเข้าแล้ว

เก็บความรู้สึกไว้สักวันก็คงได้บอก รักเธอ
คงไม่นานคงจะมีเวลาดีๆ ให้สองเรา
You will be my love

จะกี่ครั้งที่เราได้พูดคุย
เหมือนว่าเราไม่พบกันนานแค่ไหน
ไม่อยากจะหยุดฟังเสียงของเธอ
เพราะเธอเหมือนเสียงเพลงที่ถูกใจ

ฉันอยากรู้เมื่อไรความรักนั้น
จะทำฉันและเธอทนไม่ไหว
อยากบอกให้เธอฟังให้รู้กันไป
เดี๋ยวนานกลัวเธอจะเปลี่ยนใจ

อาจเป็นเธอและฉันนั้น
Fall in love baby
มีอะไรเชื่อมเรา บางอย่าง
ทีละเล็กละน้อยค่อยๆ เป็นภาพลางๆ
บวกความรักนั้นกำลังก่อตัว
อยู่ในใจฉันและเธอเข้าแล้ว

เก็บความรู้สึกไว้สักวันก็คงได้บอก รักเธอ
คงไม่นานคงจะมีเวลาดีๆ ให้สองเรา
You will be my love

เก็บความรู้สึกไว้สักวันก็คงได้บอก รักเธอ
คงไม่นานคงจะมีเวลาดีๆ ให้สองเรา
You will be my love

You know you make me feel brand new
อยากให้ไปถึงวันที่สองเรารักกัน

เก็บความรู้สึกไว้สักวันก็คงได้บอก รักเธอ
คงไม่นานคงจะมีเวลาดีๆ ให้สองเรา
Will you be my love baby

เก็บความรู้สึกไว้สักวันก็คงได้บอก รักเธอ
รักเธอ รักเธอ Baby
คงไม่นานคงจะมีเวลาดีๆ ให้สองเรา
You will be my love baby

เก็บความรู้สึกไว้สักวันก็คงได้บอก รักเธอ
คงไม่นานคงจะมีเวลาดีๆ ให้สองเรา
You will be my love baby",nont_tanont
