song_name,href,lyric,artist
อยากมีใครสักคนให้กอด,/music/thailyric/5807,"ฟ้ามืดลงแล้ว ต้องอยู่บ้านเพียงคนเดียว
หากตัวร้อนจะทำยังไง
ไม่มีใครเลย ไม่มีใครห่วงใยใกล้ใกล้
ต้องเหงาจนไม่สบายอย่างนี้

ฝนก็ตกทั้งคืน ฉันจะหลับได้ไง
มันหนาว ไม่รู้จะทำอย่างไร

อยากมีใครสักคนให้กอด ให้ฉันได้อุ่นใจ
ไม่นอนหนาว ไม่ต้องเปล่าเปลี่ยวเกินไป
อยากมีใคร ที่ห่วงฉันจริงจริงไม่จากไปไหน
เมื่อยามฉันไม่สบาย ก็คอยเฝ้าดูไม่เคยห่างไกล

นอนกอดตัวเอง ต้องข่มใจไปคนเดียว
หลับตาแล้ว แต่ใจเรียกร้อง
มีสักคนไหม ได้ยินเสียงหัวใจฉันร้อง
และเข้ามาเป็นเจ้าของใจฉัน

ฝนก็ตกทั้งคืน ฉันจะหลับได้ไง
มันหนาว ไม่รู้จะทำอย่างไร

อยากมีใครสักคนให้กอด ให้ฉันได้อุ่นใจ
ไม่นอนหนาว ไม่ต้องเปล่าเปลี่ยวเกินไป
อยากมีใคร ที่ห่วงฉันจริงจริงไม่จากไปไหน
เมื่อยามฉันไม่สบาย ก็คอยเฝ้าดูไม่เคยห่างไกล

อยากมีใครสักคนให้กอด ให้ฉันได้อุ่นใจ
ไม่นอนหนาว ไม่ต้องเปล่าเปลี่ยวเกินไป
อยากมีใคร ที่ห่วงฉันจริงจริงไม่จากไปไหน
เมื่อยามฉันไม่สบาย ก็คอยเฝ้าดูไม่เคยห่างไกล
และคอยเข้าใจไม่ว่าวันไหน

อยากมีสักคนไว้กอด คืนนี้",noona_nuengthida
เชือกผูกรองเท้า,/music/thailyric/8901,"ก็เช้าวันนี้นั่งผูกเชือกรองเท้า
ทำให้ฉันคิดถึงเรื่องระหว่างเรา
คิดถึงวันที่ผ่าน ของฉันและเธอ

สมมุติให้ฉันเป็นปลายเชือกด้านนึง
แล้วก็ให้เธอเป็นปลายอีกด้านนึง
และเมื่อเริ่มต้นผูก เหมือนเริ่มคบกัน

เธอมาทางซ้าย ฉันไปขวา 
วนไปวกมา แล้วก็เจอ
ความรักเกิดเมื่อสองคน พร้อมที่จะเข้าใจ
อาจยิ้มอาจต้องร้องไห้ สุดท้ายเราก็รัก รักกัน

วันนี้พรุ่งนี้จะมีเธอกับฉัน
เหมือนเชือกรองเท้าที่หลุดออกจากกัน
ก็มัดมันได้ใหม่ สบายสบาย

เธอมาทางซ้าย ฉันไปขวา 
วนไปวกมา แล้วก็เจอ
ความรักเกิดเมื่อสองคน พร้อมที่จะเข้าใจ
อาจยิ้มอาจต้องร้องไห้ สุดท้ายเราก็รัก รักกัน

รักต้องมีทะเลาะ ต้องมีบางวัน ที่คิดไม่เหมือนกันบ้าง
แต่ถ้าเราให้อภัย yeah! ความรักก็ไม่เจือจาง right!

รักต้องมีทะเลาะ ต้องมีบางวัน ที่คิดไม่เหมือนกันบ้าง
แต่ว่ายังไงยังไง yeah! ก็เจอกันที่ปลายทาง right!

เธอมาทางซ้าย ฉันไปขวา 
วนไปวกมา แล้วก็เจอ
ความรักเกิดเมื่อสองคน พร้อมที่จะเข้าใจ
อาจยิ้มอาจต้องร้องไห้ สุดท้ายเราก็รัก รักกัน

ความรักเกิดเมื่อสองคน พร้อมที่จะเข้าใจ
อาจยิ้มอาจต้องร้องไห้ สุดท้ายเราก็รัก รักกัน",noona_nuengthida
ไม่จบไม่ใช่ไม่เจ็บ,/music/thailyric/9003,"มือที่กุมมือฉัน เพิ่งรู้ไม่ใช่ของฉัน
แขนที่ฉันต้องการ ต้องคืนไปให้เขา
เธอสงสารฉันไหม ที่ไม่รู้เรื่องราว
ยื้อทำไมผู้หญิงตัวเปล่า ที่ไม่มีตัวตน

ไม่จบมันไม่ได้แปลว่าฉันไม่เจ็บ
ยิ่งเธอเก็บฉันไว้ก็ยิ่ง ทรมาน
เรื่องราวที่มันผ่านมา รู้ไว้ว่ามันสำคัญ
มันไม่ได้ผิดที่เรามีกันและกัน แค่ผิดที่มาช้าไป

แค่ปล่อยมือของฉัน แล้วฉันจะจำเก็บไว้
ว่าฉันมีเพื่อนใหม่ ในวันที่ฉันเหงา
ไม่สงสารฉันบ้างเลยเหรอ วันที่รู้เรื่องราว
แล้วสงสารเขาบ้างหรือเปล่า เขาที่เป็นตัวจริง

ไม่จบมันไม่ได้แปลว่าฉันไม่เจ็บ
ยิ่งเธอเก็บฉันไว้ก็ยิ่ง ทรมาน
เรื่องราวที่มันผ่านมา รู้ไว้ว่ามันสำคัญ
มันไม่ได้ผิดที่เรามีกันและกัน แค่ผิดที่มาช้าไป

ฉันขอพูดคำสุดท้าย
ขอบใจที่รักกัน มันช่างมากมาย
เก็บเรื่องเราไว้ ไม่ต้องให้เขาได้รู้
สัญญาว่าฉันจะอยู่ อยู่เพียงลำพัง กับใจสลาย

ไม่จบมันไม่ได้แปลว่าฉันไม่เจ็บ
รู้ไหมยิ่งเก็บฉันไว้มันยิ่ง ทรมาน
ไม่ต้องกลับมาได้ไหม แค่หัวใจไม่สำคัญ
ฉันขอยอมเป็นคนที่เธอไม่ต้องการ ต่อจากนี้ไป",noona_nuengthida
รักแท้แค่หนึ่งคน,/music/thailyric/8267,"ถ้ามีใครสักคนไม่ดี
ก็คงเลือกได้สักทีว่าฉันต้องรักใคร
ไม่ต้องฝืนหัวใจ ไม่ต้องมีเยื่อมีใย
และตัดใจได้ง่ายไม่ต้องเจ็บ

เพราะความจริงคือเธอแสนดี
และเขาไม่ใช่ไม่ดี ไม่กล้าตัดสินใจ
อยากบอกรักให้ใคร
แต่บอกไม่ได้จริงจริง
ทำไมผู้หญิงคนนี้ยังอ่อนแอ

อยากมีรักแท้แค่หนึ่งคน
จะค้นเจอหรือเปล่า
ถ้าขาดเธอก็เหงา ถ้าขาดเขาก็ขาดใจ

ถ้าหากต้องรักใครสักคน
ต้องค้นจนเหนื่อยหัวใจ
เลือกก็เจ็บไม่เลือกก็เจ็บ
อยากรักใครโดยไม่มีใครเจ็บ

ถ้ามีใครสักคนต้องไป
ก็อาจจะต้องเสียใจเพราะใจไม่แข็งพอ
การมีคนเฝ้ารอ และให้ต้องเลือกสักคน
มันสับมันสนจนแทบทนไม่ไหว

อยากมีรักแท้แค่หนึ่งคน
จะค้นเจอหรือเปล่า
ถ้าขาดเธอก็เหงา ถ้าขาดเขาก็ขาดใจ

ถ้าหากต้องรักใครสักคน
ต้องค้นจนเหนื่อยหัวใจ
เลือกก็เจ็บไม่เลือกก็เจ็บ
อยากรักใครโดยไม่มีใครเจ็บ

อยากมีรักแท้แค่หนึ่งคน
จะค้นเจอหรือเปล่า
ถ้าขาดเธอก็เหงา ถ้าขาดเขาก็ขาดใจ

ถ้าหากต้องรักใครสักคน
ต้องค้นจนเหนื่อยหัวใจ
เลือกก็เจ็บไม่เลือกก็เจ็บ
อยากรักใครโดยไม่มีใครต้องเจ็บ

ถ้าหากต้องเลือกใคร ก็เสียใจทั้งสามคน",noona_nuengthida
เลิฟ เมจิก (Love Magic),/music/thailyric/8534,"โอะๆๆๆ โอม โอม wink! wink! wink!
โอะๆๆๆ โอม โอม wink! wink! wink! เพี้ยง!
la lal la la love love la lal la la love love
la lal la lal la la love me too, อู้วว์!
la lal la la love love la lal la la love love
la lal la lal la It's love magic!

หากมีเวทมนตร์ได้ดั่งใจ จะเสกให้คนมีแต่รักกัน
ให้เธอหนะหันมาซึ้งกับฉันสักที ก็เธอนั้นชอบเอาแต่ใจ
ขัดอยู่ได้ไม่ยอมเลยแบบนี้
อยากบังคับให้เธอมายอมเชื่อฟัง ได้ไหม

แบบมัน Falling in love with you
เธอจะรู้หัวใจกันเมื่อไหร่ เบื่อทะเลาะกันแล้วหละนะ
เปลี่ยนเป็นรักกันดีกว่าไหม อย่าทำดื้อดึงอีกเลย นะเธอ

โอะๆๆ โอม wink! wink! เสกให้เธอมาปิ๊ง ปิ๊ง
ให้ฉันเป็น your girl เธอเป็น my boy
ร่ายมนตร์ lal la lal la lal love me too, ooh!
คงดีถ้ามีเธอคอยรู้ใจ

โอะๆๆ โอม wink! wink! เสกให้เราไม่ทิ้ง ทิ้ง
Forever love ผูกขาดกันเลยไง
บอกรักกับฉันก่อนสิ บอกให้ชื่นใจ
แล้วฉันจะพูดว่า I love you

la lal la la love love la lal la la love love
la lal la lal la la love me too, อู้วว์!
la lal la la love love la lal la la love love
la lal la lal la It's love magic!

ไม่มีเวทมนตร์ใดจะดี เท่ากับรักที่เรามีให้กัน
ให้โลกนั้นหมุนไปพร้อมกับฉันและเธอ
เธอไม่ใช้อารมณ์กับฉัน บอกเลยฉันก็จะไม่วีนเยอะ
โอเคไหม จะทำตัวดีกับเธอ เหมือนกัน

แบบมัน Falling in love with you
เธอจะรู้หัวใจกันเมื่อไหร่ เบื่อทะเลาะกันแล้วหละนะ
เปลี่ยนเป็นรักกันดีกว่าไหม อย่าทำดื้อดึงอีกเลย นะเธอ

โอะๆๆ โอม wink! wink! เสกให้เธอมาปิ๊ง ปิ๊ง
ให้ฉันเป็น your girl เธอเป็น my boy
ร่ายมนตร์ lal la lal la lal love me too, ooh!
คงดีถ้ามีเธอคอยรู้ใจ

โอะๆๆ โอม wink! wink! เสกให้เราไม่ทิ้ง ทิ้ง
Forever love ผูกขาดกันเลยไง
บอกรักกับฉันก่อนสิ บอกให้ชื่นใจ
แล้วฉันจะพูดว่า I love you

แบบมัน Falling in love with you
เธอจะรู้หัวใจกันเมื่อไหร่ เบื่อทะเลาะกันแล้วหละนะ
เปลี่ยนเป็นรักกันดีกว่าไหม อย่าทำดื้อดึงอีกเลย นะเธอ

โอะๆๆ โอม wink! wink! เสกให้เธอมาปิ๊ง ปิ๊ง
ให้ฉันเป็น your girl เธอเป็น my boy
ร่ายมนตร์ lal la lal la lal love me too, ooh!
คงดีถ้ามีเธอคอยรู้ใจ

โอะๆๆ โอม wink! wink! เสกให้เราไม่ทิ้ง ทิ้ง
Forever love ผูกขาดกันเลยไง
บอกรักกับฉันก่อนสิ บอกให้ชื่นใจ
แล้วฉันจะพูดว่า I love you

la lal la la love love la lal la la love love
la lal la lal la la love me too, อู้วว์!
la lal la la love love la lal la la love love
la lal la lal la It's love magic!",noona_nuengthida
หายใจเข้าก็ยังรอ หายใจออกก็ยังจำ,/music/thailyric/8781,"พบเจอกับรอยยิ้มใคร ไม่รู้สึกแบบยิ้มเธอ
พอไม่พบไม่เจอ ถึงรู้ตัวว่ารักเธอใช่ไหม
เรื่องราวดีๆ ของเธอ ไม่เคยจะจากไปไหน
ก็ไม่รู้ทำไมมองเห็นเธอในหัวใจทุกวัน

ไม่ว่าพยายามแค่ไหนมันก็ไม่ลืม
ทุกวินาทีที่ตื่นภาพเธอวนเวียนในใจ
แม้แต่ตอนที่หลับในฝันก็ยังเป็นเธอ

หายใจเข้าก็ยังรอ หายใจออกก็ยังจำ
เสียงเธอที่บอกรักกันทุกคำ ดังชัดเจนอยู่เหมือนเคย
ถามตัวเองลืมได้ไหม หัวใจตอบว่าไม่ได้เลย
ไม่รู้เธออยู่ที่ไหน รู้ไหมมีใครคิดถึงทุกลมหายใจ

หลายทีอยากลองคบใคร เหมือนใจมันไม่เชื่อฟัง
ยังลึกซึ้งเพียงเธอ ยังไม่ยอมจะสนใครทั้งนั้น
ยิ่งนานก็ยิ่งรู้ดี ไม่มีวันที่ใจฉันจะหยุดรักเธอเลย
หยุดรักเธอ คงต้องหยุดหายใจ

ไม่ว่าพยายามแค่ไหนมันก็ไม่ลืม
ทุกวินาทีที่ตื่นภาพเธอวนเวียนในใจ
แม้แต่ตอนที่หลับในฝันก็ยังเป็นเธอ

หายใจเข้าก็ยังรอ หายใจออกก็ยังจำ
เสียงเธอที่บอกรักกันทุกคำ ดังชัดเจนอยู่เหมือนเคย
ถามตัวเองลืมได้ไหม หัวใจตอบว่าไม่ได้เลย
ไม่รู้เธออยู่ที่ไหน รู้ไหมมีใครคิดถึงทุกลมหายใจ

หายใจเข้าก็ยังรอ หายใจออกก็ยังจำ
เสียงเธอที่บอกรักกันทุกคำ ดังชัดเจนอยู่เหมือนเคย
ถามตัวเองลืมได้ไหม หัวใจตอบว่าไม่ได้เลย
ไม่รู้เธออยู่ที่ไหน รู้ไหมมีใครคิดถึงทุกลมหายใจ",noona_nuengthida
โอนลี ยู (Only You),/music/thailyric/8715,"Only only you ฉันรู้แล้วว่า
เธอคือคนที่ฟ้าส่งมา ใช่ไหม
รักเธอ ฟังไว้ Only only you

ตื่นมาอย่างอ้างว้าง หลับไปกับความเหงา
ได้ยินเพียงแผ่วเบา แต่เสียงใจตัวเองทุกเวลา
พอวันหนึ่ง ที่เธอผ่านเข้ามา
เลยลองพูดคุยไปแก้เหงา

แต่กลับแปลกๆ นะ
ยิ่งเจอยิ่งลึกซึ้ง อยู่ห่างก็คิดถึง
โลกของคนๆ หนึ่ง เริ่มไม่เหมือนเก่า
จากนึกถึงตัวเราก่อน ตอนนี้นึกถึงเธอก่อนใครทุกคน

Only only you เธอรู้หรือเปล่า
มีแต่เธอเท่านั้น ทุกเช้าที่ฉันตื่น
ฝันดีทุกคืน เธอมานั่งในใจ

Only only you ฉันรู้แล้วว่า
เธอคือคนที่ฟ้าส่งมาใช่ไหม
รักเธอ ฟังไว้
ทุกห้องใจฉันมี Only only you

เธอดีเกินคำไหน ใส่ใจและอ่อนหวาน
มันทำให้ตัวฉัน หยุดค้นหา รอคอย
ไม่อยากเชื่อเลย กลับมาค้นใจตัวเอง
เป็นเธอคนเดียวจริงๆ เต็มหัวใจ

Only only you เธอรู้หรือเปล่า
มีแต่เธอเท่านั้น ทุกเช้าที่ฉันตื่น
ฝันดี ทุกคืน เธอมานั่งในใจ

Only only you ฉันรู้แล้วว่า
เธอคือคนที่ฟ้าส่งมาใช่ไหม
รักเธอ ฟังไว้
ทุกห้องใจฉันมี Only only you

Only only you เธอรู้หรือเปล่า
มีแต่เธอเท่านั้น ทุกเช้าที่ฉันตื่น
ฝันดี ทุกคืน เธอมานั่งในใจ

Only only you ฉันรู้แล้วว่า
เธอคือคนที่ฟ้าส่งมาใช่ไหม
รักเธอ ฟังไว้
ทุกห้องใจฉันมี

Only only you เธอรู้หรือเปล่า
มีแต่เธอเท่านั้น ทุกเช้าที่ฉันตื่น
ฝันดีทุกคืน เธอมานั่งในใจ

Only only you ฉันรู้แล้วว่า
เธอคือคนที่ฟ้าส่งมาใช่ไหม
รักเธอ ฟังไว้
ทุกห้องใจฉันมี Only only you",noona_nuengthida
ฮูลาฮูป (Hula Hoop),/music/thailyric/8629,"ใจมันได้แต่ร้องๆ มันไม่มีคนประคอง อยากจะมีใครข้างๆ
อยากชวนบางคน มาควบคุมหัวใจ Hoo Shake it!

Hula Hoop la Hoop la Hoop la Hulala
Ah Hoop la Hula Hoop la Hula Hulala (Hula Hoop)
Hula Hoop la Hoop la Hoop la Hulala
Ah Hoop la Hula Hoop la Hula Hulala

One and two and three and four
หมุนหัวใจ ไปคนเดียว ไม่เห็นมันจะสนุก
One and two and three and four
จะเขยิบ จะขยับ เหงาเล่นงานใจไม่หยุด

มาเติมสีสัน เอาหัวใจเรามาเกี่ยวกันไหม นะๆ อ๊ะ
อย่า อย่าช้า พร้อมแล้วเรามาเหวี่ยง ด้วยกัน
One two three four

ส่งใจไปหมุนรอบเธอ ให้เธอส่งรัก
กลับมาหมุนรอบฉันหน่อย
มามะ มา ชิดๆ กัน มา Shake Shake กัน
ให้ Enjoy Yeah Yeah

ส่ายเอวส่ายรักกันเหอะ
ทำตัวน่ารัก ให้ฉันคึกคักอีกหน่อย
ให้รักเรานั้นหมุนวน ห้ามทำมันหล่นหละ Ok

One and two and three and four
หมุนหัวใจ ไปด้วยกัน ฉันว่าเข้าจังหวะออก
One and two and three and four
ฉันจะอยู่ คอยเป็นห่วง ให้เธอควงไปตลอด

มาเติมสีสัน เอาหัวใจเรามาเกี่ยวกันไหม นะๆ อ๊ะ
อย่า อย่าช้า พร้อมแล้วเรามาเหวี่ยง ด้วยกัน
One two three four

ส่งใจไปหมุนรอบเธอ ให้เธอส่งรัก
กลับมาหมุนรอบฉันหน่อย
มามะ มา ชิดๆ กัน มา Shake Shake กัน
ให้ Enjoy Yeah Yeah

ส่ายเอวส่ายรักกันเหอะ
ทำตัวน่ารัก ให้ฉันคึกคักอีกหน่อย
ให้รักเรานั้นหมุนวน ห้ามทำมันหล่นหละ Ok

Hula Hoop la Hoop la Hoop la Hulala
Ah Hoop la Hula Hoop la Hula Hulala (Hula Hoop)
Hula Hoop la Hoop la Hoop la Hulala
Ah Hoop la Hula Hoop la Hula Hulala

มา มาๆ คล้องใจกันหน่อยน่า มา มะมา Happy
เหวี่ยงได้อีก เหวี่ยงกันได้อีก เต็มที่เต็มที่ Hey
มา มาๆ คล้องใจมาสิ ฉันจะไม่หนี ขอแค่เธอไม่ชิ่ง
ไม่เห็นยากตรงไหน รักให้เหมือนเล่น เล่นฮูลาฮูป
Hey Shake it

ส่งใจไปหมุนรอบเธอ ให้เธอส่งรัก
กลับมาหมุนรอบฉันหน่อย
มามะ มา ชิดๆ กัน มา Shake Shake กัน
ให้ Enjoy Yeah Yeah

ส่ายเอวส่ายรักกันเหอะ
ทำตัวน่ารัก ให้ฉันคึกคักอีกหน่อย
ให้รักเรานั้นหมุนวน ห้ามทำมันหล่นหละ Ok

Hula Hoop la Hoop la Hoop la Hulala
Ah Hoop la Hula Hoop la Hula Hulala (Hula Hoop)
Hula Hoop la Hoop la Hoop la Hulala
Ah Hoop la Hula Hoop la Hula Hulala",noona_nuengthida
เพลงหนึ่ง คิดถึงกัน,/music/thailyric/9603,"วันที่เราจำต้องไกลห่าง
เมื่อฉันไม่มีเธออยู่ข้างกัน
ความห่างไกลทำให้ไหวหวั่น
ความเหงามันมาเยือนอยู่เรื่อยไป

แต่ทุกครั้งได้ยินเพลงนั้น
บทเพลงที่เราฟังด้วยกัน
หัวใจก็ล่องลอยไป
เหมือนมีอุ่นไอของเธอ

เธอจะรู้ไหมมีเพลงหนึ่ง ได้ยินมันเมื่อไหร่
ก็ยังคิดถึงแค่เธอ
และไม่รู้ต้องนานเท่าไหร่ ที่เราจะได้เจอ
ที่จะได้มีเธอข้างข้างกัน

เธอจะรู้ไหมมีคนหนึ่ง คิดถึงเธอเท่าไร
ก็ยังคิดถึงอยู่ทุกวัน
ถ้าความรักที่เธอมีอยู่ ก็เหมือนกันกับใจฉัน
แค่อยากจะฟัง เธอคิดถึงกันบ้างไหม

แค่ได้รู้เธอนั้นรออยู่
แค่รู้มันก็คงอุ่นหัวใจ
นานเท่าไรฉันก็ทนได้
ไม่เหงามากเกินไปกว่าที่เคย

แต่ทุกครั้งได้ยินเพลงนั้น
บทเพลงที่เราฟังด้วยกัน
หัวใจก็ล่องลอยไป
เหมือนมีอุ่นไอของเธอ

เธอจะรู้ไหมมีเพลงหนึ่ง ได้ยินมันเมื่อไร
ก็ยังคิดถึงแค่เธอ
และไม่รู้ต้องนานเท่าไหร่ ที่เราจะได้เจอ
ที่จะได้มีเธอข้างข้างกัน

เธอจะรู้ไหมมีคนหนึ่ง คิดถึงเธอเท่าไร
ก็ยังคิดถึงอยู่ทุกวัน
ถ้าความรักที่เธอมีอยู่ ก็เหมือนกันกับใจฉัน
แค่อยากจะฟัง เธอคิดถึงกันบ้างไหม

เธอจะรู้ไหมมีคนหนึ่ง คิดถึงเธอเท่าไร
ก็ยังคิดถึงอยู่ทุกวัน
ถ้าความรักที่เธอมีอยู่ ก็เหมือนกันกับใจฉัน
แค่อยากจะฟัง เธอคิดถึงกันบ้างไหม...",noona_nuengthida
มีเธอ,/music/thailyric/9872,"ฉันไม่รู้จะเป็นอย่างไร
ถ้าฉันไม่มีเธออย่างนี้
ฉันก็คงหลงทาง กำลังใจหายไปทุกที
ไม่มีใคร ไม่มีเลย

ฉันไม่รู้จะเป็นอย่างไร
วันที่ใจฉันนั้นเหน็บหนาว
รักที่เธอให้มามันมาแทนที่ความว่างเปล่า
อบอุ่นในใจ เมื่อฉันมีเธอ

รู้ไหมรักของเธอนั้นคือคำตอบ
ทำให้คนอย่างฉันได้พบความหมาย
รักที่ฉันสัมผัสรับรู้ได้ด้วยใจ
เธอยังคงมีหัวใจที่แท้จริง

ถึงพรุ่งนี้จะเป็นอย่างไร
ใจฉันคงจะไม่อ้างว้าง
รักที่ใจของเธอ คอยนำทางให้แสงสว่าง
เมื่อมีเธอ เข้ามาในใจ

รู้ไหมรักของเธอนั้นคือคำตอบ
ทำให้คนอย่างฉันได้พบความหมาย
รักที่ฉันสัมผัสรับรู้ได้ด้วยใจ
เธอยังคงมีหัวใจที่แท้จริง

ฉันไม่รู้จะเป็นอย่างไร
วันที่ใจฉันนั้นเหน็บหนาว
รักที่เธอให้มามันมาแทนที่ความว่างเปล่า
อบอุ่นในใจ เมื่อฉันมีเธอ

ฉันได้มาพบเธอ เธอคือความรักที่ยิ่งใหญ่
อบอุ่นในใจ เมื่อฉันมีเธอ",noona_nuengthida
