song_name,href,lyric,artist
Bye (ลา),/music/thailyric/23590,"คงถึงเวลา ที่เราต้องจากกัน
คงถึงเวลา ที่เราต้องร่ำลา
คงถึงเวลา หยุดความสัมพันธ์
คงถึงเวลา ที่เราต้องเอยลา
ระหว่างที่ไม่มีฉัน อย่าลืมดูแลตัวเองให้ดี

ในวันที่พักผ่อนน้อย กลับจากทำงานก้รีบเข้านอน
ในวันที่อากาศหนาว อย่าลืมใส่เสื้อกันหนาวหนาๆ
ในวันที่อากาศร้อน อย่าลืมอาบน้ำใส่เสื้อสบายๆ
ในวันที่ฝนพรำ อย่าพยายามเดินตากฝนเดี๋ยวจะไม่สบาย
ในวันที่เธอป่วยกาย อย่าลืมทานยาให้ตรงเวลา
ในวันที่เธออ่อนล้า เอนกายพักใจให้คลายๆ
ในวันที่เธอมีน้ำตา ปลดปล่อยออกมาดั่งฝนพร่ำ

และต่อจากนี้ อยากจะขอให้เธอนั้นลืมไปเลย
ว่าเคยรักคนอย่างฉัน

ไม่ต้องรอ เพราะฉันไม่เป็นคนที่ดีพอ
ไม่ต้องรอ มีใครเข้ามาก็เพียงเปิดหัวใจให้เขาดู
จะได้รู้ ความรักที่เธอค้นหามานานแสนนาน
ว่าแท้จริงแล้ว ความรักที่เธอค้นหามานานแสนนาน
คงไม่ใช่ คนอย่างฉัน

คงถึงเวลา ที่เราต้องจากกัน
คงถึงเวลา ที่เราต้องร่ำลา
คงถึงเวลา หยุดความสัมพันธ์
คงถึงเวลา ที่เราต้องเอ่ยลา

ทุกสิ่งที่ผ่านเข้ามา
เป็นประสบการณ์ให้เธอพบวันที่ดี
เข้มแข็งนะนับจากนี้
ฉันรู้ว่าเธอจะเดินอย่างมั่นคง
สำเร็จดั่งเธอประสงค์
มีอนาคตที่เธอต้องการ

และต่อจากนี้
อยากจะขอให้เธอนั้นมีแต่ความสุขใจ
และขอให้เธอโชคดี
ขอให้เธอโชคดี
ขอให้เธอโชคดี
ขอให้เธอโชคดี
ขอให้เธอโชคดี
ขอให้เธอโชคดี
และขอให้เธอโชคดี
ขอให้เธอโชคดี
ขอให้เธอโชคดี",num_sitta
1 ชม.ก็นาน 1 ชม.ก็น้อย,/music/thailyric/19117,"นาฬิกาเดินนำ ใจเราเดินตาม
เข็มสั้นยาวหมุนไป แข่งกับความเข้มแข็งของใจ
แต่บางที นานไป จนฉันเริ่มอ่อนแรง
นานเหลือเกิน  กว่าจะพบเจอ

บางเวลารวดเร็ว ในเวลาเดียวกัน
ไม่ทันได้พูด ร่ำลา เวลาน้อยเกินไป
ต่อเวลาได้ไหม เพื่อเราอยู่ใกล้กัน

เหมือนว่านาน ใน 1 ชั่วโมง ที่ไม่ได้เจอ
คิดถึงเธอ อยากพบเธอ แทบขาดใจ
น้อยเหลือเกิน เวลาความสุขที่มี
ใน 60 นาที ที่มีเธอ

บางเวลารวดเร็ว ในเวลาเดียวกัน
ไม่ทันได้พูด ร่ำลา เวลาน้อยเกินไป
ต่อเวลาได้ไหม เมื่อฉันอยู่ใกล้เธอ

เหมือนว่านาน ใน 1 ชั่วโมง ที่ไม่ได้เจอ
คิดถึงเธอ อยากพบเธอ แทบขาดใจ
น้อยเหลือเกิน เวลาความสุขที่มี
ใน 60 นาที ที่มีเธอ

เหมือนว่านาน ใน 1 ชั่วโมง ที่ไม่ได้เจอ
คิดถึงเธอ อยากพบเธอ แทบขาดใจ
น้อยเหลือเกิน เวลาความสุขที่มี
ใน 60 นาที ที่มีเธอ

น้อยเหลือเกิน เวลาความสุขที่มี
ใน 60 นาที ที่มีเรา

เธอรู้สึกอย่างไร เธอรู้สึกอย่างไร
เธอรู้สึกอย่างไร เธอรู้สึกอย่างไร
เธอรู้สึกอย่างไร เธอรู้สึกอย่างไร
เธอรู้สึกอย่างไร เธอรู้สึกอย่างไร
เธอรู้สึกอย่างไร เธอรู้สึกอย่างไร
เธอรู้สึกอย่างไร เธอรู้สึกอย่างไร
เธอรู้สึกอย่างไร เธอรู้สึกอย่างไร
เธอรู้สึกอย่างไร เธอรู้สึกอย่างไร",num_sitta
For Broken You,/music/thailyric/21113,"รู้ว่าเธอเหนื่อย รู้ทุกค่ำคืน
เธอนอนร้องไห้อยู่คนเดียว
ถูกเลี้ยงดูดั่งแก้วที่แตก ถูกโยนมาในโลกเพอร์เฟก
เธอคงเหงาเศร้าใจสิ้นดี

If all those fake things make you cry
Lay your tiny hands on mine
I'll comfort you and make things right
Bring the sun back to your eyes

บนโลกอันวุ่นวาย เต็มเปี่ยมล้นด้วยความอนาถ
จิตวิญญาณถูกแทนด้วยพลาสติก
อย่าไปคิดให้มากเลย ชีวิตต้องเดินต่อ
อย่ามัวรีรอให้ความตายมาเยือน

หากวันไหนมีความสุข ก็ฉลองให้ตัวเองหน่อย
ผ่อนคลายตามประสา

หากวันไหนไร้ความสุข วันไหนที่อ่อนแอ
ตัวดูแลตัวเอง ให้ดี

All bad things that come to life
Are experience toward a better day (You're on your way)
Don't ever take your own life
Live at least for your family

Well I know that hard rain's gonna fall
Stay inside and be strong
Sing yourself some good songs
Stand upright and be strong

Don't ever take your own life
Live at least for your family
Don't ever take your own life
Live at least for your family

For your family",num_sitta
กัญชา,/music/thailyric/19883,"กัญชงกัญชายาดี สรรพคุณมากมายสารพันธ์
ความดงความดันก็ดี เจริญอาหารยิ้มละไมทั้งวัน
สุขเลิศสุขล้ำเหมือนฝัน ดั่งร่างกายลอยไปที่อวกาศ
ปลุกความคิดปลุกจินตนาการ วาจาฉะฉานเช่นนักปราชญ์

หากคุณเสพเกินขนาด
คุณจะเป็น ซุปตาร์ในซุ้มหญ้าคา
เดินคุยกับหมู่ไม้และใบหญ้า
พร่ำกลอนบอกรัก ควายทุย

กัญชงกัญชายาดี ไม่มีไม่มี ไม่เคยทำร้ายใคร
รักสงรักษาโรคมาก็เป็นปี มหัศจรรย์แค่ไหนทั่วโลกเขารู้ดี
กัญชงกัญชาคือพืชสวรรค์ชั้นดี ปลดสักทีเปิดให้เป็นเสรี
คงรออีกนานกับพวกเต่าล้านปี พูดวกไปวนมาไม่ปลดล็อกสักที

หากคุณเปิดให้เป็นเสรี
เราชาวฮิปปี้จะชื่นชม
เต้นรำบรรเลงให้รื่นรมย์
ยกคุณให้เป็นฮีโร่ การเมืองไทย

พันลงพันลำจุดวนกันไป ทีสองทีเราก็เพลินไปทั้งวัน
(ทีสองทีเราก็เพลินไปทั้งวัน)
แอบเสพแอบกินมานาน ติดตามข่าวสารกันก็มาเป็นปี
(ติดตามข่าวสารกันก็มาเป็นปี)
กัญชงกัญชาธิปไตย มีแต่พี่ไทยที่ไม่ไม่เปิดเสรี
(มีแต่พี่ไทยที่ไม่ไม่เปิดเสรี)
คงรออีกนานกับพวกเต่าล้านปี ทีตอนหาเสียงละพูดจาดี๊ดี
(ทีตอนหาเสียงละพูดจาดี๊ดี)

หากคุณเปิดให้เป็นเสรี
ชาวเราชาวฮิปปี้จะชื่นชม
ประชาชนจะฉลองและชักธง
ยกคุณให้กลายเป็นซุปเปอร์สตาร์ ของชาวไทย

หากคุณเสพเกินขนาด
คุณจะเป็นคนบ้าในซุ้มหญ้าคา
ถ้าหากคุณยังเสพเกินขนาด
คุณอาจนอนตายใต้ต้นกัญชา",num_sitta
เงียบหายไปเลย,/music/thailyric/19116,"เงียบไปเลยเธอหายไปเลย
เงียบไปเลยจนใจฉันหวั่นไหว
ไม่มีคำกล่าวลาให้ทำใจ
เงียบเกินไป คิดถึง นะคนดี

และต่อจากนี้ ต้องทำอย่างไร
อีกนานแค่ไหน กว่าจะลืมเธอ

คิดถึงเธอจนนอนไม่หลับ
คิดถึงเธอจนน้ำตาเอ่อไหล
คิดถึงเธอจนฉันแทบบ้า
คิดถึงวันที่เรา มีกันและกัน

โอ้วดวงจันทร์เธอลืมวันเก่า
เรื่องระหว่างเรา เธอลืมไปหมดแล้ว

คิดถึงเธอจนนอนไม่หลับ
คิดถึงเธอจนน้ำตาเอ่อไหล
คิดถึงเธอจนฉันแทบบ้า
คิดถึงวันที่เรา เฮ้อ

คิดถึงเธอจนนอนไม่หลับ
คิดถึงเธอจนฉันแทบขาดใจ
คิดถึงเธอจนฉันแทบบ้า
คิดถึงวันที่เรา มีกันและกัน

ขอกอดหน่อยได้ไหม
และคอยเดินจากกันไป
กอดเป็นครั้งสุดท้าย
จะไม่รั้งไว้อีกเลย",num_sitta
จะใด (ดวงดาวเดียวดาย),/music/thailyric/16929,"สายลมบางๆ บอกฉัน
มีใครฝากความคิดถึง ความรู้สึก
สุดจะห่วงใย มากมายคำถาม

อยู่ที่ไหน อยู่หนใดก็ห่วง
จะเติบโตอย่างไร ก็ยังจะถาม
ถามว่าเป็นจะใด ชีวิตไกลบ้าน
สุขสบายจะใด ทุกข์ใจจะใด
บอกเล่าให้กันฟัง นะ

เมื่อใดนะจะปิ๊กบ้านมา
กลับมาอยู่เคียงกัน
มาดูดาวใต้เงาพระจันทร์ที่บ้านเฮาเดิม
เมื่อใดนะจะปิ๊กบ้านมา
กาสะลองของแม่เป็นห่วง
อยู่เมืองหลวงเจ้าเป็นจะใด
สบายดีไหม

Cool gentle breeze reminds me
Of someone's memory full of love
Her simple speech would make it sweet

อยู่ที่ไหน อยู่หนใดก็ห่วง
จะเติบโตอย่างไร ก็ยังจะถาม
ถามว่าเป็นจะใด ชีวิตไกลบ้าน
สุขสบายจะใด ทุกข์ใจจะใด
บอกเล่าให้กันฟัง นะ

เมื่อใดนะจะปิ๊กบ้านมา
กลับมาอยู่เคียงกัน
มาดูดาวใต้เงาพระจันทร์ที่บ้านเฮาเดิม
เมื่อใดนะจะปิ๊กบ้านมา
กาสะลองของแม่เป็นห่วง
อยู่เมืองหลวงเจ้าเป็นจะใด
สบายดีไหม

เมื่อใดนะจะปิ๊กบ้านมา
กลับมาอยู่เคียงกัน
มาดูดาวใต้เงาพระจันทร์ที่บ้านเฮาเดิม
เมื่อใดนะจะปิ๊กบ้านมา
กาสะลองของแม่เป็นห่วง
อยู่เมืองหลวงเจ้าเป็นจะใด
สบายดีไหม แม่ฝากข่าวมาถาม",num_sitta
แทบเอาตีนไปเกยหน้าผาก,/music/thailyric/21547,"เต่าล้านปี ไดโนเสาร์ในยุค 5 จี
ดักดานมานานปี
อ้างนู่นอ้างนี่อ้างสารพัด
เต่าล้านปี ไดโนเสาร์สู่ยุค 5 จี
ทนหน้าด้านมา 7 ปี
กินไม่อิ่มสักที ไอ้ฉิบหาย

จะอดตายแล้วเพื่อนเอ๋ย
แทบเอาตีนไปเกยหน้าผาก
โรคระบาด ฆ่าประชาไปเป็นเบือ

กี่ชีวิต ถึงจะพอ นั่งหัวเราะ อยู่ริมทะเล
ไม่หันเห ไม่เหลียวมอง สถานการณ์บ้านเมือง
ปล่อยประชาร่ำไห้

จะอดตายแล้วเพื่อนเอ๋ย
แทบเอาตีนไปเกยหน้าผาก
ทั้งโรคระบาด และหนี้สินท่วมหัวล้นตัว

อีกกี่ชีวิต ถึงจะพอ นั่งหัวเราะ อยู่ริมทะเล
ไม่หันเห ไม่เหลียวมอง สถานการณ์บ้านเมือง
อย่าปล่อยให้ชาวประชา ร่ำไห้อยู่แบบนี้

อีกกี่ชีวิต ถึงจะพอ นั่งหัวเราะ อยู่ริมทะเล
ไม่หันเห ไม่เหลียวมอง สถานการณ์บ้านเมือง
อย่าปล่อยให้ชาวประชา ร่ำไห้ทั่วทั้งแผ่นดิน

จะอดตายแล้วเพื่อนเอ๋ย
แทบเอาตีนไปเกยหน้าผาก
อยากจะหลับ ข้ามผ่านคืนวัน
ให้ฝันร้ายหายไป ตลอดกาล",num_sitta
ผมต้องการแก่ไปพร้อมกับคุณ,/music/thailyric/17991,"ในวันที่คุณเศร้าใจ
ผมจะทำให้หัวใจคุณเบิกบาน
ในค่ำคืนที่เหน็บหนาวจับใจ
ผมจะคอยโอบกอดจนคุณผ่อนคลาย
ในวันที่คุณเจ็บไข้ไม่สบาย
ผมจะคอยหาข้าวหายาให้คุณทาน
ในวันที่ร่างกายคุณอ่อนแรงโรยรา
ผมจะคอยอุ้มคุณไปทุกที่ ที่คุณอยากไป

โอ๊ย มันคงจะดี ถ้าเราได้แก่ไปด้วยกัน

จานชามที่อยู่ในห้องครัว
ผมจะเป็นคนล้างให้คุณเอง
เสื้อผ้าใช้แล้วที่กองเป็นเนิน
ให้ผมได้ช่วยสักรีดแล้วจัดให้สวยงาม
นิยายเล่มโปรดที่หล่นบนพื้น
ให้ผมได้วางข้างหมอนให้คุณนั้นนอนอ่าน
เมนูอาหารที่คุณอยากรับประทาน
ให้ผมเป็นเชฟเพื่อทำทุกอย่างที่คุณอยากกิน

โอ๊ย มันคงจะดี ถ้าเราได้แก่ไปด้วยกัน

ในวันที่คุณดื่มมากไป
ให้ผมได้พาคุณเข้าส่งนอนนะเออ
ทั้งหมดทั้งมวลที่ผมทำไป
ผมเพียงต้องการอยากจะแก่ไปพร้อมกับคุณ

โอ๊ย มันคงจะดี ถ้าเราได้แก่ไปด้วยกัน

โอ๊ย มันคงจะดี ถ้าคุณพร้อมแก่ไปด้วยกัน",num_sitta
วันอาทิตย์,/music/thailyric/20582,"ยิ้มให้ดวงอาทิตย์ในยามเช้า
แล้วกลิ้งตัวไปเบาๆ บนผ้าห่มผืนหนา
มองเข็มนาฬิกา ก็เพิ่งเจ็ดโมงกว่า
ฉันตื่นขึ้นมา เพราะเสียงเตือนของไลน์

มีหมอนข้างที่ปิดหู ผ้าขนหนูที่ปิดตา
ฉันทิ้งโลกลงเบื้องหน้า และหลบหนี
ในวันหยุดวันนี้จะหยุดรักคนทุกคน

ยิ้มให้กับเพลงรักในยูทูบ
ฟัง Tattoo ฟังน้าปู ฟังคุณปู่จอจ๋าน
เพลงเขาเป็นตำนาน เพลงเราไม่เอาถ่าน
สู้ปล่อยตั้งนาน ยอดวิวแค่ร้อยเดียว

อยากมียอดวิวเป็นล้าน
ให้มันเหมือนคนติดตาม
เน็ตไอดอลที่ร้องครางในบีโก้
พลังเสียงไม่ใหญ่โต แต่อกที่โชว์นั้นใหญ่กว่า

ไม่มีอะไรซับซ้อน มีแค่หมอนให้นอนหลับฝัน
ไม่มีใครบอกรักฉัน เพื่อเอาแบงค์พันนั้นออกไปใช้
ไม่มีเพื่อนชวนสรวลเส ฉันมีแค่เพลงที่เปิดผ่านไป
ไม่มีเหลือใคร และไม่มีทุกข์ใจใดเลย

ไม่มีแฟน ไม่มีเพื่อน
ไม่มีครอบครัว แค่เพียงตัวเรา

ยิ้มให้วันอาทิตย์ที่สดใส มีแฟ้มงานทั่วเมืองไทย
กองเป็นปึกหนาๆ นึกถึงคำโบราณ
ทำงานให้พ้นผ่าน ทุ่มเทเพื่องาน ชีวิตจะได้ดี

มีงานค้างให้หลีกหนี มีโอทีให้ติดตาม
มีงวดรถและงวดบ้านให้ไตร่ตรอง
คิดแล้วปวดสมอง กอดหมอนข้างนอนเล่นดีกว่า

แม้งานจะยังคั่งค้าง แต่หมอนข้างก็กอดสบาย
ผลงานจะยังรั้งท้าย โทรทัศน์จอแบนก็ยังหลากสี
ถึงใครจะมองว่าเป็นผู้แพ้ แต่ว่าแอร์ก็เย็นอยู่ดี
ต้องโดนสักที กับชีวิตดี๊ดีของเรา

ไม่มีเลย ฉันมีแค่ตัว ไม่มีทุกข์ใจ
ไม่มีเงิน ไม่มีทรัพย์ใด ให้ใครครอบครอง
ไม่มีแฟน ไม่มีเพื่อน ไม่มีใคร

In my eyes the sun has gone
The moon steals the show
My holiday I'd rather stay sky high on the weed

In my dream I dance alone in my style n' roll
I cut my love to leave my pain oh life is beautiful

ยิ้มให้ดวงอาทิตย์ในยามเช้า
แล้วกลิ้งตัวไปเบาๆ บนผ้าห่มผืนหนา
มองเข็มนาฬิกา อ้าว
เจ็ดโมงเช้าแล้วนี่หว่า ต้องตื่นขึ้นมา เพื่อสู้ชีวิตใหม่",num_sitta
โสมม,/music/thailyric/18081,"ต่างคนต่างแข่งขันกันทำความดี
แต่ใช้เงินตราหวังสร้างบุญบารมี
ต่างคนต่างแก่งแย่งชิงเด่นชิงดี
มีอิทธิพล อำนาจล้น แต่ก็ตายอยู่ดี

ต่างคนต่างบอกเป็นพลเมืองที่ดี๊ดี
แต่ผิดชอบชั่วดี เพียงแค่แยกแยะ ยังทำไม่ได้สักที
ต่างคนต่างบอกว่าอยากเป็นเศรษฐี
ขี้เกียจทำงาน หวังแต่หวย แล้วจะรวยได้ไง

เราต่าง มองข้ามผ่าน สิ่งต่างๆ ที่ทำลงไป
ลืมความชั่วร้าย อยู่ในตัวตน
หวังประสบผล ให้ตัวเองดูดี

จิตใจที่แสนดีมันหายไปไหน
มองไม่เห็น หรือยังมี แต่ว่ามันอยู่ห่างไกล
ใช้อำนาจอุ้มพรรคพวกคือดีใช่ไหม
อุปกรณ์สำคัญ ก็ยังจะแอบนำ ไปขายที่แดนไกล

ประชาชนชาวเมืองทุกคนเดือดร้อน
ร้องไห้ตาย ภาษีมากมาย ก็ไม่นำไปถอดถอน
สังคมสังคังพวกผู้ใหญ่เฮงซวย
ใช้วาจา ที่ฉาบฉวย หลอกลวงประชาชน

เราต่าง มองข้ามผ่าน สิ่งต่างๆ ที่ทำลงไป
ลืมความสัตว์ร้าย อยู่ในตัวตน
หวังประสบผล ให้ตัวเองดูดี

เราต่าง มองข้ามผ่าน สิ่งต่างๆ ที่ทำลงไป
ลืมความสัตว์ร้าย อยู่ในตัวตน
หวังประสบผล ให้ตัวเองดูดี

เราต่างมองข้ามผ่าน สิ่งต่างๆ ที่ก็ทำลงไป
ปล่อยสัตว์ร้ายให้มันครอบงำ
ทำสิ่งระยำ ให้ประเทศอัปรีย์",num_sitta
