song_name,href,lyric,artist
ความคิดถึง..ห้ามกันไม่ได้,/music/thailyric/6739,"เธอคงเหนื่อยใจเมื่อรับสายกัน เพราะฉันคือคนเคยรัก
แค่โทรมาหาอย่างคนรู้จัก ไม่อยากให้เธอวุ่นวาย

ที่รบกวนโปรดอภัย ก็รู้ตัวดีว่าฉันไม่มีสิทธิ์

แต่ความคิดถึงมันห้ามไม่ไหว มันคงห้ามไม่ไหว คิดถึงยังไง
ก็ยังคิดถึงเธออยู่อย่างนั้น เจอใครต่อใครเป็นร้อยเป็นพัน
แต่ว่าฉันเหงาเมื่อไหร่ ในใจฉันมีแค่เพียงเธอ

แค่เพียงต้องการจะไถ่ถามกัน เธอนั้นสบายดีไหม
ถึงแม้ว่าเราไปกันไม่ได้ แต่ขอห่วงใยเหมือนเดิม

ที่รบกวนโปรดอภัย ก็รู้ตัวดีว่าฉันไม่มีสิทธิ์

แต่ความคิดถึงมันห้ามไม่ไหว มันคงห้ามไม่ไหว คิดถึงยังไง
ก็ยังคิดถึงเธออยู่อย่างนั้น เจอใครต่อใครเป็นร้อยเป็นพัน
แต่ว่าฉันเหงาเมื่อไหร่ ในใจฉันมีแค่เพียงเธอ

แต่ความคิดถึงมันห้ามไม่ไหว มันคงห้ามไม่ไหว คิดถึงยังไง
ก็ยังคิดถึงเธออยู่อย่างนั้น เจอใครต่อใครเป็นร้อยเป็นพัน
แต่ว่าฉันเหงาเมื่อไหร่ ในใจฉันมีแค่เพียงเธอ",oak_smith
ยืนผิดที่,/music/thailyric/6746,"ในความชินชาและเมินเฉย ฉันรู้ได้เลยระหว่างเรา
เพราะเค้าคนนั้นใช่หรือเปล่า ที่เธอยังคงไม่ลืม
จับมือมองตาอยู่กับฉัน แต่ใจเธอลอยไปหาใคร
จะวางตัวเองฐานะอะไร แค่ตัวแทนยังเป็นไม่ได้เลย

เก็บใจให้เค้าดีกว่าไหม
ถ้าเธอไม่พร้อมจะมีฉันอยู่
ถามใจเธอ ย่อมรู้ดี
ว่าแอบเว้นที่ให้ใคร
ไม่ต้องเผื่อรักให้กับฉัน
คนที่เพิ่งรู้ตัวและเข้าใจ
ฉันเองที่ยืนผิดที่ใช่ไหม
เมื่อในหัวใจเธอยัง รอแต่เค้าคนเดียว

อาจทำได้เพียงแค่กอดเธอ
แต่ไม่มีทางจะได้เธอ
จะดึงเวลาให้ช้ำทำไม
จะพอแล้ว ก็คงต้องถอนตัว

เก็บใจให้เค้าดีกว่าไหม
ถ้าเธอไม่พร้อมจะมีฉันอยู่
ถามใจเธอ ย่อมรู้ดี
ว่าแอบเว้นที่ให้ใคร
ไม่ต้องเผื่อรักให้กับฉัน
คนที่เพิ่งรู้ตัวและเข้าใจ
ฉันเองที่ยืนผิดที่ใช่ไหม
เมื่อในหัวใจเธอยัง รอแต่เค้าคนเดียว

เก็บใจให้เค้าดีกว่าไหม
ถ้าเธอไม่พร้อมจะมีฉันอยู่
ถามใจเธอ ย่อมรู้ดี
ว่าแอบเว้นที่ให้ใคร
ไม่ต้องเผื่อรักให้กับฉัน
คนที่เพิ่งรู้ตัวและเข้าใจ
ฉันเองที่ยืนผิดที่ใช่ไหม
เมื่อในหัวใจเธอยัง รอแต่เค้าคนเดียว",oak_smith
คนมันเหงา เข้าใจหน่อย,/music/thailyric/6737,"มาอยู่ในงานเลี้ยง พบผู้คนที่หลากหลาย
เสียงเพลงที่ช่วยผ่อนคลาย ให้ไม่เดียวดายอีกครั้ง
ออกจากงานเลี้ยง เหลือก็เพียงเราเท่านั้น
นั่งคุยกับความเงียบงัน เหมือนเดิมในรถคู่ใจ

หันมองไปทีไร ก็ไม่มีใครที่คอยอยู่ข้างๆ กัน
ออกมาคนเดียว กลับบ้านคนเดียวอย่างทุกครั้ง
ไม่มีใครให้คุย นั่งรถคนเดียวเปิดเพลงมันให้ดังๆ
ถึงแม้จะฟัง ถึงแม้จะดังแค่ไหน

ได้ยินแต่เหงาเหงา เหงาเต็มไปหมด
เหมือนมันกลบเสียง ของเพลงให้หมดไป
ที่บ้านไม่มีใคร เขาคอยฉันกลับ
ถึงบ้านตอนนี้ก็เหงา คงไม่ได้นอนจนเช้า

เห็นคำว่าเหงาเหงา ล่องลอยไปหมด
เมื่อไรอารมณ์เนี้ยมันถึงจะหาย
จะมีใครไหม ไหมที่เป็นเหมือนกัน
สองคนที่เหงาเจอกัน ให้ใจต่อใจผูกพัน
ให้ฉันไม่ต้องเหงาใจ

มีคนออกไปไหน ใช้เวลาด้วยกันนั้น
พูดคุยและแลกเปลี่ยนกัน ถึงความในใจที่มี
จะมีใครไหม ที่รู้สึกอย่างตัวฉัน
ฟ้าช่วยให้เราเจอะกัน รักกันจริงๆ สักที

หันมองไปทีไร ก็ไม่มีใครที่คอยอยู่ข้างๆ กัน
ออกมาคนเดียว กลับบ้านคนเดียวอย่างทุกครั้ง
ไม่มีใครให้คุย นั่งรถคนเดียวเปิดเพลงมันให้ดังๆ
ถึงแม้จะฟัง ถึงแม้จะดังแค่ไหน

ได้ยินแต่เหงาเหงา เหงาเต็มไปหมด
เหมือนมันกลบเสียง ของเพลงให้หมดไป
ที่บ้านไม่มีใคร เขาคอยฉันกลับ
ถึงบ้านตอนนี้ก็เหงา คงไม่ได้นอนจนเช้า

เห็นคำว่าเหงาเหงา ล่องลอยไปหมด
เมื่อไรอารมณ์เนี้ยมันถึงจะหาย
จะมีใครไหม ไหมที่เป็นเหมือนกัน
สองคนที่เหงาเจอกัน ให้ใจต่อใจผูกพัน
ให้ฉันไม่ต้องเหงาใจ

ได้ยินแต่เหงาเหงา เหงาเต็มไปหมด
เหมือนมันกลบเสียง ของเพลงให้หมดไป
ที่บ้านไม่มีใคร เขาคอยฉันกลับ
ถึงบ้านตอนนี้ก็เหงา คงไม่ได้นอนจนเช้า

เห็นคำว่าเหงาเหงา ล่องลอยไปหมด
เมื่อไรอารมณ์เนี้ยมันถึงจะหาย
จะมีใครไหม ไหมที่เป็นเหมือนกัน
สองคนที่เหงาเจอกัน ให้ใจต่อใจผูกพัน
ให้ฉันไม่ต้องเหงาใจ",oak_smith
คนเหงา..เขารู้กัน,/music/thailyric/6738,"หลับตาไม่ลงใช่ไหม กี่คืนที่เธอเหน็บหนาว
โอบกอดตัวเอง จะอุ่นได้สักเท่าไร
เปิดเพลงระบายความเหงา น้ำตากลับดูยิ่งไหล
อยากบอกว่าฉันเข้าใจ เข้าใจเธอดี

ต่างกันอะไรกับฉัน ตื่นมากับความอ้างว้าง
นั่งฟังเพลงรัก ไม่เคยเข้าใจสักที
ขาดคนจูงมืออย่างเขา เหงาใจอะไรอย่างนี้
ในเข็มเวลาทุกๆ นาที ช่างว่างเปล่า

ฝืนยิ้มให้ใครอย่างนั้น
ทั้งๆ ที่เจอผู้คนมากมาย
แต่ใจเราดูคล้ายๆ
ว่าเหมือนไม่เคยมีใครใช่ไหม

มีแต่คนเหงาที่เขารู้กัน
มีแต่ฉันนั้น เข้าใจเธอ กับสิ่งที่เจอ
ก็เหมือนอาการฉันเคย อ่อนไหว
ปล่อยให้ความเหงาของเราได้พูดกัน
แบ่งปันทุกความเดียวดาย
ให้เราผ่านวันโหดร้ายนี้ไปด้วยกัน

ต่างคนก็อ่อนและล้า ต่างใจก็ยังคงหวัง
เฝ้ารออีกใจให้ใคร ช่วยเดินเข้ามา
เปิดใจต่อกันอาจรู้ ว่าคนที่ต่างมองหา
ที่แท้ก็เรา คนเหงาที่ยืนข้างข้างกัน

ฝืนยิ้มทักใครต่อใคร
ทั้งทั้งที่เจอผู้คนมากมาย
แต่ใจเราดูคล้ายคล้าย
ว่าเหมือนไม่เคยมีใครใช่ไหม

มีแต่คนเหงาที่เขารู้กัน
มีแต่ฉันนั้น เข้าใจเธอ กับสิ่งที่เจอ
ก็เหมือนอาการฉันเคย อ่อนไหว
ปล่อยให้ความเหงาของเราได้พูดกัน
แบ่งปันทุกความเดียวดาย
ให้เราผ่านวันโหดร้ายนี้ไปด้วยกัน

มีแต่คนเหงาที่เขารู้กัน
แบ่งปันทุกความเดียวดาย
ให้เราผ่านวันโหดร้าย นี้ไปด้วย",oak_smith
แค่นี้..ที่ต้องการ,/music/thailyric/6740,"รู้ทั้งรู้ ฉันไม่ได้มีพร้อม
ยังคงไกลห่างจากคำว่าดี
ฉันก็รู้ว่าแค่ไหน สิ่งที่ตัวฉันมี
รู้ว่ายังคงไกลจากฝันของเธอ

รู้ทั้งรู้ ก็ยังต้องการขอ
ขอให้ฉันอยู่กับเธอเรื่อยไป
เพราะว่ารักจากเธอนั้น
ส่งเรี่ยวแรงให้หัวใจ
ผลักให้ชีวิตฉันก้าวไป

ไม่ขอให้มากกว่านี้ แค่ให้สิ่งที่มี
ขอให้อยู่ตรงนี้กับฉันนานๆ
แค่เธอนั้นได้อยู่ ข้างเคียงกันเรื่อยไป
ฉันขอเพียงแค่เท่านี้ ทุกๆ สิ่งที่มี
ขอให้อยู่อย่างนี้ อย่าเสียมันไป
แค่มีเธอข้างกาย สิ่งเดียวที่ใจต้องการ

ฝันของฉัน ถึงยังอยู่อีกไกล
มีอะไรอีกมากมายให้เจอ
ขอแค่ฉันอยู่กับเธอ เจอะอะไรก็ไม่กลัว
ฉันพร้อมเผชิญทุกอย่าง

เพราะว่ารักจากเธอนั้น
ส่งเรี่ยวแรงให้หัวใจ
ผลักให้ชีวิตฉันก้าวไป

ไม่ขอให้มากกว่านี้ แค่ให้สิ่งที่มี
ขอให้อยู่ตรงนี้กับฉันนานๆ
แค่เธอนั้นได้อยู่ ข้างเคียงกันเรื่อยไป
ฉันขอเพียงแค่เท่านี้ ทุกๆ สิ่งที่มี
ขอให้อยู่อย่างนี้ อย่าเสียมันไป
แค่มีเธอข้างกาย สิ่งเดียวที่ใจต้องการ

ฝันของฉัน ถึงยังอยู่อีกไกล
มีอะไรอีกมากมายให้เจอ
ขอแค่ฉันอยู่กับเธอ เจอะอะไรก็ไม่กลัว
ฉันพร้อมเผชิญทุกอย่าง",oak_smith
ชั่วขณะ,/music/thailyric/6741,"การตัดสินใจ ในช่วงเวลาชั่ววูบเดียว
อาจผิดพลาดไป จนไม่มีทางจะเเก้ไข
เมื่อเธอกับเขา ที่มีฉันเข้ามา
ความรู้สึกแปลกใหม่ ที่เธอรับไป จากฉัน
มันทำให้เธอตัดสินใจพลาดไป

ถ้าชั่วขณะนี้ ที่ยืนข้างเธอไม่ใช่ฉัน
และชั่วขณะนั้น เธอยังคงเลือกอยู่กับเขา
ตอนนี้คงไม่เจอ ไม่มีคำถามขึ้นในใจของเรา
ถ้าชั่วขณะนั้น เธอไม่เลือกฉันอยู่ตรงนี้
ในชั่วขณะนี้ เธอคงไม่คิดจะเสียใจ
เเค่ชั่วขณะเดียว ที่เธอผิดพลาดพลั้งไป
ผิดที่เผลอใจ

เพราะความรู้สึกเธอ หลอกตัวเธอเองไม่ได้
ยิ่งนานเท่าไร ก็ยิ่งมั่นใจว่าเธอรักเขา
ขอโทษวันนั้น ที่ใจล้ำเส้นเกิน
ฉันไม่ควรจะเดิน เข้าไปให้เธอต้องวุ่นวาย
จนเธอตัดสินอะไรพลาดไป

ถ้าชั่วขณะนี้ ที่ยืนข้างเธอไม่ใช่ฉัน
และชั่วขณะนั้น เธอยังคงเลือกอยู่กับเขา
ตอนนี้คงไม่เจอ ไม่มีคำถามขึ้นในใจของเรา
ถ้าชั่วขณะนั้น เธอไม่เลือกฉันอยู่ตรงนี้
ในชั่วขณะนี้ เธอคงไม่คิดจะเสียใจ
เเค่ชั่วขณะเดียว ที่เธอผิดพลาดพลั้งไป

ถ้าชั่วขณะนี้ ที่ยืนข้างเธอไม่ใช่ฉัน
และชั่วขณะนั้น เธอยังคงเลือกอยู่กับเขา
ตอนนี้คงไม่เจอ ไม่มีคำถามขึ้นในใจของเรา
ถ้าชั่วขณะนั้น เธอไม่เลือกฉันอยู่ตรงนี้
ในชั่วขณะนี้ เธอคงไม่คิดจะเสียใจ
เเค่ชั่วขณะเดียว ที่เธอผิดพลาดพลั้งไป
ผิดที่เผลอใจ

ผิดพลาดไป เพราะฉันคนนี้ใช่ไหม
ผิดเเล้วใจ ถ้าฉันจะไปจากเธอในวันนี้
เเละเขาจะกลับมารักเธอได้ไหม",oak_smith
ไปอยู่ที่ไหนมา,/music/thailyric/6744,"ลืมตามาสบตา นางฟ้าข้างข้างกาย
บางทีไม่แน่ใจ เหมือนฝันละเมอ
เวลาที่ผ่านมา ความเหงาที่พบเจอ
มันเป็นดังเพื่อนเกลอ เป็นเพื่อนตาย

ไม่คิดไม่ฝันว่าฉันจะได้พบได้เจอใคร
แต่วันนึงฉันก็พบเธอคนนี้

ก็เธอไปอยู่ไหนมา ที่รัก
ทำไมไม่เจอะไม่พบกันมาตั้งนานแล้ว
รู้ไหมฉันตามหา ใช้ชีวิตรอคนอย่างเธอ
จนเนิ่นนาน ไปอยู่ที่ไหนมาคนดี

เคยนอนแล้วตื่นมา เหน็บหนาวเหนือบรรยาย
บางวันที่เหนื่อยใจ ไม่เห็นใครเลย
เวลาที่ผ่านมา อ้างว้างเสียคุ้นเคย
เธอเอาไปหมดเลย ความเหงาใจ

ไม่คิดไม่ฝันว่าฉันจะได้พบได้เจอใคร
แต่วันนึงฉันก็พบเธอคนนี้

ก็เธอไปอยู่ไหนมา ที่รัก
ทำไมไม่เจอะไม่พบกันมาตั้งนานแล้ว
รู้ไหมฉันตามหา ใช้ชีวิตรอคนอย่างเธอ
จนเนิ่นนาน ไปอยู่ที่ไหนมาคนดี

ก็เธอไปอยู่ไหนมา ที่รัก
ทำไมไม่เจอะไม่พบกันมาตั้งนานแล้ว
รู้ไหมฉันตามหา ใช้ชีวิตรอคนอย่างเธอ
จนเนิ่นนาน ไปอยู่ที่ไหนมาคนดี",oak_smith
ไม่พูด..ไม่ใช่ไม่เจ็บ,/music/thailyric/6745,"ไม่พูดไม่ใช่ไม่เจ็บ อย่าคิดว่าไม่รู้สึก
มันรู้ดีหมดทุกอย่าง ก็เห็นว่าใครซ่อนอยู่
ในแววตาเธอคู่นั้น

ถ้าพูดแล้วใครต้องเจ็บ เก็บไว้คงดีเสียกว่า
แอบคิดว่าคงสักวัน เธอนั้นจะยอมรับมา
กับความจริงที่เธอปิดฉัน

อยากจะแกล้งทำเป็นไม่รับไม่รู้
ไม่คิดระคาย เรื่องคนของเธอ
แต่ผิดหวังเสมอ อาการที่ฉันต้องทนต้องเจอ
ที่เธอคอยบอกไม่มีใครได้แต่ทดความช้ำเอาไว้
ไม่ยอมเอ่ยปาก มันเกลียดตัวเองที่เชื่อใจ
เหมือนซื้อเวลา ปวดร้าว ให้เธอหลอกฉัน เรื่อยไป

ไม่พูดไม่ใช่ไม่เจ็บ แค่ขอให้เธอพูดลา
ถ้าฉันต้องทวงถามไป ไม่รู้ใครเจ็บมากกว่า
อย่าให้คั่งค้างกันเลย

อยากจะแกล้งทำเป็นไม่รับไม่รู้
ไม่คิดระคาย เรื่องคนของเธอ
แต่ผิดหวังเสมอ อาการที่ฉันต้องทนต้องเจอ
ที่เธอคอยบอกไม่มีใครได้แต่ทดความช้ำเอาไว้
ไม่ยอมเอ่ยปาก มันเกลียดตัวเองที่เชื่อใจ
เหมือนซื้อเวลา ปวดร้าว ให้เธอหลอกฉัน เรื่อยไป

ไม่พูดไม่ใช่ไม่เจ็บ แค่ขอให้เธอพูดลา
ถ้าฉันต้องทวงถามไป ไม่รู้ใครเจ็บมากกว่า
อย่าให้คั่งค้างกันเลย

ถ้าฉันต้องทวงถามไป ไม่รู้ใครเจ็บมากกว่า
บอกมาฉันพร้อมจะฟัง",oak_smith
หนึ่งนาทีที่แล้ว,/music/thailyric/6748,"หนึ่งนาทีที่แล้วฉันยัง
ยังไม่คิดจะรักใครสักนิดเลย
แต่นาทีจากนี้ ฉันมั่นใจว่ามันใช่เลย
แค่สบสายตา เธอที่มองมาที่ฉัน

หนึ่งนาทีที่แล้วฉันยัง
ยังไม่เชื่อเรื่องพรหมลิขิตเท่าไร
แต่นาทีจากนี้ ฉันแน่ใจว่าต้องรักใคร
จากวิธีที่เธอยิ้มให้กับฉัน

คิดเหมือนกันกับฉัน ใช่ไหม
มันเหมือนว่าเราคุ้นเคยกัน
อย่างกับฉันเคย เคยได้พบเธอ รู้สึกดีในหัวใจ
ขออะไรอย่างนึงได้รึเปล่า
จากนาทีนี้ไป อยู่เคียงข้างกันจะได้ไหม
มาใช้นาทีร่วมกัน

หนึ่งนาทีจากนี้โลกคง
คงจะเสียคนเหงาไปอีกสองคน
แต่จะมีคู่รัก อีกคู่หนึ่งขึ้นมาทดแทน
อยู่ที่เธอว่าจะรักกันบ้างไหม

คิดเหมือนกันกับฉัน ใช่ไหม
มันเหมือนว่าเราคุ้นเคยกัน
อย่างกับฉันเคย เคยได้พบเธอ รู้สึกดีในหัวใจ
ขออะไรอย่างนึงได้รึเปล่า
จากนาทีนี้ไป อยู่เคียงข้างกันจะได้ไหม
มาใช้นาทีร่วมกัน

คิดเหมือนกันกับฉัน ใช่ไหม
มันเหมือนว่าเราคุ้นเคยกัน
อย่างกับฉันเคย เคยได้พบเธอ รู้สึกดีในหัวใจ
ขออะไรอย่างนึงได้รึเปล่า
จากนาทีนี้ไป อยู่เคียงข้างกันจะได้ไหม
อยากใช้นาทีด้วยกัน จากนี้แค่เธอกับฉัน",oak_smith
อยากเป็นเขาให้เธอ,/music/thailyric/6749,"เธอคอยบอกกับฉันทุกวัน
ว่าคนที่เธอรักควรเป็นอย่างไร
ยกตัวอย่างจากเขาทุกที
เขาที่เธอนั้นเคยรักหมดหัวใจ

เหมือนเขียนบทให้ฉันต้องเล่นไป
อยากให้ฉันเล่นบทไหน
ถ้าหากว่าฉันเป็นได้อย่างเขาคงดีใช่ไหม

ก็อยากเป็นเขาให้เธอ เผื่อเธอจะรักฉันบ้าง
แต่ติดเหตุผลอยู่อย่าง คือฉันเป็นฉันไม่ใช่ใคร
ก็อยากเป็นเขาให้เธอ แต่สิ่งที่ทำคงต้องฝืนใจ
ให้ฉันเปลี่ยนไปเป็นใคร มันคงไม่ไหวเธอ

ฉันก็อยากให้เรารักกัน
เพียงแต่มันต้องเป็นรักจากหัวใจ
ฉันไม่อยากเป็นเพียงแค่ใคร
เข้ามาแทนที่คนที่เธอต้องการ

เหมือนเขียนบทให้ฉันต้องเล่นไป
อยากให้ฉันเล่นบทไหน
ถ้าหากว่าฉันเป็นได้อย่างเขาคงดีใช่ไหม

ก็อยากเป็นเขาให้เธอ เผื่อเธอจะรักฉันบ้าง
แต่ติดเหตุผลอยู่อย่าง คือฉันเป็นฉันไม่ใช่ใคร
ก็อยากเป็นเขาให้เธอ แต่สิ่งที่ทำคงต้องฝืนใจ
ให้ฉันเปลี่ยนไปเป็นใคร มันคงไม่ไหวเธอ

ก็อยากเป็นเขาให้เธอ เผื่อเธอจะรักฉันบ้าง
แต่ติดเหตุผลอยู่อย่าง คือฉันเป็นฉันไม่ใช่ใคร
ก็อยากเป็นเขาให้เธอ แต่สิ่งที่ทำคงต้องฝืนใจ
ให้ฉันเปลี่ยนไปเป็นใคร มันคงไม่ไหวเธอ",oak_smith
