song_name,href,lyric,artist
รักเธอคนเดียว,/music/thailyric/16403,"เธอจะมาในชุดขาวบริสุทธิ์
เมื่อเธอเข้ามาอยู่ใกล้
มาให้ฉันดมและสูด
ถ้าอยู่ด้วยกันสองคน
ฉันมั่นใจกว่าใคร
เพราะท่าที่เราบอกรักกัน
มันงดงามกว่าอะไร

เธอไม่เคยเรียกร้อง ความเข้าใจ
ทุกคำที่เธอเอ่ย มันชวนให้ฉันเล่าเรื่องใหม่
จะปัญหาของตัวเอง หรือนินทาใคร
อดีตปัจจุบันความฝัน ระบายให้เธอฟัง

บอกว่าฉันรักเธอคนเดียว
บอกว่าฉันรักเธอคนเดียว
ไม่เคยเปลี่ยนไปไหนนะ
บอกว่าฉันรักเธอคนเดียว
บอกว่าฉันรักเธอคนเดียว
ไม่เคยจะเปลี่ยนใจ

เธอจะสวยด้วยตัวเองหรือเพราะแสงไฟ
แต่สิ่งที่คลุมร่างเธอ ฉันเห็นเป็นพลาสติกใส
เมื่อฉันมอง ก็เห็นทะลุถึงข้างใน
อยากจะชวนเธอมาช่วยมาช่วยฉันหายใจ

ทำไมทุกคนบอกว่าเธอเป็นคนไม่ดี
เพราะเธอจากไปตอนเช้า ทำเลือดฉันไหลทุกที
เธออาจเป็นหลักชั่วโมง ของความสุข
แต่เธอทำให้ฉันลืมความทุกข์ที่จำมาเป็นปี

บอกว่าฉันรักเธอคนเดียว
บอกว่าฉันรักเธอคนเดียว
ไม่เคยเปลี่ยนไปไหนนะ
บอกว่าฉันรักเธอคนเดียว
บอกว่าฉันรักเธอคนเดียว
ไม่เคยจะเปลี่ยนใจ

ก็ตอนที่เธอจากลาทำหัวฉันปั่นแทบบ้า
แอลกอฮอล์ในกายมันยุให้ฉันตามหา
เธอมากับชายชุดดำที่ไม่เคยตรงเวลา
กระดาษเทาและนาฬิกาคือสิ่งที่แลกมา
ก็ตอนที่อยู่กับเธอ ฉันดูเหมือนคนแข็งแรง
แต่ตอนนี้เธอจากไป ฉันกลายเป็นคนลงแดง
ถึงฉันจะเคยออกทีวี แต่ตอนนี้ฉันไม่ได้แสดง

รู้ ไม่อยากหลงเธอเลย
แต่เธออย่าเกรงใจฉันเลย
ได้โปรดมาเจอกันอีกครั้ง
ฉันอาจเสียงดังทำของพัง
แต่เธอกำลังทำเหมือนจำลองสวรรค์

บอกว่าฉันรักเธอคนเดียว
บอกว่าฉันรักเธอคนเดียว
ไม่เคยเปลี่ยนไปไหนนะ
บอกว่าฉันรักเธอคนเดียว
บอกว่าฉันรักเธอคนเดียว
ไม่เคยจะเปลี่ยนใจ

บอกว่าฉันรักเธอคนเดียวนะ
บอกว่าฉันรักเธอคนเดียวนะ
บอกว่าฉันรักเธอคนเดียว
ไม่มีใครเกี่ยว มาเหลียวให้ฉันนั้นมองไปไหน

บอกว่าฉันรักเธอคนเดียวนะ
บอกว่าฉันรักเธอคนเดียว
บอกว่าฉันรักเธอคนเดียว
ไม่มีใครเกี่ยว มาเหลียวให้ฉันนั้นมองใคร",pae_arak
สอนใคร (Teach),/music/thailyric/16620,"ตั้งแต่วันนี้ฉันจะไม่สอนใคร
ตั้งแต่วันนี้ฉันจะไม่สอนใคร
ถ้ามีปัญหาเรื่องของหัวใจ
บอกเลยฉันสอนใครไม่ไหว

ก็ตั้งแต่นี้ฉันจะไม่สอนใคร
และตั้งแต่นี้ฉันจะไม่สอนใคร
ถ้ามีปัญหาเรื่องของหัวใจ
บอกเลยฉันสอนใครไม่ไหว

วันที่เธอไปฉันไม่เหลือความมั่นใจ
เก็บปากดีๆ ของตัวเองเอาไว้
มีคนชอบถามว่าอกหักแล้วทำยังไง
ฉันบอกให้ใจเย็นๆ แล้วรอวันใหม่

ตื่นมาพรุ่งนี้มันคงจะมีอะไรดี
ฉันตื่นเป็นร้อยพรุ่งนี้ฉันยังไม่เจอสักที
เธอยังเข้ามาอยู่ในสมองฉันทุกที

จากที่เคยทำเก่งทำเป็นศิราณี
ถ้ามีใครโศกขอเชิญทางนี้
จะใช้ปัญญาและประสบการณ์ที่มี
หาทางออกให้ทุกคนทุกที

แต่เมื่อเธอลาฉันเหมือนโดนคาถา
Abracadraba นายจงกลายเป็นหมา
คอยเห่าคอยหอนรอเธอทุกเวลา
ฉันปัญญาควาย แถมยังคลานสี่ขา

ก็ตั้งแต่นี้ฉันจะไม่สอนใคร
ตั้งแต่วันนี้ฉันจะไม่สอนใคร
ถ้ามีปัญหาเรื่องของหัวใจ
บอกเลยฉันสอนใครไม่ไหว

ก็ตั้งแต่นี้ฉันจะไม่สอนใคร
และตั้งแต่นี้ฉันจะไม่สอนใคร
ถ้ามีปัญหาเรื่องของหัวใจ
บอกเลยว่าฉันสอนใครไม่ไหว

คุณจะทำยังไงเมื่อคนรักมีคนใหม่
ฉันบอกให้ทำใจแล้วไปนั่งโง่อยู่ริมทะเล
แต่ไม่ต้องไปทะเลตอนนี้ฉันโง่กว่าใคร
เอาตัวเองยังไม่ไหวแล้วจะให้แนะนำใคร

อย่ามาขอ อย่ามาขอ ขอแค่เล่าให้ฉันฟัง
เพราะสิ่งที่นายเจอฉันโดนมาหนักกว่านั้น
นายบอกว่าโดนทิ้งแต่ฉันโดนเผาให้ตาย
ไม่มีความหมายฉันรีไซเคิลไม่ได้

ก็ตั้งแต่นี้ฉันจะไม่สอนใคร
และตั้งแต่นี้ฉันจะไม่สอนใคร
ถ้ามีปัญหาเรื่องของหัวใจ
บอกเลยฉันสอนใครไม่ไหว

ก็ตั้งแต่นี้ฉันจะไม่สอนใคร
และตั้งแต่นี้ฉันจะไม่สอนใคร
ถ้ามีปัญหาเรื่องของหัวใจ
บอกเลยฉันสอนใครไม่ไหว

I won't teach you no more

เธอทำให้ฉันลืม
การศึกษาที่มี
ฉันเรียน ปริญญาตรี
แต่ตอนนี้คงแพ้แม้เด็กป.4

ก็ตั้งแต่นี้ฉันจะไม่สอนใคร
และตั้งแต่นี้ฉันจะไม่สอนใคร
ถ้ามีปัญหาเรื่องของหัวใจ
บอกเลยฉันสอนใครไม่ไหว

ก็ตั้งแต่นี้ฉันจะไม่สอนใคร
และตั้งแต่นี้ฉันจะไม่สอนใคร
ถ้ามีปัญหาเรื่องของหัวใจ
บอกเลยฉันสอนใครไม่ไหว

Oh no I won't teach you no more
No no I won't teach you no more",pae_arak
เพลงรัก,/music/thailyric/10363,"เธอชอบถามฉันจัง ว่าฉันรักเธอมากไหม
ฉันตอบไม่ถูกก็มาตรฐานไม่ใช่
ถ้าบอกออกไป เธออาจไม่เข้าใจ
อีกแล้วฉันทำเธอโกรธ ที่ไม่ยอมบอกอะไร
ถ้าเธอคะยั้นคะยอ ฉันคงรอไม่ไหว
ถึงฉันจะอายแต่ต้องบอกออกไป

ฉันรักเธอดังกว่าระเบิด ฉันรักเธอสูงกว่าดาว
ฉันรักเธอแรงกว่าหมัดบัวขาว ไม่มีสาวคนไหนเท่าเธอ
ฉันรักเธอนานกว่าชีวิตเต่า ฉันรักเธอยาวกว่าทางหลวง
ฉันรักเธอซึ้งกว่าเพลงพุ่มพวง ไม่ต้องห่วงว่าจะเท่าไร แค่ฉันรักเธอ

ตอนนี้เธอรู้แล้วหรือยัง ว่าฉันรักเธอเท่าไร
ถ้ายังจะถามอีกคำ ฉันจะกอดเข้าให้
จะประกบใจ เอาไว้กับเธอ นะเออ

ฉันรักเธอดังกว่าระเบิด ฉันรักเธอสูงกว่าดาว
ฉันรักเธอแรงกว่าหมัดบัวขาว ไม่มีสาวคนไหนเท่าเธอ
ฉันรักเธอนานกว่าชีวิตเต่า ฉันรักเธอยาวกว่าทางหลวง
ฉันรักเธอซึ้งกว่าเพลงพุ่มพวง ไม่ต้องห่วงว่าจะเท่าไร แค่ฉันรักเธอ

แม้น้ำ ลำธาร หรือจักรวาลก็ยังไม่กว้างเท่าฉันกับเธอ
แต่หัวใจฉันถูกขังเดี่ยว เพราะฉันรักเธอ คนเดียวนะเออ

ฉันรักเธอดังกว่าระเบิด ฉันรักเธอสูงกว่าดาว
ฉันรักเธอแรงกว่าหมัดบัวขาว ไม่มีสาวคนไหนเท่าเธอ
ฉันรักเธอนานกว่าชีวิตเต่า ฉันรักเธอยาวกว่าทางหลวง
ฉันรักเธอซึ้งกว่าเพลงพุ่มพวง ไม่ต้องห่วงว่าจะเท่าไร แค่ฉันรักเธอ

ก็ฉันรักเธอคนเดียว เพราะฉันรักเธอ
ไม่รู้เท่าไร แต่ฉันรักเธอคนเดียว",pae_arak
ซาดิสม์,/music/thailyric/3612,"ก็เธอน่ะบอกๆ บอกว่าฉันนั้นดีเกินไป
ก็เธอนะชอบ คบแต่คนเลวๆ หรือไง
ดูแลใส่ใจ เธอก็ไล่ให้ไปไป
เธอบอกรำคาญไม่สนใจ ไม่ต้องมาใส่ใจ
เธอมันไอ้บ้า ไอ้ซาดิสม์
เธอมันอีนังมาโซคิสต์

ก็ฉันนั้นทำตัวดี ไม่เคยโกหกเธอ
แต่เธอกลับโดนหลอกลวง ก็ชอบเลยนะเออ
ซื่อสัตย์ ซื่อตรงมีตัวจริงเป็นเธอ
แต่เธอกลับ ด่าว่าฉันนั้นเป็นแค่ไอ้เอ๋อ
เธอมันไอ้บ้า ไอ้ซาดิสม์
เธอมันอีนังมาโซคิสต์

เธอมันไอ้ออโต้อีโรติก
เธอมันชอบ มองคนแบบผิดๆ
พอเจอคนดี แล้วเธอจะกลายเป็นบิทช์
ฉันอยากจะ ร้องอุทานว่าโอ้ชิท!

ก็ฉันน่ะมีเงินทอง ให้เธอตั้งมากมาย
แต่เธอกลับไปชอบไอ้ยาจก หน้าไม่อาย
พอเธอหมดตังค์ มันก็ไล่เธอไปตาย
ฉันอยากจะ ด่าว่าเธอน่ะมันโง่ชิบหาย
เธอมันไอ้บ้า ไอ้ซาดิสม์
เธอมันอีนังมาโซคิสต์

มีฉันเป็นโชเฟอร์ขับรถ เธอบอกไม่เอา
เธอจะขับรถเอง เธอจะไปหาเขา

โดนตบโดนตี บางทีต้องคลานเข่า
เขาออกคำสั่งเธอ เขาจะให้เธอเห่า
เธอมันไอ้บ้า ไอ้ซาดิสม์
เธอมันอีนังมาโซคิสต์

เธอมันไอ้ออโต้อีโรติก
เธอมันชอบ มองคนแบบผิดๆ
พอเจอคนดี แล้วเธอจะกลายเป็นบิทช์
ฉันอยากจะ ร้องอุทานว่าโอ้ชิท!",pae_arak
บ้านนอก,/music/thailyric/8345,"ทุกวันศุกร์ วันเสาร์ วันอาทิตย์
ก่อน วันจันทร์ ฉันเฝ้าถามเพื่อนๆ
ว่าจะไปที่ไหน ไปที่ไหนกัน
ทุกคนตอบเสียงเดียวว่า
จะกลับบ้านนอก ไปพักให้มัน

ไปเอกเขนก เกกมะเหรก
สุขจะเสกเมื่อใด ก็ได้ดังพลัน
บางคนมีภูเขา บางคนมีทะเล
อยู่หลังบ้านมัน

บางคนไปเข้าถ้ำ
บางคนออกตากแดด จนตัวดำ
บ้างวิ่งเล่นท้องนา บ้างคลุกขี้เลน
กับควายของมัน

ทุกคนตอบเสียงเดียวว่า
โอ๊ยเป้ แม่งโคตร แม่งโคตรมัน
และมันทำให้ฉัน

ฉันอยากจะมีบ้านนอก เป็นของตัวเอง
ไว้กลับไปในยามวังเวง
ฉันอยากจะมีบ้านนอกเป็นของตัวเอง
ให้เหมือนกับใครๆ เขา

ฉันอิจฉาเพื่อนๆ ที่กลับบ้านนอก
ไปพักผ่อนในยามเมา
เมาควันรถ ควันคน ควันถนน ควันทุนนิยม

เวลาฉันหิวข้าว ฉันเข้าเซเว่น
สั่งข้าวกล่องอีซี่โก
แต่เพื่อนฉันทางเหนือ เขากินข้าวซอย
อร่อยจนร้องโอ้โห

เพื่อนฉันทางอิสาน ซิแตก
ลาบเป็ด กับแหนมเนืองคำโต
คิดถึงปักษ์ใต้ทีไร แกงพุงปลารสเผ็ด
อร่อยจนน้ำลายสอ แต่ฉันได้แค่ขอ 

หากฉันมีเงินยี่สิบบาท
ฉันจะได้น้ำติดฉลากกับยี่ห้อโก้ๆ
หากไม่มีเงินสักบาท
ฉันคงต้องร้องและปล่อยให้ท้องนั้นหิวโซ

แต่เขาปลูกผักหลังบ้าน
วันหนึ่งมีกิน ไม่ต่ำกว่าสามโล
แล้วไปหาเพื่อนบ้าน แลกหมู แลกวัว 
แลกเป็ด แลกไก่ เต้าหู้ ถั่วพลู 
อยู่กินอย่างไฮโซ ไม่ต้องคอยโมโห

ฉันอยากจะมีบ้านนอก เป็นของตัวเอง
ไว้กลับไปในยามวังเวง
ฉันอยากจะมีบ้านนอกเป็นของตัวเอง
ให้เหมือนกับใครๆ เขา

ฉันอิจฉาเพื่อนๆ ที่กลับบ้านนอก
ไปพักผ่อนในยามเมา
เมาควันรถ ควันคน ควันถนน ควันทุนนิยม

วันหนึ่งฉันจะไป อาศัยอยู่ที่สวรรคาลัย
แล้วเธอต้องตามฉันไป และหาย และหาย

เพราะฉันจะมีบ้านนอก เป็นของตัวเอง
ไว้กลับไปในยามวังเวง
เพราะฉันจะมีบ้านนอก เป็นของตัวเอง
ให้เหมือนกับใครๆ เขา

จะเลิกอิจฉาเพื่อนๆ ที่กลับบ้านนอก
ไปพักผ่อนในยามเมา
เมาควันรถ ควันคน ควันถนน ควันทุนนิยม",pae_arak
มาเลเซีย,/music/thailyric/3613,"มาเล มาเล มาเล มาเล มาเล มาเล
ฉันอยากหาเธอ ที่มาเลเซีย
มาเล มาเล มาเล มาเล มาเล มาเล
ซื้อตั๋วบินไป กัวลาลัมเปอร์

ฉันเจอเธอที่รถไฟฟ้าอโศก
หน้าเธอหมวย แต่มาจากมาเล
เธอถามฉันว่าชอปปิ้งที่ไหน
ฉันบอกสยาม แต่จะไปยังไง

ขึ้นรถไฟฟ้าเขาว่าสะดวก
รถเมล์มีปลวกอย่าไปขึ้นเลย
แต่ก่อนเธอหาย เธอหันมาเอ่ย
ขอเบอร์ทิ้งไว้ กันหลงได้ไหม

มาเล มาเล มาเล มาเล มาเล มาเล
ฉันอยากหาเธอ ที่มาเลเซีย

คืนนั้นตกลง ฉันพาเธอเที่ยว
พากินก๋วยเตี๋ยวข้างทางพระรามสี่
พาไปข้าวสารโรด ฟังเพลงสุขขี
ควักตังซื้อกล้วยให้ช้างอิ่มพลี

จะผัดไทประตูผี สวนลุมหรือวัดพระแก้ว
สีลม พัฒพงษ์ จตุจักรก็ไป
จนตั๋วของเธอจะถึงกำหนด
เธอถามฉันว่า อยู่ต่อได้ไหม

คืนนั้นจบลง ความรักบังเกิด
แต่พอเวลาหมดลง เธอต้องกลับมาเล
ทิ้งฉันให้ว้าเหว่

มาเล มาเล มาเล มาเล มาเล มาเล
ซื้อตั๋วบินไป กัวลาลัมเปอร์

เราบอกรักกัน แสงจันทร์สาดส่อง
มีพยานเต็มฟ้า คือดาวนั่นแหละ
อยู่โรงแรมริมน้ำช่างโรแมนติก
แล้วก็ถึงวันที่เธอต้องจากไป

เธอกลับไปแล้ว ไปมาเลเซีย
ไปรักกับเสี่ยคนเก่าคนเดิม
ไม่รับมือถือ ฉันโทรไปจิก
เธอบอกเธอลืมอดีตไปแล้ว

ตอนนี้เธอสร้างตัวอยู่กับคนมาเล
ทิ้งฉันให้ว้าเหว่

มาเล มาเล มาเล มาเล มาเล มาเล
ไม่เอาอีกแล้ว สาวมาเลเซีย
มาเล มาเล มาเล มาเล มาเล มาเล
ฉันไม่ไปแน่แล้ว ไม่ไปมา มาเลเซีย",pae_arak
ไม่รู้,/music/thailyric/3614,"ข่าวล่ามาเร็ว ตำรวจจับคนร้าย
เขาเป็นแพะหรือไม่ เราก็ไม่รู้
เขาว่าดาราคนหนึ่งจะโกอินเตอร์
หรือว่าเขาแค่เพ้อ เราก็ไม่รู้

แพนด้าหน้าหนึ่งทุกวัน มันกินพื้นที่
แล้วข่าวที่เหลือที่ดี เราก็ไม่รู้
ม็อบเสื้อแดง พันธมิตรเสื้อเหลือง
ใครถูกใครดี มีความผิด
หรือมิสเตอร์ที เราก็ไม่รู้

กระเป๋าที่น้องถืออยู่น่ะมันของปลอม
ซื้อมาสองหมื่นวอน เราก็ไม่รู้
อาซ้ออาเสี่ยเลข 7 หรือเลข 5
มันปากคนหรือปากหมา เราก็ไม่รู้

โอ้ มนุษย์ทุกคนก็เป็นแค่คนโง่
ได้แต่ทำตัวไฮโซ ทั้งที่ไม่รู้อะไรเลย
คนเราจริงๆ ก็คงจะมีแค่นี้
เสพแค่สิ่งที่มี แล้วก็ไม่รู้อะไรเลย

ดาราทำบุญทำทานออกทีวีกันไป
เขาได้ค่าตัวเท่าไร เราก็ไม่รู้
ไอ้พวกมือบอนเขียนคำบนฝาผนัง
ใครมันเป็นคนทำ เราก็ไม่รู้

พวกตาลีบัน ขับเครื่องบินชนตึกเวิลด์เทรด
แล้วอะไรคือสาเหตุ เราก็ไม่รู้
รัฐบาลเก็บภาษีมากมายมันหายไปไหน
มันผ่านมือใครไป เราก็ไม่รู้

ถุงพลาสติกทำให้โลกร้อน รณรงค์กันไป
แล้วมึงจะแจกทำไม เราก็ไม่รู้
เทปผี ซีดี ยาเสพติดที่เขาว่าไม่ดี
แล้วทำไมยังซื้อง่ายอยู่เนี่ย เราก็ไม่รู้

ถือพุทธ ถือคริสต์ อิสลาม พราหมณ์ ยิว
นับถืออะไรแล้วไม่หิว เราก็ไม่รู้
ทำไมคนยิงสนธิถึงลอยนวลไป
เขาใส่พระอะไร เราก็ไม่รู้

ทหารที่อยู่ทางใต้ เขารบกับใคร
คือลัทธิอะไร เราก็ไม่รู้
ไอ้เครื่องดำดำมีเสาเอาไว้ทำอะไร
มันตรวจระเบิดได้ไหม เราก็ไม่รู้
ใครกันยิง M79 ไปบนหลังคา
หลังคารถไฟฟ้า เราก็ไม่รู้

โอ้ มนุษย์ทุกคนก็เป็นแค่คนโง่
ได้แต่ทำตัวไฮโซ ทั้งที่ไม่รู้อะไรเลย
คนเราจริงๆ ก็คงจะมีแค่นี้
เสพแค่สิ่งที่มี แล้วก็ไม่รู้อะไรเลย",pae_arak
สิ่งที่สวยงามมักจะอยู่ไกลออกไป,/music/thailyric/3615,"รูปภาพ ผู้คนหรือสรรพสัตว์
เราจะมองมันสวยงาม ก็ต่อเมื่อมันอยู่ไกล
หากจะเข้าใกล้เมื่อไร ก็ต้องเจอตำหนิทันใด
เพราะทุกสิ่งที่สวยงามจะอยู่ ห่างออกไป

รถหรู คอนโดหรือคฤหาสน์
อยากได้อยากมีมาเป็นของข้างกาย
เราแหงนมองมัน ด้วยน้ำลายสอกระหาย
แต่พอได้มา ก็อยากจะขออันใหม่

หน้าที่การงาน สวัสดิการสังคม
เราทำงานแทบตาย เพื่อจะหาวันขยาย
แต่พอได้รับมา ก็ต้องเพียรทำต่อไป
เลือดตากระเซ็นกระซอน ขอคันใหม่

เราเจอ สตรีงามนางหนึ่ง
เที่ยวเกี้ยวพาราศี ทำตัวดีเพื่อจะรอวันนี้
วันที่เราสองนอนกอดเคียงร่วมฤดี
แต่เธอกลับสวยไม่พอแล้วหรือไร

มองรอบตัว เจอแต่ของที่ขุ่นมัว
มันจะไม่มีวันไหน ที่เราจะพอใจกับสิ่งใด
เพราะทุกสิ่ง ที่แสนดีจะอยู่ห่างออกไป

นโปเลียน อยากมาให้ถึงชมพูทวีป
เพราะฝรั่งเศสไม่มีเครื่องเทศหรือชาอัสสัม
แต่แล้วก็ต้องจบลง ที่รัสเซียเมื่อผ่านอัมสเตอดัม
ได้แต่ฝันถึงดินแดนที่อยู่ห่างหมื่นไมล์

มนุษย์ยุคหิน อยากกินของร้อนๆ จากเตาอบ
บางทีเขาขี้เกียจเดิน เขาอยากจะนั่งในรถ
แต่พออากาศมันร้อนก็เปิดแอร์ให้เย็นดั่งสวรรค์
วิวัฒนาการจะจบน่ะไม่มีวัน

มองรอบตัว เจอแต่ของที่ขุ่นมัว
มันจะไม่มีวันไหน ที่เราจะพอใจกับสิ่งใด
เพราะทุกสิ่ง ที่แสนดีจะอยู่ห่างออกไป
เพราะทุกสิ่ง ที่สวยงามจะอยู่ไกลออกไป",pae_arak
คนสวย (Beautiful One),/music/thailyric/20758,"เธอสวยกว่าใคร แต่เล่าให้ฉันฟังว่าเธอโดนทำร้าย
คนที่เธอรักแทบตายเขาทิ้งเธอไปมีใหม่
คนนั้นไม่ใช่ใคร เขาเป็นเพื่อนซี้ของเธอไง
จึงไม่เข้าใจหัวใจผู้ชายทำด้วยอะไร

แล้วเธอก็ร้อง ร้องไห้ทุกเวลา
แค่ได้ยินชื่อเขา ก็ไม่อาจกลั้นน้ำตา

แต่ได้โปรด ฟังฉันสักครา
ผู้ชายน่ะเลว แต่ว่าก็ไม่ใช่ทุกคน

อย่าไปสนเขาเลยคนสวย
เขามันแค่ผู้ชายเฮงซวย ที่เขาทำกับเธอมันเกินไปรู้ไหม
ไม่ได้บอกว่าฉันน่ะดี แต่ว่าฉันคงไม่ทำเธอเแบบนี้
ผู้ชายน่ะเลวแต่ว่าก็ไม่ใช่ทุกคน

เธอบอกไม่ไหวแล้ว ถ้าเจออีกครั้ง
เธอคงไม่แคล้ว ไม่อาจรักใครได้อีกแล้ว
ฉันอยากให้เธอใจเย็นๆ แต่เอาเข้าจริงฉันก็ไปไม่เป็น
เพราะตาฉันเห็นเข้าไปข้างในถึงใจเธอ

อย่าไปสนเขาเลยคนสวย
เขามันแค่ผู้ชายเฮงซวย ที่เขาทำกับเธอมันเกินไปรู้ไหม
ไม่ได้บอกว่าฉันน่ะดี แต่ว่าฉันคงไม่ทำเธอแบบนี้
ผู้ชายน่ะเลว แต่ว่าก็ไม่ใช่ทุกคน

เธอบอกว่าผู้ชายนั้นไม่ดี
ฉันว่าไม่ใช่ทุกคน
เธอยังคงเก็บเขาไว้อยู่ใน Memory
(แล้วมันเก็บแกไว้บ้างป่ะ)

แต่ว่าเขาคงไม่เคยคิดจะแคร์ คิดจะแล
และเขาแค่คิดจะหลอก
คิดจะหลอกเธอก็แค่เท่านั้น
ยังมีคนมากมายที่ดีต่อเธอ
(หนึ่งในนั้นคือฉันเอง)

ฉันที่ยังคงจะรอ
และยังคงเป็นฉันคนที่มันทำได้แต่มอง
เธอบอกว่าไม่เข็ดแต่ว่าต้องเจ็บเท่าไรจะพอ
เธอเหนื่อยเธอเหน็ดแล้วเธอก็เก็บไว้จนมันเจ็บกว่าในละคร
So let us get it on

แล้วเธอก็ร้อง ร้องไห้ทุกเวลา
แค่ได้ยินชื่อเขา ก็ไม่อาจกลั้นน้ำตา
แต่ได้โปรดฟังฉันสักครา
ผู้ชายน่ะเลว แต่ว่าก็ไม่ใช่ทุกคน

อย่าไปสนเขาเลยคนสวย
เขามันแค่ผู้ชายเฮงซวย ที่เขาทำกับเธอมันเกินไปรู้ไหม
ไม่ได้บอกว่าฉันน่ะดี แต่ว่าฉันคงไม่ทำเธอแบบนี้
ผู้ชายน่ะเลวแต่ก็ไม่ใช่ทุกคน

ผู้ชายน่ะเลวกว่าหมา แต่เหลือฉันอีกคน",pae_arak
ชิซูกะ,/music/thailyric/8749,"อยากให้เรารักกันเหมือนกับคนสมัยก่อน
บุคคลในตำนานที่ทำให้โลกทั้งโลกร่ำร้อง
คิดถึงกันก็เขียนจดหมาย กอดคอตายตามกัน
ในการ์ตูนหรือนิยายเพ้อฝัน ฉันอยากจะทำเรื่องพวกนั้นกับเธอ

หากฉันเป็นโนบิตะ ฉันจะเป็นชิซูกะ
นั่งไทม์แมชชีนไปหา เมื่อเวลาโดเรมอนง่วงนอน
หากฉันเป็นนกฉัตรชัย ฉันจะเป็นนกสินจัย
รักกันท่ามกลางแสงสี เป็นเสน่ห์ของวงการ

หากฉันเป็นโรมิโอ ฉันจะเป็นจูเลียต
ไม่แคร์เรื่องของตระกูล แล้วกินยาตายไปด้วยกัน
หากฉันเป็นพระราม ฉันจะเป็นนางสีดา
ยกทัพบุกกรุงลงกา ทวงเธอมาจากยักษา

หากฉันเป็นนกเงือกตัวผู้ ฉันจะเป็นนกเงือกตัวเมีย
รักเดียวใจเดียวตลอดกาล ถึงเธอตายฉันจะตายตาม

โธ่ เธอ มันไม่ใช่เรื่องเพ้อฝัน
หากเธอคิดอย่างนั้นเราคงไม่ได้เจอกัน
โธ่ เธอ ฉันเป็นแค่คนเห็นแก่ตัว
แต่ฉันก็แค่กลัว ถ้าฉันตายทีหลังเธอ

หากฉันเป็นช่วง ช่วง ฉันจะเป็นหลินหุ้ย
มีลูกชื่อหลินปิง นอนเกลือกกลิ้งในทรูวิชั่น
หากฉันเป็นชายกลาง ฉันจะเป็นพจมาน
แหกกฎเกณฑ์ ของชนชั้น โดยมีชายน้อยเป็นพยาน

หากฉันเป็นโกโบริ ฉันจะเป็นอังศุมาลิน
วิ่งหลบระเบิดด้วยกัน ถึงเธอตายฉันจะเลี้ยงลูกจนโต
หากฉันเป็น จอห์น เลนน่อน ฉันจะเป็นโยโกะโอโนะ
แก้ผ้าถ่ายปกด้วยกันแล้วแต่งเพลงต่อต้านสงคราม

หากฉันเป็นแปรงสีฟัน ฉันจะเป็นยาสีฟัน
กระทบกันทุกวัน ให้ใกล้ชิดกันมากกว่าเดิม
หากฉันเป็นเป้ อารักษ์ ฉันจะเป็นใครดี
มาร้องเพลงรักด้วยกัน เกี่ยวกับคู่รักในตำนาน

โธ่ เธอ มันไม่ใช่เรื่องเพ้อฝัน
หากเธอคิดอย่างนั้นเราคงไม่ได้เจอกัน
โธ่ เธอ ฉันเป็นแค่คนเห็นแก่ตัว
แต่ฉันก็แค่กลัว ถ้าฉันตายทีหลังเธอ

ถ้าหากว่าฉันตายก่อน ฉันจะกลายเป็นผีมาหลอกเธอ",pae_arak
