song_name,href,lyric,artist
กา กา กา,/music/thailyric/8614,"จะมัวกังวลกันไปทำไม ปล่อยใจลอยไปให้สุขสบาย
ลืมความวุ่นวาย ไปอยู่กับแร้งอยู่กับกา
ก็อยู่คนเดียวให้มันสบาย ไม่รู้ไม่ชี้ไม่คิดไม่แคร์อะไร
มาคล้องแขนโยกย้าย กระโดดออกมา ออกมา เต้นกัน

มาทำอะไรให้มันร่าเริง มาทำชีวิตให้มีชีวา
ยืดแขนยืดขา มาเต้นแร้งเต้นกา
มาเลย บรรเลง ละเลง ไปด้วยกัน
ไม่ต้องไปคิดอะไรให้มากมาย
Coz when you said goodbye
มันอยากตะโกนออกไปว่า กา กา กา กา กา

He He He He He
Ha Ha Ha Ha Ha
กา กา กา กา กา กา

กา ก้า กา ก้า กา ก่า กา ก้า กา ก่า กา
ออกมาเต้นแร้ง ออกมาเต้นกา ออกมา
กา ก้า กา ก้า กา ก่า กา ก้า กา ก่า กา
ออกมาเต้นแร้ง ออกมาเต้นกา ออกมา

กา กา กา กา กา
He He He He He
Ha Ha Ha Ha Ha

ก็อยู่อย่างนี้โดยไม่มีเขา ก็อย่าไปเหงาทำใจให้ว่าง
In to the sky ไปอยู่กับแร้ง อยู่กับกา
ก็อยู่คนเดียวให้มันสบาย ไม่รู้ไม่ชี้ไม่คิดไม่แคร์อะไร
มาคล้องแขนโยกย้าย กระโดดออกมา ออกมาเต้นกัน

มาทำอะไรให้มันร่าเริง มาทำชีวิตให้มีชีวา
ยืดแขนยืดขา มาเต้นแร้งเต้นกา
ยุกยิกยึกยักย๊อกแย๊กยึกยือ กุ๊กกิ๊กดุ๊กดิ๊กกระดุ๊กกระดึ๊กดือ
บ้า บ้า บ้า บ้า บ้า บ้า บ้า บ้า
มันอยากตะโกนออกไปว่า กา กา กา กา กา

He He He He He
Ha Ha Ha Ha Ha
กา กา กา กา กา กา

กา ก้า กา ก้า กา ก่า กา ก้า กา ก่า กา
ออกมาเต้นแร้ง ออกมาเต้นกา ออกมา
กา ก้า กา ก้า กา ก่า กา ก้า กา ก่า กา
ออกมาเต้นแร้ง ออกมาเต้นกา ออกมา

กา กา กา กา กา
He He He He He
Ha Ha Ha Ha Ha
กา กา กา กา กา กา

กา กา กา กา กา
He He He He He
Ha Ha Ha Ha Ha
กา กา กา กา กา กา",palmy
คราย คราย คราย (Cry Cry Cry),/music/thailyric/8497,"มองฟ้า เมฆครึ้มสีหม่น
รักที่ร่วงหล่น กับฝนที่ประปราย
คิดถึงวันเก่า สองเราเปียกปอน
ท่ามกลางสายฝนโปรยอ่อน
และเธอกับฉันสัมผัสกัน

ช่วงเวลาที่เหมือนเคยอยู่ในฝัน
จ้องมองดูสายฝนพรำเหลืออยู่
กับวันที่สายไป นั่งมองดูฟ้าคิดถึงเธอ

ฉันก็จะเอาแต่ Cry Cry Cry Cry Cry Cry
ในวันที่ฝนโปรย เหม่อมองดูฟ้าร้องไห้
ฉันก็จะเอาแต่ Cry Cry Cry Cry Cry Cry
ในวันที่ฝนพรำคือวันที่ฉันไม่มีเธออีกต่อไป

แต่เวลาก็หมุนวนอยู่อย่างนั้น
และใจฉันเหงาเหลือเกินทุกคราว
ที่มองดูฝนพรำ ยิ่งทำให้ฉันคิดถึงเธอ

ฉันก็จะเอาแต่ Cry Cry Cry Cry Cry Cry
ในวันที่ฝนโปรย เหม่อมองดูฟ้าร้องไห้
ฉันก็จะเอาแต่ Cry Cry Cry Cry Cry Cry
ในวันที่ฝนพรำคือวันที่ฉันไม่มีเธออีกต่อไป",palmy
คิดมาก,/music/thailyric/8402,"บอกกับฉันได้ไหม
ว่ามันเป็นความจริงหรือว่าฉันคิดมาก
ใจฉันเริ่มจะหวั่นไหว
กับคำถามที่ยังไม่ได้คำตอบ

บอกความในใจกับฉัน
อยากจะรู้ว่าใจเธอคิดเช่นไร
หรือว่าเธอคิดจะแกล้งกัน
เธออยากเห็นน้ำตาของฉันใช่ไหม

อยากจะบอกให้เธอรู้
ว่าใจฉันนั้นมันกังวลแค่ไหน
ก่อนจะพูดอะไรออกมา
อยากจะขอให้เธอสัญญา
ว่าเธอจะไม่ทำให้ฉันต้องเสียใจ

ก็ความรักของเรายังดีอยู่ใช่ไหม
ในความฝันเรายังมีกันใช่ไหม
ใจเธอนั้นมันยังไม่ได้เปลี่ยนไป
และความรักของเรายังคงเหมือนเดิม

อยากจะขอให้เธอได้พูดเช่นนี้
บอกกับฉันว่าใจเธอคิดเช่นนี้
บอกกับฉันให้ฉันมั่นใจสักที
ว่าความรักของเรายังคงเหมือนเดิม ใช่หรือเปล่า

ทำไมเธอช่างใจร้าย
เธอรู้ไหมว่าฉันเป็นคนคิดมาก
ทำให้ใจฉันวุ่นวาย
เป็นแบบนี้แล้วใครจะรับผิดชอบ

อยากจะบอกให้เธอรู้
ว่าใจฉันนั้นมันกังวลแค่ไหน
ก่อนจะพูดอะไรออกมา
อยากจะขอให้เธอสัญญา
ว่าเธอจะไม่ทำให้ฉันต้องร้องไห้

ก็ความรักของเรายังดีอยู่ใช่ไหม
ในความฝันเรายังมีกันใช่ไหม
ใจเธอนั้นมันยังไม่ได้เปลี่ยนไป
และความรักของเรายังคงเหมือนเดิม

อยากจะขอให้เธอได้พูดเช่นนี้
บอกกับฉันว่าใจเธอคิดเช่นนี้
บอกกับฉันให้ฉันมั่นใจสักที
ว่าความรักของเรายังคงเหมือนเดิม ใช่หรือเปล่า

ก็ความรักของเรายังดีอยู่ใช่ไหม
ในความฝันเรายังมีกันใช่ไหม
ใจเธอนั้นมันยังไม่ได้เปลี่ยนไป
และความรักของเรายังคงเหมือนเดิม

อยากจะขอให้เธอได้พูดเช่นนี้
บอกกับฉันว่าใจเธอคิดเช่นนี้
บอกกับฉันให้ฉันมั่นใจสักที
ว่าความรักของเรายังคงเหมือนเดิม ใช่หรือเปล่า",palmy
นาฬิกาเรือนเก่า,/music/thailyric/9001,"นาฬิกาเรือนเก่า เวลาไม่เดินแล้ว
ไม่มีวี่แวว เนิ่นนานเท่าไร
นาฬิกาเรือนเก่า ที่เคยหยุดเอาไว้
อยู่ในหัวใจ เวลาของเรา

ความรักเมื่อวันวาน ความฝันที่เคยต้องการ
มองเข็มนาฬิกาหยุดอยู่อย่างนั้น

มันผ่านไปแล้วจริงๆ ใช่ไหม รักที่มันเนิ่นนาน
แต่ลึกๆ ก็ยังหวั่นไหว ยังฝันเหมือนยังรออยู่
เหมือนยังคอยอยู่ใช่ไหม ไม่เข้าใจเหมือนกัน
อยากให้เธอยังอยู่ตรงนี้กับฉัน เหมือนยังรออยู่
เหมือนยังคอยอยู่ เหมือนว่ายังอยู่

นาฬิกาเรือนเก่า อาจไม่มีความหมาย
แค่ผ่านพ้นไป อาจไม่สำคัญ
แต่นาฬิกาเรือนเก่า ยังบอกเวลาฉัน
บอกว่าครั้งนึง เราเคยรักกัน

ความรักเมื่อวันวาน ความฝันที่เคยต้องการ
มองเข็มนาฬิกาหยุดอยู่อย่างนั้น

มันผ่านไปแล้วจริงๆ ใช่ไหม รักที่มันเนิ่นนาน
แต่ลึกๆ ก็ยังหวั่นไหว ยังฝันเหมือนยังรออยู่
เหมือนยังคอยอยู่ใช่ไหม ไม่เข้าใจเหมือนกัน
อยากให้เธอยังอยู่ตรงนี้กับฉัน เหมือนยังรออยู่
เหมือนยังคอยอยู่ เหมือนว่ายังอยู่

มันผ่านไปแล้วจริงๆ ใช่ไหม รักที่มันเนิ่นนาน
แต่ลึกๆ ก็ยังหวั่นไหว ยังฝันเหมือนยังรออยู่
เหมือนยังคอยอยู่ใช่ไหม ไม่เข้าใจเหมือนกัน
อยากให้เธอยังอยู่ตรงนี้กับฉัน เหมือนยังรออยู่
เหมือนยังคอยอยู่ เหมือนว่ายังอยู่",palmy
กุญแจที่หายไป,/music/thailyric/3541,"ฉันคอยเอาแต่กลัว ไม่คบใคร ปิดตัวเอง
หลายคนดี แต่ฉันไม่ไว้ใจ...
เพราะมองใครต่อใคร ที่รักมา จบลงไป
ฉันกลัวทนไม่ไหว ที่รักเอง

มีหัวใจไม่เคยได้ใช้...
จนเหมือนคนที่ไร้...จิตใจ
ปิดตายทุกอย่างเสมอมา...
เธอเหมือนเป็นกุญแจที่หาย...
เป็นเหมือนคนที่ไขประตูให้ฉัน
เปิดใจดวงนี้ เปิดมันด้วยรัก...จากเธอ....

ถ้าฉันดีไม่พอ ไม่เหมือนใครอย่างเธอเจอ
เข้าใจกันใช่ไหม ที่ฉันเป็น...

มีหัวใจไม่เคยได้ใช้...
จนเหมือนคนที่ไร้...จิตใจ
ปิดตายทุกอย่างเสมอมา...
เธอเหมือนเป็นกุญแจที่หาย...
เป็นเหมือนคนที่ไขประตูให้ฉัน
เปิดใจดวงนี้ เปิดมันด้วยรัก...จากเธอ....",palmy
ความเจ็บปวด,/music/thailyric/3544,"ใคร คนที่เคยรู้ใจ
รอยยิ้มที่เคยรู้จัก
กำลังจะหายลับไปทุกที

คำพูดที่ซึ้งใจ
ที่เคยว่ารักมากมาย
ไม่มีอีกแล้วนับจากนี้

แต่คนจะไปก็ต้องไป
รักเท่าไหร่แต่ฉันคงทำได้เท่านี้

ได้แต่ยินยอมรับความเจ็บปวด
และฉันจะอดทนแม้แทบขาดใจ
ไม่อาจจะวิ่งหนีความจริงที่มันโหดร้าย
จะพร้อมจะยอมเข้าใจความเปลี่ยนแปลง

จะอยู่เพื่อเรียนรู้ความเจ็บปวด
จะฝืนเดินต่อไป แต่ไร้เรี่ยวแรง
และคงมีที่สักวันหนึ่ง ฉันจะเข้มแข็ง
ถึงแม้ไม่รู้ต้องนาน สักเท่าไร

เธอ เธอเคยเป็นทุกสิ่ง
จะขอขอบคุณทุกอย่าง
ที่เคยให้ฉันจนวันนี้

แต่คนจะไปก็ต้องไป
รักเท่าไรแต่ฉันคงทำได้เท่านี้

ได้แต่ยินยอมรับความเจ็บปวด
และฉันจะอดทนแม้แทบขาดใจ
ไม่อาจจะวิ่งหนีความจริงที่มันโหดร้าย
จะพร้อมจะยอมเข้าใจความเปลี่ยนแปลง

จะอยู่เพื่อเรียนรู้ความเจ็บปวด
จะฝืนเดินต่อไป แต่ไร้เรี่ยวแรง
และคงมีที่สักวันหนึ่ง ฉันจะเข้มแข็ง
ถึงแม้ไม่รู้ต้องนานสักเท่าไร

และคงมีที่สักวันหนึ่ง ฉันจะเข้มแข็ง
ถึงแม้ไม่รู้ต้องนาน..สักเท่าไร",palmy
จากกันตรงนี้,/music/thailyric/3546,"ฉันก็คงไม่ขอให้เธอกอด เพราะรู้ดีว่ามันฝืนใจ
และฉันคงไม่ขอร้องอะไร เพราะใจเธอคงไม่มี...

จากกันตรงนี้ จบกันตรงนี้ ไม่มีอะไรรบกวนใจกัน
จากกันตรงนี้ ไม่ต้องห่วงฉัน ช่วยทิ้งฉันไว้คนเดียว

ฉันอยากนึกถึงความสุข เรื่องเก่าที่เราคุยกัน
ฉันอยากนึกถึงเมื่อวาน ที่ผ่านที่พ้นกันมา
ขออยู่กับช่วงเวลา ที่จะสูญเสียมันไป
แม้ต้องเจ็บช้ำเพียงใด ฉัน...ไม่อยากลืม...

ฉันก็คงไม่ขอให้เธอปลอบ ทั้งที่จริงยิ่งกว่าเสียใจ
และฉันคงไม่สงสัยอะไร ในการกระทำของเธอ...

จากกันตรงนี้ จบกันตรงนี้ ไม่มีอะไรรบกวนใจกัน
จากกันตรงนี้ ไม่ต้องห่วงฉัน ช่วยทิ้งฉันไว้คนเดียว

ฉันอยากนึกถึงความสุข เรื่องเก่าที่เราคุยกัน
ฉันอยากนึกถึงเมื่อวาน ที่ผ่านที่พ้นกันมา
ขออยู่กับช่วงเวลา ที่จะสูญเสียมันไป
แม้ต้องเจ็บช้ำเพียงใด ฉัน...ไม่อยากลืม...

ลา ล้า ลา......

ฉันอยากนึกถึงความสุข เรื่องเก่าที่เราคุยกัน
ฉันอยากนึกถึงเมื่อวาน ที่ผ่านที่พ้นกันมา
ขออยู่กับช่วงเวลา ที่จะสูญเสียมันไป
แม้ต้องเจ็บช้ำเพียงใด ฉัน...ไม่อยากลืม...",palmy
ติ๊กต่อก,/music/thailyric/3549,"มันบังเอิญว่าฉันไม่มีใคร
พอเธอดีกับฉันเลยดีใจมาก ความรักเลยมาเยือน
มันบังเอิญว่าเห็นเธอมีใจ
ดีจริงๆที่ฉันมีเธอเคียงข้าง แต่ฉันยังไม่มั่นใจ

รอให้เธอพูดก่อน ขอให้เธอนั้นบอกว่ารัก
เธอก็ยังไม่บอก เธอก็ยังทำเหมือนไม่มีอะไร

อยากฟังคำว่ารักช่วยบอกซักที
รักไม่รักแค่นี้ง่ายๆ
บอกได้ไหมรีบบอก โอ้ววว..วว
ก็มันกลัวไม่ทัน
เธอช่วยคิดเร็วๆ
(คงทำได้)

มันบังเอิญไม่เห็นเธอมีใคร
มองๆไปก็เหมือนว่าเธอยังว่าง ตัวฉันเลยวางใจ
มันบังเอิญว่าเห็นกันมานาน
เธอทำดีกับฉันไม่มีใครเท่า เลยเข้าใจไปว่ารัก

รอให้เธอพูดก่อน ขอให้เธอนั้นบอกว่ารัก
เธอก็ยังไม่บอก เธอก็ยังทำเหมือนไม่มีอะไร

อยากฟังคำว่ารักช่วยบอกซักที
รักไม่รักแค่นี้ง่ายๆ
บอกได้ไหมรีบบอก โอ้ววว..วว
ก็มันกลัวไม่ทัน
เธอช่วยคิดเร็วๆ
(คงทำได้)

อยากฟังคำว่ารักช่วยบอกซักที
รักไม่รักแค่นี้ง่ายๆ
บอกได้ไหมรีบบอก โอ้ววว..วว
ก็มันกลัวไม่ทัน
เธอช่วยคิดเร็วๆ
(คงทำได้)

อยากฟังคำว่ารักช่วยบอกซักที
รักไม่รักแค่นี้ง่ายๆ
บอกได้ไหมรีบบอก โอ้ววว..วว
ก็มันกลัวไม่ทัน
เธอช่วยคิดเร็วๆ
(คงทำได้)

ก็คบซักที",palmy
ปล่อย,/music/thailyric/3554,"ปล่อย...ปล่อยให้หัวใจ ลืมวันที่เศร้าใจ
เรื่องที่งมงาย ลบมันออกไป...เสียที
กี่วันแล้ว...ที่เป็นแบบนี้
มองแบบในแง่ดี แค่อีกซักที หัวใจจะดีรู้ไหม....

โลกมันยังหมุนไป อย่ามัวไปเสียดาย หัวใจ...ของเรา
ในเมื่อคนรักจริง อาจไม่ใช่เขา...ช่างมัน ช่างมัน
เก็บใจเอาไว้เถอะนะ ไม่นานเราคงจะลืม

เหนื่อยพอแล้ว....กับความผูกพัน....
ทิ้งมันให้เนิ่นนาน มันก็เท่านั้น ให้มันจบไป ดีไหม...

โลกมันยังหมุนไป อย่ามัวไปเสียดาย หัวใจ...ของเรา
ในเมื่อคนรักจริง อาจไม่ใช่เขา...ช่างมัน ช่างมัน
เก็บใจเอาไว้เถอะนะ ไม่นานเราคงจะลืม

ชู้ว..ดา ดี๊ ดู ด๊า ชู้ว..ดา ดี๊ ดู ด๊า
ชู้ว..ดา ดี๊ ดู ด๊า ชู้ว..ดา ดี๊ ดู ด๊า...ฮู้ว....

โลกมันยังหมุนไป อย่ามัวไปเสียดาย หัวใจ...ของเรา
ในเมื่อคนรักจริง อาจไม่ใช่เขา...ช่างมัน ช่างมัน

โลกมันยังหมุนไป อย่ามัวไปเสียดาย หัวใจ...ของเรา
ในเมื่อคนรักจริง อาจไม่ใช่เขา...ช่างมัน ช่างมัน
เก็บใจเอาไว้เถอะนะ ไม่นานเราคงจะลืม

เก็บใจเอาไว้เถอะนะ ไม่นานเราคงจะลืม...",palmy
ไม่มีคำจำกัดความ,/music/thailyric/3560,"มันก็คงเป็นเหมือนอารมณ์ที่มองทะเล
และเห็นดวงดาวอยู่เต็มท้องฟ้า...
มันก็คงเป็นเหมือนเวลาที่เราพอใจ
เมื่อได้ยินเพลงถูกใจซ้ำ ๆ....

บางอย่าง... มันไม่ต้องใช้สัมผัส รับและรู้ด้วยหัวใจ....

ความรัก...ถึงมันจะมองไม่เห็น ก็เป็นอะไรที่ใจรู้สึก...
ความรัก...สวยงามไปตามที่นึก ลึกซึ้งและเกินกว่าคำใดๆ
ไม่มี...คำจำกัดความ....

มันก็คงจะคล้ายเวลาที่เราระบาย
เติมสีภาพวาดให้ตามสีสัน...
มันก็คงจะคล้ายเวลาหมื่นพันละออง
ไอฝนรวมกันหลั่งจากท้องฟ้า...

บางอย่าง... มันไม่ต้องใช้สัมผัส รับและรู้ด้วยหัวใจ....

ความรัก...ถึงมันจะมองไม่เห็น ก็เป็นอะไรที่ใจรู้สึก...
ความรัก...สวยงามไปตามที่นึก ลึกซึ้งและเกินกว่าคำใดๆ
ไม่มี...คำจำกัดความ....

ความรัก...ถึงมันจะมองไม่เห็น ก็เป็นอะไรที่ใจรู้สึก...
ความรัก...สวยงามไปตามที่นึก ลึกซึ้งและเกินกว่าคำใดๆ
ไม่มี...คำจำกัดความ....

ความรัก...ถึงมันจะมองไม่เห็น ก็เป็นอะไรที่ใจรู้สึก...
ความรัก...สวยงามไปตามที่นึก ลึกซึ้งและเกินกว่าคำใดๆ
ไม่มี...คำจำกัดความ....",palmy
