song_name,href,lyric,artist
อกหักปากแข็ง,/music/thailyric/3379,"ไม่ต้องการหรอกความเห็นใจ ที่ใครๆให้มา
ไม่อยากน่าสงสารขนาดนั้น
เจอะกับใครก็ยังยิ้มให้ ฝืนมันไปทุกวัน
เพื่อแสดงว่าฉันไม่อ่อนแอ

แล้วพออยู่คนเดียวที่น้ำตามันไหล
เพราะว่าปากกับใจที่ไม่ตรงกัน

อกหักแต่ทำแข็งแกร่ง อกหักปากแข็งทุกราย
หัวใจมันแตกสลาย ไม่มีชิ้นดี
ปากบอกว่าลืมเขาได้ แต่ใจไม่ลืมสักที
ผู้หญิงก็เป็นแบบนี้ แกล้งทำเป็นดีทั้งที่เจ็บ

ไม่อยากเจอหน้าคนรู้จักที่เข้ามาทักทาย
มันก็อายที่ฉันเป็นคนแพ้
ไม่อยากดูว่ายังเสียใจ ก็เลยทำไม่แคร์
ไม่ต้องการเลยแม้ความห่วงใย

แล้วพออยู่คนเดียวที่น้ำตามันไหล
เพราะว่าปากกับใจที่ไม่ตรงกัน

อกหักแต่ทำแข็งแกร่ง อกหักปากแข็งทุกราย
หัวใจมันแตกสลาย ไม่มีชิ้นดี
ปากบอกว่าลืมเขาได้ แต่ใจไม่ลืมสักที
ผู้หญิงก็เป็นแบบนี้ แกล้งทำเป็นดีทั้งที่เจ็บ

อกหักแต่ทำแข็งแกร่ง อกหักปากแข็งทุกราย
หัวใจมันแตกสลาย ไม่มีชิ้นดี
ปากบอกว่าลืมเขาได้ แต่ใจไม่ลืมสักที
ผู้หญิงก็เป็นแบบนี้ แกล้งทำเป็นดีทั้งที่เจ็บ

ผู้หญิงก็เป็นแบบนี้ แกล้งทำเป็นดีทั้งที่เจ็บ",panadda_ruangwut
ไอ ดู (I Do),/music/thailyric/3380,"ร้องร่วมกับ Rain

ซอ-โร-รึล-นือ-กยอ-กา-มยอน-ซอ-โจ
กึม-ชิก-ซอ-โร- อา-รา- กา-มยอน-ซอ-ฮอน
จเยน- กา-นือ-นูฮู-รี-ออ-ชอ-มยอน- ดู- ลี I do ชิน-กู-ดึล-อา-เพ-ซอ

อู-รี-กา-ชิน-กู-ซา-อิล-ลอ-มอ-ซอ
ดู-ลี-ยอง-วอน-ฮัม-เก-ฮา-กี-โร-เฮซ-ดา-มยอ I do

And I wanna know, it’s the only me who can feel this way
สัญญามาได้ไหม ถ้าใจคิดตรงกัน จนวันตายเธอกับฉันจะไม่ทิ้งกันไป

I do I do จะมีเธอคนเดียวเรื่อยไป จนวันสุดท้าย I do
ไม่ว่ามันจะเป็นเช่นไร จะทุกข์หรือจะสุข จากนี้จนสิ้นลม

I do I do, wanna spend my life with you คุม-อึล-คู-มยอ I do
โซ-ชุง-ฮัน-กือ-แมง-เซ-รึล-ฮัน-แต-นี-คยอต-เต-แน-กา-นา-วี-คยอ-เตน-นี-กา-อิซ-กี-รึล

ชีวิตเป็นดั่งเส้นทางอันแสนไกล ก็แม้จะไกลเท่าไรไม่สำคัญ
ไม่ว่าร้อนฝนหนาวจะก้าวไปด้วยกัน ได้ยินฉันไหม

And I need to know นา-มัน-นี-รอ-เค-นือ-คิน-กอ-นา-โก
อา-นิม-นอ-โด-แน-มา-อึม-ชอ-รอม-ยอง-วอน-ยี-ฮัม-เก-ฮัล-คุม-มึล-กู-นึน-ชี

I do I do จะมีเธอคนเดียวเรื่อยไป จนวันสุดท้าย I do
ไม่ว่ามันจะเป็นเช่นไร จะทุกข์หรือจะสุข จากนี้จนสิ้นลม

I do I do, wanna spend my life with you
Baby, baby is you, is it true?

อี-เช-ชี-ชัก-คัน-นู-รี-ซา-ราง I know all life has just begun
อา-กือ-แร-โด-นา-โด-โม-รือ-เก-ชัค-โค-นึน-คุม I do
I do, I do what a say it you want me too be with you, I do",panadda_ruangwut
ฝากเธอ,/music/thailyric/3359,"ถึงวันที่จะต้องไปแล้ว ให้สายตาของเราบอกลา
รู้ดีว่าเกินกว่าคำพูดจา สิ่งที่มีในใจเรา

ฉันเองก็เตรียมจัดข้าวของ เก็บแล้วกองไว้ในกระเป๋า
เหลือเพียงสิ่งนึงจะวางที่เก่า เก็บหัวใจไว้ที่เธอ

ฝากเธอเก็บเอาไว้นะ รักษาดีๆ หัวใจที่ฉันให้เธอ
ก่อนนอนช่วยกอดไว้ ให้อุ่นอยู่เสมอ สัญญากับฉันได้ไหม

ฉันเองก็คงจะไม่เหงา ก็เพราะเรายังคงห่วงใย
ไม่เอาอะไรติดตัวมากมาย แค่หัวใจเธอก็พอ

ฝากเธอเก็บเอาไว้นะ รักษาดีๆ หัวใจที่ฉันให้เธอ
ก่อนนอนช่วยกอดไว้ ให้อุ่นอยู่เสมอ สัญญากับฉันได้ไหม

ฉันเองก็คงจะไม่เหงา ก็เพราะเรายังคงห่วงใย
ไม่เอาอะไรติดตัวมากมาย แค่หัวใจเธอก็พอ

ไม่เอาอะไรติดตัวมากมาย แค่หัวใจเธอก็พอ",panadda_ruangwut
คนเลวที่รักเธอ,/music/thailyric/3350,"โมโหตัวเอง ที่มาถึงช้าไป ก็ฉันแค่คนมาทีหลัง
แล้วยังมีสิทธิอะไร ที่ไปทำให้ใครเขาเลิกกัน

ก็รู้ว่าผิด เธอเป็นของคนอื่น ก็ของๆใคร ใครก็รัก
ถ้าเอามาก็ต้องคืน แต่ฉันเป็นคนก็มีหัวใจ

จะขอเป็นคนเลวที่รักเธอที่สุด
ถึงใครจะมองแบบไหน
ไม่ขอเป็นคนดีที่รักเธอไม่ได้
ไม่อยากเป็นคนดีที่ไม่มีความสุข

เมื่อฉันรักเธอ ก็รักด้วยหัวใจ ถ้าฉันรักเธอด้วยสมอง
ก็คงยอมจะจากไป และทำตามที่ใครเขาพูดกัน

ก็รู้ว่าผิด เธอเป็นของคนอื่น ก็ของๆใคร ใครก็รัก
ถ้าเอามาก็ต้องคืน แต่ฉันเป็นคนก็มีหัวใจ

จะขอเป็นคนเลวที่รักเธอที่สุด
ถึงใครจะมองแบบไหน
ไม่ขอเป็นคนดีที่รักเธอไม่ได้
ไม่อยากเป็นคนดีที่ไม่มีความสุข

จะขอเป็นคนเลวที่รักเธอที่สุด
ถึงใครจะมองแบบไหน
ไม่ขอเป็นคนดีที่รักเธอไม่ได้
ไม่อยากเป็นคนดีที่ไม่มีความสุข",panadda_ruangwut
จดหมาย,/music/thailyric/3351,"นั่งลงเขียนจดหมายให้เธอ
นั่งเขียนข้อความจากใจฉัน
ให้ลายมือเป็นเหมือนทางผ่าน
ช่วยสานหัวใจให้ใกล้เธอ

มีร่องรอยให้เห็นมากมาย
ที่ทิ้งไว้ยามเมื่อใจเผลอ
ในระหว่างบรรทัดจะเจอ
จะเห็นเรื่องราวในหัวใจ

จะส่งความรักที่ฉันซ่อนในอากาศ
เมื่อยามที่ฉันหายใจ
ส่งความคิดถึง คิดถึงเธอทั้งหัวใจ
ให้รู้ว่ายังเป็นห่วง

เขียนหนังสืออยู่ข้างรูปถ่าย
ให้คล้ายว่าเธอไม่ห่างฉัน
เติมข้อความลงท้ายสั้นสั้น
ให้รู้ว่าฉันยังรักเธอ

จะส่งความรักที่ฉันซ่อนในอากาศ
เมื่อยามที่ฉันหายใจ
ส่งความคิดถึง คิดถึงเธอทั้งหัวใจ
ให้รู้ว่ายังเป็นห่วง

เขียนหนังสืออยู่ข้างรูปถ่าย
ให้คล้ายว่าเธอไม่ห่างฉัน
เติมข้อความลงท้ายสั้นสั้น
ให้รู้ว่าฉันยังรักเธอ

เติมข้อความลงท้ายสั้นสั้น
ให้รู้หัวใจมีเพียงเธอ",panadda_ruangwut
ต้นไม้ไม่โตในวันเดียว,/music/thailyric/3354,"อาจเพราะว่าความรัก ที่ฉันและเธอฝัน
ดูมันไม่ค่อยงดงาม...
แหละเหมือนที่ใจนั้น เกิดคิดเป็นคำถาม
นี่เรายังทำอะไรน้อยไป...

ทบทวนและคิดมานาน แล้วมันก็เข้าใจ
สิ่งดีๆ ทำไมดูเหมือนช้า...

ในเมื่อต้นไม้ไม่โตในวันเดียว
ก็เหมือนความรักที่เราปลูกด้วยใจ
อาจดูว่าช้า ก็ไม่เคยสายไป
ให้รักเราผลิใบ ค่อยๆ โตอย่างแข็งแรง

ต้นไม้ที่ดูสูง กิ่งสูงจนเสียดฟ้า จะปลูกต้องใช้เวลา
ก็เหมือนดังความรัก อยากเห็นมันผลิบาน
ต้องหมั่นรินความอดทนเข้าไป

ทบทวนและคิดมานาน แล้วมันก็เข้าใจ
สิ่งดีๆ ทำไมดูเหมือนช้า...

ในเมื่อต้นไม้ไม่โตในวันเดียว
ก็เหมือนความรักที่เราปลูกด้วยใจ
อาจดูว่าช้า ก็ไม่เคยสายไป
ให้รักเราผลิใบ ค่อยๆ โตอย่างแข็งแรง

ในเมื่อต้นไม้ไม่โตในวันเดียว
ก็เหมือนความรักที่เราปลูกด้วยใจ
อาจดูว่าช้า ก็ไม่เคยสายไป
ให้รักเราผลิใบ ค่อยๆ โตอย่างแข็งแรง",panadda_ruangwut
ผู้ชายดีดีหายไปไหนหมด,/music/thailyric/3357,"เหงาเป็นอาชีพ ไม่ได้เหงากันเล่น ๆ
ฉันไม่ได้อืดอาด ฉันไม่ได้ใจเย็น
ก็ความรักตัวเป็นๆ อยู่ที่ใด

หัวใจยังว่าง อยากจะหาใครสักคน มีไหม
ฉันไม่ได้อวดเก่ง ฉันก็แค่มีใจ
เก็บเอาไว้ให้กับคนที่ต้องการ

แต่เท่าที่เจอมันไม่ถูกใจ
จะทำอะไรมันก็เลยฟุ้งซ่าน
จะมีบ้างไหมใครที่ใจตรงกัน
ก็แค่ต้องการใครสักคนรู้ใจ

ผู้ชายดีดีหายไปไหนกันหมด
ฉันเลยต้องโสด โสดเกินจะทนไหว
อยากมีสักคนที่จะรักเอาใจใส่
ด้วยความเต็มใจห่วงใยคงเข้าที
ผู้ชายดีดีหายไปไหนกันหมด
ฉันเลยต้องโสด โสด โสดอยู่อย่างนี้
อยากมีเจ้าชายสักคนที่แสนดี
ที่คอยดูแลเข้าใจกันและกัน ตลอดไป

ไม่ได้เลือกมาก แค่อยากจะรักคนดีดี มีไหม
ฉันไม่ได้โลเล ฉันไม่ได้โวยวาย
อยากจะหาใครสักคนที่ต้องการ

แต่เท่าที่เจอมันไม่ถูกใจ
จะทำอะไรมันก็เลยฟุ้งซ่าน
จะมีบ้างไหมใครที่ใจตรงกัน
ก็แค่ต้องการใครสักคนรู้ใจ

ผู้ชายดีดีหายไปไหนกันหมด
ฉันเลยต้องโสด โสดเกินจะทนไหว
อยากมีสักคนที่จะรักเอาใจใส่
ด้วยความเต็มใจห่วงใยคงเข้าที
ผู้ชายดีดีหายไปไหนกันหมด
ฉันเลยต้องโสด โสด โสดอยู่อย่างนี้
อยากมีเจ้าชายสักคนที่แสนดี
ที่คอยดูแลเข้าใจกันและกัน ตลอดไป

แต่เท่าที่เจอมันไม่ถูกใจ
จะทำอะไรมันก็เลยฟุ้งซ่าน
จะมีบ้างไหมใครที่ใจตรงกัน
ก็แค่ต้องการใครสักคนรู้ใจ

ผู้ชายดีดีหายไปไหนกันหมด
ฉันเลยต้องโสด โสดเกินจะทนไหว
อยากมีสักคนที่จะรักเอาใจใส่
ด้วยความเต็มใจห่วงใยคงเข้าที
ผู้ชายดีดีหายไปไหนกันหมด
ฉันเลยต้องโสด โสด โสดอยู่อย่างนี้
อยากมีเจ้าชายสักคนที่แสนดี
ที่คอยดูแลเข้าใจกันและกัน ตลอดไป

ผู้ชายดีดีหายไปไหนกันหมด
ฉันเลยต้องโสด โสดเกินจะทนไหว
อยากมีสักคนที่จะรักเอาใจใส่
ด้วยความเต็มใจห่วงใยคงเข้าที
ผู้ชายดีดีหายไปไหนกันหมด
ฉันเลยต้องโสด โสด โสดอยู่อย่างนี้
อยากมีเจ้าชายสักคนที่แสนดี
ที่คอยดูแลเข้าใจกันและกัน ตลอดไป",panadda_ruangwut
ฝนแปดแดดสี่,/music/thailyric/3358,"เบื่อบ้างไหมที่ฉันทำตัวไม่ได้ความ
เหนื่อยบ้างไหมที่เธอต้องตามง้องอน
ก็เพราะฉันอารมณ์มันลุ่มๆ ดอนๆ
ทำให้เธอต้องอ่อนใจ

เจ้าปัญหา เอาใจตัวเองตอนกลางวัน
แต่พอผ่านกลางคืนก็ลืมง่ายดาย
เจอะอย่างนี้จะพยากรณ์กันยังไง เธอคงเดาไม่ถูก

ประมาณไว้ว่าฝนแปด แต่แล้วก็เป็นแดดสี่
แปรปรวนกันได้ทุกที ให้เธอต้องมีเรื่องวุ่นวาย

ก็เพราะฉันมันเป็นผู้หญิงธรรมดา
อาจจะมีเวลาที่มันพลาดไป
แต่อย่างน้อยก็ขอให้รู้และเข้าใจ ว่าฉันนั้นรักเธอ

เบื่อบ้างไหมที่ฉันทำตัวไม่ได้ความ
เหนื่อยบ้างไหมที่เธอต้องตามง้องอน
ก็เพราะฉันอารมณ์มันลุ่มๆ ดอนๆ
ทำให้เธอต้องอ่อนใจ

เจ้าปัญหา เอาใจตัวเองตอนกลางวัน
แต่พอผ่านกลางคืนก็ลืมง่ายดาย
เจอะอย่างนี้จะพยากรณ์กันยังไง เธอคงเดาไม่ถูก

ถ้าไม่รู้จะทำอย่างไร ช้าด้าดาดา...
ขอให้เธอช่วยทนฉันหน่อย
ต่อให้ฉันจะเป็นอย่างไร ทั้งหัวใจฉันมีให้เธอ

ประมาณไว้ว่าฝนแปด แต่แล้วก็เป็นแดดสี่
แปรปรวนกันได้ทุกที ให้เธอต้องมีเรื่องวุ่นวาย

ก็เพราะฉันมันเป็นผู้หญิงธรรมดา
อาจจะมีเวลาที่มันพลาดไป
แต่อย่างน้อยก็ขอให้รู้และเข้าใจ ว่าฉันนั้นรักเธอ",panadda_ruangwut
ภูเขาน้ำแข็ง,/music/thailyric/3362,"ไม่ใช่ฉันไม่เคยรักเธอ
หรือฉันเป็นคนที่เฉยชา
ไม่ใช่ฉันดีใจที่บอกลา
แค่คิดว่าอยากจริงใจ

เพราะว่าฉันรู้ ที่เธอเป็นอื่น
เพราะว่าฉันเห็นที่เธอคอยปิด
เพราะว่าฉันคิดและก็ทนเก็บไว้

แต่ต่อให้ภูเขาน้ำแข็งที่เย็นจนจับใจ
ถึงจะดูมั่นคงสักแค่ไหน
เผาโดนไฟทุกวันก็ยังละลาย
แหละต่อให้ความรักที่ฉันให้เธอ
คือด้วยชีวิตและทั้งหัวใจ
ฉันให้ไปเท่าไรก็ถูกทำลาย ไม่เหลือเลย..

ไม่ใช่ฉันจะเคืองแค้นเธอ
หรือเห็นว่าเธอไม่สำคัญ
ถ้าไม่เหลืออะไรให้ผูกพัน
แล้วฉันจะอยู่ทำไม...

เพราะว่าฉันรู้ ที่เธอเป็นอื่น
เพราะว่าฉันเห็นที่เธอคอยปิด
เพราะว่าฉันคิดและก็ทนเก็บไว้

แต่ต่อให้ภูเขาน้ำแข็งที่เย็นจนจับใจ
ถึงจะดูมั่นคงสักแค่ไหน
เผาโดนไฟทุกวันก็ยังละลาย
แหละต่อให้ความรักที่ฉันให้เธอ
คือด้วยชีวิตและทั้งหัวใจ
ฉันให้ไปเท่าไรก็ถูกทำลาย ไม่เหลือเลย..

แต่ต่อให้ภูเขาน้ำแข็งที่เย็นจนจับใจ
ถึงจะดูมั่นคงสักแค่ไหน
เผาโดนไฟทุกวันก็ยังละลาย
แหละต่อให้ความรักที่ฉันให้เธอ
คือด้วยชีวิตและทั้งหัวใจ
ฉันให้ไปเท่าไรก็ถูกทำลาย ไม่เหลือเลย..",panadda_ruangwut
วัน ไฟน์ เดย์ (One Fine Day),/music/thailyric/3373,"แค่มีเธอแค่มีฉัน
อยู่ด้วยกัน ฉันก็สุขใจ
แค่หนึ่งวันกับหนึ่งคน
ที่รู้ใจ ที่ฉันต้องการ
อยู่กับเธออยู่ที่ไหน
ก็ซึ้งใจ สวยไปทั้งนั้น
แค่มีเราอยู่ด้วยกัน
ขาดแสงจันทร์ ก็ไม่เป็นไร

เมฆจะครึ้มเราก็ลืมมันไป
ที่สดใสเป็นเพราะเธอคนเดียว
คำว่ารักเพียงแค่คำคำเดียว
แต่พอฟังทีไรมันลึกซึ้งเกินใคร

อยู่ที่ไหนก็คงไม่สำคัญ
อยู่กับใครนั่นมันสำคัญกว่า
อยู่กับเธอแค่เพียงสบสายตา
ล่องลอยไปทุกที
โลกนี้มีเพียงเราสองคน
(มีเธออยู่กับฉัน)

อยากให้เธออยู่กับฉัน
อยู่ด้วยกัน เหมือนในวันนี้
ไม่มีดาวไม่มีเดือน
ก็สวยดี เท่านี้ก็พอ

เมฆจะครึ้มเราก็ลืมมันไป
ที่สดใสเป็นเพราะเธอคนเดียว
คำว่ารักเพียงแค่คำคำเดียว
แต่พอฟังทีไรมันลึกซึ้งเกินใคร

อยู่ที่ไหนก็คงไม่สำคัญ
อยู่กับใครนั่นมันสำคัญกว่า
อยู่กับเธอแค่เพียงสบสายตา
ล่องลอยไปทุกที
โลกนี้มีเพียงเราสองคน
(มีเธออยู่กับฉัน)

แค่มีเธออยู่ดูดีทุกอย่าง
และเท่านี้ที่ต้องการ
แค่มีรักก็พอแล้ว

อยู่ที่ไหนก็คงไม่สำคัญ
อยู่กับใครนั่นมันสำคัญกว่า
อยู่กับเธอแค่เพียงสบสายตา
ล่องลอยไปทุกที
โลกนี้มีเพียงเราสองคน
(มีเธออยู่กับฉัน)

อยู่ที่ไหนก็คงไม่สำคัญ
อยู่กับใครนั่นมันสำคัญกว่า
อยู่กับเธอแค่เพียงสบสายตา
ล่องลอยไปทุกที
โลกนี้มีเพียงเราสองคน
(มีเธออยู่กับฉัน)",panadda_ruangwut
