song_name,href,lyric,artist
เคียงข้างเธอ,/music/thailyric/3991,"อาจไม่เคยเข้าใจ ผ่านมาแม้จะนานเท่าใด
ยังคงสงสัย สิ่งใดหรือคอยมาดลจิต
ปล่อยความคิด ความฝันไปตามเส้นทางของหัวใจ
ช่วยให้เราได้มาพบกัน

ไม่ใช่ความฝันผ่านๆ แต่มัน คือ ความรักใช่ไหม
ดลบันดาลจิตใจ ทำให้เราได้มาเจอ ได้มารัก
ไม่ใช่ความฝันผ่านๆ แต่มัน คือ ความรักใช่ไหม
ทำจนเราหวั่นไหว ไม่เข้าใจ
แต่ทำไมใจยังพร้อมเคียงข้างเธอ

สิ่งใดหรือคอยมาดลจิต ปล่อยความคิด
ความฝันไปตามเส้นทางของหัวใจ
ช่วยให้เราได้มาพบกัน

ไม่ใช่ความฝันผ่านๆ แต่มันคือความรักใช่ไหม
ดลบันดาลจิตใจ ทำให้เราได้มาเจอ ได้มารัก
ไม่ใช่ความฝันผ่านๆ แต่มัน คือ ความรักใช่ไหม
ทำจนเราหวั่นไหว ไม่เข้าใจ
แต่ทำไมใจยังพร้อมเคียงข้างเธอ

ไม่ใช่ความฝันผ่าน ๆ แต่มันคือความรักใช่ไหม
ดลบันดาลจิตใจ ทำให้เราได้มาเจอ ได้มารัก
ไม่ใช่ความฝันผ่าน ๆ แต่มันคือความรักใช่ไหม
ทำจนเราหวั่นไหว ไม่เข้าใจ
แต่ทำไมใจยังพร้อมเคียงข้างเธอ",papang_af4
รักจริงไม่อิงนิยาย,/music/thailyric/3993,"ผู้ชายที่เลิศเลอ ที่มีในละคร
มีคนต้องการมากมาย
แต่ฉันมีเธอ ใช่พระเอกในนิยาย
แต่มีความหมายกว่านั้น

ที่มีแค่ความจริง ไม่ได้อยู่ในนิยาย
ก็เป็นแค่ผู้ชายธรรมดา
ไม่เคยคิดต้องการเทพบุตรจากฟากฟ้า
ก็ฉันก็แค่คนบนพื้นดิน

ที่ฉันต้องการแค่รักจริงไม่อิงนิยาย
ไม่ต้องเป็นเจ้าชาย แค่มนุษย์ที่เดินดิน
ที่รักกันมั่นคงกับในทุกสิ่ง
เรื่องจริงที่ฉันมีเธอ เลิศเลอเกินไปกว่าในนิยาย

เพียงแค่พรุ่งนี้ ยังเป็นเหมือนวันนี้
ก็รู้สึกดีมากมาย
ใจฉันมีใคร ก็เป็นคำตอบที่ง่ายดาย
เธอคือผู้ชายคนนั้น

ที่มีแค่ความจริง ไม่ได้อยู่ในนิยาย
ก็เป็นแค่ผู้ชายธรรมดา
ไม่เคยคิดต้องการเทพบุตรจากฟากฟ้า
ก็ฉันก็แค่คนบนพื้นดิน

ที่ฉันต้องการแค่รักจริงไม่อิงนิยาย
ไม่ต้องเป็นเจ้าชาย แค่มนุษย์ที่เดินดิน
ที่รักกันมั่นคงกับในทุกสิ่ง
เรื่องจริงที่ฉันมีเธอ เลิศเลอเกินไปกว่าในนิยาย

เรื่องจริงที่ฉันมีเธอ เลิศเลอเกินไปกว่าในนิยาย",papang_af4
สักคนที่รักกัน,/music/thailyric/3995,"หรือกรรมมาจากชาติปางไหน
ที่ไม่มี ถึงต้องการคนอย่างฉัน
ถึงทำ เจ็บจนแทบตาย
ไม่มีเยื่อใยให้ฉันเลย

ฉันมันอ่อนและเหนื่อยล้า
หมดเรี่ยวแรงจะรักใครได้สักคน
พอสักที พวกที่ยังทำร้าย
อย่าแกล้งกันให้ต้องทนทรมาน

โปรดเถอะฟ้า ส่งใครมาให้ฉันที
ไม่อยากหนี ความจริงที่ต้องเจอ

อยากมีแค่ใครสักคนที่รักกัน
แค่เท่านั้นที่ชีวิตฉันต้องการ
แค่ใครสักคนที่เขานั้นพร้อมจะเดินเข้ามา
ช่วยตัวฉันให้พ้นจากความทุกข์ระทม

ฉันรอมาจนถึงวันนี้
ยังไม่มีใครต้องการคนอย่างฉัน
ต้องรอไปจนถึงวันไหน
ต้องการสักคนที่เข้าใจ

โปรดเถอะฟ้า ส่งใครมาให้ฉันที
ไม่อยากหนีความจริงที่ต้องเจอ

อยากมีแค่ใครสักคนที่รักกัน
แค่เท่านั้นที่ชีวิตฉันต้องการ
แค่ใครสักคนที่เขานั้นพร้อมจะเดินเข้ามา
มอบความรักในวันและคืนที่ว่างเปล่า

หรือมันจะเป็นแค่เพียงฝันไป
ภาวนาเท่าไรถึงเจอเขาคนนั้น

อยากมีแค่ใครสักคนที่รักกัน
แค่เท่านั้นที่ชีวิตฉันต้องการ
แค่ใครสักคนที่เขานั้นพร้อมจะเดินเข้ามา
มอบความรักในวันและคืนที่ว่างเปล่า

จะคิดจะฝันทุกอย่าง
โปรดเถอะฟ้า
ขอจงเมตตาให้พบเธอ",papang_af4
หลบไปให้พ้น,/music/thailyric/3996,"เธอดูงงๆ คงอยากจะพูดกันตรงๆ
กับสิ่งที่ยังค้างๆ คาๆ และฉันก็ยังสงสัย
ก็เธอดูเปลี่ยนไป รักของเราก็จางหาย
อยากที่จะพูดและอธิบาย ให้ฉันได้พอเข้าใจ

อย่ากลัว ถ้าเธอจะใจร้าย ฉันยังคงไม่ตาย
ไม่เคย ไม่เคยที่จะเสียใจ แค่อยากให้เธอ
ช่วยปิดฉากสุดท้าย

อย่าทำมาเป็นห่วงกัน อย่าทำมาเป็นผูกพัน
ไม่ได้แคร์กันก็จบกันไปใช่เรื่องใหญ่
เธอก็แค่หยดน้ำ ไม่พอที่จะดับไฟ
อยู่ไกลกัน อยู่ห่างไว้
ไม่รักก็หลบไปให้พ้น

หลบไปให้พ้นๆ เลย

ไม่มีอะไรให้ต้องคิด ไม่มีอะไรให้ยึดติด
เธอไม่ได้ผิด มันก็สิทธิ์ของใจ ที่คิดเอาไว้
ยังไงไม่ต้องกังวล ไม่ต้องหวั่นไหว
สองรัก สองจิต สองใจ มันก็คงไม่ดี

อย่ากลัวถ้าเธอจะใจร้าย ฉันคงยังไม่ตาย
ไม่เคย ไม่เคย ที่จะเสียใจ แค่อยากให้เธอ
ช่วยปิดฉากสุดท้าย

อย่าทำมาเป็นห่วงกัน อย่าทำมาเป็นผูกพัน
ไม่ได้แคร์กันก็จบกันไปใช่เรื่องใหญ่
เธอก็แค่หยดน้ำ ไม่พอที่จะดับไฟ
อยู่ไกลกัน อยู่ห่างๆ ไว้
ไม่รักก็หลบไปให้พ้น

ก็แค่คนไม่สำคัญ อย่างเธอ

ฉันมันก็เหมือนไฟ
ลองเผาใครต้องปวดแสบปวดร้อน

อย่าทำมาเป็นห่วงกัน อย่าทำมาเป็นผูกพัน
ไม่ได้แคร์กันก็จบกันไปใช่เรื่องใหญ่
เธอก็แค่หยดน้ำ ไม่พอที่จะดับไฟ
อยู่ให้ไกลกัน อยู่ห่างๆ ไว้
ไม่รักก็หลบไปให้พ้น

เธอก็แค่หยดน้ำ ไม่พอที่จะดับไฟ
อยู่ให้ไกลกันอยู่ห่างๆ ไว้
ไม่รักก็หลบไปให้พ้น

จะบอกไว้อีกครั้ง
ไม่รักก็หลบไปเลย",papang_af4
เหงา..แทนกันดูไหม,/music/thailyric/3998,"เหงาเป็นไงก็เพิ่งรู้ เมื่อตอนโดนเธอทิ้ง
ไปไม่เป็นจริงนะเรา อาการไม่น่าไว้ใจ
คิดจะลืมคนใจร้าย แต่มันก็ไม่หาย
วันทั้งวันก็ยังวุ่นวาย ลืมเธอไม่ได้สักที

เธอบอกให้ทำใจ อีกเดี๋ยวก็เริ่มชิน
คนช้ำที่ได้ยิน ยิ่งฟังยิ่งปวดใจ
ไม่เหงาไม่รู้หรอกเธอ ไม่เจออาการอย่างฉัน
หลับตาก็หนาว พอตื่นก็ฝัน เพ้อถึงเธอทุกวัน

เจ็บนะ ไม่รู้เท่าไร เอาไหมมาลองแลกกัน
ให้เธอปวดร้าว มาเจ็บมาช้ำอย่างฉัน
มาเหงาแทนกันดูไหม

รูปที่เราเคยถ่ายไว้ ใส่กล่องโยนมันทิ้ง
ลืมนะลืม จงลืมทุกสิ่ง แต่มันก็ยังเสียดาย

เธอบอกให้ทำใจ อีกเดี๋ยวก็เริ่มชิน
คนช้ำที่ได้ยินยิ่งฟังยิ่งปวดใจ

ไม่เหงาไม่รู้หรอกเธอ ไม่เจออาการอย่างฉัน
หลับตาก็หนาว พอตื่นก็ฝัน เพ้อถึงเธอทุกวัน
เจ็บนะ ไม่รู้เท่าไร เอาไหมมาลองแลกกัน
ให้เธอปวดร้าว มาเจ็บมาช้ำอย่างฉัน
มาเหงาแทนกันดูไหม

ไม่เหงาไม่รู้หรอกเธอ ไม่เจออาการอย่างฉัน
หลับตาก็หนาว พอตื่นก็ฝัน เพ้อถึงเธอทุกวัน
เจ็บนะ ไม่รู้เท่าไร เอาไหมมาลองแลกกัน
ให้เธอปวดร้าว มาเจ็บมาช้ำอย่างฉัน
มาเหงาแทนกันดูไหม

นั่งซึมจนเช้า ยังเศร้าในฝันอย่างฉัน
ช่วยเหงาแทนกันได้ไหม",papang_af4
ทางหนึ่งซึ่งหวัง,/music/thailyric/3992,"ตะวันลับไปหนทางยังไกล เสมือนไร้ซึ่งจุดหมาย
ดั่งความฝันที่พลันมืดมิด ขาดทิศทางนำฉันไป
แม้ว่าต้องรอ ท้อใจกระไรฝืนใจข่ม
แม้คลื่นลมกระหน่ำให้หวังมลายสิ้น

ผ่านมาตามทางแสนไกล แม้ฉันจะได้ก็แค่เพียงธุลีดิน
หยาดแห่งความรักอบอุ่นที่หลั่งริน สู่หัวใจที่สิ้นศรัทธา
แม้หนทางใหม่อาจไกลสุดลิบตา
ฉันจะฝ่าเรื่อยไปมิไหวหวั่น ด้วยใจยึดมั่น
ตราบวันผันผ่าน เพื่อให้ฝันนั้นเป็นจริง

นานเท่านานหนทางที่ผ่าน ดูเวิ้งว้างและเงียบเหงา
ดั่งฝันร้ายติดตามเป็นเงา เฝ้าย้ำให้เราทุกข์ทน
แล้วมีใครบ้าง หวังเดินตามทาง
แม้หมองหม่นขอเพียงทน อย่าบ่นให้หวังนั้นสูญสิ้น

ผ่านมาตามทางแสนไกล แม้ฉันจะได้ก็แค่เพียงธุลีดิน
หยาดแห่งความรักอบอุ่นที่หลั่งริน สู่หัวใจที่สิ้นศรัทธา
แม้หนทางใหม่อาจไกลสุดลิบตา
ฉันจะฝ่าเรื่อยไปมิไหวหวั่น ด้วยใจยึดมั่น
ตราบวันผันผ่าน เพื่อให้ฝันนั้นเป็นจริง

ไม่มีผู้คนตามหนทาง โดดเดี่ยวอ้างว้างกลางหนทางเปลี่ยว
จะมีใครเหลียวแล ความตายนั้นคือความพ่ายแพ้
สิ่งหนึ่งถึงแม้สิ้นสุด คงไม่หยุดหนทางหวังยังคอย
ไยโดนปล่อยให้หงอยเหงาเดียวดาย

ผ่านมาตามทางแสนไกล แม้ฉันจะได้ก็แค่เพียงธุลีดิน
หยาดแห่งความรักอบอุ่นที่หลั่งริน สู่หัวใจที่สิ้นศรัทธา
แม้หนทางใหม่อาจไกลสุดลิบตา
ฉันจะฝ่าเรื่อยไปมิไหวหวั่น ด้วยใจยึดมั่น
ตราบวันผันผ่าน เพื่อให้ฝันนั้นเป็นจริง",papang_af4
นิสัยไม่ดี,/music/thailyric/8328,"โน่น ก็ว่าไม่ดี ทำอย่างเงี๊ยะ ก็ว่าไม่งาม
โดนทุกที ว่าทุกที เป็นตัวฉันหรือจะให้เป็นเหมือนใคร
พูดก็ไม่เข้าใจ กี่เหตุผล ที่ฉันพูดไป
สิ่งที่ฉันเป็น ไม่เดือดร้อนใคร
แต่ทำไมเธอมองไม่เห็นฉันเลย?

หรือว่าเธอลืมว่าตอนพบกัน
ว่าฉันเมื่อวันก่อนเป็นยังไง
นิสัยไม่ดีก็ยังรับได้
ทำไมวันนี้มันเปลี่ยนไป

ไหนลองบอกมาจะเอายังไง
ถ้าทำอย่างนี้ไม่ดีเท่าไหร่
พูดมา สักคำที่ทำให้เข้าใจ

ถ้าเธอต้องการให้ทำตามใคร
ถ้าฉันคนนี้ไม่ดีเท่าไหร่
ได้เลยบอกมาจะเดินไปให้ไกล ho woh!

ฉัน ก็รู้บางที อาจทำร้ายให้เธอเสียใจ
ที่ทำไม่ดี  ขอโทษที
อยากให้รู้ว่าฉันไม่ได้ตั้งใจ

ถ้า เธอไม่รับฟัง กับเหตุผล ที่ฉันพูดไป
ก็แปลว่าเธอ ไม่มีแล้วใจ และสุดท้ายเธอเองที่ไม่เหมือนเดิม

หรือว่าเธอลืมว่าตอนพบกัน
ว่าฉันเมื่อวันก่อนเป็นยังไง
นิสัยไม่ดีก็ยังรับได้
ทำไมวันนี้มันเปลี่ยนไป

ไหนลองบอกมาจะเอายังไง
ถ้าทำอย่างนี้ไม่ดีเท่าไหร่
พูดมา สักคำที่ทำให้เข้าใจ

ถ้าเธอต้องการให้ทำตามใคร
ถ้าฉันคนนี้ไม่ดีเท่าไหร่
ได้เลยบอกมาจะเดินไปให้ไกล ho woh!

ไหนลองบอกมาจะเอายังไง
ถ้าทำอย่างนี้ไม่ดีเท่าไหร่
พูดมา สักคำที่ทำให้เข้าใจ

ถ้าเธอต้องการให้ทำตามใคร
ถ้าฉันคนนี้ไม่ดีเท่าไหร่
ได้เลยบอกมาจะเดินไปให้ไกล ho woh!

ปั๊ป ปาดั๊บปั๊ปปา ปาดับป๊าดั๊บป๊าดั๊บปั๊ปปา
ปาดับป๊าดั๊บป๊าดั๊บปั๊ปปา ปาดับป๊าดั๊บป๊าดั๊บปั๊ปปา ha!
ปั๊ป ปาดั๊บปั๊ปปา ปาดับป๊าดั๊บป๊าดั๊บปั๊ปปา
ปาดี๊ดา ปาดี๊ดา ปาดีดาดีดาดีปั๊ปปั๊ปปา ha!",papang_af4
พูดสิ (Just Talk),/music/thailyric/11731,"Hey boy เป็นอะไร
ดูเธอไม่ค่อยจะมั่นใจ สบตา กันเมื่อไร
แค่มองก็รู้ ก็รู้ว่าเธอนั้นมีใจ
แต่เพราะอะไร ทำไมนะเธอไม่พูดมา
เรื่องเดียวที่ฉันไม่เข้าใจ
ว่าทำไมเธอไม่คิดจะบอกสักคำ

โอ้ว เธอคิดอะไร ถ้ามีใจยังไงก็บอกมา
เธอแค่พูดตรงๆ หน้างงๆ อย่างนั้นไม่เอาน่า
พูดสิ พูดมา ว่าใจของเธอเป็นไง
แค่บอกความจริงของใจ

You got MVL in the house.
Lady I'm back what
You better listen to this

เขาบอกจะเป็นรุ่นใหญ่หัวใจต้องนิ่ง
จะรักมากรักน้อยไว้ตัวไว้หน่อย
ผู้ใหญ่เค้าสอนไว้ให้นิ่ง
พูดมากระวังจะโดนชิ่ง
นกกระจอกไม่ทันกินน้ำไม่มีน้ำยา มีแต่น้ำจิ้ม

พูดน้อยต่อยหนักก็นี่ล่ะคนจริง
เธอชอบหรือไงผู้ชายที่ดีแต่พูดแต่ทำไม่ได้เลยสักสิ่ง
Nothing, all he can do is
just talk and boasting
คนอย่างพี่ไม่พูดหรอกแต่รักจริง

โอ้ว เธอคิดอะไร ถ้ามีใจยังไงก็บอกมา
เธอแค่พูดตรงๆ หน้างงๆ อย่างนั้นไม่เอาน่า
พูดสิ พูดมา ว่าใจของเธอเป็นไง
แค่บอกความจริงของใจ

โอ้ว เธอคิดอะไร ถ้ามีใจยังไงก็บอกมา
เธอแค่พูดตรงๆ หน้างงๆ อย่างนั้นไม่เอาน่า
พูดสิ พูดมา ว่าใจของเธอเป็นไง
แค่บอกความจริงของใจ

โอ้ว เธอคิดอะไร ถ้ามีใจยังไงก็บอกมา
เธอแค่พูดตรงๆ หน้างงๆ อย่างนั้นไม่เอาน่า
พูดสิ พูดมา ว่าใจของเธอเป็นไง
แค่บอกกันที่จะได้ไหม

พูดน่ะง่าย แต่ฟังน่ะยากนะบางเรื่อง
ผู้ชายดีๆ เขาไม่พูดกันพร่ำพรื่อ
ชั้นเชิงไม่มี ดีแต่พูดน่ะมันน่าเบื่อ
คิดกันสักนิด เลือกกันสักหน่อยก่อนธอจะเชื่อ

พูดสิ พูดมา ว่าใจของเธอเป็นไง
แค่บอกความจริงของใจ
แค่เธอบอกกันด้วยหัวใจ",papang_af4
ไม่รักดีก็รักเธอ,/music/thailyric/10093,"ฉันมันไม่เหมือนใครๆ ไม่ดีอย่างคนทั่วๆ ไป
ฉันตามแค่ใจฉัน ไม่แคร์ไม่ฟังเสียงใคร
สนุกเข้าไว้ตามอย่างใจ ผิดถูกก็คงไม่โทษใคร
ฉันฟังแค่ใจฉัน เลือกเองไม่เคยเสียดาย

ให้เธอไปทั้งหัวใจ แค่อยากจะรักเธอกว่าใค­ร
ต้องพังให้มันรู้ไป

ถ้าจะรักก็วัดกันสักทีไหม ฉันมันไม่เหมือนใคร
ผิดถูกดีร้ายก็ค่อยว่ากัน
จะรักไม่รักดูสักทีไหม ฉันใช้แค่หัวใจ
ถึงไม่รักดีแต่ฉันก็รักเธอ

ฉันมันไม่คิดตามอย่างใคร ไม่กลัวกับคำว่าเสียใจ
อะไรก็อย่างงั้น ไม่เคยเสียดายครั้งไหน
เพียงแค่วันนี้ได้สุขใจ ไม่ปล่อยเวลาให้เสียไป
เมื่อไรก็เมื่อนั้น ไม่แคร์ไม่เคยเสียดาย

ให้เธอไปทั้งหัวใจ แค่อยากจะรักเธอกว่าใค­ร
ต้องพังให้มันรู้ไป

ถ้าจะรักก็วัดกันสักทีไหม ฉันมันไม่เหมือนใคร
ผิดถูกดีร้ายก็ค่อยว่ากัน
จะรักไม่รักดูสักทีไหม ฉันใช้แค่หัวใจ
ถึงไม่รักดีแต่ฉันก็รักเธอ

ถ้าจะรักก็วัดกันสักทีไหม ฉันมันไม่เหมือนใคร
ผิดถูกดีร้ายก็ค่อยว่ากัน
จะรักไม่รักดูสักทีไหม ฉันใช้แค่หัวใจ
ถึงไม่รักดีแต่ฉันก็รักเธอ",papang_af4
รางวัลของการรอ,/music/thailyric/3994,"สัญญาจะกลับมาเคียงข้างกัน
คำนั้นไม่รู้ว่าใครเอ่ยไว้
แต่รู้ว่าฉันเชื่อมันทั้งหัวใจ
จึงรอและรอเรื่อยมา

น้ำตาคงบอกอะไรได้ดี
วันนี้ผิดหวังบางคนเท่าฟ้า
กลับมาแบบนี้ไม่มาซะดีกว่า
มาโดยไม่มีหัวใจ

คนที่รอเธออยู่ตรงนี้
ใช้หมื่นล้านนาทีที่ล่วงมา
รักษาสัญญาที่เคยให้ไว้
ทำร้ายคนซื่อสัตย์เสมอ
เธอทำได้ยังไง
ทำไมใจร้ายอย่างนั้น

สัญญาเธออาจไม่เคยสนใจ
นานแล้วก็ทิ้งมันไปแล้วกัน
เพิ่งรู้วันนี้ นี่เป็นเหมือนรางวัล
รางวัลของการรอเธอ

คนที่รอเธออยู่ตรงนี้
ใช้หมื่นล้านนาทีที่ล่วงมา
รักษาสัญญาที่เคยให้ไว้
ทำร้ายคนซื่อสัตย์เสมอ
เธอทำได้ยังไง
ทำไมใจร้ายอย่างนั้น

สัญญาเธออาจไม่เคยสนใจ
นานแล้วก็ทิ้งมันไปแล้วกัน
เพิ่งรู้วันนี้ นี่เป็นเหมือนรางวัล
รางวัลของการรอเธอ

เพิ่งรู้วันนี้ที่รอด้วยความหวัง
เธอลืมทุกอย่างหมดแล้ว",papang_af4
