song_name,href,lyric,artist
ความจริงที่ปวดใจ,/music/thailyric/4004,"ฉันไม่เข้าใจ ทำไมรักเรามันถึงดูเลือนลาง
ยิ่งมองออกไปยิ่งไม่เห็นทาง
จนไม่รู้ว่าจะประคับประคองไปทางไหน
เมื่อเธอไม่เหลือ อ้อมกอดอุ่นไอที่ฉันคุ้นเคย

มองแววตาเธอไม่มีฉันเลย
แล้วอย่างนี้ฉันยังทนอยู่ต่อไปได้ยังไง
ในเมื่อหัวใจมันขาดความรัก
ก็เหมือนคนที่ขาดอากาศหายใจ

จะยอมหนี ไปเองจากเธอ
แม้จะต้องเจอความจริงที่ปวดใจ
อาจต้องทนเหงา ที่มันไม่เหลือใคร
ดีกว่าอยู่แล้วช้ำใจ ที่ไม่ได้ความรักจากเธอ

รู้ว่าตรงนั้น ที่ไม่มีเธออยู่ข้างๆ กาย
ก็คงเหน็บหนาวไปถึงหัวใจ
ความว้าเหว่เดียวดาย ไม่ต่างอะไรกับตรงนี้
ในเมื่อหัวใจมันขาดความรัก
เหมือนคนที่ขาดอากาศหายใจ

จะยอมหนี ไปเองจากเธอ
แม้จะต้องเจอความจริงที่ปวดใจ
อาจต้องทนเหงา ที่มันไม่เหลือใคร
ดีกว่าอยู่แล้วช้ำใจ ที่ไม่ได้ความรักจากเธอ

ทั้งที่ใจของฉัน อยากจับมือเธอไว้ไป
จนถึงวันนั้นที่เป็นของเรา
แต่ใจเธอวันนี้ มันไม่เป็นคนเก่า
หยุดฝันที่ว่างเปล่าเอาไว้ แล้วยอมรับความเป็นจริง

จะยอมหนี ไปเองจากเธอ
แม้จะต้องเจอความจริงที่ปวดใจ
อาจต้องทนเหงา ที่มันไม่เหลือใคร
ดีกว่าอยู่แล้วช้ำใจ ที่ไม่ได้ความรักจากเธอ

แม้จะต้องเจอความจริงที่ปวดใจ
อาจต้องทนเหงา ที่มันไม่เหลือใคร
ดีวกว่าอยู่แล้วช้ำใจ ที่ไม่ได้ ความรักจากเธอ",patcha_af2
ไม่เสียใจที่ได้รักเธอ,/music/thailyric/4008,"ฉันก็เหมือนๆ คนทั่วไป รอคอยคนรักที่จริงใจ
ไม่ต้องการจะอยู่คนเดียว
และไม่ต้องการโดดเดียวเดี่ยวดาย
มีหัวใจก็อยากจะใช้รักใครซักคน
ไม่อยากจะทนเหงาคนเดียวอีกต่อไป

แล้วก็ได้พบเจอกับเธอ เจอคนในฝันทั้งที่ลืมตา
เธอพาสิ่งดีๆ ที่ยังไม่มีใครให้กัน
มาให้ฉันซะมากมาย

ใจที่เก็บไว้ในที่สุดคงถึงวัน
ได้ลองใช้รักใครซักที

จะมีแค่เธอคนเดียวจนถึงวันสุดท้าย
มีเธอคนนี้ตราบลมหายใจของฉันมันจะหยุด
สมมติว่าในวันนึงเธอนั้นจะเปลี่ยนไป
ยังไงชีวิตก็เคยได้ใช้ทั้งหัวใจเพื่อรักใครคนนึง

เพราะว่าไม่รู้วันต่อไป เลยทำวันนี้ให้ดีพอ
พอเพียงในสิ่งที่คนๆ นึงนั้น
ควรจะให้กัน มันไม่มากมาย

ใจที่เก็บไว้ในที่สุดควันนี้
ก็ได้ลองใช้รักใครซักที

จะมีแค่เธอคนเดียวจนถึงวันสุดท้าย
มีเธอคนนี้ตราบลมหายใจของฉันมันจะหยุด
สมมติว่าในวันนึงเธอนั้นจะเปลี่ยนไป
ยังไงชีวิตก็เคยได้ใช้ทั้งหัวใจเพื่อรักใครคนนึง

ซึ่งจะบอกและย้ำตรงนี้
ถึงมีอะไรเปลี่ยนไป
ฉันจะไม่เสียใจที่วันนี้ ได้รักเธอ

จะมีแค่เธอคนเดียวคนนี้ได้ยินไหม
มีเธอเท่านั้นตราบลมหายใจของฉันนั้นจะหยุด
สมมติว่าในวันนึงเราสองคนเปลี่ยนไป
ยังไงชีวิตกยังได้ใช้ทั้งหัวใจเพื่อรักใครคนนึง
ซึ่งฉันเป็นสุขใจ ที่ได้รักเธอ",patcha_af2
วันนี้ พรุ่งนี้ ที่ตรงนี้,/music/thailyric/4010,"หวาดกลัวอยู่ในหัวใจ
ระหว่างฉันและเธอวันนี้
รอยร้าวของเรา มากมายไปทุกที
ไม่รู้จะไปกันยังไง

ยิ่งเธอมาทำว่าเธอหมางเมิน
และไม่สน ไม่แคร์อะไร
เคยรู้บ้างรึเปล่า ว่าฉันหวั่นใจ
ขอถามอะไรหน่อยได้ไหม

พรุ่งนี้ที่ตรงนี้ เธอจะอยู่ไหม
พรุ่งนี้ที่ตรงนี้ รักเราจะเป็นเช่นไร
แค่เพราะในวันนี้ เธอยังไม่สนใจ
เหมือนฉันไม่มีความหมาย สำหรับเธอ

ช่วยทำอะไรนอกจากเฉยชา
ไม่กอดฉันก็ยิ้มได้ไหม
หรือขอให้เธอตอบว่าในจิตใจ
จะคิดยังไง บอกฉันที

พรุ่งนี้ที่ตรงนี้ เธอจะอยู่ไหม
พรุ่งนี้ที่ตรงนี้ รักเราจะเป็นเช่นไร
แค่เพราะในวันนี้ เธอยังไม่สนใจ
เหมือนฉันไม่มีความหมาย สำหรับเธอ

เพราะว่าทุกอย่างฉันให้กับเธอแล้ว
แต่เธอจะมาทิ้งกันไป ฉันคงไม่เหลือใคร

พรุ่งนี้ที่ตรงนี้ เธอจะอยู่ไหม
พรุ่งนี้ที่ตรงนี้ รักเราจะเป็นเช่นไร
แค่เพราะในวันนี้ เธอยังไม่สนใจ
เหมือนฉันไม่มีความหมาย สำหรับเธอ",patcha_af2
อยู่ที่ใจ,/music/thailyric/4013,"ก็ปล่อยให้ใครเขาได้พูดไป
เธออย่าเก็บเอามาคิดให้มันวุ่นวายใจให้ปวดหัว
ไม่มีใครรู้ดีจริงมากไปกว่าตัวเรา ที่เป็นอยู่

รักอยู่ที่ใจ ไม่ใช่ที่ใคร
อยู่ที่ใจสองเรา จะทำให้รักยาวนานแค่ไหน
มันคือบททดสอบที่จะทำให้เราสุขใจ
ในวันที่เราผ่านไปด้วยกัน

อาจะมีบางครั้งที่ฟ้าฝนไม่ค่อยเป็นใจ
บางคนอาจกลัวจนเริ่มท้อแท้และหมดหวัง จะเดินไป
แต่เรามีรักป้องกัน จะหวั่นอะไรเรื่องแค่นั้น

รักอยู่ที่ใจ ไม่ใช่ที่ใคร
อยู่ที่ใจสองเรา จะทำให้รักยาวนานแค่ไหน
มันคือบททดสอบที่จะทำให้เราสุขใจ
ในวันที่เราผ่านไปด้วยกัน

เมื่อเราต่างรู้ว่ารักจริงใจที่มีให้กัน
จะนำพาให้เราได้เจอสักวันที่ดี อย่ากลัวอะไร

รักอยู่ที่ใจ ไม่ใช่ที่ใคร
อยู่ที่ใจสองเรา จะทำให้รักยาวนานแค่ไหน
มันคือบททดสอบที่จะทำให้เราสุขใจ
ในวันที่เราผ่านไป

รักอยู่ที่ใจ ไม่ใช่ที่ใคร
อยู่ที่ใจสองเรา จะทำให้รักยาวนานแค่ไหน
มันคือบททดสอบที่จะทำให้เราสุขใจ
ในวันที่เราผ่านไปด้วยกัน

มันคือบททดสอบที่จะทำให้เราสุขใจ
ในวันที่เราผ่านไปด้วยกัน",patcha_af2
เพียงครึ่งใจ,/music/thailyric/4007,"อยากเปิดใจเธอ จะเจอใจใครซ่อนในรักอยู่
หัวใจหดหู่รักเคยชื่นชูกลับห่าง
ไยเธอทำใจฝืน รักเคยชื่นเพียงคืนจืดจาง
รักเลือนลางเธอวางท่า
กลับเย็นเฉยเลยเปลี่ยนแปลง

จะทุ่มเทใจเกือบไปแล้วหนอ
หยุดรอรักได้พบใครใหม่ใหม่
ยั้งใจไม่ขอส่วนแบ่ง

เธอจะจากไปไหน
พบใครใหม่ใจเธอเปลี่ยนแปลง
แต่ฉันไม่ขอแบ่งใจไว้
จากไปแล้วใจขอคืน

เก็บกอดดวงใจที่เธอทำลาย นี่ใจฉันกร่อน
หัวใจอ่อนอ่อน ร้าวรอนเมื่อรักโรยรา
ลืมเธอลืมได้ไหม ช้ำใจเข็ดใจเรื่องผ่านมา
หยุดคิดตั้งใจว่า จะขอพักใจอาลัยกับเธอ

รักร้าวในใจรู้ไหมใครทำ
เจ็บจิตใจจำเธอทำฉันเพ้อ
เป็นเพียงเพราะรักเธอมากกว่าใคร

เมื่อจุดจบแห่งความรัก พบกันเพียงครึ่งทาง
บาดลึกในใจสื้นหวังหมดทางใช่ไหม
ว้าเหว่เมื่อทุ่มเทหัวใจ สิ่งที่เธอเหลือให้
สุดท้ายคือรอยรักเก่า

ใจเจ็บเก็บเป็นครูสอนเรา
จะมีใจให้เขา ควรรักเขาเพียงครึ่งใจ",patcha_af2
ร้องให้รู้ตัวเอง,/music/thailyric/8545,"สัญญาลมๆ ที่บอกจะกลับมาหา
ให้รอในอีกไม่ช้าเกินไป
เริ่มชินชาจนไม่แน่ใจ
ยังรักกันหรือเปล่า

ร่ำลากันไปก็ยังดีกว่าวันนี้
ฉันทำได้เพียงแค่หวังลำพัง
คิดเอาเองว่าเธอนั้นยัง
คิดถึงกันอยู่ใช่ไหม

เก็บไว้คนเดียวเสมอ
ความลับที่อยู่ในใจ
เข้มแข็งทั้งที่ทนไม่ไหว
สุดท้ายกลั้นอารมณ์ไม่ได้

ที่เสียนํ้าตาอย่างนี้
คงไม่มีใครได้ยิน
แค่ร้องพอทำให้ใจเริ่มชิน
ให้รู้ตัวเองว่ารอเพื่อใคร ที่เขาคงไม่มา

แค่ลมเบาๆ ไม่อาจพัดเป่าให้หนาว
แต่พอทำให้ปวดร้าวแค่ไหน
ถ้าเธอไม่เคยคิดจะจริงจัง
ก็อย่าทำให้ฉันต้องผูกรั้งเลยด้วยคำสัญญา

เก็บไว้คนเดียวเสมอ
ความลับที่อยู่ในใจ
เข้มแข็งทั้งที่ทนไม่ไหว
สุดท้ายกลั้นอารมณ์ไม่ได้

ที่เสียนํ้าตาอย่างนี้
คงไม่มีใครได้ยิน
แค่ร้องพอทำให้ใจเริ่มชิน
ให้รู้ตัวเองว่ารอเพื่อใคร ที่เขาคงไม่มา

เก็บไว้คนเดียวเสมอ
ความลับที่อยู่ในใจ
เข้มแข็งทั้งที่ทนไม่ไหว
สุดท้ายกลั้นอารมณ์ไม่ได้

ที่เสียนํ้าตาอย่างนี้
คงไม่มีใครได้ยิน
แค่ร้องพอทำให้ใจเริ่มชิน
ให้รู้ตัวเองว่ารอเพื่อใคร ที่เขาคงไม่มา",patcha_af2
รักตัวเองก็พอ,/music/thailyric/8233,"วันเมื่อวานที่เลยผ่านความปวดร้าวเสียน้ำตา
เหนื่อยและล้าเวลาเจอความเสียใจ
ทำได้เพียงรอคอยให้ความเจ็บช้ำนั้นจางไป
ทำให้ฉันนั้นเริ่มจะเข้าใจ
รักจริงๆ มันคือกลับมารักตัวเอง

แบ่งความรักให้ตัวเอง
เพื่อเตรียมหัวใจที่ดีในวันต่อไป
ต้องเหงาสักเท่าไร
ขาดคนรักนั้นไม่ใช่เรื่องใหญ่
มีแค่ใจที่รักตัวเองก็พอ

คนไม่จริงที่เคยเจอะเจอผ่านมาแล้วเลยไป
อย่าให้เหลือร่องรอยในใจวันเก่า
ใครสักคนจะนำให้ลมแห่งรักพัดพาเรา
หอบเอาฉันไปเจอกับความรัก
พักกายลงตรงเธอผู้เป็นของเวลา

แบ่งความรักให้ตัวเอง
เพื่อเตรียมหัวใจที่ดีในวันต่อไป
ต้องเหงาสักเท่าไร
ขาดคนรักนั้นไม่ใช่เรื่องใหญ่
มีแค่ใจที่รักตัวเองก็พอ

จนวันที่พร้อมจะยอมให้รักทักทายเข้ามา
คนเดียวที่ฉันจะยอมมอบความรักทั้งหัวใจ

แบ่งความรักให้ตัวเอง
เพื่อเตรียมหัวใจที่ดีในวันต่อไป
ต้องเหงาสักเท่าไร
ขาดคนรักนั้นไม่ใช่เรื่องใหญ่
มีแค่ใจที่รักตัวเองก็พอ

แบ่งความรักให้ตัวเอง
เพื่อเตรียมหัวใจที่ดีในวันต่อไป
ต้องเหงาสักเท่าไร
ขาดคนรักนั้นไม่ใช่เรื่องใหญ่
มีแค่ใจที่รักตัวเองก็พอ",patcha_af2
เสียงพล่อยๆ,/music/thailyric/4011,"รักที่เคยบอกฉัน ที่เคยหลอกฉัน
ฉันเพิ่งเข้าใจ ฉันเสียใจแค่ไหน
แพ้ความอ่อนไหว ของเธอมานาน

ร้องร้องจนไม่ไหวแล้ว น้ำตาไม่เหลือแล้ว
มืดมนเกินไป เหลือร่องรอยที่เหลือไว้
เหมือนเป็นบาดแผลร้าย ที่ลึกเกินจะเยียวยา

ฝันร้ายมันกลายเป็นจริง ตื่นมาไม่หายไป
ฝืนรับความจริง จนใจไม่อยากตื่นขึ้นมา
โดนเธอโกหกมานาน ไม่ถามยังดีเสียกว่า
ว่าอะไรคือจริง อันไหนไม่จริง

อยากลองรู้สึกบ้างไหม ถ้าฉันไม่พูดความจริงออกไป
ปล่อยเธอโง่อยู่อย่างนั้น สิ่งที่ได้เห็นเป็นความลวงตา
บอกว่ารัก ที่แท้ไม่เคยรัก
แค่เสียงพล่อยๆ ที่ลอยออกไป
เธอรู้บ้างไหมมันทรมาน

ยื้อยื้อจนไม่ไหวแล้ว เรี่ยวแรงไม่เหลือแล้ว
ร้ายแรงเกินไป ฉันโง่ไปใช่ไหม
ถึงเลวแค่ไหน ฉันรักใครฉันรักจริงจริง

ฝันร้ายมันกลายเป็นจริง ตื่นมาไม่หายไป
ฝืนรับความจริง จนใจไม่อยากตื่นขึ้นมา
โดนเธอโกหกมานาน ไม่ถามยังดีเสียกว่า
ว่าอะไรคือจริง อันไหนไม่จริง

อยากลองรู้สึกบ้างไหม ถ้าฉันไม่พูดความจริงออกไป
ปล่อยเธอโง่อยู่อย่างนั้น สิ่งที่ได้เห็นเป็นความลวงตา
บอกว่ารัก ที่แท้ไม่เคยรัก
แค่เสียงพล่อยๆ ที่ลอยออกไป
เธอรู้บ้างไหมมันทรมาน

อยากลองรู้สึกบ้างไหม ถ้าฉันไม่พูดความจริงออกไป
ปล่อยเธอโง่อยู่อย่างนั้น สิ่งที่ได้เห็นเป็นความลวงตา
บอกว่ารัก ที่แท้ไม่เคยรัก
แค่เสียงพล่อยๆ ที่ลอยออกไป
เธอรู้บ้างไหมมันทรมาน

เธอรู้บ้างไหมมันทรมาน เธอรู้บ้างไหมมันทรมาน",patcha_af2
หนึ่งคนพิเศษ,/music/thailyric/4012,"กับความรู้สึก สิ่งดีๆ ที่เธอนั้นให้กัน
ตลอดเวลา ไม่เคยจืดจางหรือลบหายไป
เป็นเครื่องพิสูจน์ ปฏิทินจะเปลี่ยนสักเท่าไร
รักแท้ยังคงมีจริง ไม่ว่านานแสนนานเท่าไร

แต่หัวใจเรานั้นใกล้กัน ถึงไกลก็ยังคงคิดถึงกัน
เพราะเธอคือคนสำคัญ ที่ใจจะเก็บเอาไว้ผู้เดียว

หนึ่งชีวิตที่ฉันนั้นมีอยู่ ขอแค่มีเธอเคียงข้าง
ขอมีเธอนั้นร่วมทางเดินไปด้วยกัน
บอกว่ารักซ้ำๆ เหมือนวันก่อน
ฉันต้องการได้ยินอยู่ทุกวัน
คิดถึงทุกเวลา ขอให้รักไปกันนานๆ
อยู่เคียงข้างกันตลอดไป

หนึ่งคนพิเศษ ทำให้ฉันหัวเราะและยิ้มคนเดียว
คือเธอเท่านั้น เพราะความผูกพันที่ให้มากมาย
ขอบคุณทุกอย่าง ที่เธอมีให้กันทั้งหัวใจ
รักแท้คือเธอคนเดียว ไม่ว่านานแสนนานเท่าไร

แต่หัวใจเรานั้นใกล้กัน ถึงไกลก็ยังคงคิดถึงกัน
เพราะเธอคือคนสำคัญ ที่ใจจะเก็บเอาไว้ผู้เดียว

หนึ่งชีวิตที่ฉันนั้นมีอยู่ ขอแค่มีเธอเคียงข้าง
ขอมีเธอนั้นร่วมทางเดินไปด้วยกัน
บอกว่ารักซ้ำๆ เหมือนวันก่อน
ฉันต้องการได้ยินอยู่ทุกวัน
คิดถึงทุกเวลา ขอให้รักไปกันนานๆ
อยู่เคียงข้างกันตลอดไป

หนึ่งชีวิตที่ฉันนั้นมีอยู่ ขอแค่มีเธอเคียงข้าง
ขอมีเธอนั้นร่วมทางเดินไปด้วยกัน
บอกว่ารักซ้ำๆ เหมือนวันก่อน
ฉันต้องการได้ยินอยู่ทุกวัน
คิดถึงทุกเวลา ขอให้รักไปกันนานๆ
อยู่เคียงข้างกันตลอดไป

ตลอดไป ตลอดไป
จะรักกัน ฉันจะรักเธอตลอดไป",patcha_af2
ช้าไปไหมเธอ,/music/thailyric/4005,"ได้แค่นั้น แค่เพียงเพื่อนกัน จะบอกแค่นั้น
ไม่เคยคิดไกล เหมือนอย่างตัวฉัน
เธอเสียใจ ขอให้ฉันทำใจ

ที่ผ่านมาทำไมไม่บอก เธอไม่รักทำไมไม่บอก
พูดออกมา ฮ๊า..ฮา ที่เธอไม่รักกัน
ไม่มีใจทำไมไม่บอก มาบอกกันในวันที่รักทั้งใจ
บอกช้าเกินไปมั๊ยเธอ

รักไปแล้ว คงทวนเข็มความรู้สึกไม่ไหว
ทำดีเพราะรักแต่เธอแค่ไหน นานเท่าไหร่
จะตัดใจยังไง

ที่ผ่านมาทำไมไม่บอก เธอไม่รักทำไมไม่บอก
พูดออกมา ฮ๊า..ฮา ที่เธอไม่รักกัน
ไม่มีใจทำไมไม่บอก มาบอกกันในวันที่รักทั้งใจ
บอกช้าเกินไปมั๊ยเธอ

กว่าจะรู้สึกขนาดนี้ นั้นเนิ่นนาน แต่กลับต้องเสียใจ
ลืมรักเธอ เพื่อเริ่มใหม่ ให้หมดเวลาที่เหลือ
ที่หายใจ ก็ไม่พอ

ที่ผ่านมาทำไมไม่บอก เธอไม่รักทำไมไม่บอก
พูดออกมา ฮ๊า..ฮา ที่เธอไม่รักกัน
ไม่มีใจทำไมไม่บอก มาบอกกันในวันที่รักทั้งใจ
บอกช้าเกินไปมั๊ยเธอ",patcha_af2
