song_name,href,lyric,artist
แช่งใส่ซอง,/music/thailyric/12039,"เป็นแค่ผู้บ่าวไทบ้าน น้องเลยรำคาญบ่มาใกล้
หลงฮักหลงคารมเสี่ยใหญ่ กินเหล้าย้อมใจอยู่เหมิดคืน
มื้ออื่นแล้วน้องสิแต่งงาน แม่เจ้าสาวหน้าบานปานกระด้ง
อ้ายสิเว้าอ้ายว่าแบบตรงๆ สิแช่งน้องทางตรงและทางอ้อม

ยางเซมาในงานแต่งน้อง พร้อมกับซอง อวยพรงานแต่ง
เปิดอ่าน แนเด้อคำแพง เพราะมันเป็นคำแช่ง ส่งท้ายใส่ซอง
ยามกินข้าว ขอให้ข้าวคาคอ เฮ็ดหยังก็อย่าให้มั่งอย่าให้มี
เดินทางไกลขอให้พ้อแต่ผี มาเข้าฝัน

อยู่กันไปขอให้ผิดแต่กัน ให้ผัวเป็นหมันขอให้มีลูกยาก
ให้เจ้าทั้งสองลำบาก ฮอดมื้อตาย
อ้ายขอแซ่งใส่ซอง มื้องานดองบ่ให้มีคนหลาย
ให้เจ้าบ่าวหัวใจวายตาย มื้อเข้าเรือนหอ

ยามกินข้าว ขอให้ข้าวคาคอ เฮ็ดหยังก็อ่าให้มั่งอย่าให้มี
เดินทางไกลขอให้พ้อแต่ผี มาเข้าฝัน
อยู่กันไปขอให้ผิดแต่กัน ให้ผัวเป็นหมันขอให้มีลูกยาก
ให้เจ้าทั้งสองลำบาก ฮอดมื้อตาย

อ้ายขอแซ่งใส่ซอง มื้องานดองบ่ให้มีคนหลาย
ให้เจ้าบ่าวหัวใจวายตาย
ยามกินข้าว ขอให้ข้าวคาคอ เฮ็ดหยังก็อ่าให้มั่งอย่าให้มี
เดินทางไกลขอให้พ้อแต่ผี มาเข้าฝัน

อยู่กันไปขอให้ผิดแต่กัน ให้ผัวเป็นหมันขอให้มีลูกยาก
ให้เจ้าทั้งสองลำบาก ฮอดมื้อตาย
อ้ายขอแซ่งใส่ซอง มื้องานดองบ่ให้มีคนหลาย
ให้เจ้าบ่าวหัวใจวายตาย มื้อเข้าพาขวัญ",petch_saharat
7 ปี..ดีแต่ปาก,/music/thailyric/21539,"ยังจำทุกคำที่เจ้าบอกมา
ว่าจะอยู่รักษาความสุขให้ทุกข์สลายไป
เชื่อทุกคำโกหก ยอมรับกับคำที่พูดไว้
แต่วันนี้ความสุขที่หายไป
ทุกคำที่เคยพูดไว้คุณทำไม่ได้เลย

เมื่อเขาไม่รักก็ควรออกไป
จะยื้อจะรั้งทำไม ออกไปมันเสียเวลา
เขาบ่เอาเจ้าแล้ว ยอมรับละแมะว่า
อย่าอยู่ให้เสียเวลาไปซะ บ่ต้องห่วง

คั่นเขาบ่ฮักก็จั่กสิอยู่ไปเพื่ออีหยัง
เขาเบื่อเขาซังอย่าเลยอย่ารั้งอย่าฝืนอยู่ต่อ
ก็ก็ควรปล่อยวาง ว่าเขาบ่เอา เขาเบื่อ เขาพอ
ฟ่าวไปซะเถาะ 7 ปีที่รอมันทรมาน

คั่นเขาบ่ฮักก็จั่กสิอยู่ไปเพื่ออีหยัง
เขาเบื่อเขาซังอย่าเลยอย่ารั้งอย่าฝืนอยู่ต่อ
ก็ควรปล่อยวาง ว่าเขาบ่เอา เขาเบื่อ เขาพอ
ฟ่าวไปซะเถาะ 7 ปีที่รอมันทรมาน

คั่นเขาบ่ฮักก็จั่กสิอยู่ไปเพื่ออีหยัง
เขาเบื่อเขาซังอย่าเลยอย่ารั้งอย่าฝืนอยู่ต่อ
ก็ควรปล่อยวาง ว่าเขาบ่เอา เขาเบื่อ เขาพอ
ฟ่าวไปซะเถาะ 7 ปีที่รอมันทรมาน

ฟ่าวไปซะเถาะ 7 ปีที่รอมันทรมาน",petch_saharat
กะส่างแม่มันเถาะ,/music/thailyric/13881,"กะส่างแม่มันเถาะ คำกะเลิกสองคำกะลา
บ่เห็นใจแหน่หว๋า เฮาสิอยู่จั่งใด๋
กะแม่นล่ะน้อ คนพร้อมสิไป คงบ่เหงาตาย
ส่ำคนอยู่ หลูโตนอ้ายบ่
นอนน้ำตาขู สิอยู่จั่งใด๋เข้าใจแหน่
คั่นเจ้าเหมิดฮัก คั่นเจ้าบ่แคร์
กะส่างแม่มันเถาะขอรับกรรม ที่เคยก่อ

แค่อกหักกะส่าง แม่มันเถาะ
บ่ได้ไปต่อย้อนเขาพ้อคนใหม่
อกหัก ส่ำนี้ มันคงบ่ถึงตาย
คอยบอกตัวเองไว้ กะส่างแม่มันเถาะ
คนเหมิดโลกบ่มีแต่เฮาดอกน้อ
ที่ได้พ้อคำว่าเสียใจ เขาบ่ฮักเขาพ้อของใหม่
ก็ปล่อย เขาไป กะส่างแม่มันเถาะ

กรรมที่ไผก่อ เวรที่ไผก่อ
รอรับเอาเด้อ เตือนตัวเองเสมอ
บอกตัวเองเสมอ ฮักเจ้าของแหน่เด้อ

ส่างแม่มันเถาะ
กะส่างแม่มันเถาะ
ส่างแม่มันเถาะ
กะส่างแม่มันเถาะ
กะส่างแม่มันเถาะ
ฮักถืกถิ่มลงท่อ
กะส่างแม่มันเถาะ


อกหักส่ำนี้มันคงบ่ถึงตาย
คอยบอกตัวเองไว้ กะส่างแม่มันเถาะ
คนเหมิดโลกบ่มีแต่เฮาดอกน้อ
ที่ได้พ้อคำว่าเสียใจ  เขาบ่ฮักเขาพ้อของใหม่
ก็ปล่อยเขาไป กะส่างแม่มันเถาะ
กรรมที่ไผก่อ เวรที่ไผก่อ รอรับเอาเด้อ
เตือนตัวเองเสมอ บอกตัวเองเสมอ
ฮักเจ้าของแหน่เด้อ

กะส่างแม่มันเถาะ
กะส่างแม่มันเถาะ
กะส่างแม่มันเถาะ
กะส่างแม่มันเถาะ
กะส่างแม่มันเถาะ
ฮักถืกถิ่มลงท่อ
กะส่างแม่มันเถาะ

ฮักถืกถิ่มลงท่อ
กะส่างแม่มันเถาะ",petch_saharat
เกลียด,/music/thailyric/12910,"เมื่อได้รู้ว่าเธอมีเขาใจไม่เอา
อะไรๆๆ อะไรทั้งนั้น
ทำไมคนรักกันถึงทำแบบนี้ ไม่เข้าใจ

อยากจะถามสักคำได้ไหมว่าเพราะอะไร
ทำไมๆๆ ทำไมถึงทิ้งกัน
เขาคนนั้นมันถูกใจเธอตรงไหน
ฉันคนนี้ก็คนที่รักเธอจนหมดหัวใจ
แล้วทำไมเธอจึงมาตอบแทนฉัน ด้วยคำว่าจบ

หากเธอคิดว่าเขาคนนั้น
จะทำให้เธอสุขกายสุขใจ สุขใจได้นั้น
ฉันก็ขอให้ทางสว่างสดใส
แต่หากเขาคนนั้นมันทำให้เธอ
ได้เจอๆๆ ได้เจอกับคำว่าเสียใจ
ฉันขอบอกเอาไว้ ไม่มีทาง ฉันจะย้อนคืน

เกลียดคนใจดำอย่างเธอ
ไม่อยากเจอแม้แต่ในฝัน
เกลียดคนที่เคยรักกัน
หักหลังกันได้ลง
เกลียดคนที่เคยสัญญา
ขนาดหมามันยังเห่าส่ง
ชาติหมายังรู้คุณคน ว่าใครเลี้ยงมัน

เจ็บพอแล้วกับคำว่ารัก
เจอแต่ความอกหักๆๆ อกหักทั้งนั้น
คนรักจริงทั้งใจคงตายไปแล้ว
ฉันต้องกินน้ำตา บ้ากับรักไม่มีวี่แวว
เจ็บพอแล้วชาตินี้พอทีกับเธอ ขอเธอไปดี

เกลียดคนใจดำอย่างเธอ
ไม่อยากเจอแม้แต่ในฝัน
เกลียดคนที่เคยรักกัน
หักหลังกันได้ลง
เกลียดคนที่เคยสัญญา
ขนาดหมามันยังเห่าส่ง
ชาติหมายังรู้คุณคน ว่าใครเลี้ยงมัน

เมื่อได้รู้ว่าเธอมีเขาใจไม่เอา
อะไรๆๆ อะไรทั้งนั้น
ทำไมคนรักกันถึงทำแบบนี้ ไม่เข้าใจ",petch_saharat
ขิวแฟนเก่าเธอ,/music/thailyric/22407,"เว่าซื่อๆ ซะบ่มักขี้หน้าผู้บ่าวเก่า
คนที่เขาเคยได้ใจเจ้าไปทั้งใจ
เว่าซื่อๆ ซะให้เป็นหยังกะเป็นซะไป๋
บ่ถืกธาตุจักเป็นแนวใด๋บ่อยากให้ไผเอ่ยชื่อเขา

เว่าซื่อๆ ซะมันกะบ่แม่นความผิดเขา
แต่ใจเฮารับหนังหน้าเขายังบ่ได้
เว่าซื่อๆ ซะเขาเลิกกันแล้วกะยังคิดหลาย
บ่มักคนที่เคยได้ใจได้ซูนคีงเจ้าไปก่อนกัน

ยอมรับว่างี่เง่าถึงเจ้ากับเขาจบกันตั้งนาน
เขาไม่ผิดอะไรมันที่ตรงใจฉัน
มัน..มันยังจำทุกเรื่องราว

คำเอ้ย อ้ายนี่ลืมดอกบ่ได้
จักเป็นแม่มันแนวใด๋ บ่พอใจแฟนเก่าเธอ
หล่าเอ้ย เขาบ่ผิดอีหยังเด้อ
ใจอ้ายยังพร่ำเพ้อ หึงแต่เธอดอกไปทั่ว

ย้านเด้ หม่อมพระนางอ้ายย้านเด้
ย้านเด้ ย้านบทเพ แต้แก่ง แฮงคิด
อ้ายแห่ง บ่มักหน้าเขา

ขิวแฟนเก่าเธอ บ่ฮู้เด้อ จักเป็นจั่งใด๋
ขวางสิเป็นสิตาย ยามไผส่อหล่อเอ่ยชื่อเขา
บ่มักแฟนเก่าเธอ ว่าแท้ แห่งตอนกูเมา
ไผเอ่ยชื่อเขา ข้อยกับเจ้าต้อง มีปัญหา

ขิวแฟนเก่าเธอ บ่ฮู้เด้อ จักเป็นจั่งใด๋
ขวางสิเป็นสิตาย ยามไผส่อหล่อเอ่ยชื่อเขา
บ่มักแฟนเก่าเธอ ว่าแท้ แห่งตอนกูเมา
ไผเอ่ยชื่อเขา ข้อยกับเจ้าต้อง มีปัญหา
บ่มักแฟนเก่าเธอ

ย้านเด้ หม่อมพระนางอ้ายย้านเด้
ย้านเด้ ย้านบทเพ แต้แก่ง แฮงคิด
อ้ายแห่ง บ่มักหน้าเขา

ขิวแฟนเก่าเธอ บ่ฮู้เด้อ จักเป็นจั่งใด๋
ขวางสิเป็นสิตาย ยามไผส่อหล่อเอ่ยชื่อเขา
บ่มักแฟนเก่าเธอ ว่าแท้ แห่งตอนกูเมา
ไผเอ่ยชื่อเขา ข้อยกับเจ้าต้อง มีปัญหา

ขิวแฟนเก่าเธอ บ่ฮู้เด้อ จักเป็นจั่งใด๋
ขวางสิเป็นสิตาย ยามไผส่อหล่อเอ่ยชื่อเขา
บ่มักแฟนเก่าเธอ ว่าแท้ แห่งตอนกูเมา
ไผเอ่ยชื่อเขา ข้อยกับเจ้าต้อง มีปัญหา
บ่มักแฟนเก่าเธอ

บ่มักแฟนเก่าเธอ

บ่มักแฟนเก่าเธอ",petch_saharat
เขาฮักเจ้าของ,/music/thailyric/14135,"คั่นมันฝืนหลายกะบ่เป็นหยัง
ถ้าบอกว่าฮักกันมันยากต่อใจเพิ่น
เขาสิฮักคือเก่าถึงเจ็บสิกองเจิ้นเทิน
เขายัง บ่พร้อมเดิน ออกจากวง ฮัก

เขาเข้าใจเจ้าของว่ามีคนใหม่
เจ้าของถิ่มเขาไปบ่เสียใจบ่โทษเพิ่น
เขาบ่แม่นคนโง่ แค่เขายังฮักเหลือเกิน
เจ้าของเข้าใจเด้อ เพิ่นอย่าพึ่งรำคาญ

ขอแค่เขาได้ฮักเจ้าของ แบบเจ้าของฮักเขาคนนั้น
สิบ่เฮ็ดให้เจ้าของรำคาญ เขาขอได้ บ่

บ่ต้องลดโตมาฮัก ให้เฮ็ดคือคน บ่ฮู้จักกะได้
เจ้าของบ่ต้องวุ่นใจ เขายอมรับได้ว่าไผคือตัวจริง
ขอเป็นแค่ตัวสำรอง ฮู้ว่าเจ้าของ ให้เขามาเป็นตัวจริง
เขาพร้อมจะอยู่นิ่งๆ เมื่อตัวจริงเจ้าของ มา

บ่แม่นตัวจริงแค่ตัวสำรอง
เขากะฮักเจ้าของยอมได้แม้ใจหมุ่น
ลมหายใจสุดท้ายก่อนเขาสิกลายเป็นฝุ่น
ขอแค่ได้ฮักไปขุ่นๆ พอเป็นบุญต่อหัว ใจ

ขอแค่เขาได้ฮักเจ้าของ แบบเจ้าของฮักเขาคนนั้น
สิบ่เฮ็ดให้เจ้าของรำคาญ เขาขอได้ บ่

บ่ต้องลดโตมาฮัก ให้เฮ็ดคือคน บ่ฮู้จักกะได้
เจ้าของบ่ต้องวุ่นใจ เขายอมรับได้ว่าไผคือตัวจริง
ขอเป็นแค่ตัวสำรอง ฮู้ว่าเจ้าของ ให้เขามาเป็นตัวจริง
เขาพร้อมจะอยู่นิ่งๆ เมื่อตัวจริงเจ้าของ มา

เขาพร้อมจะอยู่นิ่งๆ เมื่อตัวจริงเจ้าของ มา",petch_saharat
คิดฮอดสิอดเอา,/music/thailyric/13310,"บ่เป็นหยังดอก
ให้บอกกับอ้ายโลดสาว
แม่นเจ็บกะสิอดเอา
แม่นเหงากะสิทำใจ
คั่นเจ้าสิถิ่ม
ถิ่มอ้ายไปมีผู้ใหม่
แม่นทรมานปานได๋
แม่นน้ำตาไหลกะซาง
ไปโลดเด้อหล่า
อย่ามาห่วงอ้ายคนนี้
เพราะอ้ายมันบ่มีดี
สิสู้เขาได้จักอย่าง
หากินสืบมื้อ
บ่พอสิรุ่งดอกนาง
หากเจ้าไปดีมีทาง
เด้อนางกะให้เจ้าไป

คิดอยู่ตลอด
ว่าอ้ายนั้นต้องผิดหวัง
สักวันต้องน้ำตาพัง
ร้าวรวดจนนอนปวดใจ
เพราะมีลางบอก
ให้พอรู้อยู่นัยๆ
ว่าน้องกำลังมีไผ
แทรกใจให้เฮาเหินห่าง

ซางหัวอ้ายเถาะ
น้องบ่ต้องมาสนใจ
สิทุกข์สิยากส่ำได๋
ตัดใจลืมสาเด้อนาง
ขออวยพรให้
เจ้าไปสมหวังทุกอย่าง
ส่วนอ้ายนี่เด่อเด้อนาง
คิดฮอดกะสิอดเอา

คิดอยู่ตลอด
ว่าอ้ายนี้ต้องผิดหวัง
สักวันต้องน้ำตาพัง
ร้าวรวดจนนอนปวดใจ
เพราะมีลางบอก
ให้พอรู้อยู่นัยๆ
ว่าน้องกำลังมีไผ
แทรกใจให้เฮาเหินห่าง
ซางหัวอ้ายเถอะ
น้องบ่ต้องมาสนใจ
สิทุกข์สิยากส่ำได๋
ตัดใจลืมสาเด้อนาง
ขออวยพรให้
เจ้าไปสมหวังทุกอย่าง
ส่วนอ้ายนี่เด่อเด้อนาง
คิดฮอดกะสิอดเอา",petch_saharat
โควิดรักษาหาย หลายใจรักษายาก,/music/thailyric/17679,"เปิดข่าวเรื่องเล่าเช้านี้ คือเป็นสิตาย่าน
ไวรัสที่กลายสายพันธุ์ สังหารคนตายเป็นเบือ
โคโรน่า ขึ้นข่าวหน้าหนึ่ง แต่ข่าวที่คาดบ่ถึงเลยจักเทือ
กะคือคนฮักปันใจไปเผื่อ ให้เขา

อาการของโควิดคือมีพิษให้เจ็บไข้
อาการคนใจสลายคือฮ้องไห้จนตาบวม
เมื่อถูก เจ้าสวมเขาให้

มีอ้ายเป็นแฟนทั้งคน กะยังหาเวลานอกใจ
สิหายารักษาจั่งได๋กับอาการนี้

เจ้าเป็นตาย่าน ปานโคโรน่าพุ้นเด้อ
อ้ายทุ่มเทฮักเสมอ ขณะที่เธอเสาะหาคนใหม่
โคโรน่าทำลายปอด แต่เจ้านั้นทำลายหัวใจ
โรคโควิดมีสิทธิ์สิหาย แต่โรคหลายใจของเจ้าคงเซาบ่เป็น

โรคโควิดทำร้ายปอด ฮักของเจ้าทำร้ายใจ
ใส่หน้ากากกันไว้ส่ำได๋ ฮักของอ้ายกะยังหมุ่น
ร้ายกว่าโคโรน่า ทวีคูณกะเจ้านี่ล่ะ

อาการของโควิดคือมีพิษให้เจ็บไข้
อาการคนใจสลายคือฮ้องไห้จนตาบวม
เมื่อถูก เจ้าสวมเขาให้

มีอ้ายเป็นแฟนทั้งคน กะยังหาเวลานอกใจ
สิหายารักษาจั่งได๋กับอาการนี้

เจ้าเป็นตาย่าน ปานโคโรน่าพุ้นเด้อ
อ้ายทุ่มเทฮักเสมอ ขณะที่เธอเสาะหาคนใหม่
โคโรน่าทำลายปอด แต่เจ้านั้นทำลายหัวใจ
โรคโควิดมีสิทธิ์สิหาย แต่โรคหลายใจของเจ้าคงเซาบ่เป็น

เจ้าเป็นตาย่าน ปานโคโรน่าพุ้นเด้อ
อ้ายทุ่มเทฮักเสมอ ขณะที่เธอเสาะหาคนใหม่
โคโรน่าทำลายปอด แต่เจ้านั้นทำลายหัวใจ
โรคโควิดมีสิทธิ์สิหาย แต่โรคหลายใจของเจ้าคงเซาบ่เป็น",petch_saharat
งึสใจ,/music/thailyric/18796,"พยายามสิตั้งใจลืม
อยากลืมท่อได๋ ใจมันแฮงจำ
ทั้งๆ ที่เขาเอาผัววันนึงฮั่น
มันก็สมควรสิทำใจได้แต่ดนแล้ว

ได้แต่ส่องหน้าเฟซเขา
ห่าหลังเทื่อก็หลอยเข้าไปกดไลก์
จักเป็นแม่มันหยังฮู้ บักหัวใจ
เขาบ่ฮักปานได๋ หัวใจกะยังฮักเขา

ฮักแฟนเก่าเป็นแฟนเขากะซ่าง
ฟ่าวเป็นแม่ฮ่างแล้วคืนมาหาอ้าย
เคยตั้งใจลืมแต่มันก็เจ็บแป๋ตาย
บล็อกฮอดเฟซบุ๊ก มันแฮงอุกหัวใจ
เอาจั่งซี่ซะไป ฟ่าวได้กันแล้วฟ่าวป๋า
ให้คืนมาหาคนฮักเก่า

ขอให้เจ้าเลิกกัน ขอให้มันถิ่มเจ้า
ขอให้ฮักสองเฮา ต้าวคืนมาหา
อย่าให้มีความสุขหลังงานวิวาห์
ขอให้ฟ่าวเอากันแล้วฟ่าวป๋า
ขอให้คืนมาหาฮักเก่าที่ยังเฝ้ารอ
ยังรอเจ้าเลิกกับเขาเด้อหล่า

ฮักแฟนเก่าเป็นแฟนเขากะซ่าง
ฟ่าวเป็นแม่ฮ่างแล้วคืนมาหาอ้าย
เคยตั้งใจลืมแต่มันก็เจ็บแป๋ตาย
บล็อกฮอดเฟซบุ๊ก มันแฮงอุกหัวใจ
เอาจั่งซี่ซะไป ฟ่าวได้กันแล้วฟ่าวป๋า

ฮักแฟนเก่าเป็นแฟนเขากะซ่าง
ฟ่าวเป็นแม่ฮ่างแล้วคืนมาหาอ้าย
เคยตั้งใจลืมแต่มันก็เจ็บแป๋ตาย
บล็อกฮอดเฟซบุ๊ก มันแฮงอุกหัวใจ
เอาจั่งซี่ซะไป ฟ่าวได้กันแล้วฟ่าวป๋า
ให้คืนมาหาคนฮักเก่า",petch_saharat
โง่เอง,/music/thailyric/14295,"บ่แม่นดีเอสไอ เลยสืบบ่ได้ว่าคนร้ายคือเธอ
ลอบสังหารใจอ้ายเสมอ แม้นรักเธอจนหมดหัวใจ
ทำดีแลกรัก เฮ็ดนำปานนี้น้องยัง นอก..ใจ
บอกเลิก แล้วกะหนีไป เสียหลักเกือบตาย
ทุ่มไป แต่ไร้ค่า

เหม็นกว่าปลาร้า สงสัยเป็นหน้าของอ้ายละน้อ
เจ้าจั่งบ่ออกมาพ้อ ถึงร้องขออยากเคลียร์ใจ
ตั๋วว่าฮักกัน แล้วถิ่มจ้อๆ น้อ คนหมดใจ
บ่โทษเธอหรือบ่โทษใคร สรุปง่ายๆ ว่าอ้ายโง่เอง

ยอมเป็นคนโง่ให้เจ้าตั๋วเล่น
ยอมเป็นคนโง่ให้เจ้าหลอกใช้
ยอมเป็นคนโง่ที่ฮักเจ้าเหมิดใจ
ยอมเป็นคนโง่ตายเพื่อคนฮัก
ยอมเป็นคนโง่แม้ต้องเจ็บหนัก
อ้ายกะยังฮักคือเก่า

ยอมเป็นคนโง่ให้เจ้าตั๋วเล่น
ยอมเป็นคนโง่ให้เจ้าหลอกใช้
ยอมเป็นคนโง่ที่ฮักเจ้าเหมิดใจ
ยอมเป็นคนโง่ตายเพื่อคนฮัก
ยอมเป็นคนโง่แม้ต้องเจ็บหนัก
อ้ายกะยังฮักคือเก่า

ยอมเป็นคนโง่ให้เจ้าตั๋วเล่น
ยอมเป็นคนโง่ให้เจ้าหลอกใช้
ยอมเป็นคนโง่ที่ฮักเจ้าเหมิดใจ
ยอมเป็นคนโง่ตายเพื่อคนฮัก
ยอมเป็นคนโง่แม้ต้องเจ็บหนัก
อ้ายกะยังฮักคือเก่า

ยอมเป็นคนโง่ให้เจ้าตั๋วเล่น
ยอมเป็นคนโง่ให้เจ้าหลอกใช้
ยอมเป็นคนโง่ที่ฮักเจ้าเหมิดใจ
ยอมเป็นคนโง่ตายเพื่อคนฮัก
ยอมเป็นคนโง่แม้ต้องเจ็บหนัก
อ้ายกะยังฮักคือเก่า",petch_saharat
