song_name,href,lyric,artist
จะเอาอะไร,/music/thailyric/8975,"ทุ่มใจให้รัก ไม่เคยหยุดพัก
เหยียบเต็มร้อย ไม่คิดจะเตรียมตัวเสียใจ
อย่างกระทันหัน เธอบอกลาฉัน
ดับความฝัน ปลุกฉันให้มาเจอ

เธอเอาคำว่าความรักไปจากใจของฉัน
เอาคำว่าความหวัง ออกไปจากทุกวัน
อะไรเคยให้ไว้ เธอขอคืนได้ไหม
อยากจะถามไป ว่าเธอ

จะเอาอะไรไปอีก ยังคิดว่าเหลือเท่าไหร่
ในโลกของฉันทั้งใบ
หมดตัวไม่เหลือแม้ใจจะเอาอะไร

เรื่องราวเพลงรัก ที่ใครบอกไว้
เธอไม่อาจเอารักไปจากหัวใจ
อยากบอกว่าไม่จริง นอกจากโดนทิ้ง
สิ่งสุดท้าย เธอก็เอามันไป

เธอเอาคำว่าความรัก ไปจากใจของฉัน
เอาคำว่าความหวัง ออกไปจากทุกวัน
อะไรเคยให้ไว้ เธอขอคืนได้ไหม
อยากจะถามไป ว่าเธอ

จะเอาอะไรไปอีก ยังคิดว่าเหลือเท่าไหร่
ในโลกของ ฉันทั้งใบ
หมดตัวไม่เหลือแม้ใจจะเอาอะไร

รักที่มีให้กัน
ในวันที่เคยหวาน หมดความต้องการ
เก็บคืนทุกๆ อย่างแล้วก็เดินจากไป
มันทนแทบไม่ไหว เธอรู้ไหม

จะเอาอะไรไปอีก ยังคิดว่าเหลือเท่าไหร่
ในโลกของฉันทั้งใบ หมดตัวไม่เหลือแม้ใจ
จะเอาอะไรไปอีก ยังคิดว่าเหลือเท่าไหร่

ในโลกของฉันทั้งใบ หมดตัวไม่เหลือ แม้ใจ
จะเอาอะไร ไปอีก จะเอาอะไร เท่าไหร่
ฉันทำไป จะเอาอะไร แม้ใจ จะเอาอะไรไปอีก
จะเอาอะไร เท่าไหร่ ฉันทำไป จะเอาอะไร
แม้ใจจะเอาอะไร",polycat
ถ้าเธอคิดจะลืมเขา,/music/thailyric/8654,"ถ้าเธอคิดจะลืมเค้า เธออย่าฟังแต่เพลงเศร้าอีกเลย
เช็ดน้ำตาที่อ่อนล้า อย่าเอามาทำร้ายใจอีกเลย
ถ้าเธอคิดจะลืมเค้า เธออย่าฟังแต่เพลงเศร้าอีกเลย
ถ้าน้ำตาทำให้ลืมรักลง ในโลกนี้คงมีแต่คนร้องไห้
อย่ามั่วแต่เสียใจ อย่ามั่วแต่เสียใจ

อยากให้เธอรู้ ให้เธอลองคิด ว่าชีวิต ไม่ได้มีเพื่อใคร
จะขังตัวเองประชดทำไมให้ได้อะไรขึ้นมา
เมื่อเค้าไม่เคยจะมองเห็นค่า

ถ้าเธอคิดจะลืมเค้า เธออย่าฟังแต่เพลงเศร้าอีกเลย
เช็ดน้ำตาที่อ่อนล้า อย่าเอามาทำร้ายใจอีกเลย
ถ้าเธอคิดจะลืมเค้า เธออย่าฟังแต่เพลงเศร้าอีกเลย
ถ้าน้ำตาทำให้ลืมรักลง ในโลกนี้คงมีแต่คนร้องไห้
อย่ามั่วแต่เสียใจ อย่ามั่วแต่เสียใจ

อยากให้เธอรู้ ให้เธอลองคิดว่าชีวิต ไม่ได้มีเพื่อใคร
เท่ารักคำเดียว ทำเธอแทบตาย ความรักมันไม่ได้เป็นทุกอย่าง
อย่าใช้หัวใจกับทุกๆ อย่าง

ถ้าเธอคิดจะลืมเค้า เธออย่าฟังแต่เพลงเศร้าอีกเลย
เช็ดน้ำตาที่อ่อนล้า อย่าเอามาทำร้ายใจอีกเลย
ถ้าเธอคิดจะลืมเค้า เธออย่าฟังแต่เพลงเศร้าอีกเลย
ถ้าน้ำตาทำให้ลืมรักลง ในโลกนี้คงมีแต่คนร้องไห้

การตอกย้ำไม่ใช่ทางออก กี่ความเจ็บซ้ำเธอถึงจะพอ
การตอกย้ำไม่ใช่ทางออก กี่ความเจ็บซ้ำเธอถึงจะพอ

ถ้าเธอคิดจะลืมเค้า เธออย่าฟังแต่เพลงเศร้าอีกเลย
ถ้าเธอคิดจะลืมเค้า เธออย่าฟังแต่เพลงเศร้าอีกเลย
ถ้าเธอคิดจะลืมเค้า เธออย่าฟังแต่เพลงเศร้าอีกเลย

ถ้าเธอคิดจะลืมเค้า เธออย่าฟังแต่เพลงเศร้าอีกเลย
ถ้าเธอคิดจะลืมเค้า เธออย่าฟังแต่เพลงเศร้าอีกเลย
ถ้าเธอคิดจะลืมเค้า เธออย่าฟังแต่เพลงเศร้าอีกเลย",polycat
ลา,/music/thailyric/8773,"ถ้าเราบังเอิญยังรักกันอยู่
ก็คงจะรู้กันในไม่ช้า
ว่าความรักสองเราถึงเวลา
จะจบกันในวันไหนสักวัน

ถ้าพรหมลิขิตทำรักเธอเกิด
แต่ไม่บังเอิญเป็นฉัน
ที่ผ่านมาไม่เป็นไร ไม่สำคัญ
ที่เธอนั้นจะแยกทางก็คงไม่ผิดอะไร

ไม่ใช่ความรักที่ทำให้เราได้อยู่ด้วยกัน
แต่เป็นแค่ฝันที่ฉันตื่นมาก็ลาจาก
ไม่มีเหตุผลจะฉุดรั้ง เหตุผลอะไรทั้งนั้น

ไม่ต่างอะไรกับเรื่องใดๆ ที่ผ่านพ้นมา
แค่เป็นชะตาที่ต้องเกิดมาเพื่อลากัน
มีสิ่งที่หวังก็ต้องหยุดหวัง
ฝันก็หยุดมัน เท่านั้นพอ

หากพรหมลิขิตทำรักเธอเกิด
แต่ไม่ใช่ฉันจริงๆ ใช่ไหม
ที่ผ่านมาไม่เป็นไร ฉันดีใจ
ที่ได้เคยอยู่ด้วยกัน ก็คงไม่ผิดอะไร

ไม่ใช่ความรักที่ทำให้เราได้อยู่ด้วยกัน
แต่เป็นแค่ฝันที่ฉันตื่นมาก็ลาจาก
ไม่มีเหตุผลจะฉุดรั้ง เหตุผลอะไรทั้งนั้น

ไม่ต่างอะไรกับเรื่องใดๆ ที่ผ่านพ้นมา
แค่เป็นชะตาที่ต้องเกิดมาเพื่อลากัน
มีสิ่งที่หวังก็ต้องหยุดหวัง
ฝันก็หยุดมัน เท่านั้นพอ

ไม่ใช่ความรักที่ทำให้เราได้อยู่ด้วยกัน
แต่เป็นแค่ฝันที่ฉันตื่นมาก็ลาจาก
ไม่มีเหตุผลจะฉุดรั้ง เหตุผลอะไรทั้งนั้น

ไม่ต่างอะไรกับเรื่องใดๆ ที่ผ่านพ้นมา
แค่เป็นชะตาที่ต้องเกิดมาเพื่อลากัน
มีสิ่งที่หวังก็ต้องหยุดหวัง
ฝันก็หยุดมัน เท่านั้นพอ

เมื่อมีการพบก็ต้องจากกัน
วันไหนอย่างไรเท่านั้นเอง",polycat
ซิ่ง,/music/thailyric/12245,"คิดถึงกัน อย่ารอไว้
ได้เจอกัน แค่บนหน้าจอ
ไม่พอไหม
และจะไม่มีฟ้าผ่า ครั้งไหน
ที่มันจะรุนและแรงเกิน
การที่เรามองตา
บอกได้เลยว่าไม่ No

และเรารู้ดี แสงไฟคืนนี้
ต้องสว่างกว่าคืนไหน

ไม่มีใครเร็วไปกว่านี้ วันนี้ที่ฉันได้มีเธออยู่
It's Friday lover on the highway,
Me and you
เปิดเพลงให้ดังยิ่งกว่านี้ วันนี้ที่ฉันได้มีเธออยู่
It's Friday lover on the highway,
Me and you!

อะไรที่เกิด ในคืนนี้
ไม่นับว่าเป็นความผิด เอาเลย
จะยกเว้น
และชุดฉันใส่ ในคืนนี้
ไม่รู้ว่าเธอจะชอบหรือเปล่า
แต่ว่าเธอดูดีในชุดโปรด ที่เธอใส่

และเรารู้ดี แสงไฟคืนนี้
ต้องสว่างกว่าคืนไหน

ไม่มีใครเร็วไปกว่านี้ วันนี้ที่ฉันได้มีเธออยู่
It's Friday lover on the highway,
Me and you
เปิดเพลงให้ดังยิ่งกว่านี้ วันนี้ที่ฉันได้มีเธออยู่
It's Friday lover on the highway,
Me and you!

ไม่มีใครเร็วไปกว่านี้ วันนี้ที่ฉันได้มีเธออยู่
It's Friday lover on the highway,
Me and you
เปิดเพลงให้ดังยิ่งกว่านี้ วันนี้ที่ฉันได้มีเธออยู่
It's Friday lover on the highway,
Me and you!",polycat
เป็นเพราะฝน (Teardrops),/music/thailyric/11129,"บอกฉันดีกว่า ว่าความรักจริงๆ ไม่ต้องเลย
ที่ใช้เวลาเนิ่นและนานเรียนรู้
เพราะดูที่ตอนแยกทางมันไม่นาน
เมื่อเธอหายไปเหลือเพียงน้ำตา
ตกลงมากับฝนให้คนได้ขาดใจ

จากฟ้าหยดลงบนพื้น จากตาอาบหน้าให้ชื้น
เมื่อไรเธอจะย้อนคืนมาหา

รักในครั้งนี้ยังไม่จบลงใช่ไหม
ไม่ว่าอะไรเปียกปอนฉันภาวนา
ให้เป็นเพราะฝนอย่าให้ต้องเปียกเพราะน้ำตา
มีเพลงผิดหวังที่เรา ได้เปิดมันฟังด้วยกัน
อย่าปล่อยให้เป็นแบบนั้นได้โปรด

ฟังเสียงของเธอ
แข่งกับฟ้าคำรามรู้สึกช่างคล้ายกันตรงเจตนาทำร้าย
ให้ใจฉันไม่สบายทั้งคู่
และเสียงที่ฉันได้ฟังเมื่อครู่
มันชวนให้ฉันนั้นคิดว่าเธอจะจากไป

จากฟ้าหยดลงบนพื้น จากตาอาบหน้าให้ชื้น
เมื่อไรเธอจะย้อนคืนมาหา

รักในครั้งนี้ยังไม่จบลงใช่ไหม
ไม่ว่าอะไรเปียกปอนฉันภาวนา
ให้เป็นเพราะฝนอย่าให้ต้องเปียกเพราะน้ำตา
มีเพลงผิดหวังที่เรา ได้เปิดมันฟังด้วยกัน
อย่าปล่อยให้เป็นแบบนั้นได้โปรด

รักในครั้งนี้ยังไม่จบลงใช่ไหม
ไม่ว่าอะไรเปียกปอนฉันภาวนา
ให้เป็นเพราะฝนอย่าให้ต้องเปียกเพราะน้ำตา
มีเพลงผิดหวังที่เรา ได้เปิดมันฟังด้วยกัน
อย่าปล่อยให้เป็นแบบนั้นได้โปรด

ถ้าหากต้องเสียน้ำตา ให้กี่เรื่องราวช่างมัน
อย่าเป็นเรื่องเธอกับฉัน ได้โปรด",polycat
พบกันใหม่? (So Long),/music/thailyric/10185,"และแล้วก็รู้ ว่าคนที่จบกันไป
ด้วยคำที่บอกว่าเราจะมาพบกันใหม่
มักจะไม่พบกันอีก
จากกันคราวนี้ ไม่อยากให้ดูโหดร้าย
รู้ดี อย่าห่วงไม่เคยจะทำให้เธอต้องลำบาก
และอยากจะให้รู้เอาไว้

ถ้าเธอรักใครมากสักหนึ่งคน และผลคือเขาจะไป
เพราะรักนั้นเธอจะไม่ยอมแม้แต่ปล่อยให้ เขากังวลแม้แต่น้อย
เจ็บเท่าไรยินดีให้เขานั้นเดินไป
อย่างที่ฉันกำลังที่จะทำ เจ็บช้ำด้วยความเต็มใจ
ขอแค่สักครั้งที่อย่างน้อยเธอสุขใจแม้ ทำได้เพียงตอนสุดท้าย
ก่อนจะลาไม่ว่าเธอจะพูดอะไร คำไหนก็ยอมโดยดี

และแล้วก็รู้ เมื่อเธอเอ่ยปากบอกฉัน
ว่าความรักคงต้องการมีระยะบางอย่าง
แปลว่าจะให้เราห่างกันไป
จากกันคราวนี้ ไม่อยากเป็นคนใจร้าย
รู้ดี ไม่มีอะไรใจร้ายเท่าคนคิดจะไป
แต่ปิดและซ่อนมันเอาไว้

ถ้าเธอรักใครมากสักหนึ่งคน และผลคือเขาจะไป
เพราะรักนั้นเธอจะไม่ยอมแม้แต่ปล่อยให้ เขากังวลแม้แต่น้อย
เจ็บเท่าไรยินดีให้เขานั้นเดินไป
อย่างที่ฉันกำลังที่จะทำ เจ็บช้ำด้วยความเต็มใจ
ขอแค่สักครั้งที่อย่างน้อยเธอสุขใจแม้ ทำได้เพียงตอนสุดท้าย
ก่อนจะลาไม่ว่าเธอจะพูดอะไร คำไหนก็ยอมโดยดี

ถ้าเธอรักใครมากสักหนึ่งคน และผลคือเขาจะไป
เพราะรักนั้นเธอจะไม่ยอมแม้แต่ปล่อยให้ เขากังวลแม้แต่น้อย
เจ็บเท่าไรยินดีให้เขานั้นเดินไป
อย่างที่ฉันกำลังที่จะทำ เจ็บช้ำด้วยความเต็มใจ
ขอแค่สักครั้งที่อย่างน้อยเธอสุขใจแม้ ทำได้เพียงตอนสุดท้าย
ก่อนจะลาไม่ว่าเธอจะพูดอะไร คำไหนก็ยอมโดยดี

และผลคือเขาจะไป
เพราะรักนั้นเธอจะไม่ยอมแม้แต่ปล่อยให้ เขากังวลแม้แต่น้อย
เจ็บเท่าไรยินดีให้เขานั้นเดินไป
อย่างที่ฉันกำลังที่จะทำ เจ็บช้ำด้วยความเต็มใจ
ขอแค่สักครั้งที่อย่างน้อยเธอสุขใจแม้ ทำได้เพียงตอนสุดท้าย
ก่อนจะลาไม่ว่าเธอจะพูดอะไร คำไหนก็ยอมโดยดี",polycat
เพื่อนพระเอก (Goodfella),/music/thailyric/11630,"เพราะอะไรทำไมต้องยิ้มที่จริง
เราควรต้องเสียใจ
ทุกครั้งที่เธอนั้นพูดถึงคนอื่น
ทำไมฉันจึงต้องเข้าใจ

เพราะอะไรต้องตอบคำถามทุกอย่าง
เมื่อเธอถามถึงใคร
คนนั้นที่ฉันก็รู้ว่าเธอนะมี
มีใจให้แค่ไหน

คงเพราะแววตาคู่นั้น
ช่างงดงามโดยเฉพาะตอนเอ่ยชื่อเขามัน
ทำให้ลืมว่าฉันควรจะน้อยใจ
ได้ยินแต่ไม่ได้ฟัง
เพราะใจความมันไม่สำคัญเท่ากับเสียงเธอ
That's so beautiful

มันกำลังดีที่สุดเลย
ฉันกำลังมีความสุขในโลกที่ไม่มีตัวฉัน
ไม่แม้สักนิดเลย
แค่เราได้ใกล้กันอย่างนี้
ความจริงที่ไม่เคยมีตัวฉันในสายตาเธอนั้น
ไม่มีความสำคัญกับฉันเลย

แม้ฉันรู้ว่าสิ่งที่ฉันทำอยู่
มันทำไปเพื่อเขา
และฉันก็รู้ดีว่าวันหนึ่ง
เธอจะต้องหายไป

แต่เพราะแววตาคู่นั้น
ช่างงดงามโดยเฉพาะตอนเอ่ยชื่อเขามัน
ทำให้ลืมคิดถึงเรื่องอื่นเรื่องใด

อย่างน้อยเราได้พบกัน
แม้เป็นเพียงคนเอารักไปส่งให้เท่านั้น
But that's still beautiful

มันกำลังดีที่สุดเลย
ฉันกำลังมีความสุขในโลกที่ไม่มีตัวฉัน
ไม่แม้สักนิดเลย
แค่เราได้ใกล้กันอย่างนี้
ความจริงที่ไม่เคยมีตัวฉันในสายตาเธอนั้น
ไม่มีความสำคัญกับฉันเลย

คงเพราะแววตาคู่นั้น
ช่างงดงามโดยเฉพาะตอนเอ่ยชื่อเขามัน
ทำให้ลืมว่าฉันควรจะน้อยใจ
ได้ยินแต่ไม่ได้ฟัง
เพราะใจความมันไม่สำคัญเท่ากับเสียงเธอ
That's so beautiful

มันกำลังดีที่สุดเลย
ฉันกำลังมีความสุขในโลกที่ไม่มีตัวฉัน
ไม่แม้สักนิดเลย
แค่เราได้ใกล้กันอย่างนี้
ความจริงที่ไม่เคยมีตัวฉันในสายตาเธอนั้น
ไม่มีความสำคัญกับฉันเลย

มันกำลังดีที่สุดเลย
ฉันกำลังมีความสุขในโลกที่ไม่มีตัวฉัน
ไม่แม้สักนิดเลย
แค่เราได้ใกล้กันอย่างนี้
ความจริงที่ไม่เคยมีตัวฉันในสายตาเธอนั้น
ไม่มีความสำคัญกับฉันเลย

มันกำลังดีที่สุดเลย
ฉันกำลังมีความสุข

มันกำลังดีที่สุดเลย
ฉันกำลังมีความสุข",polycat
ภักดี (Faith),/music/thailyric/11319,"ไม่อยากจะให้เป็นเลย คนที่รักและจะต้องปักใจ
เพราะเมื่อไหร่ความรักลาไป มันจะหมายความว่าช้ำอีกแน่
รอคนไม่รักมันเป็นอย่างไง ให้ดูที่ตัวอย่างแบบฉัน
นอกจากช้ำก็เสียเวลา รอการกลับมาทุกคืนวัน

ถ้าจะมีความรักทั้งที อย่าเป็นเลยคนจงรักภักดี

เชื่อฉันสักครั้งได้ไหม รักคนที่เขานั้นรักเรา
และเธอจะไม่ต้องเสียใจแบบฉัน
ถ้าฉันมันทำอย่างนั้นได้ ฉันคงจะไม่ต้องเสียใจ

วันเกิดไม่อยากให้ใคร มาเซอร์ไพรส์ถ้าไม่ใช่ตัวเขา
โทรศัพท์ไม่มีเบอร์ใคร จดเอาไว้นอกจากเบอร์ของเขา
จนใครเขารู้ว่าฉันนั้นคือราชาแห่งการเก็บไปหวัง
อยู่กับหวังแล้งๆ ในใจ และเธออยากเป็นไหมแบบนั้น

ถ้าจะมีความรักทั้งที อย่าเป็นเลยคนจงรักภักดี

เชื่อฉันสักครั้งได้ไหม รักคนที่เขานั้นรักเรา
และเธอจะไม่ต้องเสียใจแบบฉัน
ถ้าฉันมันทำอย่างนั้นได้ ฉันคงจะไม่ต้องเสียใจ

รักคนที่เขานั้นรักเรา
และเธอจะไม่ต้องเสียใจแบบฉัน
ถ้าฉันมันทำอย่างนั้นได้ ฉันคงจะไม่ต้องเสียใจ

รักคนที่เขานั้นรักเรา
และเธอจะไม่ต้องเสียใจแบบฉัน
ถ้าฉันมันทำอย่างนั้นได้ ฉันคงจะไม่ต้องเสียใจ",polycat
มันเป็นใคร (Alright),/music/thailyric/10853,"แม้ไม่เคยทำให้เธอต้องร้องไห้เลยอย่างเขา
คอยดูแล คอยเอาใจ ดีแค่ไหน
ก็ไม่เคยทำให้เธอนั้นยิ้มได้เลยอย่างเขา
เธอยังรอ คนคืนมา จนเหนื่อยล้า

ไม่ผิดที่เธอนั้นจะมั่นคงกับคนรักเก่า
เพราะฉันก็ห่วงแต่เธอเหมือนกับที่เธอห่วงแต่เขา
แทนที่เขาไม่ไหว อย่างน้อยเธอไม่ทุกข์ใจก็พอ

เธอเป็นคนเดียวที่ไม่ควรเสียใจ Alright
จะตามไปจนให้เจอว่าเขามันเป็นใคร
บอกไปว่าเขาเท่านั้น ที่เธอคิดฝันในใจ
และอยากให้กลับไปกอดเธอเอาไว้
ทำอะไรที่ฉันทำไม่ได้

มีบางคนรักไม่ได้ครึ่งฉันเลยด้วยซ้ำ
ใยเป็นคน ได้ครองใจ เธออย่างนั้น
มีคนเดียวที่จะไม่ยอมให้ทนเจ็บช้ำ
ก็คือเธอ เธอคนเดียว เธอเท่านั้น

ไม่ผิดที่เธอนั้นจะมั่นคงกับคนรักเก่า
เพราะฉันก็ห่วงแต่เธอเหมือนกับที่เธอห่วงแต่เขา
แทนที่เขาไม่ไหว อย่างน้อยเธอไม่ทุกข์ใจก็พอ

เธอเป็นคนเดียวที่ไม่ควรเสียใจ Alright
จะตามไปจนให้เจอว่าเขามันเป็นใคร
บอกไปว่าเขาเท่านั้น ที่เธอคิดฝันในใจ
และอยากให้กลับไปกอดเธอเอาไว้
และลองอภัยให้เธอได้ไหม
กลับไปรักเธอ กลับไปรักกัน ให้ฉันนั้นได้สบายใจ

เธอเป็นคนเดียวที่ไม่ควรเสียใจ Alright (Alright)
จะตามไปจนให้เจอว่าเขามัน (เขามัน) เป็นใคร (เป็นใคร)
บอกไปว่าเขาเท่านั้น (และเขาเท่านั้น) ที่เธอคิดฝันในใจ
และอยากให้กลับไป กอดเธอเอาไว้

เธอเป็นคนเดียวที่ไม่ควรเสียใจ Alright
จะตามไปจนให้เจอว่าเขามันเป็นใคร
บอกไปว่าเขาเท่านั้น (และเขาเท่านั้น) ที่เธอคิดฝันในใจ
และอยากให้กลับไปกอดเธอเอาไว้
ทำอะไรที่ฉันทำไม่ได้ (ที่ฉันทำไม่ได้)
และลองอภัยให้เธอได้ไหม
ฉันนั้นทนไม่ไหวเมื่อเธอร้องไห้",polycat
เวลาเธอยิ้ม (You Had Me At Hello),/music/thailyric/10891,"ไม่รู้ว่าต้องโตท่ามกลางหมู่ดอกไม้มากมายขนาดไหน
เธอจึงได้ครอบครอง รอยยิ้มที่สวยงามขนาดนี้
ทำให้รักใครไม่ได้อีกเลย วินาทีที่เธอ เจอกับฉันมันทำๆ ให้

ความเดียวดายสลาย เพราะได้เจออะไรที่คู่ควร
ฉันขอบคุณและให้คำสัญญา ว่าจะรักษาไว้

ฉันไม่ต้องการใครอีก
ดวงดาวทั้งฟ้าต้องเสียใจ และไม่มีสิ่งไหนสวยงามต่อไป
ตราบที่โลกนี้มีคนอย่างเธอ และฉันคือคนโชคดี
เมื่ออ่านความหมายทุกคำกวี
ไม่มีบทไหนงดงามอีกแล้ว ตราบที่โลกนี้ยังมีชื่อเธอ
ได้โปรดให้ฉันเป็นคนสุดท้าย ได้ไหม เธอคือชีวิตและลมหายใจ

เธอมีหลากล้านเม็ดทรายทะเล อยู่บนร่างกาย
เมื่อมองนัยตาของเธอ เจอหมอกรุ้งพร่างพราว
และค้นพบเพลงหนึ่งที่เพราะที่สุดเมื่อเธอได้พูดออกมา
Ooh ดีใจเหลือเกินที่ไม่บังเอิญหรือว่าฝันไป

ความเดียวดายสลาย เพราะได้เจออะไรที่คู่ควร
ฉันขอบคุณและให้คำสัญญา ว่าจะรักษาไว้

ฉันไม่ต้องการใครอีก
ดวงดาวทั้งฟ้าต้องเสียใจ และไม่มีสิ่งไหนสวยงามต่อไป
ตราบที่โลกนี้มีคนอย่างเธอ และฉันคือคนโชคดี
เมื่ออ่านความหมายทุกคำกวี
ไม่มีบทไหนงดงามอีกแล้ว ตราบที่โลกนี้ยังมีชื่อเธอ
ได้โปรดให้ฉันเป็นคนสุดท้าย ได้ไหม เธอคือชีวิตและลมหายใจ

ฉันไม่ต้องการใครอีก
ดวงดาวทั้งฟ้าต้องเสียใจ และไม่มีสิ่งไหนสวยงามต่อไป
ตราบที่โลกนี้มีคนอย่างเธอ (อย่างเธอ)
เมื่ออ่านความหมายทุกคำกวี
ไม่มีบทไหนงดงามอีกแล้ว ตราบที่โลกนี้ยังมีชื่อเธอ
ได้โปรดให้ฉันเป็นคนสุดท้าย ได้ไหม
เธอจะเป็นคนที่ฉันยกใจ เก็บไว้ เก็บไว้ให้เธอผู้เดียว",polycat
