song_name,href,lyric,artist
หมาเห่าเครื่องบิน,/music/thailyric/11457,"อาจฟังไม่มีเหตุผลเท่าไร
ก็ฉันไม่มีความหมายกับเธอ
ทุกๆ คราวที่นั่งมองเหม่อ
มันคิดถึงเธอรู้ไหม

ก็อาจจะเป็นแค่หมาที่เห่าเครื่องบิน
แต่อยากให้เธอได้ยินข้อความข้างใน
ที่เจอเธอวันนั้น มันหวั่นไหว
จนสุดที่ใจจะทน

จะให้ทำยังไงที่เธอ
จะได้หันมามองกันบ้าง
ขอแค่เพียงให้ฉันได้เดินร่วมทาง
ก็สุขใจพอแล้ว

จะให้ทำยังไงก็ยอม
ไม่อ้อมค้อมหัวใจแน่แน่ว
ก็เพราะรักเธอเข้าแล้วจริงๆ
ก็อยากให้เธอเชื่อใจ

รู้ดีว่าฉันต้อยต่ำ
รู้ดีว่าคำที่พูดไป
อาจจะทำให้เธอลำบากใจ
ก็คงต้องขอโทษที

จะให้ทำยังไงที่เธอ
จะได้หันมามองกันบ้าง
ขอแค่เพียงให้ฉันได้เดินร่วมทาง
ก็สุขใจพอแล้ว

จะให้ทำยังไงก็ยอม
ไม่อ้อมค้อมหัวใจแน่แน่ว
ก็เพราะรักเธอเข้าแล้วจริงๆ
ก็อยากให้เธอเชื่อใจ
รู้ดีว่าฉันต้อยต่ำ
รู้ดีว่าคำที่พูดไป
อาจจะทำให้เธอลำบากใจ
ก็คงต้องขอโทษที

ถ้าหากว่าทำให้เธอ รู้สึกดี
ก็คงจะพอมีทาง",pu_ancharee
ที่สุดแล้ว,/music/thailyric/3596,"เหนื่อยใช่มั้ย ที่ต้องทน
แบกภาระอันหนักล้นไว้ข้างใน
และไม่ว่าค้นไม่ว่าหา พยายามสักเท่าไหร่
ก็ไม่เคยจะเจอทางออก

แบกคนเดียว อยู่ผู้เดียว
เพียงลำพังคนเดียวเปล่าเปลี่ยวไหม ในใจ
อยากรู้เธอจะเหนื่อย
อยากรู้เธอจะแบก จนเมื่อไหร่

ฉันเองก็เคย เป็นเหมือนๆ กับเธอ
จึงอยากบอกเธอ ให้เธอรุ้ไว้

เปิดเถอะนะ ปล่อยเถอะนะ
วางสัมภาระของเธอลงก่อน
พาใจมาพิง แล้วก็ทิ้งตัวลงนอน ให้สบาย
เธอได้ทำดีที่สุดแล้ว

อาจดูเหมือน หมดหนทาง
มองไปก็อ้างว้าง โดดเดี่ยวเหงาเดียวดาย
ไม่เห็นมีจุดจบ ไม่รู้จะสิ้นสุด สักเมื่อไร

ฉันเองก็เคย เป็นเหมือนๆ กับเธอ
จึงอยากบอกเธอ ให้เธอรู้ไว้

เปิดเถอะนะ ปล่อยเถอะนะ
วางสัมภาระของเธอลงก่อน
พาใจมาพิง แล้วก็ทิ้งตัวลงนอน ให้สบาย
เธอได้ทำดีที่สุดแล้ว

เปิดเถอะนะ ปล่อยเถอะนะ
วางสัมภาระของเธอลงก่อน
พาใจมาพิง แล้วก็ทิ้งตัวลงนอน ให้สบาย

เปิดเถอะนะ ปล่อยเถอะนะ
พักลงก่อนที่จะสาย
พาใจมาพิง ทิ้งตัวลงนอนให้สบาย
ปลดพันธนาการที่ผูกมัดหัวใจและกาย
พาใจมาพิง แล้วทิ้งตัวลงนอน ให้สบาย
เธอได้ทำดีที่สุดแล้ว",pu_ancharee
ไม่รู้เลย,/music/thailyric/3598,"ก่อนที่จะเจอะ ก่อนได้เจอกับเธอเมื่อวันนั้น
ฉันยังจำมันได้ดี
คำถามในใจที่มากมาย ข้างในที่มี ไม่รู้จะตอบอย่างไร

จุดประสงค์ของชีวิตคือสิ่งใด เส้นทางของฉันที่เดินอยู่
จะจบลงตรงที่จุดไหน อย่างไร

ฉันไม่รู้เลย และเป็นความจริงที่ฉันไม่กล้าที่จะคิดเลย
เพราะยิ่งคิด และยิ่งค้นเท่าไร
ยิ่งพบว่าในใจฉันนั้นช่างเหนื่อยล้า
ที่คอยเสาะหาคำตอบ ที่ไม่มีวันรู้เลย
ว่าสุดท้ายชีวิตฉันอยู่ในโลกนี้เพื่ออะไร

สิ่งใดที่ใจของฉันรอ อะไรที่ฉันเสาะหา
ฉันจะมีวันเจอะไหม

จุดประสงค์ของชีวิตคือสิ่งใด เส้นทางที่ฉันนั้นเดินอยู่
จะจบลงตรงที่จุดไหน อย่างไร

ฉันไม่รู้เลย และเป็นความจริงที่ฉันไม่กล้าที่จะคิดเลย
เพราะยิ่งคิด และยิ่งค้นเท่าไร
ยิ่งพบว่าในใจฉันนั้นช่างเหนื่อยล้า
ที่คอยเสาะหาคำตอบ ที่ไม่มีวันรู้เลย
ว่าสุดท้ายชีวิตฉันอยู่ในโลกนี้เพื่ออะไร

ฉันไม่รู้เลย และเป็นความจริงที่ฉันไม่กล้าที่จะคิดเลย
เพราะยิ่งคิด และยิ่งค้นเท่าไร
ยิ่งพบว่าในใจฉันนั้นช่างเหนื่อยล้า
ที่คอยเสาะหาคำตอบ ที่ไม่มีวันรู้เลย
ว่าสุดท้ายชีวิตฉันอยู่ในโลกนี้เพื่ออะไร",pu_ancharee
ยิ้ม,/music/thailyric/3599,"ทุกครั้งที่ฉันนั้นเจอ ผู้คนมากมาย
ไม่ว่าเขานั้น หน้าตา ท่าทางอย่างไร

ถึงแม้เขานั้นฉันไม่รู้จัก และไม่รู้ว่าเขาคือใคร
แต่ฉันก็รู้ และแน่ใจกว่า(ใน)ทุกคน

ถ้าหากฉันยิ้มให้เขาก่อน เขาจะยิ้มให้ฉันกลับ
ต่างคนก็จะได้รับอีกความสุขเติมให้หัวใจ
ถ้าหากฉันทักกับเขาก่อน เขาจะคุยกับฉันกลับ
เมื่อให้ก็จะได้รับความสุขกลับคืนเสมอไป

เติมชีวิตเพิ่มทุกๆ วัน รับความสุขนั้นด้วยการให้
เริ่มสะสมความชื่นใจ ด้วยรอยยิ้ม

สวัสดีครับ นภ พรชำนิ ครับ
รู้ไหมทุกครั้ง ที่ฉันได้เจอกับใคร
สูง ขาว ผิวสี ยากจน มั่งมีแค่ไหน

ถึงแม้เขานั้นฉันไม่รู้จัก และไม่รู้ว่าเขาคือใคร
แต่ฉันก็รู้ และมั่นใจในทุกคน

ถ้าหากฉันยิ้มให้เขาก่อน เขาจะยิ้มให้ฉันกลับ
ต่างคนก็จะได้รับอีกความสุขเติมให้หัวใจ
ถ้าหากฉันทักกับเขาก่อน เขาจะคุยกับฉันกลับ
เมื่อให้ก็จะได้รับความสุขกลับคืนเสมอไป

เติมชีวิตเพิ่มทุกๆ วัน รับความสุขนั้นด้วยการให้
เริ่มสะสมความชื่นใจ ด้วยรอยยิ้ม

แค่ยิ้มให้เขาก่อน (ยิ้มให้เขาก่อน)
แค่ทักกับเขาก่อน (ทักกับเขาก่อน)
แน่นอนว่าเขา จะคืนจะย้อนให้กลับมา

ถึงแม้เขานั้นฉันไม่รู้จัก และไม่รู้ว่าเขาคือใคร
แต่ฉันก็รู้ และแน่ใจกว่า(ใน)ทุกคน

ถ้าหากฉันยิ้มให้เขาก่อน เขาจะยิ้มให้ฉันกลับ
ต่างคนก็จะได้รับอีกความสุขเติมให้หัวใจ
ถ้าหากฉันทักกับเขาก่อน เขาจะคุยกับฉันกลับ
เมื่อให้ก็จะได้รับความสุขกลับคืนเสมอไป

เติมชีวิตเพิ่มทุกๆ วัน รับความสุขนั้นด้วยการให้
เริ่มสะสมความชื่นใจ ด้วยรอยยิ้ม

ถ้าหากฉันยิ้มให้เขาก่อน เขาจะยิ้มให้ฉันกลับ
ต่างคนก็จะได้รับอีกความสุขเติมให้หัวใจ
ถ้าหากฉันทักกับเขาก่อน เขาจะคุยกับฉันกลับ
เมื่อให้ก็จะได้รับความสุขกลับคืนเสมอไป

เติมชีวิตเพิ่มทุกๆ วัน รับความสุขนั้นด้วยการให้
เริ่มสะสมความชื่นใจ ด้วยรอยยิ้ม",pu_ancharee
รัก,/music/thailyric/3600,"เหมือนฝนตกตอนหน้าแล้ง
เหมือนเห็นสายรุ้งขึ้นกลางแจ้ง
เหมือนลมหนาวเดือนเมษา
เหมือนว่าใจอ่อนล้ากลับแข็งแกร่ง

เหมือนคนกำลังมีรัก
เหมือนคนหลงทางพบคนรู้จัก
เหมือนเจอของสำคัญที่หล่นหาย
เหมือนร้ายนั้นกลายเป็นดีมาก
เหมือนที่ฉันนั้นได้มาพบกับเธอ
ชีวิตฉันจึงได้เจอ

แต่ไม่รู้จะขอบคุณ ไม่รู้ทำอย่างไร
ไม่รู้ว่าสิ่งไหนจะยิ่งใหญ่ควรค่าพอ
ที่ฉันได้จากเธอ ได้รักโดยไม่ต้องขอ
ได้รู้โดยไม่ต้องรอ ว่ารักคืออะไร

โอ้...เธอ ทำให้ฉันรู้จัก
ความรักที่ไม่มีเหมือนใครใด
ได้มามีเธอนั้นเป็นคนให้
หัวใจอยากให้เธอรู้

แต่ไม่รู้จะขอบคุณ ไม่รู้ทำอย่างไร
ไม่รู้ว่าสิ่งไหนจะยิ่งใหญ่ควรค่าพอ
ที่ฉันได้จากเธอ ได้รักโดยไม่ต้องขอ
ได้รู้โดยไม่ต้องรอ ว่ารักคืออะไร

ได้รู้โดยไม่ต้องรอ ว่ารักคืออะไร",pu_ancharee
อยากได้ยินเสียงเธอ,/music/thailyric/3601,"ยังจำได้ไหมว่านานเท่าไหร่ นับจากวันนั้น
และจำได้ไหมว่านานเท่าไหร่ ที่เราไม่พบกัน
กี่ปีมาแล้วที่ความรู้สึก แม้แค่ช่วงสั้นๆ
คอยเติมความสำคัญให้หัวใจ

เธอสบายดี แค่ไหนยังไง 
เธอยังเป็นคนเดิมคนนั้น เหมือนฉันหรือไม่ 
เธอทำอะไร ชีวิตเธอเป็นยังไง
ได้ทำตามความตั้งใจบ้างหรือยัง

อยากได้ยินเสียงเธอ อยากได้ฟังเสียงเธอ
ดีใจที่ได้เจอกับเธอจริงๆ อีกครั้ง
อยากบอกว่าคิดถึงเธอ ช่วงที่เราห่างกัน 
อยากให้รู้ว่าฉันนั้นยังไม่เคยเปลี่ยน 
หัวใจยังมีเธอเสมอมา...เสมอมา

ก่อนที่ตัวฉันนั้นจะเริ่มต้นเรื่องราวของฉัน 
ก่อนเวลานั้นฉันขอมองเธอให้เต็ม เต็มสายตา

โอบกอดให้คุ้มค่าความรู้สึก ที่เราไม่ได้พบหน้า 
ให้สมกับช่วงเวลาที่หายไป

เธอสบายดี แค่ไหนยังไง 
เธอยังฟังเพลงเดิม เพลงนั้นของฉันหรือไม่
เธอทำอะไร ชีวิตเธอเป็นยังไง
ได้ทำตามความตั้งใจบ้างหรือยัง

อยากได้ยินเสียงเธอ อยากได้ฟังเสียงเธอ
ดีใจที่ได้เจอกับเธอจริงๆ อีกครั้ง
อยากบอกว่าคิดถึงเธอ ช่วงที่เราห่างกัน 
อยากให้รู้ว่าฉันนั้นยังไม่เคยเปลี่ยน 
หัวใจยังมีเธอเสมอมา

ไม่ว่าเวลาไหนยังไง จะห่างไกลก็แค่เพียงตา 
ใจยังมีให้เธอไม่เคยเหนื่อยล้า

อยากได้ยินเสียงเธอ อยากได้ฟังเสียงเธอ
ดีใจที่ได้เจอกับเธอจริงๆ อีกครั้ง
อยากบอกว่าคิดถึงเธอ ช่วงที่เราห่างกัน 
อยากให้รู้ว่าฉันนั้นยังไม่เคยเปลี่ยน 
หัวใจยังคง...

อยากได้ยินเสียงเธอ อยากได้ฟังเสียงเธอ
ดีใจที่ได้เจอกับเธอจริงๆ อีกครั้ง
อยากบอกว่าคิดถึงเธอ ช่วงที่เราห่างกัน 
อยากให้รู้ว่าฉันนั้นยังไม่เคยเปลี่ยน 
หัวใจยังมีเธอเสมอมา",pu_ancharee
อยู่ที่ไหน,/music/thailyric/3602,"ในวันที่ฟ้าซึมเศร้ามัวหม่นอย่างวันนี้
เป็นวันที่ฝนโปรยๆไม่ยอมหยุดซะที
มองไปทางไหนไม่พบอะไรที่ดี
ที่จะทำให้ใจมีความหวัง

อยู่ที่ไหนหรือความรักช่วยเข้ามาทักหัวใจของฉันดูบ้าง
ให้ได้รู้สิ่งที่ค้นหามาเนิ่นนาน ที่ฉันต้องการนั้นรออยู่ที่ใด

ซึมๆ เพ้อๆ ลำพังนั่งอยู่ที่ตรงนี้
รอคอยไม่รู้วันใดจะพ้นไปซักที

มองไปทางไหนไม่พบอะไรที่ดี ที่จะทำให้ใจมีความหวัง

อยู่ที่ไหนหรือความรักช่วยเข้ามาทักหัวใจของฉันดูบ้าง
ให้ได้รู้สิ่งที่ค้นหามาเนิ่นนาน ที่ฉันต้องการนั้นรออยู่ที่ใด

มองไปทางไหนไม่พบอะไรที่ดี ที่จะทำให้ใจมีความหวัง

อยู่ที่ไหนหรือความรักช่วยเข้ามาทักหัวใจของฉันดูบ้าง
ให้ได้รู้สิ่งที่ค้นหามาเนิ่นนาน ที่ฉันต้องการนั้นรออยู่ที่ใด


ให้ได้รู้สิ่งที่ค้นหามาเนิ่นนาน ที่ฉันต้องการนั้นรู้สึกเช่นไร",pu_ancharee
ครอสส์โรดส์,/music/thailyric/3594,"เป็นเพลงจากอัลบั้ม Crossroads

ที่ตรงนี้ ชีวิตของเราเคยผ่าน
ประสบการณ์ที่ดีในวันสดใส
เก็บความฝัน แบ่งปัน สองคน หนึ่งใจ
ประคองไว้ ฉันพร้อมจะไปกับเธอ

แต่วันนั้น ที่สองเราต้องแยกจาก
เมื่อเส้นทาง ได้พาให้เราห่างกัน
แต่ยังจำ สิ่งดี ที่สองเรามีต่อกัน
และตัวฉันจะขอสัญญากับเธอ

ถ้ามีวันไหน หนทางนำเธอ กลับมา
ถ้าเธออ่อนล้า กลับมาที่ทางแยกนี้
จะอยู่ตรงนี้ เหมือนวันที่เราเคยมี กันและกัน
เพียงเธอเรียกฉัน ฉันพร้อมจะมาหาเธอ

แต่วันนั้น ที่สองเราต้องแยกจาก
เมื่อเส้นทาง ได้พาให้เราห่างกัน
แต่ยังจำ สิ่งดี ที่สองเรามีต่อกัน
และตัวฉันจะขอสัญญากับเธอ

ถ้ามีวันไหน หนทางนำเธอ กลับมา
ถ้าเธออ่อนล้า กลับมาที่ทางแยกนี้
จะอยู่ตรงนี้ เหมือนวันที่เราเคยมี กันและกัน
เพียงเธอเรียกฉัน ฉันพร้อมจะมาหาเธอ

จะกลับมาหา มาหาที่ทางของเรา",pu_ancharee
เจอกันในใจ,/music/thailyric/3595,"ร้องร่วมกับ ป้อม เกริกศักดิ์ ยุวะหงษ์
เป็นเพลงจากอัลบั้ม อยากจะมีเธอ ของ ป้อม เกริกศักดิ์ ยุวะหงษ์
เนื้อร้อง  มณฑวรรณ  ศรีวิเชียร
ทำนอง/ เรียบเรียง  เรืองกิจ  ยงปิยะกุล

สิ่งดีดีจะไม่มีวันจาง และยังคงเหมือนเก่า
หากวันใดวันที่ไม่มีเรา อยากให้เธอได้ยอมรับ
การเจอกันต้องมีวันจาก ความรักมีเส้นทางของมัน
มีเรื่องราวที่เราเคยผ่าน ที่เราจะจำมันเก็บไว้

หากเธอคิดถึงฉัน ถึงแม้ไม่ได้เจอ
ให้เธอรู้ฉันยังอยู่ไม่ไกล
เมื่อไหร่ที่คิดถึงฉัน ให้รักแทนดวงตา
ฉันจะมาเจอเธอที่หัวใจ

จากกันไปเราเข้าใจกันดี จะไม่มีน้ำตา
อดทนรอรอแค่วันเวลา ที่จะเจอกันอีกครั้ง
คำที่เคยทักทายวันก่อน มาถึงตอนกล่าวคำร่ำลา
ยังไม่รู้หนทางข้างหน้า จะกลับมาเจอกันอีกไหม

หากเธอคิดถึงฉัน ถึงแม้ไม่ได้เจอ
ให้เธอรู้ฉันยังอยู่ไม่ไกล
เมื่อไหร่ที่คิดถึงฉัน ให้รักแทนดวงตา
ฉันจะมาเจอเธอที่หัวใจ

เมื่อไหร่ที่คิดถึงฉัน ให้รักแทนดวงตา
ฉันจะมาเจอเธอที่หัวใจ",pu_ancharee
มีเธอ,/music/thailyric/3597,"เป็นเพลงจากอัลบั้ม Crossroads

ฉันไม่รู้จะเป็นอย่างไร ถ้าฉันไม่มีเธออย่างนี้
ฉันก็คงหลงทาง กำลังใจหายไปทุกที ไม่มีใคร...ไม่มีเลย
ฉันไม่รู้จะเป็นอย่างไร วันที่ใจฉันนั้นเหน็บหนาว
รักที่เธอให้มา มันมาแทนที่ความว่างเปล่า อบอุ่นในใจ...เมื่อฉันมีเธอ

รู้ไหมรักของเธอนั้นคือคำตอบ
ทำให้คนอย่างฉัน...ได้พบความหมาย (ได้พบความหมาย)
รักที่ฉันสัมผัส รับรู้ได้ด้วยใจ เธอยังคงมีหัวใจที่แท้จริง

ถึงพรุ่งนี้จะเป็นอย่างไร ใจฉันคงจะไม่อ้างว้าง
รักที่ใจของเธอ คอยนำทางให้แสงสว่าง เมื่อมีเธอ...เข้ามาในใจ

รู้ไหมรักของเธอนั้นคือคำตอบ
ทำให้คนอย่างฉัน...ได้พบความหมาย (ได้พบความหมาย)
รักที่ฉันสัมผัส รับรู้ได้ด้วยใจ เธอยังคงมีหัวใจที่แท้จริง

ฉันไม่รู้จะเป็นอย่างไร วันที่ใจฉันนั้นเหน็บหนาว
รักที่เธอให้มา มันมาแทนที่ความว่างเปล่า อบอุ่นในใจ...เมื่อฉันมีเธอ

ฉันได้มาพบเธอ เธอคือความรักที่ยิ่งใหญ่
อบอุ่นในใจ....เมื่อฉันมีเธอ...",pu_ancharee
