song_name,href,lyric,artist
ความจริงที่ปวดร้าว,/music/thailyric/6119,"แล้ว ฉันก็ได้รู้ การจะมีคนรักสักคนมันไม่ง่าย
คำที่เคยบอกกันจะรักจนวันตาย
พูดง่ายเกินไป แต่ทำได้ไหม

รัก ฉันเคยถูกรัก เธอเป็นคนปักคำนี้ลงในหัวใจ
และเธอเป็นคนที่ทำให้ฉันต้องร้องไห้
ด้วยคำว่าเรา จากกันด้วยดี

วันเวลาเปลี่ยนแปลงทุกๆ อย่าง
ประสาอะไรกับใจคนเราแค่นี้
ไม่รักกันแล้ว ก็มองไม่เห็นความดี
นี่คือความจริงที่มันปวดร้าว

แม้จะบอกว่ารักจากปาก
ถ้ารักมันเป็นเหตุผลทางใจ
ใครหลงงมงายเกินไป
ก็จะเหมือนมีไฟแผดเผา
เหมือนฉันในวันนี้ที่เจ็บ
คิดถึงเธอเมื่อไร ปวดร้าว
มันหลอนในใจตัวเรา
โง่เขลาที่เรายังลืมเธอ ไม่ลงเสียที

แล้ว ฉันก็ได้ซึ้ง
การจะลืมคนรักสักคนมันไม่ง่าย
จะพยายามลืมเธอก่อนถึงวันตาย
ยอมรับในใจวันนี้ยังมีแต่เธอ

วันเวลาเปลี่ยนแปลงทุกๆ อย่าง
ประสาอะไรกับใจคนเราแค่นี้
ไม่รักกันแล้ว ก็มองไม่เห็นความดี
นี่คือความจริงที่มันปวดร้าว

แม้จะบอกว่ารักจากปาก
ถ้ารักมันเป็นเหตุผลทางใจ
ใครหลงงมงายเกินไป
ก็จะเหมือนมีไฟแผดเผา
เหมือนฉันในวันนี้ที่เจ็บ
คิดถึงเธอเมื่อไร ปวดร้าว
มันหลอนในใจตัวเรา
โง่เขลาที่เรายังลืมเธอ ไม่ลงเสียที

แม้จะบอกว่ารักจากปาก
ถ้ารักมันเป็นเหตุผลทางใจ
ใครหลงงมงายเกินไป
ก็จะเหมือนมีไฟแผดเผา
เหมือนฉันในวันนี้ที่เจ็บ
คิดถึงเธอเมื่อไร ปวดร้าว
มันหลอนในใจตัวเรา
โง่เขลาที่เรายังลืมเธอ ไม่ลงเสียที",r_arnattapol
ใจจะขาด,/music/thailyric/6120,"ฉันไม่รู้จะเริ่มตรงไหน
ไม่รู้ต้องทำเช่นไร ทุกครั้งที่เราใกล้กัน
เพียงแค่รักคำเดียวสั้นๆ
แต่ฉันต้องทนเก็บมัน ไม่เคยบอกเธอสักที

เพราะไม่รู้ว่าเธอลืมเขา
จะลืมหมดยังเรื่องราว ที่เสียเขาไปคราวนั้น
คนที่รักเธอมาแสนนาน
ได้เห็นได้เจอทุกวัน ก็ยังไม่เคยกล้าพอ

อยากบอกว่ารักใจจะขาด รักใจจะขาด
แต่มัน ต้องห้ามใจไว้ให้ได้
ก็กลัวเธอนั้นจะยังไม่พร้อม กับรักที่ฉันบอกไป
ต้องยอมเก็บไว้ในใจอยู่เหมือนเดิม

ฉันต้องฝืนต้องทนต่อไป
ไม่รู้อีกนานเท่าไร ฉันถึงจะได้บอกเธอ
เพียงแค่เอื้อมมือไปก็เจอ
แต่รักที่มีเสมอ ต้องซ่อนลึกในหัวใจ

อยากบอกว่ารักใจจะขาด รักใจจะขาด
แต่มัน ต้องห้ามใจไว้ให้ได้
ก็กลัวเธอนั้นจะยังไม่พร้อม กับรักที่ฉันบอกไป
ต้องยอมเก็บไว้ในใจอยู่เหมือนเดิม

อยากบอกว่ารักใจจะขาด รักใจจะขาด
แต่มัน ต้องห้ามใจไว้ให้ได้
ก็กลัวเธอนั้นจะยังไม่พร้อม กับรักที่ฉันบอกไป
ต้องยอมเก็บไว้ในใจอยู่เหมือนเดิม

เก็บไว้ ยิ่งใกล้เท่าไรยิ่งทรมาน",r_arnattapol
ดวงตาของเธอ,/music/thailyric/6121,"ดาว ต่อให้มีแสงประกายแค่ไหน
ก็ไม่มีค่าเลยหากเราไม่แหงนดูมัน
ฉัน จะไปมีค่าอะไรวันนี้
หากว่าตัวของเธอไม่มองมาเหลียวแลกัน

ชีวิต พลิกผันและเปลี่ยนไม่รู้
ถ้าไม่พบเธอจะมีไหม ใครจะยอมรับฉัน

มันอาจ เนิ่นนานกว่าเราจะพบเจอกันและกัน
แต่ถือว่ามันก็ยังไม่สายไป
ไม่อยากเชื่อเลยว่าฉันวันนี้ ไม่ได้ฝันไป
ขอบคุณดวงตาของเธอ
ที่มองไปค้นจนเจอ คุณค่าในตัวฉัน

จากนี้ จะไม่ทำเรื่องให้เธอผิดหวัง
อุตส่าห์วางหัวใจ ฝากคนอย่างฉันดูแล

ชีวิต พลิกผันและเปลี่ยนไม่รู้
ถ้าไม่พบเธอ จะมีไหม ใครจะยอมรับฉัน

มันอาจ เนิ่นนานกว่าเราจะพบ เจอกันและกัน
แต่ถือว่ามันก็ยังไม่สายไป
ไม่อยากเชื่อเลยว่าฉันวันนี้ ไม่ได้ฝันไป
ขอบคุณดวงตาของเธอ
ที่มองไปค้นจนเจอ คุณค่าในตัวฉัน

มันอาจ เนิ่นนานกว่าเราจะพบ เจอกันและกัน
แต่ถือว่ามันก็ยังไม่สายไป
ไม่อยากเชื่อเลยว่าฉันวันนี้ ไม่ได้ฝันไป
ขอบคุณดวงตาของเธอ
ที่มองไปค้นจนเจอ คุณค่าในตัวฉัน

ไม่อยากเชื่อเลยว่าฉันวันนี้ ไม่ได้ฝันไป
ขอบคุณดวงตาของเธอ
ที่มองไปค้นจนเจอ คุณค่าในตัวฉัน",r_arnattapol
หัวอกเดียวกัน,/music/thailyric/6125,"อาร์:
ก็มันเจ็บจริงๆเลยครับ
เจอะคนสวยมาทำกันเอาไว้
โดนเธอเดาะมานาน
พอจะเบื่อก็พาลทิ้งขว้างกันไป

เอ็ม:
มันยังไงใจเย็นไอ้น้อง
แบบว่าพี่ก็เพิ่งจะโดนหลอกใช้
ให้เธอหมดที่มี ดันมาบอกว่าดีเกินไป

อาร์:
เอ๊ะ ตรงซะตรงกัน ซะอย่างงั้น
เมื่อรักมันโดนพังต้องย้อมใจ
ขอสักวัน ให้ความปวดร้าว

ไอ้เรามันคนช้ำ พวกคนช้ำ อกหักด้วยกัน
รินให้กับความช้ำ มาดื่มให้เรา
หัวอกเดียวกัน อย่างนี้ต้องฉลองกันไปเลย

ก่อนเขาเคยดีดีกันนัก
พอหมดรักทำไมมันเป็นอย่างนี้
มีเธออยู่ประจำ
แล้วเธอกลับมาทำไม่ญาติดี

เอ็ม:
ก็ได้แต่ทำใจไอ้น้อง
แบบว่าพี่ก็เพิ่งจะโดนช็อตนี้
เธอมาบอกกันเรา
ว่าแฟนเก่าขอเธอคืนดี

อาร์:
เอ๊ะ ตรงซะตรงกัน ซะอย่างงั้น
เมื่อรักมันโดนพังต้องย้อมใจ
ขอสักวัน ให้ความปวดร้าว

เอ็ม:
ไอ้เรามันคนช้ำ พวกคนช้ำ อกหักด้วยกัน
รินให้กับความช้ำ มาดื่มให้เรา
หัวอกเดียวกัน อย่างนี้ต้องฉลองกันไปเลย

อาร์&amp;เอ็ม:
ไอ้เรามันคนช้ำ พวกคนช้ำ อกหักด้วยกัน
รินให้กับความช้ำ มาดื่มให้เรา
หัวอกเดียวกัน อย่างนี้ต้องฉลองกันไปเลย

ไอ้เรามันคนช้ำ พวกคนช้ำ อกหักด้วยกัน
รินให้กับความช้ำ มาดื่มให้เรา
หัวอกเดียวกัน อย่างนี้ต้องฉลองกันไปเลย

อาร์:
อย่างนี้ต้องฉลองกันไปเลย",r_arnattapol
อยากหยุดเวลา,/music/thailyric/6126,"ฉันเริ่มจะใจหาย เมื่อมองฟ้าไกล
ฟ้าใกล้จะรุ่งสาง เริ่มมีแสงรำไร
รู้ว่าใกล้เวลาจากกันแสนไกล
หัวใจเริ่มสลายแต่จะทำเช่นไร

อยากจะร้องไห้ อยากให้เวลาเดินช้าๆ
ขอเวลาสักหน่อย อยากมองหน้ากัน
อยากหยุดวันเวลานี้ไว้
นานเท่านาน ก่อนจากกัน

ขอเพียงให้เวลาพูดจาสักคำ
แล้วจะจดจะจำจากวันนี้จนตาย
รู้ว่าใกล้เวลา จากกันแสนไกล
หัวใจเริ่มสลาย แต่เธอคงต้องไป

อยากจะร้องไห้ อยากให้เวลาเดินช้าๆ
ขอเวลาสักหน่อย อยากมองหน้ากัน
อยากหยุดวันเวลานี้ไว้
นานเท่านาน ก่อนจากกัน

สิ่งที่ใจรู้ดี ฉันเองไม่เคยมีใคร
รักได้อย่างนี้เช่นเธอ รักอยู่เต็มดวงใจ

อยากจะร้องไห้ อยากให้เวลาเดินช้าๆ
ขอเวลาสักหน่อย อยากมองหน้ากัน
อยากหยุดวันเวลานี้ไว้
นานเท่านาน ก่อนเธอต้องไป",r_arnattapol
กลับไปกอดเธอ,/music/thailyric/6118,"อาจจะได้พบผู้คน
เจอะรอยยิ้มบนท้องถนนมากมาย
สิ่งดีดีมีรอบกาย
อาจจะมีเรื่องหลายอย่าง
เติมชีวิตให้ไม่ขาดหาย
ไม่เดียวดายไม่หนาวใจ

แต่ใครจะรู้ ลึกๆลงไป ช่วงเวลาฉันไม่มีใคร
ฉันต้องการใจหนึ่งใจเท่านั้น

อยากกลับไปหาเธอเหลือเกิน
ซบลงที่ตรงกลางใจ
คิดถึงอุ่นไอที่เคยใกล้กัน
อยากกลับไปกอดเธอที่สุด
ในคืนที่มันช่างอ้างว้าง
ท่ามกลางผู้คนมากมาย
ใจฉันยังมีแต่เธอ

จากเธอมาไม่เท่าไร
แต่ชีวิตช่างเหมือนเดินมาแสนไกล
จากอ้อมกอดของเธอ
เป็นอย่างไร ฉันเป็นห่วง
ฝากกับฟ้าและดาวได้ไหม
ช่วยบอกเธอฉันคิดถึง

แต่ใครจะรู้ ลึกๆลงไป ช่วงเวลาฉันไม่มีใคร
ฉันต้องการใจหนึ่งใจเท่านั้น

อยากกลับไปหาเธอเหลือเกิน
ซบลงที่ตรงกลางใจ
คิดถึงอุ่นไอที่เคยใกล้กัน
อยากกลับไปกอดเธอที่สุด
ในคืนที่มันช่างอ้างว้าง
ท่ามกลางผู้คนมากมาย
ใจฉันยังมีแต่เธอ

อยากกลับไปหาเธอเหลือเกิน
ซบลงที่ตรงกลางใจ
คิดถึงอุ่นไอที่เคยใกล้กัน
อยากกลับไปกอดเธอที่สุด
ในคืนที่มันช่างอ้างว้าง
ท่ามกลางผู้คนมากมาย
ใจฉันยังมีแต่เธอ",r_arnattapol
หน้าตาดีไม่มีแฟน,/music/thailyric/6124,"คนที่ดูดี ก็มีตั้งเยอะตั้งมากมาย ก็ไม่รู้ว่าทำไม
ทุกๆครั้งที่เจอใคร ต้องมีแฟนกันทุกราย

เธอเล่นดูดีซะจนใจดีมันวุ่นวาย แต่ไม่รู้ว่ายังไง
ไม่รู้ว่าเธอมีใคร เป็นเจ้าของอยู่หรือเปล่า

เธอทำให้ใจคนๆ นึงยืนตะลึง
ทำให้ใจดวงนึงนอนคิดถึงเธออยู่ได้ทั้งคืน อยากขอร้อง

ช่วยเป็นคนหน้าตาดี ที่ยังไม่มีแฟนได้ไหม
ให้ฉันได้มีโอกาสรัก รักเธอ
คนหน้าตาดี ทำไมชอบมีแฟนแล้วไม่เข้าใจ
ได้โปรดอย่าคบใครอยู่ได้ไหมเธอ

ฉันขอเบอร์โทร ขอมีแต่เธอได้หรือเปล่า ถ้าวันนี้เธอมีใคร
ให้เขานั้นเป็นตัวปลอม เพราะฉันพร้อมเป็นตัวจริง

กินข้าวด้วยกัน เดินห้างกับฉันได้หรือเปล่า ถ้าตอนนี้เธอมีแฟน
ขอแค่ช่วยลืมๆไป ฉันจะให้เธอทุกสิ่ง

เธอทำให้ใจคนๆ นึงยืนตะลึง
ทำให้ใจดวงนึงนอนคิดถึงเธออยู่ได้ทั้งคืน อยากขอร้อง

ช่วยเป็นคนหน้าตาดี ที่ยังไม่มีแฟนได้ไหม
ให้ฉันได้มีโอกาสรัก รักเธอ
คนหน้าตาดี ทำไมชอบมีแฟนแล้วไม่เข้าใจ
ได้โปรดอย่าคบใครอยู่ได้ไหมเธอ

เปิดโอกาสเอาไว้ดีไหมเธอ หน้าตาดีแบบนี้ยังได้เจอ
มีใครๆ อีกเยอะที่ชอบเธอ ฉันนี่ไงฝันถึงเธอ
เปิดโอกาสเอาไว้ให้ฉันหน่อย ยังมีคนอีกเยอะที่เฝ้าคอย
ใจเซอร์ๆ อย่างฉันมีไม่บ่อย ขอโอกาสฉันสักหน่อย

ช่วยเป็นคนหน้าตาดี ที่ยังไม่มีแฟนได้ไหม
ให้ฉันได้มีโอกาสรัก รักเธอ
คนหน้าตาดี ทำไมชอบมีแฟนแล้วไม่เข้าใจ
ได้โปรดอย่าคบใครอยู่ได้ไหมเธอ

เปิดโอกาสเอาไว้ดีไหมเธอ หน้าตาดีแบบนี้ยังได้เจอ
มีใครๆ อีกเยอะที่ชอบเธอ ฉันนี่ไงฝันถึงเธอ
เปิดโอกาสเอาไว้ให้ฉันหน่อย ยังมีคนอีกเยอะที่เฝ้าคอย
ใจเซอร์ๆ อย่างฉันมีไม่บ่อย ขอโอกาสฉันสักหน่อย

ช่วยเป็นคนหน้าตาดี ที่ยังไม่มีแฟนได้ไหม
คนหน้าตาดี ทำไมชอบมีแฟนแล้วไม่เข้าใจ",r_arnattapol
อย่าผิดนัด,/music/thailyric/6127,"ร้องร่วมกับ บี้ สุกฤษฎิ์ วิเศษแก้ว
เจอไม่เจอ มาไม่มา รู้ไหมว่าใจฉันหวั่น
เธอคงมีคนมากมาย อยากนัดหมายเธอเหมือนกัน
ฉันกลัวเธอลืมนัดของเรา

ก็ยังคิดไกล ก็ใจก็กลัว นัดเธอคือฉันหรือเปล่า
ไม่อยากอยู่ท้ายขบวน ต่อคิวนัดเธอยืดยาว ก็เลยต้องมาขอร้อง

นัดอย่าผิดนัด ก็คุยกันชัดว่าเรานัดกันเอาไว้
จำให้ดีนัดใครว่าเมื่อไรที่ใด นัดใครอย่าเพิ่งมึนอย่าเพิ่งงง
นัดอย่าผิดนัด อุตส่าห์คอนเฟิร์มว่านัดกันอย่างมั่นคง
อยากให้เธอมาให้ตรง วันอาทิตย์ตอนห้าโมง
อย่าลืมนัดคนที่หลงรักเธอ

นัดของเธอน่ะฉัน เฮ้ยไม่ใช่นัดเธอน่ะผม
งั้นถามเธอสินัดไหน เธอนัดใครนัดพี่หรือผม
เธอชอบนัดนี้ครับ โธ่โธ่พี่อย่าเกทับผม
งั้นถามเธอสินัดไหน ได้ได้ได้ถามเลยครับผม

ใครเฝ้ารอ รอพบเจอ ขอเธออย่าได้เฉยเมย
ก.ท.ม. คงวุ่นวาย ไม่ถูกใจของฉันเลย ถ้าเธอดันลืมนัดของเรา

ก็ยังคิดไกล ก็ใจก็กลัว นัดเธอคือฉันหรือเปล่า
ไม่อยากอยู่ท้ายขบวน ต่อคิวนัดเธอยืดยาว ก็เลยต้องมาขอร้อง

นัดอย่าผิดนัด ก็คุยกันชัดว่าเรานัดกันเอาไว้
จำให้ดีนัดใครว่าเมื่อไรที่ใด นัดใครอย่าเพิ่งมึนอย่าเพิ่งงง
นัดอย่าผิดนัด อุตส่าห์คอนเฟิร์มว่านัดกันอย่างมั่นคง
อยากให้เธอมาให้ตรง วันอาทิตย์ตอนห้าโมง
อย่าลืมนัดคนที่หลงรักเธอ",r_arnattapol
ฉันรู้แค่รักเธอหมดใจ,/music/thailyric/8970,"เพลงปะกอบละคร นางสิงห์สะบัดช่อ

บางสิ่งอาจดูไม่ดี หรือไม่สมควร
และมันอาจไปรบกวน
ไปขวางหู ขวางตาใครๆ
ขึ้นอยู่กับเราสองคน แค่ใจสองใจ

ผิดในแง่มุมของใคร
แต่ฉันรู้ว่าฉันนั้นเลือกถูกแล้ว
เธอต้องถามใจ ตัวเธอเองให้ดี
ต้องถามใจว่ามันเรียกร้องหาใคร

แค่ทำตามใจตัวเอง แบบไม่ต้องสนใคร
ซื่อสัตย์กับใจ แบบที่ฉันทำ

ฉันรู้ว่ารักเธอหมดใจ ถูกผิดอยู่ตรงไหน
คงไม่สำคัญ และฉันรู้ว่ารักเธอเท่านั้น
กลั่นกรองจากใจนี้ ชัดทุกอย่าง ชัดกระจ่าง
ฉันขอแค่รักเธอต่อไป อะไรจะมาขวาง

ฉันไม่หวั่น ทุกๆ ลมหายใจ
ให้เธอ ให้ตลอดไป

แค่สิ่งเดียวที่สำคัญ ขอแค่สัญญา
อะไรจะผ่านเข้ามา
ก็แค่เพียงเชื่อใจกันและไม่หวั่นไหว
เธอต้องถามใจ ตัวเธอเองให้ดี

ต้องถามใจ ว่ามันเรียกร้องหาใคร
แค่ทำตามใจตัวเอง ไม่ต้องสนใคร
ซื่อสัตย์กับใจ แบบที่ฉันทำ

ฉันรู้ว่ารักเธอหมดใจ
ถูกผิดอยู่ตรงไหน คงไม่สำคัญ
และฉันรู้ว่ารักเธอเท่านั้น
กลั่นกรองจากใจนี้ ชัดทุกอย่างชัดกระจ่าง

ฉันขอแค่รักเธอต่อไป
อะไรที่มาขวาง ฉันไม่หวั่นรักเธอหมดหัวใจ

ฉันรู้ว่ารักเธอหมดใจ
กฎเกณฑ์ เป็นอย่างไร มันไม่สำคัญ
แค่ฉันรู้ว่าฉันรักฉันยืนยัน
กลั่นกรองจากใจนี้ ชัดทุกอย่างชัดกระจ่าง

ฉันขอแค่รักเธอต่อไป
อะไรจะมาขวางฉันไม่หวั่น
ทุกๆ ลมหายใจ ให้เธอให้ตลอดไป",r_arnattapol
ต่างคนต่างไป,/music/thailyric/6122,"นี่หรือคือเธอที่เคยรัก นี่หรือคือเธอคนนั้น
คนเดิมที่รักที่เคยผูกพัน กลับเปลี่ยนผันไป
อย่าบอกเลยว่ารักกัน ยิ่งได้ฟังยิ่งช้ำใจ
สิ่งที่เธอแสดงต่อกันฉันรับไม่ไหว อยู่ไปก็ทรมาน

ต่างคนต่างไป ต่างคนก็รู้ว่าเราต่างกัน
แค่คำว่ารักไม่พอเหนี่ยวรั้งเราได้ทุกอย่าง
เมื่อมันสายจะเกินแก้ไข

ต่างคนต่างไป ต่างคนต้องรับความจริงเอาไว้
เก็บคำว่ารักที่มีให้กันในหัวใจ เก็บในห้วงทรงจำ
จบความรักที่มีต่อกันต้องยอมทำใจ ให้เราลาจาก

เจ็บปวดแค่ไหนก็ตาม ฉันเองก็ต้องตัดใจ
ไม่เคยรักใครมากเท่านี้
และคงจะไม่รักใครอีกต่อไป เมื่อไม่มีเธอ

ต่างคนต่างไป ต่างคนก็รู้ว่าเราต่างกัน
แค่คำว่ารักไม่พอเหนี่ยวรั้งเราได้ทุกอย่าง
เมื่อมันสายจะเกินแก้ไข

ต่างคนต่างไป ต่างคนต้องรับความจริงเอาไว้
บอกลากันเสีย เพราะนี่คือวันสุดท้าย ฉันจะจำเธอไว้
เพียงแค่วันที่ดี ว่าเคยรักเธอมากแค่ไหน
จนวันที่เราสองคนลาจาก",r_arnattapol
