song_name,href,lyric,artist
ลมหายใจสุดท้าย (Gasped),/music/thailyric/12486,"สองมือหนึ่งใจ หมายไปยังฝั่ง
ตะเกียกตะกาย แม้จุดหมายยังไกล
ท่ามกลางคลื่นลมไม่มีใคร ปลอบหัวใจ
แต่ยังไหว ยังพอไหวฉันจะไป

แต่ในบางครั้ง ดั่งสัตว์ร้ายฉุดทำลายฉัน
พายุโหมกระหน่ำซัด เอาหมดเรี่ยวแรง
เห็นผืนฟ้า กลืนแผ่นน้ำ ฉันทุรนทุราย
สิ่งสุดท้ายบอกกับใจ ฉันจะไม่ยอมตาย

ลมหายใจสุดท้ายที่มี ฉันจะไม่ตายอยู่ตรงนี้
จะดิ้นรน จะพ้นมันไป
ฝั่งฝันคือศรัทธาให้ก้าวไป ไม่ว่าจะไกลแค่ไหน
จะดิ้นรนเพื่อหลุดพ้น จากความตาย

แม้ไกลสุดไกลฉันไม่เคยหวั่น
มองดวงตะวันพลันฉุกคิดในใจ
ยังมีขึ้นลงคงไม่ต่างจากหัวใจ
เจ็บกว่านี้มีอีกไหมขอท้าชน

แม้ในบางครั้งฉันจะหมดเรี่ยวแรง
อาทิตย์ดับแสง มองไม่เห็นปลายทาง
ในความมืดมนฉันยังคงมีหวัง
เสียงข้างในบอกกับฉัน ฉันจะไม่ยอมตาย

ลมหายใจสุดท้ายที่มี ฉันจะไม่ตายอยู่ตรงนี้
จะดิ้นรน จะพ้นมันไป
ฝั่งฝันคือศรัทธาให้ก้าวไป ไม่ว่าจะไกลแค่ไหน
จะดิ้นรนเพื่อหลุดพ้น จากความตาย

ในวันนั้น มองเห็นมันอยู่ไกลจนลับตา
แต่ในวันนี้ มองเห็นมันได้ชัดเจนกว่าเมื่อวาน
กระแสลมแรง หรือเป็นพายุแปรปรวน
บอกกับใจไม่เคยหวั่น ใจไม่เคยสั่น
พลังคลื่นลม จะสอนคน
ออกเดินไปตามหนทางแห่งใจ
อย่าไปฟังโชคชะตาที่ใครกำหนดไว้

ลมหายใจสุดท้ายที่มี ฉันจะไม่ตายอยู่ตรงนี้
จะดิ้นรน จะพ้นมันไป
ฝั่งฝันคือศรัทธาให้ก้าวไป ไม่ว่าจะไกลแค่ไหน
จะดิ้นรนเพื่อหลุดพ้น จากความตาย

ลมหายใจสุดท้ายที่มี ฉันจะไม่ตายอยู่ตรงนี้
จะดิ้นรน จะพ้นมันไป
ฝั่งฝันคือศรัทธาให้ก้าวไป ไม่ว่าจะไกลแค่ไหน
จะดิ้นรนเพื่อหลุดพ้น จากความตาย",retrospect
เพลงนี้เกี่ยวกับความรัก,/music/thailyric/15577,"เพลงนี้เกี่ยวกับความรัก
มันเกี่ยวกับหัวใจ
มันเกี่ยวกับที่ว่างข้างใน
ที่เก็บไว้ให้เธอคนเดียว

มันเกี่ยวกับความหวาน
ฝันหวานอยู่อย่างนั้น
มันเกี่ยวกับความฝัน
ที่มันเกิดขึ้นกับฉันคนเดียว

แม้ฉันทำทุกสิ่ง
เพื่อให้เธอไม่ทิ้งฉันไป
แม้ฉันทำทุกอย่าง
เผื่อมีทางจะรั้งเธอเอาไว้

เรื่องราวมันแปลกนัก
ถึงแม้รักเธอก็ไป
กล้ำกลืนเก็บเอาไว้
ความในใจเก็บเอาไว้คนเดียว

แม้ฉันทำทุกสิ่ง
เพื่อให้เธอไม่ทิ้งฉันไป
แม้ฉันทำทุกอย่าง
เผื่อมีทางจะรั้งเธอเอาไว้

แต่ทั้งที่ร่ำร้อง
เธอก็ไม่เหลียวมอง ร่ำร้องจะไปให้ห่าง
คำพูดที่เคยหวาน กลับเป็นคำถากถาง
จนห้ามน้ำตากลั้นไม่ไหว

แต่ทั้งที่ร่ำร้อง
เธอก็ไม่เหลียวมอง ร่ำร้องจะไปให้ห่าง
คำพูดที่เคยหวาน กลับเป็นคำถากถาง
จนห้ามน้ำตามันไม่ไหว

กลับกลายเป็นเธอที่แทงฉัน
ไม่ใช่ผู้คนอื่นหมื่นล้าน
กลับกลายเป็นเธอ
ที่ทำให้ใจเจ็บช้ำ คนที่ฆ่าฉัน

ดั่งมีใบมีทิ่มแทง ช้าๆ
มันแทงลงไป ไม่มี ไม่มีเรี่ยวแรง
ไม่อาจแกล้ง ว่าไม่เป็นไร

ดั่งมีใบมีทิ่มแทง ช้าๆ
มันแทงลงไป ไม่มี ไม่มีเรี่ยวแรง
ไม่อาจแกล้ง ว่าไม่เป็นไร

แต่ทั้งที่ร่ำร้อง
เธอก็ไม่เหลียวมอง ร่ำร้องจะไปให้ห่าง
คำพูดที่เคยหวาน กลับเป็นคำถากถาง
จนห้ามน้ำตามันไม่ไหว

แต่ทั้งที่ร่ำร้อง
เธอก็ไม่เหลียวมอง ร่ำร้องจะไปให้ห่าง
คำพูดที่เคยหวาน กลับเป็นคำถากถาง
จนห้ามน้ำตามันไม่ไหว",retrospect
ละคอนฉากสุดท้าย,/music/thailyric/5025,"โลกคือละครแบ่งเป็นตอนๆ ตัวละครคือคนทุกคน
บทในละคร อาจจะยอกย้อนยุ่งยาก
ฉากแห่งความงดงาม ฉากแห่งความเสียใจ
ต่างมีไว้ให้เราฝึกฝน

เกิดมาเป็นคน ยากดีมีจน
ความเป็นคนเรามีเท่าไร

อยู่ในละครอาจจะซับซ้อนหรือง่าย
แต่จะเป็นเช่นไร จะเป็นตอนของใคร
ฉากสุดท้ายนั้นคือความจริง

ไม่เว้นทั้งเลวและดี จะมั่งมีหรือยากจน
สิ่งเดียวที่เราทุกคนแน่ใจ
คือฉากสุดท้าย ฉากสุดท้ายต้องตายทุกตัวละคร

อยู่ในละครอาจจะซับซ้อนหรือง่าย
แต่จะเป็นเช่นไร จะเป็นตอนของใคร
ฉากสุดท้ายนั้นคือความจริง

ไม่เว้นทั้งเลวและดี จะมั่งมีหรือยากจน
สิ่งเดียวที่เราทุกคนแน่ใจ
คือฉากสุดท้าย ฉากสุดท้ายต้องตายทุกตัวละคร
ฉากสุดท้ายต้องตายทุกตัวละคร",retrospect
แค่นิยาย,/music/thailyric/5020,"เคยถามใจ ว่าเหตุใดความรัก
เปรียบเหมือนแสงไฟส่องทาง
บางครากลับเหมือนไฟเผาใจ
คงเหมือนกัน ดั่งตัวเธอและฉัน
บทแรกรักกันจะตาย บทสุดท้ายคือน้ำตา

ล้มทั้งยืนแทบจะมลาย
ทุ่มเททั้งใจที่สุดต้องช้ำจนเจียนตาย
เตือนหัวใจว่าให้พอเสียที
เรื่องราวที่มีให้มันจบลง

วันสุดท้าย ที่ใจจะจำว่าเคยรักใคร
รักที่ผ่านมาก็แค่นิยาย
ไม่มีความหมาย ก็แค่ฝันร้ายทรมาน

ลมหายใจ มันไม่มีความหมาย
หมดไม่เหลือความศรัทธา
ในคำว่ารักที่เข้าใจ
มันทรมาน มันทรมาน

ล้มทั้งยืนแทบจะมลาย
ทุ่มเททั้งใจที่สุดต้องช้ำจนเจียนตาย
เตือนหัวใจว่าให้พอเสียที
เรื่องราวที่มีให้มันจบลง

วันสุดท้าย ที่ใจจะจำว่าเคยรักใคร
รักที่ผ่านมาก็แค่นิยาย
ไม่มีความหมาย ก็แค่ฝันร้าย

วันสุดท้าย ที่ใจจะจำว่าเคยรักใคร
รักที่ผ่านมาก็แค่นิยาย
ไม่มีความหมาย ก็แค่ฝันร้ายทรมาน

นิยาย จบลงเพียงเท่านี้ พอแค่นี้
มันไม่เรื่องจริง ตื่นจากฝันเสียที
ให้มันเป็นวันสุดท้าย
ที่ใจจะจำว่าเคยรัก
เป็นวันสุดท้าย ที่ใจจะจำ
ว่าเจ็บจากรักจนตายเพราะเธอ",retrospect
เธอคือทุกอย่าง,/music/thailyric/5021,"เมื่อวันเวลาพาชีวิตสองเรา
มาพบกัน เหมือนบังเอิญ
เธออยู่ตรงนั้นซึ่งไกลเกินกว่า จะพบกัน
ได้เพียงแค่ฝัน เจอะเธอแค่ในนั้น

แต่วันนี้เธออยู่ตรงนี้กับฉัน ในวันที่ไม่เหลือใคร
อยู่บนพื้นดิน ฝ่าขวากหนามกับฉัน
ที่รักฉันขอบคุณ

ออกเดินไปตาม เส้นทางฝันของเรา
อาจแสนไกล ไม่เคยหวั่น
แค่ยังมีเธอคอยอิงฉันทุกคืนวัน ที่ท้อกาย
และใจจะหาย กลับกลายเป็นรอยยิ้ม

แต่วันนี้เธออยู่ตรงนี้กับฉัน ในวันที่ไม่เหลือใคร
อยู่บนพื้นดิน ฝ่าขวากหนามกับฉัน
ที่รักฉันขอบคุณ

เธอคือคนสุดท้ายในชีวิตที่ฟ้าได้ลิขิต
ให้เรารักกัน
ไม่มีวันที่รักเราเปลี่ยนผัน
ตราบฉันและเธอ หมดแรง สิ้นลมหายใจ

เธอคือทุกอย่าง
เธอคือทุกอย่าง
เธอคือทุกอย่าง

เธอคือคนสุดท้ายในชีวิต ที่ฟ้าได้ลิขิต
ให้เรารักกัน
ไม่มีวันที่รักเราเปลี่ยนผัน
ตราบฉันและเธอ หมดแรง สิ้นลมหายใจ",retrospect
ไม่มีเธอ,/music/thailyric/5024,"ความปวดร้าวที่อยู่ในใจ 
ทนและฝืนเก็บมันอยู่ข้างใน 
ความทรงจำวันคืนที่โหดร้าย 
ไม่มีเธอไม่มีเธอ

ความเงียบงันช่างทรมาน 
เมื่อวันวานเคยมีภาพเธอ 
แต่วันนี้ที่ได้พบเจอ มันฝืนใจจะทน

(ฉันเลยต้อง)
เจ็บลึกบาดแผล รักมันบั่นทอน ความรักไม่แน่นอน 
เธอเกลียดฉันโกรธฉัน ใจยังรัก
เจ็บลึกบาดแผล รักมันบั่นทอน ความรักไม่แน่นอน 
เธอเกลียดฉันโกรธฉัน ใจยังรัก(เธอ)

จบเรื่องราวด้วยรอยน้ำตา 
คืนกลับมาไม่เป็นเหมือนเดิม 
รักมืดมนที่ต้องเผชิญ 
ไม่มีเธอไม่มีเธอ

ความเงียบงันช่างทรมาน 
เมื่อวันวานเคยมีภาพเธอ 
แต่วันนี้ที่ได้พบเจอ มันฝืนใจจะทน

(ฉันเลยต้อง)
เจ็บลึกบาดแผล รักมันบั่นทอน ความรักไม่แน่นอน 
เธอเกลียดฉันโกรธฉัน ใจยังรัก
เจ็บลึกบาดแผล รักมันบั่นทอน ความรักไม่แน่นอน 
เธอเกลียดฉันโกรธฉัน ใจยังรัก(เธอ)

แผลในใจเจ็บลึกและโหดร้าย ทนต่อไปเจ็บปวดอย่างทนฝืน
รักมลายจบลงเพียงชั่วคืน ใจยั่งยืน สิ่งเดียวก็คือรัก
เพราะสิ่งนี้ที่ฉันยังหวัง รักเธอนั้นคือฝันที่เฝ้ารอ

(ฉันเลยต้อง)
เจ็บลึกบาดแผล รักมันบั่นทอน ความรักไม่แน่นอน 
เธอเกลียดฉันโกรธฉัน ใจยังรัก
เจ็บลึกบาดแผล รักมันบั่นทอน ความรักไม่แน่นอน 
เธอเกลียดฉันโกรธฉัน ใจยังรัก(เธอ)

เจ็บลึกบาดแผล เพราะรักเธอเกิน เกินความรู้สึก 
หยั่งลึก ปวดร้าวแต่ทนต่อไป
เพราะเธอ ทำให้ฉันได้พบเจอ ทำให้ฉันหลงละเมอ 
สิ่งที่เรียกว่ารัก ไม่ ไม่ ไม่",retrospect
คือเธอใช่ไหม,/music/thailyric/5019,"พายุที่ถาโถมกระหน่ำครั้งนั้น
พาชีวิตฉันผกผันอีกครั้ง เหมือนโดนรังแก
แผลจากความรักเก่า ทำชีวิตฉันมันพัง
ก็ปล่าวเปลี่ยวมานานกับความเหงา
อยากจะหลีกความจริงไปจากเขา
ใครสักคน ที่ทำฉันหลุดพ้นจากวังวน

รับรักฉันไหม หนึ่งชีวิตนี้จะมีใครบ้างไหม
จับมือฉันทีกอดตัวฉันที นำทางฉันผ่านคืนนี้ไป
คือเธอใช่ไหม ที่จะรักและมองกันด้วยหัวใจ
จับมือฉันทีกอดตัวฉันที เพื่อหยุดความหลังที่มีในใจ

พายุยังถาโถมกระหน่ำซ้ำซ้ำ แต่ชีวิตฉันจะลุกอีกครั้ง
แค่รอเวลา ใครสักคนหันมาแตะที่หลังฉันเบาเบา
อาจเป็นใครที่ได้ฟังเพลงนี้ อาจเป็นเธอที่มองตาคู่นี้
ใครสักคน ที่ทำให้คืนเหงาผ่านพ้นไป

รับรักฉันไหม หนึ่งชีวิตนี้จะมีใครบ้างไหม
จับมือฉันทีกอดตัวฉันที นำทางฉันผ่านคืนนี้ไป
คือเธอใช่ไหม ที่จะรักและมองกันด้วยหัวใจ
จับมือฉันทีกอดตัวฉันที เพื่อหยุดความหลังที่มีในใจ

เพื่อหยุดความหลังที่ฉันมี เพื่อหยุดความหลังที่ฉันมี
เพื่อหยุดความหลังที่ฉันมีในใจ",retrospect
ศรัทธาแห่งรัก,/music/thailyric/5026,"โลกมนุษย์กำลังจะเปลี่ยนไป
ใจมนุษย์ก็พลันจะสั่นไหว
อยากจะรักใครดูช่างง่ายดาย
เบื่อก็ทิ้งกันลงอย่างง่ายดาย

อยากจะรู้ว่ามีสักคนไหม
เติมความรักให้เต็มในใจฉัน
สุขและทุกข์เผชิญไปด้วยกัน
เพียงเท่านั้นที่ใจต้องการ

มีไหม ที่ตัวฉันคอยไขว่คว้า
ที่รักกันด้วยความศรัทธา
และรักกันจนวันสุดท้าย

โอ้ความรักเอย เหตุใดต้องทำให้เจ็บช้ำ
โอ้ความรักเอย ยิ่งรักเท่าไร
ยิ่งช้ำ มันยิ่งทรมาน

รักที่ฉันพร่ำเพ้อมีจริงอยู่ไหม
เพราะว่าเพียงไม่นานก็ผ่านพ้นไป
รู้ดีมันเจ็บ แต่พร้อมจะยอมเจ็บเพื่อรักที่ตามหา

ในวันนี้รู้ดีเธอเปลี่ยนไป
เสพจนสมอารมณ์แล้วใช่ไหม
เบื่อก็ทิ้งกันลงอย่างง่ายดาย
เกิดเป็นแผลในใจอย่างง่ายดาย

อยากจะรู้ว่ามีสักคนไหม
เติมความรักให้เต็มในใจฉัน
สุขและทุกข์เผชิญไปด้วยกัน เพียงเท่านั้น

ที่ใจต้องการ มีไหมที่ตัวฉันคอยไขว่คว้า
ที่รักกันด้วยความศรัทธา และรักกันจนวันสุดท้าย

โอ้ความรักเอย เหตุใดต้องทำให้เจ็บช้ำ
โอ้ความรักเอย ยิ่งรักเท่าไร
ยิ่งช้ำ มันยิ่งทรมาน

รักที่ฉันพร่ำเพ้อมีจริงอยู่ไหม
เพราะว่าเพียงไม่นานก็ผ่านพ้นไป
รู้ดีมันเจ็บ แต่พร้อมจะยอมเจ็บเพื่อรักที่ตามหา

ดวงดาวทั้งฟ้า ยังคงงดงาม
และชีวิตของฉันพรุ่งนี้ต้องดีกว่านี้
อ้อนวอนขอฟ้า โปรดส่งรักมาให้โอบล้อมตัวฉัน
ให้ความทุกข์เหล่านั้น เลือนลางจางหาย

โอ้ความรักเอย เหตุใดต้องทำให้เจ็บช้ำ
โอ้ความรักเอย ยิ่งรักเท่าไร
ยิ่งช้ำ มันยิ่งทรมาน

รักที่ฉันพร่ำเพ้อมีจริงอยู่ไหม
เพราะว่าเพียงไม่นานก็ผ่านพ้นไป
รู้ดีมันเจ็บ แต่พร้อมจะยอมเจ็บเพื่อรักที่ตามหา",retrospect
คนบนฟ้า,/music/thailyric/5017,"เพียงอุ่นไอ เลือดในกายก็ร้อนรนดั่งไฟ 
ถูกแผดเผาด้วยเพราะความไว้ใจ 
สิ่งที่ฉันมีให้เธอนั้นมืดเปล่า 

รักแล้วไง
สิ่งที่เธอนั้นต้องการมากมาย
นอกจากรักและถ้อยคำห่วงใย
ปิดบังฉันด้วยหัวใจที่มืดมน
ฉัน หัวใจลุ่มหลง เพราะใครบางคน
เฝ้าคอยหลอกฉัน เป็นทาสในใจ

ฝากฉันไว้ ด้วยคราบน้ำตา
เธอเลว เธอช่างไร้ค่า
ไม่เหมือนดังคนบนฟ้าที่วาดไป

สร้างด้วยความรักและความห่วงใย 
จบด้วยความช้ำมันชั่งเสียใจ 
เพียงแค่แรกรักก็เอาเกือบตาย 
หมดสิ้นความหมาย เกินอภัยให้กับเธอ 

เพียงอุ่นไอ เลือดในกายก็ร้อนรนดั่งไฟ
อยู่กับรักที่ไม่เป็นดังใจ
สุดกำลังจะรั่งเธอ หยุด พอที

ในเมื่อรักแล้วไง 
สิ่งที่เธอนั้นต้องการมากมาย
นอกจากรักและถ้อยคำห่วงใย
ปิดบังฉันด้วยหัวใจที่มืดมน
ฉัน หัวใจลุ่มหลง เพราะใครบางคน
เฝ้าคอยหลอกฉัน เป็นทาสในใจ

ฝากฉันไว้ ด้วยคราบน้ำตา
เธอเลว เธอช่างไร้ค่า
ไม่เหมือนดังคนบนฟ้าที่วาดไป

สร้างด้วยความรักและความห่วงใย 
จบด้วยความช้ำมันชั่งเสียใจ 
เพียงแค่แรกรักก็เอาเกือบตาย 
หมดสิ้นความหมาย เกินอภัยให้กับเธอ 

ยอม ให้เธอจากไกล
ไม่มีเรื่องราว ต้องพูดกัน
เป็นเพียงฝัน ทำร้ายให้ฉัน เสีย ใจ

ฝากฉันไว้ ด้วยคราบน้ำตา
เธอเลว เธอช่างไร้ค่า
ไม่เหมือนดังคนบนฟ้าที่ว่าไป

สร้างด้วยความรักและความห่วงใย
จบด้วยความช้ำมันชั่งเสียใจ
เพียงแค่แรกรักก็เอาเกือบตาย
หมดสิ้นความหมาย
ช่างทรมาน

สร้างด้วยความรักและความห่วงใย
จบด้วยความช้ำมันชั่งเสียใจ
เพียงแค่แรกรักก็เอาเกือบตาย
หมดสิ้นความหมาย เกินอภัยให้กับเธอ",retrospect
คืนแห่งความเหงา,/music/thailyric/5018,"แสงดวงตะวันจางลับลาไป
อีกวันมีเพียงฉันกับความเหงา
และเรื่องราวร้อยพันที่ช้ำใจ
เสียงของบทเพลงคอยเฝ้าหลอนใจ
อยากผ่านคืนนี้ไปแค่เพียงใครรับฟัง

ค่ำคืนแห่งความเหงา
ช่วงฉุดรั้งฉันเอาไว้ ก่อนฉันจะขาดใจ
ค่ำคืนแห่งความเหงา
จะมีใครไหมที่เข้าใจฉัน หยุดความเหงาให้มันจบลง

ฉันยังเหมอมองไปรอบๆกาย
แต่ไม่เห็นใครมีแค่เงาของฉันและแสงไฟ
เสียงของบทเพลงคอยเฝ้าหลอนใจ
อยากผ่านคืนนี้ไปแค่เพียงใครรับฟัง

ค่ำคืนแห่งความเหงา
ช่วงฉุดรั้งฉันเอาไว้ ก่อนฉันจะขาดใจ
ค่ำคืนแห่งความเหงา
จะมีใครไหมที่เข้าใจฉัน หยุดความเหงาให้มันจบลง

ช่วงฉุดรั้งฉันเอาไว้ก่อนที่ฉันจะขาดใจ
ช่วงฉุดรั้งฉันเอาไว้ก่อนที่ฉันจะ..ขาดใจ

ค่ำคืนแห่งความเหงา
ช่วงฉุดรั้งฉันเอาไว้ ก่อนฉันจะขาดใจ
ค่ำคืนแห่งความเหงา
จะมีใครไหมที่เข้าใจฉัน หยุดความเหงาให้มันจบลง",retrospect
