song_name,href,lyric,artist
Restart,/music/thailyric/11045,"พยายามเท่าไร ก็ยังกลับมาตรงที่เดิมไม่เคยไปไหนพ้น
รู้แล้วว่าเลิกกันต้องอดทน เข้าใจว่ารักเธอมากแค่ไหนก็ตอนนี้

ยังคิดถึงเสียงหัวเราะและรอยยิ้มที่อ่อนหวาน ประกอบภาพรวมเป็นเธอ
ยังคิดถึงไม่ไปไหน ไม่ว่านานสักเท่าไร ก็ไม่มีใครทั้งนั้น ที่แทนเธอได้

ลองดูอีกทีได้ไหม เริ่มต้นอีกทีได้ไหม หากเธอยังรักกัน
ลองดูอีกทีได้ไหม Restart อีกทีได้ไหม อีกแค่สักครั้ง
แค่เพียงโอกาสได้แก้ตัว กับฉันที่เพิ่งรู้ตัว ว่าเคยได้ทำพลาดไป

ยังมีอีกหลายที่ที่อยากไป อยากใช้เวลากับเธอให้นานกว่านี้
ถ้าฉันนั้นได้มีโอกาสอีก จะทำให้ดีกว่าทุกครั้งที่ผ่านมา

ยังคิดถึงเสียงหัวเราะและรอยยิ้มที่อ่อนหวาน ประกอบภาพรวมเป็นเธอ
ยังคิดถึงไม่ไปไหน ไม่ว่านานสักเท่าไร ก็ไม่มีใครทั้งนั้น ที่แทนเธอได้

ลองดูอีกทีได้ไหม เริ่มต้นอีกทีได้ไหม หากเธอยังรักกัน
ลองดูอีกทีได้ไหม Restart อีกทีได้ไหม อีกแค่สักครั้ง
แค่เพียงโอกาสได้แก้ตัว กับฉันที่เพิ่งรู้ตัว ว่าเคยได้ทำพลาดไป

ลองดูอีกทีได้ไหม เริ่มต้นอีกทีได้ไหม หากเธอยังรักกัน
ลองดูอีกทีได้ไหม Restart อีกทีได้ไหม อีกแค่สักครั้ง
แค่เพียงโอกาสได้แก้ตัว กับฉันที่เพิ่งรู้ตัว ว่าเคยได้ทำพลาดไป",room39
ความจริง,/music/thailyric/10774,"วันนี้เธอยังเหมือนเดิม สวยงามและสดใส
เนิ่นนานแม้จากกันไปด้วยน้ำตา
ยังจดจำสายตา เสียงเธอที่อ่อนหวาน
ได้ย้อนความทรงจำนั้นให้หวนมา

ยิ่งคิดยิ่งเพ้อ ไปตามอารมณ์พัดพา
เธอคงจะไม่ตั้งใจให้เราได้สบตา
แต่ยิ่งเธอยิ้มและทำท่าที อย่างที่เราคุ้นเคย
ฉันยิ่งย้ำและบอกตัวเองไว้

อย่าลืมความจริงที่ เธอเคยทิ้งเราไป
อย่าลืมความจริงที่ มันไม่มีทาง
กับความรักที่เราต้องเจ็บ และใช้น้ำตาล้างทุกอย่าง
ให้ลบเลือน อย่าลืมว่าความจริงเป็นอย่างไร

ต้องหลบไม่มองสายตา ก็รู้ฉันยังอ่อนไหว
หากถลำใจและกลับไปเป็นเหมือนวันเก่า

ยิ่งคิดยิ่งเพ้อ ไปตามอารมณ์พัดพา
และเธอคงจะไม่ตั้งใจที่เราได้สบตา
แต่ยิ่งเธอยิ้มและทำท่าที อย่างที่เราคุ้นเคย
ฉันยิ่งย้ำและบอกตัวเองไว้

อย่าลืมความจริงที่ เธอเคยทิ้งเราไป
อย่าลืมความจริงที่ มันไม่มีทาง
กับความรักที่เราต้องเจ็บ และใช้น้ำตาล้างทุกอย่าง
ให้ลบเลือน อย่าลืมว่าความจริงเป็นอย่างไร

อย่าลืมความจริงที่เธอเคยทิ้งเราไป
ความจริงมันไม่มีทาง กับความรักที่เราต้องเจ็บ
และใช้น้ำตาล้างทุกอย่าง ให้ลบเลือน อย่าลืมว่าความจริง

ความจริง ที่เธอทิ้งเราไป อย่าลืมความจริง มันไม่มีทาง
กับความรักที่เราต้องเจ็บ และใช้น้ำตาล้างทุกอย่าง
ให้ลบเลือน อย่าลืมว่าความจริงเป็นอย่างไร",room39
เป็นทุกอย่าง,/music/thailyric/12401,"เป็นเพื่อนเธอไปดูหนัง
อยู่ด้วยกันตอนเธอเหงา
ฟังทุกเรื่องราว ที่เธอระบาย
ยาวจนเช้า ฉันก็ยังยินดี
แม้ไม่ใช่คนพิเศษ ไม่ได้สำคัญสำหรับเธอ

เป็นคนโทรปลุกตอนเช้า
คอยเฝ้าถามและห่วงใย
อยากที่จะรู้ ว่าเธอเป็นไง
ในเวลาที่เธอไม่เหลือใคร
แม้เธออาจไม่เห็นกัน
ในบางวันที่เธอไม่ทุกข์ใจ

ทำได้แค่เพียง แค่ทุกๆ อย่างที่เธอขอ
จะนาน เท่าไร ไม่ว่า เมื่อไร
ก็พร้อมจะยอมทำให้เธอ

เป็นทุกอย่างให้เธอแล้ว
แม้ว่าเธอไม่เคยเป็นอะไรกับฉันเลย
ฉันก็แค่คนหนึ่ง ที่เธอต้องการในบางครั้ง
ได้อยู่ตรงนี้ก็ดีแค่ไหน
จะหวังอะไรให้มากมาย

เป็นคนที่เคยแอบรัก
เป็นคนที่เคยแอบหวัง
เป็นคนที่เธอให้ความสำคัญใน
วันที่เธอไม่เหลือใคร
เป็นให้เธอได้ทุกอย่าง
แต่ก็เหมือนไม่มีความหมาย

ทำได้แค่เพียง แค่ทุกๆอย่างที่เธอขอ
จะนาน เท่าไร ไม่ว่า เมื่อไร
ก็พร้อมจะยอมทำให้เธอ

เป็นทุกอย่างให้เธอแล้ว
แม้ว่าเธอไม่เคยเป็นอะไรกับฉันเลย
ฉันก็แค่คนหนึ่ง ที่เธอต้องการในบางครั้ง
ได้อยู่ตรงนี้ก็ดีแค่ไหน

เป็นทุกอย่างให้เธอแล้ว
แม้ว่าเธอไม่เคยเป็นอะไรกับฉันเลย
ก็ฉันคงไม่มีสิทธิ์จะคิดอะไรไปมากกว่านี้
ได้อยู่ตรงนี้ก็ดีแค่ไหน
จะหวังอะไรให้มากมาย

เป็นทุกอย่างให้เธอแล้ว
แม้ว่าเธอไม่เคยเป็นอะไรกับฉันเลย
ฉันก็แค่คนหนึ่ง ที่เธอต้องการในบางครั้ง
ได้อยู่ตรงนี้ก็ดีแค่ไหน

เป็นทุกอย่างให้เธอแล้ว
แม้ว่าเธอไม่เคยเป็นอะไรกับฉันเลย
ก็ฉันคงไม่มีสิทธิ์จะคิดอะไรไปมากกว่านี้
ได้อยู่ตรงนี้ก็ดีแค่ไหน
จะหวังอะไรให้มากมาย

จะหวังอะไรให้มากมาย",room39
รักตัวเอง,/music/thailyric/13111,"อยากรู้ว่าเพราะอะไร
คนที่น่ารักและก็จริงใจ
ต้องเสียน้ำตาให้ใคร
ที่เค้าไม่รักและไม่สนใจ
รู้ดีว่าเธอรักเขา
และยังคงหวังว่าเขาจะเปลี่ยนไป
เฝ้ารอนานสักแค่ไหน
ไม่มีอะไรที่เขาจะเปลี่ยน

ยังมั่นคงอดทนเรื่อยมา
แต่ไม่มีความหมายกับเขาเลย

ให้เขาหมดใจ
เขานั้นยิ่งไม่สนใจ
แม้พยายามทุ่มเทชีวิตให้ไป
ให้เขาหมดใจ
แต่ไม่รู้ว่าเขาหมดใจ
คงถึงเวลาต้องรักตัวเองสักที

ปาดน้ำตาแล้วฟังฉันคนที่เฝ้าดูเธอช้ำ
เห็นทุกครั้งซ้ำแบบนั้นมันไม่โอเค
หากเขาไม่รักเธอควรหยุดพัก
ทุ่มเทมากแค่ไหนเธอก็โดนเท
เพราะเธอควรเจอคนที่ดีกว่า
เพราะเธอเป็นคนที่มีค่า
แค่เธอเก็บเอาหัวใจคืนมา
กลับมาเพื่อรักตัวเอง

Hey เธออยากจะรักใคร
รักไปแต่ต้องรักตัวเอง
Hey เธออยากจะรักใคร
รักไปแต่ต้องรักตัวเอง
Hey เธออยากจะรักใคร
รักไปแต่ต้องรักตัวเอง
Hey เธออยากจะรักใคร
รักไปแต่ต้องรักตัวเอง

ให้เขาหมดใจ
เขานั้นยิ่งไม่สนใจ
แม้พยายามทุ่มเทชีวิตให้ไป
ให้เขาหมดใจ
แต่ไม่รู้ว่าเขาหมดใจ
คงถึงเวลาต้องรักตัวเองสักที

แค่เธอเก็บเอาหัวใจคืนมา
มาเพื่อรักตัวเอง

Hey เธออยากจะรักใคร
รักไปแต่ต้องรักตัวเอง
Hey เธออยากจะรักใคร
รักไปแต่ต้องรักตัวเอง
Hey เธออยากจะรักใคร
รักไปแต่ต้องรักตัวเอง
Hey เธออยากจะรักใคร
รักไปแต่ต้องรักตัวเอง

ให้เขาหมดใจ
เขานั้นยิ่งไม่สนใจ
แม้พยายามทุ่มเทชีวิตให้ไป
ให้เขาหมดใจ
แต่ไม่รู้ว่าเขาไม่เหลือใจ
คงถึงเวลาต้องรัก
คงถึงเวลาต้องรัก
คงถึงเวลาต้องรักตัวเองสักที",room39
รับได้รึเปล่า (Can You Handle It),/music/thailyric/10621,"ทุกคืนทุกวันที่เราได้อยู่ด้วยกัน
ใครๆ ก็รู้ดีว่าเราเป็นเพื่อนกัน
แต่ฉันไม่เคยจะตอบ แม้ใครถามก็บอก
ว่าฉันไม่คิดอะไรหรอก

จนมาวันนี้ที่เธอนั้นอยากจะรู้
กับสิ่งต่างๆ ที่ฉันนั้นทำให้เธอ
นั้นดีเกินไปหรือเปล่า มากเกินไปหรือเปล่า
ที่เรานั้นเป็นแค่เพื่อนกัน

อยากฟัง เรื่องจริง นักใช่ไหม
โปรดเตรียม หัวใจ ไว้ให้พร้อม

แต่บอกความจริงแล้ว มันจะดีหรือเปล่า
บอกตรงๆ แล้ว มันจะควรหรือเปล่า
ถ้าบอกเธอไปแล้วจริงๆ ถ้าเธอได้รู้ความจริง
แล้วเธอจะรับมันได้หรือเปล่า

แต่บอกความจริงแล้ว มันจะดีหรือเปล่า
แต่บอกตรงๆ แล้ว มันจะควรหรือเปล่า
ถ้าบอกเธอไปแล้วจริงๆ ถ้าเธอได้รู้ความจริง
แล้วเธอจะรับความจริงได้หรือเปล่า

ก็เพราะความจริงที่เธอนั้นอยากจะรู้
มันอาจจะดูต่างจากที่ใครเคยคิด
เหมือนดังนิยายรักที่มันบิด
ไม่มีใครรู้ตอนจบจะกลายเป็นเช่นไร

อยากฟัง เรื่องจริง นักใช่ไหม
โปรดเตรียม หัวใจ ไว้ให้พร้อม

แต่บอกความจริงแล้ว มันจะดีหรือเปล่า
บอกตรงๆ แล้ว มันจะควรหรือเปล่า
ถ้าบอกเธอไปแล้วจริงๆ ถ้าเธอได้รู้ความจริง
แล้วเธอจะรับมันได้หรือเปล่า

แต่บอกความจริงแล้ว มันจะดีหรือเปล่า
แต่บอกตรงๆ แล้ว มันจะควรหรือเปล่า
ถ้าบอกเธอไปแล้วจริงๆ ถ้าเธอได้รู้ความจริง
แล้วเธอจะรับความจริงได้หรือเปล่า

เพราะความจริงมันอาจเป็นได้หลายอย่าง
เพราะความจริงมันอาจเป็นได้หลายทาง
เพราะความจริงมันอาจเป็นแค่สักอย่าง
เป็นแค่สักอย่าง เป็นแค่สักอย่าง

สมมติถ้าพูดออกไปว่า แอบชอบเพื่อนเธอ
แล้วเธอจะโกรธกันไหม ถ้าความจริงเป็นอย่างนั้น
ถ้าฉันนั้นพูดออกไปว่าฉันชอบผู้ชาย
แล้วเธอจะรับได้ไหม ถ้าเรายังเป็นเพื่อนกัน
ก็เพราะว่าความเป็นจริงมันอาจโหดร้าย
จนไม่อยากจะบรรยายให้ตัวเธอได้ฟัง
ก็เพราะไม่อยากให้เธออาย และก็ไม่อยากให้ฟูมฟาย
รับมันให้ไหว รับได้หรือเปล่า

แต่บอกความจริงแล้ว มันจะดีหรือเปล่า
บอกตรงๆ แล้ว มันจะควรหรือเปล่า
ถ้าบอกเธอไปแล้วจริงๆ ถ้าเธอได้รู้ความจริง
แล้วเธอจะรับมันได้หรือเปล่า

แต่บอกความจริงแล้ว มันจะดีหรือเปล่า
แต่บอกตรงๆ แล้ว มันจะควรหรือเปล่า
ถ้าบอกเธอไปแล้วจริงๆ ถ้าเธอได้รู้ความจริง
แล้วเธอจะรับ ความจริงได้หรือเปล่า",room39
อย่าให้ฉันคิด,/music/thailyric/11465,"ได้ฟังเรื่องราวของเธอ
กับความรักที่กำลังจะจบลง
คงมีแค่ความเป็นห่วง
จากคนที่เป็นเพียงเพื่อนจะเหมาะสม

แต่เหมือนว่าในบางครั้ง ที่เธอจ้องมองฉัน
คล้ายว่าเธอจะต้องการเป็นมากกว่านั้น
และฉันก็เป็นแค่เพื่อนคนหนึ่ง ซึ่งภายในใจ
นั้นสับสนและยังมีคำถาม

อยากจะรู้เพียง
ถ้าไม่มีเขาแล้วเราจะรักกันไหม
หรือแค่ตัวฉันคนเดียวที่คิดฝันไป
จนไกลแสนไกล ว่าเธอนั้นให้ความหวัง
อยากจะรู้แค่เพียง
ถ้าจบกับเขาแล้วเราจะรักกันไหม
อย่าปล่อยให้ฉันเฝ้ารอและคิดฝันไกล
คนเดียวเรื่อยไป ถ้าเธอนั้นไม่ต้องการ
อย่าให้ฉันคิดไปเอง

อาจเป็นฉันที่คิดเกินไป
อ่อนไหวเพราะเพียงแค่คำว่าใกล้ชิด
ที่ปรึกษาแค่เพื่อนสนิท
เธออาจไม่คิดมากเกินจนเลยไปอย่างฉัน

แต่เหมือนว่าในบางครั้ง ที่เธอจ้องมองฉัน
คล้ายว่าเธอจะต้องการเป็นมากกว่านั้น
และฉันก็เป็นแค่เพื่อนคนหนึ่ง ซึ่งภายในใจ
นั้นสับสนและยังมีคำถาม

โอ้ว โอ้ว

อยากจะรู้เพียง
ถ้าไม่มีเขาแล้วเราจะรักกันไหม
หรือแค่ตัวฉันคนเดียวที่คิดฝันไป
จนไกลแสนไกล ว่าเธอนั้นให้ความหวัง
อยากจะรู้แค่เพียง
ถ้าจบกับเขาแล้วเราจะรักกันไหม
อย่าปล่อยให้ฉันเฝ้ารอและคิดฝันไกล
คนเดียวเรื่อยไป ถ้าเธอนั้นไม่ต้องการ
อย่าให้ฉันคิดไปเอง

ฮือ ฮือ

อย่าให้ฉันคิดไปเอง

อู้ โว้ว

อยากจะรู้เพียง
ถ้าไม่มีเขาแล้วเราจะรักกันไหม",room39
เกิดมาเป็นเพื่อนเธอ,/music/thailyric/8979,"มากมาย โลกนี้มีมากมาย
แต่ก็มีเพียงบางคน ที่เราพร้อมจะไว้ใจ
เส้นทาง ชีวิตที่แสนไกล
อาจโหดร้ายจนบางที เราไม่พบไม่เห็นใคร

แต่อยากบอก ให้เธอรู้
เหน็ดเหนื่อยหนักเพียงไหน
ขอเธอมั่นใจ ในทุกนาที

ฉันพร้อมยืนเคียงเธอ
ฉันพร้อมยืนข้างเธอ
ไม่ว่าเราต้องเจอ อะไรต่อจากนี้
จะแสนนานแค่ไหน กี่ภพชาติหมื่นปี
เกิดมาเพื่อสิ่งนี้ เกิดมาเป็นเพื่อนเธอ

หลายสิ่งโลกนี้มีหลายอย่าง
ที่จะทำให้ใจเรา เกิดสับสนและหลงทาง
แค่หันมา ตรงนี้ตรงข้างๆ
จะมีมือคอยประคอง ให้เธอเดินตรงเส้นทาง

และหากว่าเธอหกล้ม
จมอยู่กับความอ้างว้าง
ขอจงมั่นใจ ในทุกนาที

ฉันพร้อมยืนเคียงเธอ
ฉันพร้อมยืนข้างเธอ
ไม่ว่าเราต้องเจอ อะไรต่อจากนี้
จะแสนนานแค่ไหน กี่ภพชาติหมื่นปี
เกิดมาเพื่อสิ่งนี้ เกิดมาเป็นเพื่อนเธอ

เพราะว่าเรา ไม่อาจอยู่ ตามลำพัง
จึงมีเพื่อนเธออย่างฉัน
จึงมีเพื่อนฉันอย่างเธอ

ฉันพร้อมยืนเคียงเธอ ฉันพร้อมยืนข้างเธอ
ไม่ว่าเราต้องเจอ อะไรต่อจากนี้
จะแสนนานแค่ไหน กี่ภพชาติหมื่ืนปี
เกิดมาเพื่อสิ่งนี้ เกิดมาเพื่อรักเธอ",room39
ฉันต้องคู่กับเธอ,/music/thailyric/8933,"ส้อมกับช้อน เสื่อกับหมอน
ตะปูคู่ค้อน โรงหนังกับป๊อปคอร์น
น้ำมันกับเปลวไฟ ลำโพงกับไมค์
ส่วนสมองต้องคู่กับหัวใจ

ต่างกันแค่ไหน แต่ถ้าขาดกันไป
คงจะไม่ไหว ไปไม่รอดสักอัน
มาเป็นคู่ช่วยกันอยู่ทุกที
ถึงต่างกันอย่างนี้แต่เป็นคู่กัน

ถึงแม้เรานั้นแตกต่างกันสักเท่าไร
แต่ก็รู้ลึกๆ ข้างในใจเรานั้น

ฉันต้องคู่กับเธอ
มีเพียงแต่เธอ แค่เธอเท่านั้น
ที่คอยเติมสิ่งที่ขาด
ช่วยประคองเมื่อฉันพลาด
ให้เราได้เดินต่อด้วยกัน

ฉันต้องคู่กับเธอ
ต้องมีแต่เธอ คู่กันเสมอ
ตลอดจนนิรันดร์ นิรันดร์ นิรันดร์
ฉันเกิดมาเพื่อคู่เธอเท่านั้น
เพื่อรักแต่เธอเท่านั้น ไม่มีวันเปลี่ยน

ช้างคู่กับซีดี รีโมทกับทีวี ก้านคอคลับกับโจอี้
คนไทยกับล็อตตารี่ โดนัทกับกาแฟ
เพลงฟรีกับ 4shared ประตูกับกุญแจ
ช่องสามกับกาละแมร์

แปลกถ้าต้องแยกย้ายกันไป
ไม่ มันไม่ใช่ แยกไม่ได้ไม่สัมพันธ์
แค่คิดนี้มันก็ผิด  วิปริต ผมรับประกัน
ต้องอยู่คู่กันแบบนี้ Happy ทุกวัน

ถึงแม้เรานั้นแตกต่างกันสักเท่าไร
แต่ก็รู้ลึกๆ ข้างในใจเรานั้น

ฉันต้องคู่กับเธอ
มีเพียงแต่เธอ แค่เธอเท่านั้น
ที่คอยเติมสิ่งที่ขาด
ช่วยประคองเมื่อฉันพลาด
ให้เราได้เดินต่อด้วยกัน

ฉันต้องคู่กับเธอ
ต้องมีแต่เธอ คู่กันเสมอ
ตลอดจนนิรันดร์ นิรันดร์ นิรันดร์
ฉันเกิดมาเพื่อคู่เธอเท่านั้น
เพื่อรักแต่เธอเท่านั้น ไม่มีวันเปลี่ยน

ฉันเกิดมาคู่เธอ เพื่อคู่เธอ
เพื่อคู่กับเธอเท่านั้น

ฉันต้องคู่กับเธอ
มีเพียงแต่เธอ แค่เธอเท่านั้น
ที่คอยเติมสิ่งที่ขาด
ช่วยประคองเมื่อฉันพลาด
ให้เราได้เดินต่อด้วยกัน

ฉันต้องคู่กับเธอ ต้องมีแต่เธอ คู่กันเสมอ
ตลอดจนนิรันดร์ นิรันดร์ นิรันดร์
ตลอดจนนิรันดร์ นิรันดร์ นิรันดร์

ฉันเกิดมาเพื่อคู่เธอเท่านั้น
เพื่อรักแต่เธอเท่านั้น
ไม่มีวันเปลี่ยน ไม่มีวันเปลี่ยน",room39
ชั่วโมงที่สวยงาม,/music/thailyric/9832,"อาจจะมีฝนพรำ
อาจจะทำให้ฉันหนาวจนสั่น
แต่ฉันก็ยังอุ่นใจในวันที่ฉันและเธอต้องร้างไกล

เพราะยังมีเสียงเพลง
เปิดเบาๆ เอาไว้ให้ฉันได้ฟัง
และนึกถึงวันก่อนนั้นเวลาที่ฉันและเธออยู่ใกล้กัน

โปรดจงรู้ว่า ทุกเวลา
ที่ฉันและเธอต้องห่างกันแสนไกล
ฉันยังรอเธออยู่ตรงนี้

ให้เธอคิดตรงกันกับฉันก็พอ
จะไม่ขออะไรให้มันมากเกินไป
ให้เธอคิดถึงกันแค่นั้นก็พอ
และจะไม่ขออะไรไปกว่านี้
แม้ว่าฉันต้องทนเหงา เท่าไร
แต่ชั่วโมงความเหงาก็เป็นเวลาที่แสนสวยงามไม่ต่างกัน

แม้ฤดูยังคงผันไป
จะร้อนจะหนาวหรือฝนก็คงไม่ต่างกัน
ดั่งรักของเธอกับฉันมั่นคงเสมอไม่ว่าจะนานสักเท่าไร

โปรดจงรู้ว่า ทุกเวลา
ที่ฉันและเธอต้องห่างกันแสนไกล
ฉันยังรอเธออยู่ตรงนี้

ให้เธอคิดตรงกันกับฉันก็พอ
จะไม่ขออะไรให้มันมากเกินไป
ให้เธอคิดถึงกันแค่นั้นก็พอ
และจะไม่ขออะไร ไปกว่านี้
แม้ว่าฉันต้องทนเหงา เท่าไร
แต่ชั่วโมงความเหงาก็เป็นเวลาที่แสนสวยงามไม่ต่างกัน

โปรดจงรู้ว่า ทุกเวลา
ที่ฉันและเธอต้องห่างกันแสนไกล
ฉันยังรอเธออยู่ตรงนี้

ให้เธอคิดตรงกันกับฉันก็พอ
จะไม่ขออะไรให้มันมากเกินไป
ให้เธอคิดถึงกันแค่นั้นก็พอ
และจะไม่ขออะไรไปกว่านี้
ให้เธอคิดตรงกันกับฉันก็พอ
จะไม่ขออะไรให้มันมากเกินไป
ให้เธอคิดถึงกันแค่นั้นก็พอ
และจะไม่ขออะไรไปกว่านี้
แม้ว่าฉันต้องทนเหงา เท่าไร
แต่ชั่วโมงความเหงาก็เป็นเวลาที่แสนสวยงามไม่ต่างกัน",room39
ทำเพื่อเธอ (ที่รัก),/music/thailyric/9469,"ถ้าจะมีเพียงสักครั้ง ครั้งหนึ่งในชีวิต
ครั้งหนึ่งที่ความฝันเป็นได้ดั่งเหมือนความคิด
ซึ่งอาจจะต้องแลกกันกับอะไรที่สำคัญ
ฉันก็จะยอม

ฉันอยากจะมีสักครั้งที่ได้เป็นคนให้ของขวัญ
อยากได้เห็นเธอสมหวังดั่งที่เธอเคยเฝ้าฝัน
อยากจะบอกว่าสำหรับฉัน
เธอคือคนสำคัญที่ฉันนั้นพร้อม

ที่จะทำทุกสิ่งทุกอย่างจากนี้
เพื่อความสุขของเธอคนนี้

เหนื่อยแค่ไหนฉันก็ยอม
หนักแค่ไหนฉันก็ยอม
เพื่อเธอแล้วฉันนั้นยอม
และพร้อมให้เธอคนดี
แม้จะแสนนานเท่าไหร่

แม้จะแสนไกลเท่าไหร่
จะไปทุกๆ ที่
ขอเพียงได้เห็นเธอเป็นสุข
แค่เธอยิ้มตลอดไป
ฉันก็เป็นสุขที่สุดแล้วข้างในจิตใจ
ไม่ต้องการสิ่งไหนอะไรอีกแล้วนอกจากนี้

แม้ว่าอาจจะเล็กน้อยถ้าเทียบกับที่เธอให้ฉัน
และอาจไม่ได้ลึกซึ้งเท่ากับที่เธอเคยวาดหวัง
อยากบอกว่าสำหรับฉันนี่คือเรื่องสำคัญ
ที่ฉันนั้นมี

ที่จะทำทุกสิ่งทุกอย่างจากนี้
เพื่อความสุขของเธอคนนี้

เหนื่อยแค่ไหนฉันก็ยอม
หนักแค่ไหนฉันก็ยอม
เพื่อเธอแล้วฉันนั้นยอม
และพร้อมให้เธอคนดี
แม้จะแสนนานเท่าไหร่

แม้จะแสนไกลเท่าไหร่
จะไปทุกๆ ที่
ขอเพียงได้เห็นเธอเป็นสุข
แค่เธอยิ้มตลอดไป
ฉันก็เป็นสุขที่สุดแล้วข้างในจิตใจ
ไม่ต้องการสิ่งไหนอะไรอีกแล้วนอกจากนี้

ทำให้เธอได้สมปรารถนาตามความฝัน
นั้นคือความสุข ความสำเร็จ ความสบายใจของตัวฉัน
วันที่หัวใจของเธอนั้นอยากมีใครพึ่งพา
ซึ่งจะคอยเจออยู่ตรงนี้ รอแค่เธอนั้นหันมา
จะเปลี่ยนทั้งโลกของเธอ ให้กลายมาเป็นดั่งสรวงสวรรค์
จะทำให้เธอนั้นมีรอยยิ้ม และจะทำให้เธอนั้นมีความหวัง
และไม่ว่าความฝันของเธอจะไกลแสนไกลเพียงใร
ฉันจะเคียงข้างเธอเสมอ และตลอดไป และตลอดไป

เหนื่อยแค่ไหนฉันก็ยอม
หนักแค่ไหนฉันก็ยอม
เพื่อเธอแล้วฉันนั้นยอม
และพร้อมให้เธอคนดี
แม้จะแสนนานเท่าไหร่

แม้จะแสนไกลเท่าไหร่
จะไปทุกๆ ที่

เหนื่อยแค่ไหนฉันก็ยอม
หนักแค่ไหนฉันก็ยอม
เพื่อเธอแล้วฉันนั้นยอม
และพร้อมให้เธอคนดี
แม้จะแสนนานเท่าไหร่

แม้จะแสนไกลเท่าไหร่
จะไปทุกๆ ที่
ขอเพียงได้เห็นเธอเป็นสุข
แค่เธอยิ้มตลอดไป
ฉันก็เป็นสุขที่สุดแล้วข้างในจิตใจ
ไม่ต้องการสิ่งไหนอะไรอีกแล้วนอกจากนี้",room39
