song_name,href,lyric,artist
กลั้นหายใจ,/music/thailyric/20130,"ลมหายใจของอ้ายยังคงเป็นเจ้า
ถึงแม้ฮักเฮา เดินทางบ่ฮอดจุดหมาย
เมื่อเธอไป กับเขา อ้ายอยากลบเจ้าไป
แต่ทุกลมหายใจมีเจ้าเสมอ

เลยคิดว่า อยากหยุดหายใจสักพัก
อาจสิพอลบภาพคนฮักที่ใจพร่ำเพ้อ
แต่ยิ่งกลั้นหายใจ เกือบตายกะบ่ลืมเธอ
ภาพเจ้ายังชัดเสมอ บ่เบลอจักหน่อย

กลั้นหายใจให้ลืม กะลืมบ่ได้
หรืออ้ายต้องหยุดหายใจ อ้ายจังสิลืม
ยิ่งหาทางลืมเจ้า อ้ายแฮงเหงาตื่ม
หรือมื้อที่อ้ายลืม คือมื้ออ้ายตาย

กลั้นหายใจ เพื่อตั๋วหัวใจให้ลืม
น้ำตาอ้ายซึม ย้อนหาทางลืมบ่ไหว
เจ้านั้นคือชีวิต บ่แม่นแค่ลมหายใจ
ทางเดียวที่สิลืมได้คือตายจากเจ้า

กลั้นหายใจให้ลืม กะลืมบ่ได้
หรืออ้ายต้องหยุดหายใจ อ้ายจังสิลืม
ยิ่งหาทางลืมเจ้า อ้ายแฮงเหงาตื่ม
หรือมื้อที่อ้ายลืม คือมื้ออ้ายตาย

กลั้นหายใจ เพื่อตั๋วหัวใจให้ลืม
น้ำตาอ้ายซึม ย้อนหาทางลืมบ่ไหว
เจ้านั้นคือชีวิต บ่แม่นแค่ลมหายใจ
ทางเดียวที่สิลืมได้คือตายจากเจ้า

ทางเดียวที่สิลืมได้ คือตายจากเจ้า",san_sansilp
กูหนิเด้,/music/thailyric/13304,"ขั่นบ่เห็นว่ามึงเป็นหมู่
ขั่นกูบ่ย่านเสียมึงไป
ขั่นกูบ่ย่านเฮาห่างไกล
กูสิบ่เก็บไว้ดอก
ขั่นบ่ว่ามึงฮักเขาหลาย
ทั้งที่ฮู้ว่าเขามาหลอก
กูกะอยากจะบอก
ยามที่กูเห็น มึงเว่าว่าบ่เหลือใคร

กะกูหนิเด้ กะกูหนิเด้ กะกูหนิเด้
ที่อยู่กับมึง กะกูหนิเด้ กะกูหนิเด้
ที่ยังคิดถึงมึงคักกว่าไผ
กะกูหนิเด้ กะกูหนิเด้
ที่ฮักมึงหลายจนว่าสิตายแทนได่

ขั่นบ่เห็นว่ามึงเป็นหมู่
ขั่นกูบ่ย่านเสียมึงไป
ขั่นกูบ่ย่านเฮาห่างไกล
กูสิบ่เก็บไว้ดอก
ขั่นบ่ว่ามึงฮักเขาหลาย
ทั้งที่ฮู้ว่าเขามาหลอก
กูกะอยากจะบอก
ยามที่กูเห็น มึงเว่าว่าบ่เหลือใคร

กะกูหนิเด้ กะกูหนิเด้ กะกูหนิเด้
ที่อยู่กับมึง กะกูหนิเด้ กะกูหนิเด้
ที่ยังคิดถึงมึงคักกว่าไผ
กะกูหนิเด้ กะกูหนิเด้
ที่ฮักมึงหลายจนว่าสิตายแทนได่

อยากให้มึงฮู้ไว้
ยามที่มึงบ่เหลือใคร
กะหยังมีกูหนิเด้",san_sansilp
ขอบใจเด้อ,/music/thailyric/16399,"กะขอบใจเด้อที่เฮ็ดให้เฮาบ่เหงามาช่วงหนึ่ง
กะขอบใจเด้อถ้อยคำซึ้งๆ ที่ปลอบใจยามบ่มีไผ
เป็นคนเทาๆ ออกจะเหงาๆ แต่บ่มีไผเอาไปใส่ใจ
มาคุยๆ แล้วกะหายเสียใจอยู่เด้

คือถืกเทตอนเฮาฮู้สึกดี แต่เพิ่นไปบ่ได้ลาจั๊กอย่าง
เริ่มมีหวังแต่กะต้องหมดหวัง นั่งซื่อๆ กะฮู้สึกเจ็บ
เจ็บบ่เคยจำย้อนว่าใจง่าย พอสิฮักไผกะใจอักเสบ
เขากะไป ไปตามสเต็ป แต่เฮาเสือกจริงจังอีหลี

ขอบใจเด้อที่มาเฮ็ดให้เพ้อ คิดว่าเฮาเป็นคนสำคัญ
แต่ความจริงมันกะพอส่ำนั่น เฮากะแค่ๆ คนทั่วไป
คุยจบกะลบถิ่ม เขาบ่ได้เสียดาย
เฮากะเก็บเอามาปลื้มอ่านไปยิ้มไป
ขอบใจเด้อที่เฮ็ดให้เฮานั่งไห้ โดยที่โตบ่ได้คิดหยัง

คือถืกเทตอนเฮาฮู้สึกดี แต่เพิ่นไปบ่ได้ลาจั๊กอย่าง
เริ่มมีหวังแต่กะต้องหมดหวัง นั่งซื่อๆ กะฮู้สึกเจ็บ
เจ็บบ่เคยจำย้อนว่าใจง่าย พอสิฮักไผกะใจอักเสบ
เขากะไป ไปตามสเต็ป แต่เฮาเสือกจริงจังอีหลี

ขอบใจเด้อที่มาเฮ็ดให้เพ้อ คิดว่าเฮาเป็นคนสำคัญ
แต่ความจริงมันกะพอส่ำนั่น เฮากะแค่ๆ คนทั่วไป
คุยจบกะลบถิ่ม เขาบ่ได้เสียดาย
เฮากะเก็บเอามาปลื้มอ่านไปยิ้มไป
ขอบใจเด้อที่เฮ็ดให้เฮานั่งไห้ โดยที่โตบ่ได้คิดหยัง

ขอบใจเด้อที่มาเฮ็ดให้เพ้อ คิดว่าเฮาเป็นคนสำคัญ
แต่ความจริงมันกะพอส่ำนั่น เฮากะแค่ๆ คนทั่วไป
คุยจบกะลบถิ่ม เขาบ่ได้เสียดาย
เฮากะเก็บเอามาปลื้มอ่านไปยิ้มไป
ขอบใจเด้อที่เฮ็ดให้เฮานั่งไห้ โดยที่โตบ่ได้คิดหยัง

จั่งได๋กะขอบใจเด้อ ขอบใจโตอีหลี",san_sansilp
ความคิดฮอดที่จอดบ่ถึงใจ,/music/thailyric/19072,"กี่คำว่าฮักที่อ้ายส่งไป ถึงเธอ
กี่ความคิดถึงที่เธอบ่เคย หัวซา
ส่งไปเสมอแต่เธอไม่ตอบกลับมา
ยุ่งงานหรือว่ามีใครเข้ามาแทนกัน

มันเกิดอีหยังขึ้นมากับใจ ของเธอ
โปรดช่วยเสนอให้อ้ายเข้าใจ สักวัน
ปล่อยไปอย่างนี้มีแต่เหงาตายก็เท่านั้น
หมดความสำคัญแล้วบ่ คนจั่งอ้าย

มันคงเป็นความคิดฮอด
ที่เข้าไปจอดบ่ถึง หัวใจ
เป็นเพียงแค่ความคิดฮอด
ที่เธอไม่อยากรับรู้ แล้วใช่ไหม

หรือฮักเฮาเสื่อมความหมาย
คำที่เคยสัญญา กับอ้าย
ว่าสิฮักกันฮอดมื้อตาย
เจ้าลืมแล้วบ่แก้วตา

หากเธอยังฮักก็ช่วยบอกกัน สักคำ
อย่าปล่อยให้ช้ำเพราะคิดไปเองแทบบ้า
หากเธอยังฮักก็ช่วยบอกอ้ายกลับมา
หากอ้ายเบิ่ดค่า กะบอกอ้ายสา สิได้ทำใจ

มันคงเป็นความคิดฮอด
ที่เข้าไปจอดบ่ถึง หัวใจ
เป็นเพียงแค่ความคิดฮอด
ที่เธอไม่อยากรับรู้ แล้วใช่ไหม

หรือฮักเฮาเสื่อมความหมาย
คำที่เคยสัญญา กับอ้าย
ว่าสิฮักกันฮอดมื้อตาย
เจ้าลืมแล้วบ่แก้วตา

ว่าสิฮักกันฮอดมื้อตาย
เจ้าลืมแล้วบ่แก้วตา",san_sansilp
ดูแลเจ้าของแหน่เด้อ,/music/thailyric/18144,"นั่งเบิ่งทีวี เปิดช่องได๋กะได้ยินข่าว
ลุ้นอยู่ทุกแลงเซ้า ภาวนาอย่าฮอดบ้านเฮาเด้อ
รายชื่อหมู่บ้าน พากันติดเชื้อ
บ้านเฮาอาจบ่ทันเจอ
แค่เห็นชื่ออำเภอที่อยู่ใกล้เคียง กะอดห่วงบ่ได้

คนไกลก็ได้แต่โทรถามข่าว
ลูกเต้าเหล่าหลานผู้เฒ่าผู้แก่เพิ่นเป็นจั่งได๋
โควิดไนนทีนแฮงติดต่อกันได้
สิบ่ให้เป็นห่วงจั่งได๋ อดทนเด้อพี่น้อง

ดูแลเจ้าของแหน่เด้อ
อาจบ่ได้เจอหน้ากันปีนี้
วันหยุดสงกรานต์บ่มี
แต่โชคยังดีที่บ่ตกงาน

ถ่ายรูปสองนิ้วใส่แมสก์
อัปลงเฟซแท็กคนทางบ้าน
ว่าตอนนี้สถานการณ์
กักตัวสู้งานบ่ต้องเป็นห่วง

คนไกลก็ได้แต่โทรถามข่าว
ลูกเต้าเหล่าหลานผู้เฒ่าผู้แก่เพิ่นเป็นจั่งได๋
โควิดไนนทีนแฮงติดต่อกันได้
สิบ่ให้เป็นห่วงจั่งได๋ อดทนเด้อพี่น้อง

ดูแลเจ้าของแหน่เด้อ
อาจบ่ได้เจอหน้ากันปีนี้
วันหยุดสงกรานต์บ่มี
แต่โชคยังดีที่บ่ตกงาน

ถ่ายรูปสองนิ้วใส่แมสก์
อัปลงเฟซแท็กคนทางบ้าน
ว่าตอนนี้สถานการณ์
กักตัวสู้งานบ่ต้องเป็นห่วง

ดูแลเจ้าของแหน่เด้อ
อาจบ่ได้เจอหน้ากันปีนี้
วันหยุดสงกรานต์บ่มี
แต่โชคยังดีที่บ่ตกงาน

ถ่ายรูปสองนิ้วใส่แมสก์
อัปลงเฟซแท็กคนทางบ้าน
ว่าตอนนี้สถานการณ์
กักตัวสู้งานบ่ต้องเป็นห่วง

ตอนนี้สถานการณ์
กักตัวสู้งานบ่ต้องเป็นห่วง",san_sansilp
เด็กพี่,/music/thailyric/20926,"อยู่คนเดียวมาตั้งนาน
ก็ยังไม่เคยต้องการใครมากเท่าเธอขนาดนี้
แว๊บแค่มอง มองไปสองที
โอ้คนอะไรสะดุดตา
โอ๊ยเป็นบ้า ทำไมช่างน่ารัก

ไม่ใช่ว่าหนักดีกรี หรือแพ้แสงไฟ
คืนที่จิตใจมันเหงาเกินทน
คนก็มากมาย แต่ทำไมกลับมองแค่เธอ

โคตรโดนใจถึงขั้นเพ้อ
อะไรอะไร ก็เธอ จะเป็นบ้า ทรงตัวไม่อยู่แล้ว
ไม่มาก ไม่น้อย แปลว่าแนว
อะแนวนี้ถูกใจ มันปังไม่ไหว ทำไงไม่ให้รัก

คงต้องอกหัก ถ้าคนข้างๆ เป็นแฟนเธอ
ฟ้าส่งมาให้เจอ แค่ให้เลยไป
คิดนิดนึงก็ผิด รู้ก็ยังจะคิด มันห้ามใจไม่ได้

มาเป็นเด็กพี่ดีไหม
ก็เอาหัวใจส่งให้เธอไปหมดแล้ว
ทางนี้ยังฟรีไม่แมน ทางนั้นก็แฟนไม่มี..
ก็ยกแก้วขึ้นมาสักหน่อย

ถ้าได้เป็นแฟนจะรัก หัวปักหัวปำ
ก็ไม่เคยทำกับใครบ่อยๆ
รักแค่เพียงแรกเจอ
เธอนี่มันน่าสอยมาดูแลจริงๆ

โคตรโดนใจถึงขั้นเพ้อ
อะไรอะไร ก็เธอ จะเป็นบ้า ทรงตัวไม่อยู่แล้ว
ไม่มาก ไม่น้อย แปลว่าแนว
อะแนวนี้ถูกใจ มันปังไม่ไหว ทำไงไม่ให้รัก

คงต้องอกหัก ถ้าคนข้างๆ เป็นแฟนเธอ
ฟ้าส่งมาให้เจอ แค่ให้เลยไป
คิดนิดนึงก็ผิด รู้ก็ยังจะคิด มันห้ามใจไม่ได้

มาเป็นเด็กพี่ดีไหม
ก็เอาหัวใจส่งให้เธอไปหมดแล้ว
ทางนี้ยังฟรีไม่แมน ทางนั้นก็แฟนไม่มี..
ก็ยกแก้วขึ้นมาสักหน่อย

ถ้าได้เป็นแฟนจะรัก หัวปักหัวปำ
ก็ไม่เคยทำกับใครบ่อยๆ
รักแค่เพียงแรกเจอ
เธอนี่มันน่าสอยมาดูแลจริงๆ

มาเป็นเด็กพี่ดีไหม
ก็เอาหัวใจส่งให้เธอไปหมดแล้ว
ทางนี้ยังฟรีไม่แมน ทางนั้นก็แฟนไม่มี..
ก็ยกแก้วขึ้นมาสักหน่อย

ถ้าได้เป็นแฟนจะรัก หัวปักหัวปำ
ก็ไม่เคยทำกับใครบ่อยๆ
รักแค่เพียงแรกเจอ
เธอนี่มันน่าสอยมาดูแลจริงๆ

รักแค่เพียงแรกเจอ ถ้าเธอไม่ว่างคงหงอย
จะเมาให้ตายจริงๆ",san_sansilp
ทุกการแจ้งเตือน,/music/thailyric/15551,"ภาพความทรงจำสุดท้าย
เมื่อตอนเจ้าลา
อ้ายปาดน้ำตา ตั้งแต่มื้อนั้น
จนฮอดมื้อนี้

วันที่เฮาเคยมีกัน
ยังทำใจสั่นอยู่ ทุกนาที
วิธีลืมยังบ่มี
ยังลบอิหยังบ่ได้

ฮู้ว่าเจ้าไปไกลแล้ว
คงบ่คืนมา
ต้องใช้เวลาเนิ่นนานเท่าใด
ให้ใจเข้ม แข็ง

เหมือนจะแกร่งแต่ยังอ่อนไหว
ความเสียใจยังบ่ส่างซา
เจ็บนี้อีกโดนบ่หนา
เหนื่อยล้าน้ำตาซึม

พยายามจะลืมเรื่องราวของเรา
ที่มันสิงอยู่ในสมอง
ท่องเอาไว้ในใจว่าน้อง
เป็นของคนอื่นแล้ว

ทุกเหตุการณ์ที่เคยมีกัน
ฮู้ว่ามันเอาคืนบ่ได้
ย้อนยังฮักจึงเจ็บเกือบตาย
บ่เคยลางเลือน

ทุกการแจ้งเตือนจึงทำให้มีน้ำตา
ดึงความทรงจำคืนมา
แต่บ่อาจพาเจ้าคืนมาได้
เจ็บซ้ำๆ วนๆ เวียนๆ
คอจั่งถึกเขียนสักลงใส่หัวใจ
เป็นหยังก่อนน้องสิไป
คือบ่เตือนอ้าย ให้เฮ็ดใจได้ก่อน

พยายามจะลืมเรื่องราวของเรา
ที่มันสิงอยู่ในสมอง
ท่องเอาไว้ในใจว่าน้อง
เป็นของคนอื่นแล้ว

ทุกเหตุการณ์ที่เคยมีกัน
ฮู้ว่ามันเอาคืนบ่ได้
ย้อนยังฮักจึงเจ็บเกือบตาย
บ่เคยลางเลือน

ทุกการแจ้งเตือนจึงทำให้มีน้ำตา
ดึงความทรงจำคืนมา
แต่บ่อาจพาเจ้าคืนมาได้
เจ็บซ้ำๆ วนๆ เวียนๆ
คอจั่งถึกเขียนสักลงใส่หัวใจ
เป็นหยังก่อนน้องสิไป
คือบ่เตือนอ้าย ให้เฮ็ดใจได้ก่อน

เป็นหยังก่อนน้องสิไป
คือบ่เตือนอ้าย ให้เฮ็ดใจได้ก่อน",san_sansilp
นกเจ่า 2 (คืนคู่),/music/thailyric/19990,"มืนตาใส่น้ำเเจ่วน้ำตายังไหลบ่ท่อนี้
ไม้ทั่งตาว่าเจ็บอีหลีกะยังมีมื้อเซา
ผ่านมากี่วันปีเดือน
ความเจ็บยังเเขวนคอคือเก่า
ยอมือน้อมทานเด้อไผสิเอา
น้ำตาผู้ข้าย้อย

ไห้ฮ้องขี้หมูรา ขี้หมาไหลเป็นสาย
ฮ้องไห้จนว่าสิตาย เจ้ากะยังบ่กลับมา

โอ้น้อ นกเจ่า อ้ายคึดฮอดเจ้าเด้อหล่า
กลับมา กลับมาสา อ้ายยังถ่าเจ้าอยู่
โอ้หนอนกเจ่า อ้ายยังรอเจ้าคืนคู่
เคียงซ้อนบ่อนเคยอยู่ เด้อ นกเจ่า

ไห้ฮ้องขี้หมูรา ขี้หมาไหลเป็นสาย
ฮ้องไห้จนว่าสิตาย เจ้ากะยังบ่กลับมา

โอ้น้อ นกเจ่า อ้ายคึดฮอดเจ้าเด้อหล่า
กลับมา กลับมาสา อ้ายยังถ่าเจ้าอยู่
โอ้หนอนกเจ่า อ้ายยังรอเจ้าคืนคู่
เคียงซ้อนบ่อนเคยอยู่ เด้อ นกเจ่า

โอ้น้อ นกเจ่า อ้ายคึดฮอดเจ้าเด้อหล่า
กลับมา กลับมาสา อ้ายยังถ่าเจ้าอยู่
โอ้หนอนกเจ่า อ้ายยังรอเจ้าคืนคู่
เคียงซ้อนบ่อนเคยอยู่ เด้อ นกเจ่า

เคียงซ้อนบ่อนเคยอยู่ เด้อ นกเจ่า",san_sansilp
บ่ต้องอ้อนวอน,/music/thailyric/23650,"ไสว่าเขาดีคักแหน่ ไสว่าเขาแคร์เจ้าที่สุดแล้ว
ไส มื้อนี่เขาเสียไปไส
หายไปกับเขาหลายเดือนจนทุกอย่างมันลบมันเลือน
บรรเทาลงได้จากเกือบตายกะฟื้นคืนมา

อยู่ดีๆ สิมาขอโทษอย่าเคืองโกรธเจ้าในมื้อนั้น
ฮุ้แล้วว่าเสียหยังไปในมื้อนี่
อยากสิขอโอกาสอีกทีให้กลับมาฮักกัน

บ่ต้องอ้อนวอนอ้ายบ่ได้ปักใจอิหยังแล้ว
ที่หลงผิดไปในมื้อนั่น กะย้อนว่าเฮายังฮักกันบ่พอ
บ่ต้องเสียใจที่เลือกถิ่มอ้ายไป เจ้าบ่ได้ผิด
สิคิดโทษตัวเองเฮ็ดหยัง
แต่ให้กลับไปฮักกันอีกครั้งคงเป็นไปบ่ได้
อ้ายบ่ได้ฮักเจ้าแล้ว

ไสว่าเขาดีคักแหน่ ไสว่าเขาแคร์เจ้าที่สุด
แล้วไส มื้อนี่เขาเสียไปไส
หายไปกับเขาหลายเดือน จนทุกอย่างมันลบมันเลือน
บรรเทาลงได้ จากเกือบตายกะฟื้นคืนมา

อยู่ดีๆ สิมาขอโทษอย่าเคืองโกรธเจ้าในมื้อนั้น
ฮู้แล้วว่าเสียหยังไปในมื้อนี่
อยากสิขอโอกาสอีกทีให้กลับมาฮักกัน

บ่ต้องอ้อนวอนอ้ายบ่ได้ปักใจอิหยังแล้ว
ที่หลงผิดไปในมื้อนั่น กะย้อนว่าเฮายังฮักกันบ่พอ
บ่ต้องเสียใจที่เลือกถิ่มอ้ายไป เจ้าบ่ได้ผิด
สิคิดโทษตัวเองเฮ็ดหยัง
แต่ให้กลับไปฮักกันอีกครั้งคงเป็นไปบ่ได้
อ้ายบ่ได้ฮักเจ้าแล้ว

บ่ต้องอ้อนวอนอ้ายบ่ได้ปักใจอิหยังแล้ว
ที่หลงผิดไปในมื้อนั่น กะย้อนว่าเฮายังฮักกันบ่พอ
บ่ต้องเสียใจที่เลือกถิ่มอ้ายไป เจ้าบ่ได้ผิด
สิคิดโทษตัวเองเฮ็ดหยัง
แต่ให้กลับไปฮักกันอีกครั้งคงเป็นไปบ่ได้
อ้ายบ่ได้ฮักเจ้าแล้ว",san_sansilp
บ่รอด (จาลอด),/music/thailyric/12921,"บ่แม่นว่า บ่ฮู้จักเจ้าของ
แต่หัวใจ หลอยจอบปองฝันค้าง
จบ ม. 6 ขับรถอีแต๊กฮ่าง ๆ
โคตรไกลห่าง กับสาวครูคนงาม

บอกเจ้าของ ให้เซาคิดเซาฝัน
แต่ยามเห็นหน้ากัน ใจกะแฮงคึดนำ
เทิงคิดฮอด เทิงอยากเว้า อยากถาม
จนบ่อาจห้ามความฮู้สึกของใจ

สุดท้ายกะฮัก ฮัก ฮัก บ่รอดใจของเจ้า
ถึงเคยเว้า หยอกเจ้าว่าซังปานใด๋
สุดท้ายกะฮัก ฮัก ฮัก จักสิหนีไปไส
เพราะเบิดข่วนหัวใจ อ้ายมีแต่เจ้า
เลยไปไสบ่รอด

บ่แม่นว่า บ่ฮู้จักเจ้าของ
แต่หัวใจ หลอยจอบปองฝันค้าง
จบ ม. 6 ขับรถอีแต๊กฮ่าง ๆ
โคตรไกลห่าง กับสาวครูคนไค

แต่สุดท้ายกะฮัก ฮัก ฮัก บ่รอดใจของเจ้า
ถึงเคยเว้า หยอกเจ้าว่าซังปานใด๋
สุดท้ายกะฮัก ฮัก ฮัก จักสิหนีไปไส
เพราะเบิดข่วนหัวใจ อ้ายมีแต่เจ้า
เลยไปไสบ่รอด

สุดท้ายกะฮัก ฮัก ฮัก บ่รอดใจของเจ้า
ถึงเคยเว้า หยอกเจ้าว่าซังปานใด๋
สุดท้ายกะฮัก ฮัก ฮัก จักสิหนีไปไส
เพราะเบิดข่วนหัวใจ อ้ายมีแต่เจ้า
เลยไปไสบ่รอด",san_sansilp
