song_name,href,lyric,artist
เคว้งคว้าง,/music/thailyric/5420,"สุดกล้ำกลืน ยืนน้ำตาคลอ
ใจมันท้อ และอ่อนล้า
ได้แต่มอง เธอจนเดินลับสายตา
มันเหมือนว่า จะขาดใจ
เคว้งคว้าง เหมือนหลงทาง กลางป่า
ยืนมองฟ้า ไร้ดาว
ความเดียวดาย ช่างปวดร้าว
เหมือนถึงคราว สิ้นใจ

กี่หยดน้ำ ที่มันไหลลงมา
จากขอบตา ไม่ขาดสาย
มันอัดอั้น บีบคั้น ในใจ
จึงยอมให้ มันออกมา
เคว้งคว้าง เหมือนหลงทาง กลางป่า
ยืนมองฟ้า ไร้ดาว
ความเดียวดาย ช่างปวดร้าว
เหมือนถึงคราว สิ้นใจ

กี่หยดน้ำ ที่มันไหลลงมา
จากขอบตา ไม่ขาดสาย
มันอัดอั้น บีบคั้น ในใจ
จึงยอมให้ มันออกมา
เคว้งคว้าง เหมือนหลงทาง กลางป่า
ยืนมองฟ้า ไร้ดาว
ความเดียวดาย ช่างปวดร้าว
เหมือนถึงคราว สิ้นใจ",saranya_songsermsawad
ฉลองกันหน่อย,/music/thailyric/5422,"สบายอย่างนี้ไม่เคยเจอะ
เมื่อเธอไปแล้วสบายจัง
ไม่มีใครรู้ว่าเราทนมาทุกอย่าง
เมื่อมีคนนั้นเข้ามาแทรก
และตัวเธอเองก็มีใจ
เมื่อมีคนรับก็เลยรีบปล่อยเธอไป
เขาอยากได้เธอนัก
เขาว่าเธอดี เขาขโมยเธอไป
แย่งกันดีนัก เอาก็เอาไป
ฉันก็เลยจะฉลอง
ฉลองกันหน่อย ฉลองที่เป็นโสด
จะร้องเพลงดังดังให้สะใจ
ฉลองกันหน่อย ฉลองที่เป็นโสด
จะขอขึ้นไปบินอยู่บนฟ้า
ฉลองกันหน่อย ฉลองที่เป็นโสด
จะร้องเพลงดังดังให้สะใจ
ฉลองกันหน่อย ฉลองที่เป็นโสด
จะเปิดเพลง จุดดอกไม้ไฟให้สนุก
(จะขอขึ้นไปบินอยู่บนฟ้า)

เขาอยากได้เธอนัก
เขาว่าเธอดี เขาขโมยเธอไป
แย่งกันดีนัก เอาก็เอาไป
ฉันก็เลยจะฉลอง
ฉลองกันหน่อย ฉลองที่เป็นโสด
จะร้องเพลงดังดังให้สะใจ
ฉลองกันหน่อย ฉลองที่เป็นโสด
จะขอขึ้นไปบินอยู่บนฟ้า
ฉลองกันหน่อย ฉลองที่เป็นโสด
จะร้องเพลงดังดังให้สะใจ
ฉลองกันหน่อย ฉลองที่เป็นโสด
จะขอขึ้นไปบินอยู่บนฟ้า
ฉลองกันหน่อย ฉลองที่เป็นโสด
จะร้องเพลงดังดังให้สะใจ
ฉลองกันหน่อย ฉลองที่เป็นโสด
จะขอขึ้นไปบินอยู่บนฟ้า",saranya_songsermsawad
น้อยไปอีกหรือ,/music/thailyric/5426,"น้อยไปอีกหรือที่ให้ หัวใจให้เธอทั้งดวง
ทุ่มเทความหวงและห่วงเรื่อยมา...
น้อยไปอีกหรือที่ให้ หัวใจเธอจึงเย็นชา
ไม่มีความหมายคืนมาให้เลย...

บอกบอกกันซักคำ อยากให้ทำเท่าไร
ถ้าหากว่ามันยังน้อยเกินไป เท่าไหร่จะพอให้เธอ

ฉันมีแค่นี้ที่ให้ ฉันมีเพียงใจจริงจัง
ให้เธอหมดแล้วทุกอย่างยังไม่พอ...

บอกบอกกันซักคำ อยากให้ทำเท่าไร
ถ้าหากว่ามันยังน้อยเกินไป เท่าไหร่จะพอให้เธอ

หมดแรงฝันหมดแรงหวัง สุดกำลังแล้วใจ
กี่ความช้ำที่รินไหล กลายเป็นหยดน้ำตา

ฉันมีแค่นี้ที่ให้ ฉันมีเพียงใจจริงจัง
ให้เธอหมดแล้วทุกอย่างยังไม่พอ...

บอกบอกกันซักคำ อยากให้ทำเท่าไร
ถ้าหากว่ามันยังน้อยเกินไป เท่าไหร่อีกซักเท่าไหร่ถึงจะพอ",saranya_songsermsawad
สองเวลา,/music/thailyric/5432,"ถึงแม้เรา จะห่างกันไป ฉันก็ไม่หวั่น
ถึงแม้เรา จะห่างไกลกัน ก็ไม่เหงาใจ
เพราะมีการบ้านที่ฝากกันทำ
ถ้าทำประจำจะมีผล ทางใจ

ก่อนจะนอน คิดถึงกันซักครั้งหนึ่ง
ยิ่งถ้านอนฝันถึงกัน ก็ยิ่งขอบใจ
ตื่นขึ้นมา คิดถึงอีกซักครั้งหนึ่ง
เพียงแต่ใจซึ้ง ถึงคนที่ห่างไกลสายตา
สองเวลาก็พอแล้ว

ถึงแม้เรายังไม่อาจพบ พบและพูดจา
ถึงแม้เธอยังไม่กลับมา ก็ไม่สำคัญ
ไม่มีจดหมายก็ไม่เป็นไร
แค่มีจิตใจส่งมาทักทายกัน

ก่อนจะนอน คิดถึงกันซักครั้งหนึ่ง
ยิ่งถ้านอนฝันถึงกัน ก็ยิ่งขอบใจ
ตื่นขึ้นมา คิดถึงอีกซักครั้งหนึ่ง
เพียงแต่ใจซึ้ง ถึงคนที่ห่างไกลสายตา
สองเวลาก็พอแล้ว

ไม่มีจดหมายก็ไม่เป็นไร
แค่มีจิตใจส่งมาทักทายกัน

ก่อนจะนอน คิดถึงกันซักครั้งหนึ่ง
ยิ่งถ้านอนฝันถึงกัน ก็ยิ่งขอบใจ
ตื่นขึ้นมา คิดถึงอีกซักครั้งหนึ่ง
เพียงแต่ใจซึ้ง ถึงคนที่ห่างไกลสายตา
สองเวลาก็พอแล้ว

คงจะพอแล้ว สองเวลาก็พอแล้ว
คงจะพอแล้ว สองเวลาก็พอแล้ว
คงจะพอแล้ว สองเวลาก็พอแล้ว
คงจะพอแล้ว สองเวลาก็พอแล้ว",saranya_songsermsawad
เรื่องดีดี,/music/thailyric/5431,"ได้แต่ยิ้มทุกครั้งเมื่อมองดูความรักเราที่มี
ก็มีแต่ความทรงจำที่มันดีดีเข้ามาอยู่เสมอ
หลับทุกครั้งก็ยังฝันดี เพราะเรามีกันและกัน
กับความรักมากมายที่เราทั้งสองให้กัน (ทั้งสองให้กัน)
รักเรามีแต่เรื่องดีดี (เรื่องดีดี)
ทุกนาทียังทำให้เราจดจำ และจะเป็นอย่างนี้ทุกวัน (นี้ทุกวัน)
แม้เวลายังคงหมุนเวียนเปลี่ยนไป (ฮู่ฮูฮู้)
เปลี่ยนจากคืนเป็นวันเปลี่ยนจากเดือนเป็นปี
แต่ฉันนั้นยังมั่นใจ (ฉันนั้นยังมั่นใจ)
โลกจะหมุนยังไง แต่ใจของเรายังรักกัน
แหละในรักครั้งนี้รู้ดีว่ามันมั่นคงเพียงใด
ต่างมีความจริงใจไม่มีอะไรที่ทำให้เปลี่ยนไป (ฮ่าฮาฮ้า)
อบอุ่นใจในวันใกล้กัน คิดถึงกันในวันที่ไกล
กับความรักมากมายที่เราทั้งสองให้กัน (ทั้งสองให้กัน)
รักเรามีแต่เรื่องดีดี (เรื่องดีดี)
ทุกนาทียังทำให้เราจดจำ และจะเป็นอย่างนี้ทุกวัน (นี้ทุกวัน)
แม้เวลายังคงหมุนเวียนเปลี่ยนไป (ฮู่ฮูฮู้)
เปลี่ยนจากคืนเป็นวัน เปลี่ยนจากเดือนเป็นปี
แต่ฉันนั้นยังมั่นใจ (ฉันนั้นยังมั่นใจ)
โลกจะหมุนยังไงแต่ใจของเรายังรักกัน (ยังรักกัน)
จะไม่หยุดและยั้งเหมือนโลกไม่เคยจะหยุดเลย
ยิ่งนับวัน (ยิ่งนับวัน) ก็ยิ่งรักเพียงเธอตลอดไป (จะมีเธอตลอดไป)
ฮื้อ รักเรามีแต่เรื่องดีดี (เรื่องดีดี)
ทุกนาทียังทำให้เราจดจำ และจะเป็นอย่างนี้ทุกวัน (นี้ทุกวัน)
แม้เวลายังคงหมุนเวียนเปลี่ยนไป (ฮู่ฮูฮู้)
เปลี่ยนจากคืนเป็นวัน เปลี่ยนจากเดือนเป็นปี
แต่ฉันนั้นยังมั่นใจ ฮู้ฮูฮู่
โลกจะหมุนยังไงแต่ใจของเรายังรักกัน",saranya_songsermsawad
อย่าห่วง,/music/thailyric/5435,"อย่าปล่อยเวลาให้เสียไป อย่าปล่อยเวลาให้ช้าไป
ตัดอกตัดใจแหละกลับหลังไป อย่ากังวลกับฉันให้มันทรมาน
หากว่าเธอเลือกอยู่กับเขา อยากให้เราจบแค่เพียงเท่านี้จริงจริง

อย่ากลัวว่าฉันเสียใจ อย่าห่วงว่าฉันเป็นไง
ยิ่งทำเหมือนเคยก็ยิ่งตอกย้ำลงไป ไม่ต้องห่วงฉันเลยไม่ต้องสนใจ
อย่าห่วงเรื่องเสียใจ ก็คงแค่ร้องไห้ทั้งคืน

ถ้าหากเวลากลับย้อนไปจะตัดปัญหา ไม่พบไม่เจอจะข่มใจไว้ไม่ให้รักเธอ
จะไม่ยอมปล่อยใจมากมายเหมือนครั้งนี้
อย่ากังวลเมื่ออยู่กับเขา อยากให้เราจบแค่เพียงเท่านี้จริงจริง

อย่ากลัวว่าฉันเสียใจ อย่าห่วงว่าฉันเป็นไง
ยิ่งทำเหมือนเคยก็ยิ่งตอกย้ำลงไป ไม่ต้องห่วงฉันเลยไม่ต้องสนใจ
อย่าห่วงเรื่องเสียใจ ก็คงแค่ร้องไห้ทั้งคืน

อย่ากลัวว่าฉันเสียใจ อย่าห่วงว่าฉันเป็นไง
ยิ่งทำเหมือนเคยก็ยิ่งตอกย้ำลงไป ไม่ต้องห่วงฉันเลยไม่ต้องสนใจ
อย่าห่วงเรื่องเสียใจ ก็คงแค่ร้องไห้ทั้งคืนก็แค่ร้องไห้ทั้งคืน",saranya_songsermsawad
ทำเพื่อฉันสักอย่าง,/music/thailyric/5425,"เปิดฉากรัก ขึ้นมาอย่างซึ้งใจ
ให้ความหวังมากมายให้ฝันไปตามฝากคำสัญญา
คำที่งดงาม ฉันยังคงจำ สิ่งเหล่านั้น
แต่ฉากสุดท้าย คือเธอจะทิ้งไป
ทิ้งเอาไว้แค่เพียงฉากฝันวันวาน
ฉากที่ไกล้เธอ วันที่มีกัน ใจฉันคงไม่ลืมง่ายดาย

ก็อยากจะขอ ขอให้ทำเพื่อฉันสักอย่าง
ช่วยล้างหัวใจหน่อยได้ไหม
เก็บความฝันวันเก่า ที่เธอนำมาให้
เก็บมันแล้วพาไปกับเธอ

อย่าตัดปัญหา ด้วยการเดินหนี ไป
ทิ้งความช้ำในใจให้ฉันทนเจอ
บอกแค่เสียใจ วอนให้ลืมเธอ
มันไม่ช่วยให้ใจ ดีขึ้นเลย

ก็อยากจะขอ ขอให้ทำเพื่อฉันสักอย่าง
ช่วยล้างหัวใจหน่อยได้ไหม
เก็บความฝันวันเก่า ที่เธอนำมาให้
เก็บมันแล้วพาไปกับเธอ

อย่าตัดปัญหา ด้วยการเดินหนี ไป
ทิ้งความช้ำในใจให้ฉันทนเจอ
บอกแค่เสียใจ วอนให้ลืมเธอ
มันไม่ช่วยให้ใจ ดีขึ้นเลย

บอกกันเพียงให้ฉันลืมให้สิ้นไป
มันไม่ช่วยให้ ใจ ดีขึ้นเลย",saranya_songsermsawad
อย่าทำอย่างนี้อีกเลย,/music/thailyric/5434,"สิ่งที่ฉันทำไป ใจรู้ดีว่าผิด
ที่ปล่อยใจคิดอะไรให้เกินเลย
ไม่อยากให้อารมณ์ ชนะเราเหมือนดังเคย
อย่างที่เคย ต้องยอมแพ้มันอยู่ทุกเวลา
ถึงรู้ว่ารัก แต่รักของเราไม่มีหวัง
เธอยังจะทำอะไรอย่างเคยเป็นมา
เธอยังมองฉันอย่างแสนอาลัยในสายตา
เธอจะเหนี่ยวรั้งต่อไปทำไม

อย่าทำอย่างนี้อีกเลย ปล่อยฉันไปดีกว่า
แทบละลายเมื่อเห็นสายตาอย่างนี้
อย่าทำให้ฉันเปลี่ยนใจ ให้ฉันไปด้วยดี
จบแค่นี้ ฮืม.. เมื่อต่างก็รู้รู้ดีไม่มีทาง

เจ็บเมื่อร้างลากัน มันก็คงดีกว่า
ก็อาจต้องใช้เวลาเพื่อลืมมัน
แต่ที่ต้องเผชิญ อย่างนี้ปล่อยไว้เนิ่นนาน
อาจต้องทรมานทุกข์ทนจากนี้จนตาย
ถึงรู้ว่ารักแต่ฉันก็คงไม่มีหวัง
เธอยังบอกรักมันฟังปวดใจรู้ไหม
เธอทำอย่างนี้ ยิ่งย้ำให้ใจยิ่งเสียดาย
กับสิ่งมากมายที่เราเคยทำ

อย่าทำอย่างนี้อีกเลย ปล่อยฉันไปดีกว่า
แทบละลายเมื่อเห็นสายตาอย่างนี้
อย่าทำให้ฉันเปลี่ยนใจ ให้ฉันไปด้วยดี
จบแค่นี้ ฮืม.. (จบแค่นี้ ฮืม..) เมื่อต่างก็รู้รู้ดีไม่มีทาง
เธอเองก็รู้รู้ดีไม่มีทาง",saranya_songsermsawad
อยู่นานนานได้ไหม,/music/thailyric/5436,"เมื่อในวันนี้ ที่ฉันได้เจอเธอ
เพราะเธอยังห่วงใยมาหากัน
อยากขอบคุณจริงจริง
ที่เห็นความสำคัญ
แหละรู้ว่าฉันยังเฝ้ารอเธอ

ทุกทุกอย่างช่างดูสดใส
ที่ในวันนี้ฉันมีเธออยู่
อยู่นานนานได้ไหม
นานนานจะเจอกันซักที
ให้ฉันได้มีวันที่ดี
อบอุ่นอย่างนี้นานนานได้ไหม แล้วค่อยลา

ที่ผ่านมานั้น คิดถึงเธอเพียงใด
ต้องคอยต้องทนเพี่อจะได้เจอ
เฝ้ารอคอยมานานอยากขอร้องให้เธอ
สงสารใจของคนที่รอคอย

ทุกทุกอย่างช่างดูสดใส
ที่ในวันนี้ฉันมีเธออยู่
อยู่นานนานได้ไหม
นานนานจะเจอกันซักที
ให้ฉันได้มีวันที่ดี
อบอุ่นอย่างนี้นานนานได้ไหม

อยู่นานนานได้ไหม
นานนานจะได้มาซักที
ให้ฉันลืมวันคืนที่เหินห่าง
อยากเติมความรักให้เต็ม..หัวใจ

อยู่นานนานได้ไหม
นานนานจะเจอกันซักที
ให้ฉันได้มีวันที่ดี
อบอุ่นอย่างนี้นานนานได้ไหม

อยู่นานนานได้ไหม
นานนานจะได้มาซักที
ให้ฉันลืมวันคืนที่เหินห่าง
อยากเติมความรักให้เต็ม..หัวใจ",saranya_songsermsawad
คนที่ไม่เหมือนเดิม,/music/thailyric/5418,"ถึงวันที่หัวใจ ต้องพลันสลาย
เขาทำลาย เสียยับเยิน
รักโดยไม่รู้ตัว เขาจะเปลี่ยนไป
ก็ยังคงเชื่อใจ เหลือเกิน
แกล้งทำว่าเข้าใจ ข้างในสุดช้ำ
ฝืนใจทำ แกล้งทำเมิน
เขาเพียงแค่หันมา น้ำตาจะไหล
เดินจากไป แอบร้องไห้ออกมา
เพราะใจเจ็บเกิน ทนเห็น คนที่ไม่เหมือนเดิม

ดั่งคนถูกไฟเผา ให้ใจ ร้าวราน
ไม่มีวัน จะเหมือนเดิม
หากเป็นตัว เขาเอง ได้เป็น อย่างฉันคงจะรู้
ว่ามันเจ็บแสนเจ็บ แสนจะเจ็บช้ำ
ฝืนใจทำ แกล้งทำเมิน
เขาเพียงแค่ หันมา น้ำตาจะไหล
เดินจากไป แอบร้องไห้ออกมา
เพราะใจเจ็บเกิน ทนฝืน
แต่เขาเพียงแค่หันมา น้ำตาจะไหล
เดินจากไป แอบร้องไห้ออกมา
เพราะใจเจ็บเกิน ทนฝืน
เดินจากไป ไม่หันมองกลับมา
เดินจากไป แอบร้องไห้ออกมา
เพราะไม่อยากเห็น คนที่ไม่เหมือนเดิม",saranya_songsermsawad
