song_name,href,lyric,artist
เซ็ง,/music/thailyric/1204,"ความพอใจ  อยู่ที่ไหน   ฉันไม่เข้าใจ
ความรักที่ฉันมี     คงไม่น้อยเกินไป

หรือเป็นที่เงินทอง     ที่ทำให้ตัวเขาดี
เพราะใจที่ฉันมี     ไม่น่าจะกลายไปเป็นแบบนี้

เธอไม่ควรจะหลงมี     อยู่กันจนนานเป็นปี

แล้วเธอก็ต้องกลับกลาย   ความรักที่มีมันสาย
แล้วใจของฉันที่หาย
( มันคงจะไปไกล ) ( มันคงจะเป็นไป )

แล้วเธอก็ต้องกลับกลาย   ความรักที่มีมันสาย
แล้วใจของฉันที่หาย
( มันคงจะไปไกล ) ( มันคงจะเป็นไป )

แล้วเธอก็ต้องกลับกลาย   ความรักที่มีมันสาย
แล้วใจของฉันที่หาย
( มันคงจะไปไกล ) ( มันคงจะเป็นไป )

ฉันพอเข้าใจ      ว่าเหตุใดเธอจึงเป็นไป
คงเป็นที่เงินทอง   ที่เขาจุดคบไฟ
ความรักที่เผาไหม้     อาจจะไม่ใช่ความพอใจ
เพราะใจที่ฉันมี     ไม่น่าจะกลายไปเป็นแบบนี้

เธอไม่ควรจะหลงมี     อยู่กันจนนานเป็นปี

แล้วเธอก็ต้องกลับกลาย   ความรักที่มีมันสาย
แล้วใจของฉันที่หาย
( มันคงจะไปไกล ) ( มันคงจะเป็นไป )

แล้วเธอก็ต้องกลับกลาย   ความรักที่มีมันสาย
แล้วใจของฉันที่หาย
( มันคงจะไปไกล ) ( มันคงจะเป็นไป )

ฉันก็เซ็งอยู่...นาน   ฉันก็เซ็งอยู่
ฉันก็เซ็งอยู่...นาน   ฉันก็เซ็งอยู่

ฉันก็เซ็งอยู่...นาน   ฉันก็เซ็งอยู่
ฉันก็เซ็งอยู่...นาน   ฉันก็เซ็งอยู่

ก็เหมือนเส้นด้าย   ที่มันพันแล้วแก้ไม่ได้
แล้วเธอก็กลายเป็น   ทาสเขาไป
ความรักที่เขามี     อาจจะไม่ใช่ความรักที่ดี
เพราะใจที่ฉันมี     ไม่น่าจะกลายไปเป็นแบบนี้

เธอไม่ควรจะหลงมี     อยู่กันจนนานเป็นปี

แล้วเธอก็ต้องกลับกลาย   ความรักที่มีมันสาย
แล้วใจของฉันที่หาย
( มันคงจะไปไกล ) ( มันคงจะเป็นไป )

แล้วเธอก็ต้องกลับกลาย   ความรักที่มีมันสาย
แล้วใจของฉันที่หาย
( มันคงจะไปไกล ) ( มันคงจะเป็นไป )

ความรักเอาคืนไป...คืนไป...",silly_fools
นางฟ้า,/music/thailyric/15693,"สบตา เธอสบตาฉัน
หัวใจฉันสั่นสะท้าน
ไม่เคยเห็นใครเหมือนเธอ

งดงาม เธองามดังฝัน
เธอพลิ้วและไหวดุจดอกไม้งาม
ที่หอมรัญจวนหัวใจ

ฉันจึงต้องแอบ ทำใจ
ทั้งที่อยากจะกอด เธอไว้

พบรักเข้ากับนางฟ้า
ที่ฉันได้ผ่านพบมา
รักเข้ากับนางฟ้า
ที่ไกลเกินจะไขว่คว้ามา ได้

พบรักเข้ากับนางฟ้า
ที่ฉันได้ผ่านพบมา
รักเข้ากับนางฟ้า
ที่ไกลเกินจะไขว่คว้ามา เป็นของฉัน

ใกล้ชิด อีกไม่ไหว
หัวใจฉันเจียนละลาย
ความงามที่มีมากมาย

ฉันจึงต้องแอบ ทำใจ
ทั้งที่อยากจะกอด เธอไว้

พบรักเข้ากับนางฟ้า
ที่ฉันได้ผ่านพบมา
รักเข้ากับนางฟ้า
ที่ไกลเกินจะไขว่คว้ามา ได้

พบรักเข้ากับนางฟ้า
ที่ฉันได้ผ่านพบมา
รักเข้ากับนางฟ้า
ที่ไกลเกินจะไขว่คว้ามา
เป็นของฉัน

พบรักเข้ากับนางฟ้า
ที่ฉันได้ผ่านพบมา
รักเข้ากับนางฟ้า
ที่ไกลเกินจะไขว่คว้ามา ได้

พบรักเข้ากับนางฟ้า
ที่ฉันได้ผ่านพบมา
รักเข้ากับนางฟ้า
ที่ไกลเกินจะไขว่คว้ามา
เป็นของฉัน (เป็นของฉัน)",silly_fools
เพียงรัก,/music/thailyric/1213,"ยืนอยู่คนเดียว ช่างเปล่าช่างเปลี่ยวหัวใจ
ฉันยืนอยู่คนเดียวได้ยินไหม ช่างเหงาหัวใจเหลือเกิน

และฉันคงทนต่อไปอีกไม่ไหว คงต้องมีใครมาดูแลหัวใจ
มันทนต่อไปอีกไม่ไหว อยากจะบอก
ว่าฉันมีเพียงความรักอยู่เต็มหัวใจ
และอยากรู้ว่ามีใครจะมารับเอาไว้

ยืนอยู่คนเดียว ยืนอยู่คนเดียวได้ยินไหม
ฉันยืนอยู่คนเดียวได้ยินไหม บางครั้งก็เกินที่จะทนไหว

และฉันคงทนต่อไปอีกไม่ไหว คงต้องมีใครมาดูแลหัวใจ
มันทนต่อไปอีกไม่ไหว อยากจะบอก
ว่าฉันมีเพียงความรักอยู่เต็มหัวใจ
และอยากรู้ว่ามีใครจะมารับเอาไว้

คงต้องมีใครที่ต้องการฉัน ใฝ่ฝันหยิบยื่นหัวใจ
คงต้องมีใครที่ต้องการฉันที่จะรัก...ตลอดไป
เพียงรักอยู่เต็มหัวใจ และอยากรู้ว่ามีใครจะมารับเอาไว้",silly_fools
ไหนว่าจะไม่หลอกกัน,/music/thailyric/1224,"เธอบอกว่าวันนี้ เป็นวันที่สวยงาม
เธอบอกว่าวันนี้ เป็นวันของเรา
เธอบอกว่าวันนี้ ไม่เคยมีเหงา
เธอบอกว่าวันนี้ ไม่มีเราสองคน

อาจเป็นเพียงคำพูดลมๆ แล้งๆ เท่านั้น
ที่เธอพูดออกมา

ไหนว่าจะไม่หลอกกัน ไหนว่าเธอจะมีฉัน
ไหนว่าเธอจะเป็นเหมือนเก่า

ไหนว่าจะไม่หลอกกัน ไหนว่าเธอจะมีฉัน
ไหนว่าเธอจะเป็นเหมือนเก่า

สุดท้ายนั้นคงเป็นดั่งนิทาน สุดท้ายฉันคงเป็นแค่คนเก่า
และดอกไม้นั้นที่มีเธอให้เขา แต่ดอกไม้นั้นของเราใช่ไหม

อาจเป็นเพียงคำพูดลมๆ แล้งๆ เท่านั้น
ที่เธอพูดออกมา

ไหนว่าจะไม่หลอกกัน ไหนว่าเธอจะมีฉัน
ไหนว่าเธอจะเป็นเหมือนเก่า

ไหนว่าจะไม่หลอกกัน ไหนว่าเธอจะมีฉัน
ไหนว่าเธอจะเป็นเหมือนเก่า

คงจะจริง เมื่อเริ่มคงหวาน พออยู่กันนานก็ขมขื่น
ไม่เคยคิด ว่าเรื่องเหล่านั้น มันจะเกิดกับฉัน
อาจเป็นเพียงคำพูดลมๆ แล้งๆ เท่านั้น
ที่เธอพูดออกมา

ไหนว่าจะไม่หลอกกัน ไหนว่าเธอจะมีฉัน
ไหนว่าเธอจะเป็นเหมือนเก่า

ไหนว่าจะไม่หลอกกัน ไหนว่าเธอจะมีฉัน
ไหนว่าเธอจะเป็นเหมือนเก่า

ตลอดไป.....เหมือนเก่า
ตลอดไป.....เหมือนก่อน

เพราะฉันมีเพียง...
มีเพียงหยดน้ำตาที่มันไหลออกมา
เหตุมันคงเป็นเพราะเธอทำฉันเจ็บ

มีเพียงหยดน้ำตา ที่มันไม่มีแม้ค่า
แต่เจ็บข้างในมันลึกจนปาน จะขาดใจ

Artist : Silly Fools
Album : Mint
Title : คิดถึง

รู้มั้ยว่ามีคนที่เฝ้าคอย เหม่อลอยในความผิดหวัง อีกครั้งพอทำพลาดไป
เขานึกถึงวันเก่าๆก็เลยถาม เคยมีเธอที่เขาเฝ้ารอ แต่แล้วเธอก็จากไป

อยากกลับคืนวันให้เป็นดังเก่า อยากกลับคืนวันให้เป็นของเรา

รู้มั้ยว่าเวลาที่ฝนมา รู้มั้ยว่าเวลาที่ฟ้ามันร้อง หม่นหมองมันตรอมหัวใจ
พอนึกถึงวันเก่าๆก็เลยถาม เคยมีเธอที่ฉันเฝ้ารอ สุดท้ายเธอก็จากไป

อยากกลับคืนวันให้เป็นดังเก่า อยากกลับคืนวันให้เป็นของเรา

ก็ฉันคิดถึงเธอ มันคิดถึง ไม่รู้ว่าจะทำเช่นไร
ก็ฉันคิดถึงเธอ มันคิดถึง แล้วเธอจะรู้บ้างมั้ย
ก็ฉันคิดถึงเธอ มันคิดถึง ไม่รู้ว่าจะทำเช่นไร
ก็ฉันคิดถึงเธอ มันคิดถึง แล้วเธอจะรู้บ้างมั้ย

จะทำไงกับความผิดพลั้ง และเผลอ ในใจฉันมีแต่เธอ
อยากกลับคืนวันให้เป็นดังเก่า อยากกลับคืนวันให้เป็นของเรา

ก็ฉันคิดถึงเธอ มันคิดถึง ไม่รู้ว่าจะทำเช่นไร
ก็ฉันคิดถึงเธอ มันคิดถึง แล้วเธอจะรู้บ้างมั้ย
ก็ฉันคิดถึงเธอ มันคิดถึง ไม่รู้ว่าจะทำเช่นไร
ก็ฉันคิดถึงเธอ มันคิดถึง แล้วเธอจะรู้บ้างมั้ย

เธอจะรู้บ้างมั้ย
เธอจะรู้บ้างมั้ย

เธอจะรู้บ้างมั้ย
ก็ฉันคิดถึงเธอ มันคิดถึง
ก็ฉันคิดถึงเธอ มันคิดถึง ...",silly_fools
อย่าบอกว่ารัก,/music/thailyric/1226,"หนาวเหลือเกิน
ฉันหนาวหัวใจเกินจะทนไหว
รักตัวเธอให้จนหมดใจ
แต่เธอกลับทิ้งฉันไป
รัก.......เธอเคยบอก

โหดร้ายเหลือเกิน
โหดร้ายเหลือเกินๆ   จะทนไหว
เธอมัวพะวงอยู่กับคนไหน
จึงทำให้เธอลืมฉันไป

คงเป็นเพราะรัก  ที่ทำให้ฉันได้พบเธอ
แต่เธอคงจะหลงทาง     จึงทำให้เราไกลห่าง
คงเป็นเพราะรัก...ที่ทำให้เจ็บช้ำ.......

อย่าบอกว่ารัก    อย่าบอกว่าหลง
อย่าบอกฉันเลย
ถ้าใจเธอมันไม่เคย     เป็นอย่างนั้น
อย่าบอกว่ารัก     อย่าบอกว่าหลง
อย่าบอกฉันเลย
ถ้าใจเธอมันไม่เคย
ใจฉันคงไม่เคย  ( ความผิดหวัง )

อย่าบอกว่ารัก    อย่าบอกว่าหลง
อย่าบอกฉันเลย
ถ้าใจเธอมันไม่เคย     เป็นอย่างนั้น
อย่าบอกว่ารัก     อย่าบอกว่าหลง
อย่าบอกฉันเลย
ถ้าใจเธอมันไม่เคย
ใจฉันคงไม่เคย  ( ความผิดหวัง )

เป็นเพียงข้ออ้างข้างใน
อยากจะถามหัวใจเธอสักหน่อย
บอกว่ารักอยู่    ให้ฉันคอย
ใจมันน้อย    เธอไม่เคยซึ้งกับคำว่ารัก

คงเป็นเพราะรัก  ที่ทำให้ฉันได้พบเธอ
แต่เธอคงจะหลงทาง     จึงทำให้เราไกลห่าง
คงเป็นเพราะรัก...ที่ทำให้เจ็บช้ำ.......

อย่าบอกว่ารัก    อย่าบอกว่าหลง
อย่าบอกฉันเลย
ถ้าใจเธอมันไม่เคย     เป็นอย่างนั้น
อย่าบอกว่ารัก     อย่าบอกว่าหลง
อย่าบอกฉันเลย
ถ้าใจเธอมันไม่เคย
ใจฉันคงไม่เคย  ( ความผิดหวัง )

ฮา..................
('til fade )",silly_fools
เฮ้,/music/thailyric/1228,"Hey... แอบได้ยินได้ฟังว่าเธอเจ็บช้ำใจ
พอได้รู้ฉันเลยต้องการจะถามไถ่
พอเธอรู้ว่ารักที่เขาให้เธอนั้นเปลี่ยนไป
เธอเลยเศร้าใจ

Hey... แอบได้ยินว่าเขาทำให้เธอเสียใจ
พอฉันรู้ ฉันเลยต้องการบอกสิ่งที่อยู่ข้างใน
ในใจฉัน ... Hey...

จับมือฉันไว้ อย่ามองไปข้างหลัง
จะบอกอย่างไรให้รู้ว่ามีฉัน
จับมือฉันไว้ อย่ามองไปทางนั้น
จะบอกอย่างไรให้รู้

จะบอกอย่างไร จะทำอย่างไรให้เธอเห็น
ฉันเป็นคนที่มีใจ ที่รอคอยอยู่ไม่ไกล
จะบอกอย่างไร จะพูดอย่างไรให้เธอรู้
เธออยู่ในลมหายใจ ทุกลมหายใจของฉัน

จะเจ็บจำไปก็เท่านั้น (ก็เท่านั้น) อยากให้มองมาที่ทางฉัน
อยากให้ลืมเรื่องเหล่านั้น มาเริ่มต้นใหม่วันของเรา
จับมือฉันไว้ อย่ามองไปข้างหลัง
จะบอกอย่างไรให้รู้ว่ามีฉัน
จับมือฉันไว้ อย่ามองไปทางนั้น
จะบอกอย่างไรให้รู้

Hey...  จับมือฉันไว้      อย่ามองไปข้างหลัง
จะบอกอย่างไรให้รู้ว่ามีฉัน
Hey...   จับมือฉันไว้ อย่ามองไปทางนั้น

Hey... แอบได้ยินได้ฟังว่าเธอเจ็บช้ำใจ
พอได้รู้ฉันเลยต้องการจะถามไถ่
พอเธอรู้ว่ารักที่เขาให้เธอนั้นเปลี่ยนไป

เธอเลยเศร้าใจ (ฮืม..Hey)",silly_fools
แกล้ง,/music/thailyric/1199,"แกล้งทิ้งตัวลงนอนได้ไหม แกล้งจับมือฉันไว้ เหมือนเคย
แกล้งบอกว่าเธอรักมากมาย แม้ไม่ให้ความหมายกับฉันเลย

จดจำวันคืนที่รักช่างสดใส โปรดลืมจงลืมเขาไปเสียก่อน
อย่ารีบบอกลา อย่าจากฉันไปก่อน จะให้ฉันทำตัวเช่นไร
หากว่าใจยังทำไม่ไหว
แม้น้ำตาจะรินและไหล แผลหัวใจจะลึกสักเพียงเท่าใด
และแม้ฉันไม่อาจหยุดเธอไว้ แต่ก่อนจะจากไป
ช่วยแกล้งบอกรักฉัน หน่อย

แกล้งพูดเพียงแต่คำหวานๆ อย่างที่ฉันต้องการ
อย่างที่ฉันนั้นเคยมี แกล้งจ้องมองที่ตาคู่นี้
ช่วยแกล้งบอกฉันที จะไม่แกล้งอีกต่อไป
จดจำวันคืนที่รักช่างสดใส โปรดลืมจงลืมเขาไปเสียก่อน
อย่ารีบบอกลา อย่าจากฉันไปก่อน จะให้ฉันทำตัวเช่นไร
หากว่าใจยังทำไม่ไหว
แม้น้ำตาจะรินและไหล แผลหัวใจจะลึกสักเพียงเท่าใด
และแม้ฉันไม่อาจหยุดเธอไว้ แต่ก่อนจะจากไป
ช่วยแกล้งบอกรักฉัน ได้ไหม

มันทนไม่ไหวที่จะปล่อยเธอไป ให้ไปกับคนนั้น
โปรดอยู่ใกล้ๆ ฉัน อย่างน้อยแกล้งรักกันใหม่
ได้โปรดจงอย่าไป
จดจำวันคืนที่รักช่างสดใส โปรดลืมจงลืมเขาไปเสียก่อน
อย่ารีบบอกลา อย่าจากฉันไปก่อน จะให้ฉันทำตัวเช่นไร
หากว่าใจยังทำไม่ไหว
แม้น้ำตาจะรินและไหล แผลหัวใจจะลึกสักเพียงเท่าใด
และแม้ฉันไม่อาจหยุดเธอไว้ แต่ก่อนจะจากไป
ช่วยแกล้งบอกรักฉัน

แม้น้ำตาจะรินและไหล แผลหัวใจจะลึกสักเพียงเท่าใด
และแม้ฉันไม่อาจหยุดเธอไว้ แต่ก่อนจะจากไป
ช่วยแกล้งบอกรักฉัน ได้ไหม",silly_fools
ขี้หึง,/music/thailyric/1216,"ยิ้มให้กับฉันหน่อย
แค่หึงเล็กน้อยแค่คอยรัก
ได้โปรดอย่าโกรธฉัน
ขนาดนั้นอีกนานคงขาดใจ

และไม่ใช่ไม่ไว้ใจ
ใจฉันร้อนหากใครมองนัก
ก็เธอดันน่ารัก
ขนาดนั้นให้มองอยู่ได้ไง

ช่วยเอียงมาหาหน่อย
ฉันเฝ้าคอยที่จะบอกรัก
ได้โปรดอย่าโกรธฉัน
ที่ทำไปนั้นจะไม่ทำอีกต่อไป

บางทีฉันก็ยั้งไม่อยู่
บางทีฉันก็รู้แต่ทนไม่ไหว
โปรดจงเข้าใจ
ที่เป็นไปนะเป็นไปด้วยรัก

* แต่อาจจะขี้หึงเกินไป
แต่ใจทั้งใจมีแต่เธอคนเดียว
รักเธอคนเดียว
ไม่ยอมให้ใครมาเปลี่ยน
(เป็นไปด้วยรัก)

แต่อาจจะขี้หึงเกินไป
แต่ใจทั้งใจมีแต่เธอคนเดียว
รักเธอคนเดียว
ไม่ยอมให้ใครมาเปลี่ยน
(เป็นไปด้วยรัก)

อยากให้เธอได้รู้
เฝ้าดูแล้วเข้าใจก่อน
หากใครทำใจฉันสั่นคลอน
เธอจะรู้สึกหึงและห่วงไหม

ที่เป็นไปน่ะเป็นไปด้วยรัก

แต่อาจจะขี้หึงเกินไป
แต่ใจทั้งใจมีแต่เธอคนเดียว
รักเธอคนเดียว
ไม่ยอมให้ใครมาเปลี่ยน
(เป็นไปด้วยรัก)

แต่อาจจะขี้หึงเกินไป
แต่ใจทั้งใจมีแต่เธอคนเดียว
รักเธอคนเดียว
ไม่ยอมให้ใครมาเปลี่ยน
(เป็นไปด้วยรัก)

แต่อาจจะขี้หึงเกินไป
แต่ใจทั้งใจมีแต่เธอคนเดียว
รักเธอคนเดียว
ไม่ยอมให้ใครมาเปลี่ยน
(เป็นไปด้วยรัก)

แต่อาจจะขี้หึงเกินไป
แต่ใจทั้งใจมีแต่เธอคนเดียว
รักเธอคนเดียว
ไม่ยอมให้ใครมาเปลี่ยน
(เป็นไปด้วยรัก)",silly_fools
บ้าบอ,/music/thailyric/1207,"อยากได้ก็ให้ หากไม่สูงเกินไป อยากกลายไปเป็นดาว
แถมเดือนไป ขอให้เธอพอใจ ฉันให้ได้เพียงเท่านี้

ต้องการแค่ไหน ก็จะให้เธอไป ตอบแทนด้วยดอกไม้
ด้วยหัวใจอาจจะน้อยเกินไป แต่ให้ได้เพียงเท่านี้
ไม่เคยพอใจเลยสักที

บ้าบอ ฉันคงไม่บ้าพอที่จะรักคนที่บ้าบอ
ให้รักแล้วไม่เคยพออย่างเธอ

บ้าบอ ฉันคงไม่บ้าพอที่จะรักคนที่บ้าบอ
ให้รักแล้วไม่เคยพออย่างเธอ

อาจใช่ อาจไม่ อาจจะค้างคาใจ กรีดเลือดกรีดเนื้อ
ก็จะให้ไป ขอให้เธอพอใจ ฉันให้ได้เพียงเท่านี้
ต้องการแค่ไหน ก็จะให้เธอไป ตอบแทนด้วยดอกไม้
ด้วยหัวใจอาจจะน้อยเกินไป แต่ให้ได้เพียงเท่านี้
ไม่เคยพอใจเลยสักที

บ้าบอ ฉันคงไม่บ้าพอที่จะรักคนที่บ้าบอ
ให้รักแล้วไม่เคยพออย่างเธอ
บ้าบอ ฉันคงไม่บ้าพอที่จะรักคนที่บ้าบอ
ให้รักแล้วไม่เคยพออย่างเธอ

จะรักแค่ไหนไม่เคยพอ (เธอต้องการมากไปกว่านั้น)
ดี และพร้อมก็ไม่พอ..... เธอต้อง ( เธอต้องการมากไปกว่านั้น )
บ้าบอ ฉันคงไม่บ้าพอที่จะรักคนที่บ้าบอ
ให้รักแล้วไม่เคยพออย่างเธอ
บ้าบอ ฉันคงไม่บ้าพอที่จะรักคนที่บ้าบอ
ให้รักแล้วไม่เคยพออย่างเธอ

บ้าบอ ฉันคงไม่บ้าพอที่จะรักคนที่บ้าบอ
ให้รักแล้วไม่เคยพออย่างเธอ
บ้าบอ ฉันคงไม่บ้าพอที่จะรักคนที่บ้าบอ
ให้รักแล้วไม่เคยพออย่างเธอ",silly_fools
ปรักปรำ,/music/thailyric/1208,"เหตุผล คือแอบมีคนเขาบอก
บอกเธอโดนฉันหลอก
แค่บอกเธอก็จากไป

เปล่าเลย ฉันเปล่าทำ มีเธอเท่านั้นที่อยู่ในฉัน
เปล่าเลย ฉันเปล่าทำ อย่าฟังน้ำคำที่คอย ปรักปรำฉัน

ส่วนฉัน ไม่อาจมีคนรักใหม่
ได้เพียงแค่นึกข้างใน
ถึงเหตุผลที่เธออ้างไว้
ก็ฉันเปล่าเลย ฉันเปล่าทำ มีเธอเท่านั้นที่อยู่ในฉัน
เปล่าเลย ฉันเปล่าทำ อย่าฟังน้ำคำที่คอย ปรักปรำฉัน
เปล่าเลย ฉันเปล่าทำ มีเธอเท่านั้นที่อยู่ในฉัน
เปล่าเลย ฉันเปล่าทำ อย่าฟังน้ำคำที่คอย ปรักปรำฉัน

ที่รัก ทำไมไม่ยอมไว้ใจกันสักที
ที่รัก ทำไมจึงทำต้องทำกันอย่างนี้
มันเหมือนจงใจจะปล่อยฉัน ให้ร่วงลงจากฟากฟ้า
ฉันบินอยู่บนนั้น เหตุใดต้องหล่นลงมา
เปล่าเลย ฉันเปล่าทำ มีเธอเท่านั้นที่อยู่ในฉัน
เปล่าเลย ฉันเปล่าทำ อย่าฟังน้ำคำที่คอย ปรักปรำฉัน

เปล่าเลย ฉันเปล่าทำ มีเธอเท่านั้นที่อยู่ในฉัน
เปล่าเลย ฉันเปล่าทำ อย่าฟังน้ำคำที่คอย ปรักปรำฉัน",silly_fools
