song_name,href,lyric,artist
จันทร์เจ้า (Goodbye),/music/thailyric/5609,"I say goodbye

วันที่เรานั้นเคยเอ่ยคำร่ำลา
เป็นคำสัญญาย้ำเตือนความทรงจำ
ว่าความเป็นจริง แม้ทุกสิ่งเวียนหมุนไป
ข้างในแค่หัวใจเหลือเพียงรักนิรันดร์

ก็เพราะเวลาไม่อาจจะ คืนย้อนมา
แค่ปล่อยให้ลมพัดพา ไปฉากสุดท้าย

ในวันไหนที่ใจของเธออ่อนแรงแล้ว
จันทร์เจ้าขา ฉันวอนข้อความฝากบอกเธอ
ก่อนหลับฝัน ให้มองพระจันทร์ดูดดื่ม
ความสัมพันธ์ ที่ส่องกระทบเธอ

I say goodbye

ในบางคราวแสงมาบดบังสายตา
ทำคำสัญญาเหลือเพียงความมืดดำ
แต่ในราตรีนี้จะกลับมาเหมือนเดิม
แววตาของเธอเติมให้รักงดงาม

ร้องบรรเลง เสียงเพลงเทาเทา
ท่ามกลางหมู่ดาว ร้อยเรื่องราวนับพัน

วันเดือนปีจะคอยมองดู
จันทร์กระจ่างจะคอยเคียงคู่
ส่องลงมาเพื่อคอยเฝ้าดู
ให้รักกลายเป็นศรัทธา

ในวันไหนที่ใจของเธออ่อนแรงแล้ว
จันทร์เจ้าขา ฉันวอนข้อความฝากบอกเธอ
ก่อนหลับฝัน ให้มองพระจันทร์ดูดดื่ม
ความสัมพันธ์ ที่ส่องกระทบเธอ

I say goodbye
I say goodbye
I say goodbye
I say goodbye

ในวันไหนที่ใจของเธออ่อนแรงแล้ว
จันทร์เจ้าขา ฉันวอนข้อความฝากบอกเธอ
ก่อนหลับฝัน ให้มองพระจันทร์ดูดดื่ม
ความสัมพันธ์ ที่ส่องกระทบเธอ",slot_machine
พลูโตที่รัก (The Plutonian),/music/thailyric/8444,"ในช่วงเวลาที่มีแต่ความเงียบงัน
ไม่มีเรื่องราวที่เคยให้ความสำคัญ
ไม่เหมือนทุกๆ วัน เหมือนทุกๆ วัน
เมื่อตอนนั้นที่เคยข้างฉัน

บนการเดินทางที่ยังไม่มีทิศทาง
มีเพียงแต่เงาที่คอยอยู่เป็นเพื่อนกัน
ก็เหมือนทุก ๆวัน เหมือนทุกๆ วัน
ที่ตัวฉันได้เคยออกตามหา

จักรวาลกว้างใหญ่ไพศาล
แต่ว่างเปล่า ว่างเปล่า เหงาเหลือเกิน
โอที่รัก วันนี้เพราะไม่มีเธอ

ในช่วงเวลาที่มีผู้คนมากมาย
สับสนวุ่นวายห่างไกลไม่มองหน้ากัน
ก็เหมือนทุกๆ วัน เหมือนทุกๆ วัน
เมื่อความรักเป็นเพียงภาพฝัน

บนการเดินทางที่ยังอยู่ไกลลิบตา
แต่กาลเวลายังคงกระซิบถึงกัน
และเหมือนทุกๆ วัน เหมือนทุกๆ วัน
ที่ตัวฉันยังคงออกตามหา

จักรวาลกว้างใหญ่ไพศาล
แต่ว่างเปล่า ว่างเปล่า เหงาเหลือเกิน
โอที่รัก วันนี้เพราะไม่มีเธอ

โอจักรวาลแสนสุกสกาว
และวับวาวแสงดาวสวยเลิศเลอ
โอที่รัก วันนี้ไม่มีเพราะเธอ

จักรวาลกว้างใหญ่ไพศาล
แต่ว่างเปล่า ว่างเปล่า เหงาเหลือเกิน
โอที่รัก วันนี้เพราะไม่มีเธอ

จักรวาลกว้างใหญ่เพียงไหน
แต่ว่างเปล่า ว่างเปล่า เหงาเหลือเกิน
โอที่รัก วันนี้เพราะไม่มีเธอ

โอจักรวาลสิ้นสุดตรงนี้
และไม่มีแสงดาวไม่เหมือนเดิม
โอที่รัก วันนี้ฉันไม่มีเธอ",slot_machine
วัคซีน (Vaccine),/music/thailyric/8335,"อยากร้องเพลง (อยากร้องเพลง) 
เพลงที่ทำให้เธอหายเศร้า
ทุกข์ที่แสนยาวนาน 
อยากให้จางหายไป

หากเศร้าใจ (หากเศร้าใจ) 
โปรดเก็บสิ่งสำคัญ
ในห้องหัวใจ  แล้วให้รักพาไป
ไกลเท่าที่ต้องการ (ไกลเท่าที่ต้องการ)

จันทร์ที่คอยส่องแสง
นั้นทำให้ฉันเห็นและเข้าใจ
ดาวช่างส่องสดใส 
ช่วยทำให้ใจของเธอมีหวัง

หากได้ยิน (หากได้ยิน)
เพลงที่ไหลรินมาไกลแสนไกล
ขอเธอจงมั่นใจ หากมีทุกข์ใดเข้ามา

หยาดน้ำตา (หยาดน้ำตา ) 
อาจไม่ได้นำมาแค่ความเศร้า
แม้เหลือเพียงความว่างเปล่า 
ตัวเรานั้นยังอยู่ (ตัวเรานั้นยังอยู่)

จันทร์ที่คอยส่องแสง 
นั้นทำให้ฉันเห็นและเข้าใจ
ดาวช่างส่องสดใส 
ช่วยทำให้ใจของเธอมีหวัง

ทุกข์และสุขเหล่านั้น 
ช่วยให้เข้มแข็งและมีพลัง
ชีวิตก้าวเดินต่อไป 
ให้เรารับรู้เข้าใจความหมาย",slot_machine
สวนดอกไม้,/music/thailyric/8263,"ฟ้าส่งเมฆฝน  เปล่งสำเนียง
เปี่ยมความหมายให้เธอฟัง
และผู้คนส่งเสียงเพลงให้ครื้นเครง
เธอได้ยินมันหรือเปล่า

กาลเวลาโบกโชย สายลมพัดผ่าน
(ที่เคยแผ่วเบา)

ความงดงามรอบกายคำราม
สอดผสานทุกวิญญาณ
ร้องให้มันเป็นเพลงของเรา

ความงดงามที่เคยเงียบงัน
(ความงดงามที่เคยเงียบงัน)
เพียงแค่เธอจะเปิดใจฟัง
เธอจะได้ยินสิ่งนั้น

ดอกไม้บานเมื่อแดดยามเช้า
(ดอกไม้บานเมื่อแดดยามเช้า)
เพียงแค่ใจเราสื่อตรงกัน
เธอจะได้ยินมันหรือเปล่า

ฟ้าผ่าเมฆฝน  กลั่นและกรอง
ส่งเป็นเสียงดังกังวาล
ส่งคลื่นเสียงเป็นสัญญาณการค้นหา
สุดขอบฟ้าอวกาศ

กาลเวลาโบกโชย สายลมพัดผ่าน
เธอได้ยินมันหรือเปล่า

ความงดงามที่เคยเงียบงัน
(ความงดงามที่เคยเงียบงัน)
เพียงแค่เธอจะเปิดใจฟัง
เธอจะได้ยินสิ่งนั้น

ดอกไม้บานเมื่อแดดยามเช้า
(ดอกไม้บานเมื่อแดดยามเช้า)
เพียงแค่ใจเราสื่อตรงกัน
เธอจะได้ยินมันหรือเปล่า

เธอได้ยินมันหรือเปล่า
เธอได้ฟังมันหรือเปล่า
เคยได้ยินมันหรือเปล่า
เคยได้ฟังมันหรือเปล่า

เสียงของความเงียบงัน
เสียงตอนดอกไม้บาน
เสียงความคิดของเธอ
เสียงความคิดของเรา

Hey! ได้ยินไหมฟังสรรพเสียง
จากทางซ้ายและจากทางขวา
จากตรงนี้  จากตรงโน้น
ฟังสิเธอ โอ้ฟังสิเธอ

ได้ความหมายของสรรพเสียง
จากทางซ้ายและจากทางขวา
จากตรงนี้  จากตรงโน้น
ฟังสิเธอ โอ้ฟังสิเธอ

ฟังสิเธอ โอ้ฟังสิเธอ

ฟังสิเธอโอ้ฟังสิเธอ

เธอได้ยินมันหรือเปล่า",slot_machine
ฝัน,/music/thailyric/5612,"อยากมองเห็นความในใจของคน
ก็อยากจะค้นจะหาคำตอบ
ทุกครั้งที่คนไขว้คว้าเอามาสวมกอด
ไม่ว่าสิ่งไหนที่ใจต้องการ

อยากให้หัวใจของคนทุกคน
ไม่ต้องดิ้นรนจะหาทางออก
ไม่รู้จักความเหนื่อยล้า ไม่เคยเศร้าหรอก
ไม่เคยจะท้อและถอดใจ

เหมือนทุกสิ่งช่างแสนสวยงาม
ล่องลอยบนฟ้าไม่มีจุดหมาย
เหม่อมองนภา ดวงดาวพร่างพราย
ไม่มีวันแตกสลาย
ไม่อ่อนล้าเหมือนในวันเมื่อวาน

ไม่ต้องทุกข์ต้องทนทรมาน
มีชีวิตไว้เป็นดั่งความฝัน
แต่สิ่งนั้นที่ใจคนต้องการ
เป็นเพียงความฝัน

ได้ฟังเรื่องราวมากมาย หลายคน
จากบนถนนที่ล้วนลวงหลอก
ไม่พ้นจากความขื่นขม ที่คอยย้ำตอบ
บอกว่าชีวิตที่ผ่านมา

เหมือนทุกสิ่งช่างแสนสวยงาม
ล่องลอยบนฟ้าไม่มีจุดหมาย
เหม่อมองนภา ดวงดาวพร่างพราย
ไม่มีวันแตกสลาย
ไม่อ่อนล้าเหมือนในวันเมื่อวาน
ไม่ต้องทุกข์ต้องทนทรมาน
มีชีวิตไว้เป็นดั่งความฝัน
แต่สิ่งนั้นที่ใจคนต้องการ
เป็นเพียงความฝัน มันเป็นได้เท่านั้น

หากเธอไตร่ตรองทุกอย่าง ชีวิตก็คงสว่าง
ได้พบหนทางที่เทอตั้งใจ
แต่หากเป็นเพียงฝันไป
หากไม่ซึ้ง ซึ่งความหมาย
ฉากสุดท้ายไม่มีคำว่าพอ

อาจต้องทุกข์ต้องทน ทรมาน
มีชีวิตเหมือนเป็นดั่งความฝัน
แต่สิ่งนั้นที่ใจคนต้องการ
แค่เท่านั้นที่ใจคนต้องการ
แต่สุดท้ายที่ใจคนต้องการ
เป็นเพียงความฝัน มันเป็นได้เท่านั้น
มันเป็นเพียงแค่ความฝัน",slot_machine
หากฉันตาย,/music/thailyric/5618,"แม้ทุกอย่างที่สร้างขึ้นมาไม่เหลืออะไร
ลึกลงไปแล้วในใจ อยากเริ่มต้นใหม่อีกครั้ง
ให้คิดคำนึงบอกว่าไม่เป็นไร 
จงให้อภัยต่อกัน

ฉันเพียงต้องการ คนที่กอดฉัน
จูบฉันแม้นานเท่านาน
ขอเพียงใครสักคนนั้น คนที่รักฉัน
เข้าใจฉัน ขอเพียงใคร

ในวันหนึ่งเมื่อทุกๆ สิ่ง
ไม่เหลืออะไรให้จดจำ
เพราะความจริง มันไม่มีเธอ
ให้เริ่มต้นใหม่อีกครั้ง

ฉันเพียงต้องการ คนที่กอดฉัน
จูบฉันแม้นานเท่านาน
ขอเพียงใครสักคนนั้น คนที่รักฉัน
เข้าใจฉัน ขอเพียงใคร

ฉันเพียงต้องการ คนที่กอดฉัน
จูบฉันแม้นานเท่านาน
ขอเพียงใครสักคนนั้น คนที่รักฉัน
เข้าใจฉัน ขอเพียงใคร

ขอเพียงใครสักคนนั้น บอกว่ารักฉัน
แค่เท่านั้นฉันคงเป็นสุข",slot_machine
เหนือกาลเวลา (Beautiful),/music/thailyric/12028,"เวลาที่เราห่างแสนไกล
แต่ใจกลับเหมือนเป็นดั่งเมื่อวาน
ทุกครั้งที่มีรอยยิ้ม ทุกครั้งที่มีปัญหา
ทุกช่วงเวลายังจดจำ เก็บมันเอาไว้ข้างใน

เรื่องราวไม่ว่านานเท่าไร
ไม่เคยหล่นหายไปจากใจเรา
ไม่ว่าจะมีรอยยิ้ม ไม่ว่าจะมีน้ำตา
มันคงจะเป็นช่วงเวลาที่ทำให้เรามีกันและกัน

โปรดเธอ โปรดจงหลับตา
ให้เธอนึกถึงช่วงเวลา
ที่เรามีเสียงหัวเราและความเข้าใจ
ทุกๆ ครั้งที่เธอเศร้าใจ

หากเธอลองหลับตา
เราก็คงจะเห็นเหมือนกัน
วันที่เธอและฉัน ได้ผูกพัน
ช่างอ่อนหวานและสวยงาม

เวลายังไม่เคยรั้งรอ
โปรดเธออย่าท้อเมื่อห่างกันไกล
ทุกครั้งที่ฟังเพลงนี้ ให้รู้ว่ามีความหมาย
แทนคำว่ารักคำสุดท้ายที่ทำให้เรามีกันและกัน

โปรดเธอ โปรดจงหลับตา
ให้เธอนึกถึงช่วงเวลา
ที่เรามีเสียงหัวเราและความเข้าใจ
ทุกๆ ครั้งที่เธอเศร้าใจ

หากเธอลองหลับตา
เราก็คงจะเห็นเหมือนกัน
วันที่เธอและฉัน ได้ผูกพัน
ช่างอ่อนหวาน

ความรักของเรา แม้ว่ามันจะนาน
จะพบทั้งทุกข์และสุข ทุกๆ วันที่ผ่าน
ยังมีรอยยิ้มทุกครั้งที่เธอเหนื่อยล้า
มีกันเสมอมา
คืนและวันช่างอ่อนหวาน ยังจำในใจฉัน
มีเพียงสองเรากับความรัก ที่งดงาม

หากเธอลองหลับตา
เราก็คงจะเห็นเหมือนกัน
วันที่เธอและฉัน ได้ผูกพัน
ช่างอ่อนหวาน

อยากให้เธอคลายเหงา
เธอจงลองฟังเสียงหัวใจ
วันที่เธอและฉันได้บอกรัก
สำหรับฉัน ช่างสวยงาม",slot_machine
คำสุดท้าย,/music/thailyric/5608,"รักเธอ รักเธอ ที่เคยพูดไป
คงไม่มีความหมายสักเท่าไร
ถ้าเธอไม่มั่นใจกับสิ่งที่ฉันได้ให้ไป
ก็คง ช้ำใจ

รักเธอ รักเธอ ที่เคยพูดไป
นานเท่าไรคำนั้นยังคงเดิม
หมดไปแล้วทั้งใจ
ไม่อาจรักเธอมากเกินเท่านี้
ไม่ขอมากมาย

เพียง คำพูดคำสุดท้าย
จะรักแค่เธอไปจนวันตาย
หมดสิ้นแล้ว ทุกสิ่ง
แต่ฉัน ไม่รู้ว่านานแค่ไหน
วันที่ฉันหมดลมหายใจ

แต่ใจฉันยังคง รักเธอ

รักเธอ รักเธอ ที่เคยพูดไป
นานเท่าไรคำนั้นยังคงเดิม
หมดไปแล้วทั้งใจ
ไม่อาจรักเธอมากเกินเท่านี้
ไม่ขอมาก

เพียง คำพูดคำสุดท้าย
จะรักแค่เธอไปจนวันตาย
หมดสิ้นแล้ว ทุกสิ่ง
แต่ฉัน ไม่รู้ว่านานแค่ไหน
วันที่ฉันหมดลมหายใจ

แต่ใจฉันยังคง รักเธอ

เพียง คำพูดคำสุดท้าย
จะรักแค่เธอไปจนวันตาย
หมดสิ้นแล้ว ทุกสิ่ง
แต่ฉัน ไม่รู้ว่านานแค่ไหน
วันที่ฉันหมดลมหายใจ

เธอคงรู้ มีใคร รักเธอ",slot_machine
ผ่าน,/music/thailyric/5611,"ไม่ว่าเจอสิ่งใด เนิ่นนานไปก็แปรเปลี่ยน สักวัน
เคยวิ่งตามความฝัน แต่บางครั้งก็ต้องหยุด แค่นั้น
เมื่อก่อนเคยรัก เคยผูกพัน
แต่มาวันนี้มันเป็นเพียง คนเคยได้รู้จักกัน
วันนี้มีสุขใจ แต่ต่อไปสักวันคง วุ่นวาย
หากความทุกข์ทนจางหาย อาจมองเห็นความสุข อีกครั้ง

จึงทำให้ฉัน ได้เข้า(มั่น)ใจ ทุกสิ่งเปลี่ยนผันสักเท่าไร
ฉันจะก้าวเดินต่อไป

อย่าลืมเรื่องราวที่ผ่านที่เคยได้เจ็บช้ำ
ยังมีเรื่องราวที่ดีที่เคยได้จดจำ
เก็บคืนและวันที่ผ่านที่เคยได้ปวดร้าว
ยังมีเรื่องราวที่ดีที่รอให้จดจำ

วันที่ทำผิดไป อาจเจอใครที่เข้าใจ สักคน
ในความมืดมนสับสน อาจเจอคนที่จริงใจ ไม่ยากนัก

จึงทำให้ฉัน ได้เข้า(มั่น)ใจ ทุกสิ่งเปลี่ยนผันสักเท่าไร
ฉันจะก้าวเดินต่อไป

ในความมืดมิดยังมีดวงดาว
และแดดยามเช้าพาให้เราก้าวไป

อย่าลืมเรื่องราวที่ผ่านที่เคยได้เจ็บช้ำ
ยังมีเรื่องราวที่ดีที่เคยได้จดจำ
เก็บคืนและวันที่ผ่านที่เคยได้ปวดร้าว
ยังมีเรื่องราวที่ดีที่รอให้จดจำ",slot_machine
สิ่งหนึ่งในใจ,/music/thailyric/5617,"จมอยู่ในความทุกข์ทน ลำพังในความมืดมน
เวลาผ่านพ้นและฉันคง สลายไป
ภาพความสุขนั้นฉันยังอาจจะไม่เข้าใจความหมาย

จมอยู่ในใจของคน ใจคนที่มันร้อนรน
เวลาผ่านพ้นทุกวันและคืนโหดร้าย
อาจจะเห็นแสงเลือนลางข้างใน ก็คงเป็นเพราะเธอ

แต่ยังคงเหลือสิ่งหนึ่งในใจ ภาพเธอนั้นห่างไกลสุดสายตา

อยากจะบอกว่ารักเพียงเธอ อยากจะบอกว่าเพ้อเพียงใด
อยากจะบอกว่ารักเพียงเธอ อยากจะบอกว่ารักเธอตลอดไป

จมอยู่ในใจของคน ใจคนที่มันร้อนรน
เวลาผ่านพ้นทุกวันและคืนโหดร้าย
อาจจะเห็นแสงเลือนลางข้างใน ก็คงเป็นเพราะเธอ

แต่ยังคงเหลือสิ่งหนึ่งในใจ ภาพเธอนั้นห่างไกลสุดสายตา

อยากจะบอกว่ารักเพียงเธอ อยากจะบอกว่าเพ้อเพียงใด
อยากจะบอกว่ารักเพียงเธอ อยากจะบอกว่ารักเธอตลอดไป

แต่ยังคงเหลือสิ่งหนึ่งในใจ ภาพเธอนั้นห่างไกลสุดสายตา

อยากจะบอกว่ารักเพียงเธอ อยากจะบอกว่าเพ้อเพียงใด
อยากจะบอกว่ารักเพียงเธอ อยากจะบอกว่ารักเธอตลอดไป",slot_machine
