song_name,href,lyric,artist
คิดถึงเธอคนนั้น,/music/thailyric/18117,"ยังคงโดดเดี่ยวเดียวดาย
ท่ามกลางผู้คนมากมาย
ทำไมตัวฉันมันยังรู้สึกเหงาเรื่อยไป

แม้ใครจะผ่านเข้ามา
แม้เขาคนนั้นแสนดี
แต่ฉันก็ยังไม่เคยไม่คิดจะลืมเธอ

เพราะว่าใจยังคงฝังลึก
และยังคงรักเพียงแค่เธอ
เพราะว่าเธอยังอยู่ในใจเสมอ
และไม่เคยเปลี่ยนผัน

ยังคงคิดถึงเธอคนนั้น
คนที่ฉันเคยผูกพัน
แม้วันคืนเนิ่นนานเพียงใด
แต่ฉันก็ยังเหมือนเดิม

ยังคงคิดถึงเธอเสมอ
แม้ไม่ได้พบไม่ได้เจอ
เธอยังคงตราตรึงทุกความทรงจำ
อยู่ในใจฉันทุกลมหายใจ

เป็นเพราะว่าใจยังคงฝังลึก
และยังคงรักเพียงแค่เธอ
เพราะว่าเธอยังอยู่ในใจเสมอ
และไม่เคยเปลี่ยนผัน

ยังคงคิดถึงเธอคนนั้น
คนที่ฉันเคยผูกพัน
แม้วันคืนเนิ่นนานเพียงใด
แต่ฉันก็ยังเหมือนเดิม

ยังคงคิดถึงเธอเสมอ
แม้ไม่ได้พบไม่ได้เจอ
เธอยังคงตราตรึงทุกความทรงจำ
อยู่ในใจฉันทุกลมหายใจ

แม้วันคืนเนิ่นนานเพียงใด
แต่ฉันก็ยังเหมือนเดิม

ยังคงคิดถึงเธอเสมอ
แม้ไม่ได้พบไม่ได้เจอ
เธอยังคงตราตรึงทุกความทรงจำ
อยู่ในใจฉันทุกลมหายใจ

เธอยังคงตราตรึงทุกความทรงจำ
อยู่ในใจฉัน ทุกลมหายใจ",sticker
แค่ทรมาน,/music/thailyric/17836,"คงหมดเวลาแล้ว คงจบจริงๆ แล้ว
รักที่เคยมี เธอกลับทิ้งมัน
คงไม่มีเธอแล้ว คงไม่มีเราแล้ว
คงไม่มีแล้วทุกสิ่งเมื่อเธอทิ้งมันไป

มันเป็นเพียงละครสั้นๆ
ที่เธอนั้นสร้างมันขึ้นมา

จะทิ้งก็ทิ้งไป ไม่ต้องเป็นห่วงฉัน
ไม่ต้องมาถามว่าฉันอยู่ได้ไหม
ก็พร้อมรับความจริง ที่เธอต้องทิ้งไป
ไม่ต้องห่วงฉัน ฉันคงไม่ตาย

อย่างน้อยแค่ทรมาน

ต้องอยู่คนเดียวแล้ว ต้องเดินคนเดียวแล้ว
เหงาก็ช่างมัน ต้องฝืนทำใจ
ไม่อยากจะยื้อแล้ว ไม่อยากจะรั้งแล้ว
อ้อนวอนให้ตาย ในเมื่อเธอจะไป
มันเป็นเพียงละครสั้นๆ ที่เธอนั้นสร้างมันขึ้นมา

จะทิ้งก็ทิ้งไป ไม่ต้องเป็นห่วงฉัน
ไม่ต้องมาถามว่าฉันอยู่ได้ไหม
ก็พร้อมรับความจริง ที่เธอต้องทิ้งไป
ไม่ต้องห่วงฉัน ฉันคงไม่ตาย อย่างน้อยแค่ทรมาน

จะทิ้งก็ทิ้งไป ไม่ต้องเป็นห่วงฉัน
ไม่ต้องมาถามว่าฉันอยู่ได้ไหม
ก็พร้อมรับความจริง ที่เธอต้องทิ้งไป
ไม่ต้องห่วงฉัน ฉันคงไม่ตาย

จะทิ้งก็ทิ้งไป ไม่ต้องเป็นห่วงฉัน
ไม่ต้องมาถามว่าฉันอยู่ได้ไหม
ก็พร้อมรับความจริง ที่เธอต้องทิ้งไป
ไม่ต้องห่วงฉัน ฉันคงไม่ตาย อย่างน้อยแค่ทรมาน",sticker
ท้อ,/music/thailyric/21868,"ท้อได้ไม่รู้กี่ครั้ง แต่กูถอยไม่ได้สักหน
เพราะกูเกิดมาจน หากินบนความอดทน
ที่คนมั่งมีไม่เข้าใจ ไอ้คำว่าอดตาย

ไม่มีวันใดที่ดวงอาทิตย์จะส่องแสงในยามค่ำคืน
หลับลงทีไรก็ต้องตื่นมา เป็นธรรมดาของชีวิต ถูกลิขิตไว้

ร้อนไม่นานก็ฝน ลำบากลำบนอดทนอีกสักนิด
แล้วค่อยคิดจะก้าวต่อไป หนทางยาวไกล ต้องมีจุดหมาย

ไม่เคยแคร์ไม่สนว่าคนเขาจะมอง
หรือโดนเหยียดยามก็ตามแต่ใจเขา
ร้องไห้ไม่นานก็ลุกขึ้นมาได้เหมือนเก่า
ทำอย่างเดิมตัวเรามันมีเท่านี้

ท้อได้ไม่รู้กี่ครั้ง แต่กูถอยไม่ได้สักหน
เพราะกูเกิดมาจน หากินบนความอดทน
ที่คนมั่งมีไม่เข้าใจ ไอ้คำว่าอดตาย
ความหมายมันเป็นอย่างไร

ไม่มีแรงแต่ยังต้องสู้ เพราะว่ากูไม่ใช่เด็กน้อย
ที่คอยให้พ่อแม่มาอุ้มเดิน
เส้นทางชนชั้นแรงงานที่เผชิญ
ทางที่เดินต้องเดิมพันด้วยชีวิต แต่กูไม่คิดที่จะกลัว

ไม่เคยน้อยเนื้อต่ำใจ ชีวิตที่ต้องใช้แค่เพียงเรี่ยวแรง
ค่าน้ำค่าไฟค่าข้าวมันก็แพง แต่แม่งค่าแรงมันแสนจะถูก มันไม่พอใช้

ยิ้มให้ความอ่อนแอ และไม่ยอมแพ้ไอ้คำว่าขัดสน
สู้ดิ้นรนจนแทบขาดใจ ก็เพื่อวันใหม่ ที่ดีกว่านี้

ไม่เคยแคร์ไม่สนว่าคนเขาจะมอง
หรือโดนเหยียดยามก็ตามแต่ใจเขา
ร้องไห้ไม่นานก็ลุกขึ้นมาได้เหมือนเก่า
ทำอย่างเดิมตัวเรามันมีเท่านี้

ท้อได้ไม่รู้กี่ครั้ง แต่กูถอยไม่ได้สักหน
เพราะกูเกิดมาจน หากินบนความอดทน
ที่คนมั่งมีไม่เข้าใจ ไอ้คำว่าอดตาย
ความหมายมันเป็นอย่างไร

ไม่มีแรงแต่ยังต้องสู้ เพราะว่ากูไม่ใช่เด็กน้อย
ที่คอยให้พ่อแม่มาอุ้มเดิน
เส้นทางชนชั้นแรงงานที่เผชิญ
ทางที่เดินต้องเดิมพันด้วยชีวิต แต่กูไม่คิดที่จะกลัว

(กูไม่กลัว กูไม่กลัว)

ท้อได้ไม่รู้กี่ครั้ง แต่กูถอยไม่ได้สักหน
เพราะกูเกิดมาจน หากินบนความอดทน
ที่คนมั่งมีไม่เข้าใจ ไอ้คำว่าอดตาย
ความหมายมันเป็นอย่างไร

ไม่มีแรงแต่ยังต้องสู้ เพราะว่ากูไม่ใช่เด็กน้อย
ที่คอยให้พ่อแม่มาอุ้มเดิน
เส้นทางชนชั้นแรงงานที่เผชิญ
ทางที่เดินต้องเดิมพันด้วยชีวิต

ท้อได้ไม่รู้กี่ครั้ง แต่กูถอยไม่ได้สักหน
เพราะกูเกิดมาจน หากินบนความอดทน
ที่คนมั่งมีไม่เข้าใจ ไอ้คำว่าอดตาย
ความหมายมันเป็นอย่างไร

ไม่มีแรงแต่ยังต้องสู้ เพราะว่ากูไม่ใช่เด็กน้อย
ที่คอยให้พ่อแม่มาอุ้มเดิน
เส้นทางชนชั้นแรงงานที่เผชิญ
ทางที่เดินต้องเดิมพันด้วยชีวิต แต่กูไม่คิดที่จะกลัว",sticker
ไปเถอะคนสวยเดี๋ยวคนรวยรอนาน,/music/thailyric/16325,"ไปเถอะคนสวย เดี๋ยวคนรวยเขาจะรอนาน

เธอบอกเธอเสียใจกับสิ่งที่เธอนั้นทำลงไป
เธอบอกเธอพลาดไป ยกโทษให้เธอเถิดหนา
แค่เห็นเขาหน้าตาดีแค่เพียงเท่านี้เธอตกหลุมพราง
ตอนนี้เธอตาสว่าง อภัยให้เธอได้ไหม

เธอคงลืมไปแล้ว ว่าฉันเจ็บ
เธอคงลืมไปแล้ว ว่าฉันเคยร้องให้
น้ำตาที่ไหลในวันก่อน มันยังสอนให้เราได้จำ
และยังตอกย้ำว่าฉันนั้นเคยเสียใจ

ไปเถอะคนสวย เดี๋ยวคนรวยเขาจะรอนาน
ไปเถอะตาหวาน เขาคงทำให้เธอสมใจ
ตัวฉันคนนี้คงไม่มีอะไรไปเทียบกับเขา
จบกันแค่นี้เถิดสองเรา เชิญไปเอากับเขาให้สาแก่ใจ

ก็รู้ตัวดีว่าฉันมันจนมันคนไม่มีอะไร
มันคงเทียบไม่ได้กับคนในใจของเธอหรอกหนา
ปล่อยฉันเอาไว้ตรงนี้ ตรงที่ๆ เธอเคยบอกลา
ไม่ต้องมาปาดน้ำตายังไงๆ ฉันก็ไม่เอา

เธอคงลืมไปแล้ว ว่าฉันเจ็บ
เธอคงลืมไปแล้ว ว่าฉันเคยร้องให้
น้ำตาที่ไหลในวันก่อน มันยังสอนให้เราได้จำ
และยังตอกย้ำว่าฉันนั้นเคยเสียใจ

ไปเถอะคนสวย เดี๋ยวคนรวยเขาจะรอนาน
ไปเถอะตาหวาน เขาคงทำให้เธอสมใจ
ตัวฉันคนนี้คงไม่มีอะไรไปเทียบกับเขา
จบกันแค่นี้เถิดสองเรา เชิญไปเอากับเขาให้สาแก่ใจ

เธอคงลืมไปแล้ว ว่าฉันเจ็บ
เธอคงลืมไปแล้ว ว่าฉันเคยร้องให้
น้ำตาที่ไหลในวันก่อน มันยังสอนให้เราได้จำ
และยังตอกย้ำว่าฉันนั้นเคยเสียใจ

ไปเถอะคนสวย เดี๋ยวคนรวยเขาจะรอนาน
ไปเถอะตาหวาน เขาคงทำให้เธอสมใจ
ตัวฉันคนนี้คงไม่มีอะไรไปเทียบกับเขา
จบกันแค่นี้เถิดสองเรา

ไปเถอะคนสวย เดี๋ยวคนรวยเขาจะรอนาน
ไปเถอะตาหวาน เขาคงทำให้เธอสมใจ
ตัวฉันคนนี้คงไม่มีอะไรไปเทียบกับเขา
จบกันแค่นี้เถิดสองเรา เชิญไปเอากับเขาให้สาแก่ใจ",sticker
เลิก,/music/thailyric/15037,"ถ้าคบกันแล้วต่างคนต่างทน
ต่างคนต่างไม่เข้าใจ
ก็ควรจบๆ กันไปซะยังดีกว่า
เห็นการกระทำเธอไม่เข้าที
ถ้าอยู่อย่างนี้ใครจะทนได้
คบไปก็ยิ่งเลวร้าย
เอาเป็นว่าเลิกกันได้ม้าย ฉันไม่อยากทน

คบกันมามันทำให้เราได้รู้
ว่าชีวิตคู่ไม่มีอะไรแน่นอน
แรกคบก็หวาน อะไรก็ได้ทั้งนั้น
แต่ยิ่งนานวัน เธอนั้นยิ่งดูเปลี่ยนไป

ก็คำพูดเธอบางคำมันแรงมันแทงใจดำ
มันทำให้รู้ว่ากำลังเธอนอกใจ
ถามตรงๆ ให้ตอบตรงๆ ให้บอกตรงๆ
ว่าเราควรเลิกกันหม้าย

ถ้าคบกันแล้วต่างคนต่างทน
ต่างคนต่างไม่เข้าใจ
ก็ควรจบๆ กันไปซะยังดีกว่า
เห็นการกระทำเธอไม่เข้าที
ถ้าอยู่อย่างนี้ใครจะทนได้
คบไปก็ยิ่งเลวร้าย
เอาเป็นว่าเลิกกันได้ม้าย ฉันไม่อยากทน

เจ็บปวดทุกครั้งที่รู้ว่าเธอนั้นนอกใจ
แกล้งทำไม่รูแกล้งทำไม่เห็นทำเป็นไม่สนใจ
ก็คิดสักวันเธอนั้นคงต้องจะเปลี่ยนนิสัย
แต่ทีไหนได้ สันดานเจ้าชู้เธอไม่สินลาย
ก็เลิกกันไป (ก็เลิกกันไป) ถ้าคบกันแล้ว
ต่างคนต่างทนก็ควรจะจบกันไป
จะยื้อจะรั้งไปเพื่ออะไรหมดสิ้นเยื่อใย
เธอกับฉันเราคงจบกันแค่นี้
พอกันที ฉันไม่อยากทน กับคนอย่างเธอ

ก็คำพูดเธอบางคำมันแรงมันแทงใจดำ
มันทำให้รู้ว่ากำลังเธอนอกใจ
ถามตรงๆ ให้ตอบตรงๆ ให้บอกตรงๆ
ว่าเราควรเลิกกันหม้าย

ถ้าคบกันแล้วต่างคนต่างทน
ต่างคนต่างไม่เข้าใจ
ก็ควรจบๆ กันไปซะยังดีกว่า
เห็นการกระทำเธอไม่เข้าที
ถ้าอยู่อย่างนี้ใครจะทนได้
คบไปก็ยิ่งเลวร้าย
เอาเป็นว่าเลิกกันได้ม้าย

ถ้าคบกันแล้วต่างคนต่างทน
ต่างคนต่างไม่เข้าใจ
ก็ควรจบๆ กันไปซะยังดีกว่า
เห็นการกระทำเธอไม่เข้าที
ถ้าอยู่อย่างนี้ใครจะทนได้
คบไปก็ยิ่งเลวร้าย
เอาเป็นว่าเลิกกันได้ม้าย ฉันไม่อยากทน

คบไปก็ยิ่งเลวร้าย
เอาเป็นว่าเลิกกันได้ม้าย ฉันไม่อยากทน",sticker
ว่าพรื่อ,/music/thailyric/20437,"อยู่คนเดียวมานานไม่เคยมีใคร​
ที่เข้าทำให้หัวใจ ฉันต้องคิดถึงเขาทุกวัน​
วันเกิดกี่ปีมีแต่เพื่อนเท่านั้น​
ไปไหนมาไหนไม่สำคัญ บางทีคนเดียวก็จะไป

หน้าตาอย่างเราใครที่เอาทำพันธุ์
คนโสดที่เหงาอยู่เหมือนกันจะพอมีอยู่มั่งม้าย​
ได้โปรดเถอะฟ้าไม่เคยจะขออะไร​
อยากมีความรักที่เหมือนใคร ต้องทำบุญอีกกี่วัด​

จนได้มาพบกับเธอคนดี ตัวพี่แสนจะถูกกะใจ​
มองดูตรงไหน ก็ใช่​ ก็ใช่ไปซะหมด​
จากใจคนเหงาที่ไม่มีใคร อยากบอกน้องว่าชอบนั่นไง
เชื่อใจพี่ได้พี่บ่าวคนนี้ไม่ขี้หก

อยากมีแฟนเป็นน้องสักคนได้หม้าย​
พี่จะไม่ทำให้เสียใจ ถ้าเธอตกลงฉันโอเค​
คำว่ารักพี่ไม่เคยแหลงกับใคร​
ช่วยฟังสักนิดนึงได้หม้าย​ พี่บ่าวเป็นคนไม่โลเล

จะพาไปเที่ยวดูหนังที่ไหนทำอะไรขอให้บอก​
รับรองได้เลยเป็นแฟนกับพี่นั้นจริงใจ ไม่เคยคิดหลอก​
จะให้สัญญาหรือสาบาน ถ้าหากว่าน้องนั้นต้องการ​
แล้วพี่จะยอมตามใจเธอทุกอย่าง​ แล้วเธอนั้นว่าพรื่อ

จนได้มาพบกับเธอคนดี ตัวพี่แสนจะถูกกะใจ​
มองดูตรงไหน ก็ใช่​ ก็ใช่ไปซะหมด​
จากใจคนเหงาที่ไม่มีใคร อยากบอกน้องว่าชอบนั่นไง
เชื่อใจพี่ได้พี่บ่าวคนนี้ไม่ขี้หก

อยากมีแฟนเป็นน้องสักคนได้หม้าย​
พี่จะไม่ทำให้เสียใจ ถ้าเธอตกลงฉันโอเค​
คำว่ารักพี่ไม่เคยแหลงกับใคร​
ช่วยฟังสักนิดนึงได้หม้าย​ พี่บ่าวเป็นคนไม่โลเล

จะพาไปเที่ยวดูหนังที่ไหนทำอะไรขอให้บอก​
รับรองได้เลยเป็นแฟนกับพี่นั้นจริงใจ ไม่เคยคิดหลอก​
จะให้สัญญาหรือสาบาน ถ้าหากว่าน้องนั้นต้องการ​
แล้วพี่จะยอมตามใจเธอทุกอย่าง​

อยากมีแฟนเป็นน้องสักคนได้หม้าย​
พี่จะไม่ทำให้เสียใจ ถ้าเธอตกลงฉันโอเค​
คำว่ารักพี่ไม่เคยแหลงกับใคร​
ช่วยฟังสักนิดนึงได้หม้าย​ พี่บ่าวเป็นคนไม่โลเล

จะพาไปเที่ยวดูหนังที่ไหนทำอะไรขอให้บอก​
รับรองได้เลยเป็นแฟนกับพี่นั้นจริงใจ ไม่เคยคิดหลอก​
จะให้สัญญาหรือสาบาน ถ้าหากว่าน้องนั้นต้องการ​
แล้วพี่จะยอมตามใจเธอทุกอย่าง​ แล้วเธอนั้นว่าพรื่อ

แล้วเธอนั้นว่าพรื่อ",sticker
สัจธรรมความรัก,/music/thailyric/19281,"จากความรักที่ดี เปลี่ยนเป็นสีมืดดำ
ตั้งแต่วันที่เธอ ได้มาเจอกับมัน
มีอะไรที่มากกว่านั้น จนตัวของฉันได้เห็นกับตา

ทุ่มเทความรักจริง ให้เธอกินทั้งใจ
มันไม่อิ่มหรือไง จึงแอบไปหาใคร
ใจเธอทำมันด้วยอะไร จึงกล้ามาทำร้ายกันขนาดนี้

ชีวิตที่ฉันเคยวาดไว้ อนาคตของเราทั้งสองคน
คงเหลือแค่เพียงฝุ่นผง ก็คงต้องทำใจ
หากตัวเธอนั้นไปกับมัน ฉันก็คงไม่ทนให้เสียเวลา

สัจธรรมชีวิต ความรักนั้นมัน
ไม่มีอะไรที่มันแน่นอนจงเผื่อใจไว้ก่อน
หยุดมองความรักที่เจอมา
เช็ดน้ำตา อย่าเสียเวลาโนโน

อกหักชอกช้ำได้เรียนรู้ มองและดูให้ดี
ถึงใจข้างใน ใครที่รักกันจริง
อดีตผิดพลั้งของชีวิต คิดว่าเป็นประสบการณ์
ให้ตัวฉัน ได้ไปเจอกับรักแท้

ชีวิตที่ฉันเคยวาดไว้ อนาคตของเราทั้งสองคน
คงเหลือแค่เพียงฝุ่นผง ก็คงต้องทำใจ
หากตัวเธอนั้นไปกับมัน ฉันก็คงไม่ทนให้เสียเวลา

สัจธรรมชีวิต ความรักนั้นมัน
ไม่มีอะไรที่มันแน่นอนจงเผื่อใจไว้ก่อน
หยุดมองความรักที่เจอมา
เช็ดน้ำตา อย่าเสียเวลาโนโน

อกหักชอกช้ำได้เรียนรู้ มองและดูให้ดี
ถึงใจข้างใน ใครที่รักกันจริง
อดีตผิดพลั้งของชีวิต คิดว่าเป็นประสบการณ์
ให้ตัวฉัน ได้ไปเจอกับรักแท้

อกหักชอกช้ำได้เรียนรู้ มองและดูให้ดี
ถึงใจข้างใน ใครที่รักกันจริง
อดีตผิดพลั้งของชีวิต คิดว่าเป็นประสบการณ์
ให้ตัวฉัน ได้ไปเจอกับรักแท้

สัจธรรมความรัก",sticker
หล่อกินไม่ได้,/music/thailyric/13743,"ถึงแม้ว่าฉันมันดูไม่เท่ไม่เร้าใจ
แต่ข้างในมีเกินมากกว่านั้น
เกินกว่าคนที่เธอใฝ่ฝัน
หน้าตาบ้านๆ มันอาจดูไม่ค่อยดี
เธอเลยมีใจให้กับเขาคนนั้น
มองข้ามกัน เหตุผลคือฉันไม่หล่อ

เธอชอบซุปเปอร์สตาร์
เธอชอบคนที่หน้าตาดี
เธอมองข้ามความรักของฉันคนนี้
ที่มีให้เธอยิ่งกว่าหัวใจ

ถึงฉันไม่หล่อ แต่ก็รักจริง
ไม่ฟันแล้วทิ้งให้เธอต้องเสียใจ
เพื่อเธอฉันยอมได้ แม้ฉันต้องเสียน้ำตา
อยากบอกความหล่อมันกินไม่ได้
ก็แค่ร่างกายหน้าตาที่ดูดี
อยากให้เธอมองให้ลึกกว่านี้
เธอจะเห็นรักที่ฉันมี ไม่จำเป็นต้องพึ่งหน้าตา

เธอชอบซุปเปอร์สตาร์
เธอชอบคนที่หน้าตาดี
เธอมองข้ามความรักของฉันคนนี้
ที่มีให้เธอยิ่งกว่าหัวใจ

ถึงฉันไม่หล่อ แต่ก็รักจริง
ไม่ฟันแล้วทิ้งให้เธอต้องเสียใจ
เพื่อเธอฉันยอมได้ แม้ฉันต้องเสียน้ำตา
อยากบอกความหล่อมันกินไม่ได้
ก็แค่ร่างกายหน้าตาที่ดูดี
อยากให้เธอมองให้ลึกกว่านี้
เธอจะเห็นรักที่ฉันมี ไม่จำเป็นต้องพึ่งหน้าตา

แม้เขาคนนั้นจะเป็นคนที่ใจเธอปรารถนา
ส่วนฉันคนนี้ เป็นแค่เพียงฝุ่นผงที่ลอยผ่านตา
แต่อยากบอกให้เธอรู้ว่า ให้เธอรับรู้ไว้ว่า
รักที่ฉันนั้นมี มากกว่าใครคนนั้น

ถึงฉันไม่หล่อ แต่ก็รักจริง
ไม่ฟันแล้วทิ้งให้เธอต้องเสียใจ
เพื่อเธอฉันยอมได้ แม้ฉันต้องเสียน้ำตา
อยากบอกความหล่อมันกินไม่ได้
ก็แค่ร่างกายหน้าตาที่ดูดี
อยากให้เธอมองให้ลึกกว่านี้
เธอจะเห็นรักที่ฉันมี ไม่จำเป็นต้องพึ่งหน้าตา",sticker
เหตุการณ์ไม่ปกติ,/music/thailyric/17870,"เธอบอกรักฉันวันนั้นเป็นเรื่องเป็นราว
เราสองรักกันวันนั้นข่าวดังจะตาย
ใครๆ ก็รู้ว่าเรานั้นคู่กันแล้ว
มันคงไม่แคล้วก็เรารักกันหมดใจ

แต่มาวันนี้ท่าทีเธอดูเปลี่ยนไป
เธอเล่นเฟซบุ๊กแชทไลน์กับใครต่อใคร
ฉันนั่งข้างๆ เธอกลับไม่สนใจ
ทำทีทำท่าเหมือนเธอกำลังสุขใจ

เหมือนว่าเธอนั้นมีอะไรปิดบังอยู่ข้างใน
แหละมาวันนี้ฉันได้รู้ว่าเธอนอกใจ

เหตุการณ์ตอนนี้ไม่ปกติซะแล้ว
เธอมาทิ้งฉันไปมีคนใหม่ซะแล้ว
เหตุการณ์ตอนนี้มันชุลมุนฉุกเฉิน
มันดูเจ็บปวดเหลือเกินเมื่อเห็นเธอเดินอยู่กับเขา

เหตุการณ์ตอนนี้ไม่ปกติซะแล้ว
เธอเป็นแฟนฉันแต่ดันไปควงอยู่กับใคร
ไม่เคยคาดคิดว่าเธอจะมาสวมเขา
ต้องกลายเป็นคนโง่เขลา เธอทิ้งให้เราต้องเจ็บช้ำ

แต่มาวันนี้ท่าทีเธอดูเปลี่ยนไป
เธอเล่นเฟซบุ๊กแชทไลน์กับใครต่อใคร
ฉันนั่งข้างๆ เธอกลับไม่สนใจ
ทำทีทำท่าเหมือนเธอกำลังสุขใจ

เหมือนว่าเธอนั้นมีอะไรปิดบังอยู่ข้างใน
แหละมาวันนี้ฉันได้รู้ว่าเธอนอกใจ

เหตุการณ์ตอนนี้ไม่ปกติซะแล้ว
เธอมาทิ้งฉันไปมีคนใหม่ซะแล้ว
เหตุการณ์ตอนนี้มันชุลมุนฉุกเฉิน
มันดูเจ็บปวดเหลือเกินเมื่อเห็นเธอเดินอยู่กับเขา

เหตุการณ์ตอนนี้ไม่ปกติซะแล้ว
เธอเป็นแฟนฉันแต่ดันไปควงอยู่กับใคร
ไม่เคยคาดคิดว่าเธอจะมาสวมเขา
ต้องกลายเป็นคนโง่เขลา เธอทิ้งให้เราต้องเจ็บช้ำ

โอ้แม่คนดี เธอไม่ดีต่อใจ
เธอไปหยบมีใครทั้งที่มีฉันอยู่
มาบอกว่ารักกันล่ะพันนั้นล่ะพันนู้
แต่ในใจมีใครอยู่มากมายอีกหลายคน

เพราะว่าเฟซบุ๊กเพราะว่าเล่นไลน์
เธอจึงใจง่ายเปลี่ยนไปตามกระแส
เธอไม่เคยนึกคิดเธอไม่เคยผันแล
ใจพี่บ่าวต้องเป็นแผลเจ็บปวดร้าวไปถึงข้างใน

ไม่นึกไม่ฝันว่าเธอนั้นจะมาเปลี่ยนไป
เพราะโลกออนไลน์ เธอจึงกลายเป็นคนหลายใจ

เหตุการณ์ตอนนี้ไม่ปกติซะแล้ว
เธอมาทิ้งฉันไปมีคนใหม่ซะแล้ว
เหตุการณ์ตอนนี้มันชุลมุนฉุกเฉิน
มันดูเจ็บปวดเหลือเกินเมื่อเห็นเธอเดินอยู่กับเขา

เหตุการณ์ตอนนี้ไม่ปกติซะแล้ว
เธอเป็นแฟนฉันแต่ดันไปควงอยู่กับใคร
ไม่เคยคาดคิดว่าเธอจะมาสวมเขา
ต้องกลายเป็นคนโง่เขลา เธอทิ้งให้เราต้องเจ็บช้ำ",sticker
เอาที่เธอบายใจ,/music/thailyric/14466,"ในเมื่อรักมันไม่เหลืออะไร
ในเมื่อใจเธอเริ่มเปลี่ยนผัน  คำว่าเราที่มีให้กัน
แต่เหลือเพียงฉันโดดเดี่ยวเดียวดาย
เมื่อคนมันอยากจะไป รั้งยังไงคงเอาไม่อยู่
เธอคงไม่อยากรับรู้ สิ่งที่ฉันทนอยู่เจ็บปวดเพียงใด

ก็คบกันมากันอยู่ดีๆ แต่เธอกลับมาหนีหน้าฉันไป
เธอกำลังเปลี่ยนไป เธอกำลังนอกใจ
เธอจะทิ้งฉันไปใช่ไหม

เอาที่เธอบายใจ เอาที่เธอคิดว่าดี
ในเมื่อฉันคนนี้ มันไม่มีความหมาย
คบกันไปก็ไรค่า ที่คบกันมาไม่สำคัญ
เธอคงลืมคืนวันที่เราเคยเคียงคู่
ในเมื่อคนมันจะไป ในเมื่อเธอนั้นเหม็ดใจ
จะเอาช้างมาฉุดมารั้งเธอก็ไปอยู่ดี
จะไม่ขวางเธอทิ้งฉันไว้ตรงนี้
ก็เชิญเธอเต็มที่ ไม่ต้องกลัวฉันจะเสียใจ

ก็คบกันมากันอยู่ดีๆ แต่เธอกลับมาหนีหน้าฉันไป
เธอกำลังเปลี่ยนไป เธอกำลังนอกใจ
เธอจะทิ้งฉันไปใช่ไหม

เอาที่เธอบายใจ เอาที่เธอคิดว่าดี
ในเมื่อฉันคนนี้ มันไม่มีความหมาย
คบกันไปก็ไรค่า ที่คบกันมาไม่สำคัญ
เธอคงลืมคืนวันที่เราเคยเคียงคู่
ในเมื่อคนมันจะไป ในเมื่อเธอนั้นเหม็ดใจ
จะเอาช้างมาฉุดมารั้งเธอก็ไปอยู่ดี
จะไม่ขวางเธอทิ้งฉันไว้ตรงนี้
ก็เชิญเธอเต็มที่ ไม่ต้องกลัวฉันจะเสียใจ

เอาที่เธอบายใจ เอาที่เธอคิดว่าดี
ในเมื่อฉันคนนี้ มันไม่มีความหมาย
คบกันไปก็ไรค่า ที่คบกันมาไม่สำคัญ
เธอคงลืมคืนวันที่เราเคยเคียงคู่
ในเมื่อคนมันจะไป ในเมื่อเธอนั้นเหม็ดใจ
จะเอาช้างมาฉุดมารั้งเธอก็ไปอยู่ดี
จะไม่ขวางเธอทิ้งฉันไว้ตรงนี้
ก็เชิญเธอเต็มที่ ไม่ต้องกลัวฉันจะเสียใจ

เธอไม่ต้องกลัวฉันจะเสียใจ",sticker
