song_name,href,lyric,artist
กล้องวงจรปิด,/music/thailyric/17784,"สังคมออนไลน์ซับซ้อน ใจคนกลับซับซ้อนกว่า
ตัวอย่างเธอที่คบกันมา ต่อหน้าต่อตาทำเป็นรักกันดี
แต่พอเธอลับหลัง กลับทำเรื่องบัดสี
ฉันรักเธอมากออกอย่างนี้ ยังไปมีคนอื่นลงคอ

ที่เธอมีฉันคนเดียวไม่พอ มีกล้องวงจรปิด ถ่ายไว้

อย่าคิดว่าไม่มีใครเห็น ที่เธอนอกใจกัน
ถึงพ้นสายตาของฉัน แต่เวรกรรมบันทึกภาพไว้
เธอมีอะไรกับเขา คิดเห็นภาพฉาวแล้วช่างร้าวใจ
และที่เธอต้องเสียฉันไป คือกรรมตามสนองเธอ

หัวใจคนช่างซับซ้อน ลึกกว่ามหาสมุทร
กิเลสตัณหาไม่มีสิ้นสุด ขุดเท่าไรก็ยิ่งได้เจอ
ตัวอย่างเช่นเธอของฉัน ที่หักหลังกันทีเผลอ
ฉันซื่อสัตย์แต่เธอแต่เธอ ยังไปมีคนอื่นลงคอ

ที่เธอมีฉันคนเดียวไม่พอ มีกล้องวงจรปิด ถ่ายไว้

อย่าคิดว่าไม่มีใครเห็น ที่เธอนอกใจกัน
ถึงพ้นสายตาของฉัน แต่เวรกรรมบันทึกภาพไว้
เธอมีอะไรกับเขา คิดเห็นภาพฉาวแล้วช่างร้าวใจ
และที่เธอต้องเสียฉันไป คือกรรมตามสนองเธอ

อย่าคิดว่าไม่มีใครเห็น ที่เธอนอกใจกัน
ถึงพ้นสายตาของฉัน แต่เวรกรรมบันทึกภาพไว้
เธอมีอะไรกับเขา คิดเห็นภาพฉาวแล้วช่างร้าวใจ
และที่เธอต้องเสียฉันไป คือกรรมตามสนองเธอ

อย่าคิดว่าไม่มีใครเห็น ที่เธอนอกใจกัน
ถึงพ้นสายตาของฉัน แต่เวรกรรมบันทึกภาพไว้
เธอมีอะไรกับเขา คิดเห็นภาพฉาวแล้วช่างร้าวใจ
และที่เธอต้องเสียฉันไป คือกรรมตามสนองเธอ",takkatan_chollada
คนรักนอกสมรส,/music/thailyric/17874,"ถึงตอนที่เธอเลือกแต่ง เธอก็เลือกแต่งกับเขา
จัดงานใหญ่โตไม่เบา เชิดชูเขาเป็นภรรยา
ส่วนฉันที่เธอเลือกเก็บ ถูกทิ้งให้อยู่กับน้ำตา
เฟซบุ๊กไลฟ์งานแต่งขึ้นมา ฉันเกือบจะฆ่าตัวตาย

ก็รักเธอจนหมดใจ ผ่านจุดจะเลี้ยวกลับไหว
ถูกรักเธอมัดติดไว้กับต้นงิ้วที่หนามยาวๆ

คนรักนอกสมรส มีประโยชน์แค่ยามเธอเหงา
ตอนเธอมีคนนั้น คนอย่างฉัน เธอไม่เอา
คนรักนอกสมรส ถูกเธอซ่อนไว้ในห้องแอบเช่า
ล่ามฉันไว้บำบัดความเหงา ด้วยคำว่ารักมักง่ายของเธอ

ปลดปล่อยฉันไปเสียเถอะ เมื่อเธอเลือกอยู่กับเขา
ปล่อยฉันออกจากหลืบเงา คำสัญญาหลอกลวงเพ้อเจ้อ
ไม่อยากอยู่เป็นคอลเล็กชั่น เมียน้อยเมียเก็บของเธอ
ไม่อยากตื่นทุกวันมาเจอ เขากับเธอกระทืบหัวใจ

ก็รักเธอจนหมดใจ ผ่านจุดจะเลี้ยวกลับไหว
ถูกรักเธอมัดติดไว้กับต้นงิ้วที่หนามยาวๆ

คนรักนอกสมรส มีประโยชน์แค่ยามเธอเหงา
ตอนเธอมีคนนั้น คนอย่างฉัน เธอไม่เอา
คนรักนอกสมรส ถูกเธอซ่อนไว้ในห้องแอบเช่า
ล่ามฉันไว้บำบัดความเหงา ด้วยคำว่ารักมักง่ายของเธอ

คนรักนอกสมรส

คนรักนอกสมรส มีประโยชน์แค่ยามเธอเหงา
ตอนเธอมีคนนั้น คนอย่างฉัน เธอไม่เอา
คนรักนอกสมรส ถูกเธอซ่อนไว้ในห้องแอบเช่า
ล่ามฉันไว้บำบัดความเหงา ด้วยคำว่ารักมักง่ายของเธอ",takkatan_chollada
ยอมให้เธอนอกใจ,/music/thailyric/17819,"นั่งบ่นงึมงำกับคำถามเดิม
นั่งกินน้ำตากับคำหลอกลวง
ที่เธอพามาหาฉัน มาบอกกัน ว่ายังรัก
หลังจากที่เธอ ไปมีสุขกับเขา

แล้วก็กอดดังเคยกอดเธอ แนบใจไม่กล้าผลักไส
เพราะว่ายังรัก กอดรักไว้บนรอยร้าว
ทุกความเหงา ได้จากเธอ
ทุกรอยจูบ รับเศษจากคนนั้น

ยอม ยอมให้เธอนอกใจ เพื่อจะไม่เสียเธอไป
แค่อย่าทิ้งฉันไป ยินยอมให้เธอหลอกกัน
ให้ฉันเป็นควายกินน้ำตากับหญ้าก็ได้
ขอเพียงเธออยู่กับฉัน
ถึงอยู่เพราะเธอสงสาร ได้จากเธอแค่นั้น ก็ยอม

บางวันคนนั้นส่งไลน์มาให้ฉันดู
ว่าเธอสองคนกำลังมีสุขด้วยกันแค่ไหน
ฉันเก็บไว้ ไม่บอกเธอ
เพราะกลัวว่าเธอ จะถึงจุดที่ทิ้งกัน

ยอม ยอมให้เธอนอกใจ เพื่อจะไม่เสียเธอไป
แค่อย่าทิ้งฉันไป ยินยอมให้เธอหลอกกัน
ให้ฉันเป็นควายกินน้ำตากับหญ้าก็ได้
ขอเพียงเธออยู่กับฉัน
ถึงอยู่เพราะเธอสงสาร ได้จากเธอแค่นั้น ก็ยอม

ยอม ยอมให้เธอนอกใจ เพื่อจะไม่เสียเธอไป
แค่อย่าทิ้งฉันไป ยินยอมให้เธอหลอกกัน
ให้ฉันเป็นควายกินน้ำตากับหญ้าก็ได้
ขอเพียงเธออยู่กับฉัน
ถึงอยู่เพราะเธอสงสาร ได้จากเธอแค่นั้น ก็ยอม

ให้ฉันเป็นควายกินน้ำตากับหญ้าก็ได้
ขอเพียงเธออยู่กับฉัน
ถึงอยู่เพราะเธอสงสาร ได้จากเธอแค่นั้น
ฉันก็ยอม",takkatan_chollada
สองรัฐบาล,/music/thailyric/17961,"ตื่นทุกเช้าทุกเช้า ทุกเช้า ที่ห้องเก่าๆ เหงาๆ
เตียงที่นอนก็มีแค่เรา มองซ้ายมองขวาไม่เคยมีใคร
แปรงสีฟันก็มีอยู่อันเดียว ก็เพราะไม่รู้จะซื้อเผื่อใคร
เวฟข้าวกล่อง ผัดกะเพราใส่ถั่วฝักยาว แล้วไปทำงาน

ชีวิตมันก็มาอย่างนี้ มันก็เป็นอย่างนี้
มันก็ไปอย่างนี้ อยู่ทุกวัน
อยู่ไหนกันนะใครคนนั้น
หรือเป็นแค่ความฝัน ตลอดไป

ฉันเฝ้าจัดเตรียมหัวใจ
มีชีวิตอยู่เพื่อรอเธอ เธอที่ไม่รู้อยู่ไหน
ดาวดวงนี้มีคนพันล้าน
สบตาคนเดินผ่าน ผ่านมาผ่านไป
เผื่อจะเป็นเธอที่ใช่
ผ่านมาสองรัฐบาล
ความรักของฉันก็ยังไม่เคยได้ใช้

กลับถึงห้องค่ำนี้ ค่ำนี้ นอนจ้องทีวีเหมือนเก่า
เข้าเฟซบุ๊กลองโพสต์ว่าเหงา ก็ได้ไลก์มาไม่ถึงสิบไลก์
ไลน์ไปชวนเพื่อนมันก็ไม่มา มันไปกับแฟนมันไม่สนใจ
แค่เหงาอยู่แบบเมื่อวาน แล้วก็วันนี้ พรุ่งนี้ก็เหงา

ชีวิตมันก็มาอย่างนี้ มันก็เป็นอย่างนี้
มันก็ไปอย่างนี้ อยู่ทุกวัน
อยู่ไหนกันนะใครคนนั้น
หรือเป็นแค่ความฝัน ตลอดไป

ฉันเฝ้าจัดเตรียมหัวใจ
มีชีวิตอยู่เพื่อรอเธอ เธอที่ไม่รู้อยู่ไหน
ดาวดวงนี้มีคนพันล้าน
สบตาคนเดินผ่าน ผ่านมาผ่านไป
เผื่อจะเป็นเธอที่ใช่
ผ่านมาสองรัฐบาล
ความรักของฉันก็ยังไม่เคยได้ใช้

ฉันเฝ้าจัดเตรียมหัวใจ
มีชีวิตอยู่เพื่อรอเธอ เธอที่ไม่รู้อยู่ไหน
ดาวดวงนี้มีคนพันล้าน
สบตาคนเดินผ่าน ผ่านมาผ่านไป
เผื่อจะเป็นเธอที่ใช่
ผ่านมาสองรัฐบาล
ความรักของฉันก็ยังไม่เคยได้ใช้",takkatan_chollada
สักวันฉันจะตาย,/music/thailyric/18095,"ชีวิตเป็นเรื่องชั่วคราว
ชั่วนิรันดร์เป็นเรื่องเหลวไหล
แค่เพียงผ่านมาแล้วไป
ไม่มีอะไรยั่งยืน

กลายเป็นเศษผงฝุ่น
กลางจักรวาลกว้างใหญ่
พายุโชคชะตาพัดไกว
ก็กลายเป็นไม่มี

สักวันฉันจะตาย จะหยุดหายใจ
ไปนอนดมรากมะม่วง พักยาวสักที

เมื่อวันนี้ยังหายใจ
จะเหนื่อยแค่ไหนยังตื่นขึ้นมายิ้มสู้
ให้สมศักดิ์ศรี

สักวันฉันจะตาย
สักวันฉันจะตาย จำคำฉันไว้ดีดี

วันที่ฉันหายไปไม่มีฉันอยู่บนโลกใบนี้
ให้จำสิ่งที่ดีดี ที่ฉันทำ ก่อนฉันตาย

บอกรักมากแค่ไหน
เธอก็ให้แค่ดอกไม้จันทน์
เมื่อไฟกำลังไหม้ฉัน
ฉันโดนเผาอยู่คนเดียว

กลายเป็นเศษผงฝุ่น
กลางจักรวาลกว้างใหญ่
พายุโชคชะตาพัดไกว
ก็กลายเป็นไม่มี

สักวันฉันจะตาย จะหยุดหายใจ
ไปนอนดมรากมะม่วง พักยาวสักที

เมื่อวันนี้ยังหายใจ
จะเหนื่อยแค่ไหนยังตื่นขึ้นมายิ้มสู้
ให้สมศักดิ์ศรี

สักวันฉันจะตาย
สักวันฉันจะตาย จำคำฉันไว้ดีดี

วันที่ฉันหายไปไม่มีฉันอยู่บนโลกใบนี้
ให้จำสิ่งที่ดีดี ที่ฉันทำ ก่อนฉันตาย

สักวันฉันจะตาย จะหยุดหายใจ
ไปนอนดมรากมะม่วง พักยาวสักที

เมื่อวันนี้ยังหายใจ
จะเหนื่อยแค่ไหนยังตื่นขึ้นมายิ้มสู้
ให้สมศักดิ์ศรี

สักวันฉันจะตาย
สักวันฉันจะตาย จำคำฉันไว้ดีดี

วันที่ฉันหายไปไม่มีฉันอยู่บนโลกใบนี้
ให้จำสิ่งที่ดีดี ที่ฉันทำ ก่อนฉันตาย

กลายเป็นเศษผงฝุ่น
กลางจักรวาลกว้างใหญ่
พายุโชคชะตาพัดไกว
ก็กลายเป็นไม่มี",takkatan_chollada
สิ่งศักดิ์สิทธิ์,/music/thailyric/18048,"บ้านก็จน เรียนก็ต่ำ หน้าตาก็ไม่ดี
ต้นทุนไม่มี มาได้เต็มที่ คืองานลูกจ้าง
ถูกกดค่าแรง ถูกแย่งโอกาส โชคไม่เข้าข้าง
ทนได้ทุกอย่าง เพราะหัวใจ มีสิ่งคุ้มครอง

ไม่ได้เล่นขงเล่นของ
ไม่ได้ไปไหว้ขอพรที่ไหนสักที

สิ่งศักดิ์สิทธิ์ที่ช่วยให้สู้อยู่ไหวกลางเมืองแห่งนี้
คือใจใฝ่ดีและคำแม่สอนก่อนจากบ้านมา
จะร่วงจากฝันเหมือนนกถูกยิงก็ยังเชิดหน้า
มีสิ่งศักดิ์สิทธิ์ติดตัวมาคือความดีที่ทำ

ก้มกราบหมอน ก่อนจะนอน ในทุกค่ำคืน
ทุกวันหยัดยืน ขอทำความดี อยู่ทุกเช้าค่ำ
ชื่อว่าอดทน จะมีคำตอบ ในทุกคำถาม
ฝันที่สวยงาม เคยบอกแม่ไว้ สักวันคงได้ดี

ไม่ได้เล่นขงเล่นของ
ไม่ได้ไปไหว้ขอพรที่ไหนสักที

สิ่งศักดิ์สิทธิ์ที่ช่วยให้สู้อยู่ไหวกลางเมืองแห่งนี้
คือใจใฝ่ดีและคำแม่สอนก่อนจากบ้านมา
จะร่วงจากฝันเหมือนนกถูกยิงก็ยังเชิดหน้า
มีสิ่งศักดิ์สิทธิ์ติดตัวมาคือความดีที่ทำ

ไม่ได้เล่นขงเล่นของ
ไม่ได้ไปไหว้ขอพรที่ไหนสักที

สิ่งศักดิ์สิทธิ์ที่ช่วยให้สู้อยู่ไหวกลางเมืองแห่งนี้
คือใจใฝ่ดีและคำแม่สอนก่อนจากบ้านมา
จะร่วงจากฝันเหมือนนกถูกยิงก็ยังเชิดหน้า
มีสิ่งศักดิ์สิทธิ์ติดตัวมาคือความดีที่ทำ

มีสิ่งศักดิ์สิทธิ์ติดตัวมาคือความดีที่ทำ",takkatan_chollada
แสงนีออนมืดมน,/music/thailyric/18008,"มองแสงดาวที่ไหน มองแสงจันทร์ที่ไหน
ก็ไม่อุ่นเหมือนบ้านเรา บ้านเรา
ชีวิตเป็นดังดอกไม้ ฝันจบลงก็เฉา
เหลือแค่ตื่นไปทำงาน เหมือนหุ่นยนต์

รับใช้เมืองแห่งนี้ รับใช้คนแบบนี้
ที่เอาเปรียบอยู่ทุกวัน ให้ต้องทน

ไฟนีออนสาดแสง
หนาวเหลือเกินและมืดมน
อยากหวนคืนบ้านเรา
แต่ก็จำต้องทน เพื่อสิ่งใดกัน

โอ โอ่โอโอ่ โอ๊ย เมืองนี้
ไม่เหมาะจะปลูกความฝัน
เหลือเพียงซากเถ้าถ่าน
หยาดเหงื่อแรงงานของคนบ้านนอกอย่างเรา

โอ โอ่โอ่โอ โอ๊ย คิดถึง
อ้อมแขนไกลห่างยามเหน็บหนาว
ชานบ้านโทรมๆ เก่าๆ
ดวงจันทร์กระดำกระด่าง ที่มองแล้วอุ่นหัวใจ

เด็ก ม.ปลายคนนั้น แววตาเปี่ยมความฝัน
วันนี้จากไปที่ไหน อยู่ไหน
ส่องกระจกทุกครั้ง คนแปลกหน้านี่ใคร
วิญญาณผุกร่อนและแตกร้าว สิ้นความฝัน

ยามที่ใจเหนื่อยล้า เก็บน้ำตาซ่อนตรงนั้น
ไว้ร้องไห้ที่บ้านเรา ให้อดทน

ไฟนีออนสาดแสง
หนาวเหลือเกินและมืดมน
อยากหวนคืนบ้านเรา
แต่ก็จำต้องทน เพื่อสิ่งใดกัน

โอ โอ่โอโอ่ โอ๊ย เมืองนี้
ไม่เหมาะจะปลูกความฝัน
เหลือเพียงซากเถ้าถ่าน
หยาดเหงื่อแรงงานของคนบ้านนอกอย่างเรา

โอ โอ่โอ่โอ โอ๊ย คิดถึง
อ้อมแขนไกลห่างยามเหน็บหนาว
ชานบ้านโทรมๆ เก่าๆ
ดวงจันทร์กระดำกระด่าง ที่มองแล้วอุ่นหัวใจ

โอ โอ่โอโอ่ โอ๊ย เมืองนี้
ไม่เหมาะจะปลูกความฝัน
เหลือเพียงซากเถ้าถ่าน
หยาดเหงื่อแรงงานของคนบ้านนอกอย่างเรา

โอ โอ่โอ่โอ โอ๊ย คิดถึง
อ้อมแขนไกลห่างยามเหน็บหนาว
ชานบ้านโทรมๆ เก่าๆ
ดวงจันทร์กระดำกระด่าง ที่มองแล้วอุ่นหัวใจ",takkatan_chollada
โคราชบ้านฉัน,/music/thailyric/18440,"โอม ห๊ะโอ ห๊ะโอ โอ้โอม
ห๊ะโอ ห๊ะโอ โอ้โอม ห๊ะโอ ห๊ะโอ โอ้โอม

น้องเป็นสาวโคราชผิวบ่ใสบ่ขาวสะอาด
บ่บาดตาของพี่ชาย พี่ชาย
แต่ในใจของน้องขาวผ่องเป็นยองใย
ลองมาคบแล้วจะติดใจ จิเชื่อไหมพ่อคนงาม คนงาม

ถามใครกะได้ ว่าน้ำใจไทโคราช
มันช่างใสสะอาด ถ้าใครพลาดจิเสียใจ เสียใจ

เส้นทางรักจะยาวเหมือนสายเส้นหมี่
สาวโคราชคนนี้มีรักเดียวให้เชื่อใจ
หลานย่าโม ไม่เคยหักอกใคร ผิวจะคล้ำแต่มีดีที่ข้างใน
ช่วยหารักแท้ที่จริง ใจ ฝากไทโคราชเดิ้ง เด้อ

โอม ห๊ะโอ ห๊ะโอ โอ้โอม
ห๊ะโอ ห๊ะโอ โอ้โอม ห๊ะโอ ห๊ะโอ โอ้โอม

ผ่านมาผ่านไปกะเชิญแวะเที่ยวบ้านฉัน
หนมจีนประโดกเขาลือกัน รสชาติมันถึงใจ อะถึงใจ
มาไหว้ย่าโมขอพรสมดั่งใจ๋
ความรักจิได้สนใสหัวใจจิชื่นบาน ชื่นบาน

เส้นทางรักจะยาวเหมือนสายเส้นหมี่
สาวโคราชคนนี้มีรักเดียวให้เชื่อใจ
หลานย่าโม ไม่เคยหักอกใคร ผิวจะคล้ำแต่มีดีที่ข้างใน
ช่วยหารักแท้ที่จริง ใจ ฝากไทโคราชเดิ้ง เด้อ

โอม ห๊ะโอ ห๊ะโอ โอ้โอม
ห๊ะโอ ห๊ะโอ โอ้โอม ห๊ะโอ ห๊ะโอ โอ้โอม",takkatan_chollada
เจริญสติ,/music/thailyric/18397,"แดดจะร้อนรถจะติดอย่าไปคิดให้มันวุ่นวาย
แฟนมีกิ๊ก ก็คลิกคนใหม่อย่าใส่ใจคนไม่รักดี
เชิญทางนี้ มาทางนี้ เจริญสติ กันนิส นึง

ปล่อยวางมันไว้สักวันก็ดี
เชิญมาทางนี้เจริญสติกันนิสนึง
อะสายย่อสายเด้งสายดึง (อ้าๆ)
สายย่อสายเด้งสายดึง
เจริญสตินิดนึง ถึงเวลาต้องปล่อยวาง

รักจางทางรักเริ่มตีบตัน
สิ่งที่วาดฝัน มันพังกะทนเอา
หวยไม่ถูก เงินเดือนต่ำ ช้ำใจเรา (อ้าๆ)
รักคนผิดคิดจนแก่แท้จริงเรา
เจริญสติเบาๆ อะเข้ามาสนุกกัน

เจริญสติกันนิส นึง

อย่าเพิ่งใจร้อน มารำมาฟ้อนกันนิสนึง
สติควรดึงอย่าเพิ่งบ่นสิ้นหวัง
หน้าเวทีคือจุดปล่อยพลัง (เฮ้ เฮ้)
เจริญสติใส่ดนตรีไม่ต้องยั้ง (เฮ้ เฮ้)
เจริญสติปลดปล่อยให้ดังๆ หวยไม่ถูกรักจะพัง
สติสตังค์ยัง เจริญ เจริญ เจริญ

อย่าเพิ่งใจร้อน มารำมาฟ้อนกันนิสนึง
สติควรดึงอย่าเพิ่งบ่นสิ้นหวัง
หน้าเวทีคือจุดปล่อยพลัง (เฮ้ เฮ้)
เจริญสติใส่ดนตรีไม่ต้องยั้ง (เฮ้ เฮ้)
เจริญสติปลดปล่อยให้ดังๆ หวยไม่ถูกรักจะพัง
สติสตังค์ยัง เจริญ เจริญ เจริญ",takkatan_chollada
ต่อตอดใจ,/music/thailyric/18391,"ขอถามอีหลีเกิดมาเคยฮักไผบ่ คนถืกตั๋ว
มันปวดปานต่อ ตอดกลางหัวใจ
สะกดคำว่าฮักแท้ เป็นบ่ขอถามใจอ้าย
พจนานุกรมในใจ อ้ายมีแต่หลอกลวง

ฮักบ่จริงก็ถิ่มใจน้องไปสา
สิเก็บลมหายใจมีค่าไปให้ฮักแท้
ตั้งแต่เปิดใจเริ่มฮัก กะเจ็บหนักย้อนฮักคนลวง
ถืกตั๋วจนใจเริ่มป่วง ย้อนหลงคำลวง ฮักคนร้อย ใจ

จนฮอดมื้อตาย อ้ายสิบ่เจอฮักแท้
เพราะอ้ายมีแต่ตอแหลเรื่อยไป
บ่ได้สาปแช่ง ละกะบ่ได้โมโห
แค่อยากให้อ้าย ฮู้โตเอาไว้
หากยังบ่มีหัวใจ ฮักไผจริงจัง
อ้ายกะอย่าสุหวัง โอ้
สิพ้อคำว่าฮัก จริง

จนฮอดมื้อตาย อ้ายสิบ่เจอฮักแท้
เพราะอ้ายมีแต่ตอแหลเรื่อยไป
บ่ได้สาปแช่ง ละกะบ่ได้โมโห
แค่อยากให้อ้าย ฮู้โตเอาไว้
หากยังบ่มีหัวใจ ฮักไผจริงจัง
อ้ายกะอย่าสุหวัง โอ้

จนฮอดมื้อตาย อ้ายสิบ่เจอฮักแท้
เพราะอ้ายมีแต่ตอแหลเรื่อยไป
บ่ได้สาปแช่ง ละกะบ่ได้โมโห
แค่อยากให้อ้าย ฮู้โตเอาไว้
หากยังบ่มีหัวใจ ฮักไผจริงจัง
อ้ายกะอย่าสุหวัง โอ้
สิพ้อคำว่าฮัก จริง",takkatan_chollada
