song_name,href,lyric,artist
สิ่งที่ควรทำตอนนี้,/music/thailyric/13207,"ถิ่มกันแล้ว
ยังมาหามาห่วงกันอยู่
เฮ็ดปานบ่ฮู้
ว่ามันบ่ได้อิหยัง

มาจับมือถือแขนคือเก่า
ปานว่าเฮาบ่ได้แยกทาง
เป็นหยัง คือจังนิสัยจังซี้
อ้ายเป็นคนอื่นไปแล้ว
เธอมีคนอื่นไปแล้ว
จำ จำไว้ก็ดี
อ้ายเป็นคนอื่นไปแล้ว
เธอมีคนอื่นไปแล้ว
อ้ายอยากเตือนเธอไว้อีกที
สิ่งที่เธอควรทำตอนนี้
คือกลับไปเป็นแฟนดีดีของเขา
ไปอยู่ด้วยกันให้มันยืดยาว
ไปฮักเขาให้เบิดหัวใจ
สิ่งที่เธอไม่ควรทำตอนนี้
คืออย่ามาแสดงความห่วงใย
ถึงแม้อ้าย สิเจ็บปานใด๋
กะสิอดเอาใหญ่แล้วอ้ายสิอดเอา

ถิ่มไปแล้ว ก็ให้มันจบไปได้บ่
มาเจอมาพ้อ
เดี๋ยวข่าวกะฮอดหูเขา
อย่าลำไลหัวใจคนเจ็บ
ห่างกันไปให้สิ้นเรื่องราว
ฮักเขา บ่ควรเฮ็ดคือตะกี้

อ้ายเป็นคนอื่นไปแล้ว
เธอมีคนอื่นไปแล้ว
จำ จำไว้ก็ดี
อ้ายเป็นคนอื่นไปแล้ว
เธอมีคนอื่นไปแล้ว
อ้ายอยากเตือนเธอไว้อีกที
สิ่งที่เธอควรทำตอนนี้
คือกลับไปเป็นแฟนดีดีของเขา
ไปอยู่ด้วยกันให้มันยืดยาว
ไปฮักเขาให้เบิดหัวใจ
สิ่งที่เธอไม่ควรทำตอนนี้
คืออย่ามาแสดงความห่วงใย
ถึงแม้อ้าย สิเจ็บปานใด๋
กะสิอดเอาใหญ่แล้วอ้ายสิอดเอา

ถึงแม้อ้าย สิเจ็บปานใด๋
กะสิอดเอา ใหญ่แล้วอ้ายสิอดเอา",tao_pusin
ก้อนขี้ฟ้า,/music/thailyric/12848,"อยู่ใต้ฟ้ากะบ่ได้ย่านฝน
ฮักผู้ลางคนเลยบ่ย่านเสียใจ
เบื่อเจ้าของแน ตอนเหงายามใด
กะคึดฮอดนำเขา ที่ยัง
บ่กล้าปาก ที่ยัง บ่อยากเว้า
ย้อนว่าเธอมีเขา เป็นฟ้าเป็นฝันในใจ

เลยขอเป็นอิหยังกะได้
ให้ได้อยู่ใกล้ใกล้สายตา
สิขอเป็นแค่ก้อนขี้ฟ้าที่เจียมหัวใจ

สิฮักเจ้าหน่อยหน่อย
ให้เจ็บน้อยน้อย
คึดฮอดค่อยค่อย
บ่สำออยให้รำคาญ
เข้าใจสถานการณ์
ว่าเฮาควรอยู่หม่องใด๋
แต่ที่ยังถ่า ย้อนว่ามีหวัง
เถิงบ่มีทางได้ดูแลใจ
ขอแนมเบิ่งฮักอยู่บ่ไกล
บ่ให้กวนใจนาง

พอใจแล้วในสิ่งที่บ่มี
ได้อยู่ตรงนี้ข้อยกะแจบหัวใจ
บอกเจ้าของไว้ สู้เขาบ่ได้
แค่ห่วงใยห่างห่าง
สิมี ขี้ฟ้าใด๋ สิใหญ่ กว่าฟ้ากว้าง
ได้เป็นหมู่กะยัง ดีกว่าบ่เป็นหยังเลย

เลยขอเป็นอิหยังกะได้
ให้ได้อยู่ใกล้ใกล้สายตา
สิขอเป็นแค่ก้อนขี้ฟ้าที่เจียมหัวใจ

สิฮักเจ้าหน่อยหน่อย
ให้เจ็บน้อยน้อย
คึดฮอดค่อยค่อย
บ่สำออยให้รำคาญ
เข้าใจสถานการณ์
ว่าเฮาควรอยู่หม่องใด๋
แต่ที่ยังถ่า ย้อนว่ามีหวัง
เถิงบ่มีทางได้ดูแลใจ
ขอแนมเบิ่งฮักอยู่บ่ไกล
บ่ให้กวนใจนาง

สิฮักเจ้าหน่อยหน่อย
ให้เจ็บน้อยน้อย
คึดฮอดค่อยค่อย
บ่สำออยให้รำคาญ
เข้าใจสถานการณ์
ว่าเฮาควรอยู่หม่องใด๋
แต่ที่ยังถ่า ย้อนว่ามีหวัง
เถิงบ่มีทางได้ดูแลใจ
ขอแนมเบิ่งฮักอยู่บ่ไกล
บ่ให้กวนใจนาง

เลยขอเป็นอิหยังกะได้
ให้ได้อยู่ใกล้ใกล้สายตา
สิขอเป็นแค่ก้อนขี้ฟ้าที่เจียมหัวใจ

สิฮักเจ้าหน่อยหน่อย
ให้เจ็บน้อยน้อย
คึดฮอดค่อยค่อย
บ่สำออยให้รำคาญ
เข้าใจสถานการณ์
ว่าเฮาควรอยู่หม่องใด๋
แต่ที่ยังถ่า ย้อนว่ามีหวัง
เถิงบ่มีทางได้ดูแลใจ
ขอแนมเบิ่งฮักอยู่บ่ไกล
บ่ให้กวนใจนาง

แต่ที่ยังถ่า ย้อนว่ามีหวัง
เถิงบ่มีทางได้ดูแลใจ
ขอแนมเบิ่งฮักอยู่บ่ไกล
บ่ให้กวนใจนาง",tao_pusin
ขาดคนหุงข้าว,/music/thailyric/12535,"บ้านพี่ ขาดคนหุงข้าว
อยากได้เจ้า เป็นคนช่วยหุง
พ่อแม่ ท่านแก่ท่านเฒ่า
ขาดคนหุงข้าว ที่บ้านเลยยุ่ง
พี่เอง ก็งานนังนุง ทุกวันพี่ยุ่ง
ขาดคนปลอบใจ

คุณแม่ ท่านเคยบอกเล่า
อยากได้เจ้า มาเป็นสะใภ้
คุณพ่อท่านก็โอเค อยากได้หลาน
ไกวเปล ฝากผีฝากไข้
หากได้เจ้า มาเป็นเพื่อนร่วมตาย
ลำบากเพียงใด จะไม่บ่นให้รำคาญ

มาสิมา มาสิมา
มาสิขวัญตา มาเป็นแม่บ้าน
หากมีลูกชาย จะส่งไปเรียนเป็นนายทหาร
หากมีลูกสาว จะให้เรียนพยาบาล
เมื่อเจ็บป่วยพลัน จะได้มาช่วยรักษา

บ้านพี่ขาดคนหุงข้าว
อยากให้เจ้า มาช่วยหุงช่วยหา
พี่จะเป็นฝ่ายขาดทุน
จะให้ใช้นามสกุล
โดยไม่คิดมูลค่า
มารักพี่เถิด แม่ยอดชีวา
มาสิมา เป็นทองแผ่นเดียวกัน

มาสิมา มาสิมา
มาสิขวัญตา มาเป็นแม่บ้าน
หากมีลูกชาย จะส่งไปเรียนเป็นนายทหาร
หากมีลูกสาว จะให้เรียนพยาบาล
เมื่อเจ็บป่วยพลัน จะได้มาช่วยรักษา

บ้านพี่ขาดคนหุงข้าว
อยากให้เจ้า มาช่วยหุงช่วยหา
พี่จะเป็นฝ่ายขาดทุน
จะให้ใช้นามสกุล โดยไม่คิดมูลค่า
มารักพี่เถิด แม่ยอดชีวา
มาสิมา เป็นทองแผ่นเดียวกัน",tao_pusin
คอยน้องที่ช่องเม็ก,/music/thailyric/19747,"สาวลาวใต้เฮ็ดบาปหัวใจอ้ายแท้หนอ
สัญญาที่ด่านตม. ช่องเม็กว่ารอบ่มีค่า
ลางานเมื่อบ้านปากเซคราวนั้นนัดวันกลับมา
ทิ้งบ่าวอุบลคนคอยสัญญาสิเป็นบ้าทำใจ

กะดนพอได้ที่ผูกหัวใจเฮาไว้ด้วยกัน
สาวลาวข้ามมาทำงานที่ร้านอาหารได้เคียงใกล้
คือลืมไวแท้ไปแล้วบ่แคร์บ่โทรบ่ไลน์
คิดฮอดโทรหาเป็นตาเหลือใจ จั๊กให้ผู้ใด๋ตอบมา

ถือดอกจำปา ยืนรอเกาะรั้วกรงเหล็กที่ด่านตม.ช่องเม็ก
จนตำรวจตม.แนมหน้า เป็นจังใด๋น้อ สาวลาวเจ้าจังบ่มา
หรือบ่าวลาวใต้จูงเข้าพาขวัญแล้วหนา จึงลบจึงลืมสัญญา
จนลืมไปว่าเคยเป็นแฟนใคร

สาวลาวใต้เฮ็ดบาปหัวใจของอ้ายแท้เด้
คิดฮอดผู้สาวปากเซ เฮ็ดจังใดเด๋สิลืมได้
ไทยลาวเต็มที่เปิด เอ อี ซี ติดต่อกันง่าย
แต่เป็นหยังสัญญาณหัวใจ ผู้สาวลาวใต้จังให้อ้ายรอ

สาวลาวใต้เฮ็ดบาปหัวใจของอ้ายแท้เด้
คิดฮอดผู้สาวปากเซ เฮ็ดจังใดเด๋สิลืมได้
ไทยลาวเต็มที่เปิด เอ อี ซี ติดต่อกันง่าย
แต่เป็นหยังสัญญาณหัวใจ ผู้สาวลาวใต้จังให้อ้ายรอ",tao_pusin
ชัตดาวน์ ดาวชัด,/music/thailyric/12665,"เล่นไลน์อยู่บ่
คือยิ้มหาหน้าจอคักแท้
บ่ทักทายกันจักหน่อยแหน่แหม
ทรงคือบ่แคร์ใจกันคือเก่า

เฮาเป็นแฟนกันมาโดน
จนความหวานมันจืดจางบางเบา
งอนกันหลายวันแล้วมันก็เหงา
เธอก็เอาแต่เล่นโทรศัพท์

เซาเคียดแล้วไป
ขอเวลาให้หัวใจ จั๊กคราว
บ่อยากให้เฮา
ห่างเหินกันมากเกินกว่านี้

อยากให้เธอชัตดาวน์
แล้วมาเบิ่งดาวชัดชัด
คืนนี้บรรยากาศ
แสงจันทร์เป็นใจ
อยากให้วางมือถือ
แล้วมาจับมือกันไว้
จูนสัญญาณหัวใจ
ให้ฮักเฮาคือเก่า
มามะนั่งเบิ่งดาวคุยกัน

เล่นเฟซอยู่ติ
คือมุมุมิมิจังซั่น
คึดฮอดเฮาตอนที่เว่าหยอกกัน
อยากได้คืนวันเหล่านั้นคืนมา
บ่แม่นว่าเซ้าฮอดแลง
บ่เบิ่งแยงแฮงก้มหน้าก้มตา
ในวันที่ใจมันเหนื่อยล้ามา
อยากสบตากันจั๊กหน่อยได้บ่

เซาเคียดแล้วไป
ขอเวลาให้หัวใจ จั๊กคราว
บ่อยากให้เฮา
ห่างเหินกันมากเกินกว่านี้

อยากให้เธอชัตดาวน์
แล้วมาเบิ่งดาวชัดชัด
คืนนี้บรรยากาศ
แสงจันทร์เป็นใจ
อยากให้วางมือถือ
แล้วมาจับมือกันไว้
จูนสัญญาณหัวใจ
ให้ฮักเฮาคือเก่า
มามะนั่งเบิ่งดาวคุยกัน

อยากให้เธอชัตดาวน์
แล้วมาเบิ่งดาวชัดชัด
คืนนี้บรรยากาศ
แสงจันทร์เป็นใจ
อยากให้วางมือถือ
แล้วมาจับมือกันไว้
จูนสัญญาณหัวใจ
ให้ฮักเฮาคือเก่า

อยากให้เธอชัตดาวน์
แล้วมาเบิ่งดาวชัดชัด
คืนนี้บรรยากาศ
แสงจันทร์เป็นใจ
อยากให้วางมือถือ
แล้วมาจับมือกันไว้
จูนสัญญาณหัวใจ
ให้ฮักเฮาคือเก่า
มาเบิ่งดาวนำกัน",tao_pusin
ซื้อกุหลาบให้เจ้าของ,/music/thailyric/15855,"ซื้อกุหลาบให้ผู้เจ้าของคือเก่า
เนื่องในวันแห่งความเหงา
14 กุมภา วนมาฆ่าใจ
แนมเบิ่งคนฮักกัน แนมเบิ่งเขาฮักกัน
แล้วเป็นหยังเฮาจังบ่มีไผ
ใกล้สิเบิดหน้าหนาว หนาวคักแท้หัวใจ
โอ๊ย ทนไหวบ่น้อ

เกิดแล้วไป่คนที่ใจเฝ้ารอ
ไปอยู่ไสหนอไปลี้อยู่แจได๋
คือหากันบ่พ้อ หรือต้องรอต่อไป
เลาะหาสิตายมันกะยังบ่พ้อ
มื้อแห่งความฮักผู้ได๋คึดเอาไว้
ลบออกไปจากปฏิทินได้บ่
คนที่มันเป็นโสด โคตรสิเหงาฮู้บ่
จักปีแล้วหนอมันกะยังคือเก่า
กะเหงาแม่มันซุปี

ซื้อกุหลาบไปใส่หนังสือคือเก่า
ได้ส่ำนี้ละน้อเฮา บ่ว่าปีได๋กะได้ส่ำนี้
ทับเอาไว้ให้แป ทับมันไว้ให้แป
พอได้คุยนำเขาเฮากะมี
มันสิเป็นจังได๋ อดเอาไว้มื้อนี้
โอ๊ย คือหน่ายแท้น้อ

เกิดแล้วไป่คนที่ใจเฝ้ารอ
ไปอยู่ไสหนอไปลี้อยู่แจได๋
คือหากันบ่พ้อ หรือต้องรอต่อไป
เลาะหาสิตายมันกะยังบ่พ้อ
มื้อแห่งความฮักผู้ได๋คึดเอาไว้
ลบออกไปจากปฏิทินได้บ่
คนที่มันเป็นโสด โคตรสิเหงาฮู้บ่
จักปีแล้วหนอมันกะยังคือเก่า
กะเหงาแม่มันซุปี

เกิดแล้วไป่คนที่ใจเฝ้ารอ
ไปอยู่ไสหนอไปลี้อยู่แจได๋
คือหากันบ่พ้อ หรือต้องรอต่อไป
เลาะหาสิตายมันกะยังบ่พ้อ
มื้อแห่งความฮักผู้ได๋คึดเอาไว้
ลบออกไปจากปฏิทินได้บ่
คนที่มันเป็นโสด โคตรสิเหงาฮู้บ่
จักปีแล้วหนอมันกะยังคือเก่า

เกิดแล้วไป่คนที่ใจเฝ้ารอ
ไปอยู่ไสหนอไปลี้อยู่แจได๋
คือหากันบ่พ้อ หรือต้องรอต่อไป
เลาะหาสิตายมันกะยังบ่พ้อ
มื้อแห่งความฮักผู้ได๋คึดเอาไว้
ลบออกไปจากปฏิทินได้บ่
คนที่มันเป็นโสด โคตรสิเหงาฮู้บ่
จักปีแล้วหนอมันกะยังคือเก่า
กะเหงาแม่มันซุปี",tao_pusin
ถิ่มไว้กลางทาง,/music/thailyric/13906,"มันดีส่ำได๋กัน ที่เฮาได้ฮ่วมทาง
มาฮอดมื้อนี้กะดนนาน
คงเป็นย่อนอ้ายเอง คือสิบ่ดีพอ
เฮ็ดที่เจ้าขอบ่ได้เลย

หากเจ้าสิไปกะเข้าใจ
หากโตพ้อไผดีกว่าโตอ้าย
คงบ่ต้องถ่า น้อ

เฮ็ดถืกแล้ว ที่เจ้าเลือกเพิ่น
แล้วถิ่มอ้ายไว้ตรงกลางทาง
เมื่อโตเจ้า พ้อคนที่ดี ที่เจ้าคึดไว้ในหัวใจ
ปล่อยมืออ้ายถืกแล้ว
ให้ใจของอ้ายปวดร้าวปานได๋
ยอมฝืนใจให้เจ้า ย่างจากอ้ายไป
เพราะฮู้ว่าเจ้า มีคนที่พาไปฮอดปลายทาง

ความจริงที่ย่านหลาย ย่านการบ่มีเจ้า
ย่านฮอดมื้อนี้มาดนนาน คำที่ว่าฮักกัน
มันคงบ่เพียงพอ สิดึงเจ้าไว้บ่ได้เลย
หากเจ้าสิไปกะเข้าใจ หากโตพ้อไผดีกว่าโตอ้าย
คงบ่ต้องถ่าน้อ

เฮ็ดถืกแล้ว ที่เจ้าเลือกเพิ่น
แล้วถิ่มอ้ายไว้ตรงกลางทาง
เมื่อโตเจ้า พ้อคนที่ดี ที่เจ้าคึดไว้ในหัวใจ
ปล่อยมืออ้ายถืกแล้ว ให้ใจของอ้ายปวดร้าวปานได๋
ยอมฝืนใจให้เจ้า ย่างจากอ้ายไป
เพราะฮู้ว่าเจ้า มีคนที่พาไปฮอดปลายทาง

เฮ็ดถืกแล้ว ที่เจ้าเลือกเพิ่น
แล้วถิ่มอ้ายไว้ตรงกลางทาง
เมื่อโตเจ้า พ้อคนที่ดี ที่เจ้าคึดไว้ในหัวใจ
ปล่อยมืออ้ายถืกแล้ว ให้ใจของอ้ายปวดร้าวปานได๋
ยอมฝืนใจให้เจ้า ย่างจากอ้ายไป
เพราะฮู้ว่าเจ้า มีคนที่พาไปฮอดปลายทาง",tao_pusin
นางฟ้าหน้ารถแห่,/music/thailyric/16555,"ขอเสียงผู้สาวหน้ารถแห่ แหน่เร็ว
อ้าว วันทูทรี ไป

เสียงกลองสนั่น หลังคาสั่นตึกๆ
ปลุกใจให้อ้ายนอนตื่น
ส่วยหน้าให้ตามันซื่นจักหน่อยก่อนเด้อ
แล้วแนมเบิ่งคักๆ จักรถแห่มาแห่งานพุ่นเหลอ
จากเบลอๆ จักเรี่ยวแรงแมนมาแต่ไส

บ่คิดเลยว่า สิพ้อนางฟ้าหน้าตู้ลำโพงรถแห่
ฮักเลยแหม  นี่ล่ะแม่ของลูกของอ้าย
มื้อนี่เฮาสิบ่เมา เว้นเหล้าจักมื้อสหาย
สิจีบเอาคนของใจอยู่แถวนี่ล่ะ

ขอเต้นข้างๆ เจ้าแนเด้อ ขอเบอร์เจ้าแนได้บ่
หัวใจมันส่งคำขอเป็นแฟนน้องหล่า
มีใจให้เจ้ายกแขน มีแฟนให้เจ้ายกขา
อ้ายอยากขอต่อเวลา รถแห่

ขอเต้นข้างๆ เจ้าแนเด้อ เอ้าขอเบอร์เจ้าแนได้บ่
หัวใจมันส่งคำขอเป็นแฟนน้องหล่า
มีใจให้เจ้ายกแขน  เอ้ามีแฟนให้เจ้ายกขา
อ้ายอยากขอต่อเวลา รถแห่ สิได้อยู่กับเจ้าดนๆ

หมดเวลาสนุก เจ็บจนจุกมันบ่ฟลุกคือเฮาคึดไว้
เมื่อผู้บ่าวมาจูงเจ้าไป ใจอ้ายเลยเหี่ยว
แต่กะส่างดอกหล่า ผู้หญิงน่ะบ่ได้มีคนเดียว
กะสั่นขอเต้นเปลี่ยวๆ หาเหยื่อรายใหม่

เสียงกลองสะเดิด เปิดฉากปะทะท่าเต้นมันๆ กับเสี่ยว
หรือเฮาเหมาะอยู่คนเดียวกับหมู่สหาย
ให้ถือว่าความสุขน้อยๆ ที่ได้เจอกับคนถืกใจ
มื้อนี่ขอยาวๆ ไป เอ้ายาวไป

ขอเต้นข้างๆ เจ้าแนเด้อ ขอเบอร์เจ้าแนได้บ่
หัวใจมันส่งคำขอเป็นแฟนน้องหล่า
มีใจให้เจ้ายกแขน มีแฟนให้เจ้ายกขา
อ้ายอยากขอต่อเวลา รถแห่

ขอเต้นข้างๆ เจ้าแนเด้อ ขอเบอร์เจ้าแนได้บ่
หัวใจมันส่งคำขอเป็นแฟนน้องหล่า
มีใจให้เจ้ายกแขน เอ้ามีแฟนให้เจ้ายกขา
อ้ายอยากขอต่อเวลา รถแห่ สิได้อยู่กับเจ้าดนๆ

ขอเสียงผู้สาวหน้ารถแห่ แหน่เร็ว

ขอเต้นข้างๆ เจ้าแนเด้อ ขอเบอร์เจ้าแนได้บ่
หัวใจมันส่งคำขอเป็นแฟนน้องหล่า
มีใจให้เจ้ายกแขน มีแฟนให้เจ้ายกขา
อ้ายอยากขอต่อเวลา รถแห่

ขอเต้นข้างๆ เจ้าแนเด้อ เอ้าขอเบอร์เจ้าแนได้บ่
หัวใจมันส่งคำขอเป็นแฟนน้องหล่า
มีผัวให้เจ้ายกแขน เอ้ามีแฟนให้เจ้ายกขา
อ้ายอยากขอต่อเวลา รถแห่ สิได้อยู่กับเจ้าดนๆ

อ้ายอยากขอต่อเวลา รถแห่
เพื่อสิได้แฟนไปฝากแม่จั๊กคน",tao_pusin
บ่ไปกรุงเทพฯได้บ่,/music/thailyric/21494,"สิไปอิหลี ซั่นบ้อ น้องหล่าคำแพง
คึดคักแล้วบ้อ แก้มแดง จั่งตัดสินใจ
อ้ายเคยได้ยิน พี่น้องบ้านเฮา เพิ่นเว่ามาหลาย
อยู่ยากกรุงเทพฯ บ่ม่วนดอกเมืองใหญ่
ถ้าเป็นไปได้มีแต่อยากคืนเมือบ้าน

อิพ่ออิแม่ เจ้าเด้ ไผสิซอยเบิ่ง
พ่อใหญ่แม่ใหญ่ สิเพิ่ง สิใช้ไผ ลูกหลาน
บักน้อยอิน้อย ผู้ได๋สิเล่น เป็นหมู่มัน
หมูหมากาไก่ งัวควายซุมนั้น
คงคึดนำเจ้าคือกัน  ย่านเมืองพาเจ้าหลงทาง

บ่ไป บ่ไป บ่ไปได้บ่ บ่ไปกรุงเทพฯ ได้บ่
อยู่บ้านเฮา กะสุข กะพอ กะมีซุอย่าง
บ่ไป บ่ไป บ่ไปได้บ่ กรุงเทพฯมันฮ้อนคือจั่งหยัง
อยู่บ้านเฮาเย็นส่วยส่วยเด้อนาง
อ้ายสิพาไปนอนเล่นเถียงนาฮ่าง
บ่ไปกรุงเทพฯ ได้บ่ ได้บ่ ได้บ่

บ่คิดเบิ่งใหม่ แนตี้ คนดีคนฮู้
บ้านเฮากะพอ หากิน หาอยู่ ได้อยู่น้า
งานการถ้าเฮาขยัน คงบ่อดตายดอกอ้ายว่า
แนวอยากแนวกิน กะเก็บผักเก็บหญ้า
ป่นปูป่นปลา กะแซบเติบอยู่เด้นาง

บ่ไป บ่ไป บ่ไปได้บ่ บ่ไปกรุงเทพฯ ได้บ่
อยู่บ้านเฮา กะสุข กะพอ กะมีซุอย่าง
บ่ไป บ่ไป บ่ไปได้บ่ กรุงเทพฯ มันฮ้อนคือจั่งหยัง
อยู่บ้านเฮาเย็นส่วยส่วยเด้อนาง
อ้ายสิพาไปนอนเล่นเถียงนาฮ่าง
บ่ไปกรุงเทพฯ ได้บ่ ได้บ่ ได้บ่ ได้บ่
ได้บ่น้องหล่า",tao_pusin
บุญผลา,/music/thailyric/16603,"บ่น่าเซื่อเนาะว่าเฮาสิมาพ้อกัน
คนตั้งว่าจักล้าน พอปานว่ามีผู้มาซุกยู้ใส่
ให้เฮาเว้าจา ให้ถืกชะตา ถืกใจ
จนตกหลุมความฮัก แล้วขึ้นบ่ได้ งึดใจอยู่เด้เนาะ

ว่าโอ้ละหนอ นางเอย
เจ้ากะเคยคึดนำอยู่แม่นบ่
ว่าฮักเฮาที่เกิดที่ก่อ กะย้อนว่าย้อนว่า

ย้อนบุญผลา เด้เนาะ พาเฮามาพบพ้อ
ฮู้สึกคือกัน อยู่เนาะ คือฮักที่รอที่ฝัน
ให้บุญผลา พาฮัก ให้ฮักเฮาคือเก่าทุกวัน
ได้หายใจอยู่ใกล้ๆ กัน จนฮอดมื้อตาย ได้ซ่ำนี้กะพอ

บ่น่าเซื่อเนาะ ว่าอ้ายสิพ้อฮักแท้
นอกจากพ่อกับแม่ กะมีแต่เจ้าฮั่นล่ะเด้อ อ้ายว่า
อดข้าวกะตาย ขาดเจ้ากะบ่ได้ สั่นดอกวา
เบิ่งแงงกันเด้อหล่า ให้สมบุพเพเฮาฮ่วมสร้างมาเด้อ

ว่าโอ้ละหนอ นางเอย
เจ้ากะเคยคึดนำอยู่แม่นบ่
ว่าฮักเฮาที่เกิดที่ก่อ กะย้อนว่าย้อนว่า

ย้อนบุญผลา เด้เนาะ พาเฮามาพบพ้อ
ฮู้สึกคือกัน อยู่เนาะ คือฮักที่รอที่ฝัน
ให้บุญผลา พาฮัก ให้ฮักเฮาคือเก่าทุกวัน
ได้หายใจอยู่ใกล้ๆ กัน จนฮอดมื้อตาย ได้ซ่ำนี้กะพอ

ว่าโอ้ละหนอ นางเอย
เจ้ากะเคยคึดนำอยู่แม่นบ่
ว่าฮักเฮาที่เกิดที่ก่อ กะย้อนว่าย้อนว่า

ย้อนบุญผลา เด้เนาะ พาเฮามาพบพ้อ
ฮู้สึกคือกัน อยู่เนาะ คือฮักที่รอที่ฝัน
ให้บุญผลา พาฮัก ให้ฮักเฮาคือเก่าทุกวัน
ได้หายใจอยู่ใกล้ๆ กัน จนฮอดมื้อตาย ได้ซ่ำนี้กะพอ",tao_pusin
