song_name,href,lyric,artist
คนแบบฉัน,/music/thailyric/2035,"ความเป็นจริงก็บ่อยครั้ง ที่ฉันไม่มี เหตุผลเท่าไร
คอยเกเรและก็รั้น และทำให้เธอ ยุ่งยากในใจ

แต่ว่าเธอ ก็ยังเป็นเธอ ที่ในใจ ยังให้อภัย
บอกว่าตัวฉัน ก็คือฉัน และแบบนั้น ที่ถูกใจเธอ

บอกว่าตัวฉัน ก็คือฉัน ที่เธอฝัน ไม่อยากจะค้นเจอ
รักอยู่อย่างไร ฮื้มฮืม ก็เหมือนเดิม

ตัวเธอเองก็อาจรู้ ที่ฉันรักเธอ มันมากเท่าไร
แต่คนเกเรในแบบฉัน แสดงไม่เป็น ว่ามากเพียงใด

แต่ว่าเธอ ก็ยังเป็นเธอ ที่ในใจ ยังให้อภัย
บอกว่าตัวฉัน ก็คือฉัน และแบบนั้น ที่ถูกใจเธอ

บอกว่าตัวฉัน ก็คือฉัน ที่เธอฝัน ไม่อยากจะค้นเจอ
รักอยู่อย่างไร ฮื้มฮืม ก็เหมือนเดิม

เธอเป็นคนเดียว คนเดียวที่จริงใจ
เธอเป็นคนเดียว คนเดียวที่เข้าใจ
บอกเธอไว้ แค่เพียงคำหนึ่ง
ไม่เคยจะคิด ให้ใครใคร
คือคำว่าฉันรัก รักตลอดไป

บอกว่าตัวฉัน ก็คือฉัน และแบบนั้น ที่ถูกใจเธอ
บอกว่าตัวฉัน ก็คือฉัน ที่เธอฝัน ไม่อยากจะค้นเจอ

เธอบอกว่าตัวฉัน ก็คือฉัน และแบบนั้น ที่ถูกใจเธอ
บอกว่าตัวฉัน ก็คือฉัน ที่เธอฝัน ไม่อยากจะค้นเจอ
รักอยู่อย่างไร ฮื้มฮืม ก็เหมือนเดิม",tata_young
รักเธอได้ไหม,/music/thailyric/2083,"ฉันรักเธอได้ไหม
บอกว่าฉัน รักเธอได้ไหม
ไม่มากไปใช่ไหม
กับการที่ฉันจริงใจ อย่างนี้
ที่บอกให้เธอได้รู้ รู้จนหมดใจ
ไม่คิดถาม ว่าใจเธออย่างไร
แค่รู้ เมื่อไรที่เราต้องอยู่ห่าง
ฉันคิดถึงแต่เธอ
คิดถึงตาคู่นั้น
ที่ห่วงหา อาทรอย่างนั้น
กับท่าทีแบบนั้น
ที่บอกว่าฉัน สำคัญเสมอ
จากวันนั้นที่ฉัน ได้รู้จักเธอ
ก็คล้ายคล้าย หัวใจมีแต่เธอ
และทุก ทุกคืนก็มีเรื่องให้ฝันดี
ฝันถึงเธอ
ก็อยากมีคืนที่ฝันดี
ที่ซึ้งใจให้แสนนาน
ก็อยากมีวันที่สวยงาม เสมอไป
ให้ฉันมีใครที่แสน ดีอย่างเธอ
ฉันรักเธอได้ไหม
อยากจะรัก รักเธอได้ไหม
ไม่ว่ากันใช่ไหม
ถ้าจะขออะไร เธอแบบนี้
แบบวันนี้ที่ฉัน มีเธอห่วงใย
ชีวิตฉัน สวยงามขึ้นมากมาย
เมื่อฉันได้มีเรื่องราว
เธอที่แสนดี ที่หัวใจ

ก็อยากมีคืนที่ฝันดี
ที่ซึ้งใจให้แสนนาน
ก็อยากมีวันที่สวยงาม เสมอไป
ให้ฉันมีใครที่แสน ดีอย่างเธอ
ฉันรักเธอได้ไหม
อยากจะรัก รักเธอได้ไหม
ไม่ว่ากันใช่ไหม
ถ้าจะขออะไร เธอแบบนี้
แบบวันนี้ที่ฉัน มีเธอห่วงใย
ชีวิตฉัน สวยงามขึ้นมากมาย
เมื่อฉันได้มีเรื่องราว
เธอที่แสนดี ที่หัวใจ
เมื่อฉันได้มีเรื่องราว
เธอที่แสนดี ที่หัวใจ",tata_young
ริช ฟอร์ เดอะ สตาร์ (Reach for the Star),/music/thailyric/2084,"From the day we're born in the wide world
We are born with missions to keep
There are calls, from voices in despair,
to love, to share, to give

From the sea, the hills and the cities,
Smiling faces, best of the best
Listen to the calls, here we are standing tall,
To love, to share, to give

Reach for the star
Fly high as we can
Brave the wind, move the mountain
We can do it, yes, we can,

Reach for the star,
Ride the clouds and the rainbow,
Dreams to borrow,
Dreams..............to inspire

From the sea, the hills and the cities
Marching in together with pride,
There's more t the game, its victory unclaimed,
For someone who dares to try

Reach for the star
Fly high as we can
Brave the wind, move the mountain
We can do it, yes, we can,

Reach for the star,
Ride the clouds and the rainbow,
Dreams to borrow,
Dreams..............to inspire

We finally found no matter win or lose,
Silver, gold or bronze or not at all
The joy we share will always linger in our hearts
Let's make a vow, before we start

Reach for the star
Fly high as we can
Brave the wind, move the mountain
We can do it, yes, we can,

Reach for the star,
Ride the clouds and the rainbow,
Dreams to borrow,
Dreams..............to inspire

Reach for the star
Fly high as we can
Brave the wind, move the mountain
We can do it, yes, we can,

Reach for the star,
Ride the clouds and the rainbow,
Dreams to borrow,
Dreams..............to inspire

Reach for the star,
We're asian friends
Reach for the star.",tata_young
จะเป็นของเธอ,/music/thailyric/2043,"I'll be your girl, if you want to
I'll be your girl, if you want to

I'll be your girl, if you want to
I'll be your girl, if you want to

เพื่อนคนที่คอยเข้าใจดี หรือพี่ที่คอยห่วงใย
จะเป็นอย่างใจที่เธอต้องการ
น้องสาวที่ตามเธอ จะคนที่รักเสมอ
ยอมเป็นให้เธอแค่เธอต้องการ

ขอเพียงแต่ มีแค่มีเธอ
เธอคนเดียว คนเดียวนะคนดี
มีจะมีให้ทุกอย่าง แค่เธอเป็น My Baby
ทำอย่างไหนก็ยินดี ทำให้เธอ My Baby

I'll be your girl, if you want to
I'll be your girl, if you want to

I'll be your girl, if you want to
I'll be your girl, if you want to

ขอเพียงแต่ มีแค่มีเธอ
เธอคนเดียว คนเดียวนะคนดี
มีจะมีให้ทุกอย่าง แค่เธอเป็น My Baby
ทำอย่างไหนก็ยินดี ทำให้เธอ My Baby

I'll be your girl, if you want to
I'll be your girl, if you want to

I'll be your girl, if you want to
I'll be your girl, if you want to

ขอเพียงแต่ มีแค่มีเธอ
เธอคนเดียว คนเดียวนะคนดี
มีจะมีให้ทุกอย่าง แค่เธอเป็น My Baby
ทำอย่างไหนก็ยินดี ทำให้เธอ My Baby

I'll be your girl, if you want to
I'll be your girl, if you want to

I'll be your girl, if you want to
I'll be your girl, if you want to",tata_young
แดนเจอรัส (Dangerous),/music/thailyric/2057,"ฉันเป็นผู้หญิงแบบประเภทอันตราย
ผู้ชายนั้นไม่ควรจะเข้าใกล้
I'm so so dangerous
ผู้ชายบางคนไม่เข้าใจ
So step back oh
ขอ space ฉันหน่อย
U get back ให้ฉัน check ซักหน่อย

Shake it shake it move it fast
shake it shake that ass
Shake it shake it move it fast
shake it shake that ass

ผมเป็นผู้ชายแบบประเภทอันตราย
ผู้หญิงนั้นไม่ควรจะเข้าใกล้
I'm so dangerous
ผู้หญิงบางคนไม่เข้าใจ

Hmmm......
I'm so dangerous
บอกให้เธอรู้ อยากให้เธอรู้
บอกให้เธอรู้ อยากให้เธอรู้
อยากให้เธอเข้าใจ ว่าฉันนั้นเป็นอย่างไร
เธออาจจะดูไม่ออก คิดว่าฉันนั้นเป็นคนขี้หลอก
ก็ฉันนั้นก็มีหัวใจ
บอกให้เธอรู้ อยากให้เธอรู้
บอกให้เธอรู้ อยากให้เธอรู้
Baby.................hey........

Sexy naughty bitchy come on
come on and dance with me
ไม่จำเป็นต้องอยู่ใน vip just check... baby.
let''s me see

Shake it shake it move it fast
shake it shake that ass
Shake it shake it move it fast
shake it shake that ass

Hmmm......
I'm so dangerous
บอกให้เธอรู้ อยากให้เธอรู้
บอกให้เธอรู้ อยากให้เธอรู้
อยากให้เธอเข้าใจ ว่าฉันนั้นเป็นอย่างไร",tata_young
บทเพลงในสายลม,/music/thailyric/2061,"ได้ยินในสายลมพัดผ่านมาทุกครั้ง
บทเพลงที่ฝังในใจเก่าหวนคืนมา
มันคือเพลงรักที่เคยถูกเขียนด้วยน้ำตา
แว่วมาสั่นไหวหัวใจอีกครั้ง

เราเคยได้พบกันมาก่อนจำได้ไหม
เพื่อนเธอคนนี้ไม่รู้เธอลืมไปหรือยัง
เก็บงำคำพูดไม่เคยบอกเธอให้ฟัง
จนมันได้สายไปเกินที่จะเอ่ย

คำเดียวเท่านั้น
ในครั้งนั้นทำไมฉันถึงไม่กล้าบอกเธอ
เก็บซุกซ่อนเอาไว้ในใจทุกทีที่เจอ
คำๆ เดียวคือคำว่ารัก ฉันรักเธอ

มันคงจะสายเกินจะบอกเธอใช่ไหม
คำพูดทั้งหลายคงต้องเก็บไว้คนเดียว
กลายเป็นเพลงรักที่ได้แต่รักข้างเดียว
และปล่อยให้สายลมมันพัดลอยไป

คำเดียวเท่านั้น
ในครั้งนั้นทำไมฉันถึงไม่กล้าบอกเธอ
เก็บซุกซ่อนเอาไว้ในใจทุกทีที่เจอ
คำๆ เดียวคือคำว่ารัก ฉันรักเธอ

มันคงจะสายเกินจะบอกเธอใช่ไหม
คำพูดทั้งหลายคงต้องเก็บไว้คนเดียว
กลายเป็นเพลงรักที่ได้แต่รักข้างเดียว
และปล่อยให้สายลมมันพัดลอยไป

เพลงรักข้างเดียว",tata_young
ไม่มีทาง,/music/thailyric/2078,"วันนั้น ฉันยังจำได้
ที่เธอเองมาบอกลา
ที่เธอเองจะไม่กลับคืนมา
มาวันนี้ เธอกลับคืนคำ
อยากจะกลับคืนย้อนเวลา
อยากให้เธอนั้นคิดถึงวันดีดี
สิ่งที่เคยเลวร้ายลืมไปซะที
Remember cool we used to be.
Ask me to forgive after you fooled me.

But you took my love
(Can you give it back to me?)
เคยทำให้ฉันต้องเสียน้ำตา
(Can you give it back to me?)
เคยทำให้ใจดีๆ ต้องล้า
(Can you give it back to me?)
และทำให้ฉันต้องเสียเวลา
(Can you give it back to me?)
You took my love
(Can you give it back to me?)
เคยทำให้ฉันต้องเสียน้ำตา
(Can you give it back to me?)
และทำให้ฉันต้องเสียเวลา
(Can you give it back to me?)

Shoot you, I don't care!
เธอไม่ได้ทำให้ใจฉันหวั่นไหว
ไม่มีวันจะเห็นใจ คนที่ทำให้เสียใจ
จบไปแล้วนี่คือฉันคนใหม่
So get a life! Leave me alone,
Now I can make it on my own!
และไม่ต้องมาทำให้ฉันสงสาร
หลบไปซะเธอทำตัวน่ารำคาญ

But you took my love
(Can you give it back to me?)
เคยทำให้ฉันต้องเสียน้ำตา
(Can you give it back to me?)
เคยทำให้ใจดีๆ ต้องล้า
(Can you give it back to me?)
และทำให้ฉันต้องเสียเวลา
(Can you give it back to me?)
You took my love
(Can you give it back to me?)
เคยทำให้ฉันต้องเสียน้ำตา
(Can you give it back to me?)
และทำให้ฉันต้องเสียเวลา
(Can you give it back to me?)

But you took my love
(Can you give it back to me?)
เคยทำให้ฉันต้องเสียน้ำตา
(Can you give it back to me?)
เคยทำให้ใจดีๆ ต้องล้า
(Can you give it back to me?)
และทำให้ฉันต้องเสียเวลา
(Can you give it back to me?)
You took my love
(Can you give it back to me?)
เคยทำให้ฉันต้องเสียน้ำตา
(Can you give it back to me?)
และทำให้ฉันต้องเสียเวลา
(Can you give it back to me?)

Now youre down on bended knee,
you won't get my sympathy.
My love has set me free
และต่อจากนี้จะแคร์ตัวเองให้ดี
You're down on bended knee,
you won't get my sympathy.
จะไม่มีทางมีวันของเรา
cos you just cant give it to me!
(Now I am free)

But you took my love
(Can you give it back to me?)
เคยทำให้ฉันต้องเสียน้ำตา
(Can you give it back to me?)
เคยทำให้ใจดีๆ ต้องล้า
(Can you give it back to me?)
และทำให้ฉันต้องเสียเวลา
(Can you give it back to me?)
You took my love
(Can you give it back to me?)
เคยทำให้ฉันต้องเสียน้ำตา
(Can you give it back to me?)
และทำให้ฉันต้องเสียเวลา
(Can you give it back to me?)

But you took my love
(Can you give it back to me?)
เคยทำให้ฉันต้องเสียน้ำตา
(Can you give it back to me?)
เคยทำให้ใจดีๆ ต้องล้า
(Can you give it back to me?)
และทำให้ฉันต้องเสียเวลา
(Can you give it back to me?)
You took my love
(Can you give it back to me?)
เคยทำให้ฉันต้องเสียน้ำตา
(Can you give it back to me?)
และทำให้ฉันต้องเสียเวลา
(Can you give it back to me?)",tata_young
ยอม,/music/thailyric/2081,"ฉันรู้ฉันรู้ ตั้งแต่วันที่ฉันนั้นมีโอกาสได้ใกล้เธอ
หัวใจฉันเองก็รู้ดี
เธอคือคนนั้น คนที่ฉันไม่เคยคิดฝันว่ามี
แล้วเธอ แล้วเธอก็ยืนอยู่ตรงนี้

แม้ว่าการ ตัดสินใจ ของฉันจะผิดพลาด
มากสักเพียงไหน ก็ไม่อาจ เปลี่ยนหัวใจ ไปจากนี้

หยุดไม่ได้แล้วทุกอย่าง ใจของฉันนั้นรักเธอ
ตั้งแต่เราได้พบหน้า สบสายตา กันและกัน
ห้ามไม่ได้แล้ว หัวใจ จะไม่ยอมปล่อยเธอให้ไปจากฉัน
แม้ต้องเจ็บสักเท่าไหร่ แม้จะต้องแลกกับสิ่งไหน (ไม่สำคัญ)

แม้ว่าการ ตัดสินใจ ของฉันจะผิดพลาด
มากสักเพียงไหน ก็ไม่อาจ เปลี่ยนหัวใจ ไปจากนี้

หยุดไม่ได้แล้วทุกอย่าง ใจของฉันนั้นรักเธอ
ตั้งแต่เราได้พบหน้า สบสายตา กันและกัน
ห้ามไม่ได้แล้ว หัวใจ จะไม่ยอมปล่อยเธอให้ไปจากฉัน
แม้ต้องเจ็บสักเท่าไหร่ แม้จะต้องแลกกับสิ่งไหน (ไม่สำคัญ)

แม้ต้องเจ็บสักเท่าไหร่ ฉันยอม",tata_young
เสียงในใจ,/music/thailyric/2094,"ในมุมเงียบที่สุด ที่ไม่เหลือใครๆ
จะมีเพียงเสียงหนึ่งข้างใน
ที่บอกเรา เราเท่านั้น ที่รู้

มีคำพูดที่หวังดี มีคนที่เฝ้าดู
แต่หากว่าใจฉันยังเต้นอยู่
ก็อยากจะทำ ไปตามหัวใจ

และเธอได้ยินอย่างฉันไหม
อะไรที่มันอยู่ข้างใน
มันคอยบอกให้ทำลงไป
ไม่ต้องกลัวและให้ฉันต้องมั่นใจ

เพราะว่าใจฉัน นั้นรู้ ดีอยู่ข้างใน
จะกอดเอาไว้ หวงแหน ไม่ทิ้งมันไป
ไม่มีคนไหน ทั้งนั้น ที่จะเข้าใจ
นอกจากตัวฉันเอง จะเชื่อแต่ใจฉันเอง

ไม่เคยเหนื่อยล้า ท้อแท้ ในคำของใคร
เจ็บปวดอย่างไร แค่ไหน ไม่เห็นจะเกรง
หากใจยังไหว สุดท้าย เราคงได้รู้เอง
จะสู้กับใจฉันเอง (จะสู้กับใจฉันเอง)
ด้วยความตั้งใจฉันเอง

และเธอก็ได้ยินใช่ไหม
อะไรที่ดังอยู่ในใจ
จงเชื่อมันและทำลงไป
ไม่ต้องกลัวและก็ขอให้มั่นใจ

เพราะเธอเท่านั้น ที่รู้ ดีอยู่ข้างใน
กอดมันเอาไว้ หวงแหน อย่าทิ้งมันไป
ไม่มีคนไหน ทั้งนั้น ที่จะเข้าใจ
นอกจากใจของเธอ หรือมากกว่าใจของเธอ

อย่าไปท้อแท้ ท้อถอย เพราะคำของใคร
เจ็บปวดอย่างไร แค่ไหน ในวันที่เจอ
หากใจยังไหว สุดท้าย มันจะเป็นวันของเธอ
จงสู้กับใจของเธอ (จงสู้กับใจของเธอ)
ด้วยความตั้งใจของเธอ

กับสิ่งที่จะฝันไป เป็นจริงไหม ไม่รู้
แต่หากว่าใจเธอยังเต้นอยู่
ก็ให้เธอทำ ไปตามหัวใจ
ถ้าหากว่าใจนี้ยังเต้นอยู่
ก็แค่ลองทำ ทำไปตาม หัวใจ",tata_young
เหตุผลไม่ต้องมี,/music/thailyric/2096,"ถ้าเธอจะมารักกัน เพราะเห็นว่าฉันไม่มีใคร
ถ้าเธอจะมาให้ใจ เพราะเห็นว่าฉันพูดว่าเหงา
ถ้าเธอจะมาร่วมทางเพราะเห็นว่าฉันนั้นไหวหวั่น
ในใจไม่เคยต้องการ ก็อยากจะขอให้เธอรู้

ฉันว่ารักไม่ควรต้องพึ่งเหตุการณ์ แต่ฉันรู้ว่าเธอไม่คิดแบบนั้น
สงสารเธอเลยต้องทำอย่างนั้น ก็เข้าใจ

แล้วถ้าฉันบังเอิญไม่เป็นอย่างนั้น ขอถามว่าเธอจะรักกันไหม
ไม่เห็นว่ามันจะมีสิ่งไหน ที่สำคัญ

รักฉันเพราะรักแค่เพียงเท่านั้นที่ต้องการ
ทุกเช้าลืมตาได้เจอกันแค่นั้นพอ
รักฉันเพราะรักแค่เพียงเท่านี้ที่ใจอยากจะขอ
เหตุผลไม่ต้องมี

ถ้าเธอจะมารักกัน เพราะเห็นว่าฉันช้ำเพราะใคร
ถ้าเธอจะมาให้ใจ เพราะเห็นว่าฉันนั้นขี้เหงา
ในใจไม่เคยต้องการ ถึงแม้อ้างว้างซักเท่าไหร่
ก็ขอให้เธอเข้าใจ แค่รักเพราะฉันนั้นเป็นฉัน

ฉันว่ารักไม่ควรต้องพึ่งเหตุการณ์ แต่ฉันรู้ว่าเธอไม่คิดแบบนั้น
สงสารเธอเลยต้องทำอย่างนั้น ก็เข้าใจ

แล้วถ้าฉันบังเอิญไม่เป็นอย่างนั้น ขอถามว่าเธอจะรักกันไหม
ไม่เห็นว่ามันจะมีสิ่งไหน ที่สำคัญ

รักฉันเพราะรักแค่เพียงเท่านั้นที่ต้องการ
ทุกเช้าลืมตาได้เจอกันแค่นั้นพอ
รักฉันเพราะรักแค่เพียงเท่านี้ที่ใจอยากจะขอ
เหตุผลไม่ต้องมี",tata_young
