song_name,href,lyric,artist
คนชั่ว 2018 (New Item),/music/thailyric/14885,"แค่เพียงได้มองตาเธอ
มันเป็นยังไงก็ไม่รู้
หัวใจฉันมันสั่น Baby
เพียงแค่อยากให้เธอรู้

และเธอก็เหมือนมีใจ
แค่เพียงได้ลองคุยเท่านั้น
หัวใจช่างตรงกัน Baby
ไม่ต้องบอกกันก็รู้

ติดเพียงแค่ฉัน
ทิ้งใครไว้รึเปล่า
ที่ข้างๆ ฉัน
มันเหมือนมีใครคนหนึ่งที่ยืนอยู่
รู้เขาต้องเสียใจ

แต่ก็ไม่สนจะเป็นยังไง
ในนาทีนี้ขอมีเพียงเธอ
ผิดในวันนี้ก็ยอมเต็มใจ
ดีกว่าต้องเสียดายที่ไม่ทำ
แค่เพียงต้องหาเวลาดีๆ
บอกกับคนที่เขายืนข้างฉัน
แค่อยากให้สองเราได้รักกัน
กับเขาและฉันมันคงสุดทางแล้ว
เพราะหัวใจ
ในวันนี้ข้างในนั้นมี แค่เธอ

ช่วยรอได้ไหมคนดี
ที่ทำก็เพื่อเธอเท่านั้น
ก็รู้มันเป็นเรื่องใหญ่ Baby
แต่ไม่ลองก็ไม่รู้

อาจจะเหมือนฉัน
ทิ้งใครไว้รึเปล่า
ที่ข้างๆ ฉัน
มันเหมือนมีใครคนหนึ่งที่ยืนอยู่
รู้เขาต้องเสียใจ

แต่ก็ไม่สนจะเป็นยังไง
ในนาทีนี้ขอมีเพียงเธอ
ผิดในวันนี้ก็ยอมเต็มใจ
ดีกว่าต้องเสียดายที่ไม่ทำ
แค่เพียงต้องหาเวลาดีๆ
บอกกับคนที่เขายืนข้างฉัน
แค่อยากให้สองเราได้รักกัน
กับเขาและฉันมันคงสุดทางแล้ว
เพราะหัวใจ
ในวันนี้ข้างในนั้นมี แค่เธอ

ก็จะไม่สนมันเป็นยังไง
ในนาทีนี้ขอมีเพียงเธอ
ผิดในวันนี้ก็ยอมเต็มใจ
ดีกว่าต้องเสียดายที่ไม่ทำ
แค่เพียงต้องหาเวลาดีๆ
บอกกับคนที่เขายืนข้างฉัน
แค่อยากให้สองเราได้รักกัน
กับเขาและฉันมันคงสุดทางแล้ว
ถึงเสียใจ
ที่ต้องทิ้งเขาไป ช่างมัน

ก็จะไม่สนมันเป็นยังไง
ในนาทีนี้ขอมีเพียงเธอ
ผิดในวันนี้ก็ยอมเต็มใจ
ดีกว่าต้องเสียดายที่ไม่ทำ",the_parkinson
แค่นี้...พอ (Present),/music/thailyric/16574,"เสียงที่เธอ จะได้ฟัง
ฉันเตรียมมันมาให้ กับเธออย่างระวัง
สิ่งที่ฉันคิด คำในใจฉันที่ไม่เคยกล้า
วันนี้ฉันเตรียมมันมา มาให้เธอ

แรกที่เราได้พบกัน
มันคือเวลาที่เปลี่ยนแปลงตัวฉันไป
เธอคงไม่รู้ มันมีความหมายมากมายแค่ไหน
ได้รู้มันดีเพียงใด แค่ได้คิดถึงเธอ Baby baby

แค่ที่เป็นอยู่ ไม่ต้องการกว่านี้
แค่ฉันมีโอกาสได้มองหน้าเธอทุกวัน
ยิ้มข้างในใจ มากมายกว่านั้นไม่ต้องการ
โลกที่มีเธอคือความสุขในใจของฉัน

ที่มันเกิด ในหัวใจ
ยิ่งนานยิ่งทำให้ มากมายขึ้นทุกวัน
เพียงแค่ได้คิด เพียงแค่ได้ฝันแค่มองอย่างนั้น
แค่นี้ก็ดีเกินพอ กับคนอย่างฉัน Baby baby

แค่ที่เป็นอยู่ ไม่ต้องการกว่านี้
แค่ฉันมีโอกาสได้มองหน้าเธอทุกวัน
ยิ้มข้างในใจ มากมายกว่านั้นไม่ต้องการ
แค่ให้เธอฟังความรู้สึกในใจของฉัน

แค่ที่เป็นอยู่ไม่ต้องการกว่านี้
แค่ฉันมีโอกาสได้มองหน้าเธอทุกวัน
ยิ้มข้างในใจ มากมายกว่านั้นไม่ต้องการ
แค่ให้เธอฟังความรู้สึกในใจของฉัน ก็พอ",the_parkinson
จะบอกเธอว่ารัก (Tell Her That I love),/music/thailyric/11664,"และใครจะรู้ รักที่มีอยู่
เก็บในใจมาแสนนาน
เก็บมันอยู่จนล้นใจ
ก็เธอนั้นอยู่สูง สูงเกินไป
ไม่มีทางที่หัวใจ
มันจะได้พูดไป ให้ฟัง

แต่ในนาทีนี้ แค่ในตอนนี้
มันเก็บไม่ไหวแล้ว
Oh baby ให้เธอ ได้รู้

จะบอกเธอว่ารัก หมดไปทั้งหัวใจ
เธอได้ยินไหม หยุดมันไม่ไหว
ตั้งแต่แรกเจอ อ่อนแอทุกครั้ง
แค่เพียงได้เห็นแววตาของเธอ
Oh baby Oh baby
แค่เพียงต้องการให้เธอได้รู้

เริ่มมาก็แสนนาน ครั้งที่เราได้เจอ
ก็มีแต่วันที่สวยงาม
เมื่อมีเธออยู่ในหัวใจ
ไม่เคยให้ใครรู้ รักที่มีให้
แต่เชื่อเถิดเธอทั้งหัวใจ
หมดทั้งข้างใน ให้เธอ

และต่อจากวันนี้ จากนาทีนี้
ไม่อยากจะเก็บแล้ว
Oh baby ให้เธอ ได้รู้

จะบอกเธอว่ารัก หมดไปทั้งหัวใจ
เธอได้ยินไหม
หยุดมันไม่ไหว ตั้งแต่แรกเจอ
อ่อนแอทุกครั้ง
แค่เพียงได้เห็นแววตาของเธอ
Oh baby Oh baby
แค่เพียงต้องการให้เธอได้รู้

จะบอกเธอว่ารัก หมดไปทั้งหัวใจ
เธอได้ยินไหม หยุดมันไม่ไหว
ตั้งแต่แรกเจอ อ่อนแอทุกครั้ง
แค่เพียงได้เห็นแววตาของเธอ
Oh baby Oh baby
แค่เพียงต้องการให้เธอได้รู้

จะบอกเธอว่ารัก หมดไปทั้งหัวใจ
เธอได้ยินไหม หยุดมันไม่ไหว
ตั้งแต่แรกเจอ อ่อนแอทุกครั้ง
แค่เพียงได้เห็นแววตาของเธอ
Oh baby Oh baby
แค่เพียงต้องการให้เธอได้รู้",the_parkinson
เป็นประจำ (Shark Week),/music/thailyric/12322,"Baby.. เธอช่างไม่สดใส
เรื่องดีๆ เธอก็ทำให้ร้าย yeah
Baby.. ฉันเฝ้าถามตัวเอง
ว่าสิ่งใดทำเธอวุ่นวาย

โว โวว ทำดีเท่าไร เธอไม่แคร์ทั้งนั้น
โว โวว ฉันทำได้เพียง น่ารำคาญเท่านั้น

โว โวว ที่ดูไม่เหมือนเธอในทุกวัน
คงเป็นเพราะวันเวลา ได้เปลี่ยนหมุน
ผ่านมาอีกครั้ง

Baby.. Alright..
คงต้องยอมเธอวันนี้ ฉันไม่เป็นไร
Baby.. Alright..
ขอแค่มีเธอ ขอแค่มีเธอ

Baby...
เธอจะเป็นอย่างไร ก็อภัยให้เธอได้ทั้งนั้น
Baby...
พร้อมฉันพร้อมจะยอม เพื่อให้เรานั้นยังรักกัน

โว โวว คงเป็นแค่เพียงบางอารมณ์เท่านั้น
โว โวว รู้ดีเป็นเพียงไม่กี่วันเท่านั้น

โว โวว ก็รู้ไม่นานมันคงพ้นผ่าน
คงได้เห็นเธอคนเดิม ที่อ่อนหวาน
อย่างในวันนั้น

Baby.. Alright..
คงต้องยอมเธอวันนี้ ฉันไม่เป็นไร
Baby.. Alright..
ขอแค่มีเธอ ขอแค่มีเธอ

Baby.. Alright..
คงต้องยอมเธอวันนี้ ฉันไม่เป็นไร
Baby.. Alright..
ขอแค่มีเธอ ขอแค่มีเธอ

ในดีๆ เธอช่างแสนอบอุ่น
รับรู้ว่าเธอคือทุกอย่าง
ดีใจที่ได้เธอมาร่วมทาง
เรื่องแค่นั้น ฉันนั้นไม่เป็นไร

Baby.. Alright..
คงต้องยอมเธอวันนี้ ฉันไม่เป็นไร
Baby.. Alright..
ขอแค่มีเธอ ขอแค่มีเธอ

Baby.. Alright..
คงต้องยอมเธอวันนี้ ฉันไม่เป็นไร
Baby.. Alright..
ขอแค่มีเธอ ขอแค่มีเธอ

Baby.. Alright..
คงต้องยอมเธอวันนี้ ฉันไม่เป็นไร
Baby.. Alright..
ขอแค่มีเธอ ขอแค่มีเธอ",the_parkinson
ไปเถอะ (Just Go.),/music/thailyric/15487,"พอนะพอฉันขอได้ไหมคนดี
ก็รู้ และเข้าใจ Hm
ไม่ต้องบอกก็พอจะรู้ เป็นใคร
คนที่เธอต้องการ ในวันนี้

เอาเลย ทำได้เลย
อยากจะทำก็ทำได้ทั้งนั้น
แม้เธอ จะไปจากฉัน

แค่นี้ใช่ไหม ที่เธอต้องการ
อย่าได้ห่วงไอ้คนอย่างฉัน
อยู่ได้อยู่แล้ว แค่ทรมาน
เก็บทุกอย่างที่เธอทิ้ง เอาไว้
อยากจะไปกับใครที่ไหนก็ไป ไม่ต้องแคร์
กับใจฉัน ไม่สำคัญ อะไร

ก็คงไม่รั้งให้เธอไม่ไป Baby
ยิ่งฝืน ยิ่งวุ่นวาย Hm
จบทุกอย่างลงในวันนี้ เป็นไง
ไม่ต้องอธิบาย ไปกว่านี้

เอาเลย ทำได้เลย
อยากจะทำก็ทำได้ทั้งนั้น
แม้เธอ จะไปจากฉัน

แค่นี้ใช่ไหม ที่เธอต้องการ
อย่าได้ห่วงไอ้คนอย่างฉัน
อยู่ได้อยู่แล้ว แค่ทรมาน
เก็บทุกอย่างที่เธอทิ้ง เอาไว้
อยากจะไปกับใครที่ไหนก็ไป ไม่ต้องแคร์
กับใจฉัน ไม่สำคัญ อะไร

แค่นี้ใช่ไหม ที่เธอต้องการ
อย่าได้ห่วงไอ้คนอย่างฉัน
อยู่ได้อยู่แล้ว แค่ทรมาน
ในที่สุดก็คงไม่ต่างกัน สุดท้ายเธอก็ไป

แค่นี้ใช่ไหม ที่เธอต้องการ
อย่าได้ห่วงไอ้คนอย่างฉัน
อยู่ได้อยู่แล้ว แค่ทรมาน
เก็บทุกอย่างที่เธอทิ้ง เอาไว้
อยากจะไปกับใครที่ไหนก็ไป ไม่ต้องแคร์
กับใจฉัน ไม่สำคัญ อยู่แล้ว",the_parkinson
เพื่อนรัก (Dear Friend),/music/thailyric/11259,"ขอโทษที่ฉันเอง ไม่อาจเป็นเหมือนเดิม
อย่างที่เธอต้องการ Oh baby
แค่เพื่อนเท่านั้น พยายามเข้าใจ
แต่ทำไมในใจของฉันยังสั่น Oh baby

เธอ เธอคงไม่รู้ ว่า
เพื่อนเธอคนนี้ ภายในใจนั้น
ข้างใน ได้เปลี่ยนไปแล้ว

เปลี่ยนไปเป็นรัก รักจนหมดหัวใจ
รักเพียงแต่เธอ ขอเพียงให้เธอได้รู้
ไม่มีอีกแล้ว เพื่อนที่เธอไว้ใจ
เหลือเพียงแต่คนๆ หนึ่ง
ที่เก็บซ่อนความรักไว้ไม่ไหว
ถ้าเธอไม่คิดอะไรอย่างนั้น
ก็แค่ทำว่าฉันไม่เคยพูดไป

ฉันคงไม่รู้ตัว ไม่ได้ทันระวัง
อยากให้เธอเข้าใจ Oh Baby
สัญญาจากนี้ไป หากเรายังต้องเจอ
จะไม่ทำให้เธอนั้นต้องรำคาญ Oh baby

เธอ เธอคงไม่รู้ ว่า
เพื่อนเธอคนนี้ ภายในใจนั้น
ข้างใน ได้เปลี่ยนไปแล้ว

เปลี่ยนไปเป็นรัก รักจนหมดหัวใจ
รักเพียงแต่เธอ ขอเพียงให้เธอได้รู้
ไม่มีอีกแล้ว เพื่อนที่เธอไว้ใจ
เหลือเพียงแต่คนๆ หนึ่ง
ที่เก็บซ่อนความรักไว้ไม่ไหว
ถ้าเธอไม่คิดอะไรอย่างนั้น
ก็แค่ทำว่าฉันไม่เคยพูดไป

เปลี่ยนไปเป็นรัก รักจนหมดหัวใจ
รักเพียงแต่เธอ ขอเพียงให้เธอได้รู้
ไม่มีอีกแล้ว เพื่อนที่เธอไว้ใจ
เหลือเพียงแต่คนๆ หนึ่ง
ที่เก็บซ่อนความรักไว้ไม่ไหว
ถ้าเธอไม่คิดอะไรอย่างนั้น
แค่สักครั้งที่ฉันได้ บอกเธอว่ารัก

รักจนหมดหัวใจ
รักเพียงแต่เธอ ขอเพียงให้เธอได้รู้
ไม่มีอีกแล้ว เพื่อนที่เธอไว้ใจ
เหลือเพียงแต่คนๆ หนึ่ง
ที่เก็บซ่อนความรักไว้ไม่ไหว
ถ้าเธอไม่คิดอะไรอย่างนั้น
ก็แค่ทำว่าฉันไม่เคยพูดไป",the_parkinson
หมดแก้ว (Delete),/music/thailyric/11313,"ทุกเรื่องที่มี เรื่องราวใดๆ
ที่ผ่านมาก็คง อย่างเคย แค่ทำเป็นไม่สนใจ
แต่กับเธอ ฉันก็ไม่รู้เสียใจแค่ไหน
รู้แค่ตอนนี้ สักนาที ฉันยังทำใจไม่ได้

จึงดื่มให้ลืม เรื่องร้ายที่เจอ
ที่คิดถึงเธอ ดื่มให้มันหาย

ลืม เรื่องราวที่ร้ายๆ ที่ต้องเสียใจ ที่ต้องเสียดาย
ให้กับเขาไป ให้กับรักจนหมดใจ

และไม่ต้องรับรู้เรื่องอะไร
ดื่มเพื่อให้ลืมเรา ดื่มเพื่อให้บรรเทา ที่ทรมานเจียนตาย
ล้างภาพที่เคย มีเธออยู่ข้างๆ กาย
ให้แทนที่ด้วยความเมา แทนที่ความรักเรา
ที่เธอได้ทิ้งมันไว้ ต้องลืมมันให้ได้

รู้ทั้งรู้ มันไม่ช่วยอะไร
ตื่นมาก็คง อย่างเคย ยิ่งชัดลงไปในหัวใจ
แต่เพื่อลืม เรื่องร้ายที่เจอ
ที่คิดถึงเธอ ก็แค่ดื่มไป

ให้ลืม เรื่องราวที่ร้ายๆ ที่ต้องเสียใจ ที่ต้องเสียดาย
ให้กับเขาไป ที่ต้องหัวใจสลาย

และไม่ต้องรับรู้เรื่องอะไร
ดื่มเพื่อให้ลืมเรา ดื่มเพื่อให้บรรเทา ที่ทรมานเจียนตาย
ล้างภาพที่เคย มีเธออยู่ข้างๆ กาย
ให้แทนที่ด้วยความเมา แทนที่ความรักเรา
ที่เธอได้ทิ้งมันไว้ ต้องลืมมันให้ได้

แต่มันไม่เคยจะหาย

ทุกคำยังชัดเจน ทุกวันยังย้ำให้เจ็บ
และรู้ไม่มีความหมาย ยกแก้วอย่าเสียดาย
รักเราสลาย แค่ดื่มมันให้พัง อีกครั้ง อีกครั้ง

รู้ทั้งรู้ มันไม่ช่วยอะไร
และดื่มอีกครั้ง แม้มันไม่ช่วยอะไร",the_parkinson
กรรมการ,/music/thailyric/17211,"ที่ปรึกษา ระหว่างเขาและเธอ
เกิดปัญหา เธอจึงมองเห็นกัน

หากรักคือเกม อยู่ในสนาม
แบ่งฝั่งกันไป เป็นข้างเขาและเธอ
ได้แต่ยืนตรงกลาง ที่เดิมเสมอ
เกมที่ฉันคงเป็นได้เพียงกรรมการ

วิ่งตามความรัก กฎใดๆ ข้างในสนาม
ฉันเข้าใจ แต่เพราะไม่มีสิทธิ์
ขอลงเข้าไปแข่งขัน
รักเหมือนกัน แต่ทำได้แค่มอง

คอยตัดสิน ผิดที่เขาหรือเธอ
ประคองไว้ ให้เป็นเกมที่ดี

แต่เอาจริงๆ ยิ่งเธอปรึกษา
ยิ่งฟังทีไร ความหวังมันยิ่งมี
ได้แต่รอเวลา ให้จบเกมนี้
จะขอลองลงเป็นตัวจริง สักวัน

วิ่งตามความรัก กฎใดๆ ข้างในสนาม
ฉันเข้าใจ แต่เพราะไม่มีสิทธิ์
ขอลงเข้าไปแข่งขัน
รักเหมือนกัน แต่ทำได้แค่

เป็นกลางทำเป็นเหมือนฉันแฟร์
ที่แท้เธอชนะทุกอย่าง
รอแค่ให้เขาผิดและพลาดเข้าสักทาง
จะคอยซ้ำ ให้เขาพ่ายแพ้ไป

วิ่งตามความรัก กฎใดๆ ข้างในสนาม
ฉันเข้าใจ แต่เพราะไม่มีสิทธิ์
ขอลงเข้าไปแข่งขัน
รักเหมือนกัน แต่ทำได้แค่มอง

เปลี่ยนตัวได้ไหม กติกา ในใจเธอนั้น
ฉันเข้าใจ แต่เพราะไม่มีสิทธิ์
ขอเดินเข้าไปในนั้น
รักเหมือนกัน แต่ทำได้แค่มอง",the_parkinson
ฉันรักเธอ...ใช่ไหม,/music/thailyric/19371,"ภาพเดิม แค่หันไป ต้องได้เจอ
ตื่นขึ้นมาก็พบเธอไม่เคยห่าง ฉันมีเธอเคียงข้าง
หลอมรวม ชีวิตเรา ไว้ด้วยกัน
จะมีเธอกับฉันเติมเต็มช่องว่าง รักกันตลอดไป

แต่ทำไมกันนะ เสี้ยวหนึ่งในหัวใจ
กลับยังคงสงสัย เรื่องเธออยู่ซ้ำ ๆ

หากว่ามันคือรัก จริงๆ แต่ทำไมยังถาม ตัวเอง
หากเธอคือคนนั้น จริงๆ ตอบตัวเองได้ไหม หัวใจ
เธอคือคนสุดท้าย จริงๆ หยุดตัวเองที่เธอใช่ไหม
มีแต่คำถามมากมายในใจ ฉันควรทำอย่างไร

เธอเดินเข้ามา ด้วยหัวใจ
อยากขอบคุณที่รักฉันไม่เคยห่าง แม้ว่าเรานั้นต่าง
ทุกวัน เธอเขียนมัน คำว่าเรา
แต่ทำไมใจฉันนั้นยังว่างเปล่า พบเพียงความสับสน

จากคนที่มาเติม ครึ่งหนึ่งของหัวใจ
กลับยังคงสงสัย เรื่องเธออยู่ซ้ำๆ

หากว่ามันคือรัก จริงๆ แต่ทำไมยังถาม ตัวเอง
หากเธอคือคนนั้น จริงๆ ตอบตัวเองได้ไหม หัวใจ
เธอคือคนสุดท้าย จริงๆ หยุดตัวเองที่เธอใช่ไหม
มีแต่คำถามมากมายในใจ ฉันควรทำอย่างไร

หากว่ามันคือรัก จริงๆ แต่ทำไมยังถาม ตัวเอง
หากเธอคือคนนั้น จริงๆ ตอบตัวเองได้ไหม หัวใจ
เธอคือคนสุดท้าย จริงๆ หยุดตัวเองที่เธอใช่ไหม
มีแต่คำถามมากมายในใจ ฉันควรทำอย่างไร

มันเฝ้าแต่ถามตัวเองในใจ (มันเฝ้าแต่ถามตัวเองในใจ)
คิดดีแล้วใช่ไหม (ขอโทษเธอได้ไหม)
กับสิ่งที่ฉันไม่เคยมั่นใจ (ฉันไม่เคยมั่นใจ)
ฉันรักเธอใช่ไหม",the_parkinson
พูดลาสักคำ,/music/thailyric/17455,"ไม่ผิดใช่ไหม ถ้าฉันนั้นอยากรู้
อยากถามเธอดู กับสิ่งที่มันเปลี่ยนไป
ที่เคยว่ารัก ตอนนี้ยังมีบ้างไหม
ฉันไม่แน่ใจ เมื่อเธอไม่เหมือนเคย

จะทิ้งฉันแล้วใช่ไหม
เห็นเธอบอกใครต่อใคร ว่าเราจะจบ
เธอพบคนดีดี ที่ผ่านเข้ามา

หากคิดว่ารักของฉัน หมดความสำคัญ
ก็ให้บอกมา เมื่อเธอพบใครดีกว่า
ในวันนี้ขอเพียงว่า ให้เธอพูดลากันสักคำ

อย่าปล่อยให้ฉัน ต้องถามคนอื่นเขา
มันเรื่องของเรา อยากจะให้เธอบอกกัน
หากจะไม่รัก ไม่ว่าอะไรทั้งนั้น
ขอคำสั้นๆ ให้เธอเป็นคนพูดมา

จะทิ้งฉันแล้วใช่ไหม
เห็นเธอบอกใครต่อใคร ว่าเราจะจบ
เธอพบคนดีดี ที่ผ่านเข้ามา

หากคิดว่ารักของฉัน หมดความสำคัญ
ก็ให้บอกมา เมื่อเธอพบใครดีกว่า
ในวันนี้ขอเพียงว่า ให้เธอพูดลากันสักคำ

จะทิ้งฉันแล้วใช่ไหม
เห็นเธอบอกใครต่อใคร ว่าเราจะจบ
เธอพบคนดีดี ที่ผ่านเข้ามา

หากคิดว่ารักของฉัน หมดความสำคัญ
ก็ให้บอกมา เมื่อเธอพบใครดีกว่า
ในวันนี้ขอเพียงว่า ให้เธอพูดลากันสักคำ

จะทิ้งฉันแล้วใช่ไหม
เห็นเธอบอกใครต่อใคร ว่าเราจะจบ
เธอพบคนดีดี ที่ผ่านเข้ามา

หากคิดว่ารักของฉัน หมดความสำคัญ
ก็ให้บอกมา เมื่อเธอพบใครดีกว่า
ในวันนี้ขอเพียงว่า ให้เธอพูดลากันสักคำ",the_parkinson
