song_name,href,lyric,artist
เคยรักฉันบ้างไหม,/music/thailyric/11625,"และแล้วก็มาถึงวัน วันที่เธอต้องไป
ใจปวดร้าว แทบแตกสลาย
ก็รู้ยังรักเธออยู่ แต่ไม่รู้จะห้ามยังไง
ต้องปล่อยไป เพราะใจสุดจะรั้ง

เพราะเธอเข้ามาเปลี่ยน
เปลี่ยนความเป็นฉันแล้วทุกสิ่ง
มันไม่จริงที่เธอจะจากไป
หัวใจเจ็บปวดแค่ไหนไม่มีใครรู้
ต้องเก็บไว้อยู่ลึกข้างใน
อีกนานไหม อีกเมื่อไรถึงจะลืมเธอ

จะผ่านคืนนี้ยังไง ข้างกายไม่มีเธออยู่
อยากบอกให้รู้ฉันคงต้องตายถ้าขาดเธอ
อยากกอดเธอไว้นานๆ
อีกสักครั้งก่อนจะจาก
มันทรมานแทบจะขาดใจ

บอกฉันหน่อยได้ไหม
ก่อนที่เธอจะจากไป
ก่อนที่ลมหายใจฉันจะสิ้นสุดวันนี้
เคยรักฉันบ้างไหม
อยากจะถามครั้งสุดท้าย
ก่อนคืนวันอันโหดร้ายจะมาถึง

บอกฉันหน่อยได้ไหม
ว่าทำไมต้องหลอกฉัน
ถ้าไม่รักก็บอกกันตั้งแต่วันนั้น
อย่าฝันจะได้หัวใจ

จะผ่านคืนนี้ยังไง ข้างกายไม่มีเธออยู่
อยากบอกให้รู้ฉันคงต้องตายถ้าขาดเธอ
อยากกอดเธอไว้นานๆ
อีกสักครั้งก่อนจะจาก
มันทรมานแทบจะขาดใจ

บอกฉันหน่อยได้ไหม
ก่อนที่เธอจะจากไป
ก่อนที่ลมหายใจฉันจะสิ้นสุดวันนี้
เคยรักฉันบ้างไหม
อยากจะถามครั้งสุดท้าย
ก่อนคืนวันอันโหดร้ายจะมาถึง

บอกฉันหน่อยได้ไหม
ว่าทำไมต้องหลอกฉัน
ถ้าไม่รักก็บอกกันตั้งแต่วันนั้น
อย่าฝันจะได้หัวใจ",tik_shiro
ไม่ตกรุ่น,/music/thailyric/1874,"ของที่ทุกวันต้องใช้ เสื้อผ้าหรืออะไร
สักวันก็คงต้องมีเก่า
รถ รถที่ใช้วันนี้ หรือเครื่องคอมดีดี
สักวันต้องเสียต้องเปลี่ยนมัน

แต่เอามาเปรียบความรักไม่ได้หรอก
เมื่อมอบรักที่ใช่กับใครสักคน
เธอก็มีคนเดียวและฉันก็มีคนเดียว
รักฉันคือเธอคนเดียวตลอดไป

ถึงฤดูกาลหมุนเปลี่ยน แม้เวลาหมุนเวียน
ฉันและเธอยังคงเป็นดังเดิม และรักที่ฉันมีให้เธอ
ใช้งานดีเหมือนเดิม ไม่เคยตกรุ่นเลย

ของที่เคยทันสมัย แล้วไม่นานเท่าไหร่
ที่ใหม่ก็เข้ามาอยู่แทน แต่ฉันไม่เคยมีข้อแม้
เธอไม่ต้องระแวง ให้เธอได้รู้ได้มั่นใจ

จะเอามาเปรียบความรักไม่ได้หรอก
เมื่อมอบรักที่ใช่กับใครสักคน
เธอก็มีคนเดียวและฉันก็มีคนเดียว
รักฉันคือเธอคนเดียวตลอดไป

ถึงฤดูกาลหมุนเปลี่ยน แม้เวลาหมุนเวียน
ฉันและเธอยังคงเป็นดังเดิม และรักที่ฉันมีให้เธอ
ใช้งานดีเหมือนเดิม ไม่เคยตกรุ่นเลย

ถึงฤดูกาลหมุนเปลี่ยน แม้เวลาหมุนเวียน
ฉันและเธอยังคงเป็นดังเดิม และรักที่ฉันมีให้เธอ
ใช้งานดีเหมือนเดิม ไม่เคยตกรุ่นเลย

ถึงฤดูกาลหมุนเปลี่ยน แม้เวลาหมุนเวียน
ฉันและเธอยังคงเป็นดังเดิม และรักที่ฉันมีให้เธอ
ใช้งานดีเหมือนเดิม ไม่เคยตกรุ่นเลย",tik_shiro
ยอมรับคนเดียว,/music/thailyric/13804,"เธอคงไม่ซึ้งถึงความปวดร้าว
ช้ำในใจปวดร้าว เศร้าเป็นอย่างไร
เธอคงไม่ซึ้งถึงคนที่เคย
รักและคอยห่วงใย
เขาทำเพื่อเธอทุกอย่าง

ใครเป็นคนปลอบโยนเอาใจ
ยามที่เธอมีทุกข์ยังไง
พอมีคนแทนฉันแล้วเธอก็ทิ้งไป

เจ็บนี้นาน ยาวนานขอพอ
ไม่ขอรอเธอคืนมา ครั้งเดียวก็เกินจะพอ
เกิดท้อเกินจะรักใคร
เธอมีใจที่ฉันยอมรับคนเดียว

เธอคงไม่ซึ้งถึงการกระทำ
ย้ำให้คอยเจ็บช้ำ คำที่เธอเอ่ยลาทุกอย่าง
เธอคงไม่คิดว่ามีความหมาย
ใครจะเป็นอย่างไร ยามที่เธอเปลี่ยนไปทุกอย่าง

ใครเป็นคนปลอบโยนเอาใจ
ยามที่เธอมีทุกข์ยังไง
พอมีคนแทนฉันแล้วเธอก็ทิ้งไป

เจ็บนี้นาน ยาวนานขอพอ
ไม่ขอรอเธอคืนมา ครั้งเดียวก็เกินจะพอ
เกิดท้อเกินจะรักใคร
เธอมีใจที่ฉันยอมรับคนเดียว

เธอทำให้รักทำไม หลงทำไมก็ไม่รู้
ตอนเธอมาทิ้งกันไป แก้ยังไง
ล้างยังไง ลบยังไงก็ไม่หาย

เจ็บนี้นาน ยาวนานขอพอ
ไม่ขอรอเธอคืนมา ครั้งเดียวก็เกินจะพอ
เกิดท้อเกินจะรักใคร
เธอมีใจที่ฉันยอมรับคนเดียว

เจ็บนี้นาน ยาวนานขอพอ
ไม่ขอรอเธอคืนมา ครั้งเดียวก็เกินจะพอ
เกิดท้อเกินจะรักใคร
เธอมีใจที่ฉันยอมรับคนเดียว

เธอเป็นใครที่ฉันยอมรับคนเดียว",tik_shiro
ก้ม,/music/thailyric/1865,"เพลง: ก้ม
ชักชวนเพื่อนฝูงมาจากทุกสารทิศ
เชียงใหม่ภูเก็ตยะลามารวมมิตร
ไฮโซไฮซ้อพ่อจนก็ไม่ผิด
อายุมากอายุน้อยเพศไหนก็มีสิทธิ์
ร่วมกันมันก้มกันอุตลุด
คนละทีสองทีก้มให้ถึงที่สุด
ผู้หญิงก้มดีดีระวังผู้ชายตาหลุด
แต่ถ้าคุณใจดีจะปรบมือให้ไม่หยุด

เทศกาลไหนคนไทยเราก็ก้ม
ปีใหม่สงกรานต์ลอยกระทงก็ได้ชม
เช็งเม้งตรุษจีนฮาโลวีนก็เหมาะสม
ก้มกันให้หนุกแต่อย่าให้ล้มอย่าเป็นลม
ถ้าใครหิวเดี๋ยวเราแจกขนม
ใครชอบของหวานมารับไปเลยลูกอม
แอลกอฮอล์ไม่ได้ก็โน่นไงน้ำส้ม
ไม่ต้องกลัวใครว่าเรามาก้มๆๆ

ก้มเยอะๆ ก้มให้ต่ำๆ ก้มโค้งๆ
ทำแบบนั้นละซ้ำๆ ขึ้นๆ ลงๆ หนุกๆ ขำๆ
เอ้าก้มเยอะๆ ก้มเยอะๆ
โยกเยอะๆ โยกให้ต่ำๆ โยกโค้งๆ
ทำแบบนั้นละซ้ำๆ ขึ้นๆ ลงๆ หนุกๆ ขำๆ
เอ้าโยกเยอะๆ โยกเยอะๆ

เรามาแดนซ์กันดีกว่า เรามามันกันดีกว่า
เรามาเต้นกันดีกว่า เรามาโยกกันดีกว่า
เรามาแดนซ์กันดีกว่า เรามามันกันดีกว่า
เรามาเต้นกันดีกว่า เรามาก้มกันดีกว่า ก้ม ก้ม ก้ม

ก้มน่าไม่ต้องมาเขินหรอกน่า
อย่ามาไม่กล้าๆๆ ทำเป็นไม่กล้าก้ม
ก็แค่ง่ายๆ แค่โยกตัวลงแล้วขย่มๆ
เห็นไหมการก้มเขามีกันมานานนม
เห็นไหมว่าก้มแล้วไม่มีขืนข่ม
ก้มกันเยอะๆ ก้มกันทุกวัน
อย่าให้ใครเขามาถามว่าวันนี้คุณก้มหรือยัง

จะทำอะไรยังไงก็ต้องก้ม
จะไปทางไหนยังไงก็ต้องก้ม
เดินผ่านผู้ใหญ่เห็นไหมก็ต้องก้ม
สวัสดีกันทุกวันก็ต้องก้ม
จะเล่นยูโดเทควันโด้ก็ต้องก้ม
มวยไทยต่อยเสร็จจะเก็บเห็ดก็ต้องก้ม
ก้มกันยันสากกะเบือยันเรือรบ
จันทโครพยังต้องก้มเก็บพระอบ

ก้มเยอะๆ ก้มให้ต่ำๆ ก้มโค้งๆ
ทำแบบนั้นละซ้ำๆ ขึ้นๆ ลงๆ หนุกๆ ขำๆ
เอ้าก้มเยอะๆ ก้มเยอะๆ
โยกเยอะๆ โยกให้ต่ำๆ โยกโค้งๆ
ทำแบบนั้นละซ้ำๆ ขึ้นๆ ลงๆ หนุกๆ ขำๆ
เอ้าโยกเยอะๆ โยกเยอะๆ

เรามาแดนซ์กันดีกว่า เรามามันกันดีกว่า
เรามาเต้นกันดีกว่า เรามาโยกกันดีกว่า
เรามาแดนซ์กันดีกว่า เรามามันกันดีกว่า
เรามาเต้นกันดีกว่า เรามาก้มกันดีกว่า ก้ม ก้ม ก้ม

อยู่กับที่มันไม่ดีมันไม่ดี
ต้องส่ายอย่างงี้ถึงจะดี๋ถึงจะดี
เต้นเยอะๆเอาเลยให้เต็มที่
เอ็กเซอร์ไซส์ วัน ทู แอนด์ ทรี
อัพแอนด์ดาวน์ตามจังหวะเพลง
โยกไปมาตามเพลงบรรเลง
โชว์ลีลาให้มันรู้ว่าใครเก่ง
ตะโกนไปทั้งฟลอร์บอกว่าเจ๋ง เจ๋ง เจ๋ง

ก้มเยอะๆ ก้มให้ต่ำๆ ก้มโค้งๆ
ทำแบบนั้นละซ้ำๆ ขึ้นๆ ลงๆ หนุกๆ ขำๆ
เอ้าก้มเยอะๆ ก้มเยอะๆ
โยกเยอะๆ โยกให้ต่ำๆ โยกโค้งๆ
ทำแบบนั้นละซ้ำๆ ขึ้นๆ ลงๆ หนุกๆ ขำๆ
เอ้าโยกเยอะๆ โยกเยอะๆ

ก้มเยอะๆ ก้มให้ต่ำๆ ก้มโค้งๆ
ทำแบบนั้นละซ้ำๆ ขึ้นๆ ลงๆ หนุกๆ ขำๆ
เอ้าก้มเยอะๆ ก้มเยอะๆ
โยกเยอะๆ โยกให้ต่ำๆ โยกโค้งๆ
ทำแบบนั้นละซ้ำๆ ขึ้นๆ ลงๆ หนุกๆ ขำๆ
เอ้าโยกเยอะๆ โยกเยอะๆ

เรามาแดนซ์กันดีกว่า เรามามันกันดีกว่า
เรามาเต้นกันดีกว่า เรามาโยกกันดีกว่า
เรามาแดนซ์กันดีกว่า เรามามันกันดีกว่า
เรามาเต้นกันดีกว่า เรามาก้มกันดีกว่า
เรามาแดนซ์กันดีกว่า เรามามันกันดีกว่า
เรามาเต้นกันดีกว่า เรามาโยกกันดีกว่า
เรามาแดนซ์กันดีกว่า เรามามันกันดีกว่า
เรามาเต้นกันดีกว่า เรามาก้มกันดีกว่า",tik_shiro
คิดถึง,/music/thailyric/1867,"โอ้ว อูว โว้ว ฮู้ว โอว.. อุอุอะอู
โอ๊ะ โอ๊ะ อ๊ะ โอ้ว.. โอ๊ะ โอ๊ะ อ๊ะ โอว
อาบน้ำก็แล้ว สระผมก็แล้ว
ยังไม่แคล้วคิดถึงเธอทุกนาที
คิดถึงเหลือเกินเหลือเกิน
อยากเจอเหลือเกินเหลือเกิน
จริง จริง.....โว้ว...โว้ว......
ดูหนังก็แล้ว ฟังเพลงก็แล้ว
ยังไม่แคล้วคิดถึงเธอทุกเวลา
คิดถึงเหลือเกินเหลือเกิน
อยากเจอเหลือเกินเหลือเกิน
จริง จริง.....โว้ว...โว้ว....

ก็มันรัก มันคิดถึง มันซึ้งในหัวใจ
อยากจะเจอ ไม่อยากนอนละเมอ
เธอนั้นคือดวงใจ
อยากเอากายมาแนบเธอ
(กายมาแนบเธอ)
อยากเอาใจมาแนบเธอ
คิดถึงเธอเหลือเกิน

โว้ว.... ฮูว โว้ว....ฮูว โวว.....
อุอุอะโอว โอ๊ะ โอ๊ะ อ๊ะ
โอ้ว.. โอ๊ะ โอ๊ะ อะ โอว

สวดมนต์ก็แล้ว เล่นเกมส์ก็แล้ว
ยังไม่แคล้วมองฟ้ายังเห็นหน้าเธอ
คิดถึงเหลือเกินเหลือเกิน
อยากเจอเหลือเกินเหลือเกิน
จริง จริง...โว้ว.....โว้ว.....
กอดหมอนก็แล้ว กอดหมาก็แล้ว
ยังไม่แคล้วมองหมายังเห็นหน้าเธอ
คิดถึงเหลือเกินเหลือเกิน
อยากเจอเหลือเกินเหลือเกิน
จริง จริง...โว้ว.....โว้ว.....

ก็มันรัก มันคิดถึง มันซึ้งในหัวใจ
อยากจะเจอ ไม่อยากนอนละเมอ
เธอนั้นคือดวงใจ
อยากเอากายมาแนบเธอ
(กายมาแนบเธอ)
อยากเอาใจมาแนบเธอ
คิดถึงเธอเหลือเกิน

ก็มันรัก มันคิดถึง มันซึ้งในหัวใจ
อยากจะเจอ ไม่อยากนอนละเมอ
เธอนั้นคือดวงใจ
อยากเอากายมาแนบเธอ
(กายมาแนบเธอ)
อยากเอาใจมาแนบเธอ
คิดถึงเธอเหลือเกิน",tik_shiro
น้ำเงี้ยว,/music/thailyric/1869,"รักหายไปแล้ว เหลือแค่แมวกับหมา
เพื่อนมันคงจะว่า ไม่มีน้ำยาใช่ไหม
เลยต้องมา หาน้ำยามาเติมใหม่
จิ๊กโก๋ก็มีหัวใจ น้ำเงี้ยว น้ำเงี้ยว
น้ำเงี้ยว เขี้ยวเรายังมี

ช่วยแกล้งเป็นแฟนให้หน่อย
อย่าปล่อยให้เราเสียฟอร์ม
แต่ถ้าเข้าขา ไม่ว่าลับหลัง
อาจจริงจังขอเป็นแฟนจริง
หากคุณช่วยผม เอ๊ะให้สมหวัง
จะสั่งใจรัก รัก รัก รัก
รัก รัก รัก รัก รัก รักเธอคนเดียว...
ไม่โกหก

รักหายไปแล้ว เหลือแค่แมวกับหมา
เพื่อนมันคงจะว่า ไม่มีน้ำยาใช่ไหม
เลยต้องมา หาน้ำยามาเติมใหม่
จิ๊กโก๋ก็มีหัวใจ น้ำเงี้ยว น้ำเงี้ยว
น้ำเงี้ยว เขี้ยวเรายังมี

เรื่องเล็กอาจเป็นเรื่องใหญ่
จะรักใครไม่ใช่เรื่องง่าย
อาจจะปิ๊งปิ๊ง อาจจะปึ๋งปั๋ง
ถ้าไม่ระวังอาจไม่สบาย
หากคุณช่วยผม เอ๊ะให้สมหวัง
จะสั่งใจรัก รัก รัก รัก
รัก รัก รัก รัก รัก
รักเธอคนเดียว...
ไม่อ้อล้อ !

รักหายไปแล้ว เหลือแค่แมวกับหมา
เพื่อนมันคงจะว่า ไม่มีน้ำยาใช่ไหม
เลยต้องมา หาน้ำยามาเติมใหม่
จิ๊กโก๋ก็มีหัวใจ น้ำเงี้ยว น้ำเงี้ยว
น้ำเงี้ยว เขี้ยวเรายังมี

ดีดาดีดำ ดำดำดำดีดา
ดำดีดาดีดำ ดำดาดีดาด๋า
ดีดาดีดำ ดำดำดำดีดา
ดำดีดาดีดำ ดำดำดำดี๋ดา

รักหายไปแล้ว เหลือแค่แมวกับหมา
เพื่อนมันคงจะว่า ไม่มีน้ำยาใช่ไหม
เลยต้องมา หาน้ำยามาเติมใหม่
จิ๊กโก๋ก็มีหัวใจ น้ำเงี้ยว น้ำเงี้ยว
น้ำเงี้ยว เขี้ยวเรายังมี",tik_shiro
โบราณแมน,/music/thailyric/1870,"I'm a โบราณแมน ประสบประการณ์เป็นแสน
จะให้ช่วยอะไรก็ว่าไป ก็ว่าไป กับโบราณแมน

ผมยังไม่แก่นะ ผมยังไม่แก่นะ ผมยังไม่แก่สักหน่อย
ผมก็ยังหนุ่ม ผมก็ยังหนุ่ม ผมก็ยังหนุ่มนะคุณ ผมเนี่ยะยังวัยรุ่น

ผมก็ยังอึดนะ ผมก็ยังแกร่งนะ ผมก็ยังคงแข็งแรง
ผมเนี่ยะแหละแชมป์ เชิญมาท้าไปแข่ง
บอลก็เตะ กอล์ฟก็ตี มวยก็ชกประจำ
ผมเนี่ยะเก่งมวยปล้ำ

I'm a โบราณแมน แต่ก็อยากมีแฟน มาลองรักกันไหม
มาวัดใจ มาวัดใจ กับโบราณแมน

สวัสดีครับ สวัสดีพี่ สวัสดีโบราณแมน
ติ๊ก ชีโร่ มาพบฮีโร่ โก้ไม่มีใครแทน
พี่นี่ก็เยี่ยม พี่นี่ก็ยอด ถอดแบบซุปเปอร์แมน
อันดับหนึ่งไทยแลนด์

โบราณไม่ได้แปลว่าไม่ดี มันก็ต้องมีของที่ดีกันบ้าง
ประสบประการณ์ที่เคยผ่านมามันก็อาจจะมีค่านะน้อง นะน้อง
ของไม่ดีพี่ไม่ให้น้องหรอก พี่เพียงแค่ขอบอกว่า I love you
ถึงจะโบแต่พี่ก็ยังสู้ คอยเป็นกำลังใจอยู่ทุกลมหายใจ

I'm a โบราณแมน แต่ก็อยากมีแฟน มาลองรักกันไหม
มาวัดใจ มาวัดใจ กับโบราณแมน",tik_shiro
ปาเจรา,/music/thailyric/1871,"ปาเจราจริยา โหนติ คุณุตตรานุสาสกา
ปาเจราจริยา โหนติ คุณุตตรานุสาสกา

ข้าขอประณตน้อมสักการ
บูรพคณาจารย์
ผู้กอปรประโยชน์ศึกษา
ทั้งท่านผู้ประสาทวิชา
อบรมจริยา
แก่ข้าในกาลปัจจุบัน

ปาเจราจริยา โหนติ คุณุตตรานุสาสกา
ปาเจราจริยา โหนติ คุณุตตรานุสาสกา

ข้าขอเคารพอภิวันท์
ระลึกคุณอนันต์
ด้วยใจนิยมบูชา
ขอเดชะกตเวทิตา
อีกวิริยะพา
ปัญญาให้เกิดแตกฉาน

ศึกษาสำเร็จทุกประการ
อายุยืนนาน
อยู่ในศีลธรรมอันดี
ให้ได้เป็นเกียรติเป็นศรี
ประโยชน์ทวี
แก่ชาติและประเทศไทยเทอญฯ

ปาเจราจริยา โหนติ คุณุตตรานุสาสกา
ปาเจราจริยา โหนติ คุณุตตรานุสาสกา

วันนี้วันครู วันนี้วันครู
วันนี้วันครู ทำให้ครูดีใจ
วันนี้วันครู วันนี้วันครู
วันนี้วันครู ทำให้ครูภูมิใจ
วันนี้วันครู วันนี้วันครู
วันนี้วันครู ทำให้ครูดีใจ
วันนี้วันครู วันนี้วันครู
วันนี้วันครู ทำให้ครูภูมิใจ

ปัญญาวุฒิกเรเตเต ทินโนวาเท นมามิหัง

ปาเจราจริยา โหนติ คุณุตตรานุสาสกา
ปาเจราจริยา โหนติ คุณุตตรานุสาสกา

ปาเจราจริยา โหนติ คุณุตตรานุสาสกา",tik_shiro
พระคุ้มครอง,/music/thailyric/1872,"โอว ละก็อยากอวยพร โอว ละก็อยากอวยพร
โอว ละก็อยากอวยพร เฮ่ย

โอว ละก็อยากอวยพร โอว ละก็อยากอวยพร
โอว ละก็อยากอวยพร เฮ่ย

โอว ละก็อยากอวยพร โอว ละก็อยากอวยพร
โอว ละก็อยากอวยพร เฮ่ย

โอว ละก็อยากอวยพร โอว ละก็อยากอวยพร
โอว ละก็อยากอวยพร เฮ่ย

ในโอกาสวันหนึ่งวันนี้ ในวาระที่เป็นวันดี
ขอให้มีแต่ความสุขขี อย่าได้มีความทุกข์ร้อนที
ขอให้ร่ำรวยมีเงินทอง มีเพชรพลอยมากองเต็มบ้าน
ครอบครัวแฮปปี้มีสำราญ สมัครสมานลูกหลานเอ็นจอย

ขอ...ให้สุข ให้สุข ให้สุข...ขี
ขอ...ให้โชค ให้โชค ให้โชค...ดี
ขอ...ให้สุข ให้สุข ให้สุข...ขี
ขอ...ให้โชค ให้โชค ให้โชค...ดี

ขอให้พระคุ้มครองนะ ขอให้พระคุ้มครองนะ
ขอให้พระคุ้มครองนะ โว้ว...ให้อายุยืนๆ

ใครมีท้องให้คลอดง่ายๆ ทำการค้าให้กำไรมากมาย
มีคนดีเป็นเพื่อนมิตรสหาย รับราชการให้มั่นคงก้าวไกล
ใครทำนาให้ราคาข้าวดี ทำสวนไร่ให้ผลผลิตดี
ขยันทำงานให้ได้เป็นเศรษฐี ประเทศไทยเจริญเกินร้อยล้านปี

ขอ...ให้สุข ให้สุข ให้สุข...ขี
ขอ...ให้โชค ให้โชค ให้โชค...ดี
ขอ...ให้สุข ให้สุข ให้สุข...ขี
ขอ...ให้โชค ให้โชค ให้โชค...ดี

ขอให้พระคุ้มครองนะ ขอให้พระคุ้มครองนะ
ขอให้พระคุ้มครองนะ โว้ว...ให้อายุยืนๆ

ขอนะขอนะขอ ขอนะขอนะขอ ขอนะขอนะขอ
ขอนะขอนะขอ ขอนะขอนะขอ

โอว ละก็อยากอวยพร โอว ละก็อยากอวยพร
โอว ละก็อยากอวยพร เฮ่ย

โอว ละก็อยากอวยพร โอว ละก็อยากอวยพร
โอว ละก็อยากอวยพร เฮ่ย

ขอให้มั่งมี ให้โชคดี มีโชคลาภ
ขอให้มั่งมี ให้โชคดี มีโชคลาภ
ขอให้มั่งมี ให้โชคดี มีโชคลาภ
อายุยืนๆ

ขอให้พระคุ้มครองนะ ขอให้พระคุ้มครองนะ
ขอให้พระคุ้มครองนะ โว้ว...ให้อายุยืนๆ

ขอให้มั่งมี ให้โชคดี มีโชคลาภ

ขอให้พระคุ้มครองนะ",tik_shiro
ภาษาดอกไม้,/music/thailyric/1873,"โอ โอ๊ โอ๊ โอ้ โอ โอ้ อาโอ โอ้อาโอ
โอ โอ๊ โอ๊ โอ้ โอ โอ้ อาโอ โอ้อาโอ

แววตาของเธอมันบอก บอกว่าไม่จริง
อยากอำหรือทำเป็นหยิ่ง จะหลอกลิงหรือไง
ตัวเรานั้นมันจริงใจ จะทำยังไงยังไงก็ไม่จาง
จะทำยังไงยังไงก็ไม่จาง

พึมพำแล้วไม่ค่อยมั่นใจ ไม่บอก I love you
งึมงำล่ะก็งงกันใหญ่ มันเสี่ยงภัยนะเธอ
คุยกันให้สบายใจ ก็คงไม่มีอะไรจะแค้นเคือง
ก็คงไม่มีไม่มีปัญหา

รักก็บอก ไม่รักก็บอก
น้ำใต้ศอกก็บอกน้ำใต้ศอก
ถ้าจะหลอกก็บอกเธอจะหลอกกันและกัน
พูดให้มันรู้ษา ภาษาดอกไม้

แววตาของเธอมันบอก บอกมีเลศนัย
ท่าทางยิ่งไปกันใหญ่ ประสาทไปไม่เป็น
พูดกันให้ใจเย็นเย็น ก็คงไม่มีอะไรจะแค้นเคือง
ก็คงไม่มีไม่มีปัญหา

รักก็บอก ไม่รักก็บอก
น้ำใต้ศอกก็บอกน้ำใต้ศอก
ถ้าจะหลอกก็บอกเธอจะหลอกกันและกัน
พูดให้มันรู้ษา ภาษาดอกไม้

คลุมเครือแล้วมันอึดอัด
ชัดชัดหน่อยได้ไหม
อ้อนวอน อ้อนวอน อ้อนวอน
อ้อนวอน อ้อนวอน อ้อนวอน.........พูดใส่หู
อยากรู้ว่าคิดยังไง บอกให้รู้มา ภาษาดอกไม้

โอ โอ๊ โอ๊ โอ้ โอ โอ้ อาโอ โอ้อาโอ
โอ โอ๊ โอ๊ โอ้ โอ โอ้ อาโอ โอ้อาโอ

รักก็บอก ไม่รักก็บอก
น้ำใต้ศอกก็บอกน้ำใต้ศอก
ถ้าจะหลอกก็บอกเธอจะหลอกกันและกัน
พูดให้มันรู้ษา ภาษาดอกไม้",tik_shiro
