song_name,href,lyric,artist
เว้าบาป,/music/thailyric/22449,"โอย ละนา โอ๊ะ โอ๊ะ โอ โอย
โอย ละนา โอ้ย ฮึ โอ้ย ฮึ
โอย ละนา โอ้ยเนาะ โอ้ยเนาะ

น้องน้องน้องน้อง นาง น้องนางฟังอ้ายสาก่อน
เจ้าอย่าฟ้าวงอน อย่าฟ้าวเว่าบาปอ้ายหลาย
มื้อมื้อมื้อมื้อ นั่น ที่เจ้าโทรเป็นสิบสาย
อ้ายบ่ได้รับ อัปเดตซอฟต์แวร์อยู่คนงาม

มื้อมื้อมื้อมื้อ นั่น ที่อ้ายผิดนัดกับเจ้า
เจ้านายเพินใช้ อ้ายตั้งแต่เช้าเท่าค่ำ
มื้อมื้อมื้อมื้อ นั่น บ่ได้ตอบแชตก้อนคำ อ้ายเลิกงานค่ำ
จั๊กหยังต่อหยังเวียกงานหลาย

ยุงกะบ่ให้ไต่ ไรกะบ่ให้ตอม
อีหยังกะยอม ยอม ยอม เจ้าซุแนวซุอย่าง
ฟ่าวแล่นนำแล่นหา
บ่ว่าขาดเหลืออีหยัง แต่อ้ายกะยัง ยังตกเป็นผู้ร้าย

ป่าล่า ผู้แก้มป่าล่า เป็นหยังคือว่า อ้ายบ่สนใจ
ปี่หลี่ ผู้แก้มปี่หลี่ เป็นหยังคือว่า อ้ายนี้เบิดใจ
ปุ่ยลุ่ย ผู้แก้มปุ่ยลุ่ย เป็นหยังคือว่า อ้ายมีคนใหม่
เปิ่นเวิ่น ผู้แก้มเปิ่นเวิ่น เป็นหยังคือเอิ้น อ้ายคนหลายใจ

ฮักเจ้าสิตาย ฮักหมดหัวใจบ่มีสาวอื่น
สิเช้ากะฮัก สิแลงกะฮัก แต่แม่ขวัญยืน
สิกินสินอนสิตื่น ทุกวันทุกคืนกะฮักแต่เจ้า
กะจังแมนเว่า เว่าบาปอ้ายเนาะ กะจังเเมนเว่า เว้าบาปอ้ายเนาะ
โอ้ยฮึ  โอ้ยฮึ  เว่าบาปอ้ายเนาะ โอ้ยเนาะ โอ้ย เนาะ

น้องน้องน้องน้อง นาง กะซั่นเฮาเอาจังซี่
ตามใจคนดี มื้อนี้แบบบ่ต้องขอ
จัดจัดจัดจัด ไป เสื้อผ้ากระเป๋าสร้อยคอ
จิ้มจุ่มจิ้มจอ จัดให้มันพอสมเคียดหลาย

ยุงกะบ่ให้ไต่ ไรกะบ่ให้ตอม
อีหยังกะยอม ยอม ยอม เจ้าซุแนวซุอย่าง
ฟ้าวแล่นนำแล่นหา บ่ว่าขาดเหลืออีหยัง
แต่อ้ายกะยัง ยังตกเป็นผู้ร้าย

ป่าล่า ผู้แก้มป่าล่า เป็นหยังคือว่า อ้ายบ่สนใจ
ปี่หลี่ ผู้แก้มปี่หลี่ เป็นหยังคือว่า อ้ายนี้เบิดใจ
ปุ่ยลุ่ย ผู้แก้มปุ่ยลุ่ย เป็นหยังคือว่า อ้ายมีคนใหม่
เปิ่นเวิ่น ผู้แก้มเปิ่นเวิ่น เป็นหยังคือเอิ้น อ้ายคนหลายใจ

ฮักเจ้าสิตาย ฮักหมดหัวใจบ่มีสาวอื่น
สิเช้ากะฮัก สิแลงกะฮัก แต่แม่ขวัญยืน
สิกินสินอนสิตื่น ทุกวันทุกคืนกะฮักแต่เจ้า
กะจังแมนเว่า เว่าบาปอ้ายเนาะ กะจังเเมนเว่า เว้าบาปอ้ายเนาะ
โอ้ยฮึ  โอ้ยฮึ  เว่าบาปอ้ายเนาะ โอ้ยเนาะ โอ้ย เนาะ

เว่าบาปอ้ายเนาะ โอ้ยเนาะ โอ้ยเนาะ
เซาเคียดให้อ้ายสาเนาะ",tree_chainarong
ความจำเรื่องเจ้า,/music/thailyric/19913,"เป็นจังใด๋น้อ เจ้าจากไปอยู่ไสน้อ
จากคนรอ ที่ลืมเรื่องเก่าบ่ไหว
ทุกความจำบ่อาจลบ ถึงเพียงคบแล้วจบไป
เรื่องเจ้าในใจ ซึมแทรกทุกใยความจำ ฮือ ฮือ

แสงแดดยามเช้า เคยส่องเงาเราเดินเคียง
ได้ยินเพียง เสียงเพลงเคยชอบยังช้ำ
ร้านริมทางเคยนั่งคอย ร้านปากซอยมีส้มตำ
ล้วนมีรอยจำ ที่เจ้านั้นทำแวะมาย้ำใจ

สิลืมจังใด๋ สิลบจังใด๋
ความจำเรื่องเจ้า เมื่อความเป็นเรา
นั้นมีเรื่องราว หล่นตามเส้นทางมากมาย
เจ้าแค่ลาก็ลืมกัน เพราะมีคนคอยลบใจ
แต่สำหรับอ้าย ให้ลืมหายใจ นั้นคงง่ายกว่า

เปิดเบิ่งทีวี ยังมีภาพเงาเจ้าทับซ้อน
ข่มตานอน ยังฝันว่าเจ้ากลับมาหา
มือถือดังขึ้นยามใด ยังคิดว่าเป็นเจ้าโทรมา
ทุกห้วงเวลา เจอแต่ภาพเงาของเจ้าหลอนใจ

สิลืมจังใด๋ สิลบจังใด๋
ความจำเรื่องเจ้า เมื่อความเป็นเรา
นั้นมีเรื่องราว หล่นตามเส้นทางมากมาย
เจ้าแค่ลาก็ลืมกัน เพราะมีคนคอยลบใจ
แต่สำหรับอ้าย ให้ลืมหายใจ นั้นคงง่ายกว่า

โฮ โฮ ความทรงจำนั้นมีแต่เจ้า
โอโอ้ ทุกเรื่องราวมีเจ้าผู้เดียว",tree_chainarong
ตัวเลือกสุดท้าย,/music/thailyric/15010,"คงสิบ่เป็นหยังถ้ายังสิยืนอยู่ตรงนี้
ทั้งที่ใจฮู้ดีว่าเจ้านั้นมีเขา
มันกะบ่ได้ยืนขวางทางผู้ใด๋เด้ใจเฮา
แค่แอบฮักเจ้า จากเขาคือกัน

จอบซอมเจ้ามาตั้งดน ก่อนที่เขาคนนั้นสิเข้ามา
แต่บ่เคยมีค่า จากสายตาเจ้าเลยจักเทือ
จักสิเฮ็ดจั่งใด๋ แค่เพียงเศษใจเหลือๆ
คั่นได้รับจากเจ้าจักเทือ คงสิฮู้สึกดี

สิบ่หนีไปไสดอกหวา
กะยังสิคองสิถ่าแต่โตเจ้า
ถึงว่ามันสิดนปานใด๋
ขอเป็นตัวเลือกสุดท้าย กะได้อยู่ตรงนี้
ตอนที่บ่เหลือผู้ใด๋ ให้คิดว่ายังมีอ้ายคนนี้
ที่ยังฮักเจ้าทุกนาที บ่มีเปลี่ยนแปลง

คงสิบ่เป็นหยัง ถ้ายังสิยืนอยู่ตรงนี้
ทั้งที่ใจฮู้ดีว่าเจ้านั้นมีแต่เขา
ทำได้เพียงแอบยิ้มให้เจ้าไปเบาๆ
คนแอบฮักคือเฮากะเฮ็ดได้ส่ำนี้

จอบซอมเจ้ามาตั้งดน ก่อนที่เขาคนนั้นสิเข้ามา
แต่บ่เคยมีค่า จากสายตาเจ้าเลยจักเทือ
จักสิเฮ็ดจั่งใด๋ แค่เพียงเศษใจเหลือๆ
คั่นได้รับจากเจ้าจักเทือ คงสิฮู้สึกดี

สิบ่หนีไปไสดอกหวา
กะยังสิคองสิถ่าแต่โตเจ้า
ถึงว่ามันสิดนปานใด๋
ขอเป็นตัวเลือกสุดท้าย กะได้อยู่ตรงนี้
ตอนที่บ่เหลือผู้ใด๋ ให้คิดว่ายังมีอ้ายคนนี้
ที่ยังฮักเจ้าทุกนาที บ่มีเปลี่ยนแปลง

ที่ยังฮักเจ้าทุกนาที บ่มี เปลี่ยนแปลง",tree_chainarong
เทศกาลของหัวใจ,/music/thailyric/22651,"โอ ฮะโอ ฮะโอละนอ ฮะโอ ฮะโอละนอ ฮะโอ ฮะโอละน้อ
โอ ฮะโอ ฮะโอละนอ ฮะโอ ฮะโอละนอ ฮะโอ ฮะโอละน้อ

สวัสดีครับ คนสวย สวัสดีครับ
บ่เจอกันนานน้อครับ ยอมรับคิดถึงมากมาย
เหมือนกันบ่ครับ เคยคิดคือกันบ่ครับ
มันเหงาในใจน้อครับ ชีวิตในวันดิ้นรน

ขาดเรื่องเบิกบาน ทุกวันมีแต่กังวล
ในโลกอันแสนวกวน ผู้คนก็ดูเครียดไป
ดั่งเทศกาล  ถูกเนรเทศไปไกล
อยู่กินกับความเหงาใจ ซึมๆ เศร้าๆ เบลอๆ

คือจั่งได้เปิดผ้าม่านกั้น
เมื่อเธอเดินผ่าน ผ่านมาให้เจอ
สว่างไสว ในใจเสมอ
เหมือนเดินเข้างาน งาน Big mountain ที่เขาใหญ่

ได้เจอะหน้าเจ้าเหมือนเดินเข้างานบุญ
รอยยิ้มอุ่นอุ่น ช่างเป็นพระคุณค้ำใจ
บ่ต้องรอ งานผ้าป่า กฐิน
บ่ต้องรอตรุษจีน  หรือ สงกรานต์ ปีใหม่
บ่ต้องรองานเลี้ยง งานแต่ง บ่ต้องจัดแจงจุดพลุใดใด
เจอะเธอ เหมือนเจอแสงไฟ
พบหน้ายามใด เหมือนใจมีเทศกาล

คือจั่งได้เปิดผ้าม่านกั้น
เมื่อเธอเดินผ่าน ผ่านมาให้เจอ
สว่างไสว ในใจเสมอ
เหมือนเดินเข้างาน งาน Big mountain ที่เขาใหญ่

ได้เจอะหน้าเจ้าเหมือนเดินเข้างานบุญ
รอยยิ้มอุ่นอุ่น ช่างเป็นพระคุณค้ำใจ
บ่ต้องรอ งานผ้าป่า กฐิน
บ่ต้องรอตรุษจีน  หรือ สงกรานต์ ปีใหม่
บ่ต้องรองานเลี้ยง งานแต่ง บ่ต้องจัดแจงจุดพลุใดใด
เจอะเธอ เหมือนเจอแสงไฟ
พบหน้ายามใด เหมือนใจมีเทศกาล

ได้เจอหน้าเจ้า เหมือนเดินเข้างานบุญ
รอยยิ้มอุ่นๆ ช่างเป็นพระคุณค้ำใจ
บ่ต้องรอ งานผ้าป่า กฐิน
บ่ต้องรอตรุษจีน  หรือ สงกรานต์ ปีใหม่
บ่ต้องรองานเลี้ยง งานแต่ง บ่ต้องจัดแจงจุดพลุใดใด
เจอะเธอ เหมือนเจอแสงไฟ
พบหน้ายามใด เหมือนใจมีเทศกาล

โอ ฮะโอ ฮะโอละนอ ฮะโอ ฮะโอละนอ ฮะโอ ฮะโอละน้อ
โอ ฮะโอ ฮะโอละนอ ฮะโอ ฮะโอละนอ ฮะโอ ฮะโอละน้อ
ฮะโอ ฮะโอ้ ละน้อ",tree_chainarong
บ่น่าเฮ็ดกันดอก,/music/thailyric/15539,"น่าสิบอกว่าจบ น่าสิบอกว่าเซาคบกันโลดน้อคนไค
ขั่นเจ้าเบิ๋ดใจ แล้วกะบ่ได้ฮัก
บ่น่าสิปิดบัง บ่น่าตั๋วอ้ายหย่างมาเพื่ออกหัก
ขั่นว่าเจ้าเสื่องเขาไว้ถ่าฮักแล้วเต็มหัวใจ

คนมีป่องไป กะซำบาย สิจังใด๋ กะบ่มีหยังยาก
แต่คนหัวใจพัง มันอุกอั่ง มันอุกอั่ง จั๊กสิเฮ็ดจังใด๋

บ่น่าเฮ็ดกันดอก บ่น่าเฮ็ดกันดอก
บ่น่าหลอกว่าฮักกันคือเก่า
แม่นน้องฮักเขา อ้ายบ่ได้ว่า กะให้เจ้าไป
บ่น่าเฮ็ดกันดอก บ่น่าเฮ็ดกันดอก
เฮ็ดแบบนี้บ่ต่างกับฆ่าอ้าย
ทำท่าว่าฮัก แต่บ่ได้มีใจ
เจ้ากะส่างเฮ็ดได้ มีคนสิตายบ่ฮู้ติ

แม่นเจ้าบอกว่าจบ
แม่นเจ้าบอกว่าเซาคบ อ้ายกะบ่ได้ว่าหยัง
บ่ได้คิดสิเหนี่ยวสิรั้งเจ้าดอกคนดี
บอกกันกะได้ว่าเจ้ามีคนใหม่ แล้วในมื้อนี้
อ้ายสิค่อยหาเอาดอกวิธี รักษาแผลใจ

คนมีป่องไป กะซำบาย สิจังใด๋ กะบ่มีหยังยาก
แต่คนหัวใจพัง มันอุกอั่ง มันอุกอั่ง จั๊กสิเฮ็ดจังใด๋ โอ้ย

บ่น่าเฮ็ดกันดอก บ่น่าเฮ็ดกันดอก
บ่น่าหลอกว่าฮักกันคือเก่า
แม่นน้องฮักเขา อ้ายบ่ได้ว่ากะให้เจ้าไป
บ่น่าเฮ็ดกันดอก บ่น่าเฮ็ดกันดอก
เฮ็ดแบบนี้บ่ต่างกับฆ่าอ้าย
ทำท่าว่าฮัก แต่บ่ได้มีใจ
เจ้ากะส่างเฮ็ดได้ มีคนสิตายบ่ฮู้ติ

จั๊กสิเว้าจังใด๋ดี โอ้ย บ่น่าเฮ็ดกันดอก",tree_chainarong
ปอนปอน On สตาร์,/music/thailyric/22214,"ก้อนดินก้อนหนึ่ง ถูกโชคชะตา
มองเห็นคุณค่าก้มเก็บมาวางบนพื้นที่ดาว
เมื่อโดนแสงส่อง ก็ผ่องก็ดูเพริดพราว
อยู่เวทีดาว แต่ใจเราก็ยังปอนปอน

ขอเป็นดาวใหม่ ที่ใจเป็นดิน
ลอยล่องเมฆินทร์แต่ใจยังอินทางดินบ้านดอน
ขอทำหน้าที่ให้สุดบนทางสัญจร
เป็นดาวปอนปอน เป็นแสงนีออนบนก้อนดิน

อย่าลืมกันนะสัญญา
ฉันคงไร้ค่าหากเธอมองไม่อิน
แววซุปตาร์ อาจดูหมองยามเธอหมิ่น
คำตัดสินคือรักเธอ

ก็ยังเป็นคนปอนปอน อยู่จุดไหนใจปอนปอน
ก็ยังคอยให้เธอแคร์อยู่เสมอ
อยากฟังเสียงคนปอนปอน บอกให้ฉันรู้ว่าเธอ
ทัก คอยส่งรักให้มาเจอ ยังรอเธอ บอกว่ารักกัน

ฟ้าดินกำหนด รับบทเป็นดาว
ก่อนจะแพรวพราวอวดสุกสกาวแข่งดาวร้อยพัน
ไม่ลืมตัวดอกก็เทียวบอกใจทุกวัน
จะยังยืนยันส่องสีสันในนามก้อนดิน

อย่าลืมกันนะสัญญา
ฉันคงไร้ค่าหากเธอมองไม่อิน
แววซุปตาร์ อาจดูหมองยามเธอหมิ่น
คำตัดสินคือรักเธอ

ก็ยังเป็นคนปอนปอน อยู่จุดไหนใจปอนปอน
ก็ยังคอยให้เธอแคร์อยู่เสมอ อยากฟังเสียงคนปอนปอน
บอกให้ฉันรู้ว่าเธอ ทักคอยส่งรักให้มาเจอ
ยังรอเธอ ชูป้ายบอกรักกัน

ก็ยังเป็นคนปอนปอน อยู่จุดไหนใจปอนปอน
ก็ยังคอยให้เธอแคร์อยู่เสมอ
อยากฟังเสียงคนปอนปอน บอกให้ฉันรู้ว่าเธอ
ทัก คอยส่งรักให้มาเจอ ยังรอเธอ บอกว่ารักกัน",tree_chainarong
ไผ,/music/thailyric/13938,"ง่ายๆ แบบนี้เลยน้อ ถิ่มกันจ้อๆ
จั่งซี่กะได้น้อคน
ฮักเฮา ฮักแพงกันมาตั้งดน
ไผน้อมาปน มา พัง

หลอยไป ไปแบบบ่มีเค้า
โทรหาบ่เว้า ไลน์ไปบ่อ่านเลยนาง
ตั้งใจ บล็อกอ้ายจากทุกช่องทาง
คือโพดแท้นาง งึด ใจ

ไผ เขาเป็นไผ คือมาหยามใจอ้ายคัก
มาหลอยเขี่ยบอลเตะลอดดาก
ยิงประตูใจเจ้าง่ายๆ
ไผ น้อผู้สาว คือเฮ็ดให้เจ้าลืมอ้าย
ถิ่มกันง่ายๆ จบกันง่ายๆ
ผู้ใด๋น้อ คือโตการ

ง่ายๆ กะได้อยู่น้อ ถ้าบ่ฮักกะด้อ
คงสิบ่ทรมาน ฮู้ตัวก็มื้อที่เจ้าถิ่มกัน
กินหญ้ามานาน อ้ายมันเจ็บหลาย

คักแท้หนอ คือเฮ็ดกันคักแท้หนอ
คือคักแท้หนอ บ่จื่อเลยบ่
คำเว้าเคยบอกว่าฮัก งึด งึด เด้ใจ โอ

ไผ เขาเป็นไผ คือมาหยามใจอ้ายคัก
มาหลอยเขี่ยบอลเตะลอดดาก
ยิงประตูใจเจ้าง่ายๆ
ไผ น้อผู้สาว คือเฮ็ดให้เจ้าลืมอ้าย
ถิ่มกันง่ายๆ จบกันง่ายๆ บักใด๋น้อ
เป็นตัวการ ไปหลอยคบกันมานาน
เจ้าเจ็บคิงให้เขา  ล่ะบ่",tree_chainarong
ฝันว่าได้เป็นพระเอก,/music/thailyric/19724,"ล่ะก่อนสิเปิดผ้าม่านกั้ง อยากขอหยั่งกระแสเสียง
เป็นจังใด๋น้อหน้าเวที คือมิดซีหลี่แท้น้อ
หนีเมือบ้านเบิ่ดแล้วบ้อ ขอเสียงแนเร็ว
อยากขอฟังน้อสำเนียง ว่าค่อยแฮงหรือแซงโค้ง

ตรี  ชัยณรงค์ น้อมาแล้ว ขอแฮงเชียร์ดังถี่ถี่ ดังถี่ถี่
พวงมาลัยจาก FC หน้าเวทีให้อั่งล้น หลูโตนชาติ
หล้าแนเด้อ เออ เอ้ย โอ โอย เด้อแฟนเอ้ย

ยังฮักเหมือนเดิม ยังเหมือนเดิมบ่น้อแฟนจ๋า
ยังฮักบักหล้าตรี ชัยณรงค์คือเก่าบ่
ออกมาลำวันนี้รับบทพระเอกพุ้นเด้อแม่พ่อ
ใส่ชุดเพชรเลื่อมเลยน้อ คือแนบ่ หรือบ่เป็นตา

ขอบคุณนะ ที่ยังมารอหน้าเวที
ขอบคุณ FC ทุกเวทีที่ยังเห็นหน้า
มาลัยแบงค์ซาว แบงค์ร้อย แบงค์พัน ที่แฟนยื่นมา
โปรดจงรู้ว่ามันล้ำค่า กับผมเหลือเกิน

เสียงลำเอิ้น ปลื้มใจเหลือเกินที่แฟนหุ้มแฟนเห่อ
เสียงลำเอิ้น ปลื้มใจเหลือเกินที่แฟนหุ้มแฟนเห่อ
ขอบคุณเด้อ ขอบคุณพี่น้องที่หยิบยื่นฮักแพง

ชุดพระเอกถูกแรงแสงส่อง
จังหวะทำนอง เสียงเบส เสียงกลองพาซิ่ง
มันดังตึ้ม ตึ้ม ตึ้ม ตึ้ม ตึ้ม ตึ้ม ตึ้ม ตึ้ม
มันดังตึ้ม ตึ้ม กระหึ่มเมื่อฝันเป็นจริง
ชีวิตที่เคยโดนทิ้ง วันนี้ดีขึ้นจนงง

ตรี  ชัยณรงค์ ชูป้ายไฟ บอกฮักอ้ายตรี
ฮักตรี ฮักตรี จาก FC ที่คอยเสริมส่ง
กราบขอบคุณเด้อ ชาตินี้ตรีลืมไม่ลง
แรงใจที่แฟนยู้ส่ง ผ่านแบงค์มาลัยล้นคอ

โอ๊ยน้อกำลังเป็นปลื้ม โอ๊ยน้อกำลังใจชื่น
กะสะเดิดตื่นย้อนเสียงฟ้าฮั่ว ห่ากินหัว
โอ๊ยฝันไปตั้วะนี่ ตั้วะนี่ โอ๊ย ตั้วะนี่  ตั้วะนี่
อีหลีแล้วบ่เป็นตา ชุดชาวนาก็ยังคาคิงอยู่
เพชรสวยหรูอยู่ในมาดพระเอก
คือสเปกที่อยากเป็นทุกมื้อ

แต่ความจริงคือ แค่ฝันพ้อ โอ๊ย เด้น้อ",tree_chainarong
แพ้ฮักผู้บ่าวอินดี้,/music/thailyric/22597,"ถิ่มกันซ้ำเนาะ ผู้สาวผู้สาวอินดี้
จ้วดคักอีหลี บ่บอกบ่ลาจั่กคำ
ขุดหลุมฝังใจ ฝังใจอ้ายใส่ลวดหนาม
จั่งแม่นใจดำ ใจดำกะเดี้ยกะด้อ

ล่าสุดเจ้าโพสต์ เจ้าโพสต์ลงสตอรี่
มีแฟนทั้งที มันต้องอินดี้ตั้วเนาะ
อัพรูปคู่คลั่งฮัก ปานบ่เคยพ้อ
บ่ฮู้เเนบ้อ มีคนสิตายทางพี้

ผู้บ่าวบ้านๆ น้องว่ามันยังบ่คัก
น้องเลยไปฮัก ไปฮักผู้บ่าวอินดี้
เขามีกระแส บ่หล่าบ่เชยคืออ้ายคนนี้
เลี้ยงไก่นอนนาจั่งซี้ สิหาเงินไสน้อไปสู่ขอ

แม่นควมเจ้าว่า อ้ายแค่ผู้บ่าวไทบ้าน
โซเชียลบ่หมาน อ้ายมันอินดี้บ่พอ
โปรไฟล์สุดเชย เจ้าเลยบ่ฮักบ่รอ
เหลือใจแท้หนอ เเพ้ฮักผู้บ่าวอินดี้

ผู้บ่าวบ้านๆ น้องว่ามันยังบ่คัก
น้องเลยไปฮัก ไปฮักผู้บ่าวอินดี้
เขามีกระแส บ่หล่าบ่เชยคืออ้ายคนนี้
เลี้ยงไก่นอนนาจั่งซี้ สิหาเงินไสน้อไปสู่ขอ

แม่นควมเจ้าว่า อ้ายแค่ผู้บ่าวไทบ้าน
โซเชียลบ่หมาน อ้ายมันอินดี้บ่พอ
โปรไฟล์สุดเชย เจ้าเลยบ่ฮักบ่รอ
เหลือใจแท้หนอ เเพ้ฮักผู้บ่าวอินดี้

โปรไฟล์สุดเชย เจ้าเลยบ่ฮักบ่รอ
เหลือใจแท้หนอ เเพ้ฮักผู้บ่าวอินดี้",tree_chainarong
โพสต์เขาเจ้าเมนต์,/music/thailyric/18715,"ไว้ใจเขา เชื่อใจเขาเบิ่ดซุอย่าง
ย้อนว่าฮัก กะเลยบ่ได้คิดหยัง
มีแต่ฮัก เบิ๋ดใจอ้ายมีแค่นั้น
แต่เขากะยังบ่พอใจ

บอกกับอ้ายว่าบ่มีไผ
บอกกับเขาว่าบ่มีอ้าย
คือตั๋วกันได้ เจ้าเห็นอ้ายเป็นอิหยัง

โพสต์เขาแต่เจ้าคือเมนต์บอกฮักบอกคิดฮอดกัน
อ้ายอ่านแล้วใจมันสั่นมันเจ็บแฮงหลาย
กดไลก์หัวใจให้เขา บัดรูปคู่เฮาคือกดเคียดให้อ้าย
เจ็บพอตายแล้วเด้อหัวใจ ไสว่าฮักอ้าย

บอกกับอ้ายว่าบ่มีไผ
บอกกับเขาว่าบ่มีอ้าย
คือตั๋วกันได้ เจ้าเห็นอ้ายเป็นอิหยัง โอ๊ย

โพสต์เขาแต่เจ้าคือเมนต์บอกฮักบอกคิดฮอดกัน
อ้ายอ่านแล้วใจมันสั่นมันเจ็บแฮงหลาย
กดไลก์หัวใจให้เขา บัดรูปคู่เฮาคือกดเคียดให้อ้าย
เจ็บพอตายแล้วเด้อหัวใจ

โพสต์เขาแต่เจ้าคือเมนต์บอกฮักบอกคิดฮอดกัน
อ้ายอ่านแล้วใจมันสั่นมันเจ็บแฮงหลาย
กดไลก์หัวใจให้เขา บัดรูปคู่เฮาคือกดเคียดให้อ้าย
เจ็บพอตายแล้วเด้อหัวใจ ไสว่าฮักอ้าย

เจ็บพอตายแล้วเด้อหัวใจ ไสน้อว่าฮักอ้าย",tree_chainarong
