song_name,href,lyric,artist
กะคนบ่ฮักกัน,/music/thailyric/22014,"อ้ายคงบ่ฮู้ว่าความคิดฮอดมันเป็นจั่งใด๋
กะแม่นล่ะเนาะ คนบ่มีใจ เฮ็ดฮักเหี่ยไว้แล้วอ้ายกะป๋า
ความฮักให้ไป บ่มีความหมายเลยบ้ออ้ายจ๋า
น้องเลยได้แต่ฮอยน้ำตา อ้ายลืมสัญญาเบิ่ดค่าอีหลี

บ่จำเลยบ้อ ว่าน้องนั้นเป็นผู้ใด๋
อ้ายเคยสัญญากันไว้ จนฮอดมื้อตายใจอ้ายบ่ลืม
แต่มาวันนี้อ้ายมิดซีลี่ ใจน้องหนิซึม
มื้อใด๋น้อน้องจังสิลืม แฮงเจ็บแฮงตื่มยามคิดพ้อหน้า

กะแม่นล่ะน้อ แนวอ้ายมันคนหลายใจ
ไปฮักผู้ใด๋ กะเฮ็ดให้เขามีน้ำตา
มันเจ็บอีหลี จนฮอดมื้อนี้ หัวใจน้องจนชา
อยากสิฮ้องดังดังขึ้นฟ้า กะย่านคนส่าว่าน้องโง่หลาย

กะแม่นล่ะน้อ แนวอ้ายมันคนหลายใจ
ไปฮักผู้ใด๋ กะเฮ็ดให้เขามีน้ำตา
มันเจ็บอีหลี จนฮอดมื้อนี้ หัวใจน้องจนชา
อยากสิฮ้องดังดังขึ้นฟ้า กะย่านคนส่าว่าน้องโง่หลาย

อยากให้อ้ายฮู้ ว่าน้องสิรอแต่อ้ายผู้เดียว
แมนไผมาหยอกน้องบ่เคยเหลียว บ่เคยข้องเกี่ยว เพราะใจฮักมั่น
กะคิดไปเนาะ กะคั่นแมนอ้ายนั้นบ่ลืมกัน
สาธุแม้กลับมาฮักมั่น สิขอบคุณสวรรค์ คั่นฝันเป็นจริง

แต่ความจริงบ่เป็นคือนั่น เพราะอ้ายลืมกัน จนเบิดหัว ใจ",vieng_narumon
ของอ้ายหรือของถิ่ม,/music/thailyric/16327,"อ้ายคือหล่อแท้เด้ อ้ายคือดีแท้น้อ
มันสิแม่นอยู่บ๋อ ว่าฮักน้องนี้
เชื่ออยู่ว่าอ้ายฮักเชื่อคักว่าอ้ายดี
แต่น้องนั่นติ๊ ย่านแต่บ่สม อ้าย

ถามหัวใจเสมอ อ้ายฮักจริงบ่นะ
สาวที่อ้ายผ่านตา นับคนบ่ได้
หม่องน้องยืนอยู่นี้ คงเป็นพื้นที่เสี่ยงใจ
น้ำตาสิไหล สิเจ็บ มื้อใด๋บ่ฮู้

แต่เฮ็ดจังใด๋ มันฮักอ้ายแล้ว
เผลอฮักไปแล้ว แบบยั้งบ่อยู่
เสี่ยงใจเสี่ยงเจ็บกะฮู้ แต่เลือกสิอยู่หม่องนี้
สิเป็นของอ้าย หรือเป็นของถิ่ม
หรือมาหลอกชิม อิ่มแล้วสิหนี
คนตอบคำถามได้ดี กะมีแต่อ้ายนั่นแล๋ว
โอ่ โอ้ โฮะโอ โอ้ โอ้ โอ โอ ล่ะหนอ

แต่เฮ็ดจังใด๋ มันฮักอ้ายแล้ว
เผลอฮักไปแล้ว แบบยั้งบ่อยู่
เสี่ยงใจเสี่ยงเจ็บกะฮู้ แต่เลือกสิอยู่หม่องนี้
สิเป็นของอ้าย หรือเป็นของถิ่ม
หรือมาหลอกชิม อิ่มแล้วสิหนี
คนตอบคำถามได้ดี กะมีแต่อ้ายนั่นแล๋ว

ย่านอ้ายเป็นแค่เผลอฮัก
แต่น้องฮักอ้ายเบิ่ดใจ
อยากเป็นของอ้ายบ่อยากเป็นของ ถิ่ม",vieng_narumon
คิดฮอดจังภูลังกา,/music/thailyric/23419,"งอยหินสามวาฬ บึงกาฬแดนงาม
คึดฮอดคน คึดฮอดคำ
ผู้บ่าวผู้โก้ผู้เคยสัญญา

วอนปู่อือลือนาคราชแห่งภูลังกา
ดึงจ่องฮักเฮาคืนมา
ภูลังกา หลูโตนอีหล่าแนเด้อ

จำได้บ่อ้าย จือได้บ่อ้าย ครั้งหนึ่งที่เราเคยไป
ท่องแดนธรรมถิ่นภูลังกา
เบิ่งหินสามวาฬ จังหวัดบึงกาฬเมื่อปีผ่านมา
ไผน้อบอกย้ำคำว่าฮักอีหล่าหน้าปู่อือลือ

บ่จำบ่จือ  จักนอยแนบ้อ
ตรงเศียรปู่นาคานั่นหนอ นบจอก้อสัญญาคือคือ
แถมยังหลอยกอดตอนลอดป่องหินชัดจนคนลือ
ยามห่างเปลี่ยนเบอร์มือถือ เปลี่ยนทุกอย่าง เบิ่ดทางติดต่อ

หรือว่าอ้าย หลงไปในเมืองบังบด
ถืกแม่หญิงลับแลกำหนด ให้อยู่ตรงนั้นซั่นบ้อ
ถ้าหากบ่แม่น ล่ะอ้ายเป็นหยังเงียบนานแท้น้อ
ก้อนหินสามวาฬ ยังอยู่เคียงกัน พร้อมลูก แม่ พ่อ
แต่น้องนั่งเหงากอส่อ  คึดฮอดฝ่ายเดียว ว้าเหว่เอกา

คึดพ้อบ่อ้าย คึดฮอดบ่อ้าย
มื้อนี่บึงกาฬดังหลายคนแห่ไปไหว้ปู่นาคา
ก็เหลือแต่อ้ายแฮงจอบแฮงซอมกะบ่เห็นมา
จุดธูปบอกเศียรนาคา อย่าให้สัญญา อีหล่าเป็นหมัน

หรือว่าอ้าย หลงไปในเมืองบังบด
ถืกแม่หญิงลับแลกำหนด ให้อยู่ตรงนั้นซั่นบ้อ
ถ้าหากบ่แม่น ล่ะอ้ายเป็นหยังเงียบนานแท้น้อ
ก้อนหินสามวาฬ ยังอยู่เคียงกัน พร้อมลูก แม่ พ่อ
แต่น้องนั่งเหงากอส่อ  เทียวจอบมารอ ว้าเหว่เอกา

คึดพ้อบ่อ้าย คิดฮอดบ่อ้าย
มื้อนี่บึงกาฬดังหลายคนแห่ไปไหว้ปู่นาคา
คนสัญญาฮ้าง คิดฮอดจังถิ่นภูลังกา
จุดธูปบอกเศียรนาคา อย่าให้สัญญา อีหล่าเป็นหมัน

หรือว่าอ้าย หลงไปในเมืองบังบด
ถืกแม่หญิงลับแลกำหนด ให้อยู่ตรงนั้นซั่นบ้อ
ถ้าหากบ่แม่น ล่ะอ้ายเป็นหยังเงียบนานแท้น้อ
ก้อนหินสามวาฬ ยังอยู่เคียงกัน พร้อมลูก แม่ พ่อ
แต่น้องนั่งเหงากอส่อ  คึดฮอดฝ่ายเดียว ว้าเหว่เอกา

คึดพ้อบ่อ้าย คึดฮอดบ่อ้าย
มื้อนี่บึงกาฬดังหลายคนแห่ไปไหว้ปู่นาคา
ก็เหลือแต่อ้ายแฮงจอบแฮงซอมกะบ่เห็นมา
จุดธูปบอกเศียรนาคา อย่าให้สัญญา อีหล่าเป็นหมัน

ยามฝันละกะพ้อแต่เจ้า
ยามฝันละกะพ้อแต่เจ้า
ยามเหงาแฮงเศร้าบ่ทรวง แฮงเศร้าบ่ทรวง
เฮาเป็นห่วงล่ะเพิ่นคือใจดำแท้
ดำแท้ โอ๊ย ดำแท้ ดำแท้

ใจแน่แต่ฝ่ายเดียว
เกี้ยวละผ่าน เจิดไปหาหม่องใหม่
ได้ล่ะเสิ่น ถิ่มบ่เขินบ่อาย
เว่าละหน่าย หน่ายเจ้าของนี่ล่ะ
เขาลืมเขาลายังใจตั้ง
คิดฮอดความหลัง ที่ภูลังกา",vieng_narumon
งิ้วต่องต้อนฮำฮอนผู้บ่าวเก่า,/music/thailyric/21431,"ยาอ้ายเอย

อ้ายผู้เคยเป็นแฟนเค้า ในนามของผู้บ่าวเก่า
เคยเป็นเงาใจน้องเมื่อก่อน หนีไปอักกินซี้นต่อน
ปะให้น้องต่องต้อนให้นอนเศร้าอยู่เป่าดาย
หลาบหล่ายท้ายค่องย่องมองเพลิน

นางอยากเซิญไปก้ำ ร้อยเอ็ดคำบ้านอีแม่ เพื่อเซอร์ไพรส์
แม่นย้อนอดีตเก่าได้ หละดังแม้ง สาวใดมาแย่งกะสิบ่ยอม
เสียทองคำก้อนถ่อบาตรหม่อม สิบ่ยอมเสียอ้าย ให้สาวอื่น

พบหน้าแฟนเก่าแล้วเป็นเหงาๆ ในใจทุกที
บ่ทราบเขามีหยังดี หลายปีแล้วแหมะแต่ลืมบ่ได้
ก็รู้เต็มอกเขาตกเป็นของผู้สาวคนไค
เสน่ห์เธอแรงเราแข่งบ่ไหว แฟนเราเลยกลายไปเป็นของเขา

ย้อนรอยอดีตจิตใจมันหลอน
ฮำเอ๋ย ฮำฮอน ผู้บ่าวเก่า
ปีเดือนเคลื่อนกาลเติมตื่ม
บ่ลืมแฟนกกแฟนเค้า
บังเอิญเจอเขาเราทรงขวยเขิน
หัวใจสะเทิ้น สะอื้น สะออน

งิ้วต่องต้อนหละฮอนฮำลำพัง
งิ้วต่องต้อนหละฮอนฮำลำพัง
คนเคยมีความหลัง พบกันแล้วมันซึ้ง
มันซึ้ง ละมันซ่าน

ว่านั่นเดอ เวอร์ชั่นก่อน ละตอนที่เฮาฮ่วมฝัน
ฮ่วมฝั่นเซือกสวาทหวานๆ หวานแว๋ว
แต่แล้วกะหวานเหว่อ เอยหวานเหว่อ เอยหวานเหว่อ
ยามพี่เจอสาวส่า อ้ายหายเข้าขี้ฟ้ายังมาพ้อพบเจอ
ว่าลืมได้แล้วเดอ ยังสิมาเผลอใจอ่อน

เป็นทรงเขินๆ เมื่อเจอแฟนเก่า เป็นทรงเหงาๆ เมื่อเขาลาจร
คะนึงเป็นนิจติดตามอ้อนต้อน อ้อนต้อนแถมยังต่องต้อน
หัวใจอาทร ฮำฮอนผู้บ่าวเก่า
คึดฮอดบ่เซา เพราะเขาสำคัญในคืนวันก่อน

งิ้วต่องต้อนหละห้อยอยู่แป๋ปลาย
งิ้วต่องต้อนหละห้อยอยู่แป๋ปลาย
อ้ายถิ่มป๋าลาไล หาใหม่เฮียงเคียงซ้อน
เคียงซ้อน เอ้ยเซยซ้อน

วานั่นเดอ ว่านั่นเดอ หละเจออ้ายคนเคยอ้อน เคยอ้อน
เคยมาป้อนคำหวาน หวานๆ ปานเจอด้นฟืนเก่า
โอ๊ยด้นเก่า ในคิงไฟเก่า ฮักเขาอยู่ฮอนๆ น้องฮำฮอนบ่แล้ว
ใจติดแฮ้วบ่าวพี่ชาย คบกับไผกะเลิกง่ายๆ แต่กับอ้าย ตัดใจยากเด",vieng_narumon
น้องตั้งใจฮัก อ้ายตั้งใจถิ่ม,/music/thailyric/14288,"ทิ้งกันง่ายๆ เห็นน้องเป็นไม้ไอติม
แวะมาส่งยิ้ม ตั๋วหัวใจให้มีความหวัง
ไหนว่าหาเจอตั้งใจที่สุดจะหยุดที่นาง
เชื่อเสียจนฝันค้าง เมื่อรักจางโดนขว้างทิ้งใจ

คบกันใหม่ๆ อ้ายเป็นคนเริ่มเข้ามา
ทุกช่วงโทรหา วันทั้งวันออดอ้อนออนไลน์
น่าอัศจรรย์เมื่อคราวจะหยุดก็ช่างง่ายดาย
ดูดไอติมหมดไป ก็โยนไม้ทิ้งได้ง่ายคัก

น้องฮักหมดใจแต่อ้ายฮักแค่หวังทิ้ง
ความเจ็บคือข้อเท็จจริงที่คนโดนทิ้งรู้จัก
น้องเห็นอ้ายเป็นที่อยู่ แต่อ้ายเห็นน้องเป็นที่พัก
มาแวะแค่ยามเสียหลัก หมดรักเราเช็กเอาต์ลาไกล

เฮ็ดใจบ่ได้ คิดฮอดตอนอ้ายไลน์หา
อ้ายฮู้บ่ว่าคำสัญญายังค้างในไลน์
วาสนาคงหมดอายุการเป็นคู่ใจ
อ้อนวอนให้ตาย ยังแล้งใจ บล็อกไลน์ทิ้งกัน

น้องฮักหมดใจแต่อ้ายฮักแค่หวังทิ้ง
ความเจ็บคือข้อเท็จจริงที่คนโดนทิ้งรู้จัก
น้องเห็นอ้ายเป็นที่อยู่ แต่อ้ายเห็นน้องเป็นที่พัก
มาแวะแค่ยามเสียหลัก หมดรักเราเช็กเอาต์ลาไกล

เฮ็ดใจบ่ได้ คิดฮอดตอนอ้ายไลน์หา
อ้ายฮู้บ่ว่าคำสัญญายังค้างในไลน์
วาสนาคงหมดอายุการเป็นคู่ใจ
อ้อนวอนให้ตาย ยังแล้งใจ บล็อกไลน์ทิ้ง กัน",vieng_narumon
ปี่ลำข้าว,/music/thailyric/22738,"เดือนสิบเอ็ดหัวลมต้อง
ฮอดเดือนสิบสองหัวลมอ่วยพัดคืน
เสียงลมพัดใบข้าว คิดฮอดแต่อ้ายบ่หลับบ่นอนหลายคืน
ได้ข่าวว่าคนไกลใจท้อ อิแม่อิพ่อจ่มหาทุกเช้ายามตื่น

ผู้คนพลัดถิ่นเขากลับมาบ้านกันวื้นวื้น
ลมหนาวหวนคืน แล้วอ้ายยังบ่ซอดมา
ลมหนาวหวนคืน แล้วอ้ายยังบ่ซอดมา

กรุงเทพฯ ตอนนี้เขาว่าลำบากแฮง
ผู้คนขายแรง ตกงานกันหลายพันหมื่น
ไปหม่องใด๋ กะได้ยินเสียงสะอื้น
เบิ่งข่าวแล้วใจหาย กะได้แต่คอยๆ ถ่า

คืนมาตั้งหลัก มาพักใจอยู่บ้านเฮาบ่
มาเกี่ยวข้าวดอมาอยู่บ้านเฮาพร้อมหน้า
เสียงปี่ลำข้าวสิเป่าเอิ้นอ้ายคืนมา
สวรรค์ลืมตา เด้อจังไปหาสู้ใหม่
ให้สวรรค์ลืมตา เด้อจังไปหาสู้ใหม่

เดือนสิบเอ็ดหัวลมต้อง
ฮอดเดือนสิบสองหัวลมอ่วยแล้วใจหาย
บ่เห็นคนไกลส่งข่าวคืนถิ่น
จั๊กอยู่ จั๊กกินจังใด๋ น้อส่างเป็นไป

อย่ากลับคืนคอน เมื่อตอนที่มันสาย
สิ่งที่พ่อแม่อยากได้คืออ้ายเด้อ บ่แม่นเงินทอง

กรุงเทพฯ ตอนนี้เขาว่าลำบากแฮง
ผู้คนขายแรง ตกงานกันหลายพันหมื่น
ไปหม่องใด๋ กะได้ยินเสียงสะอื้น
เบิ่งข่าวแล้วใจหาย กะได้แต่คอยๆ ถ่า

คืนมาตั้งหลัก มาพักใจอยู่บ้านเฮาบ่
มาเกี่ยวข้าวดอมาอยู่บ้านเฮาพร้อมหน้า
เสียงปี่ลำข้าวสิเป่าเอิ้นอ้ายคืนมา
สวรรค์ลืมตา เด้อจังไปหาสู้ใหม่

เสียงปี่ลำข้าวสิเป่าเอิ้นอ้ายคืนมา
สวรรค์ลืมตา เด้อจังไปหาสู้ใหม่
ให้สวรรค์ลืมตา เด้อจังไปหาสู้ใหม่",vieng_narumon
แฟนบ่ชัดเจน,/music/thailyric/16528,"เฮาคบกันมาก็เป็นเวลาหลายปี
มีสิ่งดีๆ ต่อกัน ฮ่วมกันกะหลาย
มื้อนี้น้องกะอยากฮู้ ว่าสิ่งที่เป็นอยู่เอิ้นได้ส่ำใด๋
ถ้าหากพอเป็นไปได้กะส่อยตอบน้องแน

อิพ่ออิแม่เพิ่นกะคอยถาม
นับมื้อนับยามย่านอ้ายผันแปร
ถ้าหากว่าฮักกันแท้ กะส่อยตอบให้เห็น

แฟนบ่ชัดเจน เป็นผู้ใด๋ ผู้ใด๋ก็เจ็บ
คำว่าแฟนเก็บ บ่มีไผเด้ สิอยากเป็น
ถ้าหากว่าฮักกันแท้
ส่อยตอบน้องแนกับสิ่งที่เฮาเป็น
เฮ็ดให้ไทบ้านเพิ่นเห็น ว่าเฮาเป็นแฟนกัน

คั่นสิคบต่อกะอยากขอให้จริงจังกว่านี้
บ่แม่นมาเฮ็ดให้ฮักแล้วหนี แบบนี้ไปวันๆ
ช่วยให้มันชัดเจน ถ้าหากยังเห็นคนนี้สำคัญ
ถ้าหากยังเป็นแฟนกัน ช่วยให้มันชัดเจนได้บ่

ถ้าหากสิคบกันต่อ กะอยากสิขอให้ชัดเจนกว่านี้

อิพ่ออิแม่เพิ่นกะคอยถาม
นับมื้อนับยามย่านอ้ายผันแปร
ถ้าหากว่าฮักกันแท้ กะส่อยตอบให้เห็น

แฟนบ่ชัดเจน เป็นผู้ใด๋ ผู้ใด๋ก็เจ็บ
คำว่าแฟนเก็บ บ่มีไผเด้ สิอยากเป็น
ถ้าหากว่าฮักกันแท้
ส่อยตอบน้องแนกับสิ่งที่เฮาเป็น
เฮ็ดให้ไทบ้านเพิ่นเห็น ว่าเฮาเป็นแฟนกัน

คั่นสิคบต่อกะอยากขอให้จริงจังกว่านี้
บ่แม่นมาเฮ็ดให้ฮักแล้วหนี แบบนี้ไปวันๆ
ช่วยให้มันชัดเจน ถ้าหากยังเห็นคนนี้สำคัญ
ถ้าหากยังเป็นแฟนกัน ช่วยให้มันชัดเจนได้บ่

ถ้าหากสิคบกันต่อ กะอยากสิขอให้ชัดเจนกว่านี้",vieng_narumon
วัยอกหัก,/music/thailyric/18035,"บ่เคยฮู้จักดอกคำว่าฮัก บ่เคยฮู้จักคำว่าคึดฮอด
บ่เคยฮู้จักรสชาติฮอยกอด กะย้อนผู้บ่าวบ่เคยใส่ใจ
แม่บ่ได้สอน ครูบ่ได้สั่ง กะเลยบ่เก่งวิชาลืมอ้าย
ถูกฆาตกรรมความฮักไปจากใจ
ฮอดวาระสุดท้าย หัวใจกะเลยเจ็บคัก

เกิดดนปานใด๋สิผ่านวัยอกหัก
บ่อยากเจ็บซ้ำซากแบบที่เคยผ่านมา
เกิดดนปานใด๋สิผ่านวัยอกหัก
ฮู้บ่ว่าบ่อยากเสียน้ำตา

อายุก็บรรลุนิติภาวะแล้ว เด้อใจเอ๋ย
แล้วเป็นหยังหัวใจเฮา จังบ่เซาคึดฮอดเขาเลยจั๊กเทือ
หรือยังบ่เบื่อ ความช้ำตำแผลอยู่บ่เซา
(ฮะโอฮะโอ ฮะโอฮะโอ้ ฮะโอฮะโอ)
ย่านขาดใจตาย ก่อนผ่านพ้นวัยอกหัก

เกิดดนปานใด๋สิผ่านวัยอกหัก
บ่อยากเจ็บซ้ำซากแบบที่เคยผ่านมา
เกิดดนปานใด๋สิผ่านวัยอกหัก
ฮู้บ่ว่าบ่อยากเสียน้ำตา

อายุก็บรรลุนิติภาวะแล้ว เด้อใจเอ๋ย
แล้วเป็นหยังหัวใจเฮา จังบ่เซาคึดฮอดเขาเลยจั๊กเทือ
หรือยังบ่เบื่อ ความช้ำตำแผลอยู่บ่เซา
(ฮะโอฮะโอ ฮะโอฮะโอ้ ฮะโอฮะโอ)
ย่านขาดใจตาย ก่อนผ่านพ้นวัยอกหัก

ย่านขาดใจตาย ก่อนผ่านพ้นวัยอกหัก",vieng_narumon
เสียงนกสะกิดใจ,/music/thailyric/15250,"ใหม่ๆ แก้มอ้าย ใหม่ๆ
น้ำตาน้องรินไหล
ฟังเสียงนกสะกิดใจ
คึดนำอ้าย ผู้แฟนเก่า
น้ำตา ย้อย

น้ำ ตาไหลรินย้อย
เสียแฮงคอยคึดตั้งต่อ
ชาย เอ๋ย
พอ ฟังเสียงนกฮ้อง
คือมันฟ้อง บอกข่าวใจ
หนา ชายนา

โพ ระดกนกฮ้อง
เข้าทำนองอ้ายตั๋วเก่ง
มาข่มเหงผู้ฮักอ้าย
หลงยืนให้ได้ข่าวมา
สัญญาอ้ายบ่แน่
ถึกเขาแหย่กะแวหาย
หลอยแต่งงานหนีไป
บ่เบิ่งใจกันพอน้อย

อ้าย มาหลอยไกลข้าง
ไปนอนฮังกับคนอื่น
หนทางน้องสร้างไว้
สังมาให้ ผู้อื่นเทียว
หนอ ชายนอ

ใจฝ่อ เมื่อได้ยินเสียงนก
โกหก โกหก
คอยย้ำเตือนหัวใจ
อ้ายเคย จะสู่ขอวิวาห์
ก่อนเข้าพรรษา
หน้าฝน ปีกลาย

บัดนี้ อ้ายมาแปรผัน
ไปขอ แต่งงาน
กับผู้สาวบ้านไกล
รับบัตรเชิญ ก้มหน้าน้ำตาไหล
น้ำใจของอ้าย
ช่างคล้ายกับเสียง นกเตือน

เปื้อน น้ำตาสองแก้ม
อยากไปแกมวันอ้ายแต่ง
จักคราวเด้
ย่านแต่เซหมื่นล้ม
โคมเจ้า ใส่พาฝัน
เหลือใจ๋เด้ ชายเอย

ก้ม หน้าหนีไกลบ้าน
ซ่นเถียงนาอยู่เอ้าอั่ง
หนีคนแหย่รอบข้าง
กะยังพ้อนกโห่แซว
แนว นางแปงปันสร้าง
กฐินแฮบ่ได้แห่
เขานั่นผู้บ่สร้าง
สังมาได้
ดอกแห่ไปน้อ ชายน้อ

พอที ชาตินี้บุญน้อย
ต้อง ขอปล่อย
ไปตามกรรม ตาม เวร
ฮัก บ่มีความหมาย
ผลสุดท้าย
กลายเป็นฮักเหลือเดน

อวยพร ให้อ้ายสุขสมปอง
ส่วนตัวน้อง แล้วแต่กรรมพาเป็น
ชาติหน้า ถ้าหากพ้นเวร
ขอเกิดเป็น คู่ฮักตลอดไป

ขอเกิดเป็น คู่ฮักตลอดไป",vieng_narumon
อ้ายตั๋วว่าฮักน้อง,/music/thailyric/14524,"เบิ่งเพิ่นเว้าพุ่นน่ะ กะเบิ่งเพิ่นหาคำอธิบาย
ฮู้อยู่ดอกเหตุผลที่มากมาย ว่าจุดหมายอ้ายคือจบเท่านั้น
กะบ่แม่นฮักดอกติ๊ กับหลายปีที่เฮามีหยังกัน
เมื่อบ่มีเยื่อใยต่อความฝัน ก็ถึงวันน้องต้องอกหัก

คงเบิ่ดคักเบิ่ดแนแล้วเนาะ บ่มีทางไปต่อแล้วน้อฮัก
เป็นย้อนหยังน้องบ่อยากฮู้จัก แต่เสียใจคัก
เมื่อคิดฮอดวันที่ผ่านมา

อ้ายตั๋วว่าฮักน้อง อ้ายทำท่าฮักหลายจนน้องเชื่อ
สู้ด้วยกันบ่เคยเหนื่อยบ่เคยเบื่อ ก็เพื่อความฝันที่เฮาสัญญา
นี่บ้อคนว่าฮักน้อง บัดสิไป เว้าง่ายๆ ว่าจบนะ
ความผูกพันเนิ่นนานที่ผ่านมา บ่มีค่า บ่มีแนว สิเหนี่ยวรั้ง

อย่ามาเว้าดีกว่า เอาเก็บไว้สาคำว่าห่วงหลาย
ปล่อยให้คนถืกตั๋วฮักอ้าย ได้สาใจกับฮักที่พ่ายพัง
เวลาดีๆ ของชีวิต ที่น้องอุทิศเพื่อเฮาทุกอย่าง
ระเบิดเวลาอ้ายฝังไว้ที่ปลายทาง คือฮักฮ้างๆ
โอ๊ย มันเจ็บคัก

คงเบิ่ดคักเบิ่ดแนแล้วเนาะ บ่มีทางไปต่อแล้วน้อฮัก
เป็นย้อนหยังน้องบ่อยากฮู้จัก แต่เสียใจคัก
เมื่อคิดฮอดวันที่ผ่านมา

อ้ายตั๋วว่าฮักน้อง อ้ายทำท่าฮักหลายจนน้องเชื่อ
สู้ด้วยกันบ่เคยเหนื่อยบ่เคยเบื่อ ก็เพื่อความฝันที่เฮาสัญญา
นี่บ้อคนว่าฮักน้อง บัดสิไป เว้าง่ายๆ ว่าจบนะ
ความผูกพันเนิ่นนานที่ผ่านมา บ่มีค่า บ่มีทางสิเหนี่ยวรั้ง

น้องเพิ่งรู้ว่าวันที่ผ่านมา
อ้ายบ่เคย อ้ายบ่เคย บ่เคยฮักน้องเลย",vieng_narumon
