song_name,href,lyric,artist
All That I Can Do,/music/thailyric/18519,"It's raining It's sunny
It's windy It's cold
It's morning It's early
And it's time to go
But I don't want to
No I don't want to

I packed all my memories
Keep in my pocket
How you used to kiss me
I'll never forget it
Cause I don't want to
No I'm not going to

And I'll never let this feeling go

Remember how it
Felt like forever when it was only a night
Whisky sour in china town under neon lights
Skinny dipping in the pool (Skinny dipping in the pool)
Feeling oh so cool (Feeling oh so cool)

Midnight bus in London while we're sharing a scarf
Talked about the future and the concept of love
Baby that was when I knew (That was when I knew)
That this is All That I Can Do
So here's my song

You told me nobody
Ever wrote you a song
Here's one for my baby
Something for you to hold on
Cause I'll be long gone
But you'll be hearing this song

Don't ever let this feeling go
Oh I'll never let this go

Remember how it
Felt like forever when it was only a night
Whisky sour in china town under neon lights
Skinny dipping in the pool (Skinny dipping in the pool)
Feeling oh so cool (Feeling oh so cool)

Midnight bus in London while we're sharing a scarf
Talked about the future and the concept of love
Baby that was when I knew (That was when I knew)
That this is all that I can do
So here's my song for you

Please don't let this memory fade away
Please don't let this memory fade away

Remember how it
Felt like forever when it was only a night
Whisky sour in china town under neon lights
Skinny dipping in the pool (Skinny dipping in the pool)
Feeling oh so cool (Feeling oh so cool)

Midnight bus in London while we're sharing a scarf
Talked about the future and the concept of love
Baby that was when I knew
That this is all that I can do
So here's my song for you",violette_wautier
Brassac,/music/thailyric/17573,"Yeah it's better that we don't know each other too well
Cause this summer is not gonna last forever itself
And so is our love it's beautiful this way
You know I'm not gonna stay
But at least we got today yeah

We met in Brassac
A small tiny town in the south of France
Who would have thought that
This would have turned into summer romance
But baby my home is so far away from here
I won't be back for years
And that is pretty clear

So love me slowly
Stay awake all night
We don't need forever
Just you and I

So come pick me up
Take me away yeah just drive
We don't have to rush
Baby we can take our time
We already know
Where this is gonna lead
I only got a week
But that is all we need

So love me slowly
Stay awake all night
We don't need forever
Just you and I

(Stay awake all night)
(We can take our time)
(Just you and I)

Tu sais très bien
Ça ne marchera jamais
Je reviendrai
Mais ça ne sera pas assez

C'est mieux comme ça
Que ça reste l'amour d'été
Tu sais tu sais

So love me slowly
Stay awake all night
We don't need forever
Just you and I
(Stay awake all night)
(We can take our time)
(Just you and I)

We met in Brassac
A small tiny town in the south of France
Who would have thought that
This would have turned into summer romance",violette_wautier
Drive,/music/thailyric/14273,"Draw me my picture
I'll draw your picture
And we'll move the furnitures
in the motel room
Sing me a lullaby
And kiss me goodnight
Like everything's still fine
in that motel room

We knew this has to end
And we could only pretend
Cause our love only leads to dead end

Let's just Drive out of town
Let's run away
Let's get high
Forget the world
Forget everything

Don't worry about this crowd
No one you know is around
We can do anything we want

But soon this has to end
And we could only pretend
Cause our love only leads to dead end

Let's just drive out of town
Let's run away
Let's get high
Forget the world
Forget everything

Let's get out of this place
Let's find somewhere we can be we can be alone
Meet me at the same place
And after this we can we can find our new home

Let's just drive out of town
Let's run away

Let's just drive out of town
Let's run away
Let's get high
Forget the world
Forget everything

Just drive
Drive
Drive",violette_wautier
Heartbeat จังหวะจะรัก,/music/thailyric/13027,"เธอได้ยินเสียงนั้นหรือไม่
ดังมาจากที่ใด ได้ยินหรือเปล่า
ฟังออกไหมว่าเสียงอะไร
จากที่ไหนใกล้ไกล เสียงดังหรือเบา
คงเป็นเสียง ข้างใน
หัวใจที่สั่นไหวทุกคราว

เธอได้ยินเหมือนกันหรือไม่
มันคือเสียงเต้นของหัวใจ
ทุกๆ ครั้งที่เรานั้นใกล้
เสียงหัวใจของฉันมันบอกว่า
ดีใจ ทุกครั้งที่เจอกัน
ดีใจ เมื่อเรานั้นใกล้กัน
เชื่อไหม ทุกครั้งที่ได้เจอ
มันเป็นความสุขของหัวใจ
เมื่อเราได้พบกันเสมอ
ใจมันเต้นแรงทุกครั้งที่อยู่ใกล้เธอ

เธอได้ยินเสียงนั้นหรือไม่
หากได้ยินเมื่อไร ช่วยบอกฉันที
หลับตาฟังแล้วคงเข้าใจ
ความรู้สึกข้างใน หัวใจที่มี
มันคือเสียง ข้างใน
หัวใจที่สั่นไหวทุกที

เธอได้ยินเหมือนกันหรือไม่
มันคือเสียงเต้นของหัวใจ
ทุกๆ ครั้งที่เรานั้นใกล้
เสียงหัวใจของฉันมันบอกว่า
ดีใจ ทุกครั้งที่เจอกัน
ดีใจ เมื่อเรานั้นใกล้กัน
เชื่อไหม ทุกครั้งที่ได้เจอ
มันเป็นความสุขของหัวใจ
เมื่อเราได้พบกันเสมอ
ใจมันเต้นแรงทุกครั้งเมื่ออยู่ใกล้เธอ

เสียงหัวใจของฉันมันบอกว่า
ดีใจ ทุกครั้งที่เจอกัน
ดีใจ เมื่อเรานั้นใกล้กัน
เชื่อไหม ทุกครั้งที่ได้เจอ
มันเป็นความสุขของหัวใจ
เมื่อเราได้พบกันเสมอ
ใจมันเต้นแรงทุกครั้งเมื่ออยู่ใกล้เธอ

ดีใจ ทุกครั้งที่เจอกัน
ดีใจ เมื่อเรานั้นใกล้กัน
เชื่อไหม ทุกครั้งที่ได้เจอ
มันเป็นความสุขของหัวใจ
เมื่อเราได้พบกันเสมอ
ใจมันเต้นแรงทุกครั้งเมื่ออยู่ใกล้เธอ
ใจมันเต้นแรงทุกครั้งเมื่ออยู่ใกล้เธอ",violette_wautier
I'd Do It Again,/music/thailyric/18296,"I recall when you were mine
You used to teach me how to drive
You used to make fun of me when I'd cry

And I remember how we met
3rd of July I wore a white dress
And your hand was broken you were in a cast

And we fell in love
But we both messed it up
You were a storm and I was fire
Yeah we both had enough
Of Things broken on the floor
What were we fighting for

It was bitter sweet
You were like a dream
And I was your girl on the passenger seat
Right next to you
We were unstoppable
We thought we had it all

We used to laugh about the things
That no one else would find funny
Just you and me when nobody's around

And I remember every second
When we broke up in your car
I held a smile and held you in my arms

We were so in love
But we both messed it up
You were a storm and I was fire
Yeah we both have given up
It's not working anymore (no)
Don't want to fight no more

It was bitter sweet
You were like a dream
And I was your girl on the passenger seat
Right next to you
We were unstoppable
We thought we had it all

Even if I knew this would end
I'd Do It Again
Even if I knew this would end
I'd do it again
Even if I knew this would end
I'd do it again
Even if I knew this would end
I'd do it again

I'd do it again
I'd do it again
I'd do it again

We were so in love
But we both messed it up
(I'd do it again)

Storm and fire
Yeah we both had enough
(I'd do it again)

Bitter sweet
You were like a dream
(I'd do it again)

I'd do it again
Yeah I'd do it again",violette_wautier
Monster,/music/thailyric/17544,"Don't you play a victim here
No You're not the good guy here
Quit faking all your tears

Making up after one last fight
Now you're sleeping by my side
But all the voices I hear at night
In my head

Tell me what to do
Is it me or you

This rage inside of me
I blame myself for this
How you used to love me with your pain
I believed it when you said you'd change
This Monster we've made is me

Don't you play the victim here
It doesn't work when it's love through fear
I dried all my tears

I'm waking up from my darkest dream
I feel the scars where they can't be seen
I lost my voice when I tried to scream

Tell me what to do
Is it me or you

This rage inside of me
I blame myself for this
How you used to love me with your pain
I believed it when you said you'd change
This monster we've made is me

How you used to love me with your pain
I believed it when you said you'd change
This monster we've made is me",violette_wautier
One Last Cry,/music/thailyric/23165,"รู้ว่าชีวิต ไม่ใช่เรื่องง่ายดาย
บอกตัวเองให้ฉัน ผ่านมันให้ได้
เหมือนที่ผ่านมา

ยังมีพรุ่งนี้ แค่เพียงฉันรอ
ไม่คิดจะท้อ แค่เพียงอ่อนล้า
แค่เหนื่อยเท่านั้น

ไม่เป็นไร ใช่ไหม
ถ้าจะใช้เวลาไม่นาน
ปล่อยหัวใจรู้สึก
เหมือนที่รู้สึกอย่างนี้

แค่เพียงขอพื้นที่ให้ใจได้อ่อนแอ
ขอแค่ในวันนี้
ให้น้ำตารินไหล

และจะใช้เวลาไม่นานไปกว่านี้
ขอแค่คืนสุดท้าย
สัญญาพรุ่งนี้จะเดินต่อไป
It's my One Last Cry

ฟ้าที่มืดมิด ไม่นานคงพ้นไป
มีดีและร้าย เรื่องธรรมดา
ไม่นานก็เช้า

ไม่เป็นไร ใช่ไหม
ถ้าจะใช้เวลาไม่นาน
ปล่อยหัวใจรู้สึก
เหมือนที่รู้สึกอย่างนี้

แค่เพียงขอพื้นที่ให้ใจได้อ่อนแอ
ขอแค่ในวันนี้
ให้น้ำตารินไหล

และจะใช้เวลาไม่นานไปกว่านี้
ขอแค่คืนสุดท้าย
สัญญาพรุ่งนี้จะเดินต่อไป
It's my one last cry
Oh my one last cry

แค่เพียงขอพื้นที่ให้ใจได้อ่อนแอ
ขอแค่ในวันนี้
ให้น้ำตารินไหล

และจะใช้เวลาไม่นานไปกว่านี้
ขอแค่คืนสุดท้าย
สัญญาพรุ่งนี้จะเดินต่อไป
It's my one last cry
My one last cry",violette_wautier
Smoke,/music/thailyric/15301,"I don't I don't Smoke
But I'll go outside with you
Baby it's kinda cold
You can hold me if you want to
No I'm not thinkin' straight now
I had a few drinks before
But I don't I don't mind now
Cause I am here with you

We keep meeting each other this way
I was just thinking about you today
All my friends are dancin' in the livin' room
You pulled out a cigarette and say
Let's be alone

I don't I don't smoke
But I'll go outside with you
Baby it's kinda cold
You can hold me if you want to
No I'm not thinkin' straight now
I had a few drinks before
But I don't I don't mind now
Cause I am here with you

I am here with you oh
I am here with you oh

I know what you wanna do
We'll make out and let our bodies speak
I'll light that cigarette for you
Promise me that you wil keep this between us

Let's go let's go smoke
I will go outside with you
Nobody has to know
Just hold me I know you want to

No I'm not thinkin' straight now
I had a few drinks before
But I don't I don't mind now
Cause I am here with you

I am here with you oh
I am here with you oh

Cause I am here
I am here with you

Cause I am here with you",violette_wautier
Taste Your Love,/music/thailyric/21983,"ไม่ค่อยได้มองใคร ไม่ได้ชอบคนง่าย แต่เธอทำให้หวั่นไหว
Love at the first sight Like it's the first time แบบนี้มันเกินไปไหม
แค่เธอยิ้มให้กันหัวใจที่เย็นชาละลายอดใจไม่ไหว
ถ้าเธอไม่มีแฟนหรือเธอไม่มีใครฉันเป็นคนนั้นได้มั้ย

อยากจะรู้รสชาติความรักของเธอเป็นไง หืม

ลองคบกันมะ ถ้าเธอก็เหงา
ถ้ามีเธอนะ ฉันคงไม่เฉา
ถ้าเธอก็คิดเหมือนกัน
Baby I just wanna Taste Your Love

ลองคบกันมะ มันคงจะดี
ต้องเป็นเธอนะ ต้องเป็นคนนี้
ถ้าเธอก็คิดเหมือนกัน
Baby I just wanna taste your
I just wanna taste your love

Taste taste your love
Taste taste your love
Taste taste your love

Baby I just wanna taste your
I just wanna taste your

Morning coffee baby that's what you are
ให้ฉันชงเธอ Just like a barista
แค่เพียงได้เจอกัน เธอทำให้ทุกวันกลายเป็นวันที่สดใส
ถ้าเธอไม่มีแฟน และมันไม่มากไป เอ่อ

อยากจะรู้รสชาติความรักของเธอเป็นไง หืม

ลองคบกันมะ? ถ้าเธอก็เหงา
ถ้ามีเธอนะ ฉันคงไม่เฉา
ถ้าเธอก็คิดเหมือนกัน
Baby I just wanna taste your love

ลองคบกันมะ มันคงจะดี
ต้องเป็นเธอนะ ต้องเป็นคนนี้
ถ้าเธอก็คิดเหมือนกัน
Baby I just wanna taste your
I just wanna taste your love

ไม่เห็นต้องเขินเลย
แค่อยากรู้รสชาติความรักของเธอเป็นไง
ให้ฉันชิมความรักของเธอได้มั้ย

ลองคบกันมะ ถ้าเธอก็เหงา
ถ้ามีเธอนะ ฉันคงไม่เฉา
ถ้าเธอก็คิดเหมือนกัน
Baby I just wanna taste your love

ลองคบกันมะ มันคงจะดี
ต้องเป็นเธอนะ ต้องเป็นคนนี้
ถ้าเธอก็คิดเหมือนกัน
Baby I just wanna taste your
I just wanna taste your love

Taste taste your love
Taste taste your love
Taste taste your love

Baby I just wanna taste your
I just wanna taste your love",violette_wautier
Unstoppably,/music/thailyric/18652,"Please don't come closer to me
Don't say that you miss me
Please don't
I could fall for you

Please don't call me tonight
I will turn off the light
I will go to sleep before
I think of you Unstoppably
And you know it's wrong cause
You got a girl at home

Please don't sing to me that way
I've been trying to look away
I'm trying my best

Please don't hold me so tight
Don't ever turn off the light
And leave me hanging while
I think of you unstoppably
And you know it's sad cause
I can't have you mine at all

Please get me back on the ground
We should stop fhasing clouds
But still I think of you unstoppably
And I don't want you
To be one of those
Should have done

But we could only be
Might have been",violette_wautier
