song_name,href,lyric,artist
คบกันดีสักทรู,/music/thailyric/22812,"มันคงไม่ง่ายเลย ที่ใครสักคนนั้น
จะได้มาพบกัน และคุ้นเคยเข้าใจได้ดี
อย่างที่ฉันเจอเธอคนนี้

เธอจะรู้หรือเปล่าในใจคนคนนี้
มันคอยคิดถึงเธอ ทุกๆ วันตั้งแต่แรกเจอ
แค่เธอยิ้มก็รู้สึกดี

เก็บอาการของฉันเอาไว้อยู่เรื่อยมา แม้หัวใจ

อยากให้คบ คบกันดูสักทีได้ไหม (ได้ไหม)
แค่เพียงเธอลองเปิดใจดู
จะได้รู้ว่าฉันรักเธอ มากแค่ไหน
อยากให้คบ คบกันดูสักทีได้ไหม (ได้ไหม)
ฉันจะทำให้เธอได้เข้าใจ
ถ้าอยากรู้รักแท้นั้นเป็นไง (นั้นเป็นไง)
ลองคบกันดูสักที

จะทำทุกๆ อย่าง ให้เธอมีรอยยิ้ม
ทุ่มเทให้ทุกๆ สิ่ง ขอเพียงเธอสุขใจก็พอ
เพียงเท่านี้ที่ฉันต้องการ

เก็บความรักที่มีให้เธออยู่เรื่อยมา ทั้งหัวใจ

อยากให้คบ คบกันดูสักทีได้ไหม (ได้ไหม)
แค่เพียงเธอลองเปิดใจดู
จะได้รู้ว่าฉันรักเธอ มากแค่ไหน
อยากให้คบ คบกันดูสักทีได้ไหม (ได้ไหม)
ฉันจะทำให้เธอได้เข้าใจ
ถ้าอยากรู้รักแท้นั้นเป็นไง (นั้นเป็นไง)
ลองคบกันดูสักที

สบตาฉันถ้าเธออยากรู้
ว่าฉันนั้นคิดยังไง
จับมือฉันถ้าเธอก็รู้
ว่าเรานั้นคิดเหมือนกัน

อยากให้คบ คบกันดูสักทีได้ไหม (ได้ไหม)
แค่เพียงเธอลองเปิดใจดู
จะได้รู้ว่าฉันรักเธอ มากแค่ไหน
อยากให้คบ คบกันดูสักทีได้ไหม (ได้ไหม)
ฉันจะทำให้เธอได้เข้าใจ
ถ้าอยากรู้รักแท้นั้นเป็นไง (นั้นเป็นไง)
ลองคบกันดูสักที

ลองคบกันดูสักที",wanyai
เงา,/music/thailyric/18332,"กี่ครั้งที่เห็นน้ำตาเธอหลั่งรินมา
เจ็บปวดด้วยคำว่ารัก
ที่เราทั้งสองมีให้กัน
ไม่เหมือนที่เราเคยฝัน

ไม่เหมือนที่เราตั้งใจตั้งแต่วันนั้น
แต่ยังยื้อด้วยคำว่ารักที่เคยให้กัน
แม้วันนี้ไม่มีเหลืออยู่
ฉันและเธอรู้

เราเดินทางผ่านวันเวลา
หยดน้ำตาที่มันไหลไปคงไม่คืนมา
ที่เหลืออยู่ในวันนี้
มีเพียงแค่เงาของความรัก
ที่ไม่มีอยู่จริง

วันเวลาไม่กลับคืนมา
ความรักของเราหล่นหาย
ไปกับรอยน้ำตา
ไขว่คว้าเท่าไรวันนี้
มีเพียงแค่เงาของความรัก
ที่เคยมีอยู่วันนี้ไม่มีอีกแล้ว

เหนี่ยวรั้งเท่าไรยิ่งทำให้เจ็บช้ำ
กอดเก็บเอาความทุกข์
ยิ่งทำให้เราต้องผิดหวัง
อยากยื้อให้เป็นดังฝัน
ให้เหมือนที่เราตั้งใจตั้งแต่วันนั้น
แต่แผลที่ยังคงฝังข้างในหัวใจ
ไม่มีวันทำให้มันเหมือนเดิม
ฉันและเธอรู้

เราเดินทางผ่านวันเวลา
หยดน้ำตาที่มันไหลไปคงไม่คืนมา
ที่เหลืออยู่ในวันนี้
มีเพียงแค่เงาของความรัก
ที่ไม่มีอยู่จริง


วันเวลาไม่กลับคืนมา
ความรักของเราหล่นหาย
ไปกับรอยน้ำตา
ไขว่คว้าเท่าไรวันนี้
มีเพียงแค่เงาของความรัก
ที่เคยมีอยู่วันนี้ไม่มีอีกแล้ว

อีกแล้ว

เราเดินทางผ่านวันเวลา
หยดน้ำตาที่มันไหลไปคงไม่คืนมา
ที่เหลืออยู่ในวันนี้
มีเพียงแค่เงาของความรัก
ที่ไม่มีอยู่จริง

วันเวลาไม่กลับคืนมา
ความรักของเราหล่นหาย
ไปกับรอยน้ำตา
ไขว่คว้าเท่าไรวันนี้
มีเพียงแค่เงาของความรัก
ที่เคยมีอยู่วันนี้ไม่มีอีกแล้ว",wanyai
เจ็บจนพอ (Enough),/music/thailyric/16161,"ไม่ต่างอะไรจากวันนั้น
สิ่งที่เธอทำกับฉัน
มันเหมือนว่าฉันกำลังดูหนังเรื่องเดิม
คำที่เธอได้บอกฉัน ฉากเดิมๆ ที่ซ้ำๆ
ยิ่งย้ำให้ฉันต้องเจ็บอีกเหมือนเดิม

ไม่รู้ หัวใจฉัน
เหลือที่ว่างให้เธอได้อีกกี่แผล
ร่องรอยของน้ำตา
มันทำให้ฉันวันนี้ต้องตัดสินใจ

เจ็บจนพอ เกินที่ใจมันจะทนไหว
พอแล้วที่เราต้องทนกับความเสียใจ
พอแล้วที่มีน้ำตา พอแล้วกับการที่ไม่มีค่า
กับใครที่เขาไม่ได้สนใจ

เจ็บจนพอ เกินที่ใจมันจะทนไหว
วันนี้ฉันขอแค่เดินออกไปให้ไกล
พอแล้วที่มีน้ำตา พอแล้วกับการที่ไม่มีค่า
กับเธอ เจ็บจนพอแล้ว พอสักที

เฝ้าอดทนมาทุกครั้ง
เจ็บก็ยอมอยู่อย่างนั้น
เพราะหวังว่าสักวันหนึ่งเธอคงเห็นใจ
ความเป็นจริงช่างโหดร้าย
เฝ้าทำดีกลับได้ร้าย
ยิ่งย้ำให้ฉันต้องเจ็บเหมือนเดิม

ไม่รู้ หัวใจฉัน
เหลือที่ว่างให้เธอได้อีกกี่แผล
ร่องรอยของน้ำตา
มันทำให้ฉันวันนี้ต้องตัดสินใจ

เจ็บจนพอ เกินที่ใจมันจะทนไหว
พอแล้วที่เราต้องทนกับความเสียใจ
พอแล้วที่มีน้ำตา พอแล้วกับการที่ไม่มีค่า
กับใครที่เขาไม่ได้สนใจ

เจ็บจนพอ เกินที่ใจมันจะทนไหว
วันนี้ฉันขอแค่เดินออกไปให้ไกล
พอแล้วที่มีน้ำตา พอแล้วกับการที่ไม่มีค่า
กับเธอ เจ็บจนพอแล้ว พอสักที

เจ็บจนพอ เกินที่ใจมันจะทนไหว
พอแล้วที่เราต้องทนกับความเสียใจ
พอแล้วที่มีน้ำตา พอแล้วกับการที่ไม่มีค่า
กับใครที่เขาไม่ได้สนใจ

เจ็บจนพอ เกินที่ใจมันจะทนไหว
วันนี้ฉันขอแค่เดินออกไปให้ไกล
พอแล้วที่มีน้ำตา พอแล้วกับการที่ไม่มีค่า
กับเธอ เจ็บจนพอแล้ว พอสักที",wanyai
ทรมาน (Suffering),/music/thailyric/23718,"สักวันหนึ่งจะผ่านไป
คือคำที่ใครต่อใครได้บอกไว้
ยังคงอดทนเฝ้ารอ
อีกนานแค่ไหนกว่ามันจะเลือนหาย

ยังคงทุกข์ทนอยู่ที่เดิม
อยู่ในฝันร้ายแม้จะลืมตา
ยังมองเห็นเธอ
เอ่ยคำร่ำลาซ้ำๆ ให้ฉันฟัง ทุกคืน

ยังคงทรมาน และยังไม่ได้ดีขึ้นเลย
ยังทรมาน ทุกครั้งที่ยังคิดถึงเธอ
ความเสียใจ ก็ยังรุนแรงเหมือนเดิม
ไม่เคยเปลี่ยน สักที

ยังคงทรมาน กับความทรงจำทุกภาพเธอ
ยังทรมาน ไม่รู้อีกนานเท่าไร
ที่ต้องมีน้ำตา ให้กับแผลที่ไม่มีวันหายไป
และต้องยอมรับว่าไม่มีเธอแล้ว

ยอมแพ้อย่างไร้ความหวัง
กับความเจ็บช้ำที่ไม่มีวันหาย

ยังคงทุกข์ทนอยู่ที่เดิม
อยู่ในฝันร้ายแม้จะลืมตา
ยังมองเห็นเธอ
เอ่ยคำร่ำลาซ้ำๆ ให้ฉันฟัง ทุกคืน

ยังคงทรมาน และยังไม่ได้ดีขึ้นเลย
ยังทรมาน ทุกครั้งที่ยังคิดถึงเธอ
ความเสียใจ ก็ยังรุนแรงเหมือนเดิม
ไม่เคยเปลี่ยน สักที

ยังคงทรมาน กับความทรงจำทุกภาพเธอ
ยังทรมาน ไม่รู้อีกนานเท่าไร
ที่ต้องมีน้ำตา ให้กับแผลที่ไม่มีวันหายไป
และต้องยอมรับว่าไม่มีเธอแล้ว

ยังคงทรมาน และยังไม่ได้ดีขึ้นเลย
ยังทรมาน ทุกครั้งที่ยังคิดถึงเธอ
ความเสียใจ ก็ยังรุนแรงเหมือนเดิม
ไม่เคยเปลี่ยน สักที

ยังคงทรมาน กับความทรงจำทุกภาพเธอ
ยังทรมาน ไม่รู้อีกนานเท่าไร
ที่ต้องมีน้ำตา ให้กับแผลที่ไม่มีวันหายไป
และต้องยอมรับว่าไม่มีเธอแล้ว",wanyai
ไปได้ดี (So Long),/music/thailyric/16800,"ไม่ตั้งใจเปิดดูรูปของเธอ
แต่มันห้ามไม่ไหว
ที่จะหยุดตัวเองไว้ที่เดิม

เมื่อทุกความทรงจำ
ที่มีเธอนั้นโจมตีกันโดยไม่หยุดพัก
และฉันแค่อ่อนแอ แม้รู้ดีในตอนนี้

เธอกับเขาคงไปได้ดี
และฉันนั้นเข้าใจด้วยดี
ในวันนี้ฉันไม่ควรพูดอะไรกับเธอแล้ว
ไม่อยากทำให้ใครลำบากใจ
แต่ตอนนี้ห้ามมันไว้ไม่ไหว
เพราะทุกความรู้สึก มันคิดถึงเธอ

เธอกับเขาคงไปได้ดี
ไม่มีทางที่จะย้อนมา
และวันนี้ยังจำสัญญาที่ให้กับเธอไว้
ไม่อยากทำให้ใครลำบากใจ
แต่ตอนนี้ห้ามมันไว้ไม่ไหว
เพราะทุกความรู้สึก
บอกฉันว่า มันคิดถึงเธอ

เปิดไปดู ข้อความที่เคยส่ง
กลั้นน้ำตาเอาไว้
อดทนฝืนห้ามใจแค่คนเดียว

แต่ทุกความทรงจำ ที่มีเธอนั้น
โจมตีกันโดยไม่หยุดพัก
และฉันแค่อ่อนแอ
แม้รู้ดีในตอนนี้

เธอกับเขาคงไปได้ดี
และฉันนั้นเข้าใจด้วยดี
ในวันนี้ฉันไม่ควรพูดอะไรกับเธอแล้ว
ไม่อยากทำให้ใครลำบากใจ
แต่ตอนนี้ห้ามมันไว้ไม่ไหว
เพราะทุกความรู้สึก มันคิดถึงเธอ

เธอกับเขาคงไปได้ดี
ไม่มีทางที่จะย้อนมา
และวันนี้ยังจำสัญญาที่ให้กับเธอไว้
ไม่อยากทำให้ใครลำบากใจ
แต่ตอนนี้ห้ามมันไว้ไม่ไหว
เพราะทุกความรู้สึก
บอกฉันว่า มันคิดถึงเธอ

เธอกับเขาคงไปได้ดี
และฉันนั้นเข้าใจด้วยดี
ในวันนี้ฉันไม่ควรพูดอะไรกับเธอแล้ว
ไม่อยากทำให้ใครลำบากใจ
แต่ตอนนี้ห้ามมันไว้ไม่ไหว
เพราะทุกความรู้สึก มันคิดถึงเธอ

เธอกับเขาคงไปได้ดี
ไม่มีทางที่จะย้อนมา
และวันนี้ยังจำสัญญาที่ให้กับเธอไว้
ไม่อยากทำให้ใครลำบากใจ
แต่ตอนนี้ห้ามมันไว้ไม่ไหว
เพราะทุกความรู้สึก
บอกฉันว่า มันคิดถึงเธอ",wanyai
ยอมแล้ว (Give Up),/music/thailyric/22333,"ยังเป็นฉันที่พยายามเหมือนก่อน
และเป็นเธอที่ดูห่างไกลจากฉันทุกที
หมดใจแล้วใช่ไหม

จับมือเธอคนเดิมที่ไม่เหมือนเก่า
แววตาเธอว่างเปล่า มองดูไม่เห็นฉันอยู่
อ้อมกอดที่แสนเย็นชา

ทำทุกอย่างเพื่อขอให้เธอนั้นเหมือนเดิม
แต่ไม่มีความหมาย
พยายามแค่ไหน ก็คงไม่มีค่า
วันนี้ถึงเวลา

ก็คงต้องยอมแล้ว
วันนี้ต้องยอมให้เธอไป
แม้ว่ายังรัก รักเธอสักเท่าไร
ก็ไม่อาจทำให้เธอนั้นเหมือนเดิม

ก็คงต้องยอมแล้ว
วันนี้ต้องยอมปล่อยเธอไป
เพราะไม่ว่าฉันรั้งเธอไว้เท่าไร
ก็ไม่อาจทำให้เธอนั้นรักกัน ได้เหมือนเดิม

ความคาดหวังมักทำให้ใจฉันเจ็บ
ความเงียบงันจากเธอยิ่งทำให้ฉันเข้าใจ
มีใครแล้วใช่ไหม

ทำทุกอย่างเพื่อขอให้เธอนั้นเหมือนเดิม
แต่ไม่มีความหมาย
พยายามแค่ไหน ก็คงไม่มีค่า
วันนี้ถึงเวลา

ก็คงต้องยอมแล้ว
วันนี้ต้องยอมให้เธอไป
แม้ว่ายังรัก รักเธอสักเท่าไร
ก็ไม่อาจทำให้เธอนั้นเหมือนเดิม

ก็คงต้องยอมแล้ว
วันนี้ต้องยอมปล่อยเธอไป
เพราะไม่ว่าฉันรั้งเธอไว้เท่าไร
ก็ไม่อาจทำให้เธอนั้นรักกัน ได้เหมือนเดิม

ก็คงต้องยอมแล้ว
วันนี้ต้องยอมให้เธอไป
แม้ว่ายังรัก รักเธอสักเท่าไร
ก็ไม่อาจทำให้เธอนั้นเหมือนเดิม

ก็คงต้องยอมแล้ว
วันนี้ต้องยอมปล่อยเธอไป
เพราะไม่ว่าฉันรั้งเธอไว้เท่าไร
ก็ไม่อาจทำให้เธอนั้นรักกัน ได้เหมือนเดิม",wanyai
เริ่มต้นใหม่ (Alive),/music/thailyric/19416,"บนทางเดินที่มันโดดเดี่ยว
ที่เหลียวมองไปไม่เหลือใคร
ไม่รู้ต้องเดินอีกไกลแค่ไหน
ไม่รู้ต้องเหนื่อยอีกเท่าไร

ล้มแล้วลุกขึ้นมาไม่รู้กี่ครั้ง
ต้องเจ็บอีกเท่าไร
และแม้ว่าวันนี้ฝันจะพังสลาย
แต่ฉันจะเดินต่อไป

ตราบใดที่สองขา ยังไม่หมดแรง
ตราบใดที่ฉันนั้นยังมีลมหายใจ
จะไม่ยอมแพ้แม้น้ำตารินไหล
ฉันจะลุกยืนขึ้นใหม่
ก็แค่เริ่มต้นใหม่

บาดแผลที่มีนั้นยังคอยเตือน
ให้รู้ว่าฉันยังหายใจ
และมีแค่ใจที่บอบและช้ำ
คอยย้ำให้ฉันต้องก้าวไป

ล้มแล้วลุกขึ้นมาไม่รู้กี่ครั้ง
ต้องเจ็บอีกเท่าไร
และแม้ว่าวันนี้ฝันจะพังสลาย
แต่ฉันจะเดินต่อไป

ตราบใดที่สองขา ยังไม่หมดแรง
ตราบใดที่ฉันนั้นยังมีลมหายใจ
จะไม่ยอมแพ้แม้น้ำตารินไหล
ฉันจะลุกยืนขึ้นใหม่
ก็แค่เริ่มต้นใหม่
ก็แค่เริ่มต้นใหม่",wanyai
ลืมไป (Blind),/music/thailyric/16454,"เรื่องราวตั้งมากมายที่ต้องเจอในชีวิต
ทำให้คนอย่างฉันนั้นไม่ทันจะได้คิด
ว่าแท้จริงมันคืออะไรที่สำคัญสำหรับจิตใจ
มีผู้คนมากมายที่ต้องเจอในชีวิต
ใส่ใจให้กับเขาแต่ก็ลืมอีกนิด
ว่าฉันหันหลังให้กับใครที่ใกล้ชิด
และเขานั้นสำคัญขนาดไหน

มีเงินทองมากมาย ซื้อความรัก ความสุขไม่ได้
แต่ว่าฉันนั้นก็ไม่รู้สึกตัว
ว่ามันดีแค่ไหนที่มีเธอ

ลืมไปว่าทุกวัน อาจไม่ได้เจอเธอเหมือนเดิม
ลืมไปว่าฉันควรจะกอดเธอไว้
ลืมไปว่าชีวิตเปราะบางขนาดไหน
ลืมไปว่าทุกวัน อาจไม่ได้เจอเธอเหมือนเดิม
ลืมไปว่าชีวิตมันดีแค่ไหน
ที่ได้พบความรักดีๆ ของเธอ

ฉันเห็นผู้คนมากมาย ตามหาความหมายของชีวิต
ว่าต่างคนต่างก็ตีความหมายมักจะมีหลากหลายทางความคิด
แต่ฉันยังจมอยู่กับกองทุกข์และไม่เห็นจะสุขเลยสักกะนิด
แม้จะเดินทางไปไขว่ไปคว้าได้รางวัลมาทั่วสารทิศ
แล้วกลับบ้าน หอบกายที่อิดอ่อน
เมื่อเปิดประตูเข้าไปแล้วไม่เจอเธออยู่เหมือนวันก่อน
เก้าอี้ ผ้าห่ม ที่นอน รวมถึงปลอกหมอนที่ได้เคยซื้อไว้
จะมีประโยชน์อะไรหากไม่มีเธอได้อยู่ได้กินได้ร่วมได้ใช้
เพราะเราต่างใช้เวลาตามหาอะไรตั้งมากมาย
เพราะสุขอาจจะอยู่ใกล้ชิดอยู่กับหมู่มิตรหรือว่าอยู่รอบๆ กาย
ทรัพย์สินที่มากอนันต์แต่ซื้อเธอนั้นกลับมาไม่ได้
เวลามันจึงสำคัญ พรุ่งนี้อีกกี่วันฉันก็ตอบไม่ได้

มีเงินทองมากมาย ซื้อความรัก ความสุขไม่ได้
แต่ว่าฉันนั้นก็ไม่รู้สึกตัว
ว่ามันดีแค่ไหนที่มีเธอ

ลืมไปว่าทุกวัน อาจไม่ได้เจอเธอเหมือนเดิม
ลืมไปว่าฉันควรจะกอดเธอไว้
ลืมไปว่าชีวิตเปราะบางขนาดไหน
ลืมไปว่าทุกวัน อาจไม่ได้เจอเธอเหมือนเดิม
ลืมไปว่าชีวิตมันดีแค่ไหน
ที่ได้พบความรักดีๆ ของเธอ

และตอนนี้จะทำเช่นไรก็ไม่อาจย้อน
ให้เธอ กลับมายืนอยู่ตรงนี้
อยากขอแลกเสี้ยวเวลา กับทุกสิ่งที่ฉันมี
แค่ได้กอดเธอให้นานอีกครั้ง

ลืมไปว่าทุกวัน อาจไม่ได้เจอเธอเหมือนเดิม
ลืมไปว่าฉันควรจะกอดเธอไว้
ลืมไปว่าชีวิตเปราะบางขนาดไหน
ลืมไปว่าทุกวัน อาจไม่ได้เจอเธอเหมือนเดิม
ลืมไปว่าชีวิตมันดีแค่ไหน
ที่ได้พบความรักดีๆ ของเธอ

ความสุขมันอยู่ที่ใด หรืออยู่กับใครที่มีความสุข
ความสุขมันอยู่ที่ใจไม่มีอะไรก็มีความสุข
ความสุขอาจอยู่ไม่ไกลเกิดขึ้นภายในนั่นแหละความสุข
และความสุขเกิดขึ้นที่ใจมีเธอข้างกายก็มีความสุข

ความสุขมันอยู่ที่ใด หรืออยู่กับใครที่มีความสุข
ความสุขมันอยู่ที่ใจไม่มีอะไรก็มีความสุข
ความสุขอาจอยู่ไม่ไกลเกิดขึ้นภายในนั่นแหละความสุข
และความสุขเกิดขึ้นที่ใจมีเธอข้างกายก็มีความสุข

ที่ได้พบความรักดีๆ ของเธอ",wanyai
วันสุดท้าย (Last Day),/music/thailyric/23492,"ไม่รู้เธอได้ยินไหม
ถ้าบอกว่ารักแล้วให้ลม
ช่วยพัดไปบอกเธอ
ว่าฉันยังรอตรงนี้

ไม่รู้เธออยู่ตรงไหน
แต่ที่ตรงนี้ยังมีคน
รอคอยเธอเสมอ
หวังให้เธอกลับมา

ฟังเสียงเพลงนี้
และรู้ไว้ฉันยังรักเธอ
ตรงนั้นเป็นอย่างไร
และเธอสบายดีไหม

ชีวิตยาวนานสักเท่าไร
ไม่มีใครที่รู้วันสุดท้าย
แต่ที่ได้รักเธอทุกๆ วัน
ก็คุ้มค่ามากแค่ไหน

ไม่รู้ยาวนานอีกเท่าไร
ตราบที่ฉันนั้นยังคงหายใจ
จะคิดถึงเธอเหมือนเดิม
รอกอดเธออีกครั้งวันนั้นที่เราได้พบกัน

ไม่รู้เธอจำได้ไหม
เรื่องราวที่สองเราได้เคยมีกันตลอดมา
แต่ฉันยังจำได้ดี

ฟังเสียงใจฉัน
และรู้ไว้ฉันยังรักเธอ
ตรงนั้นเป็นอย่างไร
เธอคิดถึงกันบ้างไหม

ชีวิตยาวนานสักเท่าไร
ไม่มีใครที่รู้วันสุดท้าย
แต่ที่ได้รักเธอทุกๆ วัน
ก็คุ้มค่ามากแค่ไหน

ไม่รู้ยาวนานอีกเท่าไร
ตราบที่ฉันนั้นยังคงหายใจ
จะคิดถึงเธอเหมือนเดิม
รอกอดเธออีกครั้งวันนั้นที่เราได้พบกัน

ยังคิดถึงเธอเหลือเกิน
รอกอดเธออีกครั้งวันนั้นที่เราได้พบกัน",wanyai
แสงเดียว (Gleaming Light),/music/thailyric/17941,"ดวงอาทิตย์หล่นลงแล้ว
ค่ำคืนนี้ยังคงยาวนาน
มีเพียงแสงเดียว
ที่ยังคงเคลื่อนไหวให้เฝ้ามอง

มือที่คอยประคองฉัน
อบอุ่นเหมือนเช้าในวันใหม่
เธอคือแสงดาวที่ยังพอมองเห็นใกล้ๆ ตา

พายุก็ยังคงโหมเข้าใส่
ไม่รู้ว่ามันจะนานเท่าไร
แต่ในฝันร้าย จะไม่เดียวดาย
แค่ได้รู้ว่ายังมีเธอ

เธอคือแสงเดียว ที่ยังสว่าง
เมื่อโลกทั้งใบกำลังจะดับไป
สวยงามท่ามกลางคืนที่โหดร้าย

เธอคือแสงเดียว ที่ยังสว่าง
อยู่ในหัวใจ เธอทำให้ฉันยังคงหายใจ
ในค่ำคืนที่ช่างมืดมน งดงามได้เพราะมีเธอ

คืนที่ดวงจันทร์หลับใหล
แต่ตรงนี้ยังมีเธออยู่
เหนื่อยแค่ไหนเธอ ก็ยังคงส่องแสงที่สวยงาม

พายุก็ยังคงโหมเข้าใส่
ไม่รู้ว่ามันจะนานเท่าไร
แต่ในฝันร้าย จะไม่เดียวดาย
แค่ได้รู้ว่ายังมีเธอ

เธอคือแสงเดียว ที่ยังสว่าง
เมื่อโลกทั้งใบกำลังจะดับไป
สวยงามท่ามกลางคืนที่โหดร้าย

เธอคือแสงเดียว ที่ยังสว่าง
อยู่ในหัวใจ เธอทำให้ฉันยังคงหายใจ
ในค่ำคืนที่ช่างมืดมน งดงามได้เพราะมีเธอ

เธอคือแสงเดียว ที่ยังสว่าง
เมื่อโลกทั้งใบกำลังจะดับไป
สวยงามท่ามกลางคืนที่โหดร้าย

เธอคือแสงเดียว ที่ยังสว่าง
อยู่ในหัวใจ เธอทำให้ฉันยังคงหายใจ
ในค่ำคืนที่ช่างมืดมน งดงามได้เพราะมีเธอ",wanyai
