song_name,href,lyric,artist
ฝากไว้กับดาว (Secret Of Star),/music/thailyric/15866,"เก็บบางเวลา ที่เราได้เจอได้ใกล้
เก็บความจริง ที่เราต่างคนต่างรู้ใจ
ผ่านดวงตา ที่ฉันมองว่าเธอรู้สึก
ไม่ต่างกันเท่าไร แต่ขอเธออย่าเลย อย่าน้อยใจ

เพราะความจริงเธอกับฉัน
ได้พบกันตอนที่สายเกินไป
ฉันจึงฝากดวงดาวไว้ให้เธอ
สักวันหนึ่ง

อยากให้เธอได้รู้ ว่าฉันไม่เคยไม่รู้สึก
แค่อยากให้เธอได้รู้ ซึ้งถึงความข้างในใจ
จะเก็บให้เธอเท่านั้น แม้ความจริงไม่เป็นดั่งใจหวัง
ฉันรู้สึก อย่างที่เธอก็รู้สึก
แต่เก็บไว้ให้ไกล ฝากไว้ กับดาว

เพราะความจริงเธอกับฉัน
ได้พบกันตอนที่สายเกินไป
ฉันจึงฝากดวงดาวไว้ให้เธอ
สักวันหนึ่ง

อยากให้เธอได้รู้ ว่าฉันไม่เคยไม่รู้สึก
แค่อยากให้เธอได้รู้ ซึ้งถึงความข้างในใจ
จะเก็บให้เธอเท่านั้น แม้ความจริงไม่เป็นดั่งใจหวัง
ฉันรู้สึก อย่างที่เธอก็รู้สึก
แต่เก็บไว้ให้ไกล ฝากไว้ กับดาว

อยากให้เธอได้รู้ ว่าฉันไม่เคยไม่รู้สึก
จะเก็บให้เธอเท่านั้น แม้ความจริงไม่เป็นดั่งใจหวัง
ฉันรู้สึก อย่างที่เธอก็รู้สึก
แต่เก็บไว้ให้ไกล ฝากไว้ กับดาว

ฝากไว้ให้เธอ ฝากไว้กับดาว
ฝากไว้ให้เธอ ฝากไว้กับดาว",whal_and_dolph
ฉันยังเก็บไว้ (Girl & Boy),/music/thailyric/15310,"นานมาแล้วแสนนานที่เรานั้นอยู่ร่วมกัน
ร่วมใช้เวลาสวยงาม แสนสวยงาม
ฉันยังเก็บไว้อยู่ข้างใน ไม่ให้หายไป

นานมาแล้วแสนนานที่เธอได้กอดฉัน
ในวันที่ใจอ่อนล้า เหลือเกิน
ยิ้มของเธอ ฉันยังเก็บไว้
อยู่ข้างในไม่ให้หายไป

มีเพียงสองเราเท่านั้น
ที่จะอยู่เคียงข้างกัน
เหมือนวันก่อน

ห่างกันแสนไกล จากกันแสนไกล
อาจไม่พบเจอ แต่เธอไม่เคยหายไป
จะไม่ผันแปรเปลี่ยน ไม่ว่านานเท่าไร
ฉันยังคงเก็บเธอเอา ไว้

แม้นานมาแล้วแสนนาน ที่เรานั้นอยู่ร่วมกัน
ร่วมใช้เวลาสวยงาม แสนสวยงาม
ฉันยังเก็บไว้อยู่ข้างในไม่ให้หายไป

เราเท่านั้น ที่จะอยู่เคียงข้างกันเหมือนวันก่อน
เก็บเธอไว้ เป็นความรู้สึก
ให้ยังอยู่ที่เดิม ในใจฉัน (เสมอ)

นานมาแล้วแสนนาน",whal_and_dolph
นานนาน (In Memory Of),/music/thailyric/13593,"ช่วงเวลาที่ฉันมีเธอ หากว่านานกว่านี้
ก็คงดี มากมาย
อยากให้อยู่กับฉันนานๆ
ก็เธอเป็นคนเดียวที่ฉันเอง สนใจ

ก็เพราะเธอนั้นดูสดใส และสวยงาม
ก็เพราะเธอนั้นดู อ่อนหวาน
เลยอยากให้อยู่ตรงนี้นานๆ
เก็บเธอเอาไปเพ้อในใจ
ยิ่งเวลาที่เธอนั้นยิ้มมา
คิดเหมือนกันกับฉันใช่ไหม
บอกตรงๆ ว่าคิดไปไกล

เพราะสายตาที่ดูอ่อนหวาน
เธอทำให้ใจฉันมีความสุข
เลยอยากให้อยู่ตรงนี้นานๆ จะได้ไหม

ขอเถอะ ขอเถอะ ขอให้เธอนั้นยังอยู่ตรงนี้
จะเก็บเธอไว้ในใจ
ขอเถอะ ขอเถอะ เพราะว่าเธอนั้นช่างมีความหมาย
เธอเหมือนสายลมยามบ่าย
ช่วยทำให้ฉันผ่อนคลาย และคล้ายว่าเธอนั้นมี
มนต์สะกดฉันไม่ให้ไปไหน
เลยอยากให้อยู่ตรงนี้นานๆ
จะอยู่กับเธอคนนี้ให้นาน ก่อนเธอจากไป

อยากหยุดเวลาเอาไว้นานๆ
บอกกับเธอให้รู้ว่าฉันเอง ประทับใจ
และขอเป็นเธอคนนี้ได้ไหม
เพราะว่าฉันไม่เคยจะรู้สึกอย่างนี้กับใคร

ขอเถอะ ขอเถอะ ขอให้เธอนั้นยังอยู่ตรงนี้
จะเก็บเธอไว้ในใจ
ขอเถอะ ขอเถอะ เพราะว่าเธอนั้นช่างมีความหมาย
เธอเหมือนสายลมยามบ่าย
ช่วยทำให้ฉันผ่อนคลาย และคล้ายว่าเธอนั้นมี
มนต์สะกดฉันไม่ให้ไปไหน
เลยอยากให้อยู่ตรงนี้นานๆ
จะอยู่กับเธอคนนี้ให้นาน ไม่อยากให้เธอจากไป

เพราะสายตาที่ดูอ่อนหวาน
เธอทำให้ใจฉันมีความสุข
เลยอยากให้อยู่ตรงนี้นานๆ จะได้ไหม

ขอเถอะ ขอเถอะ ขอให้เธอนั้นยังอยู่ตรงนี้
จะเก็บเธอไว้ในใจ
ขอเถอะ ขอเถอะ เพราะว่าเธอนั้นช่างมีความหมาย
เธอเหมือนสายลมยามบ่าย
ช่วยทำให้ฉันผ่อนคลาย และคล้ายว่าเธอนั้นมี
มนต์สะกดฉันไม่ให้ไปไหน
เลยอยากให้อยู่ตรงนี้นานๆ
จะอยู่กับเธอคนนี้ให้นาน ก่อนเธอจากไป",whal_and_dolph
รอให้เธอบอก (Mute),/music/thailyric/14529,"เรื่องราวมากมายที่ไม่เคยเข้าใจ
รอให้เธอบอก
คืนวันล่วงเลยผ่าน แต่ทั้งหัวใจฉันยังคงรอ
รอเธอ คนนี้ ที่ไม่เคยพูดเลย
ว่าเราเคยรักกัน เธอไม่เคยบอก

โอ้ว เธอน่ะใจร้าย
หรือฉันเองไม่มีความหมาย
พอให้เธอบอก

แต่ฉันคิดถึงเธอ ไม่เจอก็คงไม่ไหว
และจะให้รอต่อไป อีกนานขนาดไหน
เมื่อสายตาคู่เดิมของเธอ คอยฉุดและรั้งฉันไว้
แล้วจะให้เดินต่อไป ยังทำไม่ได้

จะฉุดและจะรั้งเธอ และฉันคงทำไม่ได้
แต่จะยอมให้เธอจากไป ฉันก็ไม่ไหว
ขอเถอะ ขอเธอ ปลดปล่อยฉันไป
ให้เป็นแบบนี้คงไม่ไหว

โอ้ว เธอน่ะใจร้าย
โอ้ว เธอน่ะใจร้าย
หรือฉันเองไม่มีความหมาย
พอให้เธอบอก

แต่ฉันคิดถึงเธอ ไม่เจอก็คงไม่ไหว
และจะให้รอต่อไป อีกนานขนาดไหน
เมื่อสายตาคู่เดิมของเธอ คอยฉุดและรั้งฉันไว้
แล้วจะให้เดินต่อไป

แล้วจะให้เดินต่อไป",whal_and_dolph
หากมันจะสายเกินไป (Goodbye),/music/thailyric/13506,"หากมันจะสายเกินไป
และฉันคงจะต้องทำใจให้ลืมทุกอย่าง
เอ่ยคำเพื่อขออำลา
กลับมาเพื่อพบความจริงว่าไม่มีเธอ

ยังจำวันนั้นที่เธอได้เคย บอกกับฉัน
ว่าเราจะยืนอยู่เคียงข้างกัน ไม่ไปไหน
แล้วเธอก็ต้องจาก สุดท้ายเธอก็ต้องไปไม่หวนคืน

หากมันจะสายเกินไป
และฉันคงจะต้องทำใจให้ลืมทุกอย่าง
เอ่ยคำเพื่อขออำลา
กลับมาเพื่อพบความจริงว่าไม่มีเธอ

และในวันนี้ฉันคงต้องลืม
จะต้องทำใจไม่รักเธอ ก็คงไม่ง่ายดาย
และคงสายเกินกว่าจะรับไหว
วันนี้จะหายไป และไม่มีทางจะย้อนมา
เราคงไม่พบกัน ไม่พบกัน อีกเลย

ยังจำวันนั้นที่เธอได้เคย บอกกับฉัน
ว่าเราจะยืนอยู่เคียงข้างกัน ไม่ไปไหน
แล้วเธอก็ต้องจาก สุดท้ายเธอก็ต้องไปไม่หวนคืน

หากมันจะสายเกินไป
และฉันคงจะต้องทำใจ
ให้ลืมเธอไปทุกวินาที จากนี้
เอ่ยคำเพื่อขออำลา
กลับมาเพื่อพบความจริงว่าไม่มีเธอ
และในวันนี้ฉันคงต้องลืม
จะต้องทำใจไม่รักเธอ ก็คงไม่ง่ายดาย
และคงสายเกินกว่าจะรับไหว
วันนี้จะหายไป และไม่มีทางจะย้อนมา
เราคงไม่พบกัน ไม่พบกัน อีกเลย

หากมันจะสายเกินไป",whal_and_dolph
แค่ฝันไป (Just),/music/thailyric/20346,"อะไรที่เราได้เคยฝัน
มันก็ยังอยู่ตรงนั้น
เหมือนเดิมทุกอย่าง
แค่เพียงเธอหายไป ไม่เจอ

คนที่เคยอยู่ตรงนี้
คนที่เคยมีความหมาย
ใช่เธอรึเปล่า
ที่เก็บความฝันฉันเอาไว้

นานถึงนานเท่าไรก็ยังนึกถึง
ใจไม่เคยได้ลืมยังคงคิดถึงเธอตลอดมา

เก็บคืนวันที่ดีที่เคยฝันไว้
จบไปแล้ว จากไปแล้ว
บอกตัวเองให้เข้าใจ
ช่วงเวลาดีดีก็ต้องมีวันหาย
เหมือนวันเก่าๆ ที่สองเราเคยมี
แค่ฝันไป

วันที่ใจได้หล่นหาย
อะไรอะไรก็เปลี่ยนไป
แลกทุกสิ่ง แลกทุกอย่าง
ให้กลับไปเป็นเหมือนวันนั้น

นานถึงนานเท่าไร ก็ยังนึกถึง
(ยังนึกถึงเธออยู่เลย)
ใจไม่เคยได้ลืม ยังคงคิดเธอตลอดมา

เก็บคืนวันที่ดีที่เคยฝันไว้
จบไปแล้ว จากไปแล้ว
บอกตัวเองให้เข้าใจ
ช่วงเวลาดีดีก็ต้องมีวันหาย
เหมือนวันเก่าๆ ที่สองเราเคยมี
แค่ฝันไป

นานถึงนานเท่าไร ก็ยังนึกถึง
ใจไม่เคยได้ลืม ยังคงคิดถึงเธอตลอดมา

เก็บคืนวันที่ดีที่เคยฝันไว้
จบไปแล้ว จากไปแล้ว
บอกตัวเองให้เข้าใจ
ช่วงเวลาดีดีก็ต้องมีวันหาย
เหมือนวันเก่าๆ ที่สองเราเคยมี
แค่ฝัน

เก็บคืนวันที่ดีที่เคยฝันไว้ (ฝันไว้)
จบไปแล้ว จากไปแล้ว
บอกตัวเองให้เข้าใจ
ช่วงเวลาดีดีก็ต้องมีวันหาย
เหมือนวันเก่าๆ ที่สองเราเคยมี
แค่ฝัน ไป",whal_and_dolph
เก็บเธอเอาไว้ดูก่อน (Preview),/music/thailyric/13919,"เก็บเธอเอาไว้ดูก่อน ปล่อยให้ใจได้พักผ่อน
อยู่กับเธอให้นานอีกหน่อยหนึ่ง
อาจจะเป็นเพราะบางอย่าง ทำให้เธอนั้นดูต่าง
จากใครๆ ที่ฉันได้พบเจอ

แต่รอก่อนได้ไหม ถ้าใจเธอยังไหว
ตรงนี้ฉันคงไม่ให้ใครเข้ามา
เติมสิ่งที่หาย ที่ใจยังไม่หาย
แต่เธอก็คงจะไม่ใจร้าย เหมือนคนอื่น

เก็บเธอเอาไว้ดูก่อน บอกให้เธอได้รอก่อน
อยู่กับฉันให้นานอีกนิดหนึ่ง
ให้เราเรียนรู้บางอย่าง สิ่งที่เรานั้นยังต่าง
ให้เวลานั้นพาเราใกล้กัน

แต่รอก่อนได้ไหมถ้าใจเธอยังไหว
ตรงนี้ฉันคงไม่ให้ใครเข้ามา
เติมสิ่งที่หายที่ใจยังไม่หาย
แต่เธอก็คงจะไม่ใจร้าย
เหมือนคนอื่น ที่เขาทำให้ฉันเจ็บช้ำใจ
แค่ขอให้เธอ ได้ลองดู ก็อาจจะไม่ใช่
ยังเหลือเวลา อีกตั้งนานให้เราค่อยๆ เรียนรู้กันไป
แล้วทุกๆ อย่างจะงดงามดั่งใจ

แต่รอก่อนได้ไหมถ้าใจเธอยังไหว
ตรงนี้ฉันคงไม่ให้ใครเข้ามา
เติมสิ่งที่หายที่ใจยังไม่หาย
แต่เธอก็คงจะไม่ใจร้าย
เหมือนคนอื่น ที่เขาทำให้ฉันเจ็บช้ำใจ
แค่ขอให้เธอ ได้ลองดู ก็อาจจะไม่ใช่
ยังเหลือเวลา อีกตั้งนานให้เราค่อยๆ เรียนรู้กันไป
แล้วทุกๆ อย่างจะงดงามดั่งใจ

เก็บเธอเอาไว้ดูก่อน
ปล่อยให้ใจได้พักผ่อน
เก็บเธอเอาไว้ดูก่อน
ปล่อยให้ใจได้พักผ่อน
เก็บเธอเอาไว้ดูก่อน",whal_and_dolph
คนใจอ่อน (อ่อนใจ),/music/thailyric/20115,"หยุดได้ไหมวันไหนก็ไม่ต้องมาหา
อย่าเอาสายตา อย่างนั้นมามองให้หวั่นไหว
เธอก็รู้ว่าฉันมันใจไม่แข็งเท่าไร
หัวใจมันอ่อนให้เธอทุกที

ก็ยอมรับ เธอทิ้งกันไปสักกี่ครั้ง
ในใจก็ยัง ยังรักยังแคร์เธออยู่ดี
แต่พอแล้ว วันนี้มันควรจบสิ้นกันที
ขอแรงเธออย่าเข้ามารบกวน

ไม่ต้องมาเจอได้ไหม
เพราะฉันมันคนใจอ่อน
ห้ามใจแล้ว ฉันห้ามจนอ่อนใจ
เหน็ดเหนื่อยกับความสับสน
เพราะรู้ว่าต้องทนไม่ได้
เข้าใจไหม ฉันขอเธอได้ไหม
อย่าพบกัน

กลับไปนะ วันนี้ฉันคงต้องใจร้าย
ต้องทำแข็งใจ ขอร้องให้เธอไปจากฉัน
ตัดใจนะ เพราะฉันก็ต้องตัดใจเหมือนกัน
ต้องการให้มันจบแค่ตรงนี้

ไม่ต้องมาเจอได้ไหม
เพราะฉันมันคนใจอ่อน
ห้ามใจแล้ว ฉันห้ามจนอ่อนใจ
เหน็ดเหนื่อยกับความสับสน
เพราะรู้ว่าต้องทนไม่ได้
เข้าใจไหม ฉันขอเธอได้ไหม
อย่าพบกัน

กลับไปนะ วันนี้ฉันคงต้องใจร้าย
ต้องทำแข็งใจ ขอร้องให้เธอไปจากฉัน
ตัดใจนะ เพราะฉันก็ต้องตัดใจเหมือนกัน
ต้องการให้มันจบแค่ตรงนี้

ไม่มีคนใจอ่อนอีกต่อไป",whal_and_dolph
จากนี้ (BFF),/music/thailyric/23244,"หลับตาและลองให้เราได้ตั้งใจ
อธิษฐานเพื่อขอให้ฉันได้เจอใครสักคน
ทำให้ฉันไม่เหงาไม่เหงาจนเกินไป
อยากขอให้ฉันได้ไหมสักครั้งหนึ่ง

แต่แล้ว ก็เข้ามา
เธอทำให้ฉันได้รู้ได้ซึ้งถึงความหมาย
สุดท้าย แค่เพื่อนกัน
ให้ฉันเท่านี้ก็คงจะไม่ไหว

จากนี้จะเป็นยังไงถ้าเธอได้รู้ความในใจฉัน
จากนี้จะเป็นยังไงถ้าเรายังพบกันอยู่ทุกวัน
จากนี้จะเป็นยังไงฉันคงไม่อาจทำให้ใจของฉัน
กลับไปเป็นเหมือนเดิมได้เลย

หลับตาและขอให้เราได้มั่นใจ
บอกคำนั้นที่ฉันเก็บไว้ในใจมานาน
พูดไปแล้วเธอนั้นอย่าหายไปไกลนะ
อยากให้เราได้รับได้รู้กันอยู่เหมือนเดิม

จากนี้จะเป็นยังไงถ้าเธอได้รู้ความในใจฉัน
จากนี้จะเป็นยังไงถ้าเรายังพบกันอยู่ทุกวัน
จากนี้จะเป็นยังไงฉันคงไม่อาจทำให้ใจของฉัน
กลับไปเป็นเหมือนเดิมได้เลย

ต่อจากนี้ไป อยากให้เธอลองเปิดใจสักครั้งหนึ่ง
แค่อยากให้เธอรู้ ว่าฉันนั้นมีรักที่ดี ช่วยรับหน่อยได้ไหม

จากนี้จะเป็นยังไงถ้าเธอได้รู้ความในใจฉัน
จากนี้จะเป็นยังไงถ้าเรายังพบกันอยู่ทุกวัน

จากนี้จะเป็นยังไงถ้าเธอได้รู้ความในใจฉัน
จากนี้จะเป็นยังไงถ้าเรายังพบกันอยู่ทุกวัน
จากนี้จะเป็นยังไงยังไม่รู้แต่ภายในใจของฉัน
ไม่เคยเป็นเพื่อนเธอได้เลย

จากนี้จะเป็นยังไง

จากนี้จะเป็นยังไงฉันคงไม่อาจทำให้ใจของฉัน
กลับไปเป็นเหมือนเดิมได้เลย",whal_and_dolph
ใจเดียว (Jai 1),/music/thailyric/16880,"บอกกับเธอให้รู้
ในใจฉันนั้นมีแค่เธอคนเดียว
ไม่ต้องการสิ่งใด
นานแค่ไหนขอมีแค่เธอคนเดียว

เธอรู้บ้างหรือเปล่า
ว่าทำให้โลกใบนี้ดูสดใส
เธอรู้บ้างหรือเปล่า
ว่าใครคนหนึ่งคนนี้เริ่มวันไหว

เวลาที่เราได้มองตากัน
ไม่รู้ว่าเธอสงสัยฉันบ้างไหม
ว่าใครคนหนึ่งเฝ้ามองเธออยู่
และเขาก็อยากให้เธอได้รู้ใจ

บอกกับเธอให้รู้
ในใจฉันนั้นมีแค่เธอคนเดียว
ไม่ต้องการสิ่งใด
นานแค่ไหนขอมีแค่เธอคนเดียว

บอกกับเธอให้รู้
ในใจฉันนั้นมีแค่เธอคนเดียว
ไม่ต้องการสิ่งใด
นานแค่ไหนขอมีแค่เธอคนเดียว

เวลาที่เราได้มองตากัน
ไม่รู้ว่าเธอสงสัยฉันบ้างไหมนะ
ว่าใครคนหนึ่งเฝ้ามองเธออยู่
และเขาก็อยากให้เธอได้รู้ใจ

บอกกับเธอให้รู้
ในใจฉันนั้นมีแค่เธอคนเดียว
ไม่ต้องการสิ่งใด
นานแค่ไหนขอมีแค่เธอคนเดียว

บอกกับเธอให้รู้
ในใจฉันนั้นมีแค่เธอคนเดียว
ไม่ต้องการสิ่งใด
นานแค่ไหนขอมีแค่เธอคนเดียว

บอกกับเธอให้รู้
ในใจฉันนั้นมีแค่เธอคนเดียว
ไม่ต้องการสิ่งใด
นานแค่ไหนขอมีแค่เธอคนเดียว

บอกกับเธอให้รู้
ในใจฉันนั้นมีแค่เธอคนเดียว
ไม่ต้องการสิ่งใด
นานแค่ไหนขอมีแค่เธอคนเดียว

บอกกับเธอให้รู้
ในใจฉันนั้นมีแค่เธอคนเดียว
ไม่ต้องการสิ่งใด
นานแค่ไหนขอมีแค่เธอคนเดียว",whal_and_dolph
