song_name,href,lyric,artist
ขอโทษนะคะ ขอโทษ,/music/thailyric/1469,"ขอโทษนะคะที่พูดไม่ค่อยเข้าหู
ก็คนไม่รู้ถ้ารู้ก็คงไม่ทำ
ไม่ใช้ว่าแม่ไม่สอนแต่ว่ามันสอนแล้วไม่จำ
ก็เลยเป็นเวรเป็นกรรมของใครบางคน

ข้าวปลาอาหารทำได้แต่ไม่เก่งนัก
ฝักผัดผัดฝักยังท่องไม่จำสักหน
เย็บปักถักร้องพอกันไอ้คนอย่างฉันก็ไม่สน
ขอโทษอีกหนก็คนมันไม่เอาไหน

แต่เรื่องความรักถ้าบอกให้รู้แล้วเหยียบไว้นะ
สัญญานะคะ สัญญานะคะจะไม่พูดไป
ถึงตัวจะดูไม่ค่อยดีไม่สักเท่าไร
แต่เรื่องหัวใจขอโทษ...นะคะขอโทษ

ไม่โกรธสักนิดถ้าเธอไม่คิดจะรัก
ก็คนไม่รักบังคับกันได้ยังไง
แต่หากว่าใจตรงกันจะปล่อยให้รอทำไม
ถ้ารอไม่ไหวอันนี้ก็ต้องขอโทษ",yaya_ying
ช้ำทุกเช้า,/music/thailyric/1470,"นอนฝันไป ได้มีเธอในหัวใจ ลอยล่องไป ในฝันที่แสนดี
ยามค่ำคืน คือเวลาที่ฉันมี เธอแสนดี อยู่ตรงนี้คอยห่วงหา

แต่ทุกเช้า พอตื่นทุกครั้ง ก็เจ็บทุกครั้ง ที่ลืมตา (ที่ลืมตา)
ความเป็นจริงที่กลับมา มันตอกย้ำว่าเธอลาจากไปแล้ว

ตื่นมาช้ำทุกๆเช้า เจ็บอย่างนี้ทุกๆเช้า
ตื่นมาพบความว่างเปล่า ในหัวใจ
มันเหมือนดั่งดวงตะวัน พรากเอาเธอไปจนไกล
ต้องปวดใจไปอย่างนั้น ช้ำทุกๆวันอย่างนี้

รอทุกวัน ให้อีกวันมันพ้นไป นอนเมื่อไร ใในฝันคงพบเธอ
ความเสียใจ ไม่ตื่นมาคงไม่เจอ ยังพบเธอ หากตะวันไม่กลับมา

แต่ทุกเช้า พอตื่นทุกครั้ง ก็เจ็บทุกครั้ง ที่ลืมตา (ที่ลืมตา)
ความเป็นจริงที่กลับมา มันตอกย้ำว่าเธอลาจากไปแล้ว

ตื่นมาช้ำทุกๆเช้า เจ็บอย่างนี้ทุกๆเช้า
ตื่นมาพบความว่างเปล่า ในหัวใจ
มันเหมือนดั่งดวงตะวัน พรากเอาเธอไปจนไกล
ต้องปวดใจไปอย่างนั้น ช้ำทุกๆวันอย่างนี้

ตื่นมาช้ำทุกๆเช้า เจ็บอย่างนี้ทุกๆเช้า
ตื่นมาพบความว่างเปล่า ในหัวใจ
มันเหมือนดั่งดวงตะวัน พรากเอาเธอไปจนไกล
ต้องปวดใจไปอย่างนั้น ช้ำทุกๆวันอย่างนี้",yaya_ying
ส่วนเกิน,/music/thailyric/1472,"ยอมทั้งใจ ยอมทุกอย่าง
ยอมทุกทางเพียงแค่ขอเป็นเพื่อนเก่า
แค่เพียงได้คุยพูดจาเวลาที่เธอเหงา
จะไม่ทำให้เธอกับเขาต้องเหนื่อยใจ
วันนึงแค่มองหันมา แม้เวลาไม่นานก็ยังชื่นใจ
ไม่หวังอะไรมากมายไปกว่านี้
รู้ตัวว่าเป็นส่วนเกิน
รู้ดีต้องยอมปวดร้าว จะยังยินดีกับเธอ
ก็คงเพราะรักเธอหมดใจ
รู้ตัวว่าเป็นส่วนเกิน รู้ดีต้องอยู่ตรงไหน
ไม่คิดจะไปวุ่นวาย แค่ขอให้เธอสุขใจ
พอแล้ว ยังเฝ้ามอง ยังเฝ้าดูยังคิดอยู่
คืออยากใหเป็นเหมือนเก่า
ที่มีแค่เธอกับฉันไม่อยากให้มีเขา
แต่คงไม่มีวันให้มันเป็นเรื่องจริง",yaya_ying
ยอมคนใหม่ไม่ได้,/music/thailyric/1471,"(RAP)
ยังคงวนเวียนในความรู้สึก ทุกอย่างที่เธอทำมันยังฝังลึก
ในจินตนาการทุกวันและคืน เพราะใจไม่ลืมยังคิดอยู่
แม้ใจของเธอเป็นของใคร อยากจะขอแค่นี้ถ้าเธอเห็นใจ
ให้ฉันได้ไหมเป็นสิ่งสุดท้าย แค่ครั้งสุดท้ายเพียงเท่านั้น

ร้านเดิมตรงนั้นที่เธอบอกรัก อยากขอได้ไหมอย่าพาเขาไป
ภาพวันเก่าๆ ในความทรงจำ ไออุ่นเหล่านั้นยังฝังใจ
ชื่อที่เราเรียกกัน เก็บไว้อย่างนั้น อย่าใช้กับเขาได้ไหม
(อย่าซ้ำกับเขาได้ไหม)
อยากให้เธอรับรู้ ตราบที่ยังหายใจ ลืมเธอไม่ได้จริงๆ

ขอ..อยากให้เธอสัญญาได้ไหม อยากให้เธอสัญญาก่อนไป
หากว่าเธอรักใคร ไม่ว่ายังไง อย่าพาไปที่นั้น

ที่ที่เราเคยชอบไปด้วยกัน ที่ทำให้เรายิ้มกันนานๆ
ที่ที่เคยเป็นของเรา มันยังจำ และอาจทำใจไม่ได้
ไม่อยากให้ใครเรียกเธออย่างฉัน เก็บเอาไว้ชื่อเราเรียกกัน
ก็ทุกอย่างยังฝังใจ ขอได้ไหม ฉันยอมคนใหม่ไม่ได้

(RAP)
ข้อความเหล่านั้นที่ฉันส่งให้
อย่าเก็บเอาไว้ลบมันทิ้งไป
ไม่อยากให้ใครเขารู้ ความรักของฉัน
ที่เคยให้เธอ มันมากมายเท่าไหร่
เพลงรักเพลงนั้น ดอกไม้ของเรา
อย่าเหมือนกับเขาได้ไหม (อย่าซ้ำกับเขาได้ไหม)
เพราะความทรงจำเหล่านั้น
ฉันไม่อาจจะลบเลือน ไปจากใจ

ร้านเดิมตรงนั้นที่เธอบอกรัก อยากขอได้ไหมอย่าพาเขาไป
ภาพวันเก่าๆ ในความทรงจำ ไออุ่นเหล่านั้นยังฝังใจ
ชื่อที่เราเรียกกัน เก็บไว้อย่างนั้น อย่าใช้กับเขาได้ไหม
(อย่าซ้ำกับเขาได้ไหม)
อยากให้เธอรับรู้ ตราบที่ยังหายใจ ลืมเธอไม่ได้จริงๆ

ก็รู้ ..ว่ามันดูไม่มีเหตุผล แต่อยากให้ทำเพื่อฉันสักหน
ที่ก็ดูเหมือนคน ที่มีแต่ตัว แต่หัวใจมันอยู่ที่ไหน

ที่ที่เราเคยชอบไปด้วยกัน ที่ทำให้เรายิ้มกันนานๆ
ที่ที่เคยเป็นของเรา มันยังจำ และอาจทำใจไม่ได้
ไม่อยากให้ใครเรียกเธออย่างฉัน เก็บเอาไว้ชื่อเราเรียกกัน
ก็ทุกอย่างยังฝังใจ ขอได้ไหม ฉันยอมคนใหม่ไม่ได้

ที่ที่เราเคยชอบไปด้วยกัน ที่ทำให้เรายิ้มกันนานๆ
ที่ที่เคยเป็นของเรา มันยังจำ และอาจทำใจไม่ได้
ไม่อยากให้ใครเรียกเธออย่างฉัน เก็บเอาไว้ชื่อเราเรียกกัน
ก็ทุกอย่างยังฝังใจ ขอได้ไหม ฉันยอมคนใหม่ไม่ได้",yaya_ying
สักวันหนึ่ง,/music/thailyric/1473,"พอเสียงเพลงขึ้นมายืนมาเต้นเป็นแถว
จะกี่เพลงแล้วนับจนจำไม่ได้
เป็นสาวหางเครื่องก็เพราะความจำใจ
ลึกๆภายในอยยากจับไมค์ร้องเพลง

ชีวิตหมองหม่นต้องทำเพื่อคนทางบ้าน
ได้ยิ้มชื่นบานใจร้าวรานวังเวง
ก็จนเรียนน้อยไม่มีสิทธิ์เลือกเอง
โยกย้ายตามเพลงทำครื้นเครงหลอกตา

น้อยวาสนา จึงมาเป็นหางเครื่อง
เต้นเรื่อยไป รอวันถือไมค์มีไฟส่องหน้า
อยากมีชื่อเสียงเงินทอง มีชื่อโด่งดังก้องฟ้า
สักวันเถิดหนาคงสมดังใจ

พอเสียงเพลงขึ้นต้องกลั้นสะอื้นลงคอ
ก็ได้แต่รอฝันคงเป็นจริงได้
จะไล่ตามฝันแม้หนทางยาวไกล
สักวันคงได้กอดฝันวันรอ..

น้อยวาสนา จึงมาเป็นหางเครื่อง
เต้นเรื่อยไป รอวันถือไมค์มีไฟส่องหน้า
อยากมีชื่อเสียงเงินทอง มีชื่อโด่งดังก้องฟ้า
สักวันเถิดหนาคงสมดังใจ",yaya_ying
เก็บด้วยน้ำตา,/music/thailyric/10670,"อย่าเลยอย่ามารักกัน หากมันเป็นไปไม่ได้
อย่าเลยอย่าทำร้าย หัวใจ
ก็รู้ว่าไม่สมควร ปล่อยใจให้มากไป
แม้รักเธอแค่ไหนก็ไม่ได้

อย่าเลยอย่าใกล้กัน เธอกับฉันนั้นควรห้ามใจ
อย่าทำให้ปวดใจ กว่านี้
เธอรักกัน มากแค่ไหนก็รู้ดี
แต่ฉันก็ตอบรัก เธอไม่ได้

เก็บคำว่ารักของเรา เก็บเอาไว้ดีกว่า
แม้ต้องเสียน้ำตาสักเท่าไร
ชีวิตเราต่างกัน ฟ้าดินไม่เป็นใจ
เก็บความรักไว้ดีกว่า

เส้นทางความรักของเรา ไม่มีทางมาบรรจบ
ทำได้เพียงแค่พบ เพื่อจาก

(เนื้อเพลงภาษาจีน)

ชีวิตเราต่างกัน ฟ้าดิน ไม่เป็นใจ

(เนื้อเพลงภาษาจีน)

เก็บด้วยน้ำตาก็ยอม",yaya_ying
เมื่อไหร่จะให้พบ,/music/thailyric/9017,"เมื่อไหร่เธอจะเจอฉันได้
อีกเมื่อไรจะให้พบกัน
ตั้งแต่วันฝากรักสลักมั่น
ก่อนจากกันวันนั้นฉันยังจำได้

ต่างจำใจจำไกลสัมพันธ์
ต่างโศกศัลย์ตื้นตันหัวใจ
เธอตื้นตัน แต่ฉันนั้นร้องไห้
รู้หรือไม่ใจฉันเศร้ากว่า

นึกถึงความสัมพันธ์
ตั้งแต่วันนั้นเรื่อยมา
คิดถึงคำสัญญา น่าจะมาเร็ววัน

อีกกี่วันจะได้สมใจ
อีกเมื่อไรจะได้พบกัน
เธอให้ไปที่ไหนจะไปนั่น
รักฉันมั่นฉันไม่หวั่นใคร

นึกถึงความสัมพันธ์
ตั้งแต่วันนั้นเรื่อยมา
คิดถึงคำสัญญา น่าจะมาเร็ววัน

อีกกี่วันจะได้สมใจ
อีกเมื่อไรจะได้พบกัน
เธอให้ไปที่ไหนจะไปนั่น
รักฉันมั่นฉันไม่หวั่นใคร",yaya_ying
ไม่อยากเป็นแบบนี้,/music/thailyric/15291,"ปิดประตูแล้วนั่งลงเพียงลำพังคนเดียว
ปล่อยตัวเองให้ร้องไห้จนหมดใจ
น้ำตาที่ไหล มีเพียงฉันที่เข้าใจ
เจ็บปวดยังไง อึดอัดยังไง มีเพียงกำแพงที่ได้ฟัง

เหนื่อยบางวันและเหงาบางคืน กับต้องตื่น คนเดียว
ต้องปลอบตัวเองทุกครั้งมันก็เหนื่อยไป
น้ำตาที่ไหล แค่อยากจะขอสักคนเข้าใจ
ว่าไม่ได้เข้มแข็งเหมือนอย่างที่ใคร มองว่าฉันเป็น

ไม่อยากต้องร้องไห้เพียงลำพัง
ไม่อยากดูหนังเศร้าเพียงลำพัง
แค่อยากมีใครสักคนรับฟัง
ความเหงาในใจ ที่มันไม่เคยหายไป

ไม่อยากมองฟ้าแค่เพียงลำพัง
มันเกลียดที่เพลงทุกเพลงเศร้าไป
มันโกรธที่ไม่รู้ว่าต้องโทรหาใคร
เพียงแค่อยากบอก เรื่องราวในใจที่มี
ไม่ได้อยากต้องเป็นแบบนี้เลย

คนๆ หนึ่ง ต้องเข้มแข็งสักเท่าไร
ต้องรอ อีกนานแค่ไหน

ไม่อยากต้องร้องไห้เพียงลำพัง
ไม่อยากดูหนังเศร้าเพียงลำพัง
แค่อยากมีใครสักคนรับฟัง
ความเหงาในใจ ที่มันไม่เคยหายไป

ไม่อยากมองฟ้าแค่เพียงลำพัง
มันเกลียดที่เพลงทุกเพลงเศร้าไป
มันโกรธที่ไม่รู้ว่าต้องโทรหาใคร
เพียงแค่อยากบอก เรื่องราวในใจที่มี
เพียงแค่อยากบอก เรื่องราวในใจที่มี

ไม่ได้อยากต้องเป็นแบบนี้เลย",yaya_ying
อยากสวย,/music/thailyric/13186,"คนที่มันสวย ใครๆ
ก็แบบว่าถูกใจ
แบบว่าสวยไง
จะทำอะไรก็ดูดี
คนไม่ค่อยสวย
ไม่ค่อยจะเกิดเลยสักที
เหี่ยวมันทั้งปี
เมื่อไหร่จะดีนะเรา

แบบว่าสวยแล้วร้ายๆ
ทำไมคล้ายๆ น่าเอ็นดู เ
ดียงสาไม่ชี้ไม่รู้
ไม่เป็นไรก็มันสวย
เรามันเป็นไง
ทำดียังไงก็แค่ซวย
ไม่เหมือนที่เขาสวยๆ
ก็เลยเซ็งจะตายชัก

อยากสวยทำไมไม่ค่อยสวย
ก็ไอ้กระจกเฮงซวย
ส่องแล้วไม่สวยยังงี้
ไม่สวยแล้วยังจะปากเสีย
มันชักจะอ่อนจะเพลีย
อย่างนี้จะไม่ให้เศร้า
ยังไงล่ะหนอ

คนที่สวยๆ เขาก็
ไม่ต้องแบบว่าตะกาย
เหนื่อยกันมากมาย
ไม่ต้องวุ่นวายให้ปวดหัว
คนไม่ค่อยสวย
คงต้องไปผ่าตลอดตัว
เจ็บก็ไม่กลัว ให้ผ่ากี่ทีก็เอา

แบบว่าสวยแล้วร้ายๆ
ทำไมคล้ายๆ น่าเอ็นดู
เดียงสาไม่ชี้ไม่รู้
ไม่เป็นไรก็มันสวย
เรามันเป็นไง
ทำดียังไงก็แค่ซวย
ไม่เหมือนที่เขาสวยๆ
ก็เลยเซ็งจะตายชัก

อยากสวยทำไมไม่ค่อยสวย
ก็ไอ้กระจกเฮงซวย
ส่องแล้วไม่สวยยังงี้
ไม่สวยแล้วยังจะปากเสีย
มันชักจะอ่อนจะเพลีย
อย่างนี้จะไม่ให้เศร้า
ยังไงล่ะหนอ

แบบว่าสวยแล้วร้ายๆ
ทำไมคล้ายๆ น่าเอ็นดู
เดียงสาไม่ชี้ไม่รู้
ไม่เป็นไรก็มันสวย
เรามันเป็นไง
ทำดียังไงก็แค่ซวย
ไม่เหมือนที่เขาสวยๆ
ก็เลยเซ็งจะตายชัก

อยากสวยทำไมไม่ค่อยสวย
ก็ไอ้กระจกเฮงซวย
ส่องแล้วไม่สวยยังงี้
ไม่สวยแล้วยังจะปากเสีย
มันชักจะอ่อนจะเพลีย
อย่างนี้จะไม่ให้เศร้า
ยังไงล่ะ

อยากสวยทำไมไม่ค่อยสวย
ก็ไอ้กระจกเฮงซวย
ส่องแล้วไม่สวยยังงี้
ไม่สวยแล้วยังจะปากเสีย
มันชักจะอ่อนจะเพลีย
อย่างนี้จะไม่ให้เศร้า
ยังไงล่ะหนอ",yaya_ying
อย่าแผ่ว,/music/thailyric/12473,"ถ้าชอบใจก็ต้องจัด ถ้าคิดรักกันก็ต้องจิก
รีบให้ไวเอาใจให้ถึง
ช้าไม่ทันเต็มที่หน่อย อย่าค่อยค่อยทำเร่งนิดนึง
รุกนิดนึงเดี๋ยวแพ้คนอื่น

Don't you dare แรงแค่ไหนโชว์ออกมา
คิดว่ามีดีก็ไม่ต้องกลัว
งัดมาเลย Size แค่ไหนเอาให้ชัวร์
มา เข้ามา มาเลย

อย่าแผ่วนะ อย่าแผ่วนะ
รุกให้แรงช่วยเร่งให้เร็ว ไม่ Fail หรอกนะ
อย่าแผ่วนะ อย่าแผ่วนะ
ช้าไม่ชัวร์และฉันก็ไม่เอา เป็นงานหน่อยนะ

รู้ว่าเธอก็ต้องเหนื่อย แต่ฮึดนิดนึงอย่าเพิ่งเอื่อย
เร่งเรื่อยเรื่อยก็ฟินก็ถึง
ฉันนะเชียร์เต็มที่เลย ก็รู้ไว้เธอนำที่หนึ่ง
เหลือนิดนึงช่วยเร่งให้สุด

Don't you dare แรงแค่ไหนโชว์ออกมา
คิดว่ามีดีก็ไม่ต้องกลัว
งัดมาเลย Size แค่ไหนเอาให้ชัวร์
มา เข้ามา มาเลย

อย่าแผ่วนะ อย่าแผ่วนะ
รุกให้แรงช่วยเร่งให้เร็ว ไม่ Fail หรอกนะ
อย่าแผ่วนะ อย่าแผ่วนะ
ช้าไม่ชัวร์และฉันก็ไม่เอา เป็นงานหน่อยนะ

หลบค่ะ ชะนี! เลิกแอ๊บซะที เลิกเป็น Lady ลูกกวาด
ชักช้าคนอื่นก็ปาดหน้า ผู้ก็หนี มาค่ะคุณแม่จะสอน แม่มีวิธี
Now Listen to me, Don't you understand
หนึ่ง ถ้า He ไม่รุกต้องรู้จักบุกเข้าไปก่อน
สอง อย่าทำตัว want ทำให้ง่ายแต่ยากเข้าไว้
สาม เค้าพูดไรมาต้องทำหน้าไม่เข้าใจ
สี่ กลับบ้านไม่ได้ เดินเองไม่ไหว ช่วยหนูที

Baby if you want it, then show me that you got it
Don't stop what you started, coz we just want to party
Baby if you want it, then show me that you got it
Don't stop what you started, coz we just want to party

Don't you dare แรงแค่ไหนโชว์ออกมา
คิดว่ามีดีก็ไม่ต้องกลัว
งัดมาเลย Size แค่ไหนเอาให้ชัวร์
มา เข้ามา มาเลย

อย่าแผ่วนะ อย่าแผ่วนะ
รุกให้แรงช่วยเร่งให้เร็ว ไม่ Fail หรอกนะ
อย่าแผ่วนะ อย่าแผ่วนะ
ช้าไม่ชัวร์และฉันก็ไม่เอา เป็นงานหน่อยนะ

Baby if you want it, then show me that you got it
Don't stop what you started, coz we just want to party
Baby if you want it, then show me that you got it
Don't stop what you started
We just want to party",yaya_ying
